None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
137044,ACHV,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-12,-8408.0,18817950.0,22640823.0,17373860.0,1444090.0,0.225,34423.349,-523870.0,16954842.0,16954842.0,0.0,-11173284.0,1.873,1.511,7142399.0,5093178.0,2049221.0,7142399.0,0.0,831188.0,0.0,0.0,0.0,-10942260.0,-10111072.0,-1.983,-10111072.0,-10942260.0,-11173284.0,-51480.0,-51480.0,-51480.0,7494686.0,11330008.0,7494686.0,58761349.0,-5.0,-5.812,-10838945.0,-49783.645,1.0,5100000.0,1.0,0.0,231024.0,-268536.0,11230317.0,0.0,0.0,0.0,0.0,11323264.0,9274043.0,2049221.0,58250812.0,-49301.0,0.0,149131.0,1056520.0,0.0,1205651.0,9060123.0,9583993.0,-10315075.0,0.0,-11173284.0,-11173284.0,-11173284.0,0.0,0.0,-2.191,17012406.0,-11912406.0,2954530.0,0.0,7.772,-5.213,-5.192,1444090.0,0.0,267299.973,11.422,11.411,0.0,-27506274.0,5100000.0,5100000.0,10463573.0,-0.494,-0.986,-0.974,-2.146,0.0,6548833.0,1.0,218.0,218.0,218.0,23424.474,18817950.0,0.0,0.0,0.0,86431.488,8099817.0
137045,ACHV,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-12,-8408.0,18817950.0,22640823.0,17373860.0,1444090.0,0.225,34423.349,-523870.0,16954842.0,16954842.0,0.0,-11173284.0,1.873,1.511,7142399.0,5093178.0,2049221.0,7142399.0,0.0,831188.0,0.0,0.0,0.0,-10942260.0,-10111072.0,-1.983,-10111072.0,-10942260.0,-11173284.0,-51480.0,-51480.0,-51480.0,7494686.0,11330008.0,7494686.0,58761349.0,-5.0,-5.812,-10838945.0,-49783.645,1.0,5100000.0,1.0,0.0,231024.0,-268536.0,11230317.0,0.0,0.0,0.0,0.0,11323264.0,9274043.0,2049221.0,58250812.0,-49301.0,0.0,149131.0,1056520.0,0.0,1205651.0,9060123.0,9583993.0,-10315075.0,0.0,-11173284.0,-11173284.0,-11173284.0,0.0,0.0,-2.191,17012406.0,-11912406.0,2954530.0,0.0,7.772,-5.213,-5.192,1444090.0,0.0,267299.973,11.422,11.411,0.0,-27506274.0,5100000.0,5100000.0,10463573.0,-0.494,-0.986,-0.974,-2.146,0.0,6548833.0,1.0,218.0,218.0,218.0,23424.474,18817950.0,0.0,0.0,0.0,86431.488,8099817.0
137046,ACHV,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-12,0.0,22166643.0,25172778.0,20646557.0,1520086.0,0.858,47047.137,-695086.0,6625401.0,6625401.0,0.0,-8041803.0,2.092,1.163,7135938.0,5085184.0,2050754.0,7135938.0,0.0,803860.0,0.0,0.0,0.0,-7928791.0,-7124931.0,-0.33,-7124931.0,-7928791.0,-8141803.0,-36828.0,-37224.0,-36828.0,10248513.0,14082491.0,10248513.0,62584952.0,-8.0,-8.784,-7696323.0,-35330.975,1.0,21600000.0,1.0,0.0,213012.0,12809804.0,11037089.0,0.0,13690045.0,13690045.0,0.0,11918130.0,9867376.0,2050754.0,62540135.0,-628950.0,0.0,-255165.0,1814868.0,0.0,2144925.0,4227362.0,4922448.0,-7001237.0,0.0,-8041803.0,-8041803.0,-8041803.0,0.0,0.0,-0.372,18483094.0,3116906.0,3166355.0,0.0,6.102,-7.777,-7.796,1520086.0,0.0,287099.971,2.895,2.895,0.0,-24742381.0,21600000.0,21600000.0,10856267.0,-0.319,-0.571,-0.718,-0.367,0.0,7626827.0,1.0,218.0,218.0,218.0,99157.619,22166643.0,0.0,-100000.0,0.0,101758.868,10779181.0
137047,ACHV,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-12,0.0,23623844.0,,21877529.0,1746315.0,,56331.947,-1062903.0,7029409.0,7029409.0,0.0,-7115331.0,2.33,0.927,7074226.0,5100221.0,1974005.0,7074226.0,0.0,759398.0,0.0,0.0,0.0,-7038842.0,-6279444.0,-0.332,-6279444.0,-7038842.0,-7215331.0,-32472.0,-32868.0,-32472.0,12259578.0,,12259578.0,107436560.0,-15.0,-17.109,-7420003.0,-34094.421,1.0,18900000.0,1.0,0.0,176489.0,14278400.0,,0.0,14494123.0,14494123.0,0.0,11364266.0,9390261.0,1974005.0,106056243.0,581572.0,0.0,-91841.0,1702216.0,0.0,2195597.0,4743075.0,5805978.0,-6357100.0,0.0,-7115331.0,-7115331.0,-7115331.0,0.0,0.0,-0.376,19656577.0,-756577.0,2619881.0,0.0,8.651,-14.905,-15.012,1711437.0,0.0,487475.951,5.611,5.613,0.0,-22705882.0,18900000.0,18900000.0,11789841.0,,,,-0.372,0.0,7866736.0,1.0,218.0,218.0,218.0,86844.246,23623844.0,0.0,-100000.0,0.0,108549.995,12487268.0
137048,ACHV,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-12,0.0,25954855.0,,24165376.0,1789479.0,,70424.813,-1219923.0,5154194.0,5154194.0,0.0,-3611600.0,2.617,0.694,6534511.0,5130483.0,1404028.0,6534511.0,0.0,694120.0,0.0,0.0,0.0,-3561207.0,-2867087.0,-0.152,-2867087.0,-3561207.0,-3711600.0,-16236.0,-17028.0,-16236.0,15317256.0,,15317256.0,211876356.0,-59.0,-73.9,-3754322.0,-17261.409,1.0,18900000.0,1.0,0.0,150393.0,18101601.0,,0.0,18466433.0,18466433.0,0.0,10637599.0,9233571.0,1404028.0,211043704.0,-498457.0,0.0,41308.0,1113427.0,0.0,1739957.0,295985.0,1515908.0,-2534399.0,0.0,-3611600.0,-3611600.0,-3611600.0,0.0,0.0,-0.191,20198436.0,-1298436.0,2301000.0,0.0,13.778,-58.435,-59.756,1748812.0,0.0,970199.903,11.166,11.165,0.0,-19610125.0,18900000.0,18900000.0,12527919.0,,,,-0.188,0.0,7670517.0,1.0,218.0,217.0,217.0,86897.351,25954855.0,0.0,-100000.0,0.0,119333.764,14931805.0
137049,ACHV,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-12,-8408.0,18817950.0,,17373860.0,1444090.0,,34392.072,-123067.0,16954842.0,16954842.0,0.0,-2759808.0,1.873,1.511,7142399.0,5093178.0,2049221.0,7142399.0,0.0,203229.0,0.0,0.0,0.0,-2707587.0,-2504358.0,,-2504358.0,-2707587.0,-2759808.0,-12672.0,-12672.0,-12672.0,7494686.0,,7494686.0,58761349.0,-5.0,-5.812,-3380399.0,-15512.181,1.0,0.0,,0.0,52221.0,-268536.0,,0.0,0.0,0.0,0.0,11323264.0,9274043.0,2049221.0,58250812.0,-1421475.0,0.0,14307.0,6461.0,0.0,20768.0,1815089.0,1938156.0,-3257332.0,0.0,-2759808.0,-2759808.0,-2759808.0,0.0,0.0,,2901027.0,-2901027.0,2954530.0,0.0,7.772,-5.213,-5.192,1444090.0,0.0,267299.973,11.422,11.411,0.0,-27506274.0,0.0,0.0,1753908.0,,,,,0.0,1147119.0,1.0,218.0,218.0,218.0,0.0,18817950.0,0.0,0.0,0.0,86352.957,8099817.0
137050,ACHV,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-12,0.0,22166643.0,,20646557.0,1520086.0,,47047.137,-12122.0,6625401.0,6625401.0,0.0,-2048648.0,2.092,1.163,7135938.0,5085184.0,2050754.0,7135938.0,0.0,207643.0,0.0,0.0,0.0,-1979413.0,-1771770.0,-0.656,-1771770.0,-1979413.0,-2048648.0,-9504.0,-9504.0,-9504.0,10248513.0,,10248513.0,62584952.0,-8.0,-8.784,-1301048.0,-5972.631,1.0,2700000.0,1.0,0.0,69235.0,12809804.0,,0.0,13690045.0,13690045.0,0.0,11918130.0,9867376.0,2050754.0,62540135.0,-404008.0,0.0,21266.0,61712.0,0.0,82978.0,801940.0,814062.0,-1288926.0,0.0,-2048648.0,-2048648.0,-2048648.0,0.0,0.0,-0.759,4910531.0,-2210531.0,3166355.0,0.0,6.102,-7.777,-7.796,1520086.0,0.0,287099.971,2.895,2.895,0.0,-24742381.0,2700000.0,2700000.0,2988347.0,,,,,0.0,1922184.0,1.0,218.0,218.0,218.0,12394.702,22166643.0,0.0,0.0,0.0,101758.868,10779181.0
137051,ACHV,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-12,0.0,23623844.0,,21877529.0,1746315.0,,56331.947,-174702.0,7029409.0,7029409.0,0.0,-3098138.0,2.33,0.927,7074226.0,5100221.0,1974005.0,7074226.0,0.0,216244.0,0.0,0.0,0.0,-3042682.0,-2826438.0,,-2826438.0,-3042682.0,-3098138.0,-14256.0,-14256.0,-14256.0,12259578.0,,12259578.0,107436560.0,-15.0,-17.109,-2665832.0,-12249.321,1.0,0.0,,0.0,55456.0,14278400.0,,0.0,14494123.0,14494123.0,0.0,11364266.0,9390261.0,1974005.0,106056243.0,1875215.0,0.0,33911.0,539715.0,0.0,573626.0,3792719.0,3967421.0,-2491130.0,0.0,-3098138.0,-3098138.0,-3098138.0,0.0,0.0,,3994218.0,-3994218.0,2619881.0,0.0,8.651,-14.905,-15.012,1711437.0,0.0,487475.951,5.611,5.613,0.0,-22705882.0,0.0,0.0,2171261.0,,,,,0.0,1822957.0,1.0,218.0,218.0,218.0,0.0,23623844.0,0.0,0.0,0.0,108549.995,12487268.0
137052,ACHV,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-12,0.0,25954855.0,,24165376.0,1789479.0,,70424.813,-213979.0,5154194.0,5154194.0,0.0,-3266692.0,2.617,0.694,6534511.0,5130483.0,1404028.0,6534511.0,0.0,204072.0,0.0,0.0,0.0,-3212579.0,-3008507.0,,-3008507.0,-3212579.0,-3266692.0,-15048.0,-15048.0,-15048.0,15317256.0,,15317256.0,211876356.0,-59.0,-73.9,-3491666.0,-16053.784,1.0,0.0,,0.0,54113.0,18101601.0,,0.0,18466433.0,18466433.0,0.0,10637599.0,9233571.0,1404028.0,211043704.0,-99033.0,0.0,79647.0,448632.0,0.0,528279.0,2650375.0,2864354.0,-3277687.0,0.0,-3266692.0,-3266692.0,-3266692.0,0.0,0.0,,5206630.0,-5206630.0,2301000.0,0.0,13.778,-58.435,-59.756,1748812.0,0.0,970199.903,11.166,11.165,0.0,-19610125.0,0.0,0.0,3550056.0,,,,,0.0,1656574.0,1.0,218.0,217.0,217.0,0.0,25954855.0,0.0,0.0,0.0,119333.764,14931805.0
137053,ACHV,ARY,1998-12-31,1999-03-25,1998-12-31,2021-08-12,0.0,18817950.0,22640823.0,17373860.0,1444090.0,0.0,34423.349,-523870.0,16954842.0,16954842.0,0.0,-11173284.0,1.873,1.511,7142399.0,5093178.0,2049221.0,7142399.0,0.0,831188.0,0.0,0.0,0.0,-10942260.0,-10111072.0,,-10111072.0,-10942260.0,-11173284.0,-51480.0,-51480.0,-51480.0,7494686.0,11330008.0,7494686.0,37149553.0,-3.0,-3.674,-10838945.0,-49783.645,1.0,0.0,,0.0,231024.0,-268536.0,11230317.0,0.0,0.0,0.0,0.0,11323264.0,9274043.0,2049221.0,46961996.0,-49301.0,0.0,149131.0,1056520.0,0.0,1205651.0,9060123.0,9583993.0,-10315075.0,0.0,-11173284.0,-11173284.0,-11173284.0,0.0,0.0,,17012406.0,-17012406.0,2954530.0,0.0,6.266,-4.203,-4.185,1444090.0,0.0,215423.978,,,0.0,-27514682.0,0.0,0.0,10463573.0,-0.494,-0.986,-0.974,,0.0,6548833.0,1.0,218.0,218.0,218.0,0.0,18817950.0,0.0,0.0,0.0,86431.488,8099817.0
