None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
135535,AER1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-16,0.0,195389970.0,167043503.0,,,0.117,15.302,-52293471.0,3003474.0,3003474.0,5014789.0,6646633.0,,0.531,58864099.0,,,58864099.0,0.0,3966178.0,0.0,0.032,0.315,8578507.0,12544685.0,0.643,12544685.0,8578507.0,6646633.0,0.83,0.82,0.83,123183508.0,124493052.0,123183508.0,104603877.0,12.0,8.339,-42709147.0,-5.305,1.0,14490014.0,0.743,0.0,1931874.0,251250595.0,191831835.0,0.0,11443595.0,,,65402567.0,,,79500929.0,-3724576.0,4697056.0,-58579.0,14765636.0,-7728904.0,6778799.0,-20087699.0,27508716.0,9584324.0,0.0,6646633.0,6646633.0,6646633.0,0.0,0.0,0.341,6597853.0,7892161.0,6538468.0,0.38,0.645,11.961,11.898,174876580.0,0.0,9.875,4.076,4.076,2442896.0,-2196036.0,19504803.0,19504803.0,0.0,0.04,0.053,0.045,0.44,0.0,1819556.0,1.0,8050727.0,8049987.0,8075390.0,2.423,195389970.0,0.0,0.0,0.0,24.272,
135536,AER1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-16,0.0,195389970.0,167043503.0,,,0.117,15.302,-52293471.0,3003474.0,3003474.0,5014789.0,6646633.0,,0.531,58864099.0,,,58864099.0,0.0,3966178.0,0.0,0.032,0.315,8578507.0,12544685.0,0.643,12544685.0,8578507.0,6646633.0,0.83,0.82,0.83,123183508.0,124493052.0,123183508.0,104603877.0,12.0,8.339,-42709147.0,-5.305,1.0,14490014.0,0.743,0.0,1931874.0,251250595.0,191831835.0,0.0,11443595.0,,,65402567.0,,,79500929.0,-3724576.0,4697056.0,-58579.0,14765636.0,-7728904.0,6778799.0,-20087699.0,27508716.0,9584324.0,0.0,6646633.0,6646633.0,6646633.0,0.0,0.0,0.341,6597853.0,7892161.0,6538468.0,0.38,0.645,11.961,11.898,174876580.0,0.0,9.875,4.076,4.076,2442896.0,-2196036.0,19504803.0,19504803.0,0.0,0.04,0.053,0.045,0.44,0.0,1819556.0,1.0,8050727.0,8049987.0,8075390.0,2.423,195389970.0,0.0,0.0,0.0,24.272,
135537,AER1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-16,0.0,160819894.0,155355842.0,,,0.113,15.463,-51060437.0,4294209.0,4294209.0,3695081.0,6700210.0,,0.276,29397157.0,,,29397157.0,0.0,3592391.0,0.0,0.0,0.0,8094539.0,11686930.0,0.668,11686930.0,8094539.0,6700210.0,,,,124491667.0,124958428.0,124491667.0,87834264.0,11.0,7.516,-41346495.0,-5.135,1.0,13806461.0,0.789,0.0,1394329.0,185922842.0,169133066.0,0.0,9487473.0,,,34379245.0,,,80507270.0,1342582.0,6782358.0,2510103.0,14929868.0,-7842195.0,8264685.0,-16636045.0,27606518.0,9713942.0,0.0,6700210.0,6700210.0,6700210.0,0.0,0.0,0.383,6429496.0,7376965.0,4982088.0,,0.647,12.016,,142858431.0,0.0,10.0,4.6,4.6,1278563.0,-1028695.0,17501542.0,17501542.0,0.0,0.043,0.054,0.048,0.463,0.0,2202580.0,1.0,8050727.0,8051159.0,,2.174,160819894.0,0.0,0.0,0.0,19.975,
135538,AER1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-16,0.0,160560467.0,,,,,15.519,-25459996.0,21849759.0,21849759.0,3276115.0,5872266.0,,0.269,29176753.0,,,29176753.0,0.0,3196909.0,0.0,0.0,0.0,7021076.0,10217985.0,0.686,10217985.0,7021076.0,5872266.0,,,,124942380.0,,124942380.0,93885885.0,13.0,9.188,-16640085.0,-2.067,1.0,11623101.0,0.78,0.0,1148810.0,167887461.0,,0.0,17005102.0,,,33661213.0,,,83023122.0,19039339.0,7605872.0,2510103.0,14677952.0,-7036645.0,8836677.0,1382751.0,19165085.0,8819911.0,0.0,5872266.0,5872266.0,5872266.0,0.0,0.0,0.394,5345648.0,6277453.0,4484460.0,,0.664,14.138,,117854042.0,0.0,10.313,5.572,5.572,869462.0,-577888.0,14899216.0,14899216.0,0.0,,,,0.471,0.0,1761412.0,1.0,8050727.0,8050855.0,,1.851,160560467.0,0.0,0.0,0.0,19.943,
135539,AER1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-16,0.0,151403679.0,,,,,15.571,-10421364.0,10219773.0,10219773.0,3150333.0,4716708.0,,0.202,21082536.0,,,21082536.0,0.0,2888549.0,0.0,0.0,0.0,5519138.0,8407687.0,0.677,8407687.0,5519138.0,4716708.0,,,,125354653.0,,125354653.0,,,,-3167672.0,-0.393,1.0,9271687.0,0.746,0.0,802430.0,162266442.0,,0.0,39260856.0,,,25319902.0,,,96608724.0,7502400.0,4606825.0,2510103.0,10867263.0,-6122382.0,5959493.0,-5710785.0,80891.0,7253692.0,0.0,4716708.0,4716708.0,4716708.0,0.0,0.0,0.38,4511049.0,4760638.0,4237366.0,,0.771,20.482,,98141340.0,0.0,12.0,7.777,7.777,991994.0,-168536.0,12422020.0,12422020.0,0.0,,,,0.444,0.0,1200940.0,1.0,8050727.0,8050727.0,,1.543,151403679.0,0.0,0.0,0.0,18.806,
135540,AER1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-16,0.0,195389970.0,,,,,15.308,-10055430.0,3003474.0,3003474.0,2768092.0,1366793.0,,0.531,58864099.0,,,58864099.0,0.0,1213535.0,0.0,0.032,0.315,2095895.0,3309430.0,0.568,3309430.0,2095895.0,1366793.0,0.17,0.16,0.17,123183508.0,,123183508.0,104603877.0,12.0,8.339,-7912099.0,-0.983,1.0,3056199.0,0.525,0.0,729102.0,251250595.0,,0.0,11443595.0,,,65402567.0,,,79500929.0,-1290735.0,-2132761.0,-58579.0,10919481.0,-1932278.0,8811933.0,-12245999.0,-57808.0,2143331.0,0.0,1366793.0,1366793.0,1366793.0,0.0,0.0,0.235,920813.0,2135386.0,6538468.0,1.853,0.645,11.961,11.898,174876580.0,0.0,9.875,4.076,4.076,2442896.0,-2196036.0,5824291.0,5824291.0,0.0,,,,,0.0,-412245.0,1.0,8050727.0,8047203.0,8148815.0,0.724,195389970.0,0.0,0.0,0.0,24.28,
135541,AER1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-16,0.0,160819894.0,,,,,15.463,-25713893.0,4294209.0,4294209.0,949432.0,1481471.0,,0.276,29397157.0,,,29397157.0,0.0,1016743.0,0.0,0.0,0.0,1847992.0,2864735.0,0.594,2864735.0,1847992.0,1481471.0,0.18,0.18,0.18,124491667.0,,124491667.0,87834264.0,11.0,7.516,-23428159.0,-2.91,1.0,3872988.0,0.803,0.0,366521.0,185922842.0,,0.0,9487473.0,,,34379245.0,,,80507270.0,-17555550.0,-823514.0,0.0,205326.0,-1932278.0,-1745310.0,-18095974.0,8441433.0,2285734.0,0.0,1481471.0,1481471.0,1481471.0,0.0,0.0,0.307,1998947.0,1874041.0,4982088.0,0.0,0.647,12.016,,142858431.0,0.0,10.0,4.6,4.6,1278563.0,-1028695.0,4822420.0,4822420.0,0.0,,,,,0.0,809831.0,1.0,8050727.0,8051159.0,8051159.0,0.599,160819894.0,0.0,0.0,0.0,19.975,
135542,AER1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-16,0.0,160560467.0,,,,,15.519,-15043882.0,21849759.0,21849759.0,651800.0,1522927.0,,0.269,29176753.0,,,29176753.0,0.0,929826.0,0.0,0.0,0.0,1993618.0,2923444.0,0.619,2923444.0,1993618.0,1522927.0,0.19,0.19,0.19,124942380.0,,124942380.0,93885885.0,13.0,9.188,-12266998.0,-1.524,1.0,4069185.0,0.862,0.0,470691.0,167887461.0,,0.0,17005102.0,,,33661213.0,,,83023122.0,11629986.0,2999047.0,0.0,3765159.0,-1932174.0,1813743.0,7039359.0,19084194.0,2776884.0,0.0,1522927.0,1522927.0,1522927.0,0.0,0.0,0.323,2060690.0,2008495.0,4484460.0,0.0,0.664,14.138,,117854042.0,0.0,10.313,5.572,5.572,869462.0,-577888.0,4720985.0,4720985.0,0.0,,,,,0.0,819785.0,1.0,8050727.0,8050855.0,8050855.0,0.586,160560467.0,0.0,0.0,0.0,19.943,
135543,AER1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-16,0.0,151403679.0,,,,,15.571,-1480266.0,10219773.0,10219773.0,645465.0,2275442.0,,0.202,21082536.0,,,21082536.0,0.0,806074.0,0.0,0.0,0.0,2641002.0,3447076.0,0.833,3447076.0,2641002.0,2275442.0,0.28,0.28,0.28,125354653.0,,125354653.0,,,,898109.0,0.112,1.0,3491642.0,0.844,0.0,365560.0,162266442.0,,0.0,39260856.0,,,25319902.0,,,96608724.0,3491723.0,4654284.0,0.0,-124330.0,-1932174.0,-2101567.0,3214915.0,40897.0,2378375.0,0.0,2275442.0,2275442.0,2275442.0,0.0,0.0,0.55,1617403.0,1874239.0,4237366.0,0.0,0.771,20.482,,98141340.0,0.0,12.0,7.777,7.777,991994.0,-168536.0,4137107.0,4137107.0,0.0,,,,,0.0,602185.0,1.0,8050727.0,8050727.0,8050727.0,0.514,151403679.0,0.0,0.0,0.0,18.806,
135544,AER1,ARY,1998-12-31,1999-03-31,1998-12-31,2019-07-16,0.0,195389970.0,167043503.0,,,0.117,15.302,-695177.0,3003474.0,3003474.0,3228170.0,6646633.0,,0.531,58864099.0,,,58864099.0,0.0,3966178.0,0.0,0.056,0.555,8578507.0,12544685.0,0.643,12544685.0,8578507.0,6646633.0,0.83,0.82,0.83,123183508.0,124493052.0,123183508.0,135826286.0,16.0,10.827,9055403.0,1.125,1.0,16276633.0,0.834,0.0,1931874.0,251250595.0,191831835.0,0.0,11443595.0,,,65402567.0,,,79965661.0,-3724576.0,4697056.0,-58579.0,14765636.0,-7728904.0,6778799.0,-20253955.0,27508716.0,9750580.0,0.0,6646633.0,6646633.0,6646633.0,0.0,0.0,0.341,8384472.0,7892161.0,6538468.0,0.669,0.649,12.031,11.973,174876580.0,0.0,9.938,4.1,4.101,2442896.0,-2196036.0,19504803.0,19504803.0,0.0,0.04,0.053,0.045,0.44,0.0,3225639.0,1.0,8046859.0,8049987.0,8075390.0,2.423,195389970.0,0.0,0.0,0.0,24.272,
