None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
135385,AETCQ,MRY,1998-12-31,1998-09-30,1998-09-30,2019-06-25,-2396000.0,370726000.0,376344750.0,85001000.0,285725000.0,0.652,9.22,-45496000.0,2279000.0,2279000.0,195174000.0,-12902000.0,1.65,2.691,185500000.0,0.0,185500000.0,185500000.0,0.0,17773000.0,0.0,0.0,0.0,-5067000.0,12706000.0,0.052,12706000.0,-5067000.0,-20935000.0,-1.18,-1.18,-1.18,100437000.0,110483750.0,100437000.0,285490931.0,-56.0,22.469,-55860000.0,-5.128,1.0,50160000.0,0.204,3636000.0,15868000.0,498781000.0,499720250.0,39192000.0,3184000.0,0.0,3184000.0,270289000.0,51530000.0,218759000.0,105519931.0,-775000.0,0.0,1202000.0,-15000000.0,0.0,-13798000.0,25629000.0,44625000.0,-10364000.0,-2242000.0,-12902000.0,-12902000.0,-12902000.0,0.0,0.0,-0.053,54125000.0,-3965000.0,15259000.0,0.0,1.051,-8.179,-8.104,278905000.0,0.0,9.563,0.43,0.425,38467000.0,9938000.0,245334000.0,245334000.0,7326000.0,-0.034,-0.117,-0.01,-0.021,0.0,23754000.0,1.0,11034764.0,10893000.0,10893000.0,22.522,367090000.0,0.0,-8033000.0,33259000.0,33.7,33471000.0
135386,AETCQ,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-25,-2904000.0,371437000.0,377526750.0,88005000.0,283432000.0,0.647,8.722,-36439000.0,8359000.0,8359000.0,198109000.0,-16884000.0,1.765,2.832,196500000.0,0.0,196500000.0,196500000.0,0.0,18244000.0,0.0,0.0,0.0,-11450000.0,6794000.0,0.028,6794000.0,-11450000.0,-28138000.0,-1.54,-1.54,-1.54,96922000.0,106270500.0,96922000.0,271984080.0,-24.0,40.033,-47129000.0,-4.241,1.0,46254000.0,0.189,3442000.0,16688000.0,506268000.0,504870750.0,37142000.0,3277000.0,0.0,3277000.0,274515000.0,49868000.0,224647000.0,88763080.0,4380000.0,0.0,179000.0,21559000.0,0.0,21738000.0,-4873000.0,5066000.0,-10690000.0,-1795000.0,-16884000.0,-16884000.0,-16884000.0,0.0,0.0,-0.069,53992000.0,-7738000.0,16380000.0,0.0,0.916,-5.257,-5.195,276713000.0,0.0,8.0,0.363,0.364,37549000.0,5203000.0,244363000.0,244363000.0,7267000.0,-0.045,-0.159,-0.023,-0.047,0.0,23817000.0,1.0,11095385.0,11112000.0,11112000.0,21.991,367995000.0,0.0,-11254000.0,28147000.0,33.117,38137000.0
135387,AETCQ,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-25,-2396000.0,370726000.0,376344750.0,85001000.0,285725000.0,0.652,9.22,-45496000.0,2279000.0,2279000.0,195174000.0,-12902000.0,1.65,2.691,185500000.0,0.0,185500000.0,185500000.0,0.0,17773000.0,0.0,0.0,0.0,-5067000.0,12706000.0,0.052,12706000.0,-5067000.0,-20935000.0,-1.18,-1.18,-1.18,100437000.0,110483750.0,100437000.0,285490931.0,-56.0,22.469,-55860000.0,-5.128,1.0,50160000.0,0.204,3636000.0,15868000.0,498781000.0,499720250.0,39192000.0,3184000.0,0.0,3184000.0,270289000.0,51530000.0,218759000.0,105519931.0,-775000.0,0.0,1202000.0,-15000000.0,0.0,-13798000.0,25629000.0,44625000.0,-10364000.0,-2242000.0,-12902000.0,-12902000.0,-12902000.0,0.0,0.0,-0.053,54125000.0,-3965000.0,15259000.0,0.0,1.051,-8.179,-8.104,278905000.0,0.0,9.563,0.43,0.425,38467000.0,9938000.0,245334000.0,245334000.0,7326000.0,-0.034,-0.117,-0.01,-0.021,0.0,23754000.0,1.0,11034764.0,10893000.0,10893000.0,22.522,367090000.0,0.0,-8033000.0,33259000.0,33.7,33471000.0
135388,AETCQ,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-25,-1695000.0,380902000.0,377786500.0,99435000.0,281467000.0,0.661,10.177,-56993000.0,1529000.0,1529000.0,199298000.0,-2577000.0,1.847,2.37,181500000.0,0.0,181500000.0,181500000.0,0.0,17669000.0,0.0,0.0,0.0,11712000.0,29381000.0,0.118,29381000.0,11712000.0,-3726000.0,-0.22,-0.23,-0.22,113035000.0,113420250.0,113035000.0,259450445.0,22.0,8.831,-60907000.0,-5.484,1.0,50340000.0,0.202,4009000.0,15438000.0,503017000.0,504739500.0,38153000.0,2901000.0,0.0,2901000.0,267867000.0,53847000.0,214020000.0,78308445.0,-4145000.0,0.0,1308000.0,-14000000.0,0.0,-12692000.0,14132000.0,44625000.0,-3914000.0,-1671000.0,-2577000.0,-2577000.0,-2577000.0,0.0,0.0,-0.01,37776000.0,12564000.0,23014000.0,0.0,0.693,-30.387,-32.386,274557000.0,0.0,7.125,0.314,0.317,51866000.0,22419000.0,249638000.0,249638000.0,7559000.0,-0.007,-0.023,0.023,0.047,0.0,24178000.0,1.0,10990659.0,11107000.0,11107000.0,22.476,376893000.0,0.0,-1149000.0,32520000.0,33.933,45588000.0
135389,AETCQ,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-25,-844000.0,387042000.0,,91865000.0,295177000.0,,10.192,-58282000.0,5733000.0,5733000.0,201447000.0,-2767000.0,1.754,2.375,186875000.0,0.0,186875000.0,186875000.0,0.0,17720000.0,0.0,0.0,0.0,11433000.0,29153000.0,0.115,29153000.0,11433000.0,-4043000.0,-0.23,-0.24,-0.23,114688000.0,,114688000.0,257057518.0,22.0,8.818,-43474000.0,-3.863,1.0,51742000.0,0.204,4386000.0,15476000.0,511417000.0,,38698000.0,2580000.0,0.0,2580000.0,272354000.0,52381000.0,219973000.0,86095518.0,-1163000.0,0.0,1420000.0,-2625000.0,0.0,-1205000.0,-13657000.0,44625000.0,14808000.0,-1109000.0,-2767000.0,-2767000.0,-2767000.0,0.0,0.0,-0.011,37957000.0,13785000.0,20407000.0,0.0,0.751,-31.115,-34.103,288211000.0,0.0,7.844,0.34,0.349,40238000.0,23260000.0,253189000.0,253189000.0,7597000.0,,,,0.045,0.0,24321000.0,1.0,10976321.0,11253000.0,11253000.0,22.5,382656000.0,0.0,-1276000.0,33098000.0,34.005,39484000.0
135390,AETCQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-25,-2904000.0,371437000.0,,88005000.0,283432000.0,,8.722,-2616000.0,8359000.0,8359000.0,47504000.0,-4735000.0,1.765,2.832,196500000.0,0.0,196500000.0,196500000.0,0.0,5045000.0,0.0,0.0,0.0,-3039000.0,2006000.0,0.036,2006000.0,-3039000.0,-7891000.0,-0.43,-0.43,-0.43,96922000.0,,96922000.0,271984080.0,-24.0,40.033,-5647000.0,-0.508,1.0,7941000.0,0.143,3442000.0,4852000.0,506268000.0,,37142000.0,3277000.0,0.0,3277000.0,274515000.0,49868000.0,224647000.0,88763080.0,6080000.0,0.0,1235000.0,11000000.0,0.0,12235000.0,-2616000.0,0.0,-3031000.0,-508000.0,-4735000.0,-4735000.0,-4735000.0,0.0,0.0,-0.085,7518000.0,423000.0,16380000.0,0.0,0.916,-5.257,-5.195,276713000.0,0.0,8.0,0.363,0.364,37549000.0,5203000.0,55445000.0,55445000.0,1639000.0,,,,,0.0,5879000.0,1.0,11095385.0,11112000.0,11112000.0,4.99,367995000.0,0.0,-3156000.0,28147000.0,33.117,38137000.0
135391,AETCQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-25,-2396000.0,370726000.0,,85001000.0,285725000.0,,9.22,-5809000.0,2279000.0,2279000.0,46998000.0,-12481000.0,1.65,2.691,185500000.0,0.0,185500000.0,185500000.0,0.0,4323000.0,0.0,0.0,0.0,-16366000.0,-12043000.0,-0.201,-12043000.0,-16366000.0,-20801000.0,-1.14,-1.14,-1.14,100437000.0,,100437000.0,285490931.0,-56.0,22.469,-1016000.0,-0.093,1.0,12956000.0,0.216,3636000.0,4435000.0,498781000.0,,39192000.0,3184000.0,0.0,3184000.0,270289000.0,51530000.0,218759000.0,105519931.0,750000.0,0.0,-1533000.0,4000000.0,0.0,2467000.0,-5809000.0,0.0,4793000.0,-701000.0,-12481000.0,-12481000.0,-12481000.0,0.0,0.0,-0.208,29072000.0,-16116000.0,15259000.0,0.0,1.051,-8.179,-8.104,278905000.0,0.0,9.563,0.43,0.425,38467000.0,9938000.0,59954000.0,59954000.0,1743000.0,,,,,0.0,5823000.0,1.0,11034764.0,10893000.0,10893000.0,5.504,367090000.0,0.0,-8320000.0,33259000.0,33.7,33471000.0
135392,AETCQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-25,-1695000.0,380902000.0,,99435000.0,281467000.0,,10.177,-12906000.0,1529000.0,1529000.0,52582000.0,935000.0,1.847,2.37,181500000.0,0.0,181500000.0,181500000.0,0.0,4349000.0,0.0,0.0,0.0,5798000.0,10147000.0,0.153,10147000.0,5798000.0,1558000.0,0.08,0.08,0.08,113035000.0,,113035000.0,259450445.0,22.0,8.831,-24478000.0,-2.204,1.0,13943000.0,0.21,4009000.0,4240000.0,503017000.0,,38153000.0,2901000.0,0.0,2901000.0,267867000.0,53847000.0,214020000.0,78308445.0,-4204000.0,0.0,0.0,-5375000.0,0.0,-5375000.0,13594000.0,0.0,-11572000.0,-851000.0,935000.0,935000.0,935000.0,0.0,0.0,0.014,8145000.0,5798000.0,23014000.0,0.0,0.693,-30.387,-32.386,274557000.0,0.0,7.125,0.314,0.317,51866000.0,22419000.0,66525000.0,66525000.0,2084000.0,,,,,0.0,6061000.0,1.0,10990659.0,11107000.0,11107000.0,5.989,376893000.0,0.0,623000.0,32520000.0,33.933,45588000.0
135393,AETCQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-25,-844000.0,387042000.0,,91865000.0,295177000.0,,10.192,-15108000.0,5733000.0,5733000.0,51025000.0,-603000.0,1.754,2.375,186875000.0,0.0,186875000.0,186875000.0,0.0,4527000.0,0.0,0.0,0.0,2157000.0,6684000.0,0.107,6684000.0,2157000.0,-1004000.0,-0.05,-0.05,-0.05,114688000.0,,114688000.0,257057518.0,22.0,8.818,-15988000.0,-1.421,1.0,11414000.0,0.183,4386000.0,3161000.0,511417000.0,,38698000.0,2580000.0,0.0,2580000.0,272354000.0,52381000.0,219973000.0,86095518.0,1754000.0,0.0,477000.0,11934000.0,0.0,12411000.0,-10042000.0,5066000.0,-880000.0,265000.0,-603000.0,-603000.0,-603000.0,0.0,0.0,-0.01,9257000.0,2157000.0,20407000.0,0.0,0.751,-31.115,-34.103,288211000.0,0.0,7.844,0.34,0.349,40238000.0,23260000.0,62439000.0,62439000.0,1801000.0,,,,,0.0,6054000.0,1.0,10976321.0,11253000.0,11253000.0,5.549,382656000.0,0.0,-401000.0,33098000.0,34.005,39484000.0
135394,AETCQ,ARY,1998-12-31,1999-02-11,1998-09-30,2019-06-25,-2396000.0,370726000.0,376344750.0,85001000.0,285725000.0,0.652,9.22,-45496000.0,2279000.0,2279000.0,195174000.0,-12902000.0,1.65,2.691,185500000.0,0.0,185500000.0,185500000.0,0.0,17773000.0,0.0,0.0,0.0,-5067000.0,12706000.0,0.052,12706000.0,-5067000.0,-20935000.0,-1.18,-1.18,-1.18,100437000.0,110483750.0,100437000.0,248406387.0,-49.0,19.55,-55860000.0,-5.128,1.0,50160000.0,0.204,3636000.0,15868000.0,498781000.0,499720250.0,39192000.0,3184000.0,0.0,3184000.0,270289000.0,51530000.0,218759000.0,65185387.0,-775000.0,0.0,1202000.0,-15000000.0,0.0,-13798000.0,25629000.0,44625000.0,-10364000.0,-2242000.0,-12902000.0,-12902000.0,-12902000.0,0.0,0.0,-0.053,54125000.0,-3965000.0,15259000.0,0.0,0.649,-5.052,-4.979,278905000.0,0.0,5.875,0.266,0.261,38467000.0,9938000.0,245334000.0,245334000.0,7326000.0,-0.034,-0.117,-0.01,-0.021,0.0,23754000.0,1.0,11095385.0,10893000.0,10893000.0,22.522,367090000.0,0.0,-8033000.0,33259000.0,33.7,33471000.0
