None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
132570,AMBC1,MRY,1998-12-31,1998-12-31,1998-12-31,2018-09-18,-108815.0,611405462.0,560297884.0,,,0.038,11.646,-518757.0,30063201.0,30063201.0,0.0,5201882.0,,15.775,136552425.0,,,136552425.0,0.0,1179318.0,431240195.0,0.025,0.555,6971907.0,8151225.0,0.382,8151225.0,6971907.0,6971907.0,1.66,,1.66,36447493.0,35700336.0,36447493.0,148383870.0,21.0,18.204,-950258.0,-0.304,1.0,21315143.0,1.0,1633464.0,0.0,716261222.0,639815197.0,0.0,567491392.0,,,574957969.0,,,68657223.0,16620697.0,0.0,0.0,47553473.0,-1658726.0,121400610.0,-104348412.0,-103829655.0,-431501.0,0.0,5201882.0,5201882.0,5201882.0,0.0,0.0,0.244,14343236.0,6971907.0,0.0,0.334,1.884,13.199,13.215,9735582.0,0.0,21.938,3.221,3.221,0.0,18430141.0,21315143.0,21315143.0,0.0,0.009,0.146,0.011,0.327,0.0,9052201.0,1.0,3129674.0,3129674.0,,6.811,609771998.0,0.0,1770025.0,0.0,194.836,
132571,AMBC1,MRT,1998-12-31,1998-12-31,1998-12-31,2018-09-18,-108815.0,611405462.0,560297884.0,,,0.038,11.646,-518757.0,30063201.0,30063201.0,0.0,5201882.0,,15.775,136552425.0,,,136552425.0,0.0,1179318.0,431240195.0,0.025,0.555,6971907.0,8151225.0,0.382,8151225.0,6971907.0,6971907.0,1.66,,1.66,36447493.0,35700336.0,36447493.0,148383870.0,21.0,18.204,-950258.0,-0.304,1.0,21315143.0,1.0,1633464.0,0.0,716261222.0,639815197.0,0.0,567491392.0,,,574957969.0,,,68657223.0,16620697.0,0.0,0.0,47553473.0,-1658726.0,121400610.0,-104348412.0,-103829655.0,-431501.0,0.0,5201882.0,5201882.0,5201882.0,0.0,0.0,0.244,14343236.0,6971907.0,0.0,0.334,1.884,13.199,13.215,9735582.0,0.0,21.938,3.221,3.221,0.0,18430141.0,21315143.0,21315143.0,0.0,0.009,0.146,0.011,0.327,0.0,9052201.0,1.0,3129674.0,3129674.0,,6.811,609771998.0,0.0,1770025.0,0.0,194.836,
132572,AMBC1,MRT,1998-09-30,1998-09-30,1998-09-30,2018-09-18,770416.0,563173233.0,528598137.0,,,0.04,11.647,-481419.0,21859904.0,21859904.0,0.0,5084150.0,,14.451,101586551.0,,,101586551.0,0.0,1165256.0,417390552.0,0.023,0.53,7284277.0,8449533.0,0.399,8449533.0,7284277.0,7284277.0,1.62,,1.62,36450094.0,35011924.0,36450094.0,138982349.0,19.0,16.449,-3289302.0,-1.051,1.0,21172338.0,1.0,1717333.0,0.0,641182547.0,600298386.0,0.0,527418626.0,,,526723139.0,,,71982502.0,5134026.0,0.0,0.0,9800627.0,-1611781.0,81698476.0,-73756567.0,-73275148.0,-2807883.0,0.0,5084150.0,5084150.0,5084150.0,0.0,0.0,0.24,13888061.0,7284277.0,0.0,0.327,1.975,14.158,14.198,9758214.0,0.0,23.0,3.4,3.4,0.0,17553511.0,21172338.0,21172338.0,0.0,0.01,0.145,0.012,0.344,0.0,8849168.0,1.0,3129674.0,3129674.0,,6.765,561455900.0,0.0,2200127.0,0.0,179.398,
132573,AMBC1,MRT,1998-06-30,1998-06-30,1998-06-30,2018-09-18,354578.0,551177577.0,506530935.0,,,0.041,11.233,-686042.0,29764425.0,29764425.0,0.0,4933871.0,,14.678,96764272.0,,,96764272.0,0.0,1169891.0,412592185.0,0.02,0.453,7285886.0,8455777.0,0.406,8455777.0,7285886.0,7285886.0,1.57,,1.57,35157117.0,34106491.0,35157117.0,142308266.0,20.0,16.83,1416566.0,0.453,1.0,20838713.0,1.0,1801202.0,0.0,616376222.0,576789188.0,0.0,507859879.0,,,516020460.0,,,70417665.0,15954226.0,0.0,0.0,1900914.0,-1564837.0,77358073.0,-63506455.0,-62820413.0,2102608.0,0.0,4933871.0,4933871.0,4933871.0,0.0,0.0,0.237,13552827.0,7285886.0,0.0,0.289,2.003,14.272,14.331,9854463.0,0.0,22.5,3.379,3.379,0.0,16676372.0,20838713.0,20838713.0,0.0,0.01,0.145,0.013,0.35,0.0,8636429.0,1.0,3129674.0,3129674.0,,6.658,549376375.0,0.0,2352015.0,0.0,175.538,
132574,AMBC1,MRT,1998-03-31,1998-03-31,1998-03-31,2018-09-18,792945.0,515435265.0,485705943.0,,,0.042,11.102,-1006944.0,18387053.0,18387053.0,0.0,4732312.0,,13.834,90277654.0,,,90277654.0,0.0,1432290.0,383251075.0,0.015,0.375,7255732.0,8688022.0,0.424,8688022.0,7255732.0,7255732.0,1.51,,1.51,34746638.0,33181925.0,34746638.0,,,,6147968.0,1.964,1.0,20494466.0,1.0,1885071.0,0.0,585440795.0,559202178.0,0.0,483479628.0,,,480688627.0,,,79806687.0,-4607358.0,0.0,0.0,-5184538.0,-1564837.0,48000580.0,-59762850.0,-59211004.0,7154912.0,0.0,4732312.0,4732312.0,4732312.0,0.0,0.0,0.231,13238734.0,7255732.0,0.0,0.248,2.297,16.864,16.887,9981773.0,0.0,25.5,3.894,3.894,0.0,15827526.0,20494466.0,20494466.0,0.0,0.01,0.143,0.013,0.354,0.0,8475175.0,1.0,3129674.0,3129674.0,,6.548,513550194.0,0.0,2523420.0,0.0,164.091,
132575,AMBC1,MRQ,1998-12-31,1998-12-31,1998-12-31,2018-09-18,-108815.0,611405462.0,,,,,11.646,-190747.0,30063201.0,30063201.0,0.0,1346081.0,,15.775,136552425.0,,,136552425.0,0.0,287538.0,431240195.0,0.025,0.15,1591865.0,1879403.0,0.354,1879403.0,1591865.0,1591865.0,0.43,,0.43,36447493.0,,36447493.0,148383870.0,21.0,18.204,1577595.0,0.504,1.0,5307188.0,1.0,1633464.0,0.0,716261222.0,,0.0,567491392.0,,,574957969.0,,,68657223.0,8203297.0,0.0,0.0,35731784.0,-438154.0,49143273.0,-42708318.0,-42517571.0,1768342.0,0.0,1346081.0,1346081.0,1346081.0,0.0,0.0,0.254,3715323.0,1591865.0,0.0,0.349,1.884,13.199,13.215,9735582.0,0.0,21.938,3.221,3.221,0.0,18430141.0,5307188.0,5307188.0,0.0,,,,,0.0,2378596.0,1.0,3129674.0,3129674.0,,1.696,609771998.0,0.0,245784.0,0.0,194.836,
132576,AMBC1,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-09-18,770416.0,563173233.0,,,,,11.647,-125120.0,21859904.0,21859904.0,0.0,1315293.0,,14.451,101586551.0,,,101586551.0,0.0,305238.0,417390552.0,0.023,0.14,1814521.0,2119759.0,0.388,2119759.0,1814521.0,1814521.0,0.42,,0.42,36450094.0,,36450094.0,138982349.0,19.0,16.449,-3378408.0,-1.079,1.0,5464029.0,1.0,1717333.0,0.0,641182547.0,,0.0,527418626.0,,,526723139.0,,,71982502.0,-7904521.0,0.0,0.0,4822278.0,-438153.0,9182492.0,-13833725.0,-13708605.0,-3253288.0,0.0,1315293.0,1315293.0,1315293.0,0.0,0.0,0.241,3649508.0,1814521.0,0.0,0.333,1.975,14.158,14.198,9758214.0,0.0,23.0,3.4,3.4,0.0,17553511.0,5464029.0,5464029.0,0.0,,,,,0.0,2285889.0,1.0,3129674.0,3129674.0,,1.746,561455900.0,0.0,499228.0,0.0,179.398,
132577,AMBC1,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-09-18,354578.0,551177577.0,,,,,11.233,-84048.0,29764425.0,29764425.0,0.0,1287001.0,,14.678,96764272.0,,,96764272.0,0.0,295227.0,412592185.0,0.02,0.14,1757557.0,2052784.0,0.384,2052784.0,1757557.0,1757557.0,0.41,,0.41,35157117.0,,35157117.0,142308266.0,20.0,16.83,357528.0,0.114,1.0,5344186.0,1.0,1801202.0,0.0,616376222.0,,0.0,507859879.0,,,516020460.0,,,70417665.0,11377372.0,0.0,0.0,5720709.0,-391210.0,34670609.0,-23734813.0,-23195667.0,441576.0,0.0,1287001.0,1287001.0,1287001.0,0.0,0.0,0.241,3586629.0,1757557.0,0.0,0.341,2.003,14.272,14.331,9854463.0,0.0,22.5,3.379,3.379,0.0,16676372.0,5344186.0,5344186.0,0.0,,,,,0.0,2211646.0,1.0,3129674.0,3129674.0,,1.708,549376375.0,0.0,470556.0,0.0,175.538,
132578,AMBC1,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-09-18,792945.0,515435265.0,,,,,11.102,-118842.0,18387053.0,18387053.0,0.0,1253507.0,,13.834,90277654.0,,,90277654.0,0.0,291315.0,383251075.0,0.015,0.125,1807964.0,2099279.0,0.404,2099279.0,1807964.0,1807964.0,0.4,,0.4,34746638.0,,34746638.0,,,,493027.0,0.158,1.0,5199740.0,1.0,1885071.0,0.0,585440795.0,,0.0,483479628.0,,,480688627.0,,,79806687.0,4944549.0,0.0,0.0,1278702.0,-391209.0,28404236.0,-24071556.0,-24407812.0,611869.0,0.0,1253507.0,1253507.0,1253507.0,0.0,0.0,0.241,3391776.0,1807964.0,0.0,0.313,2.297,16.864,16.887,9981773.0,0.0,25.5,3.894,3.894,0.0,15827526.0,5199740.0,5199740.0,0.0,,,,,0.0,2176070.0,1.0,3129674.0,3129674.0,,1.661,513550194.0,0.0,554457.0,0.0,164.091,
132579,AMBC1,ARY,1998-12-31,1999-04-01,1998-12-31,2018-09-18,-108815.0,611405462.0,560297884.0,,,0.038,11.646,-520842.0,30063201.0,30063201.0,0.0,5201882.0,,15.775,136552425.0,,,136552425.0,0.0,1179318.0,431240195.0,0.031,0.58,6971907.0,8151225.0,0.382,8151225.0,6971907.0,6971907.0,1.66,,1.66,36447493.0,35700336.0,36447493.0,165757425.0,24.0,20.335,2974033.0,0.95,1.0,21315143.0,1.0,1633464.0,0.0,716261222.0,639815197.0,0.0,567491392.0,,,574957969.0,,,59268201.0,16620697.0,0.0,0.0,47553473.0,-1658726.0,121400610.0,-108274788.0,-107756031.0,3494875.0,0.0,5201882.0,5201882.0,5201882.0,0.0,0.0,0.244,14343236.0,6971907.0,0.0,0.349,1.626,11.394,11.408,9735582.0,0.0,18.938,2.781,2.781,0.0,18430141.0,21315143.0,21315143.0,0.0,0.009,0.146,0.011,0.327,0.0,9052201.0,1.0,3129674.0,3129674.0,,6.811,609771998.0,0.0,1770025.0,0.0,194.836,
