None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
131974,AMOT,MRY,1998-12-31,1998-06-30,1998-06-30,2021-09-07,389000.0,17820000.0,18744250.0,15435000.0,2385000.0,2.204,1.724,-685000.0,3923000.0,3923000.0,26379000.0,-1977000.0,2.807,0.609,1245000.0,0.0,1245000.0,1245000.0,0.0,1490000.0,0.0,0.0,0.0,-2013000.0,-523000.0,-0.013,-523000.0,-2013000.0,-2161000.0,-0.307,-0.307,-0.307,11076000.0,11826250.0,11076000.0,7288750.0,-4.0,-13.936,765000.0,0.119,1.0,14938000.0,0.362,374000.0,148000.0,9269000.0,8912500.0,3649000.0,222000.0,0.0,222000.0,6744000.0,5499000.0,1245000.0,9636750.0,12000.0,-229000.0,-2000.0,-524000.0,0.0,-526000.0,-914000.0,0.0,1450000.0,2000.0,-1977000.0,-1977000.0,-1977000.0,0.0,0.0,-0.048,17204000.0,-2266000.0,2027000.0,0.0,0.87,-4.874,-4.886,1730000.0,0.0,1.5,0.233,0.233,6400000.0,4841000.0,41317000.0,41317000.0,4411000.0,-0.105,-0.167,-0.226,-0.049,0.0,12055000.0,1.0,6424500.0,6426000.0,6426000.0,6.43,17446000.0,1463000.0,-184000.0,497000.0,2.715,9936000.0
131975,AMOT,MRT,1998-12-31,1998-12-31,1998-12-31,2021-09-07,397000.0,15621000.0,17103000.0,13239000.0,2382000.0,1.823,1.468,-693000.0,2369000.0,2369000.0,25742000.0,-2884000.0,2.649,0.656,1192000.0,0.0,1192000.0,1192000.0,0.0,1546000.0,0.0,0.0,0.0,-2635000.0,-1089000.0,-0.035,-1089000.0,-2635000.0,-2768000.0,-0.453,-0.453,-0.453,9431000.0,10493250.0,9431000.0,3099000.0,-1.0,-2.846,-1048000.0,-0.163,1.0,5438000.0,0.174,477000.0,133000.0,8969000.0,8984250.0,2896000.0,0.0,0.0,0.0,6190000.0,4998000.0,1192000.0,4283000.0,-1938000.0,-424000.0,0.0,-468000.0,0.0,-468000.0,-1117000.0,0.0,-355000.0,2000.0,-2884000.0,-2884000.0,-2884000.0,0.0,0.0,-0.092,17334000.0,-11896000.0,1435000.0,0.0,0.454,-1.485,-1.472,1673000.0,0.0,0.667,0.137,0.137,6535000.0,3188000.0,31180000.0,31180000.0,4686000.0,-0.169,-0.275,-0.293,-0.085,0.0,11942000.0,1.0,6424500.0,6424500.0,6424500.0,4.853,15144000.0,0.0,116000.0,0.0,2.357,8241000.0
131976,AMOT,MRT,1998-09-30,1998-09-30,1998-09-30,2021-09-07,477000.0,16294000.0,17933000.0,13833000.0,2461000.0,1.772,1.534,-753000.0,2322000.0,2322000.0,26302000.0,-2695000.0,2.61,0.653,1138000.0,0.0,1138000.0,1138000.0,0.0,1499000.0,0.0,0.0,0.0,-2466000.0,-967000.0,-0.03,-967000.0,-2466000.0,-2610000.0,-0.427,-0.427,-0.427,9857000.0,11202750.0,9857000.0,3746500.0,-2.0,-3.874,-1361000.0,-0.212,1.0,5476000.0,0.172,504000.0,144000.0,9307000.0,9019250.0,3571000.0,0.0,0.0,0.0,6437000.0,5299000.0,1138000.0,6424500.0,-2280000.0,-367000.0,-2000.0,-580000.0,0.0,-582000.0,-1120000.0,0.0,-608000.0,2000.0,-2695000.0,-2695000.0,-2695000.0,0.0,0.0,-0.085,17151000.0,-11675000.0,1702000.0,0.0,0.652,-2.384,-2.342,1789000.0,0.0,1.0,0.202,0.202,6193000.0,3534000.0,31778000.0,31778000.0,4587000.0,-0.15,-0.241,-0.273,-0.078,0.0,11828000.0,1.0,6424500.0,6424500.0,,4.946,15790000.0,0.0,85000.0,563000.0,2.458,8534000.0
131977,AMOT,MRT,1998-06-30,1998-06-30,1998-06-30,2021-09-07,389000.0,17820000.0,18744250.0,15435000.0,2385000.0,2.204,1.724,-685000.0,3923000.0,3923000.0,26379000.0,-1977000.0,2.807,0.609,1245000.0,0.0,1245000.0,1245000.0,0.0,1490000.0,0.0,0.0,0.0,-2013000.0,-523000.0,-0.013,-523000.0,-2013000.0,-2161000.0,-0.307,-0.307,-0.307,11076000.0,11826250.0,11076000.0,7288750.0,-4.0,-13.936,765000.0,0.119,1.0,14938000.0,0.362,374000.0,148000.0,9269000.0,8912500.0,3649000.0,222000.0,0.0,222000.0,6744000.0,5499000.0,1245000.0,9636750.0,12000.0,-229000.0,-2000.0,-524000.0,0.0,-526000.0,-914000.0,0.0,1450000.0,2000.0,-1977000.0,-1977000.0,-1977000.0,0.0,0.0,-0.048,17204000.0,-2266000.0,2027000.0,0.0,0.87,-4.874,-4.886,1730000.0,0.0,1.5,0.233,0.233,6400000.0,4841000.0,41317000.0,41317000.0,4411000.0,-0.105,-0.167,-0.226,-0.049,0.0,12055000.0,1.0,6424500.0,6426000.0,6426000.0,6.43,17446000.0,1463000.0,-184000.0,497000.0,2.715,9936000.0
131978,AMOT,MRT,1998-03-31,1998-03-31,1998-03-31,2021-09-07,0.0,18677000.0,19408500.0,16026000.0,2651000.0,2.154,1.807,-785000.0,3555000.0,3555000.0,26692000.0,-1328000.0,2.267,0.609,1207000.0,1207000.0,0.0,1207000.0,0.0,1149000.0,0.0,0.0,0.0,-1511000.0,-362000.0,-0.009,-362000.0,-1511000.0,-1685000.0,-0.213,-0.213,-0.213,11609000.0,12313750.0,11609000.0,10132040.0,-7.0,-27.989,660000.0,0.103,1.0,15105000.0,0.361,869000.0,174000.0,8392000.0,9225250.0,4037000.0,0.0,0.0,0.0,7068000.0,7068000.0,0.0,12335040.0,88000.0,-75000.0,1000.0,-518000.0,0.0,-517000.0,-857000.0,3000.0,1445000.0,17000.0,-1328000.0,-1328000.0,-1328000.0,0.0,0.0,-0.032,16586000.0,-1481000.0,2338000.0,0.0,1.063,-9.288,-9.014,1782000.0,0.0,1.92,0.295,0.295,6975000.0,5382000.0,41797000.0,41797000.0,3937000.0,-0.068,-0.108,-0.164,-0.036,0.0,12181000.0,1.0,6424500.0,6424500.0,,6.506,17808000.0,0.0,-357000.0,0.0,2.772,8958000.0
131979,AMOT,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-09-07,397000.0,15621000.0,,13239000.0,2382000.0,,1.468,-47000.0,2369000.0,2369000.0,6605000.0,-346000.0,2.649,0.656,1192000.0,0.0,1192000.0,1192000.0,0.0,209000.0,0.0,0.0,0.0,-317000.0,-108000.0,-0.01,-108000.0,-317000.0,-350000.0,-0.053,-0.053,-0.053,9431000.0,,9431000.0,3099000.0,-1.0,-2.846,25000.0,0.004,1.0,3934000.0,0.373,477000.0,33000.0,8969000.0,,2896000.0,0.0,0.0,0.0,6190000.0,4998000.0,1192000.0,4283000.0,7000.0,-57000.0,0.0,54000.0,0.0,54000.0,-104000.0,0.0,72000.0,-3000.0,-346000.0,-346000.0,-346000.0,0.0,0.0,-0.033,4234000.0,-300000.0,1435000.0,0.0,0.454,-1.485,-1.472,1673000.0,0.0,0.667,0.137,0.137,6535000.0,3188000.0,10539000.0,10539000.0,1100000.0,,,,,0.0,3077000.0,1.0,6424500.0,6424500.0,6424500.0,1.64,15144000.0,0.0,-4000.0,0.0,2.357,8241000.0
131980,AMOT,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-09-07,477000.0,16294000.0,,13833000.0,2461000.0,,1.534,-250000.0,2322000.0,2322000.0,6214000.0,-1307000.0,2.61,0.653,1138000.0,0.0,1138000.0,1138000.0,0.0,261000.0,0.0,0.0,0.0,-1264000.0,-1003000.0,,-1003000.0,-1264000.0,-1302000.0,-0.207,-0.207,-0.207,9857000.0,,9857000.0,3746500.0,-2.0,-3.874,-1469000.0,-0.229,1.0,-6214000.0,,504000.0,38000.0,9307000.0,,3571000.0,0.0,0.0,0.0,6437000.0,5299000.0,1138000.0,6424500.0,-1702000.0,-138000.0,0.0,-107000.0,0.0,-107000.0,-388000.0,0.0,-1219000.0,0.0,-1307000.0,-1307000.0,-1307000.0,0.0,0.0,,4069000.0,-10283000.0,1702000.0,0.0,0.652,-2.384,-2.342,1789000.0,0.0,1.0,0.202,0.202,6193000.0,3534000.0,0.0,0.0,1123000.0,,,,,0.0,2887000.0,1.0,6424500.0,6424500.0,6424500.0,0.0,15790000.0,0.0,5000.0,563000.0,2.458,8534000.0
131981,AMOT,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-09-07,389000.0,17820000.0,,15435000.0,2385000.0,,1.724,-171000.0,3923000.0,3923000.0,6678000.0,-541000.0,2.807,0.609,1245000.0,0.0,1245000.0,1245000.0,0.0,796000.0,0.0,0.0,0.0,-402000.0,394000.0,0.036,394000.0,-402000.0,-426000.0,-0.087,-0.087,-0.087,11076000.0,,11076000.0,7288750.0,-4.0,-13.936,559000.0,0.087,1.0,4159000.0,0.384,374000.0,24000.0,9269000.0,,3649000.0,222000.0,0.0,222000.0,6744000.0,5499000.0,1245000.0,9636750.0,368000.0,-229000.0,0.0,38000.0,0.0,38000.0,-400000.0,0.0,730000.0,0.0,-541000.0,-541000.0,-541000.0,0.0,0.0,-0.05,4842000.0,-683000.0,2027000.0,0.0,0.87,-4.874,-4.886,1730000.0,0.0,1.5,0.233,0.233,6400000.0,4841000.0,10837000.0,10837000.0,1317000.0,,,,,0.0,3024000.0,1.0,6424500.0,6426000.0,,1.686,17446000.0,1463000.0,115000.0,497000.0,2.715,9936000.0
131982,AMOT,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-09-07,0.0,18677000.0,,16026000.0,2651000.0,,1.807,-225000.0,3555000.0,3555000.0,6245000.0,-690000.0,2.267,0.609,1207000.0,1207000.0,0.0,1207000.0,0.0,280000.0,0.0,0.0,0.0,-652000.0,-372000.0,-0.038,-372000.0,-652000.0,-690000.0,-0.107,-0.107,-0.107,11609000.0,,11609000.0,10132040.0,-7.0,-27.989,-163000.0,-0.025,1.0,3559000.0,0.363,869000.0,38000.0,8392000.0,,4037000.0,0.0,0.0,0.0,7068000.0,7068000.0,0.0,12335040.0,-611000.0,0.0,0.0,-453000.0,0.0,-453000.0,-225000.0,0.0,62000.0,5000.0,-690000.0,-690000.0,-690000.0,0.0,0.0,-0.07,4189000.0,-630000.0,2338000.0,0.0,1.063,-9.288,-9.014,1782000.0,0.0,1.92,0.295,0.295,6975000.0,5382000.0,9804000.0,9804000.0,1146000.0,,,,,0.0,2954000.0,1.0,6424500.0,6424500.0,,1.526,17808000.0,0.0,0.0,0.0,2.772,8958000.0
131983,AMOT,ARY,1998-12-31,1998-09-17,1998-06-30,2021-09-07,389000.0,17820000.0,18744250.0,15435000.0,2385000.0,2.204,1.724,-685000.0,3923000.0,3923000.0,26379000.0,-1977000.0,2.807,0.609,1245000.0,0.0,1245000.0,1245000.0,0.0,1490000.0,0.0,0.0,0.0,-2013000.0,-523000.0,-0.013,-523000.0,-2013000.0,-2161000.0,-0.307,-0.307,-0.307,11076000.0,11826250.0,11076000.0,5631020.0,-3.0,-10.767,765000.0,0.119,1.0,14938000.0,0.362,374000.0,148000.0,9269000.0,8912500.0,3649000.0,0.0,0.0,0.0,6744000.0,5499000.0,1245000.0,8309020.0,12000.0,-229000.0,-2000.0,-524000.0,0.0,-526000.0,-914000.0,0.0,1450000.0,0.0,-1977000.0,-1977000.0,-1977000.0,0.0,0.0,-0.048,17204000.0,-2266000.0,2027000.0,0.0,0.75,-4.203,-4.213,1730000.0,0.0,1.293,0.201,0.201,6400000.0,4841000.0,41317000.0,41317000.0,4411000.0,-0.105,-0.167,-0.226,-0.049,0.0,12055000.0,1.0,6424500.0,6426000.0,6426000.0,6.43,17446000.0,1463000.0,-184000.0,497000.0,2.715,9936000.0
