None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
126429,AXR,MRY,1998-12-31,1998-04-30,1998-04-30,2021-09-14,0.0,229768000.0,218295250.0,,,0.524,11.405,693000.0,20517000.0,20517000.0,145726000.0,8206000.0,,1.734,102787000.0,,,102787000.0,0.0,3259000.0,0.0,0.0,0.0,18081000.0,21340000.0,0.186,21340000.0,18081000.0,13677000.0,1.11,1.11,1.11,84040000.0,80569250.0,84040000.0,150563606.0,8.0,7.055,2117000.0,0.287,1.0,-31297000.0,-0.274,6204000.0,4404000.0,305834000.0,298211750.0,99904000.0,0.0,,,145728000.0,,,63554606.0,4339000.0,-2202000.0,0.0,4424000.0,0.0,4424000.0,-1509000.0,0.0,1424000.0,0.0,8206000.0,8206000.0,8206000.0,0.0,0.0,0.072,7561000.0,-38858000.0,40352000.0,0.0,0.756,7.745,7.77,17658000.0,0.0,8.625,0.555,0.555,68515000.0,38552000.0,114429000.0,114429000.0,0.0,0.038,0.102,0.061,0.158,0.0,7561000.0,1.0,7368650.0,7369000.0,7369000.0,15.528,223564000.0,0.0,5471000.0,2589000.0,30.338,
126430,AXR,MRT,1998-12-31,1999-01-31,1999-01-31,2021-09-14,0.0,229051000.0,231390750.0,,,0.558,11.936,-1244000.0,11617000.0,11617000.0,148220000.0,4936000.0,,1.604,105766000.0,,,105766000.0,0.0,3471000.0,0.0,0.0,0.0,11254000.0,14725000.0,0.114,14725000.0,11254000.0,6726000.0,0.67,0.67,0.67,87956000.0,86545250.0,87956000.0,136598206.0,12.0,9.277,-9049000.0,-1.228,1.0,-19087000.0,-0.148,9000.0,4528000.0,323191000.0,319607250.0,103043000.0,0.0,,,141095000.0,,,45597206.0,6886000.0,0.0,0.0,15935000.0,0.0,15935000.0,-1244000.0,0.0,-7805000.0,0.0,4936000.0,4936000.0,4936000.0,0.0,0.0,0.038,7650000.0,-26737000.0,32980000.0,0.0,0.518,9.238,9.236,18626000.0,0.0,6.188,0.353,0.353,68171000.0,42468000.0,129133000.0,129133000.0,0.0,0.021,0.057,0.035,0.087,0.0,7650000.0,1.0,7368650.0,7369000.0,7369000.0,17.524,229042000.0,0.0,1790000.0,2349000.0,31.082,
126431,AXR,MRT,1998-09-30,1998-10-31,1998-10-31,2021-09-14,0.0,232045000.0,227586500.0,,,0.502,11.842,1087000.0,12121000.0,12121000.0,145935000.0,8385000.0,,1.659,103122000.0,,,103122000.0,0.0,3101000.0,0.0,0.0,0.0,18456000.0,21557000.0,0.189,21557000.0,18456000.0,13976000.0,1.14,1.14,1.14,87263000.0,85311250.0,87263000.0,147388100.0,8.0,6.837,-8054000.0,-1.093,1.0,-31674000.0,-0.277,0.0,4480000.0,323046000.0,312460750.0,105282000.0,0.0,,,144782000.0,,,55729100.0,8407000.0,0.0,0.0,16461000.0,0.0,16461000.0,1087000.0,0.0,-9141000.0,0.0,8385000.0,8385000.0,8385000.0,0.0,0.0,0.073,7795000.0,-39469000.0,39231000.0,0.0,0.639,6.646,6.634,17921000.0,0.0,7.563,0.488,0.488,73186000.0,41775000.0,114261000.0,114261000.0,0.0,0.037,0.098,0.059,0.162,0.0,7795000.0,1.0,7368650.0,7369000.0,7369000.0,15.506,232045000.0,0.0,5591000.0,2429000.0,31.489,
126432,AXR,MRT,1998-06-30,1998-07-31,1998-07-31,2021-09-14,0.0,234699000.0,224996750.0,,,0.541,11.796,804000.0,15189000.0,15189000.0,150181000.0,10583000.0,,1.7,106848000.0,,,106848000.0,0.0,3209000.0,0.0,0.0,0.0,22015000.0,25224000.0,0.207,25224000.0,22015000.0,17639000.0,1.43,1.43,1.43,86922000.0,83215000.0,86922000.0,132008388.0,6.0,5.233,-4077000.0,-0.553,1.0,-28568000.0,-0.235,0.0,4376000.0,326358000.0,308414250.0,106380000.0,0.0,,,147777000.0,,,49738388.0,5907000.0,-2202000.0,0.0,12186000.0,0.0,12186000.0,-1398000.0,0.0,-4881000.0,0.0,10583000.0,10583000.0,10583000.0,0.0,0.0,0.087,7600000.0,-36168000.0,38420000.0,0.0,0.572,4.7,4.72,23835000.0,0.0,6.75,0.409,0.409,73910000.0,41434000.0,121613000.0,121613000.0,0.0,0.047,0.127,0.071,0.181,0.0,7600000.0,1.0,7368650.0,7369000.0,7369000.0,16.503,234699000.0,0.0,7056000.0,2509000.0,31.85,
126433,AXR,MRT,1998-03-31,1998-04-30,1998-04-30,2021-09-14,0.0,229768000.0,218295250.0,,,0.524,11.405,693000.0,20517000.0,20517000.0,145726000.0,8206000.0,,1.734,102787000.0,,,102787000.0,0.0,3259000.0,0.0,0.0,0.0,18081000.0,21340000.0,0.186,21340000.0,18081000.0,13677000.0,1.11,1.11,1.11,84040000.0,80569250.0,84040000.0,150563606.0,8.0,7.055,2117000.0,0.287,1.0,-31297000.0,-0.274,6204000.0,4404000.0,305834000.0,298211750.0,99904000.0,0.0,,,145728000.0,,,63554606.0,4339000.0,-2202000.0,0.0,4424000.0,0.0,4424000.0,-1509000.0,0.0,1424000.0,0.0,8206000.0,8206000.0,8206000.0,0.0,0.0,0.072,7561000.0,-38858000.0,40352000.0,0.0,0.756,7.745,7.77,17658000.0,0.0,8.625,0.555,0.555,68515000.0,38552000.0,114429000.0,114429000.0,0.0,0.038,0.102,0.061,0.158,0.0,7561000.0,1.0,7368650.0,7369000.0,7369000.0,15.528,223564000.0,0.0,5471000.0,2589000.0,30.338,
126434,AXR,MRQ,1998-12-31,1999-01-31,1999-01-31,2021-09-14,0.0,229051000.0,,,,,11.936,-1211000.0,11617000.0,11617000.0,38994000.0,693000.0,,1.604,105766000.0,,,105766000.0,0.0,1189000.0,0.0,0.0,0.0,798000.0,1987000.0,0.048,1987000.0,798000.0,-346000.0,0.09,0.09,0.09,87956000.0,,87956000.0,136598206.0,12.0,9.277,-4634000.0,-0.629,1.0,2793000.0,0.067,9000.0,1144000.0,323191000.0,,103043000.0,0.0,,,141095000.0,,,45597206.0,-504000.0,0.0,0.0,4130000.0,0.0,4130000.0,-1211000.0,0.0,-3423000.0,0.0,693000.0,693000.0,693000.0,0.0,0.0,0.017,1995000.0,798000.0,32980000.0,0.0,0.518,9.238,9.236,18626000.0,0.0,6.188,0.353,0.353,68171000.0,42468000.0,41787000.0,41787000.0,0.0,,,,,0.0,1995000.0,1.0,7368650.0,7369000.0,7369000.0,5.671,229042000.0,0.0,-1039000.0,2349000.0,31.082,
126435,AXR,MRQ,1998-09-30,1998-10-31,1998-10-31,2021-09-14,0.0,232045000.0,,,,,11.842,-740000.0,12121000.0,12121000.0,31942000.0,341000.0,,1.659,103122000.0,,,103122000.0,0.0,753000.0,0.0,0.0,0.0,1830000.0,2583000.0,0.123,2583000.0,1830000.0,569000.0,0.05,0.05,0.05,87263000.0,,87263000.0,147388100.0,8.0,6.837,-686000.0,-0.093,1.0,-10942000.0,-0.521,0.0,1261000.0,323046000.0,,105282000.0,0.0,,,144782000.0,,,55729100.0,-3068000.0,0.0,0.0,-2382000.0,0.0,-2382000.0,-740000.0,0.0,54000.0,0.0,341000.0,341000.0,341000.0,0.0,0.0,0.016,2158000.0,-13100000.0,39231000.0,0.0,0.639,6.646,6.634,17921000.0,0.0,7.563,0.488,0.488,73186000.0,41775000.0,21000000.0,21000000.0,0.0,,,,,0.0,2158000.0,1.0,7368650.0,7369000.0,7369000.0,2.85,232045000.0,0.0,228000.0,2429000.0,31.489,
126436,AXR,MRQ,1998-06-30,1998-07-31,1998-07-31,2021-09-14,0.0,234699000.0,,,,,11.796,-464000.0,15189000.0,15189000.0,38461000.0,2882000.0,,1.7,106848000.0,,,106848000.0,0.0,775000.0,0.0,0.0,0.0,5931000.0,6706000.0,0.21,6706000.0,5931000.0,4803000.0,0.39,0.39,0.39,86922000.0,,86922000.0,132008388.0,6.0,5.233,-11285000.0,-1.531,1.0,-6488000.0,-0.203,0.0,1128000.0,326358000.0,,106380000.0,0.0,,,147777000.0,,,49738388.0,-5328000.0,0.0,0.0,5957000.0,0.0,5957000.0,-464000.0,0.0,-10821000.0,0.0,2882000.0,2882000.0,2882000.0,0.0,0.0,0.09,1831000.0,-8319000.0,38420000.0,0.0,0.572,4.7,4.72,23835000.0,0.0,6.75,0.409,0.409,73910000.0,41434000.0,31973000.0,31973000.0,0.0,,,,,0.0,1831000.0,1.0,7368650.0,7369000.0,7369000.0,4.339,234699000.0,0.0,1921000.0,2509000.0,31.85,
126437,AXR,MRQ,1998-03-31,1998-04-30,1998-04-30,2021-09-14,0.0,229768000.0,,,,,11.405,1171000.0,20517000.0,20517000.0,38823000.0,1020000.0,,1.734,102787000.0,,,102787000.0,0.0,754000.0,0.0,0.0,0.0,2695000.0,3449000.0,0.1,3449000.0,2695000.0,1700000.0,0.14,0.14,0.14,84040000.0,,84040000.0,150563606.0,8.0,7.055,7556000.0,1.025,1.0,-4450000.0,-0.129,6204000.0,995000.0,305834000.0,,99904000.0,0.0,,,145728000.0,,,63554606.0,15786000.0,0.0,0.0,8230000.0,0.0,8230000.0,1171000.0,0.0,6385000.0,0.0,1020000.0,1020000.0,1020000.0,0.0,0.0,0.03,1666000.0,-6116000.0,40352000.0,0.0,0.756,7.745,7.77,17658000.0,0.0,8.625,0.555,0.555,68515000.0,38552000.0,34373000.0,34373000.0,0.0,,,,,0.0,1666000.0,1.0,7368650.0,7369000.0,7369000.0,4.665,223564000.0,0.0,680000.0,2589000.0,30.338,
126438,AXR,ARY,1998-12-31,1998-07-29,1998-04-30,2021-09-14,0.0,229768000.0,218295250.0,,,0.524,11.405,-605000.0,20517000.0,20517000.0,145256000.0,8206000.0,,1.734,102787000.0,,,102787000.0,0.0,3259000.0,0.0,0.0,0.0,18081000.0,21340000.0,0.186,21340000.0,18081000.0,13677000.0,1.11,1.11,1.11,84040000.0,80569250.0,84040000.0,133393694.0,7.0,6.251,2117000.0,0.287,1.0,-30827000.0,-0.269,6204000.0,4404000.0,305834000.0,298211750.0,99904000.0,0.0,,,145728000.0,,,51123694.0,4339000.0,-2202000.0,0.0,4424000.0,0.0,4424000.0,-2807000.0,0.0,2722000.0,0.0,8206000.0,8206000.0,8206000.0,0.0,0.0,0.072,8031000.0,-38858000.0,40352000.0,0.0,0.608,6.23,6.25,17658000.0,0.0,6.938,0.447,0.447,68515000.0,38552000.0,114429000.0,114429000.0,0.0,0.038,0.102,0.061,0.158,0.0,8031000.0,1.0,7368650.0,7369000.0,7369000.0,15.528,223564000.0,0.0,5471000.0,2589000.0,30.338,
