None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
125974,BARR,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-17,-786000.0,52644000.0,45601250.0,49056000.0,3588000.0,0.424,6.87,-1510000.0,18802000.0,18802000.0,6923000.0,4431000.0,14.604,0.071,0.0,0.0,0.0,0.0,42000.0,741000.0,0.0,0.0,0.0,3324000.0,4065000.0,0.21,4065000.0,3324000.0,3324000.0,0.62,0.58,0.62,49140000.0,42265500.0,49140000.0,46123899.0,14.0,11.347,1244000.0,0.174,1.0,12398000.0,0.642,0.0,0.0,30483000.0,25093000.0,3943000.0,15606000.0,15606000.0,0.0,3504000.0,3359000.0,145000.0,65606899.0,10614000.0,-821000.0,23875000.0,-67000.0,0.0,23298000.0,-15438000.0,-13107000.0,2754000.0,0.0,4431000.0,4421000.0,4421000.0,827000.0,0.0,0.229,9833000.0,2565000.0,1169000.0,0.0,1.335,14.84,13.911,2349000.0,10000.0,8.625,3.396,3.193,6502000.0,-4359000.0,19321000.0,19321000.0,1807000.0,0.097,0.105,0.132,0.172,0.0,8026000.0,1.0,7606597.0,7153000.0,7612000.0,2.701,52644000.0,3092000.0,-1107000.0,112000.0,7.36,45697000.0
125975,BARR,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-17,-786000.0,52644000.0,45601250.0,49056000.0,3588000.0,0.424,6.87,-1510000.0,18802000.0,18802000.0,6923000.0,4431000.0,14.604,0.071,0.0,0.0,0.0,0.0,42000.0,741000.0,0.0,0.0,0.0,3324000.0,4065000.0,0.21,4065000.0,3324000.0,3324000.0,0.62,0.58,0.62,49140000.0,42265500.0,49140000.0,46123899.0,14.0,11.347,1244000.0,0.174,1.0,12398000.0,0.642,0.0,0.0,30483000.0,25093000.0,3943000.0,15606000.0,15606000.0,0.0,3504000.0,3359000.0,145000.0,65606899.0,10614000.0,-821000.0,23875000.0,-67000.0,0.0,23298000.0,-15438000.0,-13107000.0,2754000.0,0.0,4431000.0,4421000.0,4421000.0,827000.0,0.0,0.229,9833000.0,2565000.0,1169000.0,0.0,1.335,14.84,13.911,2349000.0,10000.0,8.625,3.396,3.193,6502000.0,-4359000.0,19321000.0,19321000.0,1807000.0,0.097,0.105,0.132,0.172,0.0,8026000.0,1.0,7606597.0,7153000.0,7612000.0,2.701,52644000.0,3092000.0,-1107000.0,112000.0,7.36,45697000.0
125976,BARR,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-17,-730000.0,50818000.0,38842250.0,47581000.0,3237000.0,0.547,6.187,-697000.0,19483000.0,19483000.0,7692000.0,4983000.0,16.3,0.064,0.0,0.0,0.0,0.0,0.0,487000.0,0.0,0.0,0.0,4334000.0,4821000.0,0.227,4821000.0,4334000.0,4334000.0,0.84,0.75,0.84,47754000.0,35259000.0,47754000.0,37495021.0,9.0,7.777,3508000.0,0.454,1.0,13541000.0,0.638,0.0,0.0,28416000.0,20734000.0,4928000.0,15102000.0,15102000.0,0.0,3064000.0,2919000.0,145000.0,58394021.0,14386000.0,-821000.0,23879000.0,-67000.0,0.0,23301000.0,-13120000.0,-11602000.0,4205000.0,0.0,4983000.0,4973000.0,4973000.0,609000.0,0.0,0.234,9799000.0,3742000.0,1399000.0,0.0,1.223,11.742,8.854,1955000.0,10000.0,7.438,2.75,2.704,4753000.0,-5738000.0,21233000.0,21233000.0,1428000.0,0.128,0.141,0.209,0.204,0.0,8371000.0,1.0,7851297.0,7719000.0,8313000.0,2.751,50818000.0,2256000.0,-649000.0,37000.0,6.583,44662000.0
125977,BARR,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-17,-535000.0,52890000.0,,50248000.0,2642000.0,,6.364,-1135000.0,20899000.0,20899000.0,9314000.0,6115000.0,13.684,0.078,0.0,0.0,0.0,0.0,0.0,418000.0,0.0,0.0,0.0,5536000.0,5954000.0,0.247,5954000.0,5536000.0,5536000.0,1.06,0.93,1.06,49068000.0,,49068000.0,63968348.0,12.0,10.744,5398000.0,0.7,1.0,14749000.0,0.613,0.0,0.0,28319000.0,,3814000.0,17128000.0,17128000.0,0.0,3822000.0,3672000.0,150000.0,74038348.0,17003000.0,-821000.0,25577000.0,-67000.0,0.0,25499000.0,-15029000.0,-13073000.0,6533000.0,0.0,6115000.0,6104000.0,6104000.0,501000.0,0.0,0.254,9503000.0,5246000.0,1767000.0,0.0,1.509,12.129,8.903,1811000.0,11000.0,9.438,3.077,3.024,5516000.0,-6164000.0,24063000.0,24063000.0,1117000.0,,,,0.23,0.0,8386000.0,1.0,7845123.0,7710000.0,8435000.0,3.121,52890000.0,2056000.0,-579000.0,3000.0,6.86,46576000.0
125978,BARR,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-17,-460000.0,26053000.0,,24278000.0,1775000.0,,4.186,-1121000.0,10070000.0,10070000.0,9982000.0,6700000.0,8.582,0.128,0.0,0.0,0.0,0.0,0.0,332000.0,0.0,0.0,0.0,6204000.0,6536000.0,0.261,6536000.0,6204000.0,6204000.0,1.21,1.05,1.21,23100000.0,,23100000.0,59420377.0,10.0,9.091,2218000.0,0.402,1.0,15033000.0,0.601,0.0,0.0,13154000.0,,3324000.0,500000.0,500000.0,0.0,2953000.0,2829000.0,124000.0,67608377.0,7020000.0,0.0,438000.0,0.0,0.0,426000.0,3255000.0,4376000.0,3339000.0,0.0,6700000.0,6688000.0,6688000.0,0.0,0.0,0.267,9274000.0,5759000.0,1210000.0,0.0,2.927,10.109,10.072,1700000.0,12000.0,12.188,2.703,2.689,7538000.0,-6989000.0,25015000.0,25015000.0,902000.0,,,,0.248,0.0,8372000.0,1.0,5547354.0,5519000.0,6391000.0,4.533,26053000.0,1806000.0,-496000.0,216000.0,4.721,21449000.0
125979,BARR,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-17,-786000.0,52644000.0,,49056000.0,3588000.0,,6.435,-848000.0,18802000.0,18802000.0,1555000.0,1384000.0,14.604,0.071,0.0,0.0,0.0,0.0,42000.0,406000.0,0.0,0.0,0.0,822000.0,1228000.0,0.226,1228000.0,822000.0,822000.0,0.19,0.15,0.19,49140000.0,,49140000.0,46123899.0,14.0,11.347,-176000.0,-0.023,1.0,3878000.0,0.714,0.0,0.0,30483000.0,,3943000.0,15606000.0,15606000.0,0.0,3504000.0,3359000.0,145000.0,65606899.0,-681000.0,0.0,4000.0,0.0,0.0,-1000.0,-1352000.0,-504000.0,672000.0,0.0,1384000.0,1381000.0,1381000.0,208000.0,0.0,0.254,3350000.0,528000.0,1169000.0,0.0,1.335,14.84,13.911,2349000.0,3000.0,8.625,3.396,3.193,6502000.0,-4359000.0,5433000.0,5433000.0,592000.0,,,,,0.0,2758000.0,1.0,7606597.0,7636000.0,7387000.0,0.711,52644000.0,3092000.0,-562000.0,112000.0,6.894,45697000.0
125980,BARR,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-17,-730000.0,50818000.0,,47581000.0,3237000.0,,6.187,-204000.0,19483000.0,19483000.0,1107000.0,425000.0,16.3,0.064,0.0,0.0,0.0,0.0,0.0,109000.0,0.0,0.0,0.0,230000.0,339000.0,0.11,339000.0,230000.0,230000.0,0.06,0.06,0.06,47754000.0,,47754000.0,37495021.0,9.0,7.777,-1402000.0,-0.182,1.0,1968000.0,0.64,0.0,0.0,28416000.0,,4928000.0,15102000.0,15102000.0,0.0,3064000.0,2919000.0,145000.0,58394021.0,-1416000.0,0.0,-1540000.0,0.0,0.0,-2040000.0,1822000.0,2026000.0,-1198000.0,0.0,425000.0,423000.0,423000.0,108000.0,0.0,0.138,2128000.0,-160000.0,1399000.0,0.0,1.223,11.742,8.854,1955000.0,2000.0,7.438,2.75,2.704,4753000.0,-5738000.0,3075000.0,3075000.0,475000.0,,,,,0.0,1653000.0,1.0,7851297.0,7719000.0,8313000.0,0.398,50818000.0,2256000.0,-195000.0,37000.0,6.583,44662000.0
125981,BARR,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-17,-535000.0,52890000.0,,50248000.0,2642000.0,,6.364,-154000.0,20899000.0,20899000.0,1826000.0,830000.0,13.684,0.078,0.0,0.0,0.0,0.0,0.0,126000.0,0.0,0.0,0.0,691000.0,817000.0,0.168,817000.0,691000.0,691000.0,0.11,0.1,0.11,49068000.0,,49068000.0,63968348.0,12.0,10.744,3044000.0,0.395,1.0,3038000.0,0.625,0.0,0.0,28319000.0,,3814000.0,17128000.0,17128000.0,0.0,3822000.0,3672000.0,150000.0,74038348.0,10829000.0,-821000.0,25306000.0,-67000.0,0.0,25234000.0,-17603000.0,-16628000.0,3198000.0,0.0,830000.0,828000.0,828000.0,501000.0,0.0,0.17,2297000.0,741000.0,1767000.0,0.0,1.509,12.129,8.903,1811000.0,2000.0,9.438,3.077,3.024,5516000.0,-6164000.0,4864000.0,4864000.0,378000.0,,,,,0.0,1919000.0,1.0,7845123.0,7710000.0,8435000.0,0.631,52890000.0,2056000.0,-139000.0,3000.0,6.86,46576000.0
125982,BARR,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-17,-460000.0,26053000.0,,24278000.0,1775000.0,,4.186,-304000.0,10070000.0,10070000.0,2435000.0,1791000.0,8.582,0.128,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,1591000.0,1691000.0,0.284,1691000.0,1591000.0,1591000.0,0.32,0.28,0.32,23100000.0,,23100000.0,59420377.0,10.0,9.091,-222000.0,-0.04,1.0,3513000.0,0.591,0.0,0.0,13154000.0,,3324000.0,500000.0,500000.0,0.0,2953000.0,2829000.0,124000.0,67608377.0,1882000.0,0.0,105000.0,0.0,0.0,105000.0,1695000.0,1999000.0,82000.0,0.0,1791000.0,1788000.0,1788000.0,0.0,0.0,0.301,2058000.0,1455000.0,1210000.0,0.0,2.927,10.109,10.072,1700000.0,3000.0,12.188,2.703,2.689,7538000.0,-6989000.0,5948000.0,5948000.0,362000.0,,,,,0.0,1696000.0,1.0,5547354.0,5519000.0,6391000.0,1.078,26053000.0,1806000.0,-200000.0,216000.0,4.721,21449000.0
125983,BARR,ARY,1998-12-31,1999-03-31,1998-12-31,2019-09-17,-786000.0,52644000.0,45601250.0,49056000.0,3588000.0,0.449,6.87,-1510000.0,18802000.0,18802000.0,7954000.0,4431000.0,14.604,0.071,0.0,0.0,0.0,0.0,0.0,741000.0,0.0,0.0,0.0,3131000.0,3872000.0,0.189,3872000.0,3131000.0,3122000.0,0.62,0.58,0.62,49140000.0,42265500.0,49140000.0,30183727.0,10.0,7.795,1244000.0,0.174,1.0,12504000.0,0.611,0.0,9000.0,30483000.0,25093000.0,3943000.0,15606000.0,15606000.0,0.0,3504000.0,3359000.0,145000.0,48985727.0,10614000.0,-821000.0,23875000.0,-67000.0,0.0,23298000.0,-15438000.0,-13107000.0,2754000.0,0.0,4431000.0,4421000.0,4421000.0,0.0,0.0,0.216,11066000.0,1438000.0,1169000.0,0.0,0.997,11.08,10.685,2349000.0,10000.0,6.625,2.394,2.316,6502000.0,-4359000.0,20458000.0,20458000.0,1975000.0,0.097,0.105,0.125,0.153,0.0,8552000.0,1.0,7394072.0,7153000.0,7612000.0,2.86,52644000.0,3092000.0,-1309000.0,112000.0,7.36,45697000.0
