None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
125459,BCII1,MRY,1998-12-31,1998-06-30,1998-06-30,2019-07-25,0.0,5813276.0,7856866.0,3764036.0,2049240.0,0.0,0.583,-332174.0,3484374.0,3484374.0,0.0,-4489933.0,5.445,0.135,0.0,0.0,0.0,0.0,0.0,309781.0,0.0,0.0,0.0,-4489933.0,-4180152.0,,-4180152.0,-4489933.0,-4489933.0,-0.51,-0.51,-0.51,5121981.0,7270746.0,5121981.0,71809936.0,-16.0,-17.179,-4587635.0,-0.523,1.0,0.0,,1366317.0,0.0,271290.0,-37070.0,229500.0,0.0,0.0,0.0,691295.0,691295.0,0.0,76819024.0,-5047340.0,0.0,-105167.0,0.0,0.0,-105167.0,-686712.0,-354538.0,-4255461.0,0.0,-4489933.0,-4489933.0,-4489933.0,0.0,0.0,,4830282.0,-4830282.0,92326.0,0.0,14.998,-17.109,-17.157,310088.0,0.0,8.75,,,0.0,-10020230.0,0.0,0.0,3932008.0,-0.571,-0.618,121.12,,0.0,898274.0,1.0,8779317.0,8779317.0,,0.0,4446959.0,0.0,0.0,0.0,0.507,3072741.0
125460,BCII1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-25,0.0,13569641.0,10382667.0,11826854.0,1742787.0,0.0,1.239,-361269.0,10757700.0,10757700.0,0.0,-5234606.0,11.7,0.08,0.0,0.0,0.0,0.0,0.0,393332.0,0.0,0.0,0.0,-5234606.0,-4841274.0,,-4841274.0,-5234606.0,-5234606.0,-0.55,,-0.55,12558816.0,9457446.0,12558816.0,105110022.0,-20.0,-21.711,-5786842.0,-0.571,1.0,0.0,,1362036.0,0.0,439080.0,108190.0,928269.0,0.0,0.0,0.0,1010825.0,1010825.0,0.0,117830489.0,4433714.0,0.0,10516310.0,0.0,0.0,10516310.0,-657023.0,-177311.0,-5425573.0,0.0,-5234606.0,-5234606.0,-5234606.0,0.0,0.0,,5679582.0,-5679582.0,486746.0,0.0,9.382,-22.51,-21.136,324302.0,0.0,11.625,,,0.0,-12882499.0,0.0,0.0,3630161.0,-0.504,-0.553,-48.384,,0.0,2049421.0,1.0,10135956.0,10136213.0,,0.0,12207605.0,0.0,0.0,0.0,1.204,10816029.0
125461,BCII1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-25,0.0,15176797.0,8984636.0,13434934.0,1741863.0,0.0,1.427,-338364.0,12720467.0,12720467.0,0.0,-4902910.0,11.176,0.086,0.0,0.0,0.0,0.0,0.0,352232.0,0.0,0.0,0.0,-4902910.0,-4550678.0,,-4550678.0,-4902910.0,-4902910.0,-0.54,,-0.54,13974635.0,8143274.0,13974635.0,91540214.0,-19.0,-20.116,-5035493.0,-0.514,1.0,0.0,,1360396.0,0.0,-106228.0,-81978.0,546292.0,0.0,0.0,0.0,1202162.0,1202162.0,0.0,95024588.0,5076434.0,0.0,10491315.0,0.0,0.0,10491315.0,-692949.0,-354585.0,-4697129.0,0.0,-4902910.0,-4902910.0,-4902910.0,0.0,0.0,,5317709.0,-5317709.0,661167.0,0.0,6.8,-19.381,-17.361,315610.0,0.0,9.375,,,0.0,-11441685.0,0.0,0.0,3815198.0,-0.546,-0.602,59.808,,0.0,1502511.0,1.0,10135956.0,9789826.0,,0.0,13816401.0,0.0,0.0,0.0,1.411,12232772.0
125462,BCII1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-25,0.0,5813276.0,7856866.0,3764036.0,2049240.0,0.0,0.583,-332174.0,3484374.0,3484374.0,0.0,-4489933.0,5.445,0.135,0.0,0.0,0.0,0.0,0.0,309781.0,0.0,0.0,0.0,-4489933.0,-4180152.0,,-4180152.0,-4489933.0,-4489933.0,-0.51,-0.51,-0.51,5121981.0,7270746.0,5121981.0,71809936.0,-16.0,-17.179,-4587635.0,-0.523,1.0,0.0,,1366317.0,0.0,271290.0,-37070.0,229500.0,0.0,0.0,0.0,691295.0,691295.0,0.0,76819024.0,-5047340.0,0.0,-105167.0,0.0,0.0,-105167.0,-686712.0,-354538.0,-4255461.0,0.0,-4489933.0,-4489933.0,-4489933.0,0.0,0.0,,4830282.0,-4830282.0,92326.0,0.0,14.998,-17.109,-17.157,310088.0,0.0,8.75,,,0.0,-10020230.0,0.0,0.0,3932008.0,-0.571,-0.618,121.12,,0.0,898274.0,1.0,8779317.0,8779317.0,,0.0,4446959.0,0.0,0.0,0.0,0.507,3072741.0
125463,BCII1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-25,0.0,6970955.0,,5093119.0,1877836.0,,0.705,-206164.0,5009088.0,5009088.0,0.0,-4261925.0,6.394,0.129,0.0,0.0,0.0,0.0,0.0,265067.0,0.0,0.0,0.0,-4261925.0,-3996858.0,,-3996858.0,-4261925.0,-4261925.0,-0.49,,-0.49,6174352.0,,6174352.0,85510831.0,-20.0,-21.395,-3979456.0,-0.454,1.0,0.0,,1336647.0,0.0,-171383.0,,34392.0,0.0,0.0,0.0,796603.0,796603.0,0.0,91834817.0,-4474960.0,0.0,-58535.0,0.0,0.0,-58535.0,-618330.0,-412166.0,-3773292.0,0.0,-4261925.0,-4261925.0,-4261925.0,0.0,0.0,,4667796.0,-4667796.0,431713.0,0.0,14.874,-21.548,-21.429,253361.0,0.0,10.5,,,0.0,-8895273.0,0.0,0.0,3953425.0,,,,,0.0,714371.0,1.0,8746173.0,8759724.0,,0.0,5634308.0,0.0,0.0,0.0,0.643,4296516.0
125464,BCII1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-25,0.0,13569641.0,,11826854.0,1742787.0,,1.239,-54292.0,10757700.0,10757700.0,0.0,-1440814.0,11.7,0.08,0.0,0.0,0.0,0.0,0.0,106962.0,0.0,0.0,0.0,-1440814.0,-1333852.0,,-1333852.0,-1440814.0,-1440814.0,-0.14,,-0.14,12558816.0,,12558816.0,105110022.0,-20.0,-21.711,-1924760.0,-0.19,1.0,0.0,,1362036.0,0.0,439080.0,,928269.0,0.0,0.0,0.0,1010825.0,1010825.0,0.0,117830489.0,-1962767.0,0.0,24995.0,0.0,0.0,24995.0,-117294.0,55441.0,-1870468.0,0.0,-1440814.0,-1440814.0,-1440814.0,0.0,0.0,,1568845.0,-1568845.0,486746.0,0.0,9.382,-22.51,-21.136,324302.0,0.0,11.625,,,0.0,-12882499.0,0.0,0.0,788236.0,,,,,0.0,780609.0,1.0,10135956.0,10136213.0,,0.0,12207605.0,0.0,0.0,0.0,1.204,10816029.0
125465,BCII1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-25,0.0,15176797.0,,13434934.0,1741863.0,,1.427,-50972.0,12720467.0,12720467.0,0.0,-1421455.0,11.176,0.086,0.0,0.0,0.0,0.0,0.0,106812.0,0.0,0.0,0.0,-1421455.0,-1314643.0,,-1314643.0,-1421455.0,-1421455.0,-0.15,,-0.15,13974635.0,,13974635.0,91540214.0,-19.0,-20.116,-1280145.0,-0.131,1.0,0.0,,1360396.0,0.0,-106228.0,,546292.0,0.0,0.0,0.0,1202162.0,1202162.0,0.0,95024588.0,9236093.0,0.0,10571679.0,0.0,0.0,10571679.0,-106413.0,-55441.0,-1229173.0,0.0,-1421455.0,-1421455.0,-1421455.0,0.0,0.0,,1607244.0,-1607244.0,661167.0,0.0,6.8,-19.381,-17.361,315610.0,0.0,9.375,,,0.0,-11441685.0,0.0,0.0,885707.0,,,,,0.0,721537.0,1.0,10135956.0,9789826.0,,0.0,13816401.0,0.0,0.0,0.0,1.411,12232772.0
125466,BCII1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-25,0.0,5813276.0,,3764036.0,2049240.0,,0.583,-125324.0,3484374.0,3484374.0,0.0,-1124957.0,5.445,0.135,0.0,0.0,0.0,0.0,0.0,107256.0,0.0,0.0,0.0,-1124957.0,-1017701.0,,-1017701.0,-1124957.0,-1124957.0,-0.12,,-0.12,5121981.0,,5121981.0,71809936.0,-16.0,-17.179,-1417853.0,-0.161,1.0,0.0,,1366317.0,0.0,271290.0,,229500.0,0.0,0.0,0.0,691295.0,691295.0,0.0,76819024.0,-1524714.0,0.0,-21829.0,0.0,0.0,-21829.0,-210356.0,-85032.0,-1292529.0,0.0,-1124957.0,-1124957.0,-1124957.0,0.0,0.0,,1180123.0,-1180123.0,92326.0,0.0,14.998,-17.109,-17.157,310088.0,0.0,8.75,,,0.0,-10020230.0,0.0,0.0,870225.0,,,,,0.0,309898.0,1.0,8779317.0,8779317.0,,0.0,4446959.0,0.0,0.0,0.0,0.507,3072741.0
125467,BCII1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-25,0.0,6970955.0,,5093119.0,1877836.0,,0.705,-130681.0,5009088.0,5009088.0,0.0,-1247380.0,6.394,0.129,0.0,0.0,0.0,0.0,0.0,72302.0,0.0,0.0,0.0,-1247380.0,-1175078.0,,-1175078.0,-1247380.0,-1247380.0,-0.14,,-0.14,6174352.0,,6174352.0,85510831.0,-20.0,-21.395,-1164084.0,-0.133,1.0,0.0,,1336647.0,0.0,-171383.0,,34392.0,0.0,0.0,0.0,796603.0,796603.0,0.0,91834817.0,-1314898.0,0.0,-58535.0,0.0,0.0,-58535.0,-222960.0,-92279.0,-1033403.0,0.0,-1247380.0,-1247380.0,-1247380.0,0.0,0.0,,1323370.0,-1323370.0,431713.0,0.0,14.874,-21.548,-21.429,253361.0,0.0,10.5,,,0.0,-8895273.0,0.0,0.0,1085993.0,,,,,0.0,237377.0,1.0,8746173.0,8759724.0,,0.0,5634308.0,0.0,0.0,0.0,0.643,4296516.0
125468,BCII1,ARY,1998-12-31,1998-09-28,1998-06-30,2019-07-25,0.0,5813276.0,,3764036.0,2049240.0,,0.505,-332174.0,3484374.0,3484374.0,0.0,-4489933.0,5.445,0.135,0.0,0.0,0.0,0.0,0.0,309781.0,0.0,0.0,0.0,-4489933.0,-4180152.0,,-4180152.0,-4489933.0,-4489933.0,-0.51,,-0.51,5121981.0,,5121981.0,87739230.0,-20.0,-20.989,-4885205.0,-0.482,1.0,0.0,,1366317.0,0.0,271290.0,,229500.0,0.0,0.0,0.0,691295.0,691295.0,0.0,91223604.0,-5047340.0,0.0,192403.0,0.0,0.0,192403.0,-686712.0,-354538.0,-4553031.0,0.0,-4489933.0,-4489933.0,-4489933.0,0.0,0.0,,4830282.0,-4830282.0,210290.0,0.0,17.81,-20.317,-17.647,310088.0,0.0,9.0,,,0.0,-10020230.0,0.0,0.0,3932008.0,,,,,0.0,898274.0,1.0,10135956.0,10135956.0,,0.0,4446959.0,0.0,0.0,0.0,0.439,3072741.0
