None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
123418,BJ1,MRY,1998-12-31,1999-01-30,1999-01-30,2019-05-23,0.0,907630000.0,866853500.0,456590000.0,451040000.0,4.098,6.484,-77790000.0,12150000.0,12150000.0,3154017000.0,62479000.0,1.314,0.871,32450000.0,201000.0,32249000.0,32450000.0,0.0,40854000.0,0.0,0.0,0.0,114487000.0,155341000.0,0.044,155341000.0,114487000.0,115443000.0,0.83,0.82,0.83,485042000.0,459965000.0,485042000.0,1677762050.0,15.0,10.801,46355000.0,0.62,1.0,398164000.0,0.112,0.0,-956000.0,580319000.0,569686000.0,372740000.0,100000.0,100000.0,0.0,422588000.0,347611000.0,74977000.0,1618443050.0,7119000.0,0.0,-27639000.0,-12665000.0,0.0,-39141000.0,-77885000.0,-95000.0,124145000.0,0.0,62479000.0,62479000.0,62479000.0,0.0,0.0,0.018,264351000.0,133813000.0,213702000.0,0.0,3.337,25.904,26.355,440117000.0,0.0,21.875,0.456,0.461,51134000.0,405928000.0,3552181000.0,3552181000.0,0.0,0.072,0.136,0.201,0.032,2618000.0,255087000.0,1.0,73985968.0,74804538.0,76095876.0,47.486,907630000.0,7859000.0,52964000.0,19557000.0,12.133,108979000.0
123419,BJ1,MRT,1998-12-31,1999-01-30,1999-01-30,2019-05-23,0.0,907630000.0,866853500.0,456590000.0,451040000.0,4.098,6.484,-77790000.0,12150000.0,12150000.0,3154017000.0,62479000.0,1.314,0.871,32450000.0,201000.0,32249000.0,32450000.0,0.0,40854000.0,0.0,0.0,0.0,114487000.0,155341000.0,0.044,155341000.0,114487000.0,115443000.0,0.83,0.82,0.83,485042000.0,459965000.0,485042000.0,1677762050.0,15.0,10.801,46355000.0,0.62,1.0,398164000.0,0.112,0.0,-956000.0,580319000.0,569686000.0,372740000.0,100000.0,100000.0,0.0,422588000.0,347611000.0,74977000.0,1618443050.0,7119000.0,0.0,-27639000.0,-12665000.0,0.0,-39141000.0,-77885000.0,-95000.0,124145000.0,0.0,62479000.0,62479000.0,62479000.0,0.0,0.0,0.018,264351000.0,133813000.0,213702000.0,0.0,3.337,25.904,26.355,440117000.0,0.0,21.875,0.456,0.461,51134000.0,405928000.0,3552181000.0,3552181000.0,0.0,0.072,0.136,0.201,0.032,2618000.0,255087000.0,1.0,73985968.0,74804538.0,76095876.0,47.486,907630000.0,7859000.0,52964000.0,19557000.0,12.133,108979000.0
123420,BJ1,MRT,1998-09-30,1998-10-31,1998-10-31,2019-05-23,0.0,924373000.0,842855000.0,497346000.0,427027000.0,4.15,6.034,-66123000.0,7675000.0,7675000.0,3109295000.0,57249000.0,1.373,1.048,66994000.0,197000.0,66797000.0,66994000.0,0.0,39907000.0,0.0,0.0,0.0,106367000.0,146274000.0,0.042,146274000.0,106367000.0,106590000.0,0.76,0.745,0.76,451331000.0,450268750.0,451331000.0,1359896053.0,13.0,9.297,39103000.0,0.523,1.0,388524000.0,0.111,0.0,-223000.0,621403000.0,565808750.0,430373000.0,98000.0,98000.0,0.0,473042000.0,362289000.0,110753000.0,1354421053.0,-655000.0,0.0,-20371000.0,-20360000.0,0.0,-39663000.0,-66218000.0,-95000.0,105226000.0,0.0,57249000.0,57249000.0,57249000.0,0.0,0.0,0.016,264245000.0,124279000.0,265373000.0,0.0,3.001,23.658,23.643,416424000.0,0.0,17.969,0.387,0.384,41582000.0,368286000.0,3497819000.0,3497819000.0,0.0,0.068,0.127,0.188,0.03,0.0,254440000.0,1.0,75376476.0,74794712.0,75962876.0,46.766,924373000.0,7492000.0,49341000.0,1268000.0,12.359,135057000.0
123421,BJ1,MRT,1998-06-30,1998-08-01,1998-08-01,2019-05-23,0.0,826420000.0,825451750.0,410981000.0,415439000.0,4.135,6.139,-57446000.0,9361000.0,9361000.0,3032087000.0,56639000.0,1.336,0.786,14836000.0,193000.0,14643000.0,14836000.0,0.0,39179000.0,0.0,0.0,0.0,106473000.0,145652000.0,0.043,145652000.0,106473000.0,105442000.0,0.755,0.735,0.755,462707000.0,440739000.0,462707000.0,1425162680.0,13.0,9.785,57445000.0,0.762,1.0,380771000.0,0.112,0.0,1031000.0,524340000.0,564259000.0,350562000.0,97000.0,97000.0,0.0,363713000.0,307555000.0,56158000.0,1393813680.0,4361000.0,0.0,5797000.0,-59854000.0,0.0,-52989000.0,-57541000.0,-95000.0,114891000.0,0.0,56639000.0,56639000.0,56639000.0,0.0,0.0,0.017,256386000.0,124385000.0,228399000.0,0.0,3.012,24.609,24.503,404955000.0,0.0,18.5,0.408,0.409,33905000.0,353858000.0,3412858000.0,3412858000.0,0.0,0.069,0.129,0.189,0.031,0.0,247698000.0,1.0,75341280.0,75372462.0,76685022.0,45.28,826420000.0,7270000.0,48803000.0,-5898000.0,10.964,103426000.0
123422,BJ1,MRT,1998-03-31,1998-05-02,1998-05-02,2019-05-23,0.0,808991000.0,812987000.0,396884000.0,412107000.0,4.084,5.865,-57061000.0,8227000.0,8227000.0,2953683000.0,50731000.0,1.38,0.835,39576000.0,189000.0,39387000.0,39576000.0,0.0,38247000.0,0.0,0.0,0.0,100581000.0,138828000.0,0.042,138828000.0,100581000.0,95598000.0,0.675,0.665,0.675,440780000.0,424821750.0,440780000.0,1556976346.0,15.0,11.215,36006000.0,0.479,1.0,366940000.0,0.111,0.0,4983000.0,552682000.0,577079750.0,343434000.0,95000.0,95000.0,0.0,368211000.0,287658000.0,80553000.0,1524574346.0,,0.0,4769000.0,13141000.0,0.0,-27684000.0,-57156000.0,-95000.0,93067000.0,,50731000.0,50731000.0,50731000.0,0.0,0.0,0.015,248447000.0,118493000.0,206598000.0,0.0,3.459,30.052,30.0,401728000.0,0.0,20.25,0.459,0.458,28274000.0,332995000.0,3320623000.0,3320623000.0,0.0,0.062,0.119,0.174,0.03,0.0,240931000.0,1.0,75287622.0,75155554.0,76464072.0,44.183,808991000.0,7048000.0,44867000.0,-4539000.0,10.764,109226000.0
123423,BJ1,MRQ,1998-12-31,1999-01-30,1999-01-30,2019-05-23,0.0,907630000.0,,456590000.0,451040000.0,,6.484,-22614000.0,12150000.0,12150000.0,922206000.0,37667000.0,1.314,0.871,32450000.0,201000.0,32249000.0,32450000.0,0.0,10544000.0,0.0,0.0,0.0,61911000.0,72455000.0,0.069,72455000.0,61911000.0,62411000.0,0.5,0.5,0.5,485042000.0,,485042000.0,1677762050.0,15.0,10.801,53339000.0,0.713,1.0,132245000.0,0.125,0.0,-500000.0,580319000.0,,372740000.0,100000.0,100000.0,0.0,422588000.0,347611000.0,74977000.0,1618443050.0,12157000.0,0.0,-6613000.0,-34544000.0,0.0,-41182000.0,-22614000.0,0.0,75953000.0,0.0,37667000.0,37667000.0,37667000.0,0.0,0.0,0.036,76949000.0,55296000.0,213702000.0,0.0,3.337,25.904,26.355,440117000.0,0.0,21.875,0.456,0.461,51134000.0,405928000.0,1054451000.0,1054451000.0,0.0,,,,,2618000.0,67685000.0,1.0,73985968.0,74804538.0,76095876.0,14.096,907630000.0,7859000.0,24744000.0,19557000.0,12.133,108979000.0
123424,BJ1,MRQ,1998-09-30,1998-10-31,1998-10-31,2019-05-23,0.0,924373000.0,,497346000.0,427027000.0,,6.034,-21409000.0,7675000.0,7675000.0,756553000.0,14428000.0,1.373,1.048,66994000.0,197000.0,66797000.0,66994000.0,0.0,10257000.0,0.0,0.0,0.0,23417000.0,33674000.0,0.04,33674000.0,23417000.0,23653000.0,0.19,0.19,0.19,451331000.0,,451331000.0,1359896053.0,13.0,9.297,-28004000.0,-0.374,1.0,91259000.0,0.108,0.0,-236000.0,621403000.0,,430373000.0,98000.0,98000.0,0.0,473042000.0,362289000.0,110753000.0,1354421053.0,-1686000.0,0.0,-25840000.0,52158000.0,0.0,26318000.0,-21409000.0,0.0,-6595000.0,0.0,14428000.0,14428000.0,14428000.0,0.0,0.0,0.017,67842000.0,23417000.0,265373000.0,0.0,3.001,23.658,23.643,416424000.0,0.0,17.969,0.387,0.384,41582000.0,368286000.0,847812000.0,847812000.0,0.0,,,,,0.0,65311000.0,1.0,75376476.0,74794712.0,75962876.0,11.335,924373000.0,7492000.0,9225000.0,1268000.0,12.359,135057000.0
123425,BJ1,MRQ,1998-06-30,1998-08-01,1998-08-01,2019-05-23,0.0,826420000.0,,410981000.0,415439000.0,,6.139,-13395000.0,9361000.0,9361000.0,781679000.0,20863000.0,1.336,0.786,14836000.0,193000.0,14643000.0,14836000.0,0.0,10140000.0,0.0,0.0,0.0,33850000.0,43990000.0,0.05,43990000.0,33850000.0,34202000.0,0.28,0.27,0.28,462707000.0,,462707000.0,1425162680.0,13.0,9.785,24846000.0,0.33,1.0,96011000.0,0.109,0.0,-352000.0,524340000.0,,350562000.0,97000.0,97000.0,0.0,363713000.0,307555000.0,56158000.0,1393813680.0,1134000.0,0.0,1028000.0,-24740000.0,0.0,-23712000.0,-13395000.0,0.0,38241000.0,0.0,20863000.0,20863000.0,20863000.0,0.0,0.0,0.024,62161000.0,33850000.0,228399000.0,0.0,3.012,24.609,24.503,404955000.0,0.0,18.5,0.408,0.409,33905000.0,353858000.0,877690000.0,877690000.0,0.0,,,,,0.0,60989000.0,1.0,75341280.0,75372462.0,76685022.0,11.645,826420000.0,7270000.0,13339000.0,-5898000.0,10.964,103426000.0
123426,BJ1,MRQ,1998-03-31,1998-05-02,1998-05-02,2019-05-23,0.0,808991000.0,,396884000.0,412107000.0,,5.865,-20372000.0,8227000.0,8227000.0,693579000.0,-10479000.0,1.38,0.835,39576000.0,189000.0,39387000.0,39576000.0,0.0,9913000.0,0.0,0.0,0.0,-4691000.0,5222000.0,0.007,5222000.0,-4691000.0,-4823000.0,-0.14,-0.14,-0.14,440780000.0,,440780000.0,1556976346.0,15.0,11.215,-3826000.0,-0.051,1.0,78649000.0,0.102,0.0,132000.0,552682000.0,,343434000.0,95000.0,95000.0,0.0,368211000.0,287658000.0,80553000.0,1524574346.0,-4486000.0,0.0,3786000.0,-5539000.0,0.0,-565000.0,-20467000.0,-95000.0,16546000.0,0.0,-10479000.0,-10479000.0,-10479000.0,0.0,0.0,-0.014,64014000.0,14635000.0,206598000.0,0.0,3.459,30.052,30.0,401728000.0,0.0,20.25,0.459,0.458,28274000.0,332995000.0,772228000.0,772228000.0,0.0,,,,,0.0,61102000.0,1.0,75287622.0,75155554.0,76464072.0,10.275,808991000.0,7048000.0,5656000.0,-4539000.0,10.764,109226000.0
123427,BJ1,ARY,1998-12-31,1999-04-22,1999-01-30,2019-05-23,0.0,907630000.0,868019500.0,456590000.0,451040000.0,4.092,6.484,-77790000.0,12150000.0,12150000.0,3154017000.0,62479000.0,1.314,0.871,32450000.0,201000.0,32249000.0,32450000.0,0.0,40854000.0,0.0,0.0,0.0,114487000.0,155341000.0,0.044,155341000.0,114487000.0,115443000.0,0.83,0.82,0.83,485042000.0,469686000.0,485042000.0,2005829354.0,18.0,12.912,36055000.0,0.482,1.0,398164000.0,0.112,0.0,-956000.0,580319000.0,579407000.0,372740000.0,100000.0,100000.0,0.0,422588000.0,347611000.0,74977000.0,1985529354.0,-563000.0,0.0,-25021000.0,-12665000.0,0.0,-36523000.0,-77885000.0,-95000.0,113845000.0,0.0,62479000.0,62479000.0,62479000.0,0.0,0.0,0.018,264351000.0,133813000.0,213702000.0,0.0,4.094,31.779,32.38,440117000.0,0.0,26.875,0.559,0.566,51134000.0,405928000.0,3552181000.0,3552181000.0,0.0,0.072,0.133,0.198,0.032,0.0,255087000.0,1.0,73880162.0,74804538.0,76095876.0,47.486,907630000.0,7859000.0,52964000.0,19557000.0,12.133,108979000.0
