None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
122958,BLCI,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-24,0.0,244633000.0,214643500.0,19497000.0,225136000.0,0.362,10.39,-24653000.0,1065000.0,1065000.0,57811000.0,6654000.0,0.613,1.415,106877000.0,14307000.0,92570000.0,106877000.0,0.0,4853000.0,5838000.0,0.0,0.0,14434000.0,19287000.0,0.248,19287000.0,14434000.0,10281000.0,0.68,0.67,0.68,101316000.0,75019500.0,101316000.0,302849599.0,21.0,15.702,-14364000.0,-1.473,1.0,19890000.0,0.256,0.0,4153000.0,318663000.0,292390250.0,0.0,27663000.0,3486000.0,24177000.0,143317000.0,31782000.0,111535000.0,186655599.0,-12227000.0,-35203000.0,36258000.0,10710000.0,0.0,44264000.0,-66780000.0,9027000.0,10289000.0,0.0,6654000.0,6654000.0,6654000.0,0.0,0.0,0.086,9731000.0,10159000.0,7749000.0,0.0,1.842,28.052,28.676,121333000.0,0.0,19.5,2.402,2.447,379000.0,7099000.0,77701000.0,77701000.0,0.0,0.031,0.089,0.049,0.186,0.0,4878000.0,1.0,9572082.0,9751000.0,9978000.0,7.969,244633000.0,0.0,3627000.0,1485000.0,25.088,-12285000.0
122959,BLCI,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-24,0.0,244633000.0,214643500.0,19497000.0,225136000.0,0.362,10.39,-24653000.0,1065000.0,1065000.0,57811000.0,6654000.0,0.613,1.415,106877000.0,14307000.0,92570000.0,106877000.0,0.0,4853000.0,5838000.0,0.0,0.0,14434000.0,19287000.0,0.248,19287000.0,14434000.0,10281000.0,0.68,0.67,0.68,101316000.0,75019500.0,101316000.0,302849599.0,21.0,15.702,-14364000.0,-1.473,1.0,19890000.0,0.256,0.0,4153000.0,318663000.0,292390250.0,0.0,27663000.0,3486000.0,24177000.0,143317000.0,31782000.0,111535000.0,186655599.0,-12227000.0,-35203000.0,36258000.0,10710000.0,0.0,44264000.0,-66780000.0,9027000.0,10289000.0,0.0,6654000.0,6654000.0,6654000.0,0.0,0.0,0.086,9731000.0,10159000.0,7749000.0,0.0,1.842,28.052,28.676,121333000.0,0.0,19.5,2.402,2.447,379000.0,7099000.0,77701000.0,77701000.0,0.0,0.031,0.089,0.049,0.186,0.0,4878000.0,1.0,9572082.0,9751000.0,9978000.0,7.969,244633000.0,0.0,3627000.0,1485000.0,25.088,-12285000.0
122960,BLCI,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-24,0.0,218412000.0,199277500.0,16986000.0,201426000.0,0.344,7.178,-22248000.0,410000.0,410000.0,51221000.0,4781000.0,0.513,2.18,116604000.0,23954000.0,92650000.0,116604000.0,0.0,4695000.0,5007000.0,0.0,0.0,10889000.0,15584000.0,0.228,15584000.0,10889000.0,6851000.0,0.51,0.51,0.51,68682000.0,64170500.0,68682000.0,303868842.0,28.0,19.499,-13256000.0,-1.385,1.0,17234000.0,0.252,0.0,4038000.0,301488000.0,276576750.0,0.0,26630000.0,6028000.0,20602000.0,149730000.0,33118000.0,116612000.0,201028842.0,-3992000.0,-36086000.0,36651000.0,19462000.0,0.0,53351000.0,-66335000.0,-8580000.0,8992000.0,0.0,4781000.0,4781000.0,4781000.0,0.0,0.0,0.07,9521000.0,7713000.0,6971000.0,0.0,2.927,42.047,41.176,120023000.0,0.0,21.0,2.937,2.935,601000.0,4890000.0,68455000.0,68455000.0,0.0,0.024,0.075,0.039,0.159,0.0,4826000.0,1.0,9572802.0,9569000.0,9771000.0,7.154,218412000.0,0.0,2070000.0,0.0,22.825,-16132000.0
122961,BLCI,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-24,0.0,203791000.0,,10383000.0,193408000.0,,7.001,,1437000.0,1437000.0,44077000.0,3158000.0,0.578,2.068,104277000.0,8548000.0,95729000.0,104277000.0,0.0,,4752000.0,0.0,0.0,8399000.0,,,,8399000.0,4236000.0,0.35,0.35,0.35,66414000.0,,66414000.0,323887875.0,39.0,,,,1.0,15138000.0,0.256,0.0,4163000.0,288680000.0,,0.0,21604000.0,1903000.0,19701000.0,137377000.0,17951000.0,119426000.0,242796875.0,,,,,,,,,,,3158000.0,3158000.0,3158000.0,0.0,0.0,0.053,8912000.0,6226000.0,7110000.0,0.0,3.656,76.883,73.214,119815000.0,0.0,25.625,4.1,4.105,613000.0,3077000.0,59215000.0,59215000.0,0.0,,,,0.142,,4205000.0,1.0,9475000.0,9487000.0,9793000.0,6.242,203791000.0,0.0,1078000.0,0.0,21.481,-7568000.0
122962,BLCI,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-24,0.0,191738000.0,,18894000.0,172844000.0,,8.833,,15022000.0,15022000.0,,,1.562,2.012,96113000.0,291000.0,95822000.0,96113000.0,0.0,,4606000.0,0.0,0.0,,,,,,,,,,63666000.0,,63666000.0,316198750.0,,,,,1.0,,,0.0,,260730000.0,,0.0,9746000.0,7446000.0,2300000.0,128072000.0,12099000.0,115973000.0,239243750.0,,,,,,,,,,,,,,,,,,,3794000.0,,3.758,,,116293000.0,,25.25,,,2279000.0,1556000.0,,,,,,,,,,1.0,9475000.0,7208000.0,,,191738000.0,4218000.0,,2143000.0,26.601,6795000.0
122963,BLCI,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-24,0.0,244633000.0,,19497000.0,225136000.0,,9.615,-7403000.0,1065000.0,1065000.0,16036000.0,2209000.0,0.613,1.415,106877000.0,14307000.0,92570000.0,106877000.0,0.0,1276000.0,5838000.0,0.0,0.0,4613000.0,5889000.0,0.272,5889000.0,4613000.0,3351000.0,0.21,0.21,0.21,101316000.0,,101316000.0,302849599.0,21.0,15.702,-2101000.0,-0.199,1.0,5634000.0,0.26,0.0,1262000.0,318663000.0,,0.0,27663000.0,3486000.0,24177000.0,143317000.0,31782000.0,111535000.0,186655599.0,655000.0,-16556000.0,30411000.0,-8770000.0,0.0,20270000.0,-24917000.0,14993000.0,5302000.0,0.0,2209000.0,2209000.0,2209000.0,0.0,0.0,0.102,2378000.0,3256000.0,7749000.0,0.0,1.842,28.052,28.676,121333000.0,0.0,19.5,2.402,2.447,379000.0,7099000.0,21670000.0,21670000.0,0.0,,,,,0.0,1102000.0,1.0,9572082.0,10537000.0,10698000.0,2.057,244633000.0,0.0,1142000.0,1485000.0,23.217,-12285000.0
122964,BLCI,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-24,0.0,218412000.0,,16986000.0,201426000.0,,7.178,-7755000.0,410000.0,410000.0,15505000.0,1813000.0,0.513,2.18,116604000.0,23954000.0,92650000.0,116604000.0,0.0,1146000.0,5007000.0,0.0,0.0,3828000.0,4974000.0,0.243,4974000.0,3828000.0,2795000.0,0.19,0.19,0.19,68682000.0,,68682000.0,303868842.0,28.0,19.499,-6236000.0,-0.652,1.0,4977000.0,0.243,0.0,1033000.0,301488000.0,,0.0,26630000.0,6028000.0,20602000.0,149730000.0,33118000.0,116612000.0,201028842.0,-1027000.0,-6009000.0,455000.0,11874000.0,0.0,11872000.0,-14418000.0,-654000.0,1519000.0,0.0,1813000.0,1813000.0,1813000.0,0.0,0.0,0.089,2426000.0,2551000.0,6971000.0,0.0,2.927,42.047,41.176,120023000.0,0.0,21.0,2.937,2.935,601000.0,4890000.0,20482000.0,20482000.0,0.0,,,,,0.0,1280000.0,1.0,9572802.0,9569000.0,9771000.0,2.14,218412000.0,0.0,982000.0,0.0,22.825,-16132000.0
122965,BLCI,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-24,0.0,203791000.0,,10383000.0,193408000.0,,7.001,-4604000.0,1437000.0,1437000.0,13832000.0,1521000.0,0.578,2.068,104277000.0,8548000.0,95729000.0,104277000.0,0.0,1205000.0,4752000.0,0.0,0.0,3346000.0,4551000.0,0.244,4551000.0,3346000.0,2410000.0,0.16,0.16,0.16,66414000.0,,66414000.0,323887875.0,39.0,,-3731000.0,-0.393,1.0,4819000.0,0.258,0.0,936000.0,288680000.0,,0.0,21604000.0,1903000.0,19701000.0,137377000.0,17951000.0,119426000.0,242796875.0,-6498000.0,-7041000.0,757000.0,9035000.0,0.0,9344000.0,-16715000.0,-5312000.0,873000.0,0.0,1521000.0,1521000.0,1521000.0,0.0,0.0,0.082,2409000.0,2410000.0,7110000.0,0.0,3.656,76.883,73.214,119815000.0,0.0,25.625,4.1,4.105,613000.0,3077000.0,18651000.0,18651000.0,0.0,,,,,0.0,1204000.0,1.0,9475000.0,9487000.0,9793000.0,1.966,203791000.0,0.0,889000.0,0.0,21.481,-7568000.0
122966,BLCI,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-24,0.0,191738000.0,,18894000.0,172844000.0,,6.767,-4891000.0,15022000.0,15022000.0,12438000.0,1111000.0,1.562,2.012,96113000.0,291000.0,95822000.0,96113000.0,0.0,1226000.0,4606000.0,0.0,0.0,2647000.0,3873000.0,0.229,3873000.0,2647000.0,1725000.0,0.12,0.12,0.12,63666000.0,,63666000.0,316198750.0,,,-2296000.0,-0.244,1.0,4460000.0,0.264,0.0,922000.0,260730000.0,,0.0,9746000.0,7446000.0,2300000.0,128072000.0,12099000.0,115973000.0,239243750.0,-5357000.0,-5597000.0,4635000.0,-1429000.0,0.0,2778000.0,-10730000.0,0.0,2595000.0,0.0,1111000.0,1111000.0,1111000.0,0.0,0.0,0.066,2518000.0,1942000.0,3794000.0,0.0,3.758,,,116293000.0,0.0,25.25,,,2279000.0,1556000.0,16898000.0,16898000.0,0.0,,,,,0.0,1292000.0,1.0,9475000.0,9408000.0,9646000.0,1.796,191738000.0,4218000.0,614000.0,2143000.0,20.38,6795000.0
122967,BLCI,ARY,1998-12-31,1999-03-31,1998-12-31,2019-09-24,0.0,244633000.0,214643500.0,19497000.0,225136000.0,0.362,10.39,-24653000.0,1065000.0,1065000.0,57811000.0,6654000.0,0.613,1.415,106877000.0,14307000.0,92570000.0,106877000.0,0.0,4853000.0,5838000.0,0.0,0.0,14434000.0,19287000.0,0.248,19287000.0,14434000.0,10281000.0,0.68,0.67,0.68,101316000.0,75019500.0,101316000.0,305430415.0,21.0,15.836,-14364000.0,-1.473,1.0,19890000.0,0.256,0.0,4153000.0,318663000.0,292390250.0,0.0,27663000.0,3486000.0,24177000.0,143317000.0,31782000.0,111535000.0,199618415.0,-12227000.0,-35203000.0,36258000.0,10710000.0,0.0,44264000.0,-66780000.0,9027000.0,10289000.0,0.0,6654000.0,6654000.0,6654000.0,0.0,0.0,0.086,9731000.0,10159000.0,7749000.0,0.0,1.97,30.0,25.368,121333000.0,0.0,17.25,2.569,2.165,379000.0,7099000.0,77701000.0,77701000.0,0.0,0.031,0.089,0.049,0.186,0.0,4878000.0,1.0,11572082.0,9751000.0,9978000.0,7.969,244633000.0,0.0,3627000.0,1485000.0,25.088,-12285000.0
