None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
121795,BOSA,MRY,1998-12-31,1998-03-28,1998-03-28,2019-07-04,0.0,42499204.0,42364658.0,29413911.0,13085293.0,1.945,4.569,-1578291.0,3870569.0,3870569.0,50344605.0,9576235.0,3.234,0.778,12500000.0,3000000.0,9500000.0,12500000.0,0.0,1779143.0,0.0,0.0,0.0,16630565.0,18409708.0,0.223,18409708.0,16630565.0,15571235.0,1.83,1.74,1.83,23904247.0,31406626.0,23904247.0,117283973.0,7.0,6.371,8131986.0,1.554,1.0,32054679.0,0.389,0.0,1059330.0,42033678.0,38002726.0,12617077.0,0.0,0.0,0.0,18594957.0,9094957.0,9500000.0,102846803.0,-1066663.0,0.0,-23516953.0,12500000.0,-1762032.0,-12778985.0,2002045.0,3616618.0,9710277.0,0.0,9576235.0,9576235.0,9576235.0,0.0,0.0,0.116,15644544.0,16410135.0,3224208.0,0.0,4.302,10.74,11.316,11293168.0,0.0,20.708,1.248,1.315,11439178.0,46245277.0,82399284.0,82399284.0,3513321.0,0.226,0.305,0.438,0.202,589000.0,12131223.0,1.0,4966446.0,5232341.0,5512179.0,15.748,42499204.0,1092000.0,5995000.0,142075.0,8.122,20318954.0
121796,BOSA,MRT,1998-12-31,1998-12-26,1998-12-26,2019-07-04,0.0,64393926.0,49380505.0,49698294.0,14695632.0,2.224,6.29,-4850498.0,1163469.0,1163469.0,72256646.0,11388665.0,2.375,1.052,15078353.0,3000000.0,12078353.0,15078353.0,0.0,2873173.0,0.0,0.0,0.0,19037996.0,21911169.0,0.2,21911169.0,19037996.0,18225665.0,2.28,2.13,2.28,31385865.0,27186432.0,31385865.0,127075856.0,7.0,5.8,1716788.0,0.344,1.0,37559903.0,0.342,0.0,812331.0,57379102.0,43715008.0,28032852.0,0.0,0.0,0.0,33008061.0,20929708.0,12078353.0,119745072.0,-399361.0,0.0,301389.0,-1000000.0,-1667038.0,-2365649.0,-4600998.0,255196.0,6567286.0,0.0,11388665.0,11388665.0,11388665.0,0.0,0.0,0.104,18644782.0,18915121.0,14290926.0,0.0,3.815,10.514,10.526,13300784.0,0.0,24.0,1.09,1.09,19194033.0,30851961.0,109816549.0,109816549.0,4699440.0,0.231,0.419,0.436,0.173,154773.0,13945342.0,1.0,4989378.0,4989609.0,5270648.0,22.009,64393926.0,1092000.0,6837000.0,104274.0,12.906,28768586.0
121797,BOSA,MRT,1998-09-30,1998-09-26,1998-09-26,2019-07-04,0.0,48306688.0,44087411.0,34565295.0,13741393.0,2.261,5.594,-3098686.0,669216.0,669216.0,63914032.0,11047587.0,2.24,0.733,8000000.0,3000000.0,5000000.0,8000000.0,0.0,2375323.0,0.0,0.0,0.0,18862976.0,21238299.0,0.213,21238299.0,18862976.0,17922587.0,2.22,2.08,2.22,27874010.0,24652168.0,27874010.0,126607054.0,7.0,5.961,10662843.0,2.14,1.0,35784333.0,0.359,0.0,940389.0,40204794.0,41585478.0,19115504.0,0.0,0.0,0.0,20432678.0,15432678.0,5000000.0,121946202.0,-310928.0,0.0,352031.0,-10300000.0,-1656401.0,-11604370.0,-2468087.0,675553.0,13761529.0,0.0,11047587.0,11047587.0,11047587.0,0.0,0.0,0.111,17052576.0,18731757.0,9051800.0,0.0,4.375,11.038,11.036,12207869.0,0.0,24.5,1.223,1.225,13141668.0,49988331.0,99698365.0,99698365.0,4252575.0,0.251,0.448,0.454,0.189,407988.0,12800001.0,1.0,4977396.0,4983187.0,5300982.0,20.007,48306688.0,1092000.0,6875000.0,0.0,9.694,19132617.0
121798,BOSA,MRT,1998-06-30,1998-06-27,1998-06-27,2019-07-04,0.0,42322201.0,,28958569.0,13363632.0,,5.143,-2337007.0,3339148.0,3339148.0,57360405.0,10460953.0,2.467,0.654,8000000.0,3000000.0,5000000.0,8000000.0,0.0,1909124.0,0.0,0.0,0.0,18191945.0,20101069.0,0.22,20101069.0,18191945.0,17002953.0,2.11,1.99,2.11,25581605.0,,25581605.0,122694773.0,7.0,6.104,11335675.0,2.279,1.0,34123567.0,0.373,0.0,1188992.0,35242457.0,,13577249.0,0.0,0.0,0.0,16740596.0,11740596.0,5000000.0,114065342.0,482352.0,0.0,414177.0,-12825000.0,-1653040.0,-14063863.0,873533.0,3243308.0,13672682.0,0.0,10460953.0,10460953.0,10460953.0,0.0,0.0,0.114,16086897.0,18036670.0,5254542.0,0.0,4.459,10.904,10.861,11722327.0,0.0,22.917,1.247,1.246,10550950.0,47849446.0,91483972.0,91483972.0,3634524.0,,,,0.199,589000.0,12452373.0,1.0,4977396.0,4974474.0,5210112.0,18.391,42322201.0,1092000.0,6542000.0,645056.0,8.508,17217973.0
121799,BOSA,MRT,1998-03-31,1998-03-28,1998-03-28,2019-07-04,0.0,42499204.0,42364658.0,29413911.0,13085293.0,1.945,4.569,-1578291.0,3870569.0,3870569.0,50344605.0,9576235.0,3.234,0.778,12500000.0,3000000.0,9500000.0,12500000.0,0.0,1779143.0,0.0,0.0,0.0,16630565.0,18409708.0,0.223,18409708.0,16630565.0,15571235.0,1.83,1.74,1.83,23904247.0,31406626.0,23904247.0,117283973.0,7.0,6.371,8131986.0,1.554,1.0,32054679.0,0.389,0.0,1059330.0,42033678.0,38002726.0,12617077.0,0.0,0.0,0.0,18594957.0,9094957.0,9500000.0,102846803.0,-1066663.0,0.0,-23516953.0,12500000.0,-1762032.0,-12778985.0,2002045.0,3616618.0,9710277.0,0.0,9576235.0,9576235.0,9576235.0,0.0,0.0,0.116,15644544.0,16410135.0,3224208.0,0.0,4.302,10.74,11.316,11293168.0,0.0,20.708,1.248,1.315,11439178.0,46245277.0,82399284.0,82399284.0,3513321.0,0.226,0.305,0.438,0.202,589000.0,12131223.0,1.0,4966446.0,5232341.0,5512179.0,15.748,42499204.0,1092000.0,5995000.0,142075.0,8.122,20318954.0
121800,BOSA,MRQ,1998-12-31,1998-12-26,1998-12-26,2019-07-04,0.0,64393926.0,,49698294.0,14695632.0,,6.29,-1906281.0,1163469.0,1163469.0,25070440.0,3953438.0,2.375,1.052,15078353.0,3000000.0,12078353.0,15078353.0,0.0,963261.0,0.0,0.0,0.0,6442056.0,7405317.0,0.199,7405317.0,6442056.0,6222438.0,0.79,0.75,0.79,31385865.0,,31385865.0,127075856.0,7.0,5.8,-6131341.0,-1.229,1.0,12235173.0,0.328,0.0,219618.0,57379102.0,,28032852.0,0.0,0.0,0.0,33008061.0,20929708.0,12078353.0,119745072.0,494253.0,0.0,13026.0,7000000.0,-424099.0,6588927.0,-1869614.0,0.0,-4225060.0,0.0,3953438.0,3953438.0,3953438.0,0.0,0.0,0.106,5810932.0,6424241.0,14290926.0,0.0,3.815,10.514,10.526,13300784.0,0.0,24.0,1.09,1.09,19194033.0,30851961.0,37305613.0,37305613.0,1374400.0,,,,,0.0,4436532.0,1.0,4989378.0,4989609.0,5270648.0,7.477,64393926.0,1092000.0,2269000.0,104274.0,12.906,28768586.0
121801,BOSA,MRQ,1998-09-30,1998-09-26,1998-09-26,2019-07-04,0.0,48306688.0,,34565295.0,13741393.0,,5.594,-1206269.0,669216.0,669216.0,17462999.0,2562981.0,2.24,0.733,8000000.0,3000000.0,5000000.0,8000000.0,0.0,867406.0,0.0,0.0,0.0,4248938.0,5116344.0,0.194,5116344.0,4248938.0,4122981.0,0.51,0.48,0.51,27874010.0,,27874010.0,126607054.0,7.0,5.961,-2369772.0,-0.476,1.0,8887363.0,0.337,0.0,125957.0,40204794.0,,19115504.0,0.0,0.0,0.0,20432678.0,15432678.0,5000000.0,121946202.0,-2669932.0,0.0,153520.0,0.0,-414782.0,-261262.0,-1245167.0,0.0,-1163503.0,0.0,2562981.0,2562981.0,2562981.0,0.0,0.0,0.097,4660068.0,4227295.0,9051800.0,0.0,4.375,11.038,11.036,12207869.0,0.0,24.5,1.223,1.225,13141668.0,49988331.0,26350362.0,26350362.0,1205100.0,,,,,0.0,3454968.0,1.0,4977396.0,4983187.0,5300982.0,5.288,48306688.0,1092000.0,1560000.0,0.0,9.694,19132617.0
121802,BOSA,MRQ,1998-06-30,1998-06-27,1998-06-27,2019-07-04,0.0,42322201.0,,28958569.0,13363632.0,,5.143,-817561.0,3339148.0,3339148.0,13989938.0,2018952.0,2.467,0.654,8000000.0,3000000.0,5000000.0,8000000.0,0.0,538297.0,0.0,0.0,0.0,3401458.0,3939755.0,0.183,3939755.0,3401458.0,3204952.0,0.41,0.39,0.41,25581605.0,,25581605.0,122694773.0,7.0,6.104,4308752.0,0.866,1.0,7510026.0,0.349,0.0,196506.0,35242457.0,,13577249.0,0.0,0.0,0.0,16740596.0,11740596.0,5000000.0,114065342.0,-531421.0,0.0,73189.0,-4500000.0,-414287.0,-4841098.0,-816636.0,0.0,5126313.0,0.0,2018952.0,2018952.0,2018952.0,0.0,0.0,0.094,4140327.0,3369699.0,5254542.0,0.0,4.459,10.904,10.861,11722327.0,0.0,22.917,1.247,1.246,10550950.0,47849446.0,21499964.0,21499964.0,1097503.0,,,,,0.0,3042824.0,1.0,4977396.0,4974474.0,5210112.0,4.322,42322201.0,1092000.0,1186000.0,645056.0,8.508,17217973.0
121803,BOSA,MRQ,1998-03-31,1998-03-28,1998-03-28,2019-07-04,0.0,42499204.0,,29413911.0,13085293.0,,4.812,-920387.0,3870569.0,3870569.0,15733269.0,2853294.0,3.234,0.778,12500000.0,3000000.0,9500000.0,12500000.0,0.0,504209.0,0.0,0.0,0.0,4945544.0,5449753.0,0.221,5449753.0,4945544.0,4675294.0,0.57,0.51,0.57,23904247.0,,23904247.0,117283973.0,7.0,6.371,5909149.0,1.189,1.0,8927341.0,0.362,0.0,270250.0,42033678.0,,12617077.0,0.0,0.0,0.0,18594957.0,9094957.0,9500000.0,102846803.0,2307739.0,0.0,61654.0,-3500000.0,-413870.0,-3852216.0,-669581.0,255196.0,6829536.0,0.0,2853294.0,2853294.0,2853294.0,0.0,0.0,0.116,4033455.0,4893886.0,3224208.0,0.0,4.302,10.74,11.316,11293168.0,0.0,20.708,1.248,1.315,11439178.0,46245277.0,24660610.0,24660610.0,1022437.0,,,,,154773.0,3011018.0,1.0,4966446.0,4968119.0,5657703.0,4.964,42499204.0,1092000.0,1822000.0,142075.0,8.554,20318954.0
121804,BOSA,ARY,1998-12-31,1998-06-26,1998-03-28,2019-07-04,0.0,42499204.0,,29413911.0,13085293.0,,4.568,-1578291.0,3870569.0,3870569.0,50344605.0,9576235.0,3.234,0.778,12500000.0,3000000.0,9500000.0,12500000.0,0.0,1779143.0,0.0,0.0,0.0,16630565.0,18409708.0,0.223,18409708.0,16630565.0,15571235.0,1.833,1.74,1.833,23904247.0,,23904247.0,122694773.0,7.0,6.665,8131986.0,1.554,1.0,32054679.0,0.389,0.0,1059330.0,42033678.0,,12617077.0,0.0,0.0,0.0,18594957.0,9094957.0,9500000.0,114065342.0,-1066663.0,0.0,-23516953.0,12500000.0,-1762032.0,-12778985.0,2002045.0,3616618.0,9710277.0,0.0,9576235.0,9576235.0,9576235.0,0.0,0.0,0.116,15644544.0,16410135.0,0.0,0.0,4.772,11.911,12.502,11293168.0,0.0,22.917,1.384,1.455,11439178.0,46245277.0,82399284.0,82399284.0,3513321.0,,,,0.202,589000.0,12131223.0,1.0,4977396.0,5232431.0,5512179.0,15.748,42499204.0,1092000.0,5995000.0,142075.0,8.122,20318954.0
