None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
118551,CAST1,MRY,1998-12-31,1998-09-27,1998-09-27,2019-06-06,0.0,569265000.0,552794750.0,183678000.0,385587000.0,1.31,10.429,-47216000.0,2322000.0,2322000.0,612035000.0,12792000.0,1.854,2.06,249145000.0,11620000.0,237525000.0,249145000.0,0.0,36275000.0,0.0,0.0,0.0,36224000.0,72499000.0,0.1,72499000.0,36224000.0,20970000.0,0.72,0.71,0.72,186034000.0,186750750.0,186034000.0,409264017.0,11.0,5.645,-1319000.0,-0.074,1.0,111982000.0,0.155,74595000.0,15254000.0,642437000.0,660674000.0,56353000.0,0.0,0.0,0.0,383231000.0,99056000.0,284175000.0,160984017.0,-323000.0,-57384000.0,603000.0,58080000.0,0.0,58392000.0,-104612000.0,0.0,45897000.0,0.0,12792000.0,12792000.0,12792000.0,0.0,0.0,0.018,73603000.0,38379000.0,46802000.0,0.0,0.865,12.585,12.5,307008000.0,0.0,9.0,0.222,0.222,103152000.0,78011000.0,724017000.0,724017000.0,0.0,0.023,0.068,0.055,0.05,0.0,63603000.0,1.0,17887113.0,17838354.0,18042346.0,40.588,494670000.0,13633000.0,8178000.0,39382000.0,27.731,84622000.0
118552,CAST1,MRT,1998-12-31,1998-12-27,1998-12-27,2019-06-06,0.0,646790000.0,588500250.0,197590000.0,449200000.0,1.255,10.559,-45981000.0,1318000.0,1318000.0,627002000.0,11267000.0,1.784,2.424,322093000.0,23486000.0,298607000.0,322093000.0,0.0,38582000.0,0.0,0.0,0.0,35240000.0,73822000.0,0.1,73822000.0,35240000.0,18568000.0,0.63,0.63,0.63,188883000.0,189500000.0,188883000.0,442485173.0,13.0,5.994,-7393000.0,-0.413,1.0,111652000.0,0.151,0.0,16672000.0,856780000.0,725743250.0,59290000.0,0.0,0.0,0.0,457907000.0,110785000.0,347122000.0,195662173.0,-22000.0,-95870000.0,196000.0,103814000.0,0.0,103253000.0,-141863000.0,0.0,38588000.0,0.0,11267000.0,11267000.0,11267000.0,0.0,0.0,0.015,74027000.0,37625000.0,43673000.0,0.0,1.036,17.366,17.361,340259000.0,0.0,10.938,0.265,0.265,113105000.0,81605000.0,738654000.0,738654000.0,0.0,0.019,0.059,0.049,0.048,0.0,64027000.0,1.0,17889113.0,17889113.0,17940418.0,41.291,646790000.0,0.0,7301000.0,48515000.0,36.156,86805000.0
118553,CAST1,MRT,1998-09-30,1998-09-27,1998-09-27,2019-06-06,0.0,569265000.0,552794750.0,183678000.0,385587000.0,1.31,10.429,-47216000.0,2322000.0,2322000.0,612035000.0,12792000.0,1.854,2.06,249145000.0,11620000.0,237525000.0,249145000.0,0.0,36275000.0,0.0,0.0,0.0,36224000.0,72499000.0,0.1,72499000.0,36224000.0,20970000.0,0.72,0.71,0.72,186034000.0,186750750.0,186034000.0,409264017.0,11.0,5.645,-1319000.0,-0.074,1.0,111982000.0,0.155,74595000.0,15254000.0,642437000.0,660674000.0,56353000.0,0.0,0.0,0.0,383231000.0,99056000.0,284175000.0,160984017.0,-323000.0,-57384000.0,603000.0,58080000.0,0.0,58392000.0,-104612000.0,0.0,45897000.0,0.0,12792000.0,12792000.0,12792000.0,0.0,0.0,0.018,73603000.0,38379000.0,46802000.0,0.0,0.865,12.585,12.5,307008000.0,0.0,9.0,0.222,0.222,103152000.0,78011000.0,724017000.0,724017000.0,0.0,0.023,0.068,0.055,0.05,0.0,63603000.0,1.0,17887113.0,17838354.0,18042346.0,40.588,494670000.0,13633000.0,8178000.0,39382000.0,27.731,84622000.0
118554,CAST1,MRT,1998-06-30,1998-06-28,1998-06-28,2019-06-06,0.0,584358000.0,533802500.0,188640000.0,395718000.0,1.349,10.988,-50090000.0,2876000.0,2876000.0,596359000.0,28722000.0,1.851,1.974,251156000.0,12606000.0,238550000.0,251156000.0,0.0,34168000.0,0.0,0.0,0.0,61427000.0,95595000.0,0.133,95595000.0,61427000.0,47085000.0,1.61,1.59,1.61,196473000.0,183402000.0,196473000.0,565993786.0,9.0,5.921,208000.0,0.012,1.0,123583000.0,0.172,0.0,14342000.0,730744000.0,634506000.0,57105000.0,0.0,0.0,0.0,387885000.0,101894000.0,285991000.0,342052786.0,-229000.0,-58081000.0,697000.0,56984000.0,0.0,57394000.0,-107921000.0,0.0,50298000.0,0.0,28722000.0,28722000.0,28722000.0,0.0,0.0,0.04,62261000.0,61322000.0,41697000.0,0.0,1.741,11.909,11.879,319069000.0,0.0,19.125,0.475,0.475,109852000.0,88445000.0,719942000.0,719942000.0,0.0,0.054,0.157,0.097,0.085,0.0,62261000.0,1.0,17885113.0,17880558.0,18123034.0,40.264,584358000.0,0.0,18363000.0,47441000.0,32.681,86746000.0
118555,CAST1,MRT,1998-03-31,1998-03-29,1998-03-29,2019-06-06,0.0,553588000.0,,179217000.0,374371000.0,,10.482,-48673000.0,2278000.0,2278000.0,581515000.0,26824000.0,1.715,1.967,226219000.0,11561000.0,214658000.0,226219000.0,0.0,33463000.0,0.0,0.0,0.0,57979000.0,91442000.0,0.13,91442000.0,57979000.0,43974000.0,1.51,1.49,1.51,186610000.0,,186610000.0,585560850.0,10.0,6.404,9010000.0,0.506,1.0,119839000.0,0.171,0.0,14005000.0,673012000.0,,52005000.0,0.0,0.0,0.0,366978000.0,104517000.0,262461000.0,395662850.0,-1143000.0,-33488000.0,532000.0,22840000.0,0.0,23085000.0,-81911000.0,0.0,57683000.0,0.0,26824000.0,26824000.0,26824000.0,0.0,0.0,0.038,61965000.0,57874000.0,43220000.0,0.0,2.12,14.75,14.735,308106000.0,0.0,22.25,0.564,0.565,105652000.0,78742000.0,701354000.0,701354000.0,0.0,,,,0.083,0.0,61965000.0,1.0,17782600.0,17803366.0,18051353.0,39.394,553588000.0,0.0,17150000.0,47803000.0,31.095,74700000.0
118556,CAST1,MRQ,1998-12-31,1998-12-27,1998-12-27,2019-06-06,0.0,646790000.0,,197590000.0,449200000.0,,10.559,-10224000.0,1318000.0,1318000.0,158192000.0,3594000.0,1.784,2.424,322093000.0,23486000.0,298607000.0,322093000.0,0.0,10525000.0,0.0,0.0,0.0,10633000.0,21158000.0,0.114,21158000.0,10633000.0,5990000.0,0.2,0.2,0.2,188883000.0,,188883000.0,442485173.0,13.0,5.994,-8301000.0,-0.464,1.0,26668000.0,0.144,0.0,4643000.0,856780000.0,,59290000.0,0.0,0.0,0.0,457907000.0,110785000.0,347122000.0,195662173.0,-1004000.0,-38486000.0,-279000.0,46528000.0,0.0,45783000.0,-48710000.0,0.0,1923000.0,0.0,3594000.0,3594000.0,3594000.0,0.0,0.0,0.019,16035000.0,10633000.0,43673000.0,0.0,1.036,17.366,17.361,340259000.0,0.0,10.938,0.265,0.265,113105000.0,81605000.0,184860000.0,184860000.0,0.0,,,,,0.0,16035000.0,1.0,17889113.0,17889113.0,17940418.0,10.334,646790000.0,0.0,2396000.0,48515000.0,36.156,86805000.0
118557,CAST1,MRQ,1998-09-30,1998-09-27,1998-09-27,2019-06-06,0.0,569265000.0,,183678000.0,385587000.0,,10.4,-9838000.0,2322000.0,2322000.0,149328000.0,-10434000.0,1.854,2.06,249145000.0,11620000.0,237525000.0,249145000.0,0.0,9976000.0,0.0,0.0,0.0,-12891000.0,-2915000.0,-0.018,-2915000.0,-12891000.0,-17105000.0,-0.58,-0.58,-0.58,186034000.0,,186034000.0,409264017.0,11.0,5.645,2143000.0,0.12,1.0,14929000.0,0.091,74595000.0,4214000.0,642437000.0,,56353000.0,0.0,0.0,0.0,383231000.0,99056000.0,284175000.0,160984017.0,-554000.0,-378000.0,-5000.0,-2011000.0,0.0,-2307000.0,-10228000.0,0.0,11981000.0,0.0,-10434000.0,-10434000.0,-10434000.0,0.0,0.0,-0.064,25435000.0,-10506000.0,46802000.0,0.0,0.865,12.585,12.5,307008000.0,0.0,9.0,0.222,0.222,103152000.0,78011000.0,164257000.0,164257000.0,0.0,,,,,0.0,15435000.0,1.0,17887113.0,17888166.0,17969005.0,9.182,494670000.0,13633000.0,-6671000.0,39382000.0,27.653,84622000.0
118558,CAST1,MRQ,1998-06-30,1998-06-28,1998-06-28,2019-06-06,0.0,584358000.0,,188640000.0,395718000.0,,10.988,-11676000.0,2876000.0,2876000.0,160481000.0,9703000.0,1.851,1.974,251156000.0,12606000.0,238550000.0,251156000.0,0.0,8743000.0,0.0,0.0,0.0,20021000.0,28764000.0,0.146,28764000.0,20021000.0,15906000.0,0.54,0.54,0.54,196473000.0,,196473000.0,565993786.0,9.0,5.921,2328000.0,0.13,1.0,35965000.0,0.183,0.0,4115000.0,730744000.0,,57105000.0,0.0,0.0,0.0,387885000.0,101894000.0,285991000.0,342052786.0,598000.0,-26827000.0,160000.0,24937000.0,0.0,25097000.0,-38503000.0,0.0,14004000.0,0.0,9703000.0,9703000.0,9703000.0,0.0,0.0,0.049,15944000.0,20021000.0,41697000.0,0.0,1.741,11.909,11.879,319069000.0,0.0,19.125,0.475,0.475,109852000.0,88445000.0,196446000.0,196446000.0,0.0,,,,,0.0,15944000.0,1.0,17885113.0,17880558.0,18123034.0,10.987,584358000.0,0.0,6203000.0,47441000.0,32.681,86746000.0
118559,CAST1,MRQ,1998-03-31,1998-03-29,1998-03-29,2019-06-06,0.0,553588000.0,,179217000.0,374371000.0,,10.482,-14243000.0,2278000.0,2278000.0,159001000.0,8404000.0,1.715,1.967,226219000.0,11561000.0,214658000.0,226219000.0,0.0,9338000.0,0.0,0.0,0.0,17477000.0,26815000.0,0.139,26815000.0,17477000.0,13777000.0,0.47,0.47,0.47,186610000.0,,186610000.0,585560850.0,10.0,6.404,-3563000.0,-0.2,1.0,34090000.0,0.177,0.0,3700000.0,673012000.0,,52005000.0,0.0,0.0,0.0,366978000.0,104517000.0,262461000.0,395662850.0,938000.0,-30179000.0,320000.0,34360000.0,0.0,34680000.0,-44422000.0,0.0,10680000.0,0.0,8404000.0,8404000.0,8404000.0,0.0,0.0,0.044,16613000.0,17477000.0,43220000.0,0.0,2.12,14.75,14.735,308106000.0,0.0,22.25,0.564,0.565,105652000.0,78742000.0,193091000.0,193091000.0,0.0,,,,,0.0,16613000.0,1.0,17782600.0,17803366.0,18051353.0,10.846,553588000.0,0.0,5373000.0,47803000.0,31.095,74700000.0
118560,CAST1,ARY,1998-12-31,1998-12-23,1998-09-27,2019-06-06,0.0,569265000.0,552794750.0,183678000.0,385587000.0,1.31,10.429,-47216000.0,2322000.0,2322000.0,612035000.0,12792000.0,1.854,2.06,249145000.0,11620000.0,237525000.0,249145000.0,0.0,36275000.0,0.0,0.0,0.0,36224000.0,72499000.0,0.1,72499000.0,36224000.0,20970000.0,0.72,0.72,0.72,186034000.0,186750750.0,186034000.0,454783939.0,13.0,6.273,-1319000.0,-0.074,1.0,111982000.0,0.155,74595000.0,15254000.0,642437000.0,660674000.0,56353000.0,0.0,0.0,0.0,383231000.0,99056000.0,284175000.0,207960939.0,-323000.0,-57384000.0,603000.0,58080000.0,0.0,58392000.0,-104612000.0,0.0,45897000.0,0.0,12792000.0,12792000.0,12792000.0,0.0,0.0,0.018,73603000.0,38379000.0,46802000.0,0.0,1.118,16.257,16.146,307008000.0,0.0,11.625,0.287,0.286,103152000.0,78011000.0,724017000.0,724017000.0,0.0,0.023,0.068,0.055,0.05,0.0,63603000.0,1.0,17889113.0,17838354.0,18042346.0,40.588,494670000.0,13633000.0,8178000.0,39382000.0,27.731,84622000.0
