None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
117197,CCIL,MRT,1998-09-30,1998-09-30,1998-09-30,2018-08-21,0.0,169407000.0,173829750.0,79095000.0,90312000.0,,-6.072,,79017000.0,79017000.0,,,37.899,-2.682,268037000.0,0.0,268037000.0,268037000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-100717000.0,-87413500.0,-100717000.0,1064586176.0,,,,,1.0,,,0.0,,356340000.0,325761750.0,0.0,82067000.0,0.0,82067000.0,270124000.0,2087000.0,268037000.0,899783176.0,,,,,,,,,,,,,,,,,,,277000.0,,-8.934,,,0.0,,54.25,,,0.0,-134854000.0,,,,,,,,,,1.0,16585865.0,16585865.0,,,169407000.0,0.0,,1447000.0,10.214,77008000.0
117198,CCIL,MRT,1998-06-30,1998-06-30,1998-06-30,2018-08-21,0.0,199026000.0,,123427000.0,75599000.0,,-5.603,,123301000.0,123301000.0,,,3.082,-3.153,288104000.0,36692000.0,251412000.0,288104000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-92428000.0,,-92428000.0,986406000.0,,,,,1.0,,,0.0,,323787000.0,,0.0,67043000.0,0.0,67043000.0,291454000.0,40042000.0,251412000.0,822778000.0,,,,,,,,,,,,,,,,,,,77000.0,,-8.902,,,0.0,,49.875,,,0.0,-125200000.0,,,,,,,,,,1.0,16496802.0,16496802.0,,,199026000.0,0.0,,1447000.0,12.065,83385000.0
117199,CCIL,MRT,1998-03-31,1998-03-31,1998-03-31,2018-08-21,0.0,186172000.0,,121976000.0,64196000.0,,-5.91,,116775000.0,116775000.0,,,34.761,-2.905,280403000.0,0.0,280403000.0,280403000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-97740000.0,,-97740000.0,887761969.0,,,,,1.0,,,0.0,,346291000.0,,0.0,60392000.0,5004000.0,55388000.0,283912000.0,3509000.0,280403000.0,749690969.0,,,,,,,,,,,,,,,,,,,570000.0,,-7.67,,,0.0,,45.333,,,0.0,-128573000.0,,,,,,,,,,1.0,16537302.0,16537302.0,,,186172000.0,0.0,,1453000.0,11.258,118467000.0
117200,CCIL,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-08-21,0.0,169407000.0,,79095000.0,90312000.0,,-6.072,0.0,79017000.0,79017000.0,0.0,-9654000.0,37.899,-2.682,268037000.0,0.0,268037000.0,268037000.0,0.0,173000.0,0.0,0.0,0.0,-3946000.0,-3773000.0,-0.248,-3773000.0,-3946000.0,-9654000.0,-0.58,-0.58,-0.58,-100717000.0,,-100717000.0,1064586176.0,,,-2014000.0,-0.121,1.0,15197000.0,1.0,0.0,5708000.0,356340000.0,,0.0,82067000.0,0.0,82067000.0,270124000.0,2087000.0,268037000.0,899783176.0,-44284000.0,0.0,1365000.0,-43635000.0,0.0,-42270000.0,0.0,0.0,-2014000.0,0.0,-9654000.0,-9654000.0,-9654000.0,0.0,0.0,-0.635,615000.0,14582000.0,277000.0,0.0,-8.934,,,0.0,0.0,54.25,,,0.0,-134854000.0,15197000.0,15197000.0,0.0,,,,,0.0,615000.0,1.0,16585865.0,16585865.0,,0.916,169407000.0,0.0,0.0,1447000.0,10.214,77008000.0
117201,CCIL,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-08-21,0.0,199026000.0,,123427000.0,75599000.0,,-5.603,0.0,123301000.0,123301000.0,0.0,3373000.0,3.082,-3.153,288104000.0,36692000.0,251412000.0,288104000.0,0.0,173000.0,0.0,0.0,0.0,10147000.0,10320000.0,0.873,10320000.0,10147000.0,3373000.0,0.2,0.18,0.2,-92428000.0,,-92428000.0,986406000.0,,,147000.0,0.009,1.0,11828000.0,1.0,0.0,6774000.0,323787000.0,,0.0,67043000.0,0.0,67043000.0,291454000.0,40042000.0,251412000.0,822778000.0,6526000.0,0.0,1939000.0,-630000.0,0.0,1309000.0,5070000.0,5070000.0,147000.0,0.0,3373000.0,3373000.0,3373000.0,0.0,0.0,0.285,609000.0,11219000.0,77000.0,0.0,-8.902,,,0.0,0.0,49.875,,,0.0,-125200000.0,11828000.0,11828000.0,0.0,,,,,0.0,609000.0,1.0,16496802.0,16496802.0,,0.717,199026000.0,0.0,0.0,1447000.0,12.065,83385000.0
117202,CCIL,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-08-21,0.0,186172000.0,,121976000.0,64196000.0,,-5.91,0.0,116775000.0,116775000.0,0.0,-39819000.0,34.761,-2.905,280403000.0,0.0,280403000.0,280403000.0,0.0,174000.0,0.0,0.0,0.0,-32626000.0,-32452000.0,-9.517,-32452000.0,-32626000.0,-39819000.0,-2.43,-2.43,-2.43,-97740000.0,,-97740000.0,887761969.0,,,565000.0,0.034,1.0,3410000.0,1.0,0.0,7193000.0,346291000.0,,0.0,60392000.0,5004000.0,55388000.0,283912000.0,3509000.0,280403000.0,749690969.0,57519000.0,0.0,848000.0,36136000.0,0.0,36984000.0,19970000.0,19970000.0,565000.0,0.0,-39819000.0,-39819000.0,-39819000.0,0.0,0.0,-11.677,564000.0,2846000.0,570000.0,0.0,-7.67,,,0.0,0.0,45.333,,,0.0,-128573000.0,3410000.0,3410000.0,0.0,,,,,0.0,563000.0,1.0,16537302.0,16537302.0,,0.206,186172000.0,0.0,0.0,1453000.0,11.258,118467000.0
117203,CCIL,ART,1998-09-30,1998-11-16,1998-09-30,2018-08-21,0.0,169407000.0,173829750.0,79095000.0,90312000.0,,-6.033,,79017000.0,79017000.0,,,37.899,-2.682,268037000.0,0.0,268037000.0,268037000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-100717000.0,-87413500.0,-100717000.0,1249138467.0,,,,,1.0,,,0.0,,356340000.0,325761750.0,0.0,82067000.0,0.0,82067000.0,270124000.0,2087000.0,268037000.0,1060118467.0,,,,,,,,,,,,,,,,,,,277000.0,,-10.526,,,0.0,,63.5,,,0.0,-134854000.0,,,,,,,,,,1.0,16694779.0,16694779.0,,,169407000.0,0.0,,1447000.0,10.147,77008000.0
117204,CCIL,ART,1998-06-30,1998-08-13,1998-06-30,2018-08-21,0.0,199026000.0,,123427000.0,75599000.0,,-5.573,,123301000.0,123301000.0,,,3.082,-3.153,288104000.0,36692000.0,251412000.0,288104000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-92428000.0,,-92428000.0,1074952342.0,,,,,1.0,,,0.0,,323787000.0,,0.0,67043000.0,0.0,67043000.0,291454000.0,40042000.0,251412000.0,910149342.0,,,,,,,,,,,,,,,,,,,77000.0,,-9.847,,,0.0,,54.875,,,0.0,-125200000.0,,,,,,,,,,1.0,16585865.0,16585865.0,,,199026000.0,0.0,,1447000.0,12.0,83385000.0
117205,CCIL,ART,1998-03-31,1998-05-15,1998-03-31,2018-08-21,0.0,186172000.0,,121976000.0,64196000.0,,-5.925,,116775000.0,116775000.0,,,34.761,-2.905,280403000.0,0.0,280403000.0,280403000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,-97740000.0,,-97740000.0,837934782.0,,,,,1.0,,,0.0,,346291000.0,,0.0,60392000.0,5004000.0,55388000.0,283912000.0,3509000.0,280403000.0,674306782.0,,,,,,,,,,,,,,,,,,,570000.0,,-6.899,,,0.0,,40.875,,,0.0,-128573000.0,,,,,,,,,,1.0,16496802.0,16496802.0,,,186172000.0,0.0,,1453000.0,11.285,118467000.0
117206,CCIL,ARQ,1998-09-30,1998-11-16,1998-09-30,2018-08-21,0.0,169407000.0,,79095000.0,90312000.0,,-6.033,0.0,79017000.0,79017000.0,0.0,-9654000.0,37.899,-2.682,268037000.0,0.0,268037000.0,268037000.0,0.0,173000.0,0.0,0.0,0.0,-3946000.0,-3773000.0,-0.248,-3773000.0,-3946000.0,-9654000.0,-0.58,-0.58,-0.58,-100717000.0,,-100717000.0,1249138467.0,,,-2014000.0,-0.121,1.0,15197000.0,1.0,0.0,5708000.0,356340000.0,,0.0,82067000.0,0.0,82067000.0,270124000.0,2087000.0,268037000.0,1060118467.0,-44284000.0,0.0,1365000.0,-43635000.0,0.0,-42270000.0,0.0,0.0,-2014000.0,0.0,-9654000.0,-9654000.0,-9654000.0,0.0,0.0,-0.635,615000.0,14582000.0,277000.0,0.0,-10.526,,,0.0,0.0,63.5,,,0.0,-134854000.0,15197000.0,15197000.0,0.0,,,,,0.0,615000.0,1.0,16694779.0,16694779.0,,0.91,169407000.0,0.0,0.0,1447000.0,10.147,77008000.0
