None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
115526,CFFC,MRY,1998-12-31,1998-03-31,1998-03-31,2019-07-17,2371159.0,183894174.0,175800678.0,,,0.039,4.984,-326123.0,7266145.0,7266145.0,0.0,1805483.0,,6.207,18175053.0,,,18175053.0,0.0,234007.0,138164173.0,0.0,0.0,2884153.0,3118160.0,0.452,3118160.0,2884153.0,2884153.0,0.355,0.35,0.355,25514760.0,24425878.0,25514760.0,63757869.0,22.0,20.447,1330607.0,0.26,1.0,6901108.0,1.0,0.0,0.0,194803082.0,191861806.0,0.0,171160515.0,,,158379414.0,,,40631205.0,2343932.0,0.0,57001.0,-8000000.0,-715058.0,12911231.0,-12224029.0,-9537924.0,1656730.0,0.0,1805483.0,1805483.0,1805483.0,0.0,0.0,0.262,4016955.0,2884153.0,0.0,0.0,1.592,22.504,22.359,3937588.0,0.0,7.938,5.888,5.888,0.0,18344373.0,6901108.0,6901108.0,0.0,0.01,0.074,0.015,0.418,0.0,2845175.0,1.0,5118892.0,5118892.0,,1.348,183894174.0,0.0,1078670.0,0.0,35.925,
115527,CFFC,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-17,2637676.0,192508573.0,186781869.0,,,0.046,5.211,-2638193.0,0.0,0.0,0.0,1934644.0,,6.181,15148238.0,,,15148238.0,0.0,254114.0,148140938.0,0.0,0.0,3296507.0,3550621.0,0.41,3550621.0,3296507.0,3296507.0,0.375,0.365,0.375,26806974.0,26056151.0,26806974.0,45696866.0,14.0,12.87,-2361624.0,-0.459,1.0,8660754.0,1.0,0.0,0.0,207656811.0,201608191.0,0.0,171724924.0,,,165701599.0,,,30543046.0,5043273.0,0.0,171200.0,-8000000.0,-769798.0,6579823.0,-1813119.0,3185056.0,276569.0,0.0,1934644.0,1934644.0,1934644.0,0.0,0.0,0.223,5367247.0,3293507.0,0.0,0.0,1.139,15.787,15.833,6139076.0,0.0,5.938,3.527,3.527,0.0,19246370.0,8660754.0,8660754.0,0.0,0.01,0.074,0.016,0.381,0.0,4090837.0,1.0,5144092.0,5144092.0,,1.684,192508573.0,0.0,1361863.0,0.0,37.423,
115528,CFFC,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-17,2338876.0,187494864.0,184374592.0,,,0.042,5.074,-2281857.0,0.0,0.0,0.0,1860609.0,,6.188,15153820.0,,,15153820.0,0.0,268493.0,144243375.0,0.0,0.0,3115531.0,3384024.0,0.432,3384024.0,3115531.0,3115531.0,0.36,0.35,0.36,26085613.0,25585333.0,26085613.0,50224899.0,16.0,14.842,-2212650.0,-0.43,1.0,7828897.0,1.0,0.0,0.0,202648684.0,201195521.0,0.0,174320128.0,,,161409251.0,,,32130575.0,-599067.0,0.0,165001.0,-14000000.0,-742824.0,1427416.0,-2095690.0,2548564.0,69207.0,0.0,1860609.0,1860609.0,1860609.0,0.0,0.0,0.238,4716366.0,3112531.0,0.0,0.0,1.232,17.269,17.361,5877805.0,0.0,6.25,4.104,4.104,0.0,18839009.0,7828897.0,7828897.0,0.0,0.01,0.073,0.015,0.398,0.0,3494019.0,1.0,5140892.0,5140892.0,,1.523,187494864.0,0.0,1254922.0,0.0,36.471,
115529,CFFC,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-17,2255025.0,183229864.0,,,,,5.026,-539511.0,0.0,0.0,0.0,1816670.0,,6.097,18094324.0,,,18094324.0,0.0,242836.0,137158660.0,0.0,0.0,2975107.0,3217943.0,0.448,3217943.0,2975107.0,2975107.0,0.355,0.35,0.355,25817255.0,,25817255.0,49435598.0,17.0,15.362,795178.0,0.155,1.0,7179846.0,1.0,0.0,0.0,201324188.0,,0.0,170803863.0,,,157412609.0,,,38526690.0,2087515.0,0.0,148001.0,-14000000.0,-715740.0,5342626.0,-4589800.0,-1566455.0,1334689.0,0.0,1816670.0,1816670.0,1816670.0,0.0,0.0,0.253,4207739.0,2972107.0,0.0,0.0,1.492,21.207,21.127,4289153.0,0.0,7.5,5.366,5.366,0.0,18671502.0,7179846.0,7179846.0,0.0,,,,0.414,0.0,3084524.0,1.0,5136892.0,5136892.0,,1.398,183229864.0,0.0,1158437.0,0.0,35.669,
115530,CFFC,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-17,2371159.0,183894174.0,175800678.0,,,0.039,4.984,-326123.0,7266145.0,7266145.0,0.0,1805483.0,,6.207,18175053.0,,,18175053.0,0.0,234007.0,138164173.0,0.0,0.0,2884153.0,3118160.0,0.452,3118160.0,2884153.0,2884153.0,0.355,0.35,0.355,25514760.0,24425878.0,25514760.0,63757869.0,22.0,20.447,1330607.0,0.26,1.0,6901108.0,1.0,0.0,0.0,194803082.0,191861806.0,0.0,171160515.0,,,158379414.0,,,40631205.0,2343932.0,0.0,57001.0,-8000000.0,-715058.0,12911231.0,-12224029.0,-9537924.0,1656730.0,0.0,1805483.0,1805483.0,1805483.0,0.0,0.0,0.262,4016955.0,2884153.0,0.0,0.0,1.592,22.504,22.359,3937588.0,0.0,7.938,5.888,5.888,0.0,18344373.0,6901108.0,6901108.0,0.0,0.01,0.074,0.015,0.418,0.0,2845175.0,1.0,5118892.0,5118892.0,,1.348,183894174.0,0.0,1078670.0,0.0,35.925,
115531,CFFC,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-17,2637676.0,192508573.0,,,,,5.211,-384912.0,0.0,0.0,0.0,613133.0,,6.181,15148238.0,,,15148238.0,0.0,44171.0,148140938.0,0.0,0.0,1033423.0,1077594.0,0.404,1077594.0,1033423.0,1033423.0,0.12,0.12,0.12,26806974.0,,26806974.0,45696866.0,14.0,12.87,353802.0,0.069,1.0,2668379.0,1.0,0.0,0.0,207656811.0,,0.0,171724924.0,,,165701599.0,,,30543046.0,6923353.0,0.0,15200.0,0.0,-205771.0,3706992.0,2477647.0,2860144.0,738714.0,0.0,613133.0,613133.0,613133.0,0.0,0.0,0.23,1634956.0,1033423.0,0.0,0.0,1.139,15.787,15.833,6139076.0,0.0,5.938,3.527,3.527,0.0,19246370.0,2668379.0,2668379.0,0.0,,,,,0.0,1310526.0,1.0,5144092.0,5144092.0,,0.519,192508573.0,0.0,420290.0,0.0,37.423,
115532,CFFC,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-17,2338876.0,187494864.0,,,,,5.074,-1788727.0,0.0,0.0,0.0,373143.0,,6.188,15153820.0,,,15153820.0,0.0,78638.0,144243375.0,0.0,0.0,664285.0,742923.0,0.355,742923.0,664285.0,664285.0,0.07,0.065,0.07,26085613.0,,26085613.0,50224899.0,16.0,14.842,-3243936.0,-0.631,1.0,2091655.0,1.0,0.0,0.0,202648684.0,,0.0,174320128.0,,,161409251.0,,,32130575.0,-1104399.0,0.0,17000.0,-3000000.0,-205636.0,3896079.0,-3545269.0,-1877979.0,-1455209.0,0.0,373143.0,373143.0,373143.0,0.0,0.0,0.178,1427370.0,664285.0,0.0,0.0,1.232,17.269,17.361,5877805.0,0.0,6.25,4.104,4.104,0.0,18839009.0,2091655.0,2091655.0,0.0,,,,,0.0,1069322.0,1.0,5140892.0,5140892.0,,0.407,187494864.0,0.0,291142.0,0.0,36.471,
115533,CFFC,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-17,2255025.0,183229864.0,,,,,5.026,-296289.0,0.0,0.0,0.0,506360.0,,6.097,18094324.0,,,18094324.0,0.0,68576.0,137158660.0,0.0,0.0,882768.0,951344.0,0.463,951344.0,882768.0,882768.0,0.1,0.095,0.1,25817255.0,,25817255.0,49435598.0,17.0,15.362,136711.0,0.027,1.0,2056576.0,1.0,0.0,0.0,201324188.0,,0.0,170803863.0,,,157412609.0,,,38526690.0,-656135.0,0.0,91500.0,0.0,-179231.0,-1093244.0,4109.0,424250.0,433000.0,0.0,506360.0,506360.0,506360.0,0.0,0.0,0.246,1176808.0,879768.0,0.0,0.0,1.492,21.207,21.127,4289153.0,0.0,7.5,5.366,5.366,0.0,18671502.0,2056576.0,2056576.0,0.0,,,,,0.0,880223.0,1.0,5136892.0,5136892.0,,0.4,183229864.0,0.0,376408.0,0.0,35.669,
115534,CFFC,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-17,2371159.0,183894174.0,,,,,4.984,-168265.0,7266145.0,7266145.0,0.0,442008.0,,6.207,18175053.0,,,18175053.0,0.0,62729.0,138164173.0,0.0,0.0,716031.0,778760.0,0.422,778760.0,716031.0,716031.0,0.085,0.085,0.085,25514760.0,,25514760.0,63757869.0,22.0,20.447,391799.0,0.077,1.0,1844144.0,1.0,0.0,0.0,194803082.0,,0.0,171160515.0,,,158379414.0,,,40631205.0,-119546.0,0.0,47500.0,-5000000.0,-179160.0,69996.0,-749606.0,1778641.0,560064.0,0.0,442008.0,442008.0,442008.0,0.0,0.0,0.24,1128113.0,716031.0,0.0,0.0,1.592,22.504,22.359,3937588.0,0.0,7.938,5.888,5.888,0.0,18344373.0,1844144.0,1844144.0,0.0,,,,,0.0,830766.0,1.0,5118892.0,5118892.0,,0.36,183894174.0,0.0,274023.0,0.0,35.925,
115535,CFFC,ARY,1998-12-31,1998-06-29,1998-03-31,2019-07-17,2371159.0,183894174.0,,,,,4.967,-326123.0,7266145.0,7266145.0,0.0,1805483.0,,6.207,18175053.0,,,18175053.0,0.0,216462.0,138164173.0,0.0,0.0,2884153.0,3100615.0,0.449,3100615.0,2884153.0,2884153.0,0.355,0.35,0.355,25514760.0,,25514760.0,49435598.0,17.0,15.944,1330607.0,0.259,1.0,6901108.0,1.0,0.0,0.0,194803082.0,,0.0,171160515.0,,,158379414.0,,,38526690.0,2343932.0,0.0,57001.0,-8000000.0,-715058.0,12911231.0,-12224029.0,-11897906.0,1656730.0,0.0,1805483.0,1805483.0,1805483.0,0.0,0.0,0.262,4016955.0,2884153.0,0.0,0.0,1.51,21.339,21.127,3937588.0,0.0,7.5,5.583,5.583,0.0,18344373.0,6901108.0,6901108.0,0.0,,,,0.418,0.0,2845175.0,1.0,5136892.0,5136892.0,,1.343,183894174.0,0.0,1078670.0,0.0,35.799,
