None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
115508,CFFI,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-03,565194.0,320863629.0,311278657.0,,,0.075,9.485,-833258.0,8473240.0,8473240.0,0.0,6134036.0,,7.755,24661078.0,,,24661078.0,0.0,1224611.0,251673159.0,0.018,0.34,8487387.0,9711998.0,0.417,9711998.0,8487387.0,8487387.0,1.59,1.56,1.59,36647493.0,34924623.0,36647493.0,73573275.0,9.0,7.576,-33268519.0,-8.611,1.0,23294693.0,1.0,0.0,0.0,337051467.0,328985367.0,0.0,299316535.0,,,284216136.0,,,72442275.0,-397571.0,0.0,377240.0,15325391.0,-1699119.0,34163519.0,-2125829.0,-1292571.0,-32435261.0,0.0,6134036.0,6134036.0,6134036.0,0.0,0.0,0.263,14807306.0,8487387.0,0.0,0.214,1.977,11.81,11.792,6465375.0,0.0,18.75,3.11,3.11,0.0,31739483.0,23294693.0,23294693.0,0.0,0.02,0.176,0.026,0.364,0.0,10296297.0,1.0,3863588.0,3863588.0,,6.029,320863629.0,0.0,2353351.0,0.0,83.048,
115509,CFFI,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-03,565194.0,320863629.0,311278657.0,,,0.075,9.485,-833258.0,8473240.0,8473240.0,0.0,6134036.0,,7.755,24661078.0,,,24661078.0,0.0,1224611.0,251673159.0,0.018,0.34,8487387.0,9711998.0,0.417,9711998.0,8487387.0,8487387.0,1.59,1.56,1.59,36647493.0,34924623.0,36647493.0,73573275.0,9.0,7.576,-33268519.0,-8.611,1.0,23294693.0,1.0,0.0,0.0,337051467.0,328985367.0,0.0,299316535.0,,,284216136.0,,,72442275.0,-397571.0,0.0,377240.0,15325391.0,-1699119.0,34163519.0,-2125829.0,-1292571.0,-32435261.0,0.0,6134036.0,6134036.0,6134036.0,0.0,0.0,0.263,14807306.0,8487387.0,0.0,0.214,1.977,11.81,11.792,6465375.0,0.0,18.75,3.11,3.11,0.0,31739483.0,23294693.0,23294693.0,0.0,0.02,0.176,0.026,0.364,0.0,10296297.0,1.0,3863588.0,3863588.0,,6.029,320863629.0,0.0,2353351.0,0.0,83.048,
115510,CFFI,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-03,694000.0,300836000.0,300589242.0,,,0.075,9.095,-1168307.0,10939000.0,10939000.0,0.0,5930827.0,,7.418,12070000.0,,,12070000.0,0.0,1236593.0,246393000.0,0.012,0.22,8206790.0,9443383.0,0.422,9443383.0,8206790.0,8206790.0,1.54,1.52,1.54,35737000.0,33712883.0,35737000.0,106853803.0,13.0,11.315,-14509452.0,-3.693,1.0,22401355.0,1.0,0.0,0.0,301967000.0,314365211.0,0.0,277026000.0,,,265099000.0,,,73871803.0,4345483.0,0.0,408323.0,6999412.0,-1577788.0,22814543.0,-5127915.0,-3959608.0,-13341145.0,0.0,5930827.0,5930827.0,5930827.0,0.0,0.0,0.265,14194565.0,8206790.0,0.0,0.143,2.067,12.456,12.416,6463000.0,0.0,19.12,3.298,3.354,0.0,30794000.0,22401355.0,22401355.0,0.0,0.02,0.176,0.026,0.366,0.0,9767587.0,1.0,3863588.0,3929414.0,,5.701,300836000.0,0.0,2275963.0,0.0,76.56,
115511,CFFI,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-03,584000.0,318956000.0,,,,,8.748,-1402307.0,9757000.0,9757000.0,0.0,5591827.0,,8.278,42739000.0,,,42739000.0,0.0,1269593.0,236605000.0,0.005,0.11,7664790.0,8934383.0,0.424,8934383.0,7664790.0,7664790.0,1.46,1.44,1.46,34377000.0,,34377000.0,99175945.0,13.0,11.1,-22096452.0,-5.623,1.0,21071355.0,1.0,0.0,0.0,351938000.0,,0.0,295999000.0,,,284579000.0,,,78649945.0,831483.0,0.0,406323.0,33442412.0,-1497788.0,46975543.0,-25449915.0,-24047608.0,-20694145.0,0.0,5591827.0,5591827.0,5591827.0,0.0,0.0,0.265,13406565.0,7664790.0,0.0,0.075,2.288,14.065,13.955,6429000.0,0.0,20.375,3.733,3.8,0.0,29546000.0,21071355.0,21071355.0,0.0,,,,0.364,0.0,9253587.0,1.0,3860120.0,3929502.0,,5.362,318956000.0,0.0,2072963.0,0.0,81.17,
115512,CFFI,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-03,430000.0,304459000.0,,,,,8.456,-1434307.0,6781000.0,6781000.0,0.0,5197827.0,,8.244,27307000.0,,,27307000.0,0.0,1209593.0,237878000.0,,0.0,7020790.0,8230383.0,0.427,8230383.0,7020790.0,7020790.0,1.36,1.35,1.36,32937000.0,,32937000.0,,,,-21796452.0,-5.596,1.0,19290355.0,1.0,0.0,0.0,324985000.0,,0.0,284179000.0,,,271522000.0,,,,308483.0,0.0,-4018677.0,22006412.0,-1416788.0,42364543.0,-21693915.0,-20259608.0,-20362145.0,0.0,5197827.0,5197827.0,5197827.0,0.0,0.0,0.269,12269565.0,7020790.0,0.0,0.0,,,,6544000.0,0.0,,,,0.0,30286000.0,19290355.0,19290355.0,0.0,,,,0.364,0.0,8592587.0,1.0,3851250.0,3894892.0,,4.953,304459000.0,0.0,1822963.0,0.0,78.169,
115513,CFFI,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-03,565194.0,320863629.0,,,,,9.485,-234258.0,8473240.0,8473240.0,0.0,1410036.0,,7.755,24661078.0,,,24661078.0,0.0,300611.0,251673159.0,0.018,0.12,1961387.0,2261998.0,0.382,2261998.0,1961387.0,1961387.0,0.36,0.35,0.36,36647493.0,,36647493.0,73573275.0,9.0,7.576,-16817519.0,-4.353,1.0,5923693.0,1.0,0.0,0.0,337051467.0,,0.0,299316535.0,,,284216136.0,,,72442275.0,-2465571.0,0.0,94240.0,12591391.0,-465119.0,17499519.0,-3381829.0,-3147571.0,-16583261.0,0.0,1410036.0,1410036.0,1410036.0,0.0,0.0,0.238,3962306.0,1961387.0,0.0,0.333,1.977,11.81,11.792,6465375.0,0.0,18.75,3.11,3.11,0.0,31739483.0,5923693.0,5923693.0,0.0,,,,,0.0,2823297.0,1.0,3863588.0,3863588.0,,1.533,320863629.0,0.0,551351.0,0.0,83.048,
115514,CFFI,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-03,694000.0,300836000.0,,,,,9.095,-247000.0,10939000.0,10939000.0,0.0,1673000.0,,7.418,12070000.0,,,12070000.0,0.0,281000.0,246393000.0,0.012,0.11,2360000.0,2641000.0,0.426,2641000.0,2360000.0,2360000.0,0.43,0.43,0.43,35737000.0,,35737000.0,106853803.0,13.0,11.315,6997000.0,1.781,1.0,6198000.0,1.0,0.0,0.0,301967000.0,,0.0,277026000.0,,,265099000.0,,,73871803.0,1182000.0,0.0,2000.0,-30670000.0,-424000.0,-21303000.0,15241000.0,15488000.0,7244000.0,0.0,1673000.0,1673000.0,1673000.0,0.0,0.0,0.27,3838000.0,2360000.0,0.0,0.256,2.067,12.456,12.416,6463000.0,0.0,19.12,3.298,3.354,0.0,30794000.0,6198000.0,6198000.0,0.0,,,,,0.0,2684000.0,1.0,3863588.0,3929414.0,3929414.0,1.577,300836000.0,0.0,687000.0,0.0,76.56,
115515,CFFI,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-03,584000.0,318956000.0,,,,,8.748,-142000.0,9757000.0,9757000.0,0.0,1617000.0,,8.278,42739000.0,,,42739000.0,0.0,326000.0,236605000.0,0.005,0.11,2213000.0,2539000.0,0.424,2539000.0,2213000.0,2213000.0,0.42,0.41,0.42,34377000.0,,34377000.0,99175945.0,13.0,11.1,-6662000.0,-1.695,1.0,5985000.0,1.0,0.0,0.0,351938000.0,,0.0,295999000.0,,,284579000.0,,,78649945.0,2976000.0,0.0,94000.0,15433000.0,-425000.0,13829000.0,-4333000.0,-4191000.0,-6520000.0,0.0,1617000.0,1617000.0,1617000.0,0.0,0.0,0.27,3772000.0,2213000.0,0.0,0.262,2.288,14.065,13.955,6429000.0,0.0,20.375,3.733,3.8,0.0,29546000.0,5985000.0,5985000.0,0.0,,,,,0.0,2502000.0,1.0,3860120.0,3929502.0,3929502.0,1.523,318956000.0,0.0,596000.0,0.0,81.17,
115516,CFFI,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-03,430000.0,304459000.0,,,,,8.456,-210000.0,6781000.0,6781000.0,0.0,1435000.0,,8.244,27307000.0,,,27307000.0,0.0,317000.0,237878000.0,,0.0,1953000.0,2270000.0,0.437,2270000.0,1953000.0,1953000.0,0.37,0.37,0.37,32937000.0,,32937000.0,,,,-16786000.0,-4.31,1.0,5189000.0,1.0,0.0,0.0,324985000.0,,0.0,284179000.0,,,271522000.0,,,,-2090000.0,0.0,187000.0,17971000.0,-385000.0,24138000.0,-9652000.0,-9442000.0,-16576000.0,0.0,1435000.0,1435000.0,1435000.0,0.0,0.0,0.277,3236000.0,1953000.0,0.0,0.0,,,,6544000.0,0.0,,,,0.0,30286000.0,5189000.0,5189000.0,0.0,,,,,0.0,2287000.0,1.0,3851250.0,3894892.0,3894892.0,1.332,304459000.0,0.0,518000.0,0.0,78.169,
115517,CFFI,ARY,1998-12-31,1999-03-08,1998-12-31,2021-08-03,565194.0,320863629.0,311278657.0,,,0.075,9.82,-833258.0,8473240.0,8473240.0,0.0,6134036.0,,7.755,24661078.0,,,24661078.0,0.0,1224611.0,251673159.0,0.018,0.34,8487387.0,9711998.0,0.414,9711998.0,8487387.0,8487387.0,1.59,1.56,1.59,36647493.0,34924623.0,36647493.0,85712911.0,10.0,8.825,-33268519.0,-8.915,1.0,23469072.0,1.0,0.0,0.0,337051467.0,328985367.0,0.0,299316535.0,,,284216136.0,,,69525073.0,-397571.0,0.0,377240.0,15325391.0,-1699119.0,34163519.0,-2125829.0,-1292571.0,-32435261.0,0.0,6134036.0,6134036.0,6134036.0,0.0,0.0,0.261,14981685.0,8487387.0,0.0,0.214,1.897,11.334,11.717,6465375.0,0.0,18.63,2.962,2.962,0.0,31739483.0,23469072.0,23469072.0,0.0,0.02,0.176,0.026,0.362,0.0,10296297.0,1.0,3731888.0,3731888.0,,6.289,320863629.0,0.0,2353351.0,0.0,85.979,
