None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
112021,CMOS,MRY,1998-12-31,1998-10-31,1998-10-31,2019-06-15,-241000.0,306189000.0,344832250.0,225551000.0,80638000.0,0.629,3.483,-10439000.0,50791000.0,50791000.0,125356000.0,-26282000.0,5.509,1.041,115000000.0,0.0,115000000.0,115000000.0,0.0,21146000.0,0.0,0.0,0.0,-33872000.0,-12726000.0,-0.059,-12726000.0,-33872000.0,-41067000.0,-0.61,-0.61,-0.61,150017000.0,186792000.0,150017000.0,377882802.0,-11.0,-29.694,-2214000.0,-0.051,1.0,91447000.0,0.422,0.0,7195000.0,329453000.0,347641500.0,37406000.0,83134000.0,62777000.0,20357000.0,156172000.0,40945000.0,115227000.0,323103802.0,-84370000.0,0.0,-29584000.0,0.0,0.0,-29572000.0,-63023000.0,-39560000.0,8225000.0,0.0,-26282000.0,-26282000.0,-26282000.0,0.0,0.0,-0.121,113633000.0,-22186000.0,8090000.0,0.0,2.154,-12.294,-12.193,41764000.0,0.0,7.438,1.49,1.477,33901000.0,58157000.0,216803000.0,216803000.0,46984000.0,-0.076,-0.141,-0.097,-0.156,0.0,64151000.0,1.0,43442528.0,43066000.0,43066000.0,5.034,306189000.0,16609000.0,-14785000.0,5877000.0,7.11,184606000.0
112022,CMOS,MRT,1998-12-31,1999-01-31,1999-01-31,2019-06-15,0.0,290353000.0,326612500.0,208154000.0,82199000.0,0.493,3.546,-9074000.0,58343000.0,58343000.0,105194000.0,-42027000.0,6.85,1.005,115000000.0,0.0,115000000.0,115000000.0,0.0,22121000.0,0.0,0.0,0.0,-58280000.0,-36159000.0,-0.225,-36159000.0,-58280000.0,-65475000.0,-0.98,-0.985,-0.98,144797000.0,172103750.0,144797000.0,675042541.0,-12.0,-18.669,-9145000.0,-0.224,1.0,55724000.0,0.346,0.0,7195000.0,316624000.0,342286750.0,35141000.0,70436000.0,46770000.0,23666000.0,145556000.0,30386000.0,115170000.0,610833541.0,-30324000.0,0.0,-17103000.0,0.0,0.0,-17110000.0,-13143000.0,9568000.0,-71000.0,0.0,-42027000.0,-42027000.0,-42027000.0,0.0,0.0,-0.261,101068000.0,-45344000.0,6433000.0,0.0,4.219,-14.534,-15.242,40630000.0,0.0,14.938,3.796,3.791,37442000.0,,160918000.0,160918000.0,42496000.0,-0.129,-0.244,-0.17,-0.362,0.0,56074000.0,1.0,40892622.0,40836000.0,40836000.0,3.941,290353000.0,0.0,-23448000.0,2017000.0,7.11,177768000.0
112023,CMOS,MRT,1998-09-30,1998-10-31,1998-10-31,2019-06-15,-241000.0,306189000.0,344832250.0,225551000.0,80638000.0,0.629,3.483,-10439000.0,50791000.0,50791000.0,125356000.0,-26282000.0,5.509,1.041,115000000.0,0.0,115000000.0,115000000.0,0.0,21146000.0,0.0,0.0,0.0,-33872000.0,-12726000.0,-0.059,-12726000.0,-33872000.0,-41067000.0,-0.61,-0.61,-0.61,150017000.0,186792000.0,150017000.0,377882802.0,-11.0,-29.694,-2214000.0,-0.051,1.0,91447000.0,0.422,0.0,7195000.0,329453000.0,347641500.0,37406000.0,83134000.0,62777000.0,20357000.0,156172000.0,40945000.0,115227000.0,323103802.0,-84370000.0,0.0,-29584000.0,0.0,0.0,-29572000.0,-63023000.0,-39560000.0,8225000.0,0.0,-26282000.0,-26282000.0,-26282000.0,0.0,0.0,-0.121,113633000.0,-22186000.0,8090000.0,0.0,2.154,-12.294,-12.193,41764000.0,0.0,7.438,1.49,1.477,33901000.0,58157000.0,216803000.0,216803000.0,46984000.0,-0.076,-0.141,-0.097,-0.156,0.0,64151000.0,1.0,43442528.0,43066000.0,43066000.0,5.034,306189000.0,16609000.0,-14785000.0,5877000.0,7.11,184606000.0
112024,CMOS,MRT,1998-06-30,1998-07-31,1998-07-31,2019-06-15,0.0,339973000.0,357820250.0,255272000.0,84701000.0,0.737,4.166,-16448000.0,60221000.0,60221000.0,135460000.0,-8358000.0,5.781,0.883,115000000.0,0.0,115000000.0,115000000.0,0.0,18062000.0,0.0,0.0,0.0,-6498000.0,11564000.0,0.044,11564000.0,-6498000.0,-11012000.0,-0.195,-0.21,-0.195,180587000.0,200515500.0,180587000.0,421649938.0,-65.0,36.462,-11908000.0,-0.275,1.0,128291000.0,0.486,0.0,4514000.0,350597000.0,338419750.0,36311000.0,103033000.0,75826000.0,27207000.0,159386000.0,44155000.0,115231000.0,377502938.0,-305000.0,-9201000.0,-8207000.0,115000000.0,0.0,107205000.0,-112050000.0,-79542000.0,4540000.0,0.0,-8358000.0,-8358000.0,-8358000.0,0.0,0.0,-0.032,117605000.0,10686000.0,13225000.0,0.0,2.09,-45.167,-44.712,40428000.0,0.0,8.719,1.431,1.433,53059000.0,,263751000.0,263751000.0,47627000.0,-0.023,-0.042,-0.019,-0.025,0.0,69978000.0,1.0,43297828.0,43348000.0,43348000.0,6.085,339973000.0,17365000.0,-2654000.0,2317000.0,7.843,211117000.0
112025,CMOS,MRT,1998-03-31,1998-04-30,1998-04-30,2019-06-15,0.0,369935000.0,,276559000.0,93376000.0,,4.923,-14828000.0,70853000.0,70853000.0,119245000.0,24331000.0,6.647,0.737,115000000.0,0.0,115000000.0,115000000.0,0.0,16605000.0,0.0,0.0,0.0,42404000.0,59009000.0,0.213,59009000.0,42404000.0,38901000.0,0.56,0.545,0.56,213014000.0,,213014000.0,614870565.0,15.0,10.42,-14106000.0,-0.326,1.0,158266000.0,0.57,0.0,3503000.0,372473000.0,,52723000.0,106293000.0,78313000.0,27980000.0,156921000.0,41609000.0,115312000.0,595743565.0,8340000.0,-9201000.0,-8176000.0,115000000.0,0.0,107236000.0,-99618000.0,-74074000.0,722000.0,0.0,24331000.0,24331000.0,24331000.0,0.0,0.0,0.088,121857000.0,36409000.0,12935000.0,0.0,2.797,24.485,24.609,45930000.0,0.0,13.781,2.147,2.149,60770000.0,,277511000.0,277511000.0,45315000.0,,,,0.153,0.0,70520000.0,1.0,43228558.0,43268000.0,44292000.0,6.414,369935000.0,0.0,14570000.0,4331000.0,8.55,234950000.0
112026,CMOS,MRQ,1998-12-31,1999-01-31,1999-01-31,2019-06-15,0.0,290353000.0,,208154000.0,82199000.0,,3.546,-2066000.0,58343000.0,58343000.0,15276000.0,-6554000.0,6.85,1.005,115000000.0,0.0,115000000.0,115000000.0,0.0,5301000.0,0.0,0.0,0.0,-10283000.0,-4982000.0,-0.188,-4982000.0,-10283000.0,-10283000.0,-0.16,-0.16,-0.16,144797000.0,,144797000.0,675042541.0,-12.0,-18.669,-3325000.0,-0.081,1.0,11214000.0,0.423,0.0,0.0,316624000.0,,35141000.0,70436000.0,46770000.0,23666000.0,145556000.0,30386000.0,115170000.0,610833541.0,9952000.0,0.0,1280000.0,0.0,0.0,1261000.0,9950000.0,12698000.0,-1259000.0,0.0,-6554000.0,-6554000.0,-6554000.0,0.0,0.0,-0.247,21234000.0,-10020000.0,6433000.0,0.0,4.219,-14.534,-15.242,40630000.0,0.0,14.938,3.796,3.791,37442000.0,,26490000.0,26490000.0,9003000.0,,,,,0.0,12231000.0,1.0,40892622.0,40836000.0,40836000.0,0.649,290353000.0,0.0,-3729000.0,2017000.0,7.11,177768000.0
112027,CMOS,MRQ,1998-09-30,1998-10-31,1998-10-31,2019-06-15,-241000.0,306189000.0,,225551000.0,80638000.0,,3.58,-2120000.0,50791000.0,50791000.0,20401000.0,-10674000.0,5.509,1.041,115000000.0,0.0,115000000.0,115000000.0,0.0,8308000.0,0.0,0.0,0.0,-11806000.0,-3498000.0,-0.156,-3498000.0,-11806000.0,-19001000.0,-0.25,-0.25,-0.25,150017000.0,,150017000.0,377882802.0,-11.0,-29.694,-4717000.0,-0.113,1.0,2045000.0,0.091,0.0,7195000.0,329453000.0,,37406000.0,83134000.0,62777000.0,20357000.0,156172000.0,40945000.0,115227000.0,323103802.0,-7230000.0,0.0,-19898000.0,0.0,0.0,-19886000.0,15253000.0,19899000.0,-2597000.0,0.0,-10674000.0,-10674000.0,-10674000.0,0.0,0.0,-0.476,24114000.0,-22069000.0,8090000.0,0.0,2.154,-12.294,-12.193,41764000.0,0.0,7.438,1.49,1.477,33901000.0,58157000.0,22446000.0,22446000.0,9691000.0,,,,,0.0,11925000.0,1.0,43442528.0,41908000.0,41908000.0,0.536,306189000.0,16609000.0,-8327000.0,5877000.0,7.306,184606000.0
112028,CMOS,MRQ,1998-06-30,1998-07-31,1998-07-31,2019-06-15,0.0,339973000.0,,255272000.0,84701000.0,,4.166,-2929000.0,60221000.0,60221000.0,37853000.0,-33586000.0,5.781,0.883,115000000.0,0.0,115000000.0,115000000.0,0.0,4433000.0,0.0,0.0,0.0,-49268000.0,-44835000.0,-1.201,-44835000.0,-49268000.0,-49268000.0,-0.775,-0.775,-0.775,180587000.0,,180587000.0,421649938.0,-65.0,36.462,-7168000.0,-0.165,1.0,-531000.0,-0.014,0.0,0.0,350597000.0,,36311000.0,103033000.0,75826000.0,27207000.0,159386000.0,44155000.0,115231000.0,377502938.0,-10220000.0,0.0,1138000.0,0.0,0.0,1138000.0,-7119000.0,3260000.0,-4239000.0,0.0,-33586000.0,-33586000.0,-33586000.0,0.0,0.0,-0.9,25556000.0,-26087000.0,13225000.0,0.0,2.09,-45.167,-44.712,40428000.0,0.0,8.719,1.431,1.433,53059000.0,,37322000.0,37322000.0,11569000.0,,,,,0.0,13987000.0,1.0,43297828.0,43348000.0,43348000.0,0.861,339973000.0,17365000.0,-15682000.0,2317000.0,7.843,211117000.0
112029,CMOS,MRQ,1998-03-31,1998-04-30,1998-04-30,2019-06-15,0.0,369935000.0,,276559000.0,93376000.0,,4.923,-1959000.0,70853000.0,70853000.0,31664000.0,8787000.0,6.647,0.737,115000000.0,0.0,115000000.0,115000000.0,0.0,4079000.0,0.0,0.0,0.0,13077000.0,17156000.0,0.23,17156000.0,13077000.0,13077000.0,0.205,0.2,0.205,213014000.0,,213014000.0,614870565.0,15.0,10.42,6065000.0,0.14,1.0,42996000.0,0.576,0.0,0.0,372473000.0,,52723000.0,106293000.0,78313000.0,27980000.0,156921000.0,41609000.0,115312000.0,595743565.0,-22826000.0,0.0,377000.0,0.0,0.0,377000.0,-31227000.0,-26289000.0,8024000.0,0.0,8787000.0,8787000.0,8787000.0,0.0,0.0,0.118,30164000.0,12832000.0,12935000.0,0.0,2.797,24.485,24.609,45930000.0,0.0,13.781,2.147,2.149,60770000.0,,74660000.0,74660000.0,12233000.0,,,,,0.0,17931000.0,1.0,43228558.0,43268000.0,44292000.0,1.726,369935000.0,0.0,4290000.0,4331000.0,8.55,234950000.0
112030,CMOS,ARY,1998-12-31,1999-01-29,1998-10-31,2019-06-15,0.0,306189000.0,344832250.0,225551000.0,80638000.0,0.629,3.483,-10439000.0,50791000.0,50791000.0,125356000.0,-26282000.0,5.509,1.041,115000000.0,0.0,115000000.0,115000000.0,0.0,21146000.0,0.0,0.0,0.0,-41067000.0,-19921000.0,-0.092,-19921000.0,-41067000.0,-41067000.0,-0.61,-0.61,-0.61,150017000.0,186792000.0,150017000.0,675042541.0,-16.0,-33.886,-216000.0,-0.005,1.0,91447000.0,0.422,0.0,0.0,329453000.0,347641500.0,37406000.0,83134000.0,62777000.0,20357000.0,156172000.0,40945000.0,115227000.0,610833541.0,-84370000.0,0.0,-29584000.0,0.0,0.0,-29572000.0,-65021000.0,-39560000.0,10223000.0,0.0,-26282000.0,-26282000.0,-26282000.0,0.0,0.0,-0.121,113633000.0,-22186000.0,8090000.0,0.0,4.072,-23.242,-24.488,41764000.0,0.0,14.938,2.817,2.967,33901000.0,58157000.0,216803000.0,216803000.0,47484000.0,-0.076,-0.141,-0.118,-0.189,0.0,64151000.0,1.0,40892622.0,43066000.0,43066000.0,5.034,306189000.0,16609000.0,-14785000.0,5877000.0,7.11,184606000.0
