None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
111197,CNOB,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-07,1113000.0,470134000.0,472922250.0,,,0.038,4.895,-1386000.0,15975000.0,15975000.0,0.0,4172000.0,,11.834,52602000.0,,,52602000.0,0.0,1413000.0,377167000.0,0.033,0.283,6313000.0,7726000.0,0.43,7726000.0,6313000.0,6313000.0,0.56,0.55,0.56,36631000.0,35667500.0,36631000.0,97344023.0,15.0,12.6,5573000.0,0.745,1.0,17964000.0,1.0,3059000.0,0.0,503702000.0,485082250.0,0.0,436739000.0,,,433503000.0,,,61174023.0,-10135000.0,0.0,320000.0,51902000.0,-2023000.0,-8644000.0,-8450000.0,-7064000.0,6959000.0,0.0,4172000.0,4172000.0,4172000.0,0.0,0.0,0.232,11651000.0,6313000.0,3734000.0,0.505,1.67,14.663,15.286,9426000.0,0.0,8.56,3.405,3.566,0.0,25978000.0,17964000.0,17964000.0,0.0,0.009,0.117,0.013,0.351,0.0,9249000.0,1.0,7146498.0,7482956.0,7554780.0,2.401,467075000.0,0.0,2141000.0,0.0,62.419,
111198,CNOB,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-07,1113000.0,470134000.0,472922250.0,,,0.038,4.895,-1386000.0,15975000.0,15975000.0,0.0,4172000.0,,11.834,52602000.0,,,52602000.0,0.0,1413000.0,377167000.0,0.033,0.283,6313000.0,7726000.0,0.43,7726000.0,6313000.0,6313000.0,0.56,0.55,0.56,36631000.0,35667500.0,36631000.0,97344023.0,15.0,12.6,5573000.0,0.745,1.0,17964000.0,1.0,3059000.0,0.0,503702000.0,485082250.0,0.0,436739000.0,,,433503000.0,,,61174023.0,-10135000.0,0.0,320000.0,51902000.0,-2023000.0,-8644000.0,-8450000.0,-7064000.0,6959000.0,0.0,4172000.0,4172000.0,4172000.0,0.0,0.0,0.232,11651000.0,6313000.0,3734000.0,0.505,1.67,14.663,15.286,9426000.0,0.0,8.56,3.405,3.566,0.0,25978000.0,17964000.0,17964000.0,0.0,0.009,0.117,0.013,0.351,0.0,9249000.0,1.0,7146498.0,7482956.0,7554780.0,2.401,467075000.0,0.0,2141000.0,0.0,62.419,
111199,CNOB,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-07,1761000.0,466533000.0,473666750.0,,,0.038,4.886,-965000.0,12491000.0,12491000.0,0.0,4477000.0,,11.736,48661000.0,,,48661000.0,0.0,1404000.0,377247000.0,0.029,0.25,6797000.0,8201000.0,0.459,8201000.0,6797000.0,6797000.0,0.58,0.575,0.58,36632000.0,34865250.0,36632000.0,54644643.0,8.0,6.663,7426000.0,0.99,1.0,17855000.0,1.0,3139000.0,0.0,499564000.0,470236750.0,0.0,436461000.0,,,429901000.0,,,60502643.0,-3322000.0,0.0,521000.0,32661000.0,-1958000.0,-20708000.0,8995000.0,9960000.0,8391000.0,0.0,4477000.0,4477000.0,4477000.0,0.0,0.0,0.251,11058000.0,6797000.0,3993000.0,0.431,1.652,13.514,14.655,9246000.0,0.0,8.5,3.389,3.569,0.0,25411000.0,17855000.0,17855000.0,0.0,0.009,0.128,0.014,0.381,0.0,8670000.0,1.0,7117958.0,7497630.0,7497630.0,2.381,463394000.0,0.0,2320000.0,0.0,61.805,
111200,CNOB,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-07,796000.0,488329000.0,,,,,4.688,-492000.0,33817000.0,33817000.0,0.0,4414000.0,,12.942,27959000.0,,,27959000.0,0.0,1426000.0,422073000.0,0.027,0.25,6722000.0,8148000.0,0.464,8148000.0,6722000.0,6722000.0,0.58,0.575,0.58,35027000.0,,35027000.0,61053731.0,9.0,7.493,7369000.0,0.986,1.0,17551000.0,1.0,3220000.0,0.0,479251000.0,,0.0,437007000.0,,,453302000.0,,,66633731.0,15399000.0,0.0,324000.0,4477000.0,-1891000.0,2765000.0,4773000.0,5265000.0,7861000.0,0.0,4414000.0,4414000.0,4414000.0,0.0,0.0,0.251,10829000.0,6722000.0,3270000.0,0.431,1.902,15.096,16.164,8952000.0,0.0,9.375,3.797,3.991,0.0,24970000.0,17551000.0,17551000.0,0.0,,,,0.383,0.0,8552000.0,1.0,7107598.0,7471816.0,7471816.0,2.349,485109000.0,0.0,2308000.0,0.0,64.925,
111201,CNOB,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-07,727000.0,466693000.0,,,,,4.613,-195000.0,16095000.0,16095000.0,0.0,4404000.0,,12.575,10515000.0,,,10515000.0,0.0,1459000.0,418523000.0,0.033,0.316,6739000.0,8198000.0,0.47,8198000.0,6739000.0,6739000.0,0.585,0.58,0.585,34380000.0,,34380000.0,,,,8596000.0,1.153,1.0,17441000.0,1.0,3301000.0,0.0,457812000.0,,0.0,433318000.0,,,432313000.0,,,67341795.0,-9615000.0,0.0,356000.0,5515000.0,-1888000.0,-22678000.0,4272000.0,4467000.0,8791000.0,0.0,4404000.0,4404000.0,4404000.0,0.0,0.0,0.253,10702000.0,6739000.0,3275000.0,0.54,1.959,15.291,16.239,9067000.0,0.0,9.5,3.861,4.059,0.0,24489000.0,17441000.0,17441000.0,0.0,,,,0.386,0.0,8477000.0,1.0,7088610.0,7452230.0,7541728.0,2.34,463392000.0,0.0,2335000.0,0.0,62.182,
111202,CNOB,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-07,1113000.0,470134000.0,,,,,4.879,-483000.0,15975000.0,15975000.0,0.0,1104000.0,,11.834,52602000.0,,,52602000.0,0.0,384000.0,377167000.0,0.033,0.15,1671000.0,2055000.0,0.428,2055000.0,1671000.0,1671000.0,0.15,0.145,0.15,36631000.0,,36631000.0,97344023.0,15.0,12.6,1269000.0,0.169,1.0,4801000.0,1.0,3059000.0,0.0,503702000.0,,0.0,436739000.0,,,433503000.0,,,61174023.0,3484000.0,0.0,-139000.0,3941000.0,-538000.0,3184000.0,-1452000.0,-969000.0,1752000.0,0.0,1104000.0,1104000.0,1104000.0,0.0,0.0,0.23,3130000.0,1671000.0,3734000.0,1.0,1.67,14.663,15.286,9426000.0,0.0,8.56,3.405,3.566,0.0,25978000.0,4801000.0,4801000.0,0.0,,,,,0.0,3781000.0,1.0,7146498.0,7508234.0,7795530.0,0.639,467075000.0,0.0,567000.0,0.0,62.208,
111203,CNOB,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-07,1761000.0,466533000.0,,,,,4.886,-565000.0,12491000.0,12491000.0,0.0,979000.0,,11.736,48661000.0,,,48661000.0,0.0,352000.0,377247000.0,0.029,0.067,1483000.0,1835000.0,0.4,1835000.0,1483000.0,1483000.0,0.13,0.13,0.13,36632000.0,,36632000.0,54644643.0,8.0,6.663,1680000.0,0.224,1.0,4584000.0,1.0,3139000.0,0.0,499564000.0,,0.0,436461000.0,,,429901000.0,,,60502643.0,-21326000.0,0.0,261000.0,20702000.0,-538000.0,-24401000.0,830000.0,1395000.0,2245000.0,0.0,979000.0,979000.0,979000.0,0.0,0.0,0.214,3101000.0,1483000.0,3993000.0,0.515,1.652,13.514,14.655,9246000.0,0.0,8.5,3.389,3.569,0.0,25411000.0,4584000.0,4584000.0,0.0,,,,,0.0,1980000.0,1.0,7117958.0,7497630.0,7497630.0,0.611,463394000.0,0.0,504000.0,0.0,61.805,
111204,CNOB,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-07,796000.0,488329000.0,,,,,4.688,-144000.0,33817000.0,33817000.0,0.0,956000.0,,12.942,27959000.0,,,27959000.0,0.0,339000.0,422073000.0,0.027,0.067,1483000.0,1822000.0,0.421,1822000.0,1483000.0,1483000.0,0.13,0.125,0.13,35027000.0,,35027000.0,61053731.0,9.0,7.493,861000.0,0.115,1.0,4326000.0,1.0,3220000.0,0.0,479251000.0,,0.0,437007000.0,,,453302000.0,,,66633731.0,17722000.0,0.0,35000.0,17444000.0,-474000.0,20555000.0,-3838000.0,-3694000.0,1005000.0,0.0,956000.0,956000.0,956000.0,0.0,0.0,0.221,2843000.0,1483000.0,3270000.0,0.515,1.902,15.096,16.164,8952000.0,0.0,9.375,3.797,3.991,0.0,24970000.0,4326000.0,4326000.0,0.0,,,,,0.0,1782000.0,1.0,7107598.0,7471816.0,7471816.0,0.579,485109000.0,0.0,527000.0,0.0,64.925,
111205,CNOB,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-07,727000.0,466693000.0,,,,,4.613,-194000.0,16095000.0,16095000.0,0.0,1133000.0,,12.575,10515000.0,,,10515000.0,0.0,338000.0,418523000.0,0.033,0.0,1676000.0,2014000.0,0.474,2014000.0,1676000.0,1676000.0,0.15,0.15,0.15,34380000.0,,34380000.0,,,,1763000.0,0.237,1.0,4253000.0,1.0,3301000.0,0.0,457812000.0,,0.0,433318000.0,,,432313000.0,,,67341795.0,-10015000.0,0.0,163000.0,9815000.0,-473000.0,-7982000.0,-3990000.0,-3796000.0,1957000.0,0.0,1133000.0,1133000.0,1133000.0,0.0,0.0,0.266,2577000.0,1676000.0,3275000.0,0.0,1.959,15.291,16.239,9067000.0,0.0,9.5,3.861,4.059,0.0,24489000.0,4253000.0,4253000.0,0.0,,,,,0.0,1746000.0,1.0,7088610.0,7452230.0,7541728.0,0.571,463392000.0,0.0,543000.0,0.0,62.182,
111206,CNOB,ARY,1998-12-31,1999-04-07,1998-12-31,2021-08-07,1113000.0,470134000.0,472922250.0,,,0.038,5.14,-1386000.0,15975000.0,15975000.0,0.0,4172000.0,,11.834,52602000.0,,,52602000.0,0.0,1413000.0,377167000.0,0.035,0.283,6313000.0,7726000.0,0.43,7726000.0,6313000.0,6313000.0,0.585,0.58,0.585,36631000.0,35667500.0,36631000.0,94848166.0,15.0,12.276,5573000.0,0.782,1.0,17964000.0,1.0,3059000.0,0.0,503702000.0,485082250.0,0.0,436739000.0,,,433503000.0,,,58221166.0,-10135000.0,0.0,320000.0,51902000.0,-2023000.0,-8644000.0,-8450000.0,-7064000.0,6959000.0,0.0,4172000.0,4172000.0,4172000.0,0.0,0.0,0.232,11651000.0,6313000.0,3734000.0,0.484,1.589,13.955,13.889,9426000.0,0.0,8.125,3.241,3.223,0.0,25978000.0,17964000.0,17964000.0,0.0,0.009,0.117,0.013,0.351,0.0,6451000.0,1.0,7165682.0,7126624.0,7195028.0,2.521,467075000.0,0.0,2141000.0,0.0,65.539,
