None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
107686,CSWC,MRY,1998-12-31,1998-03-31,1998-03-31,2021-09-07,221458035.0,522323555.0,412162628.0,,,0.012,19.539,0.0,117047920.0,117047920.0,0.0,78598959.0,,0.764,105000000.0,,,105000000.0,0.0,23770.0,0.0,0.006,0.15,82130814.0,82154584.0,17.001,82154584.0,82130814.0,82130814.0,,,,296022816.0,269861169.0,296022816.0,336335891.0,4.0,4.094,2532688.0,0.167,1.0,4832217.0,1.0,0.0,0.0,510275635.0,395014712.0,0.0,401286454.0,,,226300739.0,,,356034494.0,103038439.0,0.0,720188.0,100000000.0,-2268451.0,98451737.0,2054014.0,8658563.0,2532688.0,0.0,78598959.0,78598959.0,78598959.0,0.0,0.0,16.266,1567433.0,3264784.0,0.0,,1.203,4.53,,0.0,0.0,23.5,73.679,73.679,332873.0,71860358.0,4832217.0,4832217.0,0.0,0.191,0.291,0.208,16.997,0.0,1206478.0,1.0,15150404.0,15150404.0,,0.319,522323555.0,0.0,3531855.0,119339357.0,34.476,
107687,CSWC,MRT,1998-12-31,1998-12-31,1998-12-31,2021-09-07,195232324.0,382693089.0,438102424.0,,,0.01,17.798,0.0,5023387.0,5023387.0,0.0,85693.0,,0.417,5000000.0,,,5000000.0,0.0,24476.0,0.0,0.007,0.15,461565.0,486041.0,0.111,486041.0,461565.0,461565.0,,,,270041249.0,283568887.0,270041249.0,325834846.0,706.0,670.386,1973862.0,0.13,1.0,4385289.0,1.0,0.0,0.0,382669702.0,432956688.0,0.0,373366337.0,,,112651840.0,,,328098912.0,-19675216.0,0.0,692907.0,0.0,-2280411.0,-1587504.0,-20061574.0,-13457025.0,1973862.0,0.0,85693.0,85693.0,85693.0,0.0,0.0,0.02,1627642.0,2757647.0,0.0,,1.215,3828.771,,0.0,0.0,21.625,74.818,74.818,283987.0,71424064.0,4385289.0,4385289.0,0.0,0.0,0.0,0.001,0.105,0.0,1123556.0,1.0,15172204.0,15172204.0,,0.289,382693089.0,0.0,375872.0,105590137.0,25.223,
107688,CSWC,MRT,1998-09-30,1998-09-30,1998-09-30,2021-09-07,192900396.0,419789186.0,440374848.0,,,0.011,17.728,0.0,47264066.0,47264066.0,0.0,2170362.0,,0.563,45000000.0,,,45000000.0,0.0,24240.0,0.0,0.007,0.15,1149646.0,1173886.0,0.251,1173886.0,1149646.0,1149646.0,,,,268610997.0,283944340.0,268610997.0,302470438.0,263.0,257.666,2057204.0,0.136,1.0,4684016.0,1.0,0.0,0.0,417525120.0,430310308.0,0.0,368173548.0,,,151178189.0,,,308718006.0,16304112.0,0.0,742782.0,40000000.0,-2272631.0,38470151.0,-24223243.0,-17618694.0,2057204.0,0.0,2170362.0,2170362.0,2170362.0,0.0,0.0,0.463,1780803.0,2903213.0,0.0,,1.149,142.243,,0.0,0.0,20.375,65.909,65.909,414085.0,72824490.0,4684016.0,4684016.0,0.0,0.005,0.008,0.003,0.245,0.0,1294773.0,1.0,15151804.0,15151804.0,,0.309,419789186.0,0.0,-1020716.0,104284500.0,27.706,
107689,CSWC,MRT,1998-06-30,1998-06-30,1998-06-30,2021-09-07,224457388.0,427603864.0,431839548.0,,,0.011,19.773,0.0,11247569.0,11247569.0,0.0,57244613.0,,0.427,5000000.0,,,5000000.0,0.0,23652.0,0.0,0.006,0.15,21916568.0,21940220.0,4.488,21940220.0,21916568.0,21916568.0,,,,299600486.0,283784212.0,299600486.0,359171278.0,16.0,16.37,2013180.0,0.133,1.0,4888172.0,1.0,0.0,0.0,421356295.0,415851037.0,0.0,411874017.0,,,128003378.0,,,371219198.0,-4637615.0,0.0,720188.0,0.0,-2272631.0,-1552443.0,-5098352.0,1506197.0,2013180.0,0.0,57244613.0,57244613.0,57244613.0,0.0,0.0,11.711,1712884.0,3175288.0,0.0,,1.239,6.485,,0.0,0.0,24.5,75.942,75.942,647191.0,72438675.0,4888172.0,4888172.0,0.0,0.133,0.202,0.053,4.484,0.0,1220673.0,1.0,15151804.0,15151804.0,,0.323,427603864.0,0.0,-35328045.0,121250400.0,28.221,
107690,CSWC,MRT,1998-03-31,1998-03-31,1998-03-31,2021-09-07,221458035.0,522323555.0,412162628.0,,,0.012,19.539,0.0,117047920.0,117047920.0,0.0,78598959.0,,0.764,105000000.0,,,105000000.0,0.0,23770.0,0.0,0.006,0.15,82130814.0,82154584.0,17.001,82154584.0,82130814.0,82130814.0,,,,296022816.0,269861169.0,296022816.0,336335891.0,4.0,4.094,2532688.0,0.167,1.0,4832217.0,1.0,0.0,0.0,510275635.0,395014712.0,0.0,401286454.0,,,226300739.0,,,356034494.0,103038439.0,0.0,720188.0,100000000.0,-2268451.0,98451737.0,2054014.0,8658563.0,2532688.0,0.0,78598959.0,78598959.0,78598959.0,0.0,0.0,16.266,1567433.0,3264784.0,0.0,,1.203,4.53,,0.0,0.0,23.5,73.679,73.679,332873.0,71860358.0,4832217.0,4832217.0,0.0,0.191,0.291,0.208,16.997,0.0,1206478.0,1.0,15150404.0,15150404.0,,0.319,522323555.0,0.0,3531855.0,119339357.0,34.476,
107691,CSWC,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-09-07,195232324.0,382693089.0,,,,,17.798,0.0,5023387.0,5023387.0,0.0,2454323.0,,0.417,5000000.0,,,5000000.0,0.0,6178.0,0.0,0.007,0.1,2481623.0,2487801.0,3.206,2487801.0,2481623.0,2481623.0,,,,270041249.0,,270041249.0,325834846.0,706.0,670.386,388252.0,0.026,1.0,776096.0,1.0,0.0,0.0,382669702.0,,0.0,373366337.0,,,112651840.0,,,328098912.0,-42240679.0,0.0,498750.0,-40000000.0,-1522821.0,-41024071.0,-1604860.0,-1604860.0,388252.0,0.0,2454323.0,2454323.0,2454323.0,0.0,0.0,3.162,523297.0,252799.0,0.0,,1.215,3828.771,,0.0,0.0,21.625,74.818,74.818,283987.0,71424064.0,776096.0,776096.0,0.0,,,,,0.0,406783.0,1.0,15172204.0,15172204.0,,0.051,382693089.0,0.0,27300.0,105590137.0,25.223,
107692,CSWC,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-09-07,192900396.0,419789186.0,,,,,17.728,0.0,47264066.0,47264066.0,0.0,-31171177.0,,0.563,45000000.0,,,45000000.0,0.0,6530.0,0.0,0.007,0.0,-31144077.0,-31137547.0,-36.699,-31137547.0,-31144077.0,-31144077.0,,,,268610997.0,,268610997.0,302470438.0,263.0,257.666,684332.0,0.045,1.0,848462.0,1.0,0.0,0.0,417525120.0,,0.0,368173548.0,,,151178189.0,,,308718006.0,36016497.0,0.0,181688.0,40000000.0,0.0,40181688.0,-4849523.0,-4849523.0,684332.0,0.0,-31171177.0,-31171177.0,-31171177.0,0.0,0.0,-36.738,325354.0,523108.0,0.0,,1.149,142.243,,0.0,0.0,20.375,65.909,65.909,414085.0,72824490.0,848462.0,848462.0,0.0,,,,,0.0,282600.0,1.0,15151804.0,15151804.0,,0.056,419789186.0,0.0,27100.0,104284500.0,27.706,
107693,CSWC,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-09-07,224457388.0,427603864.0,,,,,19.773,0.0,11247569.0,11247569.0,0.0,4335260.0,,0.427,5000000.0,,,5000000.0,0.0,5825.0,0.0,0.006,0.05,4629303.0,4635128.0,3.406,4635128.0,4629303.0,4629303.0,,,,299600486.0,,299600486.0,359171278.0,16.0,16.37,166612.0,0.011,1.0,1360944.0,1.0,0.0,0.0,421356295.0,,0.0,411874017.0,,,128003378.0,,,371219198.0,-105800351.0,0.0,0.0,-100000000.0,-757590.0,-100757590.0,-5209373.0,-5209373.0,166612.0,0.0,4335260.0,4335260.0,4335260.0,0.0,0.0,3.185,390823.0,970121.0,0.0,,1.239,6.485,,0.0,0.0,24.5,75.942,75.942,647191.0,72438675.0,1360944.0,1360944.0,0.0,,,,,0.0,223819.0,1.0,15151804.0,15151804.0,,0.09,427603864.0,0.0,294043.0,121250400.0,28.221,
107694,CSWC,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-09-07,221458035.0,522323555.0,,,,,19.539,0.0,117047920.0,117047920.0,0.0,24467287.0,,0.764,105000000.0,,,105000000.0,0.0,5943.0,0.0,0.006,0.0,24494716.0,24500659.0,17.503,24500659.0,24494716.0,24494716.0,,,,296022816.0,,296022816.0,336335891.0,4.0,4.094,734666.0,0.048,1.0,1399787.0,1.0,0.0,0.0,510275635.0,,0.0,401286454.0,,,226300739.0,,,356034494.0,92349317.0,0.0,12469.0,100000000.0,0.0,100012469.0,-8397818.0,-1793269.0,734666.0,0.0,24467287.0,24467287.0,24467287.0,0.0,0.0,17.479,388168.0,1011619.0,0.0,,1.203,4.53,,0.0,0.0,23.5,73.679,73.679,332873.0,71860358.0,1399787.0,1399787.0,0.0,,,,,0.0,210354.0,1.0,15150404.0,15150404.0,,0.092,522323555.0,0.0,27429.0,119339357.0,34.476,
107695,CSWC,ARY,1998-12-31,1998-06-24,1998-03-31,2021-09-07,221458035.0,522323555.0,412162628.0,,,0.012,19.537,0.0,117047920.0,117047920.0,,,,0.764,105000000.0,,,105000000.0,0.0,23770.0,0.0,0.006,0.15,,,,,,,,,,296022816.0,269861169.0,296022816.0,361065254.0,,,2532688.0,0.167,1.0,,,0.0,,510275635.0,395014712.0,0.0,401286454.0,,,226300739.0,,,373113174.0,103038439.0,0.0,720188.0,100000000.0,-2268451.0,98451737.0,2054014.0,8658563.0,2532688.0,0.0,,,,,,,1567433.0,,0.0,,1.26,,,0.0,,24.625,77.214,77.214,332873.0,71860358.0,4832217.0,4832217.0,,,,,,0.0,1206478.0,1.0,15151804.0,15151804.0,,0.319,522323555.0,0.0,3531855.0,119339357.0,34.473,
