None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
107629,CTA,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-04,0.0,987021000.0,935903000.0,,,0.139,8.937,-219430000.0,12073000.0,12073000.0,20393000.0,-8113000.0,,3.026,665985000.0,,,665985000.0,0.0,24313000.0,5957000.0,0.0,0.0,40272000.0,64585000.0,0.495,64585000.0,40272000.0,-8113000.0,-0.38,-0.38,-0.38,230468000.0,222579500.0,230468000.0,951331063.0,24.0,14.73,-186902000.0,-7.248,1.0,110102000.0,0.844,0.0,48385000.0,1640933000.0,1542957500.0,0.0,0.0,,,697419000.0,,,315887063.0,3023000.0,0.0,135844000.0,92168000.0,-29962000.0,189925000.0,-219430000.0,0.0,32528000.0,0.0,-8113000.0,-8113000.0,-8113000.0,0.0,0.0,-0.062,71940000.0,38162000.0,6718000.0,0.0,1.371,-38.936,-32.237,932844000.0,0.0,12.25,2.421,2.421,21527000.0,-124061000.0,130495000.0,130495000.0,0.0,-0.009,-0.036,0.026,0.309,0.0,6520000.0,1.0,25786699.0,25786699.0,,5.061,987021000.0,0.0,0.0,0.0,38.276,
107630,CTA,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-04,0.0,987021000.0,935903000.0,,,0.139,8.937,-219430000.0,12073000.0,12073000.0,20393000.0,-8113000.0,,3.026,665985000.0,,,665985000.0,0.0,24313000.0,5957000.0,0.0,0.0,40272000.0,64585000.0,0.495,64585000.0,40272000.0,-8113000.0,-0.38,-0.38,-0.38,230468000.0,222579500.0,230468000.0,951331063.0,24.0,14.73,-186902000.0,-7.248,1.0,110102000.0,0.844,0.0,48385000.0,1640933000.0,1542957500.0,0.0,0.0,,,697419000.0,,,315887063.0,3023000.0,0.0,135844000.0,92168000.0,-29962000.0,189925000.0,-219430000.0,0.0,32528000.0,0.0,-8113000.0,-8113000.0,-8113000.0,0.0,0.0,-0.062,71940000.0,38162000.0,6718000.0,0.0,1.371,-38.936,-32.237,932844000.0,0.0,12.25,2.421,2.421,21527000.0,-124061000.0,130495000.0,130495000.0,0.0,-0.009,-0.036,0.026,0.309,0.0,6520000.0,1.0,25786699.0,25786699.0,,5.061,987021000.0,0.0,0.0,0.0,38.276,
107631,CTA,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-04,0.0,1008167000.0,866826000.0,,,0.134,11.291,-271766000.0,12175000.0,12175000.0,18449000.0,-37000.0,,2.61,647619000.0,,,647619000.0,0.0,22494000.0,6128000.0,0.0,0.0,44203000.0,66697000.0,0.573,66697000.0,44203000.0,-37000.0,-0.19,-0.19,-0.19,261273000.0,200326000.0,261273000.0,896100584.0,20.0,13.435,-240749000.0,-10.404,1.0,97874000.0,0.841,0.0,44240000.0,1643611000.0,1427705250.0,0.0,0.0,,,681885000.0,,,299207584.0,-2947000.0,0.0,164870000.0,116874000.0,-25907000.0,237802000.0,-271766000.0,0.0,31017000.0,0.0,-37000.0,-37000.0,-37000.0,0.0,0.0,0.0,53557000.0,44317000.0,11038000.0,0.0,1.145,-8086.691,-68.421,956836000.0,0.0,13.0,2.572,2.586,17393000.0,-100081000.0,116323000.0,116323000.0,0.0,0.0,0.0,0.031,0.38,0.0,3756000.0,1.0,23015968.0,23139000.0,,5.027,1008167000.0,0.0,0.0,0.0,43.57,
107632,CTA,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-04,0.0,921268000.0,,,,,11.548,-229339000.0,10655000.0,10655000.0,16173000.0,-2829000.0,,2.903,607548000.0,,,607548000.0,0.0,20848000.0,5405000.0,0.0,0.0,37758000.0,58606000.0,0.564,58606000.0,37758000.0,-2829000.0,-0.3,-0.3,-0.3,219579000.0,,219579000.0,828369755.0,22.0,14.135,-204303000.0,-10.745,1.0,87800000.0,0.844,0.0,40587000.0,1518161000.0,,0.0,0.0,,,637365000.0,,,286400755.0,-403000.0,0.0,149177000.0,93978000.0,-22253000.0,203900000.0,-229339000.0,0.0,25036000.0,0.0,-2829000.0,-2829000.0,-2829000.0,0.0,0.0,-0.027,50558000.0,37242000.0,5646000.0,0.0,1.304,-101.237,-50.208,875286000.0,0.0,15.063,2.755,2.755,14191000.0,-94215000.0,103973000.0,103973000.0,0.0,,,,0.363,0.0,3350000.0,1.0,19014158.0,19014158.0,,5.468,921268000.0,0.0,0.0,0.0,48.452,
107633,CTA,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-04,0.0,827156000.0,,,,,10.144,-155748000.0,12671000.0,12671000.0,14653000.0,-3798000.0,,3.278,554640000.0,,,554640000.0,0.0,19407000.0,5395000.0,0.0,0.0,33642000.0,53049000.0,0.565,53049000.0,33642000.0,-3798000.0,-0.33,-0.33,-0.33,178998000.0,,178998000.0,786709897.0,23.0,14.83,-139080000.0,-7.882,1.0,79294000.0,0.844,0.0,37440000.0,1369125000.0,,0.0,3088000.0,,,586685000.0,,,317498897.0,358000.0,0.0,99137000.0,76405000.0,-19737000.0,139438000.0,-155748000.0,0.0,16668000.0,0.0,-3798000.0,-3798000.0,-3798000.0,0.0,0.0,-0.04,46374000.0,32920000.0,7926000.0,0.0,1.774,-83.596,-50.758,776349000.0,0.0,16.75,3.38,3.146,13994000.0,-87740000.0,93947000.0,93947000.0,0.0,,,,0.358,0.0,2904000.0,1.0,18955158.0,17646000.0,,5.324,827156000.0,0.0,0.0,0.0,46.875,
107634,CTA,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-04,0.0,987021000.0,,,,,8.937,-7802000.0,12073000.0,12073000.0,6014000.0,-14855000.0,,3.026,665985000.0,,,665985000.0,0.0,6795000.0,5957000.0,0.0,0.0,-1637000.0,5158000.0,0.137,5158000.0,-1637000.0,-14855000.0,-0.71,-0.71,-0.71,230468000.0,,230468000.0,951331063.0,24.0,14.73,-1881000.0,-0.073,1.0,31760000.0,0.841,0.0,13218000.0,1640933000.0,,0.0,0.0,,,697419000.0,,,315887063.0,-122000.0,0.0,-5180000.0,19642000.0,-9251000.0,1759000.0,-7802000.0,0.0,5921000.0,0.0,-14855000.0,-14855000.0,-14855000.0,0.0,0.0,-0.393,37370000.0,-5610000.0,6718000.0,0.0,1.371,-38.936,-32.237,932844000.0,0.0,12.25,2.421,2.421,21527000.0,-124061000.0,37774000.0,37774000.0,0.0,,,,,0.0,2274000.0,1.0,25786699.0,25786699.0,,1.465,987021000.0,0.0,0.0,0.0,38.276,
107635,CTA,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-04,0.0,1008167000.0,,,,,11.291,-81030000.0,12175000.0,12175000.0,5564000.0,3392000.0,,2.61,647619000.0,,,647619000.0,0.0,6213000.0,6128000.0,0.0,0.0,16133000.0,22346000.0,0.654,22346000.0,16133000.0,3392000.0,0.15,0.15,0.15,261273000.0,,261273000.0,896100584.0,20.0,13.435,-70599000.0,-3.051,1.0,28624000.0,0.837,0.0,12741000.0,1643611000.0,,0.0,0.0,,,681885000.0,,,299207584.0,3243000.0,0.0,50511000.0,34284000.0,-8043000.0,73842000.0,-81030000.0,0.0,10431000.0,0.0,3392000.0,3392000.0,3392000.0,0.0,0.0,0.099,11629000.0,16995000.0,11038000.0,0.0,1.145,-8086.691,-68.421,956836000.0,0.0,13.0,2.572,2.586,17393000.0,-100081000.0,34188000.0,34188000.0,0.0,,,,,0.0,1724000.0,1.0,23015968.0,23139000.0,23139000.0,1.478,1008167000.0,0.0,0.0,0.0,43.57,
107636,CTA,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-04,0.0,921268000.0,,,,,11.548,-80443000.0,10655000.0,10655000.0,4738000.0,1570000.0,,2.903,607548000.0,,,607548000.0,0.0,5916000.0,5405000.0,0.0,0.0,13742000.0,19658000.0,0.627,19658000.0,13742000.0,1570000.0,0.08,0.08,0.08,219579000.0,,219579000.0,828369755.0,22.0,14.135,-67647000.0,-3.558,1.0,26626000.0,0.849,0.0,12172000.0,1518161000.0,,0.0,0.0,,,637365000.0,,,286400755.0,-2151000.0,0.0,50040000.0,24474000.0,-6845000.0,65496000.0,-80443000.0,0.0,12796000.0,0.0,1570000.0,1570000.0,1570000.0,0.0,0.0,0.05,12395000.0,14231000.0,5646000.0,0.0,1.304,-101.237,-50.208,875286000.0,0.0,15.063,2.755,2.755,14191000.0,-94215000.0,31364000.0,31364000.0,0.0,,,,,0.0,1738000.0,1.0,19014158.0,19014158.0,,1.65,921268000.0,0.0,0.0,0.0,48.452,
107637,CTA,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-04,0.0,827156000.0,,,,,10.144,-50155000.0,12671000.0,12671000.0,4077000.0,1780000.0,,3.278,554640000.0,,,554640000.0,0.0,5389000.0,5395000.0,0.0,0.0,12034000.0,17423000.0,0.641,17423000.0,12034000.0,1780000.0,0.1,0.1,0.1,178998000.0,,178998000.0,786709897.0,23.0,14.83,-46775000.0,-2.651,1.0,23092000.0,0.85,0.0,10254000.0,1369125000.0,,0.0,3088000.0,,,586685000.0,,,317498897.0,2053000.0,0.0,40473000.0,13768000.0,-5823000.0,48828000.0,-50155000.0,0.0,3380000.0,0.0,1780000.0,1780000.0,1780000.0,0.0,0.0,0.066,10546000.0,12546000.0,7926000.0,0.0,1.774,-83.596,-50.758,776349000.0,0.0,16.75,3.38,3.146,13994000.0,-87740000.0,27169000.0,27169000.0,0.0,,,,,0.0,784000.0,1.0,18955158.0,17646000.0,17646000.0,1.54,827156000.0,0.0,0.0,0.0,46.875,
107638,CTA,ARY,1998-12-31,1999-04-30,1998-12-31,2019-07-04,0.0,987021000.0,935903000.0,,,0.139,9.245,-219430000.0,12073000.0,12073000.0,20393000.0,-8113000.0,,3.026,665985000.0,,,665985000.0,0.0,24313000.0,5957000.0,0.0,0.0,40272000.0,64585000.0,0.495,64585000.0,40272000.0,-8113000.0,-0.38,,-0.38,230468000.0,222579500.0,230468000.0,928138634.0,23.0,14.371,-186902000.0,-7.497,1.0,110102000.0,0.844,0.0,48385000.0,1640933000.0,1542957500.0,0.0,0.0,,,697419000.0,,,274226634.0,3023000.0,0.0,135844000.0,88355000.0,-29962000.0,189925000.0,-219430000.0,0.0,32528000.0,0.0,-8113000.0,-8113000.0,-8113000.0,0.0,0.0,-0.062,71940000.0,38162000.0,6718000.0,0.0,1.19,-33.801,-28.947,932844000.0,0.0,11.0,2.101,2.101,21527000.0,-124061000.0,130495000.0,130495000.0,0.0,-0.009,-0.036,0.026,0.309,0.0,6520000.0,1.0,24929694.0,24929694.0,,5.235,987021000.0,0.0,0.0,0.0,39.592,
