None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
107275,CTIX,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-17,0.0,13225852.0,12214721.0,9845588.0,3380264.0,3.129,0.095,66397.0,2973988.0,2973988.0,4244673.0,1065264.0,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,563514.0,0.0,,0.0,1953785.0,2517299.0,0.066,2517299.0,1953785.0,1805532.0,0.04,0.03,0.04,1385199.0,1098381.0,1385199.0,,,,2073885.0,0.142,1.0,33971658.0,0.889,0.0,148253.0,5626308.0,3289934.0,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,-3280418.0,0.0,0.0,-470103.0,0.0,-470103.0,-4817803.0,-4884200.0,2007488.0,0.0,1065264.0,551132.0,551132.0,0.0,0.0,0.014,32335625.0,1636033.0,4681055.0,0.0,,,,2999418.0,514132.0,,,,924348.0,824199.0,38216331.0,38216331.0,0.0,0.045,0.502,0.594,0.051,22505.0,32335625.0,1.0,,14567084.0,17920868.0,2.623,13225852.0,0.0,740268.0,139640.0,0.908,3472839.0
107276,CTIX,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-17,0.0,13225852.0,12214721.0,9845588.0,3380264.0,3.129,0.095,66397.0,2973988.0,2973988.0,4244673.0,1065264.0,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,563514.0,0.0,,0.0,1953785.0,2517299.0,0.066,2517299.0,1953785.0,1805532.0,0.04,0.03,0.04,1385199.0,1098381.0,1385199.0,,,,2073885.0,0.142,1.0,33971658.0,0.889,0.0,148253.0,5626308.0,3289934.0,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,-3280418.0,0.0,0.0,-470103.0,0.0,-470103.0,-4817803.0,-4884200.0,2007488.0,0.0,1065264.0,551132.0,551132.0,0.0,0.0,0.014,32335625.0,1636033.0,4681055.0,0.0,,,,2999418.0,514132.0,,,,924348.0,824199.0,38216331.0,38216331.0,0.0,0.045,0.502,0.594,0.051,22505.0,32335625.0,1.0,,14567084.0,17920868.0,2.623,13225852.0,0.0,740268.0,139640.0,0.908,3472839.0
107277,CTIX,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-17,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14474000.0,,,,,,,,
107278,CTIX,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-17,0.0,13225852.0,,9845588.0,3380264.0,,0.096,,2973988.0,2973988.0,,,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,,0.0,,0.0,,,,,,,,,,1385199.0,,1385199.0,,,,,,1.0,,,0.0,,5626308.0,,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,,,,,,,,,,,,,,,,,,,4681055.0,,,,,2999418.0,,,,,924348.0,824199.0,,,,,,,,,,1.0,,14474000.0,,,13225852.0,0.0,,139640.0,0.914,3472839.0
107279,CTIX,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-17,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14847000.0,,,,,,,,
107280,CTIX,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-17,0.0,13225852.0,,9845588.0,3380264.0,,0.096,-92603.0,2973988.0,2973988.0,-100302327.0,-407736.0,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,152514.0,0.0,,0.0,-661215.0,-508701.0,0.005,-508701.0,-661215.0,-691468.0,-0.03,-0.03,-0.03,1385199.0,,1385199.0,,,,-1308115.0,-0.09,1.0,7470658.0,-0.08,0.0,30253.0,5626308.0,,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,-6258418.0,0.0,0.0,-66103.0,0.0,-66103.0,-4976803.0,-4884200.0,-1215512.0,0.0,-407736.0,-536868.0,-536868.0,0.0,0.0,0.006,8242625.0,-771967.0,4681055.0,0.0,,,,2999418.0,129132.0,,,,924348.0,824199.0,-92831669.0,-92831669.0,0.0,,,,,24505.0,8242625.0,1.0,,14474336.0,18808472.0,-6.414,13225852.0,0.0,-283732.0,139640.0,0.914,3472839.0
107281,CTIX,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-17,,,,,,,,670504.0,,,39572000.0,803000.0,,,,,,,,141376.0,,,0.0,1398000.0,1539376.0,0.031,1539376.0,1398000.0,1362000.0,0.05,0.04,0.05,,,,,,,-2597869.0,-0.179,1.0,10865000.0,0.215,,36000.0,,,,,,,,,,,-3168130.0,0.0,0.0,-570261.0,0.0,-570261.0,670504.0,0.0,-3268373.0,0.0,803000.0,674000.0,674000.0,0.0,0.0,0.013,9535000.0,1330000.0,,0.0,,,,,129000.0,,,,,,50437000.0,50437000.0,0.0,,,,,-21127.0,9535000.0,1.0,,14474000.0,17584000.0,3.485,,,559000.0,,,
107282,CTIX,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-17,0.0,13225852.0,,9845588.0,3380264.0,,0.096,-391504.0,2973988.0,2973988.0,39016000.0,644000.0,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,134624.0,0.0,,0.0,1134000.0,1268624.0,0.026,1268624.0,1134000.0,1091000.0,0.04,0.03,0.04,1385199.0,,1385199.0,,,,2589869.0,0.179,1.0,9197000.0,0.191,0.0,43000.0,5626308.0,,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,2495130.0,0.0,0.0,-94739.0,0.0,-94739.0,-391504.0,0.0,2981373.0,0.0,644000.0,515000.0,515000.0,0.0,0.0,0.011,8128000.0,1069000.0,4681055.0,0.0,,,,2999418.0,129000.0,,,,924348.0,824199.0,48213000.0,48213000.0,0.0,,,,,14127.0,8128000.0,1.0,,14474000.0,17481000.0,3.331,13225852.0,0.0,447000.0,139640.0,0.914,3472839.0
107283,CTIX,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-17,,,,,,,,-120000.0,,,25959000.0,26000.0,,,,,,,,135000.0,,,0.0,82000.0,217000.0,0.007,217000.0,82000.0,44000.0,-0.01,-0.01,-0.01,,,,,,,3390000.0,0.228,1.0,6439000.0,0.199,,38000.0,,,,,,,,,,,3651000.0,0.0,0.0,261000.0,0.0,261000.0,-120000.0,0.0,3510000.0,0.0,26000.0,-103000.0,-103000.0,0.0,0.0,-0.003,6430000.0,9000.0,,0.0,,,,,129000.0,,,,,,32398000.0,32398000.0,0.0,,,,,5000.0,6430000.0,1.0,,14847000.0,17817000.0,2.182,,,18000.0,,,
107284,CTIX,ARY,1998-12-31,1999-03-18,1998-12-31,2019-09-17,0.0,13225852.0,,9845588.0,3380264.0,,0.095,66397.0,2973988.0,2973988.0,136067182.0,1065264.0,1.545,5.562,1747193.0,509278.0,1237915.0,1747193.0,0.0,563514.0,0.0,,0.0,1953785.0,2517299.0,0.015,2517299.0,1953785.0,1805532.0,0.04,0.03,0.04,1385199.0,,1385199.0,,,,2073885.0,0.142,1.0,35047145.0,0.205,0.0,148253.0,5626308.0,,286331.0,4935229.0,4935229.0,0.0,7704625.0,6372749.0,1331876.0,,-3280418.0,0.0,0.0,-470103.0,0.0,-470103.0,-4817803.0,-4884200.0,2007488.0,0.0,1065264.0,551132.0,551132.0,0.0,0.0,0.003,33411112.0,1636033.0,4681055.0,0.0,,,,2999418.0,514132.0,,,,924348.0,824199.0,171114327.0,171114327.0,0.0,,,,0.011,22505.0,33411112.0,1.0,20943132.0,14567084.0,17920868.0,11.747,13225852.0,0.0,740268.0,139640.0,0.908,3472839.0
