None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
105636,CYLK,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-11,-61000.0,94318000.0,103799250.0,79537000.0,14781000.0,0.412,2.593,-2060000.0,46575000.0,46575000.0,16898000.0,5161000.0,4.197,0.254,267000.0,120000.0,147000.0,267000.0,1975000.0,5306000.0,0.0,0.0,0.0,-3994000.0,1312000.0,0.031,1312000.0,-3994000.0,-3994000.0,0.18,0.18,0.18,75221000.0,82131000.0,75221000.0,59716839.0,-15.0,45.516,-27793000.0,-0.958,1.0,25862000.0,0.605,5341000.0,0.0,23719000.0,26343500.0,10289000.0,6103000.0,3545000.0,2558000.0,19097000.0,18950000.0,147000.0,105396839.0,23598000.0,51879000.0,1817000.0,0.0,0.0,1618000.0,47711000.0,-2108000.0,-25733000.0,2000.0,5161000.0,5161000.0,5161000.0,-22517000.0,0.0,0.121,54720000.0,-28858000.0,3656000.0,0.0,1.401,20.422,20.139,5731000.0,0.0,3.625,2.465,2.459,7958000.0,-48771000.0,42760000.0,42760000.0,15809000.0,0.05,0.063,-0.152,-0.093,1299000.0,36193000.0,1.0,29074990.0,29009000.0,29009000.0,1.474,88977000.0,4495000.0,-9155000.0,1091000.0,3.067,60587000.0
105637,CYLK,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-11,-61000.0,94318000.0,103799250.0,79537000.0,14781000.0,0.412,2.593,-2060000.0,46575000.0,46575000.0,16898000.0,5161000.0,4.197,0.254,267000.0,120000.0,147000.0,267000.0,1975000.0,5306000.0,0.0,0.0,0.0,-3994000.0,1312000.0,0.031,1312000.0,-3994000.0,-3994000.0,0.18,0.18,0.18,75221000.0,82131000.0,75221000.0,59716839.0,-15.0,45.516,-27793000.0,-0.958,1.0,25862000.0,0.605,5341000.0,0.0,23719000.0,26343500.0,10289000.0,6103000.0,3545000.0,2558000.0,19097000.0,18950000.0,147000.0,105396839.0,23598000.0,51879000.0,1817000.0,0.0,0.0,1618000.0,47711000.0,-2108000.0,-25733000.0,2000.0,5161000.0,5161000.0,5161000.0,-22517000.0,0.0,0.121,54720000.0,-28858000.0,3656000.0,0.0,1.401,20.422,20.139,5731000.0,0.0,3.625,2.465,2.459,7958000.0,-48771000.0,42760000.0,42760000.0,15809000.0,0.05,0.063,-0.152,-0.093,1299000.0,36193000.0,1.0,29074990.0,29009000.0,29009000.0,1.474,88977000.0,4495000.0,-9155000.0,1091000.0,3.067,60587000.0
105638,CYLK,MRT,1998-09-30,1998-09-27,1998-09-27,2019-07-11,-27000.0,97992000.0,99977500.0,80156000.0,17836000.0,0.462,2.768,-3140000.0,49241000.0,49241000.0,16510000.0,10600000.0,4.629,0.217,320000.0,156000.0,164000.0,320000.0,1378000.0,5096000.0,0.0,0.0,0.0,4826000.0,9922000.0,0.215,9922000.0,4826000.0,4826000.0,0.41,0.41,0.41,80500000.0,79859250.0,80500000.0,103329324.0,21.0,10.414,-26572000.0,-0.914,1.0,29670000.0,0.642,5979000.0,0.0,25777000.0,29382500.0,9826000.0,3545000.0,3545000.0,0.0,17492000.0,17315000.0,177000.0,149009324.0,23893000.0,51339000.0,1549000.0,109000.0,0.0,1342000.0,45910000.0,-2289000.0,-23432000.0,73000.0,10600000.0,10600000.0,10600000.0,-22776000.0,0.0,0.23,49051000.0,-19381000.0,3163000.0,0.0,1.851,14.057,12.5,5884000.0,0.0,5.125,3.227,3.227,19245000.0,-42140000.0,46180000.0,46180000.0,15160000.0,0.106,0.133,0.164,0.105,380000.0,31179000.0,1.0,29074990.0,29082000.0,29082000.0,1.588,92013000.0,1629000.0,-5774000.0,13000.0,3.164,62841000.0
105639,CYLK,MRT,1998-06-30,1998-06-28,1998-06-28,2019-07-11,-62000.0,106925000.0,,84989000.0,21936000.0,,2.965,-3291000.0,46052000.0,46052000.0,14412000.0,-46600000.0,4.1,0.243,372000.0,194000.0,178000.0,372000.0,1581000.0,4251000.0,0.0,0.0,0.0,-49314000.0,-45063000.0,-0.955,-45063000.0,-49314000.0,-49314000.0,-1.76,-1.76,-1.76,86005000.0,,86005000.0,261160806.0,-5.0,-5.795,-20188000.0,-0.696,1.0,32767000.0,0.695,6659000.0,0.0,33857000.0,,8419000.0,12424000.0,12424000.0,0.0,20920000.0,20729000.0,191000.0,318827806.0,-22914000.0,-1890000.0,1602000.0,76000.0,0.0,1414000.0,-7411000.0,-2230000.0,-16897000.0,-20000.0,-46600000.0,-46600000.0,-46600000.0,-23572000.0,0.0,-0.988,107249000.0,-74482000.0,1958000.0,0.0,3.707,-6.842,-6.25,6105000.0,0.0,11.0,6.758,6.764,19693000.0,-36457000.0,47179000.0,47179000.0,12332000.0,,,,-1.045,380000.0,28831000.0,1.0,28984346.0,29011000.0,29011000.0,1.626,100266000.0,1640000.0,-2714000.0,4617000.0,3.456,64260000.0
105640,CYLK,MRT,1998-03-31,1998-03-29,1998-03-29,2019-07-11,-47000.0,115962000.0,,94276000.0,21686000.0,,3.012,-3464000.0,58078000.0,58078000.0,13807000.0,-43710000.0,3.258,0.336,411000.0,196000.0,215000.0,411000.0,1165000.0,3518000.0,0.0,0.0,0.0,-45527000.0,-42009000.0,-0.905,-42009000.0,-45527000.0,-45527000.0,-1.65,-1.65,-1.65,86798000.0,,86798000.0,,,,-13578000.0,-0.471,1.0,32593000.0,0.702,7338000.0,0.0,22021000.0,,6935000.0,0.0,0.0,0.0,29164000.0,28936000.0,228000.0,433951905.0,-15293000.0,-1890000.0,1160000.0,-2000.0,0.0,988000.0,-6199000.0,-845000.0,-10114000.0,32000.0,-43710000.0,-43710000.0,-43710000.0,-24535000.0,0.0,-0.942,104748000.0,-72155000.0,2936000.0,0.0,5.0,-9.928,-9.129,6041000.0,0.0,15.063,9.352,9.356,17074000.0,-34790000.0,46400000.0,46400000.0,12515000.0,,,,-0.981,380000.0,26827000.0,1.0,28810085.0,28820000.0,28820000.0,1.61,108624000.0,1760000.0,-1817000.0,11374000.0,3.769,65340000.0
105641,CYLK,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-11,-61000.0,94318000.0,,79537000.0,14781000.0,,2.583,97000.0,46575000.0,46575000.0,4353000.0,-6631000.0,4.197,0.254,267000.0,120000.0,147000.0,267000.0,1975000.0,1611000.0,0.0,0.0,0.0,-10012000.0,-8401000.0,-0.823,-8401000.0,-10012000.0,-10012000.0,-0.23,-0.23,-0.23,75221000.0,,75221000.0,59716839.0,-15.0,45.516,-2567000.0,-0.088,1.0,5852000.0,0.573,5341000.0,0.0,23719000.0,,10289000.0,6103000.0,3545000.0,2558000.0,19097000.0,18950000.0,147000.0,105396839.0,-2407000.0,0.0,66000.0,0.0,0.0,13000.0,278000.0,181000.0,-2664000.0,-34000.0,-6631000.0,-6631000.0,-6631000.0,0.0,0.0,-0.65,16913000.0,-11061000.0,3656000.0,0.0,1.401,20.422,20.139,5731000.0,0.0,3.625,2.465,2.459,7958000.0,-48771000.0,10205000.0,10205000.0,3772000.0,,,,,1237000.0,12461000.0,1.0,29074990.0,29123000.0,29123000.0,0.35,88977000.0,4495000.0,-3381000.0,1091000.0,3.055,60587000.0
105642,CYLK,MRQ,1998-09-30,1998-09-27,1998-09-27,2019-07-11,-27000.0,97992000.0,,80156000.0,17836000.0,,2.768,-579000.0,49241000.0,49241000.0,5924000.0,-5683000.0,4.629,0.217,320000.0,156000.0,164000.0,320000.0,1378000.0,1480000.0,0.0,0.0,0.0,-8743000.0,-7263000.0,-0.599,-7263000.0,-8743000.0,-8743000.0,-0.2,-0.2,-0.2,80500000.0,,80500000.0,103329324.0,21.0,10.414,-5996000.0,-0.206,1.0,6206000.0,0.512,5979000.0,0.0,25777000.0,,9826000.0,3545000.0,3545000.0,0.0,17492000.0,17315000.0,177000.0,149009324.0,2930000.0,8879000.0,123000.0,0.0,0.0,71000.0,8241000.0,-59000.0,-5417000.0,35000.0,-5683000.0,-5683000.0,-5683000.0,0.0,0.0,-0.469,15523000.0,-9317000.0,3163000.0,0.0,1.851,14.057,12.5,5884000.0,0.0,5.125,3.227,3.227,19245000.0,-42140000.0,12130000.0,12130000.0,6222000.0,,,,,20000.0,8622000.0,1.0,29074990.0,29082000.0,29082000.0,0.417,92013000.0,1629000.0,-3060000.0,13000.0,3.164,62841000.0
105643,CYLK,MRQ,1998-06-30,1998-06-28,1998-06-28,2019-07-11,-62000.0,106925000.0,,84989000.0,21936000.0,,2.965,-871000.0,46052000.0,46052000.0,3990000.0,-1667000.0,4.1,0.243,372000.0,194000.0,178000.0,372000.0,1581000.0,1227000.0,0.0,0.0,0.0,-2564000.0,-1337000.0,-0.108,-1337000.0,-2564000.0,-2564000.0,-0.06,-0.06,-0.06,86005000.0,,86005000.0,261160806.0,-5.0,-5.795,-11455000.0,-0.395,1.0,8373000.0,0.677,6659000.0,0.0,33857000.0,,8419000.0,12424000.0,12424000.0,0.0,20920000.0,20729000.0,191000.0,318827806.0,-12026000.0,0.0,868000.0,55000.0,0.0,829000.0,-2256000.0,-1385000.0,-10584000.0,-15000.0,-1667000.0,-1667000.0,-1667000.0,0.0,0.0,-0.135,11509000.0,-3136000.0,1958000.0,0.0,3.707,-6.842,-6.25,6105000.0,0.0,11.0,6.758,6.764,19693000.0,-36457000.0,12363000.0,12363000.0,2770000.0,,,,,21000.0,8059000.0,1.0,28984346.0,29011000.0,29011000.0,0.426,100266000.0,1640000.0,-897000.0,4617000.0,3.456,64260000.0
105644,CYLK,MRQ,1998-03-31,1998-03-29,1998-03-29,2019-07-11,-47000.0,115962000.0,,94276000.0,21686000.0,,3.012,-707000.0,58078000.0,58078000.0,2631000.0,19142000.0,3.258,0.336,411000.0,196000.0,215000.0,411000.0,1165000.0,988000.0,0.0,0.0,0.0,17325000.0,18313000.0,2.272,18313000.0,17325000.0,17325000.0,0.66,0.66,0.66,86798000.0,,86798000.0,,,,-7775000.0,-0.27,1.0,5431000.0,0.674,7338000.0,0.0,22021000.0,,6935000.0,0.0,0.0,0.0,29164000.0,28936000.0,228000.0,433951905.0,35101000.0,43000000.0,760000.0,-55000.0,0.0,705000.0,41448000.0,-845000.0,-7068000.0,16000.0,19142000.0,19142000.0,19142000.0,-22517000.0,0.0,2.374,10775000.0,-5344000.0,2936000.0,0.0,5.0,-9.928,-9.129,6041000.0,0.0,15.063,9.352,9.356,17074000.0,-34790000.0,8062000.0,8062000.0,3045000.0,,,,,21000.0,7051000.0,1.0,28810085.0,28820000.0,28820000.0,0.28,108624000.0,1760000.0,-1817000.0,11374000.0,3.769,65340000.0
105645,CYLK,ARY,1998-12-31,1999-03-31,1998-12-31,2019-07-11,-61000.0,94318000.0,110107750.0,79537000.0,14781000.0,0.388,2.593,-2060000.0,46575000.0,46575000.0,16898000.0,5161000.0,4.197,0.254,267000.0,120000.0,147000.0,267000.0,1975000.0,5306000.0,0.0,0.0,0.0,-3994000.0,1312000.0,0.031,1312000.0,-3994000.0,-3994000.0,0.18,0.18,0.18,75221000.0,86746750.0,75221000.0,70165868.0,-18.0,53.48,-27793000.0,-0.958,1.0,25862000.0,0.605,5341000.0,0.0,23719000.0,30959250.0,10289000.0,6103000.0,3545000.0,2558000.0,19097000.0,18950000.0,147000.0,116473868.0,23598000.0,51879000.0,1817000.0,-199000.0,0.0,1618000.0,47711000.0,-2108000.0,-25733000.0,2000.0,5161000.0,5161000.0,5161000.0,-22517000.0,0.0,0.121,54720000.0,-28858000.0,3656000.0,0.0,1.548,22.568,22.222,5731000.0,0.0,4.0,2.724,2.714,7958000.0,-48771000.0,42760000.0,42760000.0,15809000.0,0.047,0.059,-0.129,-0.093,1382000.0,36193000.0,1.0,29118467.0,29009000.0,29009000.0,1.474,88977000.0,4495000.0,-9155000.0,1091000.0,3.067,60587000.0
