None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
104727,DCR1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-30,0.0,44487000.0,46776750.0,13426000.0,31061000.0,1.796,5.203,-1715000.0,618000.0,618000.0,0.0,16434000.0,0.78,0.794,1500000.0,1500000.0,0.0,1500000.0,1166000.0,2828000.0,0.0,0.0,0.0,29012000.0,31840000.0,0.379,31840000.0,29012000.0,28866000.0,3.45,3.16,3.45,24802000.0,29067500.0,24802000.0,252218978.0,9.0,7.921,20710000.0,4.344,1.0,83995000.0,1.0,23452000.0,146000.0,4711000.0,11001000.0,0.0,2316000.0,0.0,2316000.0,19685000.0,17206000.0,2479000.0,254138978.0,-337000.0,0.0,-15750000.0,-5500000.0,-572000.0,-20436000.0,-2326000.0,-611000.0,22425000.0,0.0,16434000.0,16434000.0,16434000.0,0.0,0.0,0.196,55573000.0,28422000.0,3154000.0,0.0,10.247,15.464,15.888,4880000.0,0.0,54.813,3.026,3.111,11611000.0,24802000.0,83995000.0,83995000.0,0.0,0.351,0.565,2.637,0.345,0.0,0.0,1.0,4636515.0,4767000.0,5195000.0,17.62,21035000.0,0.0,12432000.0,614000.0,4.413,-3780000.0
104728,DCR1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-30,0.0,44487000.0,46776750.0,13426000.0,31061000.0,1.796,5.203,-1715000.0,618000.0,618000.0,0.0,16434000.0,0.78,0.794,1500000.0,1500000.0,0.0,1500000.0,1166000.0,2828000.0,0.0,0.0,0.0,29012000.0,31840000.0,0.379,31840000.0,29012000.0,28866000.0,3.45,3.16,3.45,24802000.0,29067500.0,24802000.0,252218978.0,9.0,7.921,20710000.0,4.344,1.0,83995000.0,1.0,23452000.0,146000.0,4711000.0,11001000.0,0.0,2316000.0,0.0,2316000.0,19685000.0,17206000.0,2479000.0,254138978.0,-337000.0,0.0,-15750000.0,-5500000.0,-572000.0,-20436000.0,-2326000.0,-611000.0,22425000.0,0.0,16434000.0,16434000.0,16434000.0,0.0,0.0,0.196,55573000.0,28422000.0,3154000.0,0.0,10.247,15.464,15.888,4880000.0,0.0,54.813,3.026,3.111,11611000.0,24802000.0,83995000.0,83995000.0,0.0,0.351,0.565,2.637,0.345,0.0,0.0,1.0,4636515.0,4767000.0,5195000.0,17.62,21035000.0,0.0,12432000.0,614000.0,4.413,-3780000.0
104729,DCR1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-30,0.0,45660000.0,47031000.0,14369000.0,31291000.0,1.73,6.404,-2346000.0,1920000.0,1920000.0,0.0,15777000.0,1.233,0.483,0.0,0.0,0.0,0.0,838000.0,2957000.0,0.0,0.0,0.0,28515000.0,31472000.0,0.387,31472000.0,28515000.0,27826000.0,3.26,2.99,3.26,30789000.0,28686250.0,30789000.0,224030990.0,8.0,7.118,20681000.0,4.301,1.0,81346000.0,1.0,23572000.0,689000.0,8518000.0,13241000.0,0.0,2525000.0,0.0,2525000.0,14871000.0,11650000.0,3221000.0,222834990.0,1647000.0,0.0,-9592000.0,-9500000.0,-581000.0,-18169000.0,-3211000.0,-865000.0,23027000.0,0.0,15777000.0,15777000.0,15777000.0,0.0,0.0,0.194,54035000.0,27311000.0,3016000.0,0.0,7.237,14.124,14.13,5154000.0,0.0,46.063,2.739,2.723,11319000.0,30789000.0,81346000.0,81346000.0,0.0,0.335,0.55,2.154,0.351,0.0,0.0,1.0,4837666.0,4808000.0,5246000.0,16.919,22088000.0,0.0,12049000.0,-308000.0,4.594,2719000.0
104730,DCR1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-30,0.0,48849000.0,,17522000.0,31327000.0,,6.702,-2406000.0,304000.0,304000.0,0.0,14273000.0,1.442,0.506,1500000.0,0.0,1500000.0,1500000.0,2087000.0,2793000.0,0.0,0.0,0.0,25695000.0,28488000.0,0.361,28488000.0,25695000.0,25223000.0,2.94,2.75,2.94,32426000.0,,32426000.0,273743880.0,11.0,9.609,13537000.0,2.798,1.0,78947000.0,1.0,23835000.0,472000.0,14055000.0,,0.0,2160000.0,0.0,2160000.0,16423000.0,12155000.0,4268000.0,269699880.0,-250000.0,0.0,-4949000.0,-8000000.0,-581000.0,-12771000.0,-3422000.0,-1016000.0,15943000.0,0.0,14273000.0,14273000.0,14273000.0,0.0,0.0,0.181,53778000.0,25169000.0,3005000.0,0.0,8.317,18.896,18.963,5285000.0,0.0,55.75,3.416,3.416,16158000.0,31239000.0,78947000.0,78947000.0,0.0,,,,0.325,0.0,0.0,1.0,4837666.0,4838000.0,5260000.0,16.318,25014000.0,0.0,10950000.0,690000.0,5.17,5367000.0
104731,DCR1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-30,0.0,48111000.0,,16632000.0,31479000.0,,5.866,-2171000.0,1956000.0,1956000.0,0.0,12568000.0,1.467,0.703,6000000.0,0.0,6000000.0,6000000.0,1548000.0,2630000.0,0.0,0.0,0.0,22692000.0,25322000.0,0.341,25322000.0,22692000.0,22174000.0,2.56,2.4,2.56,28253000.0,,28253000.0,249557700.0,11.0,9.855,13612000.0,2.826,1.0,74330000.0,1.0,24098000.0,518000.0,16720000.0,,0.0,2215000.0,0.0,2215000.0,19858000.0,11337000.0,8521000.0,243512700.0,1705000.0,0.0,-9549000.0,-1500000.0,-589000.0,-10879000.0,-3199000.0,-1028000.0,15783000.0,0.0,12568000.0,12568000.0,12568000.0,0.0,0.0,0.169,52180000.0,22150000.0,3442000.0,0.0,8.619,19.376,19.678,5113000.0,0.0,50.375,3.276,3.264,13617000.0,27177000.0,74330000.0,74330000.0,0.0,,,,0.305,0.0,0.0,1.0,4833999.0,4816000.0,5222000.0,15.434,24013000.0,0.0,9606000.0,2797000.0,4.986,5295000.0
104732,DCR1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-30,0.0,44487000.0,,13426000.0,31061000.0,,5.382,-190000.0,618000.0,618000.0,0.0,4038000.0,0.78,0.794,1500000.0,1500000.0,0.0,1500000.0,1166000.0,732000.0,0.0,0.0,0.0,7242000.0,7974000.0,0.369,7974000.0,7242000.0,7096000.0,0.88,0.8,0.88,24802000.0,,24802000.0,252218978.0,9.0,7.921,7364000.0,1.598,1.0,21604000.0,1.0,23452000.0,146000.0,4711000.0,,0.0,2316000.0,0.0,2316000.0,19685000.0,17206000.0,2479000.0,254138978.0,-1302000.0,0.0,-10563000.0,1500000.0,-137000.0,-8570000.0,-286000.0,-96000.0,7554000.0,0.0,4038000.0,4038000.0,4038000.0,0.0,0.0,0.187,14484000.0,7120000.0,3154000.0,0.0,10.247,15.464,15.888,4880000.0,0.0,54.813,3.026,3.111,11611000.0,24802000.0,21604000.0,21604000.0,0.0,,,,,0.0,0.0,1.0,4636515.0,4608000.0,5015000.0,4.688,21035000.0,0.0,3058000.0,614000.0,4.565,-3780000.0
104733,DCR1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-30,0.0,45660000.0,,14369000.0,31291000.0,,6.404,-322000.0,1920000.0,1920000.0,0.0,3784000.0,1.233,0.483,0.0,0.0,0.0,0.0,838000.0,718000.0,0.0,0.0,0.0,6676000.0,7394000.0,0.387,7394000.0,6676000.0,6676000.0,0.79,0.72,0.79,30789000.0,,30789000.0,224030990.0,8.0,7.118,8468000.0,1.761,1.0,19108000.0,1.0,23572000.0,0.0,8518000.0,,0.0,2525000.0,0.0,2525000.0,14871000.0,11650000.0,3221000.0,222834990.0,1616000.0,0.0,-5586000.0,-1500000.0,-146000.0,-6487000.0,-687000.0,-365000.0,8790000.0,0.0,3784000.0,3784000.0,3784000.0,0.0,0.0,0.198,12853000.0,6255000.0,3016000.0,0.0,7.237,14.124,14.13,5154000.0,0.0,46.063,2.739,2.723,11319000.0,30789000.0,19108000.0,19108000.0,0.0,,,,,0.0,0.0,1.0,4837666.0,4808000.0,5246000.0,3.974,22088000.0,0.0,2892000.0,-308000.0,4.594,2719000.0
104734,DCR1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-30,0.0,48849000.0,,17522000.0,31327000.0,,6.702,-595000.0,304000.0,304000.0,0.0,4207000.0,1.442,0.506,1500000.0,0.0,1500000.0,1500000.0,2087000.0,702000.0,0.0,0.0,0.0,7430000.0,8132000.0,0.378,8132000.0,7430000.0,7378000.0,0.87,0.8,0.87,32426000.0,,32426000.0,273743880.0,11.0,9.609,2825000.0,0.584,1.0,21512000.0,1.0,23835000.0,52000.0,14055000.0,,0.0,2160000.0,0.0,2160000.0,16423000.0,12155000.0,4268000.0,269699880.0,-1652000.0,0.0,47000.0,-4500000.0,-145000.0,-4592000.0,-480000.0,115000.0,3420000.0,0.0,4207000.0,4207000.0,4207000.0,0.0,0.0,0.196,14114000.0,7398000.0,3005000.0,0.0,8.317,18.896,18.963,5285000.0,0.0,55.75,3.416,3.416,16158000.0,31239000.0,21512000.0,21512000.0,0.0,,,,,0.0,0.0,1.0,4837666.0,4838000.0,5260000.0,4.446,25014000.0,0.0,3171000.0,690000.0,5.17,5367000.0
104735,DCR1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-30,0.0,48111000.0,,16632000.0,31479000.0,,5.866,-608000.0,1956000.0,1956000.0,0.0,4406000.0,1.467,0.703,6000000.0,0.0,6000000.0,6000000.0,1548000.0,676000.0,0.0,0.0,0.0,7859000.0,8535000.0,0.392,8535000.0,7859000.0,7717000.0,0.91,0.84,0.91,28253000.0,,28253000.0,249557700.0,11.0,9.855,2053000.0,0.426,1.0,21771000.0,1.0,24098000.0,142000.0,16720000.0,,0.0,2215000.0,0.0,2215000.0,19858000.0,11337000.0,8521000.0,243512700.0,1001000.0,0.0,352000.0,-1000000.0,-144000.0,-787000.0,-873000.0,-265000.0,2661000.0,0.0,4406000.0,4406000.0,4406000.0,0.0,0.0,0.202,14122000.0,7649000.0,3442000.0,0.0,8.619,19.376,19.678,5113000.0,0.0,50.375,3.276,3.264,13617000.0,27177000.0,21771000.0,21771000.0,0.0,,,,,0.0,0.0,1.0,4833999.0,4816000.0,5222000.0,4.521,24013000.0,0.0,3311000.0,2797000.0,4.986,5295000.0
104736,DCR1,ARY,1998-12-31,1999-03-29,1998-12-31,2019-09-30,0.0,44207000.0,46706750.0,13426000.0,30781000.0,1.798,5.203,-1715000.0,618000.0,618000.0,0.0,16434000.0,0.798,0.782,1500000.0,1500000.0,0.0,1500000.0,1166000.0,2828000.0,0.0,0.0,0.0,29012000.0,31840000.0,0.379,31840000.0,29012000.0,28866000.0,3.45,3.16,3.45,24802000.0,29067500.0,24802000.0,240853830.0,8.0,7.565,22069000.0,4.63,1.0,83995000.0,1.0,23452000.0,146000.0,4817000.0,11027500.0,0.0,2316000.0,0.0,2316000.0,19405000.0,16820000.0,2585000.0,239971830.0,-337000.0,0.0,-15750000.0,-5500000.0,-572000.0,-21795000.0,-2326000.0,-611000.0,23784000.0,0.0,16434000.0,16434000.0,16434000.0,0.0,0.0,0.196,55573000.0,28422000.0,3154000.0,0.0,9.676,14.602,15.29,4880000.0,0.0,52.75,2.857,2.994,11611000.0,24802000.0,83995000.0,83995000.0,0.0,0.352,0.565,2.631,0.345,0.0,0.0,1.0,4549229.0,4767000.0,5195000.0,17.62,20755000.0,0.0,12432000.0,228000.0,4.354,-3394000.0
