None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
100741,DYHM,MRY,1998-12-31,1998-12-26,1998-12-26,2019-10-15,0.0,9425200.0,9594300.0,4425600.0,4999600.0,1.248,2.279,-319400.0,312300.0,312300.0,9556500.0,374300.0,3.183,0.846,3049400.0,196900.0,2852500.0,3049400.0,0.0,453000.0,199500.0,0.0,0.0,841100.0,1294100.0,0.108,1294100.0,841100.0,719200.0,0.17,0.23,0.17,5106500.0,4822375.0,5106500.0,6177381.0,7.0,4.773,-831000.0,-0.371,1.0,2412500.0,0.202,0.0,121900.0,10772100.0,10706775.0,2367200.0,0.0,0.0,0.0,4318700.0,1390200.0,2928500.0,3641381.0,-1017200.0,0.0,0.0,-122100.0,0.0,-122100.0,-383500.0,0.0,-511600.0,0.0,374300.0,374300.0,374300.0,115300.0,0.0,0.031,1458300.0,954200.0,350000.0,0.0,0.713,9.729,9.559,4578300.0,0.0,1.625,0.304,0.304,1491500.0,4875100.0,11969000.0,11969000.0,0.0,0.039,0.078,0.079,0.07,0.0,1458300.0,1.0,2240850.0,2240850.0,,5.341,9425200.0,143000.0,344900.0,80900.0,4.206,3035400.0
100742,DYHM,MRT,1998-12-31,1998-12-26,1998-12-26,2019-10-15,0.0,9425200.0,9594300.0,4425600.0,4999600.0,1.248,2.279,-319400.0,312300.0,312300.0,9556500.0,374300.0,3.183,0.846,3049400.0,196900.0,2852500.0,3049400.0,0.0,453000.0,199500.0,0.0,0.0,841100.0,1294100.0,0.108,1294100.0,841100.0,719200.0,0.17,0.23,0.17,5106500.0,4822375.0,5106500.0,6177381.0,7.0,4.773,-831000.0,-0.371,1.0,2412500.0,0.202,0.0,121900.0,10772100.0,10706775.0,2367200.0,0.0,0.0,0.0,4318700.0,1390200.0,2928500.0,3641381.0,-1017200.0,0.0,0.0,-122100.0,0.0,-122100.0,-383500.0,0.0,-511600.0,0.0,374300.0,374300.0,374300.0,115300.0,0.0,0.031,1458300.0,954200.0,350000.0,0.0,0.713,9.729,9.559,4578300.0,0.0,1.625,0.304,0.304,1491500.0,4875100.0,11969000.0,11969000.0,0.0,0.039,0.078,0.079,0.07,0.0,1458300.0,1.0,2240850.0,2240850.0,,5.341,9425200.0,143000.0,344900.0,80900.0,4.206,3035400.0
100743,DYHM,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-15,0.0,9941000.0,9458375.0,4728000.0,5213000.0,1.323,2.259,,560000.0,560000.0,9960700.0,307100.0,2.496,0.963,3096000.0,192000.0,2904000.0,3096000.0,0.0,,348000.0,0.0,0.0,805500.0,,,,805500.0,671100.0,0.14,0.16,0.14,5063000.0,4728800.0,5063000.0,7030381.0,9.0,,,,1.0,2552900.0,0.204,0.0,134400.0,10583000.0,10398675.0,2935000.0,0.0,0.0,0.0,4878000.0,1894000.0,2984000.0,3615381.0,,,,,,,,,,,307100.0,307100.0,307100.0,131900.0,0.0,0.025,1593900.0,959000.0,490000.0,0.0,0.714,11.773,11.607,4682000.0,0.0,1.625,0.289,0.291,1043000.0,4832000.0,12513600.0,12513600.0,0.0,0.032,0.065,0.077,0.064,,1612900.0,1.0,2224850.0,2240900.0,,5.584,9941000.0,99000.0,364000.0,478000.0,4.436,2834000.0
100744,DYHM,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-15,0.0,9872000.0,,4803000.0,5069000.0,,2.067,,57000.0,57000.0,9774700.0,312100.0,2.103,1.131,3472000.0,597000.0,2875000.0,3472000.0,0.0,,514000.0,0.0,0.0,810500.0,,,,810500.0,679100.0,0.15,0.16,0.15,4633000.0,,4633000.0,7327647.0,9.0,,,,1.0,2551900.0,0.207,0.0,131400.0,11003000.0,,3432000.0,0.0,0.0,0.0,5239000.0,2284000.0,2955000.0,4341647.0,,,,,,,,,,,312100.0,312100.0,312100.0,131900.0,0.0,0.025,1573900.0,978000.0,658000.0,0.0,0.937,13.911,12.917,4559000.0,0.0,1.938,0.352,0.352,1099000.0,4402000.0,12326600.0,12326600.0,0.0,,,,0.066,,1575900.0,1.0,2240850.0,2240900.0,,5.501,9872000.0,99000.0,367000.0,142000.0,4.405,2519000.0
100745,DYHM,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-15,0.0,9139000.0,,4014000.0,5125000.0,,2.002,,163000.0,163000.0,8380700.0,75100.0,2.424,1.037,3149000.0,233000.0,2916000.0,3149000.0,0.0,,334000.0,0.0,0.0,402500.0,,,,402500.0,284100.0,0.04,0.05,0.04,4487000.0,,4487000.0,5697588.0,14.0,,,,1.0,2165900.0,0.205,0.0,118400.0,10469000.0,,3418000.0,0.0,0.0,0.0,4652000.0,1656000.0,2996000.0,3921488.0,,,,,,,,,,,75100.0,75100.0,75100.0,131900.0,0.0,0.007,1580900.0,585000.0,744000.0,0.0,0.874,52.217,43.75,4608000.0,0.0,1.75,0.372,0.372,218000.0,4256000.0,10546600.0,10546600.0,0.0,,,,0.038,,1582900.0,1.0,2240850.0,2240850.0,,4.707,9139000.0,99000.0,209000.0,89000.0,4.078,2358000.0
100746,DYHM,MRQ,1998-12-31,1998-12-26,1998-12-26,2019-10-15,0.0,9425200.0,,4425600.0,4999600.0,,2.279,68600.0,312300.0,312300.0,1733500.0,44300.0,3.183,0.846,3049400.0,196900.0,2852500.0,3049400.0,0.0,97000.0,199500.0,0.0,0.0,79100.0,176100.0,0.102,176100.0,79100.0,168200.0,0.02,0.08,0.02,5106500.0,,5106500.0,6177381.0,7.0,4.773,-68000.0,-0.03,1.0,-14500.0,-0.008,0.0,-89100.0,10772100.0,,2367200.0,0.0,0.0,0.0,4318700.0,1390200.0,2928500.0,3641381.0,-247200.0,0.0,0.0,-115100.0,0.0,-115100.0,4500.0,0.0,-136600.0,0.0,44300.0,44300.0,44300.0,115300.0,0.0,0.026,-258700.0,244200.0,350000.0,0.0,0.713,9.729,9.559,4578300.0,0.0,1.625,0.304,0.304,1491500.0,4875100.0,1719000.0,1719000.0,0.0,,,,,0.0,-226700.0,1.0,2240850.0,2240850.0,,0.767,9425200.0,143000.0,123900.0,80900.0,4.206,3035400.0
100747,DYHM,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-15,0.0,9941000.0,,4728000.0,5213000.0,,2.259,-234000.0,560000.0,560000.0,3719000.0,429000.0,2.496,0.963,3096000.0,192000.0,2904000.0,3096000.0,0.0,122000.0,348000.0,0.0,0.0,784000.0,906000.0,0.177,906000.0,784000.0,716000.0,0.19,0.19,0.19,5063000.0,,5063000.0,7030381.0,9.0,,876000.0,0.391,1.0,1397000.0,0.273,0.0,68000.0,10583000.0,,2935000.0,0.0,0.0,0.0,4878000.0,1894000.0,2984000.0,3615381.0,503000.0,0.0,0.0,-373000.0,0.0,-373000.0,-234000.0,0.0,1110000.0,0.0,429000.0,429000.0,429000.0,0.0,0.0,0.084,628000.0,769000.0,490000.0,0.0,0.714,11.773,11.607,4682000.0,0.0,1.625,0.289,0.291,1043000.0,4832000.0,5116000.0,5116000.0,0.0,,,,,0.0,628000.0,1.0,2224850.0,2240900.0,2240900.0,2.283,9941000.0,99000.0,287000.0,478000.0,4.436,2834000.0
100748,DYHM,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-15,0.0,9872000.0,,4803000.0,5069000.0,,2.067,-52000.0,57000.0,57000.0,3197000.0,146000.0,2.103,1.131,3472000.0,597000.0,2875000.0,3472000.0,0.0,117000.0,514000.0,0.0,0.0,318000.0,435000.0,0.107,435000.0,318000.0,243000.0,0.07,0.07,0.07,4633000.0,,4633000.0,7327647.0,9.0,,-429000.0,-0.191,1.0,879000.0,0.216,0.0,75000.0,11003000.0,,3432000.0,0.0,0.0,0.0,5239000.0,2284000.0,2955000.0,4341647.0,-106000.0,0.0,0.0,323000.0,0.0,323000.0,-52000.0,0.0,-377000.0,0.0,146000.0,146000.0,146000.0,0.0,0.0,0.036,575000.0,304000.0,658000.0,0.0,0.937,13.911,12.917,4559000.0,0.0,1.938,0.352,0.352,1099000.0,4402000.0,4076000.0,4076000.0,0.0,,,,,0.0,575000.0,1.0,2240850.0,2240900.0,2242000.0,1.819,9872000.0,99000.0,97000.0,142000.0,4.405,2519000.0
100749,DYHM,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-15,0.0,9139000.0,,4014000.0,5125000.0,,2.002,-102000.0,163000.0,163000.0,907000.0,-339000.0,2.424,1.037,3149000.0,233000.0,2916000.0,3149000.0,0.0,117000.0,334000.0,0.0,0.0,-433000.0,-316000.0,-0.299,-316000.0,-433000.0,-502000.0,-0.15,-0.15,-0.15,4487000.0,,4487000.0,5697588.0,14.0,,-1210000.0,-0.54,1.0,151000.0,0.143,0.0,69000.0,10469000.0,,3418000.0,0.0,0.0,0.0,4652000.0,1656000.0,2996000.0,3921488.0,-1167000.0,0.0,0.0,43000.0,0.0,43000.0,-102000.0,0.0,-1108000.0,0.0,-339000.0,-339000.0,-339000.0,0.0,0.0,-0.32,513000.0,-362000.0,744000.0,0.0,0.874,52.217,43.75,4608000.0,0.0,1.75,0.372,0.372,218000.0,4256000.0,1058000.0,1058000.0,0.0,,,,,0.0,513000.0,1.0,2240850.0,2240850.0,2242000.0,0.472,9139000.0,99000.0,-163000.0,89000.0,4.078,2358000.0
100750,DYHM,ARY,1998-12-31,1999-03-26,1998-12-26,2019-10-15,0.0,9425200.0,9594300.0,4425600.0,4999600.0,1.449,2.279,-319400.0,312300.0,312300.0,10654600.0,374300.0,3.183,0.846,3049400.0,196900.0,2852500.0,3049400.0,0.0,453000.0,199500.0,0.0,0.0,911400.0,1364400.0,0.098,1364400.0,911400.0,642300.0,0.17,0.17,0.17,5106500.0,4822375.0,5106500.0,5818269.0,6.0,4.264,-831000.0,-0.371,1.0,3250700.0,0.234,0.0,269100.0,10772100.0,10706775.0,2367200.0,0.0,0.0,0.0,4318700.0,1390200.0,2928500.0,3081169.0,-1017200.0,0.0,0.0,-122100.0,0.0,-122100.0,-383500.0,0.0,-511600.0,0.0,374300.0,374300.0,374300.0,0.0,0.0,0.027,2344000.0,906700.0,350000.0,0.0,0.603,8.232,8.088,4578300.0,0.0,1.375,0.222,0.222,1491500.0,4875100.0,13905300.0,13905300.0,0.0,0.039,0.078,0.085,0.066,0.0,2344000.0,1.0,2240850.0,2240850.0,,6.205,9425200.0,143000.0,268000.0,80900.0,4.206,3035400.0
