None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
96519,EQY,MRY,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-98000.0,152955000.0,147213500.0,,,0.156,9.045,-22138000.0,8903000.0,8903000.0,5965000.0,9065000.0,,0.883,67705000.0,,,67705000.0,152000.0,3072000.0,885000.0,0.082,0.74,14079000.0,17151000.0,0.746,17151000.0,14079000.0,9065000.0,1.01,1.0,1.01,81218000.0,74092500.0,81218000.0,148862779.0,11.0,8.68,-18441000.0,-2.054,1.0,17029000.0,0.741,744000.0,5014000.0,211013000.0,208727750.0,0.0,1633000.0,,,71737000.0,,,92791779.0,-1004000.0,0.0,-863000.0,-3299000.0,-10323000.0,19123000.0,-23824000.0,-1686000.0,3697000.0,0.0,9065000.0,9065000.0,9065000.0,0.0,0.0,0.394,5582000.0,11447000.0,868000.0,0.733,1.143,10.236,8.973,138623000.0,0.0,9.063,4.035,3.539,1181000.0,,22994000.0,22994000.0,0.0,0.062,0.122,0.067,0.612,0.0,1381000.0,1.0,10238528.0,8979000.0,9074000.0,2.561,152211000.0,0.0,0.0,0.0,16.952,
96520,EQY,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-98000.0,152955000.0,147213500.0,,,0.156,9.045,-22138000.0,8903000.0,8903000.0,5965000.0,9065000.0,,0.883,67705000.0,,,67705000.0,152000.0,3072000.0,885000.0,0.082,0.74,14079000.0,17151000.0,0.746,17151000.0,14079000.0,9065000.0,1.01,1.0,1.01,81218000.0,74092500.0,81218000.0,148862779.0,11.0,8.68,-18441000.0,-2.054,1.0,17029000.0,0.741,744000.0,5014000.0,211013000.0,208727750.0,0.0,1633000.0,,,71737000.0,,,92791779.0,-1004000.0,0.0,-863000.0,-3299000.0,-10323000.0,19123000.0,-23824000.0,-1686000.0,3697000.0,0.0,9065000.0,9065000.0,9065000.0,0.0,0.0,0.394,5582000.0,11447000.0,868000.0,0.733,1.143,10.236,8.973,138623000.0,0.0,9.063,4.035,3.539,1181000.0,,22994000.0,22994000.0,0.0,0.062,0.122,0.067,0.612,0.0,1381000.0,1.0,10238528.0,8979000.0,9074000.0,2.561,152211000.0,0.0,0.0,0.0,16.952,
96521,EQY,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-19,-83000.0,152035000.0,140700500.0,,,0.162,7.867,-19240000.0,6540000.0,6540000.0,5966000.0,6495000.0,,0.887,62611000.0,,,62611000.0,458000.0,2933000.0,1134000.0,0.056,0.49,11846000.0,14779000.0,0.647,14779000.0,11846000.0,6495000.0,0.83,0.77,0.83,80554000.0,67183000.0,80554000.0,146063120.0,12.0,9.883,-7224000.0,-0.706,1.0,16884000.0,0.739,0.0,5351000.0,208106000.0,204268500.0,0.0,1655000.0,,,71481000.0,,,89587120.0,2558000.0,0.0,0.0,-18637000.0,-5581000.0,8247000.0,-17705000.0,1535000.0,12016000.0,0.0,6495000.0,6495000.0,6495000.0,0.0,0.0,0.284,5038000.0,11846000.0,5151000.0,0.59,1.112,13.793,10.542,140452000.0,0.0,8.75,3.921,3.921,1141000.0,,22850000.0,22850000.0,0.0,0.046,0.097,0.058,0.518,0.0,989000.0,1.0,10238528.0,10239000.0,10299000.0,2.232,152035000.0,0.0,0.0,0.0,14.849,
96522,EQY,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-19,0.0,149890000.0,,,,,9.562,-28825000.0,6582000.0,6582000.0,5705000.0,6001000.0,,0.848,63058000.0,,,63058000.0,289000.0,2780000.0,893000.0,0.024,0.24,11640000.0,14420000.0,0.649,14420000.0,11640000.0,6001000.0,0.86,0.79,0.86,81105000.0,,81105000.0,179168289.0,15.0,12.425,-18215000.0,-2.147,1.0,16498000.0,0.743,0.0,5639000.0,206366000.0,,0.0,874000.0,,,68785000.0,,,103716289.0,799000.0,0.0,0.0,-11606000.0,-7394000.0,14213000.0,-24024000.0,4801000.0,10610000.0,0.0,6001000.0,6001000.0,6001000.0,0.0,0.0,0.27,4858000.0,11640000.0,2418000.0,0.279,1.279,17.283,11.779,138925000.0,0.0,10.13,4.671,3.87,1198000.0,,22203000.0,22203000.0,0.0,,,,0.524,0.0,969000.0,1.0,10238528.0,8482000.0,8678000.0,2.618,149890000.0,0.0,0.0,0.0,17.672,
96523,EQY,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-19,0.0,133974000.0,,,,,7.744,-15269000.0,2814000.0,2814000.0,5320000.0,6673000.0,,1.505,78266000.0,,,78266000.0,169000.0,2611000.0,798000.0,,0.0,12346000.0,14957000.0,0.708,14957000.0,12346000.0,6673000.0,1.0,0.91,1.0,53493000.0,,53493000.0,,,,-6041000.0,-0.874,1.0,15813000.0,0.748,0.0,5673000.0,209426000.0,,0.0,38000.0,,,80481000.0,,,,476000.0,0.0,0.0,-892000.0,-6807000.0,2026000.0,-10778000.0,4491000.0,9228000.0,0.0,6673000.0,6673000.0,6673000.0,0.0,0.0,0.316,3467000.0,12346000.0,1248000.0,0.0,,,,127525000.0,0.0,,,,-855000.0,0.0,21133000.0,21133000.0,0.0,,,,0.584,0.0,1001000.0,1.0,,6908000.0,7247000.0,3.059,133974000.0,0.0,0.0,0.0,19.394,
96524,EQY,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-98000.0,152955000.0,,,,,7.923,3978000.0,8903000.0,8903000.0,1613000.0,4599000.0,,0.883,67705000.0,,,67705000.0,152000.0,785000.0,885000.0,0.082,0.25,5593000.0,6378000.0,1.094,6378000.0,5593000.0,4599000.0,0.49,0.48,0.49,81218000.0,,81218000.0,148862779.0,11.0,8.68,-1442000.0,-0.141,1.0,4216000.0,0.723,744000.0,994000.0,211013000.0,,0.0,1633000.0,,,71737000.0,,,92791779.0,-3071000.0,0.0,-863000.0,5094000.0,-6469000.0,-1636000.0,3985000.0,7000.0,-5420000.0,0.0,4599000.0,4599000.0,4599000.0,0.0,0.0,0.789,1255000.0,2961000.0,868000.0,0.51,1.143,10.236,8.973,138623000.0,0.0,9.063,4.035,3.539,1181000.0,,5829000.0,5829000.0,0.0,,,,,0.0,492000.0,1.0,10238528.0,10251000.0,10448000.0,0.569,152211000.0,0.0,0.0,0.0,14.848,
96525,EQY,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-19,-83000.0,152035000.0,,,,,7.867,-2328000.0,6540000.0,6540000.0,1498000.0,2091000.0,,0.887,62611000.0,,,62611000.0,458000.0,783000.0,1134000.0,0.056,0.25,3214000.0,3997000.0,0.685,3997000.0,3214000.0,2091000.0,0.2,0.2,0.2,80554000.0,,80554000.0,146063120.0,12.0,9.883,1530000.0,0.149,1.0,4336000.0,0.743,0.0,1123000.0,208106000.0,,0.0,1655000.0,,,71481000.0,,,89587120.0,-692000.0,0.0,0.0,-447000.0,0.0,-1358000.0,-3192000.0,-864000.0,3858000.0,0.0,2091000.0,2091000.0,2091000.0,0.0,0.0,0.358,1122000.0,3214000.0,5151000.0,1.25,1.112,13.793,10.542,140452000.0,0.0,8.75,3.921,3.921,1141000.0,,5834000.0,5834000.0,0.0,,,,,0.0,359000.0,1.0,10238528.0,10239000.0,10299000.0,0.57,152035000.0,0.0,0.0,0.0,14.849,
96526,EQY,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-19,0.0,149890000.0,,,,,9.562,-15316000.0,6582000.0,6582000.0,1477000.0,735000.0,,0.848,63058000.0,,,63058000.0,289000.0,814000.0,893000.0,0.024,0.24,2147000.0,2961000.0,0.499,2961000.0,2147000.0,735000.0,0.09,0.08,0.09,81105000.0,,81105000.0,179168289.0,15.0,12.425,-12214000.0,-1.44,1.0,4460000.0,0.751,0.0,1412000.0,206366000.0,,0.0,874000.0,,,68785000.0,,,103716289.0,3701000.0,0.0,0.0,-15208000.0,-2127000.0,16751000.0,-16152000.0,-836000.0,3102000.0,0.0,735000.0,735000.0,735000.0,0.0,0.0,0.124,2313000.0,2147000.0,2418000.0,2.667,1.279,17.283,11.779,138925000.0,0.0,10.13,4.671,3.87,1198000.0,,5937000.0,5937000.0,0.0,,,,,0.0,296000.0,1.0,10238528.0,8482000.0,8678000.0,0.7,149890000.0,0.0,0.0,0.0,17.672,
96527,EQY,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-19,0.0,133974000.0,,,,,7.744,-8472000.0,2814000.0,2814000.0,1377000.0,1640000.0,,1.505,78266000.0,,,78266000.0,169000.0,690000.0,798000.0,,0.0,3125000.0,3815000.0,0.707,3815000.0,3125000.0,1640000.0,0.24,0.23,0.24,53493000.0,,53493000.0,,,,-6315000.0,-0.914,1.0,4017000.0,0.745,0.0,1485000.0,209426000.0,,0.0,38000.0,,,80481000.0,,,,-942000.0,0.0,0.0,7262000.0,-1727000.0,5366000.0,-8465000.0,7000.0,2157000.0,0.0,1640000.0,1640000.0,1640000.0,0.0,0.0,0.304,892000.0,3125000.0,1248000.0,0.0,,,,127525000.0,0.0,,,,-855000.0,0.0,5394000.0,5394000.0,0.0,,,,,0.0,234000.0,1.0,,6908000.0,7247000.0,0.781,133974000.0,0.0,0.0,0.0,19.394,
96528,EQY,ARY,1998-12-31,1999-04-02,1998-12-31,2019-06-19,-98000.0,152955000.0,147213500.0,,,0.174,9.045,-22138000.0,8903000.0,8903000.0,5965000.0,9065000.0,,0.883,67705000.0,,,67705000.0,152000.0,3072000.0,885000.0,0.114,0.99,14079000.0,17151000.0,0.669,17151000.0,14079000.0,9065000.0,1.01,1.0,1.01,81218000.0,74092500.0,81218000.0,150671692.0,11.0,8.785,-18441000.0,-2.054,1.0,19661000.0,0.767,744000.0,5014000.0,211013000.0,208727750.0,0.0,1633000.0,,,71737000.0,,,91869692.0,-1004000.0,0.0,-863000.0,-3299000.0,-10323000.0,19123000.0,-23824000.0,-1686000.0,3697000.0,0.0,9065000.0,9065000.0,9065000.0,0.0,0.0,0.354,5582000.0,14079000.0,868000.0,0.98,1.131,10.135,8.602,138623000.0,0.0,8.688,3.585,3.044,1181000.0,,25626000.0,25626000.0,0.0,0.062,0.122,0.067,0.549,0.0,1381000.0,1.0,10574320.0,8979000.0,9074000.0,2.854,152211000.0,0.0,0.0,0.0,16.952,
