None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
96321,ESAN,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-18,0.0,26791000.0,31970750.0,23497000.0,3294000.0,0.773,5.051,-1214000.0,14135000.0,14135000.0,15850000.0,-15446000.0,2.565,0.525,112000.0,52000.0,60000.0,112000.0,2063000.0,1798000.0,0.0,0.0,0.0,-15444000.0,-13646000.0,-0.552,-13646000.0,-15444000.0,-15444000.0,-4.44,-4.44,-4.44,17571000.0,24553250.0,17571000.0,4732506.0,0.0,-0.347,-7722000.0,-2.22,1.0,8852000.0,0.358,0.0,0.0,3608000.0,8070500.0,6111000.0,0.0,0.0,0.0,9220000.0,9160000.0,60000.0,20682506.0,-7599000.0,0.0,116000.0,-49000.0,0.0,123000.0,-1214000.0,0.0,-6508000.0,0.0,-15446000.0,-15446000.0,-15446000.0,0.0,0.0,-0.625,25171000.0,-16319000.0,3138000.0,0.0,1.177,-1.339,-1.337,3247000.0,0.0,5.938,0.837,0.836,2443000.0,-54397000.0,24702000.0,24702000.0,7420000.0,-0.483,-0.629,-1.914,-0.625,27000.0,14899000.0,1.0,3483369.0,3479000.0,3479000.0,7.1,26791000.0,0.0,2000.0,0.0,7.701,14337000.0
96322,ESAN,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-18,0.0,26791000.0,31970750.0,23497000.0,3294000.0,0.773,5.051,-1214000.0,14135000.0,14135000.0,15850000.0,-15446000.0,2.565,0.525,112000.0,52000.0,60000.0,112000.0,2063000.0,1798000.0,0.0,0.0,0.0,-15444000.0,-13646000.0,-0.552,-13646000.0,-15444000.0,-15444000.0,-4.44,-4.44,-4.44,17571000.0,24553250.0,17571000.0,4732506.0,0.0,-0.347,-7722000.0,-2.22,1.0,8852000.0,0.358,0.0,0.0,3608000.0,8070500.0,6111000.0,0.0,0.0,0.0,9220000.0,9160000.0,60000.0,20682506.0,-7599000.0,0.0,116000.0,-49000.0,0.0,123000.0,-1214000.0,0.0,-6508000.0,0.0,-15446000.0,-15446000.0,-15446000.0,0.0,0.0,-0.625,25171000.0,-16319000.0,3138000.0,0.0,1.177,-1.339,-1.337,3247000.0,0.0,5.938,0.837,0.836,2443000.0,-54397000.0,24702000.0,24702000.0,7420000.0,-0.483,-0.629,-1.914,-0.625,27000.0,14899000.0,1.0,3483369.0,3479000.0,3479000.0,7.1,26791000.0,0.0,2000.0,0.0,7.701,14337000.0
96323,ESAN,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-18,0.0,30037000.0,34896750.0,25985000.0,4052000.0,0.758,6.957,-1354000.0,16068000.0,16068000.0,16676000.0,-11570000.0,4.507,0.241,118000.0,52000.0,66000.0,118000.0,850000.0,1832000.0,0.0,0.0,0.0,-11568000.0,-9736000.0,-0.368,-9736000.0,-11568000.0,-11568000.0,-3.36,-3.36,-3.36,24205000.0,28365000.0,24205000.0,12008866.0,-1.0,-1.233,-7842000.0,-2.254,1.0,9759000.0,0.369,0.0,0.0,8321000.0,10007500.0,6384000.0,0.0,0.0,0.0,5832000.0,5766000.0,66000.0,30437866.0,-7709000.0,0.0,434000.0,-50000.0,0.0,133000.0,-1354000.0,0.0,-6488000.0,0.0,-11570000.0,-11570000.0,-11570000.0,0.0,0.0,-0.438,22350000.0,-12591000.0,3877000.0,0.0,1.258,-2.631,-2.604,4008000.0,0.0,8.75,1.151,1.152,2764000.0,-47763000.0,26435000.0,26435000.0,7108000.0,-0.332,-0.408,-1.156,-0.438,26000.0,14975000.0,1.0,3478613.0,3479000.0,3479000.0,7.598,30037000.0,0.0,2000.0,0.0,8.634,20219000.0
96324,ESAN,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-18,0.0,34418000.0,,30289000.0,4129000.0,,7.697,-1148000.0,18560000.0,18560000.0,15687000.0,-13533000.0,3.994,0.286,131000.0,52000.0,79000.0,131000.0,1356000.0,1817000.0,0.0,0.0,0.0,-13531000.0,-11714000.0,-0.477,-11714000.0,-13531000.0,-13531000.0,-3.96,-3.96,-3.96,26755000.0,,26755000.0,36435347.0,-3.0,-3.11,-8758000.0,-2.52,1.0,8882000.0,0.362,0.0,0.0,8405000.0,,6741000.0,0.0,0.0,0.0,7663000.0,7584000.0,79000.0,54261347.0,-8573000.0,0.0,256000.0,-47000.0,0.0,185000.0,-1148000.0,0.0,-7610000.0,0.0,-13533000.0,-13533000.0,-13533000.0,0.0,0.0,-0.551,23558000.0,-14676000.0,5303000.0,0.0,2.028,-4.01,-3.946,4082000.0,0.0,15.625,2.209,2.211,4059000.0,-45139000.0,24569000.0,24569000.0,7000000.0,,,,-0.551,34000.0,15556000.0,1.0,3472726.0,3476000.0,3476000.0,7.068,34418000.0,0.0,2000.0,0.0,9.902,22705000.0
96325,ESAN,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-18,0.0,36637000.0,,32470000.0,4167000.0,,8.561,-909000.0,19469000.0,19469000.0,15126000.0,-13552000.0,4.731,0.234,1643000.0,1551000.0,92000.0,1643000.0,1357000.0,1774000.0,0.0,0.0,0.0,-13550000.0,-11776000.0,-0.495,-11776000.0,-13550000.0,-13550000.0,-3.96,-3.96,-3.96,29682000.0,,29682000.0,24015892.0,-2.0,-2.039,-12489000.0,-3.602,1.0,8658000.0,0.364,0.0,0.0,11948000.0,,7256000.0,0.0,0.0,0.0,6955000.0,6863000.0,92000.0,45588892.0,-6807000.0,0.0,256000.0,1476000.0,0.0,1747000.0,3026000.0,3935000.0,-11580000.0,0.0,-13552000.0,-13552000.0,-13552000.0,0.0,0.0,-0.57,23476000.0,-14818000.0,3006000.0,0.0,1.536,-3.364,-3.314,4120000.0,0.0,13.125,1.917,1.913,4854000.0,-42174000.0,23784000.0,23784000.0,6738000.0,,,,-0.57,51000.0,16003000.0,1.0,3473439.0,3467200.0,3467200.0,6.86,36637000.0,0.0,2000.0,0.0,10.567,25607000.0
96326,ESAN,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-18,0.0,26791000.0,,23497000.0,3294000.0,,5.029,8000.0,14135000.0,14135000.0,2980000.0,-6634000.0,2.565,0.525,112000.0,52000.0,60000.0,112000.0,2063000.0,417000.0,0.0,0.0,0.0,-6634000.0,-6217000.0,-1.389,-6217000.0,-6634000.0,-6634000.0,-1.89,-1.89,-1.89,17571000.0,,17571000.0,4732506.0,0.0,-0.347,-1921000.0,-0.55,1.0,1495000.0,0.334,0.0,0.0,3608000.0,,6111000.0,0.0,0.0,0.0,9220000.0,9160000.0,60000.0,20682506.0,-1933000.0,0.0,-62000.0,-6000.0,0.0,-12000.0,8000.0,0.0,-1929000.0,0.0,-6634000.0,-6634000.0,-6634000.0,0.0,0.0,-1.482,8307000.0,-6812000.0,3138000.0,0.0,1.177,-1.339,-1.337,3247000.0,0.0,5.938,0.837,0.836,2443000.0,-54397000.0,4475000.0,4475000.0,1992000.0,,,,,6000.0,3730000.0,1.0,3483369.0,3494000.0,3494000.0,1.281,26791000.0,0.0,0.0,0.0,7.668,14337000.0
96327,ESAN,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-18,0.0,30037000.0,,25985000.0,4052000.0,,6.957,-376000.0,16068000.0,16068000.0,4612000.0,-2624000.0,4.507,0.241,118000.0,52000.0,66000.0,118000.0,850000.0,450000.0,0.0,0.0,0.0,-2624000.0,-2174000.0,-0.288,-2174000.0,-2624000.0,-2624000.0,-0.75,-0.75,-0.75,24205000.0,,24205000.0,12008866.0,-1.0,-1.233,-2546000.0,-0.732,1.0,2929000.0,0.388,0.0,0.0,8321000.0,,6384000.0,0.0,0.0,0.0,5832000.0,5766000.0,66000.0,30437866.0,-2492000.0,0.0,178000.0,-13000.0,0.0,54000.0,-376000.0,0.0,-2170000.0,0.0,-2624000.0,-2624000.0,-2624000.0,0.0,0.0,-0.348,5776000.0,-2847000.0,3877000.0,0.0,1.258,-2.631,-2.604,4008000.0,0.0,8.75,1.151,1.152,2764000.0,-47763000.0,7541000.0,7541000.0,1869000.0,,,,,7000.0,3907000.0,1.0,3478613.0,3479000.0,3479000.0,2.168,30037000.0,0.0,0.0,0.0,8.634,20219000.0
96328,ESAN,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-18,0.0,34418000.0,,30289000.0,4129000.0,,7.697,-432000.0,18560000.0,18560000.0,4387000.0,-2964000.0,3.994,0.286,131000.0,52000.0,79000.0,131000.0,1356000.0,470000.0,0.0,0.0,0.0,-2964000.0,-2494000.0,-0.352,-2494000.0,-2964000.0,-2964000.0,-0.85,-0.85,-0.85,26755000.0,,26755000.0,36435347.0,-3.0,-3.11,572000.0,0.165,1.0,2689000.0,0.38,0.0,0.0,8405000.0,,6741000.0,0.0,0.0,0.0,7663000.0,7584000.0,79000.0,54261347.0,-909000.0,0.0,0.0,-1512000.0,0.0,-1481000.0,-432000.0,0.0,1004000.0,0.0,-2964000.0,-2964000.0,-2964000.0,0.0,0.0,-0.419,5872000.0,-3183000.0,5303000.0,0.0,2.028,-4.01,-3.946,4082000.0,0.0,15.625,2.209,2.211,4059000.0,-45139000.0,7076000.0,7076000.0,1817000.0,,,,,7000.0,3788000.0,1.0,3472726.0,3476000.0,3476000.0,2.036,34418000.0,0.0,0.0,0.0,9.902,22705000.0
96329,ESAN,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-18,0.0,36637000.0,,32470000.0,4167000.0,,8.561,-414000.0,19469000.0,19469000.0,3871000.0,-3223000.0,4.731,0.234,1643000.0,1551000.0,92000.0,1643000.0,1357000.0,461000.0,0.0,0.0,0.0,-3221000.0,-2760000.0,-0.492,-2760000.0,-3221000.0,-3221000.0,-0.95,-0.95,-0.95,29682000.0,,29682000.0,24015892.0,-2.0,-2.039,-3827000.0,-1.104,1.0,1739000.0,0.31,0.0,0.0,11948000.0,,7256000.0,0.0,0.0,0.0,6955000.0,6863000.0,92000.0,45588892.0,-2265000.0,0.0,0.0,1482000.0,0.0,1562000.0,-414000.0,0.0,-3413000.0,0.0,-3223000.0,-3223000.0,-3223000.0,0.0,0.0,-0.575,5215000.0,-3476000.0,3006000.0,0.0,1.536,-3.364,-3.314,4120000.0,0.0,13.125,1.917,1.913,4854000.0,-42174000.0,5610000.0,5610000.0,1741000.0,,,,,7000.0,3474000.0,1.0,3473439.0,3467200.0,3467200.0,1.618,36637000.0,0.0,2000.0,0.0,10.567,25607000.0
96330,ESAN,ARY,1998-12-31,1999-03-31,1998-12-31,2019-07-18,0.0,26791000.0,31970750.0,23497000.0,3294000.0,0.773,5.05,-1214000.0,14135000.0,14135000.0,15850000.0,-15446000.0,2.565,0.525,112000.0,52000.0,60000.0,112000.0,2063000.0,1798000.0,0.0,0.0,0.0,-15444000.0,-13646000.0,-0.552,-13646000.0,-15444000.0,-15444000.0,-4.45,-4.45,-4.45,17571000.0,24553250.0,17571000.0,-3035265.0,0.0,0.222,-7722000.0,-2.219,1.0,8852000.0,0.358,0.0,0.0,3608000.0,8070500.0,6111000.0,0.0,0.0,0.0,9220000.0,9160000.0,60000.0,10987735.0,-7599000.0,0.0,116000.0,-49000.0,0.0,123000.0,-1214000.0,0.0,-6508000.0,0.0,-15446000.0,-15446000.0,-15446000.0,0.0,0.0,-0.625,25171000.0,-16319000.0,3138000.0,0.0,0.625,-0.711,-0.702,3247000.0,0.0,3.125,0.445,0.44,2443000.0,-54397000.0,24702000.0,24702000.0,7420000.0,-0.483,-0.629,-1.914,-0.625,27000.0,14899000.0,1.0,3516075.0,3479200.0,3479200.0,7.1,26791000.0,0.0,2000.0,0.0,7.7,14337000.0
