None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
96093,ESHR,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-25,96000.0,78484000.0,67953750.0,70020000.0,8464000.0,1.429,2.389,-4585000.0,8027000.0,8027000.0,35026000.0,8540000.0,2.559,0.622,2920000.0,194000.0,2726000.0,2920000.0,6574000.0,2463000.0,815000.0,0.0,0.0,15116000.0,17579000.0,0.181,17579000.0,15116000.0,15116000.0,0.42,0.4,0.42,48394000.0,44204000.0,48394000.0,308671944.0,20.0,17.559,-4746000.0,-0.234,1.0,62055000.0,0.639,0.0,0.0,46013000.0,37860000.0,1260000.0,22756000.0,22756000.0,0.0,30090000.0,27364000.0,2726000.0,319696944.0,-120000.0,0.0,1039000.0,2619000.0,0.0,3324000.0,-3283000.0,1302000.0,-161000.0,0.0,8540000.0,8540000.0,8540000.0,0.0,0.0,0.088,48006000.0,14049000.0,7265000.0,0.0,6.606,37.435,50.0,7901000.0,0.0,21.0,3.293,4.382,33788000.0,4250000.0,97081000.0,97081000.0,11798000.0,0.126,0.193,0.399,0.156,197000.0,36208000.0,1.0,15223664.0,20259000.0,21575000.0,4.792,78484000.0,3731000.0,6576000.0,0.0,3.874,42656000.0
96094,ESHR,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-25,96000.0,78484000.0,67953750.0,70020000.0,8464000.0,1.429,2.389,-4585000.0,8027000.0,8027000.0,35026000.0,8540000.0,2.559,0.622,2920000.0,194000.0,2726000.0,2920000.0,6574000.0,2463000.0,815000.0,0.0,0.0,15116000.0,17579000.0,0.181,17579000.0,15116000.0,15116000.0,0.42,0.4,0.42,48394000.0,44204000.0,48394000.0,308671944.0,20.0,17.559,-4746000.0,-0.234,1.0,62055000.0,0.639,0.0,0.0,46013000.0,37860000.0,1260000.0,22756000.0,22756000.0,0.0,30090000.0,27364000.0,2726000.0,319696944.0,-120000.0,0.0,1039000.0,2619000.0,0.0,3324000.0,-3283000.0,1302000.0,-161000.0,0.0,8540000.0,8540000.0,8540000.0,0.0,0.0,0.088,48006000.0,14049000.0,7265000.0,0.0,6.606,37.435,50.0,7901000.0,0.0,21.0,3.293,4.382,33788000.0,4250000.0,97081000.0,97081000.0,11798000.0,0.126,0.193,0.399,0.156,197000.0,36208000.0,1.0,15223664.0,20259000.0,21575000.0,4.792,78484000.0,3731000.0,6576000.0,0.0,3.874,42656000.0
96095,ESHR,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-25,78000.0,69122000.0,62431500.0,62413000.0,6709000.0,1.4,2.209,-4749000.0,11025000.0,11025000.0,31923000.0,5740000.0,2.693,0.504,0.0,0.0,0.0,0.0,5375000.0,2427000.0,458000.0,0.0,0.0,11774000.0,14201000.0,0.162,14201000.0,11774000.0,11774000.0,0.18,0.15,0.18,45945000.0,41427750.0,45945000.0,147771640.0,13.0,10.406,-4316000.0,-0.207,1.0,55490000.0,0.635,0.0,0.0,34920000.0,33967750.0,2166000.0,21479000.0,21479000.0,0.0,23177000.0,23177000.0,0.0,153824640.0,5234000.0,0.0,3262000.0,4137000.0,0.0,7399000.0,-2598000.0,2308000.0,433000.0,0.0,5740000.0,5740000.0,5740000.0,0.0,0.0,0.066,44712000.0,10778000.0,5254000.0,0.0,3.348,26.799,56.25,6548000.0,0.0,10.125,1.76,2.409,23293000.0,9492000.0,87413000.0,87413000.0,10889000.0,0.092,0.139,0.347,0.135,140000.0,33555000.0,1.0,15192557.0,20800000.0,22230000.0,4.203,69122000.0,3822000.0,6034000.0,0.0,3.323,39236000.0
96096,ESHR,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-25,62000.0,64275000.0,,58012000.0,6263000.0,,2.809,-4896000.0,6053000.0,6053000.0,29290000.0,5049000.0,2.678,0.508,0.0,0.0,0.0,0.0,4766000.0,2000000.0,1840000.0,0.0,0.0,10634000.0,12634000.0,0.16,12634000.0,10634000.0,10634000.0,0.19,0.16,0.19,42613000.0,,42613000.0,233004909.0,22.0,18.443,-5903000.0,-0.389,1.0,49607000.0,0.629,0.0,0.0,36560000.0,,2412000.0,21249000.0,21249000.0,0.0,21662000.0,21662000.0,0.0,238921909.0,-24114000.0,0.0,2959000.0,1302000.0,-1243000.0,3018000.0,-26125000.0,-21207000.0,-1007000.0,0.0,5049000.0,5049000.0,5049000.0,0.0,0.0,0.064,40000000.0,9607000.0,4521000.0,0.0,5.607,47.321,82.895,6113000.0,0.0,15.75,3.028,3.028,23827000.0,6420000.0,78897000.0,78897000.0,9788000.0,,,,0.135,140000.0,29944000.0,1.0,15169645.0,15170000.0,16085000.0,5.201,64275000.0,3822000.0,5585000.0,0.0,4.237,36350000.0
96097,ESHR,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-25,50000.0,59934000.0,,54062000.0,5872000.0,,2.628,-4953000.0,5917000.0,5917000.0,26999000.0,6044000.0,2.694,0.503,0.0,0.0,0.0,0.0,5072000.0,1810000.0,730000.0,0.0,0.0,9012000.0,10822000.0,0.15,10822000.0,9012000.0,9012000.0,0.31,0.28,0.31,39864000.0,,39864000.0,269978209.0,30.0,24.947,-2287000.0,-0.151,1.0,45224000.0,0.626,0.0,0.0,33947000.0,,2619000.0,23030000.0,23030000.0,0.0,20070000.0,20070000.0,0.0,276823209.0,-5953000.0,0.0,39052000.0,-14050000.0,-5645000.0,19357000.0,-27976000.0,-23001000.0,2666000.0,0.0,6044000.0,6044000.0,6044000.0,0.0,0.0,0.084,36953000.0,8271000.0,5295000.0,0.0,6.944,45.801,58.871,5720000.0,0.0,18.25,3.833,3.833,20080000.0,3691000.0,72223000.0,72223000.0,8917000.0,,,,0.125,140000.0,27768000.0,1.0,15168395.0,15168000.0,15992000.0,4.762,59934000.0,2035000.0,2968000.0,0.0,3.951,33992000.0
96098,ESHR,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-25,96000.0,78484000.0,,70020000.0,8464000.0,,2.589,-1332000.0,8027000.0,8027000.0,9993000.0,2073000.0,2.559,0.622,2920000.0,194000.0,2726000.0,2920000.0,6574000.0,888000.0,815000.0,0.0,0.0,3953000.0,4841000.0,0.176,4841000.0,3953000.0,3953000.0,0.11,0.11,0.11,48394000.0,,48394000.0,308671944.0,20.0,17.559,-3627000.0,-0.194,1.0,17584000.0,0.638,0.0,0.0,46013000.0,,1260000.0,22756000.0,22756000.0,0.0,30090000.0,27364000.0,2726000.0,319696944.0,-4499000.0,0.0,777000.0,-216000.0,0.0,227000.0,-2431000.0,-1234000.0,-2295000.0,0.0,2073000.0,2073000.0,2073000.0,0.0,0.0,0.075,13809000.0,3775000.0,7265000.0,0.0,6.606,37.435,50.0,7901000.0,0.0,21.0,3.293,4.382,33788000.0,4250000.0,27577000.0,27577000.0,3380000.0,,,,,197000.0,10429000.0,1.0,15223664.0,18693000.0,19406000.0,1.475,78484000.0,3731000.0,1880000.0,0.0,4.199,42656000.0
96099,ESHR,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-25,78000.0,69122000.0,,62413000.0,6709000.0,,2.209,-1241000.0,11025000.0,11025000.0,9073000.0,2774000.0,2.693,0.504,0.0,0.0,0.0,0.0,5375000.0,736000.0,458000.0,0.0,0.0,4499000.0,5235000.0,0.206,5235000.0,4499000.0,4499000.0,0.13,0.12,0.13,45945000.0,,45945000.0,147771640.0,13.0,10.406,2435000.0,0.117,1.0,16371000.0,0.643,0.0,0.0,34920000.0,,2166000.0,21479000.0,21479000.0,0.0,23177000.0,23177000.0,0.0,153824640.0,5171000.0,0.0,247000.0,2835000.0,0.0,3082000.0,-1587000.0,-211000.0,3676000.0,0.0,2774000.0,2774000.0,2774000.0,0.0,0.0,0.109,12237000.0,4134000.0,5254000.0,0.0,3.348,26.799,56.25,6548000.0,0.0,10.125,1.76,2.409,23293000.0,9492000.0,25444000.0,25444000.0,2894000.0,,,,,0.0,9343000.0,1.0,15192557.0,20800000.0,22230000.0,1.223,69122000.0,3822000.0,1725000.0,0.0,3.323,39236000.0
96100,ESHR,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-25,62000.0,64275000.0,,58012000.0,6263000.0,,2.809,-846000.0,6053000.0,6053000.0,8289000.0,2733000.0,2.678,0.508,0.0,0.0,0.0,0.0,4766000.0,453000.0,1840000.0,0.0,0.0,4270000.0,4723000.0,0.213,4723000.0,4270000.0,4270000.0,0.18,0.17,0.18,42613000.0,,42613000.0,233004909.0,22.0,18.443,-1667000.0,-0.11,1.0,13915000.0,0.627,0.0,0.0,36560000.0,,2412000.0,21249000.0,21249000.0,0.0,21662000.0,21662000.0,0.0,238921909.0,136000.0,0.0,9000.0,0.0,0.0,9000.0,948000.0,1794000.0,-821000.0,0.0,2733000.0,2733000.0,2733000.0,0.0,0.0,0.123,9922000.0,3993000.0,4521000.0,0.0,5.607,47.321,82.895,6113000.0,0.0,15.75,3.028,3.028,23827000.0,6420000.0,22204000.0,22204000.0,2515000.0,,,,,0.0,7407000.0,1.0,15169645.0,15170000.0,16085000.0,1.464,64275000.0,3822000.0,1537000.0,0.0,4.237,36350000.0
96101,ESHR,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-25,50000.0,59934000.0,,54062000.0,5872000.0,,2.628,-1166000.0,5917000.0,5917000.0,7547000.0,2548000.0,2.694,0.503,0.0,0.0,0.0,0.0,5072000.0,386000.0,730000.0,0.0,0.0,3981000.0,4367000.0,0.214,4367000.0,3981000.0,3981000.0,0.17,0.16,0.17,39864000.0,,39864000.0,269978209.0,30.0,24.947,-1887000.0,-0.124,1.0,12825000.0,0.63,0.0,0.0,33947000.0,,2619000.0,23030000.0,23030000.0,0.0,20070000.0,20070000.0,0.0,276823209.0,-928000.0,0.0,6000.0,0.0,0.0,6000.0,-213000.0,953000.0,-721000.0,0.0,2548000.0,2548000.0,2548000.0,0.0,0.0,0.125,9117000.0,3708000.0,5295000.0,0.0,6.944,45.801,58.871,5720000.0,0.0,18.25,3.833,3.833,20080000.0,3691000.0,20372000.0,20372000.0,2295000.0,,,,,0.0,6822000.0,1.0,15168395.0,15168000.0,15992000.0,1.343,59934000.0,2035000.0,1433000.0,0.0,3.951,33992000.0
96102,ESHR,ARY,1998-12-31,1999-03-30,1998-12-31,2019-07-25,96000.0,75308000.0,67159750.0,68121000.0,7187000.0,1.391,3.296,-4280000.0,7684000.0,7684000.0,34682000.0,11685000.0,2.699,0.504,0.0,0.0,0.0,0.0,5965000.0,2212000.0,815000.0,0.0,0.0,18258000.0,20470000.0,0.219,20470000.0,18258000.0,18258000.0,0.77,0.74,0.77,50069000.0,44622750.0,50069000.0,190980469.0,10.0,9.33,-1492000.0,-0.098,1.0,58728000.0,0.629,0.0,0.0,42385000.0,36953000.0,1260000.0,22756000.0,22756000.0,0.0,25239000.0,25239000.0,0.0,198664469.0,839000.0,0.0,1029000.0,0.0,0.0,1029000.0,-2978000.0,1302000.0,2788000.0,0.0,11685000.0,11685000.0,11685000.0,0.0,0.0,0.125,41663000.0,17065000.0,6624000.0,0.0,3.968,17.002,16.558,7008000.0,0.0,12.75,2.127,2.074,32287000.0,12829000.0,93410000.0,93410000.0,10410000.0,0.174,0.262,0.494,0.195,0.0,31253000.0,1.0,15581527.0,15193000.0,15815000.0,6.148,75308000.0,3731000.0,6573000.0,0.0,4.957,42882000.0
