None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
95767,ESST,MRY,1998-12-31,1998-12-31,1998-12-31,2019-06-24,0.0,214645000.0,207904000.0,153697000.0,60948000.0,1.05,3.469,-12336000.0,65752000.0,65752000.0,182417000.0,-28016000.0,2.118,0.511,0.0,0.0,0.0,0.0,0.0,12446000.0,0.0,0.0,0.0,-29505000.0,-17059000.0,-0.078,-17059000.0,-29505000.0,-29505000.0,-0.68,-0.68,-0.68,142072000.0,146812500.0,142072000.0,181910810.0,-6.0,-10.664,19528000.0,0.477,1.0,35835000.0,0.164,0.0,0.0,76320000.0,111510750.0,22882000.0,16719000.0,16719000.0,0.0,72573000.0,72573000.0,0.0,205813810.0,37992000.0,22415000.0,-1756000.0,0.0,0.0,-1756000.0,7884000.0,-2195000.0,31864000.0,0.0,-28016000.0,-28016000.0,-28016000.0,0.0,0.0,-0.128,66818000.0,-30983000.0,57930000.0,0.0,1.449,-7.346,-7.353,38000000.0,0.0,5.0,0.943,0.938,37830000.0,4760000.0,218252000.0,218252000.0,30529000.0,-0.135,-0.191,-0.265,-0.135,737000.0,36289000.0,1.0,41162762.0,40955000.0,40955000.0,5.329,214645000.0,6372000.0,-1489000.0,14643000.0,5.241,81124000.0
95768,ESST,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-24,0.0,214645000.0,207904000.0,153697000.0,60948000.0,1.05,3.469,-12336000.0,65752000.0,65752000.0,182417000.0,-28016000.0,2.118,0.511,0.0,0.0,0.0,0.0,0.0,12446000.0,0.0,0.0,0.0,-29505000.0,-17059000.0,-0.078,-17059000.0,-29505000.0,-29505000.0,-0.68,-0.68,-0.68,142072000.0,146812500.0,142072000.0,181910810.0,-6.0,-10.664,19528000.0,0.477,1.0,35835000.0,0.164,0.0,0.0,76320000.0,111510750.0,22882000.0,16719000.0,16719000.0,0.0,72573000.0,72573000.0,0.0,205813810.0,37992000.0,22415000.0,-1756000.0,0.0,0.0,-1756000.0,7884000.0,-2195000.0,31864000.0,0.0,-28016000.0,-28016000.0,-28016000.0,0.0,0.0,-0.128,66818000.0,-30983000.0,57930000.0,0.0,1.449,-7.346,-7.353,38000000.0,0.0,5.0,0.943,0.938,37830000.0,4760000.0,218252000.0,218252000.0,30529000.0,-0.135,-0.191,-0.265,-0.135,737000.0,36289000.0,1.0,41162762.0,40955000.0,40955000.0,5.329,214645000.0,6372000.0,-1489000.0,14643000.0,5.241,81124000.0
95769,ESST,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-24,0.0,192333000.0,212156250.0,108114000.0,84219000.0,0.993,3.386,-14808000.0,23903000.0,23903000.0,193759000.0,-44822000.0,2.033,0.382,0.0,0.0,0.0,0.0,0.0,12269000.0,0.0,0.0,0.0,-47360000.0,-35091000.0,-0.167,-35091000.0,-47360000.0,-47360000.0,-1.1,-1.1,-1.1,139150000.0,154071250.0,139150000.0,105624451.0,-2.0,-3.01,6000.0,0.0,1.0,16996000.0,0.081,0.0,0.0,115247000.0,128267500.0,31936000.0,7530000.0,7530000.0,0.0,53183000.0,53183000.0,0.0,138596451.0,-18270000.0,-20279000.0,1541000.0,0.0,0.0,4524000.0,-37808000.0,-5250000.0,14814000.0,0.0,-44822000.0,-44822000.0,-44822000.0,0.0,0.0,-0.213,65857000.0,-48861000.0,44620000.0,0.0,0.996,-3.092,-3.068,37560000.0,0.0,3.375,0.658,0.658,33525000.0,871000.0,210755000.0,210755000.0,31659000.0,-0.211,-0.291,-0.369,-0.225,0.0,34198000.0,1.0,41065615.0,41094000.0,41094000.0,5.129,192333000.0,4899000.0,-2538000.0,8563000.0,4.68,54931000.0
95770,ESST,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-24,0.0,203884000.0,,115709000.0,88175000.0,,3.578,-20598000.0,32972000.0,32972000.0,185276000.0,-35635000.0,2.019,0.391,0.0,0.0,0.0,0.0,0.0,11431000.0,0.0,0.0,0.0,-36760000.0,-25329000.0,-0.12,-25329000.0,-36760000.0,-36760000.0,-0.88,-0.88,-0.88,146587000.0,,146587000.0,173070913.0,-5.0,-6.833,-13895000.0,-0.339,1.0,25342000.0,0.12,0.0,0.0,113615000.0,,32645000.0,7513000.0,7513000.0,0.0,57297000.0,57297000.0,0.0,191650913.0,-28728000.0,-20279000.0,1707000.0,0.0,0.0,4690000.0,-40121000.0,-1773000.0,6703000.0,0.0,-35635000.0,-35635000.0,-35635000.0,0.0,0.0,-0.169,63554000.0,-38212000.0,48346000.0,0.0,1.307,-5.378,-5.327,38106000.0,0.0,4.688,0.91,0.912,21097000.0,8340000.0,210618000.0,210618000.0,31868000.0,,,,-0.175,0.0,31686000.0,1.0,40885528.0,40967000.0,40967000.0,5.141,203884000.0,4899000.0,-1125000.0,8951000.0,4.977,58412000.0
95771,ESST,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-24,0.0,220754000.0,,131345000.0,89409000.0,,3.91,-21267000.0,18580000.0,18580000.0,179234000.0,-41046000.0,2.142,0.385,0.0,0.0,0.0,0.0,0.0,9915000.0,0.0,0.0,0.0,-39204000.0,-29289000.0,-0.133,-29289000.0,-39204000.0,-39204000.0,-1.03,-1.03,-1.03,159441000.0,,159441000.0,232554073.0,-6.0,-7.94,-22211000.0,-0.545,1.0,41691000.0,0.189,0.0,0.0,140861000.0,,44470000.0,14524000.0,14524000.0,0.0,61313000.0,61313000.0,0.0,260314073.0,-29511000.0,-17750000.0,2517000.0,0.0,0.0,5500000.0,-34067000.0,2421000.0,-944000.0,0.0,-41046000.0,-41046000.0,-41046000.0,0.0,0.0,-0.186,82806000.0,-41115000.0,51629000.0,0.0,1.633,-6.342,-6.189,37986000.0,0.0,6.375,1.178,1.177,32920000.0,21302000.0,220925000.0,220925000.0,54192000.0,,,,-0.177,0.0,28614000.0,1.0,40833580.0,40776000.0,40776000.0,5.418,220754000.0,4899000.0,1842000.0,9684000.0,5.414,70032000.0
95772,ESST,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-24,0.0,214645000.0,,153697000.0,60948000.0,,3.468,-2337000.0,65752000.0,65752000.0,56326000.0,4768000.0,2.118,0.511,0.0,0.0,0.0,0.0,0.0,3016000.0,0.0,0.0,0.0,5018000.0,8034000.0,0.103,8034000.0,5018000.0,5018000.0,0.12,0.12,0.12,142072000.0,,142072000.0,181910810.0,-6.0,-10.664,31206000.0,0.762,1.0,21906000.0,0.28,0.0,0.0,76320000.0,,22882000.0,16719000.0,16719000.0,0.0,72573000.0,72573000.0,0.0,205813810.0,41849000.0,22415000.0,-2583000.0,0.0,0.0,-2583000.0,10889000.0,-9189000.0,33543000.0,0.0,4768000.0,4768000.0,4768000.0,0.0,0.0,0.061,17183000.0,4723000.0,57930000.0,0.0,1.449,-7.346,-7.353,38000000.0,0.0,5.0,0.943,0.938,37830000.0,4760000.0,78232000.0,78232000.0,7370000.0,,,,,737000.0,9813000.0,1.0,41162762.0,40961000.0,40961000.0,1.91,214645000.0,6372000.0,250000.0,14643000.0,5.24,81124000.0
95773,ESST,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-24,0.0,192333000.0,,108114000.0,84219000.0,,3.386,-1371000.0,23903000.0,23903000.0,43683000.0,-7469000.0,2.033,0.382,0.0,0.0,0.0,0.0,0.0,3274000.0,0.0,0.0,0.0,-7857000.0,-4583000.0,-0.088,-4583000.0,-7857000.0,-7857000.0,-0.18,-0.18,-0.18,139150000.0,,139150000.0,105624451.0,-2.0,-3.01,-9084000.0,-0.221,1.0,8626000.0,0.165,0.0,0.0,115247000.0,,31936000.0,7530000.0,7530000.0,0.0,53183000.0,53183000.0,0.0,138596451.0,-9069000.0,0.0,32000.0,0.0,0.0,32000.0,-1388000.0,-17000.0,-7713000.0,0.0,-7469000.0,-7469000.0,-7469000.0,0.0,0.0,-0.143,16949000.0,-8323000.0,44620000.0,0.0,0.996,-3.092,-3.068,37560000.0,0.0,3.375,0.658,0.658,33525000.0,871000.0,52309000.0,52309000.0,8134000.0,,,,,0.0,8815000.0,1.0,41065615.0,41094000.0,41094000.0,1.273,192333000.0,4899000.0,-388000.0,8563000.0,4.68,54931000.0
95774,ESST,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-24,0.0,203884000.0,,115709000.0,88175000.0,,3.578,-1793000.0,32972000.0,32972000.0,33262000.0,-12962000.0,2.019,0.391,0.0,0.0,0.0,0.0,0.0,3029000.0,0.0,0.0,0.0,-13645000.0,-10616000.0,-0.305,-10616000.0,-13645000.0,-13645000.0,-0.32,-0.32,-0.32,146587000.0,,146587000.0,173070913.0,-5.0,-6.833,7273000.0,0.178,1.0,1573000.0,0.045,0.0,0.0,113615000.0,,32645000.0,7513000.0,7513000.0,0.0,57297000.0,57297000.0,0.0,191650913.0,14392000.0,0.0,108000.0,0.0,0.0,108000.0,5218000.0,7011000.0,9066000.0,0.0,-12962000.0,-12962000.0,-12962000.0,0.0,0.0,-0.372,15565000.0,-13992000.0,48346000.0,0.0,1.307,-5.378,-5.327,38106000.0,0.0,4.688,0.91,0.912,21097000.0,8340000.0,34835000.0,34835000.0,6933000.0,,,,,0.0,8632000.0,1.0,40885528.0,40967000.0,40967000.0,0.85,203884000.0,4899000.0,-683000.0,8951000.0,4.977,58412000.0
95775,ESST,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-24,0.0,220754000.0,,131345000.0,89409000.0,,3.91,-6835000.0,18580000.0,18580000.0,49146000.0,-12353000.0,2.142,0.385,0.0,0.0,0.0,0.0,0.0,3127000.0,0.0,0.0,0.0,-13022000.0,-9895000.0,-0.187,-9895000.0,-13022000.0,-13022000.0,-0.3,-0.3,-0.3,159441000.0,,159441000.0,232554073.0,-6.0,-7.94,-9867000.0,-0.242,1.0,3730000.0,0.071,0.0,0.0,140861000.0,,44470000.0,14524000.0,14524000.0,0.0,61313000.0,61313000.0,0.0,260314073.0,-9180000.0,0.0,687000.0,0.0,0.0,687000.0,-6835000.0,0.0,-3032000.0,0.0,-12353000.0,-12353000.0,-12353000.0,0.0,0.0,-0.234,17121000.0,-13391000.0,51629000.0,0.0,1.633,-6.342,-6.189,37986000.0,0.0,6.375,1.178,1.177,32920000.0,21302000.0,52876000.0,52876000.0,8092000.0,,,,,0.0,9029000.0,1.0,40833580.0,40776000.0,40776000.0,1.297,220754000.0,4899000.0,-669000.0,9684000.0,5.414,70032000.0
95776,ESST,ARY,1998-12-31,1999-03-31,1998-12-31,2019-06-24,0.0,214645000.0,207904000.0,153697000.0,60948000.0,1.05,3.469,-12336000.0,65752000.0,65752000.0,182417000.0,-28016000.0,2.118,0.511,0.0,0.0,0.0,0.0,0.0,12446000.0,0.0,0.0,0.0,-29505000.0,-17059000.0,-0.078,-17059000.0,-29505000.0,-29505000.0,-0.68,-0.68,-0.68,142072000.0,146812500.0,142072000.0,143671300.0,-5.0,-8.422,19326000.0,0.472,1.0,35835000.0,0.164,0.0,0.0,76320000.0,111510750.0,22882000.0,16719000.0,16719000.0,0.0,72573000.0,72573000.0,0.0,209423300.0,37992000.0,22415000.0,-1756000.0,0.0,0.0,-1554000.0,7884000.0,-2195000.0,31662000.0,0.0,-28016000.0,-28016000.0,-28016000.0,0.0,0.0,-0.128,66818000.0,-30983000.0,57930000.0,0.0,1.474,-7.475,-7.537,38000000.0,0.0,5.125,0.96,0.962,37830000.0,4760000.0,218252000.0,218252000.0,30529000.0,-0.135,-0.191,-0.265,-0.135,535000.0,36289000.0,1.0,40863083.0,40955000.0,40955000.0,5.329,214645000.0,6372000.0,-1489000.0,14643000.0,5.241,81124000.0
