None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
95406,EV,MRY,1998-12-31,1998-10-31,1998-10-31,2020-12-22,1120000.0,380260000.0,378112750.0,130433000.0,249827000.0,0.661,1.473,-1849000.0,54386000.0,54386000.0,0.0,30523000.0,2.664,0.795,53028000.0,17314000.0,35714000.0,53028000.0,0.0,66744000.0,0.0,0.011,0.064,53856000.0,120600000.0,0.482,120600000.0,53856000.0,50038000.0,0.21,0.2,0.21,211809000.0,218748500.0,211809000.0,809785039.0,15.0,6.715,8048000.0,0.056,1.0,249987000.0,1.0,1818000.0,3818000.0,328127000.0,352858000.0,0.0,67699000.0,42049000.0,25650000.0,168451000.0,48957000.0,119494000.0,804494039.0,-7542000.0,0.0,-37492000.0,-7394000.0,-8760000.0,-53646000.0,36207000.0,29646000.0,9897000.0,0.0,30523000.0,30523000.0,30523000.0,0.0,0.0,0.122,201335000.0,48652000.0,9882000.0,0.305,3.798,26.357,26.643,2696000.0,0.0,5.595,3.218,3.218,11175000.0,213089000.0,249987000.0,249987000.0,0.0,0.081,0.14,0.153,0.215,0.0,88308000.0,1.0,143788032.0,143788032.0,,1.739,378442000.0,0.0,19515000.0,83780000.0,2.632,81476000.0
95407,EV,MRT,1998-12-31,1999-01-31,1999-01-31,2020-12-22,2043000.0,307486000.0,362976500.0,104777000.0,202709000.0,0.744,1.162,-4018000.0,24615000.0,24615000.0,0.0,-26790000.0,2.559,0.843,52969000.0,17255000.0,35714000.0,52969000.0,0.0,64082000.0,0.0,0.013,0.068,-16815000.0,47267000.0,0.175,47267000.0,-16815000.0,-20512000.0,-0.186,-0.195,-0.186,166832000.0,205096250.0,166832000.0,741075616.0,-44.0,15.678,-31130000.0,-0.217,1.0,270192000.0,1.0,1658000.0,3697000.0,293237000.0,337646250.0,0.0,69397000.0,41957000.0,27440000.0,140654000.0,40945000.0,99709000.0,742433616.0,-19085000.0,0.0,-20552000.0,-7393000.0,-9215000.0,-37160000.0,45187000.0,40795000.0,-27112000.0,0.0,-26790000.0,-26790000.0,-26790000.0,0.0,0.0,-0.099,255554000.0,14638000.0,11396000.0,-0.366,4.45,-27.713,-27.728,4978000.0,0.0,5.157,2.748,2.74,11807000.0,167250000.0,270192000.0,270192000.0,0.0,-0.074,-0.131,-0.05,-0.062,0.0,140837000.0,1.0,143952228.0,143524000.0,,1.883,305828000.0,0.0,6278000.0,63995000.0,2.131,63832000.0
95408,EV,MRT,1998-09-30,1998-10-31,1998-10-31,2020-12-22,1120000.0,380260000.0,378112750.0,130433000.0,249827000.0,0.661,1.473,-1849000.0,54386000.0,54386000.0,0.0,30523000.0,2.664,0.795,53028000.0,17314000.0,35714000.0,53028000.0,0.0,66744000.0,0.0,0.011,0.064,53856000.0,120600000.0,0.482,120600000.0,53856000.0,50038000.0,0.21,0.2,0.21,211809000.0,218748500.0,211809000.0,809785039.0,15.0,6.715,8048000.0,0.056,1.0,249987000.0,1.0,1818000.0,3818000.0,328127000.0,352858000.0,0.0,67699000.0,42049000.0,25650000.0,168451000.0,48957000.0,119494000.0,804494039.0,-7542000.0,0.0,-37492000.0,-7394000.0,-8760000.0,-53646000.0,36207000.0,29646000.0,9897000.0,0.0,30523000.0,30523000.0,30523000.0,0.0,0.0,0.122,201335000.0,48652000.0,9882000.0,0.305,3.798,26.357,26.643,2696000.0,0.0,5.595,3.218,3.218,11175000.0,213089000.0,249987000.0,249987000.0,0.0,0.081,0.14,0.153,0.215,0.0,88308000.0,1.0,143788032.0,143788032.0,,1.739,378442000.0,0.0,19515000.0,83780000.0,2.632,81476000.0
95409,EV,MRT,1998-06-30,1998-07-31,1998-07-31,2020-12-22,67000.0,390218000.0,379891500.0,113457000.0,276761000.0,0.622,1.57,-2040000.0,47800000.0,47800000.0,0.0,46209000.0,3.187,0.728,53091000.0,9416000.0,43675000.0,53091000.0,0.0,63215000.0,0.0,0.011,0.06,80077000.0,143292000.0,0.607,143292000.0,80077000.0,76111000.0,0.318,0.301,0.318,225811000.0,222366250.0,225811000.0,831028343.0,10.0,5.8,21134000.0,0.147,1.0,236126000.0,1.0,1977000.0,3966000.0,357932000.0,356687500.0,0.0,74967000.0,41991000.0,32976000.0,164407000.0,35600000.0,128807000.0,794869343.0,-4875000.0,600000.0,-37024000.0,-8708000.0,-8800000.0,-54532000.0,26483000.0,23614000.0,23174000.0,0.0,46209000.0,46209000.0,46209000.0,0.0,0.0,0.196,161932000.0,74194000.0,9417000.0,0.189,3.52,17.202,17.394,16018000.0,0.0,5.531,3.366,3.368,10003000.0,228174000.0,236126000.0,236126000.0,0.0,0.122,0.208,0.225,0.339,0.0,55949000.0,1.0,143705192.0,143784000.0,,1.642,388241000.0,0.0,29902000.0,85132000.0,2.7,77857000.0
95410,EV,MRT,1998-03-31,1998-04-30,1998-04-30,2020-12-22,709000.0,373942000.0,,124791000.0,249151000.0,,1.482,-1300000.0,23992000.0,23992000.0,0.0,43082000.0,3.403,0.732,60151000.0,16429000.0,43722000.0,60151000.0,0.0,60101000.0,0.0,0.009,0.057,75718000.0,135819000.0,0.616,135819000.0,75718000.0,71657000.0,0.292,0.279,0.292,215933000.0,,215933000.0,912658066.0,12.0,6.72,25942000.0,0.178,1.0,220619000.0,1.0,2137000.0,4061000.0,371289000.0,,0.0,102791000.0,77072000.0,25719000.0,158009000.0,36675000.0,121334000.0,895996066.0,-17900000.0,0.0,-38399000.0,-1712000.0,-8505000.0,-48616000.0,3474000.0,407000.0,27242000.0,0.0,43082000.0,43082000.0,43082000.0,0.0,0.0,0.195,152467000.0,68152000.0,6181000.0,0.195,4.149,20.797,20.976,15905000.0,0.0,6.125,4.061,4.044,9087000.0,217690000.0,220619000.0,220619000.0,0.0,,,,0.343,0.0,53458000.0,1.0,146285072.0,145656000.0,,1.515,371805000.0,0.0,28575000.0,77612000.0,2.553,88116000.0
95411,EV,MRQ,1998-12-31,1999-01-31,1999-01-31,2020-12-22,2043000.0,307486000.0,,104777000.0,202709000.0,,1.162,-2520000.0,24615000.0,24615000.0,0.0,-46362000.0,2.559,0.843,52969000.0,17255000.0,35714000.0,52969000.0,0.0,12468000.0,0.0,0.013,0.019,-51709000.0,-39241000.0,-0.52,-39241000.0,-51709000.0,-52598000.0,-0.323,-0.323,-0.323,166832000.0,,166832000.0,741075616.0,-44.0,15.678,-29970000.0,-0.209,1.0,75477000.0,1.0,1658000.0,889000.0,293237000.0,,0.0,69397000.0,41957000.0,27440000.0,140654000.0,40945000.0,99709000.0,742433616.0,-29771000.0,0.0,3119000.0,-59000.0,-2681000.0,379000.0,-2700000.0,-180000.0,-27450000.0,0.0,-46362000.0,-46362000.0,-46362000.0,0.0,0.0,-0.614,91680000.0,-16203000.0,11396000.0,-0.059,4.45,-27.713,-27.728,4978000.0,0.0,5.157,2.748,2.74,11807000.0,167250000.0,75477000.0,75477000.0,0.0,,,,,0.0,64922000.0,1.0,143952228.0,143524000.0,143524000.0,0.526,305828000.0,0.0,-6236000.0,63995000.0,2.131,63832000.0
95412,EV,MRQ,1998-09-30,1998-10-31,1998-10-31,2020-12-22,1120000.0,380260000.0,,130433000.0,249827000.0,,1.473,-722000.0,54386000.0,54386000.0,0.0,-5462000.0,2.664,0.795,53028000.0,17314000.0,35714000.0,53028000.0,0.0,18020000.0,0.0,0.011,0.019,-8075000.0,9945000.0,0.147,9945000.0,-8075000.0,-8955000.0,-0.038,-0.037,-0.038,211809000.0,,211809000.0,809785039.0,15.0,6.715,4628000.0,0.032,1.0,67723000.0,1.0,1818000.0,880000.0,328127000.0,,0.0,67699000.0,42049000.0,25650000.0,168451000.0,48957000.0,119494000.0,804494039.0,6586000.0,0.0,-7083000.0,-62000.0,-2163000.0,-9308000.0,10544000.0,2856000.0,5350000.0,0.0,-5462000.0,-5462000.0,-5462000.0,0.0,0.0,-0.081,76422000.0,-8699000.0,9882000.0,-0.5,3.798,26.357,26.643,2696000.0,0.0,5.595,3.218,3.218,11175000.0,213089000.0,67723000.0,67723000.0,0.0,,,,,0.0,45445000.0,1.0,143788032.0,143788032.0,,0.471,378442000.0,0.0,-3493000.0,83780000.0,2.632,81476000.0
95413,EV,MRQ,1998-06-30,1998-07-31,1998-07-31,2020-12-22,67000.0,390218000.0,,113457000.0,276761000.0,,1.57,-473000.0,47800000.0,47800000.0,0.0,13648000.0,3.187,0.728,53091000.0,9416000.0,43675000.0,53091000.0,0.0,17580000.0,0.0,0.011,0.015,23144000.0,40724000.0,0.608,40724000.0,23144000.0,22203000.0,0.095,0.09,0.095,225811000.0,,225811000.0,831028343.0,10.0,5.8,6517000.0,0.045,1.0,67015000.0,1.0,1977000.0,941000.0,357932000.0,,0.0,74967000.0,41991000.0,32976000.0,164407000.0,35600000.0,128807000.0,794869343.0,23808000.0,0.0,-999000.0,-7062000.0,-2159000.0,-10220000.0,27038000.0,27511000.0,6990000.0,0.0,13648000.0,13648000.0,13648000.0,0.0,0.0,0.204,45519000.0,21496000.0,9417000.0,0.158,3.52,17.202,17.394,16018000.0,0.0,5.531,3.366,3.368,10003000.0,228174000.0,67015000.0,67015000.0,0.0,,,,,0.0,15662000.0,1.0,143705192.0,143784000.0,149848000.0,0.466,388241000.0,0.0,8555000.0,85132000.0,2.7,77857000.0
95414,EV,MRQ,1998-03-31,1998-04-30,1998-04-30,2020-12-22,709000.0,373942000.0,,124791000.0,249151000.0,,1.482,-303000.0,23992000.0,23992000.0,0.0,11386000.0,3.403,0.732,60151000.0,16429000.0,43722000.0,60151000.0,0.0,16014000.0,0.0,0.009,0.015,19825000.0,35839000.0,0.598,35839000.0,19825000.0,18838000.0,0.079,0.075,0.079,215933000.0,,215933000.0,912658066.0,12.0,6.72,-12305000.0,-0.084,1.0,59977000.0,1.0,2137000.0,987000.0,371289000.0,,0.0,102791000.0,77072000.0,25719000.0,158009000.0,36675000.0,121334000.0,895996066.0,-19708000.0,0.0,-15589000.0,-210000.0,-2212000.0,-18011000.0,10305000.0,10608000.0,-12002000.0,0.0,11386000.0,11386000.0,11386000.0,0.0,0.0,0.19,41933000.0,18044000.0,6181000.0,0.19,4.149,20.797,20.976,15905000.0,0.0,6.125,4.061,4.044,9087000.0,217690000.0,59977000.0,59977000.0,0.0,,,,,0.0,14808000.0,1.0,146285072.0,145656000.0,151664000.0,0.412,371805000.0,0.0,7452000.0,77612000.0,2.553,88116000.0
95415,EV,ARY,1998-12-31,1999-01-28,1998-10-31,2020-12-22,1120000.0,380260000.0,378112750.0,130433000.0,249827000.0,0.661,1.471,-1849000.0,54386000.0,54386000.0,0.0,30523000.0,2.664,0.795,53028000.0,17314000.0,35714000.0,53028000.0,0.0,66744000.0,0.0,0.013,0.068,53856000.0,120600000.0,0.482,120600000.0,53856000.0,50038000.0,0.21,0.203,0.21,211809000.0,218748500.0,211809000.0,727400154.0,14.0,6.032,8048000.0,0.056,1.0,249987000.0,1.0,1818000.0,3818000.0,328127000.0,352858000.0,0.0,67699000.0,42049000.0,25650000.0,168451000.0,48957000.0,119494000.0,728758154.0,-7542000.0,0.0,-37492000.0,-7394000.0,-8760000.0,-53646000.0,36207000.0,30538000.0,9897000.0,0.0,30523000.0,30523000.0,30523000.0,0.0,0.0,0.122,201335000.0,48652000.0,9882000.0,0.324,3.441,23.876,24.107,2696000.0,0.0,5.063,2.915,2.915,11175000.0,213089000.0,249987000.0,249987000.0,0.0,0.081,0.14,0.153,0.215,0.0,88308000.0,1.0,143952228.0,143952228.0,,1.737,378442000.0,0.0,19515000.0,83780000.0,2.629,81476000.0
