None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
94008,FCAP,MRY,1998-12-31,1998-06-30,1998-06-30,2021-08-16,2994.0,93958063.0,,,,,,-165828.0,6134561.0,6134561.0,0.0,958452.0,,8.086,5283722.0,,,5283722.0,0.0,174935.0,77462034.0,,0.0,1547667.0,1722602.0,0.545,1722602.0,1547667.0,1547667.0,0.74,0.74,0.74,10340935.0,,10340935.0,,,,765813.0,,1.0,3159231.0,1.0,0.0,0.0,93107224.0,,0.0,83477589.0,,,83617128.0,,,,-350030.0,0.0,21760.0,-3000000.0,-142544.0,3584941.0,-4866612.0,-4700784.0,931641.0,0.0,958452.0,958452.0,958452.0,0.0,0.0,0.303,1611564.0,1547667.0,0.0,0.0,,,,2600772.0,0.0,,,,0.0,8170645.0,3159231.0,3159231.0,0.0,,,,0.49,0.0,1567366.0,1.0,,,,,93958063.0,0.0,589215.0,0.0,,
94009,FCAP,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-16,23000.0,105195000.0,,,,,13.503,-791038.0,9819000.0,9819000.0,0.0,1172018.0,,5.03,5293000.0,,,5293000.0,0.0,295984.0,81417000.0,,0.0,1894243.0,2190227.0,0.547,2190227.0,1894243.0,1894243.0,0.9,0.9,0.9,17444000.0,,17444000.0,,,,891516.0,0.69,1.0,4001680.0,1.0,0.0,0.0,100669000.0,,0.0,90436000.0,,,87751000.0,,,,-29626.0,0.0,6670912.0,1000000.0,-179949.0,18359946.0,-20072126.0,-19290088.0,1682554.0,0.0,1172018.0,1172018.0,1172018.0,0.0,0.0,0.293,2107437.0,1894243.0,0.0,0.0,,,,3031000.0,0.0,,,,0.0,8567000.0,4001680.0,4001680.0,0.0,,,,0.473,10250.0,2051800.0,1.0,1291824.0,1291824.0,,3.098,105195000.0,0.0,722225.0,0.0,81.431,
94010,FCAP,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-16,,,,,,,,,,,0.0,904452.0,,,,,,,,,,,0.0,1456667.0,,,,1456667.0,1456667.0,0.7,0.69,0.7,,,,,,,,,1.0,3066231.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,904452.0,904452.0,904452.0,0.0,0.0,0.295,1609564.0,1456667.0,,0.0,,,,,0.0,,,,,,3066231.0,3066231.0,0.0,,,,0.475,,1565366.0,1.0,,,,,,,552215.0,,,
94011,FCAP,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-16,2994.0,93958063.0,,,,,,-165828.0,6134561.0,6134561.0,0.0,958452.0,,8.086,5283722.0,,,5283722.0,0.0,174935.0,77462034.0,,0.0,1547667.0,1722602.0,0.545,1722602.0,1547667.0,1547667.0,0.74,0.74,0.74,10340935.0,,10340935.0,,,,765813.0,,1.0,3159231.0,1.0,0.0,0.0,93107224.0,,0.0,83477589.0,,,83617128.0,,,,-350030.0,0.0,21760.0,-3000000.0,-142544.0,3584941.0,-4866612.0,-4700784.0,931641.0,0.0,958452.0,958452.0,958452.0,0.0,0.0,0.303,1611564.0,1547667.0,0.0,0.0,,,,2600772.0,0.0,,,,0.0,8170645.0,3159231.0,3159231.0,0.0,,,,0.49,0.0,1567366.0,1.0,,,,,93958063.0,0.0,589215.0,0.0,,
94012,FCAP,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-16,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
94013,FCAP,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-16,23000.0,105195000.0,,,,,13.503,-523210.0,9819000.0,9819000.0,0.0,468566.0,,5.03,5293000.0,,,5293000.0,0.0,93049.0,81417000.0,,0.0,760576.0,853625.0,0.514,853625.0,760576.0,760576.0,0.36,0.36,0.36,17444000.0,,17444000.0,,,,170703.0,0.132,1.0,1659449.0,1.0,0.0,0.0,100669000.0,,0.0,90436000.0,,,87751000.0,,,,52404.0,0.0,6671152.0,0.0,-71405.0,10560005.0,-11201514.0,-10678304.0,693913.0,0.0,468566.0,468566.0,468566.0,0.0,0.0,0.282,898873.0,760576.0,0.0,0.0,,,,3031000.0,0.0,,,,0.0,8567000.0,1659449.0,1659449.0,0.0,,,,,10250.0,876434.0,1.0,1291824.0,1291824.0,,1.285,105195000.0,0.0,292010.0,0.0,81.431,
94014,FCAP,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-16,,,,,,,,-178000.0,,,0.0,251000.0,,,,,,,,46000.0,,,0.0,399000.0,445000.0,0.554,445000.0,399000.0,399000.0,0.19,0.19,0.19,,,,,,,479000.0,,1.0,803000.0,1.0,,0.0,,,,,,,,,,,-253000.0,0.0,0.0,0.0,-37000.0,1737000.0,-2647000.0,-2455000.0,657000.0,0.0,251000.0,251000.0,251000.0,0.0,0.0,0.313,404000.0,399000.0,,0.0,,,,,0.0,,,,,,803000.0,803000.0,0.0,,,,,0.0,393000.0,1.0,,,,,,,148000.0,,,
94015,FCAP,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-16,2994.0,93958063.0,,,,,,-8828.0,6134561.0,6134561.0,0.0,225452.0,,8.086,5283722.0,,,5283722.0,0.0,49935.0,77462034.0,,0.0,367667.0,417602.0,0.53,417602.0,367667.0,367667.0,0.17,0.17,0.17,10340935.0,,10340935.0,,,,-270187.0,,1.0,788231.0,1.0,0.0,0.0,93107224.0,,0.0,83477589.0,,,83617128.0,,,,-359030.0,0.0,-240.0,2000000.0,-35544.0,4861941.0,-4959612.0,-4986784.0,-261359.0,0.0,225452.0,225452.0,225452.0,0.0,0.0,0.286,420564.0,367667.0,0.0,0.0,,,,2600772.0,0.0,,,,0.0,8170645.0,788231.0,788231.0,0.0,,,,,0.0,409366.0,1.0,,,,,93958063.0,0.0,142215.0,0.0,,
94016,FCAP,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-16,,,,,,,,-81000.0,,,0.0,227000.0,,,,,,,,107000.0,,,0.0,367000.0,474000.0,0.631,474000.0,367000.0,367000.0,0.18,0.18,0.18,,,,,,,512000.0,,1.0,751000.0,1.0,,0.0,,,,,,,,,,,530000.0,0.0,0.0,-1000000.0,-36000.0,1201000.0,-1264000.0,-1170000.0,593000.0,0.0,227000.0,227000.0,227000.0,0.0,0.0,0.302,384000.0,367000.0,,0.0,,,,,0.0,,,,,,751000.0,751000.0,0.0,,,,,0.0,373000.0,1.0,,,,,,,140000.0,,,
94017,FCAP,ART,1998-12-31,1999-02-16,1998-12-31,2021-08-16,23000.0,105195000.0,,,,,13.503,,9819000.0,9819000.0,,,,5.03,5293000.0,,,5293000.0,0.0,,81417000.0,0.0,0.0,,,,,,,,,,17444000.0,,17444000.0,8883133.0,,,,,1.0,,,0.0,,100669000.0,,0.0,90436000.0,,,87751000.0,,,13409133.0,,,,,,,,,,,,,,,,,,,0.0,,0.769,,,3031000.0,,10.38,,,0.0,8567000.0,,,,,,,,,,1.0,1291824.0,1291824.0,,,105195000.0,0.0,,0.0,81.431,
