None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
93910,FCCO,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-10,43051.0,73151576.0,65452080.0,,,0.045,9.021,-815973.0,5606772.0,5606772.0,0.0,846933.0,,4.374,2770113.0,,,2770113.0,0.0,132100.0,56005770.0,,0.0,906857.0,1038957.0,0.356,1038957.0,906857.0,906857.0,0.72,0.696,0.72,13612344.0,9912088.0,13612344.0,,,,300821.0,0.199,1.0,2916673.0,1.0,0.0,0.0,70314917.0,60213298.0,0.0,63130031.0,,,59539232.0,,,,117706.0,0.0,6610350.0,1214130.0,0.0,20884718.0,-21883806.0,-21067833.0,1116794.0,0.0,846933.0,846933.0,846933.0,0.0,0.0,0.29,2009816.0,906857.0,0.0,0.0,,,,3667097.0,0.0,,,,0.0,114029.0,2916673.0,2916673.0,0.0,0.013,0.085,0.015,0.311,0.0,1491380.0,1.0,1508971.0,1508971.0,,1.933,73151576.0,0.0,59924.0,0.0,48.478,
93911,FCCO,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-10,43051.0,73151576.0,65452080.0,,,0.045,9.021,-815973.0,5606772.0,5606772.0,0.0,846933.0,,4.374,2770113.0,,,2770113.0,0.0,132100.0,56005770.0,,0.0,906857.0,1038957.0,0.356,1038957.0,906857.0,906857.0,0.72,0.696,0.72,13612344.0,9912088.0,13612344.0,,,,300821.0,0.199,1.0,2916673.0,1.0,0.0,0.0,70314917.0,60213298.0,0.0,63130031.0,,,59539232.0,,,,117706.0,0.0,6610350.0,1214130.0,0.0,20884718.0,-21883806.0,-21067833.0,1116794.0,0.0,846933.0,846933.0,846933.0,0.0,0.0,0.29,2009816.0,906857.0,0.0,0.0,,,,3667097.0,0.0,,,,0.0,114029.0,2916673.0,2916673.0,0.0,0.013,0.085,0.015,0.311,0.0,1491380.0,1.0,1508971.0,1508971.0,,1.933,73151576.0,0.0,59924.0,0.0,48.478,
93912,FCCO,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-10,66431.0,70400995.0,59917294.0,,,0.044,8.882,-568798.0,11851391.0,11851391.0,0.0,716303.0,,4.253,2987290.0,,,2987290.0,0.0,130882.0,53499538.0,,0.0,716303.0,847185.0,0.321,847185.0,716303.0,716303.0,0.68,0.672,0.68,13402460.0,8037715.0,13402460.0,,,,512650.0,0.34,1.0,2639930.0,1.0,0.0,0.0,61536894.0,54579106.0,0.0,54626893.0,,,56998535.0,,,,-9758240.0,0.0,6642717.0,-490452.0,0.0,-13495753.0,2656065.0,3224863.0,1081448.0,0.0,716303.0,716303.0,716303.0,0.0,0.0,0.271,1923627.0,716303.0,0.0,0.0,,,,3446227.0,0.0,,,,0.0,-151602.0,2639930.0,2639930.0,0.0,0.012,0.089,0.013,0.271,0.0,1436016.0,1.0,1508971.0,1508971.0,,1.749,70400995.0,0.0,0.0,0.0,46.655,
93913,FCCO,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-10,11121.0,59928102.0,,,,,7.421,-156644.0,8168108.0,8168108.0,0.0,480576.0,,8.367,2269096.0,,,2269096.0,0.0,131102.0,50856977.0,,0.0,480576.0,611678.0,0.266,611678.0,480576.0,480576.0,0.552,0.544,0.552,6397462.0,,6397462.0,,,,519933.0,0.603,1.0,2302848.0,1.0,0.0,0.0,54029090.0,,0.0,48202817.0,,,53530640.0,,,,213637.0,0.0,0.0,944617.0,0.0,12199564.0,-12662504.0,-12505860.0,676577.0,0.0,480576.0,480576.0,480576.0,0.0,0.0,0.209,1822272.0,480576.0,0.0,0.0,,,,3026538.0,0.0,,,,0.0,-458573.0,2302848.0,2302848.0,0.0,,,,0.209,0.0,1374668.0,1.0,862096.0,862096.0,,2.671,59928102.0,0.0,0.0,0.0,69.514,
93914,FCCO,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-10,7756.0,58327646.0,,,,,7.234,-396673.0,8404066.0,8404066.0,0.0,351836.0,,8.353,5048710.0,,,5048710.0,0.0,133019.0,46699618.0,,0.0,351836.0,484855.0,0.234,484855.0,351836.0,351836.0,0.408,0.4,0.408,6236085.0,,6236085.0,,,,269382.0,0.312,1.0,2071772.0,1.0,0.0,0.0,54972290.0,,0.0,46587311.0,,,52091561.0,,,,3574560.0,0.0,16000.0,3751959.0,0.0,18006061.0,-15097556.0,-14700883.0,666055.0,0.0,351836.0,351836.0,351836.0,0.0,0.0,0.17,1719936.0,351836.0,0.0,0.0,,,,2954365.0,0.0,,,,0.0,-616585.0,2071772.0,2071772.0,0.0,,,,0.17,0.0,1297444.0,1.0,862096.0,862096.0,,2.403,58327646.0,0.0,0.0,0.0,67.658,
93915,FCCO,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-10,43051.0,73151576.0,,,,,9.021,-254564.0,5606772.0,5606772.0,0.0,265631.0,,4.374,2770113.0,,,2770113.0,0.0,33694.0,56005770.0,,0.0,325555.0,359249.0,0.419,359249.0,325555.0,325555.0,0.192,0.184,0.192,13612344.0,,13612344.0,,,,80611.0,0.053,1.0,857662.0,1.0,0.0,0.0,70314917.0,,0.0,63130031.0,,,59539232.0,,,,-6244619.0,0.0,-32367.0,481623.0,0.0,2256688.0,-8836482.0,-8581918.0,335175.0,0.0,265631.0,265631.0,265631.0,0.0,0.0,0.31,532107.0,325555.0,0.0,0.0,,,,3667097.0,0.0,,,,0.0,114029.0,857662.0,857662.0,0.0,,,,,0.0,383856.0,1.0,1508971.0,1508971.0,,0.568,73151576.0,0.0,59924.0,0.0,48.478,
93916,FCCO,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-10,66431.0,70400995.0,,,,,8.882,-452457.0,11851391.0,11851391.0,0.0,306971.0,,4.253,2987290.0,,,2987290.0,0.0,32768.0,53499538.0,,0.0,306971.0,339739.0,0.415,339739.0,306971.0,306971.0,0.208,0.208,0.208,13402460.0,,13402460.0,,,,53528.0,0.035,1.0,817992.0,1.0,0.0,0.0,61536894.0,,0.0,54626893.0,,,56998535.0,,,,3683283.0,0.0,6642717.0,718194.0,0.0,10003472.0,-6826174.0,-6373717.0,505985.0,0.0,306971.0,306971.0,306971.0,0.0,0.0,0.375,511021.0,306971.0,0.0,0.0,,,,3446227.0,0.0,,,,0.0,-151602.0,817992.0,817992.0,0.0,,,,,0.0,373414.0,1.0,1508971.0,1508971.0,,0.542,70400995.0,0.0,0.0,0.0,46.655,
93917,FCCO,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-10,11121.0,59928102.0,,,,,7.421,-105181.0,8168108.0,8168108.0,0.0,158012.0,,8.367,2269096.0,,,2269096.0,0.0,33008.0,50856977.0,,0.0,158012.0,191020.0,0.291,191020.0,158012.0,158012.0,0.184,0.176,0.184,6397462.0,,6397462.0,,,,28447.0,0.033,1.0,656980.0,1.0,0.0,0.0,54029090.0,,0.0,48202817.0,,,53530640.0,,,,-235958.0,0.0,0.0,-2779614.0,0.0,1377745.0,-1747331.0,-1642150.0,133628.0,0.0,158012.0,158012.0,158012.0,0.0,0.0,0.241,498968.0,158012.0,0.0,0.0,,,,3026538.0,0.0,,,,0.0,-458573.0,656980.0,656980.0,0.0,,,,,0.0,383456.0,1.0,862096.0,862096.0,,0.762,59928102.0,0.0,0.0,0.0,69.514,
93918,FCCO,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-10,7756.0,58327646.0,,,,,7.234,-3771.0,8404066.0,8404066.0,0.0,116319.0,,8.353,5048710.0,,,5048710.0,0.0,32630.0,46699618.0,,0.0,116319.0,148949.0,0.255,148949.0,116319.0,116319.0,0.136,0.128,0.136,6236085.0,,6236085.0,,,,138235.0,0.16,1.0,584039.0,1.0,0.0,0.0,54972290.0,,0.0,46587311.0,,,52091561.0,,,,2915000.0,0.0,0.0,2793927.0,0.0,7246813.0,-4473819.0,-4470048.0,142006.0,0.0,116319.0,116319.0,116319.0,0.0,0.0,0.199,467720.0,116319.0,0.0,0.0,,,,2954365.0,0.0,,,,0.0,-616585.0,584039.0,584039.0,0.0,,,,,0.0,350654.0,1.0,862096.0,862096.0,,0.677,58327646.0,0.0,0.0,0.0,67.658,
93919,FCCO,ARY,1998-12-31,1999-03-29,1998-12-31,2021-08-10,43051.0,73151576.0,65452080.0,,,0.045,9.021,-815973.0,5606772.0,5606772.0,0.0,846933.0,,4.374,2770113.0,,,2770113.0,0.0,132100.0,56005770.0,0.0,0.0,906857.0,1038957.0,0.356,1038957.0,906857.0,906857.0,0.72,0.696,0.72,13612344.0,9912088.0,13612344.0,19496116.0,21.0,18.765,300821.0,0.199,1.0,2916673.0,1.0,0.0,0.0,70314917.0,60213298.0,0.0,63130031.0,,,59539232.0,,,22332774.0,117706.0,0.0,6610350.0,1214130.0,0.0,20884718.0,-21883806.0,-21067833.0,1116794.0,0.0,846933.0,846933.0,846933.0,0.0,0.0,0.29,2009816.0,906857.0,0.0,0.0,1.641,26.369,20.556,3667097.0,0.0,14.8,7.657,7.657,0.0,114029.0,2916673.0,2916673.0,0.0,0.013,0.085,0.015,0.311,0.0,1491380.0,1.0,1508971.0,1508971.0,,1.933,73151576.0,0.0,59924.0,0.0,48.478,
