None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
87882,GBL,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-25,0.0,254675000.0,243705500.0,,,0.567,6.497,0.0,50222000.0,50222000.0,0.0,57267000.0,,0.244,11787000.0,,,11787000.0,0.0,865000.0,0.0,,0.0,64930000.0,65795000.0,0.476,65795000.0,64930000.0,62718000.0,,,,194900000.0,179259500.0,194900000.0,,,,9543000.0,0.318,1.0,138187000.0,1.0,35035000.0,2212000.0,181205000.0,177820500.0,0.0,142208000.0,,,47648000.0,,,,37612000.0,-1409000.0,0.0,-30000000.0,-19636000.0,-50522000.0,78591000.0,0.0,9543000.0,0.0,57267000.0,57267000.0,57267000.0,0.0,0.0,0.414,93175000.0,45012000.0,16734000.0,,,,,0.0,0.0,,,,22314000.0,184141000.0,138187000.0,138187000.0,0.0,0.235,0.319,0.365,0.47,0.0,68292000.0,1.0,30000000.0,30000000.0,,4.606,219640000.0,0.0,5451000.0,3300000.0,7.321,
87883,GBL,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-25,0.0,254675000.0,243705500.0,,,0.567,6.497,0.0,50222000.0,50222000.0,0.0,57267000.0,,0.244,11787000.0,,,11787000.0,0.0,865000.0,0.0,,0.0,64930000.0,65795000.0,0.476,65795000.0,64930000.0,62718000.0,,,,194900000.0,179259500.0,194900000.0,,,,9543000.0,0.318,1.0,138187000.0,1.0,35035000.0,2212000.0,181205000.0,177820500.0,0.0,142208000.0,,,47648000.0,,,,37612000.0,-1409000.0,0.0,-30000000.0,-19636000.0,-50522000.0,78591000.0,0.0,9543000.0,0.0,57267000.0,57267000.0,57267000.0,0.0,0.0,0.414,93175000.0,45012000.0,16734000.0,,,,,0.0,0.0,,,,22314000.0,184141000.0,138187000.0,138187000.0,0.0,0.235,0.319,0.365,0.47,0.0,68292000.0,1.0,30000000.0,30000000.0,,4.606,219640000.0,0.0,5451000.0,3300000.0,7.321,
87884,GBL,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-25,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30000000.0,30000000.0,,,,,,,,
87885,GBL,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-25,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30000000.0,30000000.0,,,,,,,,
87886,GBL,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-25,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30000000.0,30000000.0,,,,,,,,
87887,GBL,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-25,0.0,254675000.0,,,,,6.497,0.0,50222000.0,50222000.0,0.0,12461000.0,,0.244,11787000.0,,,11787000.0,0.0,203000.0,0.0,,0.0,14606000.0,14809000.0,0.413,14809000.0,14606000.0,14264000.0,,,,194900000.0,,194900000.0,,,,-16110000.0,-0.537,1.0,35878000.0,1.0,35035000.0,342000.0,181205000.0,,0.0,142208000.0,,,47648000.0,,,,-15319000.0,469000.0,0.0,1232000.0,-19636000.0,322000.0,469000.0,0.0,-16110000.0,0.0,12461000.0,12461000.0,12461000.0,0.0,0.0,0.347,25382000.0,10496000.0,16734000.0,,,,,0.0,0.0,,,,22314000.0,184141000.0,35878000.0,35878000.0,0.0,,,,,0.0,18057000.0,1.0,30000000.0,30000000.0,,1.196,219640000.0,0.0,1803000.0,3300000.0,7.321,
87888,GBL,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-25,,,,,,,,0.0,,,0.0,6268000.0,,,,,,,,184000.0,,,0.0,7638000.0,7822000.0,0.228,7822000.0,7638000.0,7463000.0,,,,,,,,,,3125000.0,0.104,1.0,34350000.0,1.0,,175000.0,,,,,,,,,,,13088000.0,-314000.0,-1530000.0,180000.0,0.0,-1416000.0,11379000.0,0.0,3125000.0,0.0,6268000.0,6268000.0,6268000.0,0.0,0.0,0.182,22692000.0,11658000.0,,,,,,,0.0,,,,,,34350000.0,34350000.0,0.0,,,,,0.0,16517000.0,1.0,30000000.0,30000000.0,,1.145,,,1195000.0,,,
87889,GBL,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-25,,,,,,,,0.0,,,0.0,26756000.0,,,,,,,,312000.0,,,0.0,28562000.0,28874000.0,0.801,28874000.0,28562000.0,27726000.0,,,,,,,,,,5089000.0,0.17,1.0,36031000.0,1.0,,836000.0,,,,,,,,,,,28952000.0,-592000.0,1530000.0,-31911000.0,5694000.0,-43852000.0,67715000.0,0.0,5089000.0,0.0,26756000.0,26756000.0,26756000.0,0.0,0.0,0.743,22841000.0,13190000.0,,,,,,,0.0,,,,,,36031000.0,36031000.0,0.0,,,,,0.0,16811000.0,1.0,30000000.0,30000000.0,,1.201,,,970000.0,,,
87890,GBL,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-25,,,,,,,,0.0,,,0.0,11782000.0,,,,,,,,166000.0,,,0.0,14124000.0,14290000.0,0.448,14290000.0,14124000.0,13265000.0,,,,,,,,,,17439000.0,0.581,1.0,31928000.0,1.0,,859000.0,,,,,,,,,,,10891000.0,-972000.0,0.0,499000.0,-5694000.0,-5576000.0,-972000.0,0.0,17439000.0,0.0,11782000.0,11782000.0,11782000.0,0.0,0.0,0.369,22260000.0,9668000.0,,,,,,,0.0,,,,,,31928000.0,31928000.0,0.0,,,,,0.0,16907000.0,1.0,30000000.0,30000000.0,30000000.0,1.064,,,1483000.0,,,
87891,GBL,ARY,1998-12-31,1999-05-11,1998-12-31,2021-08-25,-10714000.0,254675000.0,243705500.0,,,0.567,6.497,0.0,50222000.0,50222000.0,0.0,57267000.0,,0.244,22501000.0,,,22501000.0,0.0,865000.0,0.0,0.0,0.0,64930000.0,65795000.0,0.476,65795000.0,64930000.0,62718000.0,,,,194900000.0,179259500.0,194900000.0,429779000.0,7.0,6.532,9543000.0,0.318,1.0,138187000.0,1.0,35035000.0,2212000.0,191919000.0,183004500.0,0.0,142208000.0,,,47648000.0,,,457500000.0,37612000.0,-1409000.0,0.0,-30000000.0,-19636000.0,-50522000.0,78591000.0,0.0,9543000.0,0.0,57267000.0,57267000.0,57267000.0,0.0,0.0,0.414,93175000.0,45012000.0,16734000.0,,2.347,7.989,,0.0,0.0,15.25,3.311,3.311,23540000.0,184141000.0,138187000.0,138187000.0,0.0,0.235,0.319,0.355,0.47,0.0,68292000.0,1.0,30000000.0,30000000.0,,4.606,219640000.0,0.0,5451000.0,3300000.0,7.321,
