None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
86907,GFED,MRY,1998-12-31,1998-06-30,1998-06-30,2021-08-07,2811892.0,260042559.0,229753799.0,,,0.04,11.354,-406548.0,7304923.0,7304923.0,0.0,2841091.0,,2.679,45951504.0,,,45951504.0,0.0,469532.0,140975336.0,0.02,0.264,4460091.0,4929623.0,0.531,4929623.0,4460091.0,4460091.0,0.29,0.29,0.29,70690098.0,49090126.0,70690098.0,90951601.0,20.0,18.45,2402076.0,0.386,1.0,9282590.0,1.0,0.0,0.0,298689140.0,256581145.0,0.0,241327448.0,,,189352461.0,,,80562072.0,3487572.0,0.0,39275397.0,27126042.0,-1621342.0,55037528.0,-54358580.0,-54269887.0,2808624.0,0.0,2841091.0,2841091.0,2841091.0,0.0,0.0,0.306,4822499.0,4460091.0,0.0,0.91,1.14,28.356,44.621,7432971.0,0.0,12.94,8.679,8.679,0.0,21682950.0,9282590.0,9282590.0,0.0,0.012,0.058,0.017,0.48,92407.0,3848051.0,1.0,6225817.0,6225817.0,,1.491,260042559.0,0.0,1619000.0,1654703.0,41.768,
86908,GFED,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-07,3844393.0,288437955.0,267839104.0,,,0.04,11.227,-199086.0,8461398.0,8461398.0,0.0,3348332.0,,3.342,82197313.0,,,82197313.0,0.0,452769.0,136809516.0,0.027,0.31,5183263.0,5636032.0,0.529,5636032.0,5183263.0,5183263.0,0.28,0.28,0.28,66428965.0,67762666.0,66428965.0,137832466.0,27.0,24.456,1596186.0,0.27,1.0,10661483.0,1.0,0.0,0.0,362173870.0,315698540.0,0.0,266917153.0,,,222008990.0,,,69166749.0,-12756516.0,0.0,-7687486.0,66855162.0,-1773741.0,51682283.0,-66234071.0,-66655724.0,1795272.0,0.0,3348332.0,3348332.0,3348332.0,0.0,0.0,0.314,5478220.0,5183263.0,0.0,1.107,1.041,20.657,41.75,7284911.0,0.0,11.69,6.488,6.488,0.0,22461583.0,10661483.0,10661483.0,0.0,0.013,0.049,0.016,0.486,374864.0,4357008.0,1.0,5916745.0,5916745.0,,1.802,288437955.0,0.0,1834931.0,1950044.0,48.749,
86909,GFED,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-07,2925258.0,276550654.0,253383630.0,,,0.04,10.84,-353661.0,5353192.0,5353192.0,0.0,3122691.0,,3.312,74018909.0,,,74018909.0,0.0,457337.0,134346556.0,0.028,0.31,4899233.0,5356570.0,0.535,5356570.0,4899233.0,4899233.0,,,,64135070.0,68540570.0,64135070.0,103730776.0,21.0,19.365,75073.0,0.013,1.0,10010766.0,1.0,0.0,0.0,345216371.0,281340146.0,0.0,258665394.0,,,212415584.0,,,65084195.0,-2257652.0,0.0,34993371.0,41013159.0,-933842.0,60494436.0,-63180822.0,-63407154.0,428734.0,0.0,3122691.0,3122691.0,3122691.0,0.0,0.0,0.312,5111533.0,4899233.0,0.0,,1.015,20.842,,7361818.0,0.0,11.0,6.501,6.501,0.0,21534374.0,10010766.0,10010766.0,0.0,0.012,0.046,0.017,0.489,92407.0,4101556.0,1.0,5916745.0,5916745.0,,1.692,276550654.0,0.0,1776542.0,2000986.0,46.74,
86910,GFED,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-07,2811892.0,260042559.0,229753799.0,,,0.04,11.354,-406548.0,7304923.0,7304923.0,0.0,2841091.0,,2.679,45951504.0,,,45951504.0,0.0,469532.0,140975336.0,0.02,0.264,4460091.0,4929623.0,0.531,4929623.0,4460091.0,4460091.0,0.29,0.29,0.29,70690098.0,49090126.0,70690098.0,90951601.0,20.0,18.45,2402076.0,0.386,1.0,9282590.0,1.0,0.0,0.0,298689140.0,256581145.0,0.0,241327448.0,,,189352461.0,,,80562072.0,3487572.0,0.0,39275397.0,27126042.0,-1621342.0,55037528.0,-54358580.0,-54269887.0,2808624.0,0.0,2841091.0,2841091.0,2841091.0,0.0,0.0,0.306,4822499.0,4460091.0,0.0,0.91,1.14,28.356,44.621,7432971.0,0.0,12.94,8.679,8.679,0.0,21682950.0,9282590.0,9282590.0,0.0,0.012,0.058,0.017,0.48,92407.0,3848051.0,1.0,6225817.0,6225817.0,,1.491,260042559.0,0.0,1619000.0,1654703.0,41.768,
86911,GFED,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-07,2844525.0,246325250.0,,,,,11.219,-535406.0,18017492.0,18017492.0,0.0,2948167.0,,2.529,28407021.0,,,28407021.0,0.0,458686.0,144432638.0,0.017,0.218,4595385.0,5054071.0,0.501,5054071.0,4595385.0,4595385.0,,,,69796533.0,,69796533.0,71893262.0,16.0,14.225,3158758.0,0.508,1.0,10081168.0,1.0,0.0,0.0,256714779.0,,0.0,217449863.0,,,176528717.0,,,77769025.0,10824154.0,0.0,42672426.0,6858273.0,-2246372.0,42732082.0,-35602092.0,-35184085.0,3694164.0,0.0,2948167.0,2948167.0,2948167.0,0.0,0.0,0.292,5485783.0,4595385.0,0.0,,1.114,26.379,,7482395.0,0.0,12.5,7.714,7.714,0.0,20775301.0,10081168.0,10081168.0,0.0,,,,0.456,-90036.0,4388547.0,1.0,6221522.0,6221522.0,,1.62,246325250.0,0.0,1647218.0,1796665.0,39.592,
86912,GFED,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-07,3844393.0,288437955.0,,,,,11.227,-26239.0,8461398.0,8461398.0,0.0,820429.0,,3.342,82197313.0,,,82197313.0,0.0,103146.0,136809516.0,0.027,0.0,1246591.0,1349737.0,0.491,1349737.0,1246591.0,1246591.0,0.15,0.14,0.15,66428965.0,,66428965.0,137832466.0,27.0,24.456,73847.0,0.012,1.0,2751694.0,1.0,0.0,0.0,362173870.0,,0.0,266917153.0,,,222008990.0,,,69166749.0,3108206.0,0.0,3991.0,8178404.0,-839899.0,9836510.0,-6828390.0,-6842897.0,100086.0,0.0,820429.0,820429.0,820429.0,0.0,0.0,0.298,1505103.0,1246591.0,0.0,0.0,1.041,20.657,41.75,7284911.0,0.0,11.69,6.488,6.488,0.0,22461583.0,2751694.0,2751694.0,0.0,,,,,282457.0,1154544.0,1.0,5916745.0,5916745.0,,0.465,288437955.0,0.0,426162.0,1950044.0,48.749,
86913,GFED,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-07,2925258.0,276550654.0,,,,,10.84,-26087.0,5353192.0,5353192.0,0.0,798103.0,,3.312,74018909.0,,,74018909.0,0.0,97240.0,134346556.0,0.028,0.16,1247837.0,1345077.0,0.506,1345077.0,1247837.0,1247837.0,0.14,0.14,0.14,64135070.0,,64135070.0,103730776.0,21.0,19.365,-246255.0,-0.042,1.0,2657634.0,1.0,0.0,0.0,345216371.0,,0.0,258665394.0,,,212415584.0,,,65084195.0,-1951731.0,0.0,-4280238.0,28067405.0,0.0,14785322.0,-16516885.0,-16752936.0,-220168.0,0.0,798103.0,798103.0,798103.0,0.0,0.0,0.3,1409797.0,1247837.0,0.0,1.143,1.015,20.842,,7361818.0,0.0,11.0,6.501,6.501,0.0,21534374.0,2657634.0,2657634.0,0.0,,,,,0.0,1172389.0,1.0,5916745.0,5916745.0,,0.449,276550654.0,0.0,449734.0,2000986.0,46.74,
86914,GFED,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-07,2811892.0,260042559.0,,,,,11.354,-88715.0,7304923.0,7304923.0,0.0,398936.0,,2.679,45951504.0,,,45951504.0,0.0,138139.0,140975336.0,0.02,0.15,683492.0,821631.0,0.765,821631.0,683492.0,683492.0,-0.15,-0.14,-0.15,70690098.0,,70690098.0,90951601.0,20.0,18.45,-979363.0,-0.157,1.0,1074483.0,1.0,0.0,0.0,298689140.0,,0.0,241327448.0,,,189352461.0,,,80562072.0,-10712569.0,0.0,-3397029.0,17544483.0,30.0,14141798.0,-23963719.0,-24178859.0,-890648.0,0.0,398936.0,398936.0,398936.0,0.0,0.0,0.371,390991.0,683492.0,0.0,-1.0,1.14,28.356,44.621,7432971.0,0.0,12.94,8.679,8.679,0.0,21682950.0,1074483.0,1074483.0,0.0,,,,,92407.0,272220.0,1.0,6225817.0,6225817.0,,0.173,260042559.0,0.0,284556.0,1654703.0,41.768,
86915,GFED,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-07,2844525.0,246325250.0,,,,,11.219,-58045.0,18017492.0,18017492.0,0.0,1330864.0,,2.529,28407021.0,,,28407021.0,0.0,114244.0,144432638.0,0.017,0.0,2005343.0,2119587.0,0.507,2119587.0,2005343.0,2005343.0,0.14,0.14,0.14,69796533.0,,69796533.0,71893262.0,16.0,14.225,2747957.0,0.442,1.0,4177672.0,1.0,0.0,0.0,256714779.0,,0.0,217449863.0,,,176528717.0,,,77769025.0,-3200422.0,0.0,-14210.0,13064870.0,-933872.0,12918653.0,-18925077.0,-18881032.0,2806002.0,0.0,1330864.0,1330864.0,1330864.0,0.0,0.0,0.319,2172329.0,2005343.0,0.0,0.0,1.114,26.379,,7482395.0,0.0,12.5,7.714,7.714,0.0,20775301.0,4177672.0,4177672.0,0.0,,,,,0.0,1757855.0,1.0,6221522.0,6221522.0,,0.671,246325250.0,0.0,674479.0,1796665.0,39.592,
86916,GFED,ARY,1998-12-31,1998-09-28,1998-06-30,2021-08-07,2811892.0,260042559.0,,,,,11.947,-406548.0,7304923.0,7304923.0,0.0,2841091.0,,2.679,45951504.0,,,45951504.0,0.0,469532.0,140975336.0,0.028,0.31,4460091.0,4929623.0,0.531,4929623.0,4460091.0,4460091.0,,,,70690098.0,,70690098.0,103020767.0,23.0,20.898,2402076.0,0.406,1.0,9282590.0,1.0,0.0,0.0,298689140.0,,0.0,241327448.0,,,189352461.0,,,64374186.0,3487572.0,0.0,39275397.0,27126042.0,-1621342.0,55037528.0,-54358580.0,-54269887.0,2808624.0,0.0,2841091.0,2841091.0,2841091.0,0.0,0.0,0.306,4822499.0,4460091.0,0.0,,0.911,22.658,,7432971.0,0.0,10.88,6.935,6.935,0.0,21682950.0,9282590.0,9282590.0,0.0,,,,0.48,92407.0,3875084.0,1.0,5916745.0,5916745.0,,1.569,260042559.0,0.0,1619000.0,1654703.0,43.95,
