None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
85493,GNCI1,MRT,1998-09-30,1998-10-10,1998-10-10,2021-09-19,-490000.0,1094947000.0,1020335000.0,425021000.0,669926000.0,1.31,1.143,-99158000.0,9407000.0,9407000.0,815845000.0,108696000.0,1.793,12.22,756892000.0,895000.0,755997000.0,756892000.0,0.0,51990000.0,0.0,0.0,0.0,202616000.0,254606000.0,0.19,254606000.0,202616000.0,175449000.0,1.35,1.33,1.35,82825000.0,262057750.0,82825000.0,1162970548.0,6.0,4.568,49153000.0,0.678,1.0,521225000.0,0.39,336335000.0,27167000.0,1269093000.0,952449750.0,312161000.0,25442000.0,0.0,25442000.0,1012122000.0,237004000.0,775118000.0,696378548.0,0.0,-128105000.0,-323958000.0,407255000.0,0.0,85291000.0,-224055000.0,3208000.0,148311000.0,-140000.0,108696000.0,108696000.0,108696000.0,0.0,0.0,0.081,318439000.0,202786000.0,126184000.0,0.0,8.408,6.407,7.037,263486000.0,0.0,9.5,0.521,0.515,76205000.0,95470000.0,1337070000.0,1337070000.0,0.0,0.107,0.415,0.213,0.152,3794000.0,314356000.0,1.0,73303005.0,72473000.0,73276000.0,18.449,758612000.0,12976000.0,66753000.0,13702000.0,10.468,188017000.0
85494,GNCI1,MRT,1998-06-30,1998-07-18,1998-07-18,2021-09-19,-211000.0,1040444000.0,956704750.0,395927000.0,644517000.0,1.37,3.588,-90867000.0,0.0,0.0,795538000.0,114673000.0,1.685,2.56,466592000.0,967000.0,465625000.0,466592000.0,0.0,48597000.0,0.0,0.0,0.0,209218000.0,257815000.0,0.197,257815000.0,209218000.0,185419000.0,1.4,1.37,1.4,292292000.0,290712250.0,292292000.0,3044428269.0,15.0,11.809,48072000.0,0.59,1.0,514850000.0,0.393,329822000.0,23799000.0,942307000.0,815065500.0,286079000.0,24706000.0,0.0,24706000.0,748152000.0,234907000.0,513245000.0,2665611269.0,0.0,-126354000.0,-26898000.0,97567000.0,0.0,75494000.0,-214060000.0,3161000.0,138939000.0,-373000.0,114673000.0,114673000.0,114673000.0,0.0,0.0,0.088,305518000.0,209332000.0,110347000.0,0.0,9.12,23.245,23.036,246757000.0,0.0,32.25,2.034,2.005,84035000.0,233112000.0,1310388000.0,1310388000.0,0.0,0.12,0.394,0.257,0.16,3794000.0,301435000.0,1.0,82654613.0,81474000.0,83219000.0,16.084,710622000.0,13177000.0,70746000.0,3065000.0,8.722,161020000.0
85495,GNCI1,MRT,1998-03-31,1998-04-25,1998-04-25,2021-09-19,-369000.0,1012011000.0,897282250.0,398834000.0,613177000.0,1.391,3.912,-76054000.0,0.0,0.0,755488000.0,109744000.0,1.682,2.139,378817000.0,979000.0,377838000.0,378817000.0,0.0,46081000.0,0.0,0.0,0.0,200984000.0,247065000.0,0.198,247065000.0,200984000.0,177916000.0,1.35,1.31,1.35,322402000.0,273260750.0,322402000.0,3174024702.0,16.0,12.847,50545000.0,0.613,1.0,492555000.0,0.395,322496000.0,23068000.0,831150000.0,771740500.0,278187000.0,23579000.0,0.0,23579000.0,689609000.0,237182000.0,452427000.0,2827081702.0,0.0,-115548000.0,24677000.0,26042000.0,0.0,58640000.0,-184626000.0,6976000.0,126599000.0,-613000.0,109744000.0,109744000.0,109744000.0,0.0,0.0,0.088,291571000.0,200984000.0,127687000.0,0.0,8.769,25.761,25.648,229060000.0,0.0,34.625,2.265,2.287,83714000.0,205130000.0,1248043000.0,1248043000.0,0.0,0.122,0.402,0.26,0.161,4083000.0,287488000.0,1.0,81648569.0,82424000.0,84700000.0,15.142,689515000.0,13042000.0,68172000.0,22392000.0,8.365,161652000.0
85496,GNCI1,MRQ,1998-09-30,1998-10-10,1998-10-10,2021-09-19,-490000.0,1094947000.0,,425021000.0,669926000.0,,1.143,-26451000.0,9407000.0,9407000.0,190932000.0,17955000.0,1.793,12.22,756892000.0,895000.0,755997000.0,756892000.0,0.0,13444000.0,0.0,0.0,0.0,37681000.0,51125000.0,0.168,51125000.0,37681000.0,29004000.0,0.25,0.25,0.25,82825000.0,,82825000.0,1162970548.0,6.0,4.568,37396000.0,0.516,1.0,113720000.0,0.373,336335000.0,8677000.0,1269093000.0,,312161000.0,25442000.0,0.0,25442000.0,1012122000.0,237004000.0,775118000.0,696378548.0,0.0,-11647000.0,-291881000.0,278253000.0,0.0,-14115000.0,-40046000.0,-1948000.0,63847000.0,-279000.0,17955000.0,17955000.0,17955000.0,0.0,0.0,0.059,76039000.0,37681000.0,126184000.0,0.0,8.408,6.407,7.037,263486000.0,0.0,9.5,0.521,0.515,76205000.0,95470000.0,304652000.0,304652000.0,0.0,,,,,0.0,76039000.0,1.0,73303005.0,72473000.0,73276000.0,4.204,758612000.0,12976000.0,11049000.0,13702000.0,10.468,188017000.0
85497,GNCI1,MRQ,1998-06-30,1998-07-18,1998-07-18,2021-09-19,-211000.0,1040444000.0,,395927000.0,644517000.0,,3.588,-26846000.0,0.0,0.0,201545000.0,27983000.0,1.685,2.56,466592000.0,967000.0,465625000.0,466592000.0,0.0,12773000.0,0.0,0.0,0.0,51421000.0,64194000.0,0.196,64194000.0,51421000.0,45150000.0,0.34,0.34,0.34,292292000.0,,292292000.0,3044428269.0,15.0,11.809,-2029000.0,-0.025,1.0,126404000.0,0.385,329822000.0,6271000.0,942307000.0,,286079000.0,24706000.0,0.0,24706000.0,748152000.0,234907000.0,513245000.0,2665611269.0,0.0,-12505000.0,-47745000.0,71324000.0,0.0,21843000.0,-46818000.0,-7467000.0,24817000.0,158000.0,27983000.0,27983000.0,27983000.0,0.0,0.0,0.085,74983000.0,51421000.0,110347000.0,0.0,9.12,23.245,23.036,246757000.0,0.0,32.25,2.034,2.005,84035000.0,233112000.0,327949000.0,327949000.0,0.0,,,,,0.0,74983000.0,1.0,82654613.0,81474000.0,83219000.0,4.025,710622000.0,13177000.0,17167000.0,3065000.0,8.722,161020000.0
85498,GNCI1,MRQ,1998-03-31,1998-04-25,1998-04-25,2021-09-19,-369000.0,1012011000.0,,398834000.0,613177000.0,,3.912,-27115000.0,0.0,0.0,195852000.0,30238000.0,1.682,2.139,378817000.0,979000.0,377838000.0,378817000.0,0.0,12189000.0,0.0,0.0,0.0,54193000.0,66382000.0,0.203,66382000.0,54193000.0,48934000.0,0.37,0.36,0.37,322402000.0,,322402000.0,3174024702.0,16.0,12.847,-252000.0,-0.003,1.0,131765000.0,0.402,322496000.0,5259000.0,831150000.0,,278187000.0,23579000.0,0.0,23579000.0,689609000.0,237182000.0,452427000.0,2827081702.0,0.0,-29906000.0,8807000.0,16605000.0,0.0,29629000.0,-56441000.0,580000.0,26863000.0,-51000.0,30238000.0,30238000.0,30238000.0,0.0,0.0,0.092,77572000.0,54193000.0,127687000.0,0.0,8.769,25.761,25.648,229060000.0,0.0,34.625,2.265,2.287,83714000.0,205130000.0,327617000.0,327617000.0,0.0,,,,,0.0,77572000.0,1.0,81648569.0,82424000.0,84700000.0,3.975,689515000.0,13042000.0,18696000.0,22392000.0,8.365,161652000.0
85499,GNCI1,ART,1998-09-30,1998-11-13,1998-10-10,2021-09-19,-490000.0,1094947000.0,1020335000.0,425021000.0,669926000.0,1.31,1.143,-100208000.0,9407000.0,9407000.0,815845000.0,108696000.0,1.793,12.22,756892000.0,895000.0,755997000.0,756892000.0,0.0,51990000.0,0.0,0.0,0.0,202616000.0,254606000.0,0.19,254606000.0,202616000.0,175449000.0,1.38,1.34,1.38,82825000.0,262057750.0,82825000.0,1826290583.0,9.0,7.173,48103000.0,0.664,1.0,521225000.0,0.39,336335000.0,27167000.0,1269093000.0,952449750.0,312161000.0,25442000.0,0.0,25442000.0,1012122000.0,237004000.0,775118000.0,1078805583.0,0.0,-117519000.0,-323958000.0,407255000.0,0.0,85291000.0,-224055000.0,-6328000.0,148311000.0,-140000.0,108696000.0,108696000.0,108696000.0,0.0,0.0,0.081,318439000.0,202786000.0,126184000.0,0.0,13.025,9.925,11.458,263486000.0,0.0,15.812,0.807,0.857,76205000.0,95470000.0,1337070000.0,1337070000.0,0.0,0.107,0.415,0.213,0.152,3794000.0,311610000.0,1.0,68224859.0,72473000.0,73276000.0,18.449,758612000.0,12976000.0,66753000.0,13702000.0,10.468,188017000.0
85500,GNCI1,ART,1998-06-30,1998-08-21,1998-07-18,2021-09-19,-211000.0,1040444000.0,956704750.0,395927000.0,644517000.0,1.37,3.588,-91917000.0,0.0,0.0,795538000.0,114673000.0,1.685,2.56,466592000.0,967000.0,465625000.0,466592000.0,0.0,48597000.0,0.0,0.0,0.0,209218000.0,257815000.0,0.197,257815000.0,209218000.0,185419000.0,1.42,1.38,1.42,292292000.0,290712250.0,292292000.0,1918907787.0,9.0,7.443,50887000.0,0.625,1.0,514850000.0,0.393,329822000.0,23799000.0,942307000.0,815065500.0,286079000.0,24706000.0,0.0,24706000.0,748152000.0,234907000.0,513245000.0,1452315787.0,0.0,-115768000.0,-26898000.0,93702000.0,0.0,71629000.0,-214060000.0,-6375000.0,142804000.0,-373000.0,114673000.0,114673000.0,114673000.0,0.0,0.0,0.088,305518000.0,209332000.0,110347000.0,0.0,4.969,12.665,13.952,246757000.0,0.0,19.812,1.108,1.232,84035000.0,233112000.0,1310388000.0,1310388000.0,0.0,0.12,0.394,0.257,0.16,3794000.0,296805000.0,1.0,73303005.0,81474000.0,83219000.0,16.084,710622000.0,13177000.0,70746000.0,3065000.0,8.722,161020000.0
85501,GNCI1,ART,1998-03-31,1998-06-09,1998-04-25,2021-09-19,-369000.0,1012011000.0,897282250.0,398834000.0,613177000.0,1.391,3.912,-76054000.0,0.0,0.0,755488000.0,109744000.0,1.682,2.139,378817000.0,979000.0,377838000.0,378817000.0,0.0,46081000.0,0.0,0.0,0.0,200984000.0,247065000.0,0.198,247065000.0,200984000.0,177916000.0,1.36,1.32,1.36,322402000.0,273260750.0,322402000.0,3085755576.0,15.0,12.49,54410000.0,0.66,1.0,492555000.0,0.395,322496000.0,23068000.0,831150000.0,771740500.0,278187000.0,23579000.0,0.0,23579000.0,689609000.0,237182000.0,452427000.0,2706938576.0,0.0,-106012000.0,24677000.0,22177000.0,0.0,54775000.0,-184626000.0,-2560000.0,130464000.0,-613000.0,109744000.0,109744000.0,109744000.0,0.0,0.0,0.088,291571000.0,200984000.0,127687000.0,0.0,8.396,24.666,24.081,229060000.0,0.0,32.75,2.169,2.163,83714000.0,205130000.0,1248043000.0,1248043000.0,0.0,0.122,0.402,0.26,0.161,4083000.0,280403000.0,1.0,82654613.0,82424000.0,84700000.0,15.142,689515000.0,13042000.0,68172000.0,22392000.0,8.365,161652000.0
85502,GNCI1,ARQ,1998-09-30,1998-11-13,1998-10-10,2021-09-19,-490000.0,1094947000.0,,425021000.0,669926000.0,,1.143,-26451000.0,9407000.0,9407000.0,190932000.0,17955000.0,1.793,12.22,756892000.0,895000.0,755997000.0,756892000.0,0.0,13444000.0,0.0,0.0,0.0,37681000.0,51125000.0,0.168,51125000.0,37681000.0,29004000.0,0.25,0.25,0.25,82825000.0,,82825000.0,1826290583.0,9.0,7.173,37396000.0,0.516,1.0,113720000.0,0.373,336335000.0,8677000.0,1269093000.0,,312161000.0,25442000.0,0.0,25442000.0,1012122000.0,237004000.0,775118000.0,1078805583.0,0.0,-11647000.0,-291881000.0,278253000.0,0.0,-14115000.0,-40046000.0,-1948000.0,63847000.0,-279000.0,17955000.0,17955000.0,17955000.0,0.0,0.0,0.059,76039000.0,37681000.0,126184000.0,0.0,13.025,9.925,11.458,263486000.0,0.0,15.812,0.807,0.857,76205000.0,95470000.0,304652000.0,304652000.0,0.0,,,,,0.0,76039000.0,1.0,68224859.0,72473000.0,73276000.0,4.204,758612000.0,12976000.0,11049000.0,13702000.0,10.468,188017000.0
