None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
85457,GNCN,MRY,1998-12-31,1998-12-31,1998-12-31,2021-07-06,252000.0,570989000.0,743720750.0,,,0.423,8.513,-4870000.0,15123000.0,15123000.0,228342000.0,-11936000.0,,7.37,13744000.0,,,13744000.0,110665000.0,4209000.0,0.0,0.0,0.0,-10665000.0,-6456000.0,-0.021,-6456000.0,-10665000.0,-10665000.0,-2.04,-2.04,-2.04,49725000.0,60522000.0,49725000.0,-181985540.0,17.0,28.189,11750000.0,2.012,1.0,86378000.0,0.274,46300000.0,0.0,523310000.0,502647000.0,0.0,242090000.0,,,366477000.0,,,60584460.0,42000.0,-1208000.0,-392000.0,-1601000.0,0.0,-1829000.0,-14749000.0,-1611000.0,16620000.0,0.0,-11936000.0,-11936000.0,-11936000.0,9421000.0,0.0,-0.038,84060000.0,2318000.0,12353000.0,0.0,1.218,-5.076,-5.086,19350000.0,0.0,10.375,0.193,0.193,141176000.0,27381000.0,314720000.0,314720000.0,0.0,-0.016,-0.197,-0.021,-0.034,0.0,82020000.0,1.0,5839466.0,5841000.0,5841000.0,53.881,524689000.0,18536000.0,1271000.0,0.0,89.829,
85458,GNCN,MRT,1998-12-31,1998-12-31,1998-12-31,2021-07-06,252000.0,570989000.0,743720750.0,,,0.423,8.513,-4870000.0,15123000.0,15123000.0,228342000.0,-11936000.0,,7.37,13744000.0,,,13744000.0,110665000.0,4209000.0,0.0,0.0,0.0,-10665000.0,-6456000.0,-0.021,-6456000.0,-10665000.0,-10665000.0,-2.04,-2.04,-2.04,49725000.0,60522000.0,49725000.0,-181985540.0,17.0,28.189,11750000.0,2.012,1.0,86378000.0,0.274,46300000.0,0.0,523310000.0,502647000.0,0.0,242090000.0,,,366477000.0,,,60584460.0,42000.0,-1208000.0,-392000.0,-1601000.0,0.0,-1829000.0,-14749000.0,-1611000.0,16620000.0,0.0,-11936000.0,-11936000.0,-11936000.0,9421000.0,0.0,-0.038,84060000.0,2318000.0,12353000.0,0.0,1.218,-5.076,-5.086,19350000.0,0.0,10.375,0.193,0.193,141176000.0,27381000.0,314720000.0,314720000.0,0.0,-0.016,-0.197,-0.021,-0.034,0.0,82020000.0,1.0,5839466.0,5841000.0,5841000.0,53.881,524689000.0,18536000.0,1271000.0,0.0,89.829,
85459,GNCN,MRT,1998-09-30,1998-09-30,1998-09-30,2021-07-06,208000.0,864415000.0,741185500.0,,,0.493,10.148,-9686000.0,256170000.0,256170000.0,270324000.0,-1189000.0,,13.588,13600000.0,,,13600000.0,146009000.0,2018000.0,0.0,0.0,0.0,3118000.0,5136000.0,0.014,5136000.0,3118000.0,2661000.0,-0.2,-0.26,-0.2,59257000.0,63173750.0,59257000.0,-143488165.0,-46.0,-27.938,-6367000.0,-1.09,1.0,94941000.0,0.26,45287000.0,457000.0,576558000.0,440655500.0,0.0,0.0,,,805158000.0,,,127555835.0,3559000.0,-4208000.0,761000.0,6963000.0,0.0,7381000.0,-7141000.0,5653000.0,3319000.0,0.0,-1189000.0,-1189000.0,-1189000.0,2871000.0,0.0,-0.003,81293000.0,13648000.0,185590000.0,0.0,2.153,-107.28,-109.219,18722000.0,0.0,21.844,0.349,0.349,273327000.0,37898000.0,365265000.0,365265000.0,0.0,-0.002,-0.019,0.007,0.009,0.0,79063000.0,1.0,5839466.0,5839466.0,,62.551,819128000.0,5185000.0,3850000.0,0.0,140.274,
85460,GNCN,MRT,1998-06-30,1998-06-30,1998-06-30,2021-07-06,-233000.0,831105000.0,,,,,11.888,-9689000.0,271079000.0,271079000.0,233478000.0,13167000.0,,11.036,35000.0,,,35000.0,230348000.0,1081000.0,0.0,0.0,0.0,27651000.0,28732000.0,0.082,28732000.0,27651000.0,26783000.0,2.3,2.19,2.3,69049000.0,,69049000.0,-116487447.0,-4.0,-4.054,11277000.0,1.941,1.0,115657000.0,0.331,42126000.0,868000.0,517935000.0,,0.0,0.0,,,762056000.0,,,156465553.0,-2011000.0,-61000000.0,739000.0,-45237000.0,0.0,84318000.0,-107295000.0,-37749000.0,20966000.0,0.0,13167000.0,13167000.0,13167000.0,3157000.0,0.0,0.038,71674000.0,43983000.0,182410000.0,0.0,2.266,11.883,11.712,17570000.0,0.0,26.938,0.448,0.448,365946000.0,48131000.0,349135000.0,349135000.0,0.0,,,,0.079,0.0,69749000.0,1.0,5808466.0,5808466.0,,60.108,788979000.0,1342000.0,13616000.0,0.0,135.833,
85461,GNCN,MRT,1998-03-31,1998-03-31,1998-03-31,2021-07-06,-395000.0,708374000.0,,,,,11.179,-7647000.0,275522000.0,275522000.0,221634000.0,11128000.0,,10.058,2569000.0,,,2569000.0,209967000.0,649000.0,0.0,0.0,0.0,24352000.0,25001000.0,0.077,25001000.0,24352000.0,22453000.0,1.97,1.85,1.97,64057000.0,,64057000.0,-82494272.0,-3.0,-3.3,18984000.0,3.313,1.0,103892000.0,0.319,42636000.0,1899000.0,392785000.0,,0.0,0.0,,,644317000.0,,,160447728.0,22638000.0,-61000000.0,894000.0,-45431000.0,0.0,86750000.0,-90743000.0,-22788000.0,26631000.0,0.0,11128000.0,11128000.0,11128000.0,3443000.0,0.0,0.034,65816000.0,38076000.0,128772000.0,0.0,2.505,14.418,14.213,14586000.0,0.0,28.0,0.493,0.493,279920000.0,43356000.0,325526000.0,325526000.0,0.0,,,,0.075,0.0,64237000.0,1.0,5730276.0,5730276.0,,56.808,665738000.0,2528000.0,11325000.0,0.0,116.179,
85462,GNCN,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-07-06,252000.0,570989000.0,,,,,8.513,2820000.0,15123000.0,15123000.0,9363000.0,-9995000.0,,7.37,13744000.0,,,13744000.0,110665000.0,999000.0,0.0,0.0,0.0,-11621000.0,-10622000.0,-0.504,-10622000.0,-11621000.0,-11260000.0,-1.71,-1.65,-1.71,49725000.0,,49725000.0,-181985540.0,17.0,28.189,11792000.0,2.019,1.0,11716000.0,0.556,46300000.0,-361000.0,523310000.0,,0.0,242090000.0,,,366477000.0,,,60584460.0,10051000.0,3000000.0,-758000.0,-11019000.0,0.0,-11613000.0,12692000.0,13932000.0,8972000.0,0.0,-9995000.0,-9995000.0,-9995000.0,9236000.0,0.0,-0.474,15976000.0,-4260000.0,12353000.0,0.0,1.218,-5.076,-5.086,19350000.0,0.0,10.375,0.193,0.193,141176000.0,27381000.0,21079000.0,21079000.0,0.0,,,,,0.0,15655000.0,1.0,5839466.0,5841000.0,,3.609,524689000.0,18536000.0,-1265000.0,0.0,89.829,
85463,GNCN,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-07-06,208000.0,864415000.0,,,,,10.148,-1145000.0,256170000.0,256170000.0,92490000.0,-10233000.0,,13.588,13600000.0,,,13600000.0,146009000.0,776000.0,0.0,0.0,0.0,-16006000.0,-15230000.0,-0.149,-15230000.0,-16006000.0,-16135000.0,-1.76,-1.76,-1.76,59257000.0,,59257000.0,-143488165.0,-46.0,-27.938,-26242000.0,-4.494,1.0,9917000.0,0.097,45287000.0,129000.0,576558000.0,,0.0,0.0,,,805158000.0,,,127555835.0,-9750000.0,-4208000.0,0.0,13565000.0,0.0,14676000.0,671000.0,6024000.0,-25097000.0,0.0,-10233000.0,-10233000.0,-10233000.0,0.0,0.0,-0.1,28166000.0,-18249000.0,185590000.0,0.0,2.153,-107.28,-109.219,18722000.0,0.0,21.844,0.349,0.349,273327000.0,37898000.0,102407000.0,102407000.0,0.0,,,,,0.0,27468000.0,1.0,5839466.0,5839466.0,,17.537,819128000.0,5185000.0,-5902000.0,0.0,140.274,
85464,GNCN,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-07-06,-233000.0,831105000.0,,,,,11.888,-3676000.0,271079000.0,271079000.0,71187000.0,4775000.0,,11.036,35000.0,,,35000.0,230348000.0,1267000.0,0.0,0.0,0.0,9239000.0,10506000.0,0.096,10506000.0,9239000.0,9190000.0,0.82,0.78,0.82,69049000.0,,69049000.0,-116487447.0,-4.0,-4.054,-2574000.0,-0.443,1.0,37898000.0,0.347,42126000.0,49000.0,517935000.0,,0.0,0.0,,,762056000.0,,,156465553.0,-18412000.0,0.0,55000.0,-2534000.0,0.0,-4950000.0,-14564000.0,-11238000.0,1102000.0,0.0,4775000.0,4775000.0,4775000.0,0.0,0.0,0.044,24754000.0,13144000.0,182410000.0,0.0,2.266,11.883,11.712,17570000.0,0.0,26.938,0.448,0.448,365946000.0,48131000.0,109085000.0,109085000.0,0.0,,,,,0.0,24244000.0,1.0,5808466.0,5808466.0,,18.78,788979000.0,1342000.0,4415000.0,0.0,135.833,
85465,GNCN,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-07-06,-395000.0,708374000.0,,,,,11.179,-2869000.0,275522000.0,275522000.0,55302000.0,3517000.0,,10.058,2569000.0,,,2569000.0,209967000.0,1167000.0,0.0,0.0,0.0,7723000.0,8890000.0,0.108,8890000.0,7723000.0,7540000.0,0.61,0.59,0.61,64057000.0,,64057000.0,-82494272.0,-3.0,-3.3,28774000.0,5.021,1.0,26847000.0,0.327,42636000.0,183000.0,392785000.0,,0.0,0.0,,,644317000.0,,,160447728.0,18153000.0,0.0,311000.0,-1613000.0,0.0,58000.0,-13548000.0,-10329000.0,31643000.0,0.0,3517000.0,3517000.0,3517000.0,185000.0,0.0,0.043,15164000.0,11683000.0,128772000.0,0.0,2.505,14.418,14.213,14586000.0,0.0,28.0,0.493,0.493,279920000.0,43356000.0,82149000.0,82149000.0,0.0,,,,,0.0,14653000.0,1.0,5730276.0,5730276.0,,14.336,665738000.0,2528000.0,4023000.0,0.0,116.179,
85466,GNCN,ARY,1998-12-31,1999-04-15,1998-12-31,2021-07-06,0.0,570989000.0,743720750.0,,,0.511,8.462,-9348000.0,253718000.0,253718000.0,280892000.0,-11936000.0,,10.483,13744000.0,,,13744000.0,110665000.0,0.0,0.0,0.0,0.0,-13811000.0,-13811000.0,-0.036,-13811000.0,-13811000.0,-13974000.0,-2.04,-2.04,-2.04,49725000.0,60522000.0,49725000.0,-190391892.0,14.0,13.786,1337000.0,0.228,1.0,98993000.0,0.261,46300000.0,163000.0,284715000.0,442998250.0,0.0,0.0,,,521264000.0,,,49582108.0,6202000.0,-4208000.0,-392000.0,7855000.0,0.0,5863000.0,-10346000.0,3210000.0,10685000.0,0.0,-11936000.0,-11936000.0,-11936000.0,2937000.0,0.0,-0.031,106305000.0,-7312000.0,34636000.0,0.0,0.997,-4.154,-4.136,19350000.0,0.0,8.438,0.131,0.131,225267000.0,,379885000.0,379885000.0,0.0,-0.016,-0.197,-0.031,-0.036,0.0,103926000.0,1.0,5876398.0,5876398.0,,64.646,524689000.0,18536000.0,-2038000.0,0.0,89.288,
