None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
83008,HAMPQ,MRY,1998-12-31,1998-12-31,1998-12-31,2020-10-13,-188000.0,100848000.0,105276000.0,66223000.0,34625000.0,1.607,7.68,-11065000.0,13886000.0,13886000.0,133769000.0,5013000.0,4.433,0.591,22559000.0,1782000.0,20777000.0,22559000.0,0.0,4397000.0,0.0,0.0,0.0,7986000.0,12383000.0,0.073,12383000.0,7986000.0,6290000.0,0.605,0.565,0.605,63403000.0,57965500.0,63403000.0,113589568.0,14.0,9.173,-11973000.0,-1.45,1.0,35426000.0,0.209,3390000.0,1696000.0,91191000.0,99798750.0,20789000.0,6874000.0,549000.0,6325000.0,37445000.0,14940000.0,22505000.0,55116568.0,-908000.0,-828000.0,0.0,0.0,0.0,0.0,-11777000.0,116000.0,-908000.0,0.0,5013000.0,5013000.0,5013000.0,714000.0,0.0,0.03,24972000.0,10454000.0,5772000.0,0.0,0.869,10.995,10.95,22356000.0,0.0,6.625,0.326,0.323,25622000.0,35459000.0,169195000.0,169195000.0,0.0,0.048,0.086,0.08,0.047,227000.0,24971000.0,1.0,8319482.0,8256000.0,8886000.0,20.494,97458000.0,6422000.0,1277000.0,0.0,11.805,51283000.0
83009,HAMPQ,MRT,1998-12-31,1998-12-31,1998-12-31,2020-10-13,-188000.0,100848000.0,105276000.0,66223000.0,34625000.0,1.607,7.68,-11065000.0,13886000.0,13886000.0,133769000.0,5013000.0,4.433,0.591,22559000.0,1782000.0,20777000.0,22559000.0,0.0,4397000.0,0.0,0.0,0.0,7986000.0,12383000.0,0.073,12383000.0,7986000.0,6290000.0,0.605,0.565,0.605,63403000.0,57965500.0,63403000.0,113589568.0,14.0,9.173,-11973000.0,-1.45,1.0,35426000.0,0.209,3390000.0,1696000.0,91191000.0,99798750.0,20789000.0,6874000.0,549000.0,6325000.0,37445000.0,14940000.0,22505000.0,55116568.0,-908000.0,-828000.0,0.0,0.0,0.0,0.0,-11777000.0,116000.0,-908000.0,0.0,5013000.0,5013000.0,5013000.0,714000.0,0.0,0.03,24972000.0,10454000.0,5772000.0,0.0,0.869,10.995,10.95,22356000.0,0.0,6.625,0.326,0.323,25622000.0,35459000.0,169195000.0,169195000.0,0.0,0.048,0.086,0.08,0.047,227000.0,24971000.0,1.0,8319482.0,8256000.0,8886000.0,20.494,97458000.0,6422000.0,1277000.0,0.0,11.805,51283000.0
83010,HAMPQ,MRT,1998-09-30,1998-09-26,1998-09-26,2020-10-13,-203000.0,134394000.0,100210250.0,101087000.0,33307000.0,1.336,6.786,-14663000.0,878000.0,878000.0,103668000.0,3096000.0,1.814,1.393,59101000.0,37891000.0,21210000.0,59101000.0,0.0,3844000.0,0.0,0.0,0.0,5846000.0,9690000.0,0.072,9690000.0,5846000.0,4818000.0,0.415,,0.415,56163000.0,56542250.0,56163000.0,108059024.0,18.0,11.152,-27892000.0,-3.37,1.0,30242000.0,0.226,3069000.0,1028000.0,133809000.0,91778000.0,49856000.0,6749000.0,888000.0,5861000.0,78231000.0,55739000.0,22492000.0,75485024.0,15880000.0,138000.0,-134000.0,50158000.0,0.0,50024000.0,-15351000.0,-826000.0,-13229000.0,0.0,3096000.0,3057000.0,3057000.0,366000.0,0.0,0.023,24435000.0,5807000.0,7722000.0,0.0,1.344,24.693,21.837,21901000.0,39000.0,9.063,0.564,0.56,45446000.0,29372000.0,133910000.0,133910000.0,0.0,0.031,0.054,0.064,0.044,100000.0,21935000.0,1.0,8329382.0,8276000.0,,16.181,131325000.0,5591000.0,1722000.0,0.0,15.868,45348000.0
83011,HAMPQ,MRT,1998-06-30,1998-06-27,1998-06-27,2020-10-13,-47000.0,105428000.0,91608000.0,72467000.0,32961000.0,1.538,6.738,-13887000.0,438000.0,438000.0,108240000.0,7544000.0,2.5,0.891,33012000.0,13696000.0,19316000.0,33012000.0,0.0,3728000.0,0.0,0.0,0.0,10548000.0,14276000.0,0.101,14276000.0,10548000.0,9782000.0,0.985,,0.985,55750000.0,55090000.0,55750000.0,93350288.0,9.0,6.539,-12543000.0,-1.516,1.0,32645000.0,0.232,3212000.0,766000.0,105802000.0,79797500.0,47157000.0,7332000.0,1011000.0,6321000.0,49678000.0,28988000.0,20690000.0,84796288.0,15494000.0,138000.0,-196000.0,35724000.0,0.0,34444000.0,-14730000.0,-981000.0,1344000.0,0.0,7544000.0,7463000.0,7463000.0,325000.0,0.0,0.053,22207000.0,10438000.0,8282000.0,0.0,1.521,11.362,10.343,20952000.0,81000.0,10.188,0.602,0.598,19724000.0,28710000.0,140885000.0,140885000.0,0.0,0.081,0.135,0.132,0.075,100000.0,22207000.0,1.0,8323562.0,8274000.0,,17.027,102216000.0,5499000.0,2238000.0,0.0,12.354,43479000.0
83012,HAMPQ,MRT,1998-03-31,1998-03-28,1998-03-28,2020-10-13,-13000.0,80434000.0,85645750.0,49846000.0,30588000.0,1.623,6.887,-13413000.0,1091000.0,1091000.0,106480000.0,8109000.0,2.881,0.422,9645000.0,4258000.0,5387000.0,9645000.0,0.0,3598000.0,0.0,0.0,0.0,11122000.0,14720000.0,0.106,14720000.0,11122000.0,10436000.0,1.045,,1.045,56546000.0,52736500.0,56546000.0,76340517.0,7.0,5.186,-7206000.0,-0.878,1.0,32528000.0,0.234,3292000.0,686000.0,68393000.0,70857250.0,28800000.0,6022000.0,1130000.0,4892000.0,23888000.0,17303000.0,6585000.0,78723517.0,5726000.0,138000.0,-337000.0,20912000.0,0.0,19491000.0,-14408000.0,-1133000.0,6207000.0,0.0,8109000.0,7986000.0,7986000.0,193000.0,0.0,0.057,21583000.0,10945000.0,6288000.0,0.0,1.392,9.858,9.091,20011000.0,123000.0,9.5,0.566,0.561,14851000.0,29710000.0,139008000.0,139008000.0,0.0,0.093,0.151,0.157,0.08,100000.0,21583000.0,1.0,8286686.0,8210000.0,,16.932,77142000.0,5479000.0,2327000.0,0.0,9.396,32543000.0
83013,HAMPQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2020-10-13,-188000.0,100848000.0,,66223000.0,34625000.0,,7.674,-1002000.0,13886000.0,13886000.0,54576000.0,6308000.0,4.433,0.591,22559000.0,1782000.0,20777000.0,22559000.0,0.0,1173000.0,0.0,0.0,0.0,7663000.0,8836000.0,0.126,8836000.0,7663000.0,7169000.0,0.705,0.665,0.705,63403000.0,,63403000.0,113589568.0,14.0,9.173,48797000.0,5.906,1.0,15468000.0,0.221,3390000.0,494000.0,91191000.0,,20789000.0,6874000.0,549000.0,6325000.0,37445000.0,14940000.0,22505000.0,55116568.0,10217000.0,-828000.0,0.0,0.0,0.0,0.0,-1335000.0,495000.0,49799000.0,0.0,6308000.0,6308000.0,6308000.0,261000.0,0.0,0.09,5317000.0,10151000.0,5772000.0,0.0,0.869,10.995,10.95,22356000.0,0.0,6.625,0.326,0.323,25622000.0,35459000.0,70044000.0,70044000.0,0.0,,,,,227000.0,7816000.0,1.0,8319482.0,8262000.0,8886000.0,8.478,97458000.0,6422000.0,861000.0,0.0,11.796,51283000.0
83014,HAMPQ,MRQ,1998-09-30,1998-09-26,1998-09-26,2020-10-13,-203000.0,134394000.0,,101087000.0,33307000.0,,6.786,-3902000.0,878000.0,878000.0,42667000.0,663000.0,1.814,1.393,59101000.0,37891000.0,21210000.0,59101000.0,0.0,1134000.0,0.0,0.0,0.0,2240000.0,3374000.0,0.062,3374000.0,2240000.0,1412000.0,0.085,0.08,0.085,56163000.0,,56163000.0,108059024.0,18.0,11.152,-25904000.0,-3.13,1.0,11372000.0,0.21,3069000.0,828000.0,133809000.0,,49856000.0,6749000.0,888000.0,5861000.0,78231000.0,55739000.0,22492000.0,75485024.0,440000.0,0.0,-92000.0,26430000.0,0.0,26338000.0,-3896000.0,6000.0,-22002000.0,0.0,663000.0,663000.0,663000.0,41000.0,0.0,0.012,9192000.0,2180000.0,7722000.0,0.0,1.344,24.693,21.837,21901000.0,0.0,9.063,0.564,0.56,45446000.0,29372000.0,54039000.0,54039000.0,0.0,,,,,0.0,6692000.0,1.0,8329382.0,8276000.0,8932000.0,6.53,131325000.0,5591000.0,749000.0,0.0,15.868,45348000.0
83015,HAMPQ,MRQ,1998-06-30,1998-06-27,1998-06-27,2020-10-13,-47000.0,105428000.0,,72467000.0,32961000.0,,6.738,-3273000.0,438000.0,438000.0,18852000.0,-800000.0,2.5,0.891,33012000.0,13696000.0,19316000.0,33012000.0,0.0,1077000.0,0.0,0.0,0.0,-657000.0,420000.0,0.018,420000.0,-657000.0,-947000.0,-0.095,,-0.095,55750000.0,,55750000.0,93350288.0,9.0,6.539,-24119000.0,-2.915,1.0,4491000.0,0.192,3212000.0,290000.0,105802000.0,,47157000.0,7332000.0,1011000.0,6321000.0,49678000.0,28988000.0,20690000.0,84796288.0,-653000.0,0.0,35000.0,23536000.0,0.0,23571000.0,-3378000.0,-105000.0,-20846000.0,0.0,-800000.0,-800000.0,-800000.0,132000.0,0.0,-0.034,5253000.0,-762000.0,8282000.0,0.0,1.521,11.362,10.343,20952000.0,0.0,10.188,0.602,0.598,19724000.0,28710000.0,23343000.0,23343000.0,0.0,,,,,0.0,5253000.0,1.0,8323562.0,8274000.0,,2.821,102216000.0,5499000.0,-147000.0,0.0,12.354,43479000.0
83016,HAMPQ,MRQ,1998-03-31,1998-03-28,1998-03-28,2020-10-13,-13000.0,80434000.0,,49846000.0,30588000.0,,6.887,-2888000.0,1091000.0,1091000.0,17674000.0,-1158000.0,2.881,0.422,9645000.0,4258000.0,5387000.0,9645000.0,0.0,1013000.0,0.0,0.0,0.0,-1260000.0,-247000.0,-0.011,-247000.0,-1260000.0,-1344000.0,-0.14,,-0.14,56546000.0,,56546000.0,76340517.0,7.0,5.186,-10747000.0,-1.309,1.0,4095000.0,0.188,3292000.0,84000.0,68393000.0,,28800000.0,6022000.0,1130000.0,4892000.0,23888000.0,17303000.0,6585000.0,78723517.0,-10912000.0,0.0,-77000.0,192000.0,0.0,115000.0,-3168000.0,-280000.0,-7859000.0,0.0,-1158000.0,-1158000.0,-1158000.0,280000.0,0.0,-0.053,5210000.0,-1115000.0,6288000.0,0.0,1.392,9.858,9.091,20011000.0,0.0,9.5,0.566,0.561,14851000.0,29710000.0,21769000.0,21769000.0,0.0,,,,,0.0,5210000.0,1.0,8286686.0,8210000.0,,2.652,77142000.0,5479000.0,-186000.0,0.0,9.396,32543000.0
83017,HAMPQ,ARY,1998-12-31,1999-03-31,1998-12-31,2020-10-13,-188000.0,100848000.0,105276000.0,66223000.0,34625000.0,1.607,7.68,-11640000.0,13886000.0,13886000.0,133769000.0,5013000.0,4.433,0.591,22559000.0,1782000.0,20777000.0,22559000.0,0.0,4397000.0,0.0,0.0,0.0,7986000.0,12383000.0,0.073,12383000.0,7986000.0,6290000.0,0.695,0.565,0.695,63403000.0,57965500.0,63403000.0,42338968.0,5.0,3.419,-12373000.0,-1.499,1.0,35426000.0,0.209,3390000.0,1696000.0,91191000.0,99861250.0,20789000.0,6874000.0,549000.0,6325000.0,37445000.0,14940000.0,22505000.0,33665968.0,1883000.0,-265000.0,671000.0,14472000.0,0.0,15143000.0,-12527000.0,-622000.0,-733000.0,0.0,5013000.0,5013000.0,5013000.0,214000.0,0.0,0.03,27471000.0,7955000.0,5772000.0,0.0,0.531,6.716,5.755,22356000.0,0.0,4.0,0.199,0.195,25622000.0,35459000.0,169195000.0,169195000.0,0.0,0.048,0.086,0.08,0.047,227000.0,24971000.0,1.0,8416492.0,8256000.0,8886000.0,20.494,97458000.0,6422000.0,1277000.0,0.0,11.805,51283000.0
