None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
82430,HCBB,MRY,1998-12-31,1998-06-30,1998-06-30,2019-07-16,53907.0,250953770.0,219342341.0,,,0.031,15.304,-1074823.0,6604398.0,6604398.0,0.0,385113.0,,5.66,68650310.0,,,68650310.0,0.0,530983.0,141931330.0,0.0,0.0,364408.0,895391.0,0.132,895391.0,364408.0,364408.0,0.16,0.16,0.16,37678924.0,38023954.0,37678924.0,72653946.0,199.0,81.142,6320103.0,2.567,1.0,6772384.0,1.0,431250.0,0.0,312568432.0,232151505.0,0.0,235005238.0,,,213274846.0,,,39675000.0,-15509427.0,0.0,0.0,58041170.0,-529000.0,49067577.0,-71971930.0,-70968239.0,7394926.0,0.0,385113.0,385113.0,385113.0,0.0,0.0,0.057,6257620.0,514764.0,0.0,0.0,1.053,103.022,93.75,6062957.0,0.0,15.0,5.858,5.453,0.0,14008665.0,6772384.0,6772384.0,0.0,0.002,0.01,0.002,0.054,695271.0,4270203.0,1.0,2645000.0,2462084.0,2462084.0,2.751,250522520.0,0.0,-20705.0,0.0,101.752,
82431,HCBB,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-16,224229.0,278864762.0,255911231.0,,,0.028,15.285,-308131.0,8923756.0,8923756.0,0.0,238673.0,,6.638,98455578.0,,,98455578.0,0.0,576281.0,142165710.0,0.006,0.06,64381.0,640662.0,0.091,640662.0,64381.0,64381.0,0.11,0.11,0.11,36508898.0,37517910.0,36508898.0,23754718.0,369.0,37.078,5631629.0,2.358,1.0,7073654.0,1.0,393750.0,0.0,368002834.0,313798468.0,0.0,260222974.0,,,242355864.0,,,27111250.0,-7356215.0,0.0,-58750.0,81790640.0,-714150.0,73057876.0,-86353851.0,-86261240.0,5939760.0,0.0,238673.0,238673.0,238673.0,0.0,0.0,0.034,6858917.0,214737.0,0.0,0.545,0.743,113.592,93.182,6260692.0,0.0,10.25,3.833,3.461,0.0,14014104.0,7073654.0,7073654.0,0.0,0.001,0.006,0.0,0.009,833130.0,4577423.0,1.0,2645000.0,2388538.0,2388538.0,2.961,278471012.0,0.0,-174292.0,0.0,116.586,
82432,HCBB,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-16,679948.0,272193480.0,237431149.0,,,0.029,15.391,-358707.0,7728384.0,7728384.0,0.0,367166.0,,6.19,92743629.0,,,92743629.0,0.0,539188.0,139921008.0,0.0,0.0,324228.0,863416.0,0.125,863416.0,324228.0,324228.0,0.16,0.16,0.16,37855486.0,37937722.0,37855486.0,26069093.0,80.0,30.193,6438224.0,2.618,1.0,6911540.0,1.0,412500.0,0.0,356796225.0,273158679.0,0.0,255475940.0,,,234337994.0,,,29425625.0,-10500736.0,0.0,0.0,82147185.0,-687700.0,72045937.0,-89343604.0,-89191928.0,6796931.0,0.0,367166.0,367166.0,367166.0,0.0,0.0,0.053,6436956.0,474584.0,0.0,0.0,0.777,80.143,69.531,6272709.0,0.0,11.125,4.257,3.959,0.0,14160145.0,6911540.0,6911540.0,0.0,0.002,0.01,0.001,0.047,771713.0,4367529.0,1.0,2645000.0,2459585.0,2459585.0,2.81,271780980.0,0.0,-42938.0,0.0,110.499,
82433,HCBB,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-16,53907.0,250953770.0,219342341.0,,,0.031,15.304,-1074823.0,6604398.0,6604398.0,0.0,385113.0,,5.66,68650310.0,,,68650310.0,0.0,530983.0,141931330.0,0.0,0.0,364408.0,895391.0,0.132,895391.0,364408.0,364408.0,0.16,0.16,0.16,37678924.0,38023954.0,37678924.0,72653946.0,199.0,81.142,6320103.0,2.567,1.0,6772384.0,1.0,431250.0,0.0,312568432.0,232151505.0,0.0,235005238.0,,,213274846.0,,,39675000.0,-15509427.0,0.0,0.0,58041170.0,-529000.0,49067577.0,-71971930.0,-70968239.0,7394926.0,0.0,385113.0,385113.0,385113.0,0.0,0.0,0.057,6257620.0,514764.0,0.0,0.0,1.053,103.022,93.75,6062957.0,0.0,15.0,5.858,5.453,0.0,14008665.0,6772384.0,6772384.0,0.0,0.002,0.01,0.002,0.054,695271.0,4270203.0,1.0,2645000.0,2462084.0,2462084.0,2.751,250522520.0,0.0,-20705.0,0.0,101.752,
82434,HCBB,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-16,63683.0,221632911.0,206728528.0,,,0.032,15.422,-2246211.0,7426829.0,7426829.0,0.0,304739.0,,4.828,4070297.0,,,4070297.0,0.0,397123.0,140998609.0,0.0,0.0,512060.0,909183.0,0.138,909183.0,512060.0,512060.0,,,,38028333.0,38086936.0,38028333.0,34926750.0,68.0,38.416,-415617.0,-0.169,1.0,6568305.0,1.0,450000.0,0.0,217826379.0,199099549.0,0.0,205888256.0,,,183604578.0,,,39013750.0,-2308775.0,0.0,25640162.0,29817096.0,-264500.0,41273442.0,-45412811.0,-43030754.0,1830594.0,0.0,304739.0,304739.0,304739.0,0.0,0.0,0.046,6094521.0,473784.0,0.0,,1.026,128.023,,3387354.0,0.0,14.75,5.94,5.537,0.0,14022093.0,6568305.0,6568305.0,0.0,0.001,0.008,0.003,0.078,161810.0,3928473.0,1.0,2645000.0,2465803.0,,2.664,221182911.0,0.0,207321.0,0.0,89.7,
82435,HCBB,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-16,224229.0,278864762.0,,,,,15.285,-244239.0,8923756.0,8923756.0,0.0,12655.0,,6.638,98455578.0,,,98455578.0,0.0,158783.0,142165710.0,0.006,0.06,-45413.0,113370.0,0.061,113370.0,-45413.0,-45413.0,0.01,0.01,0.01,36508898.0,,36508898.0,23754718.0,369.0,37.078,-2253318.0,-0.943,1.0,1843686.0,1.0,393750.0,0.0,368002834.0,,0.0,260222974.0,,,242355864.0,,,27111250.0,1711372.0,0.0,-58750.0,5711949.0,-158700.0,6951252.0,-3230801.0,-3105269.0,-2009079.0,0.0,12655.0,12655.0,12655.0,0.0,0.0,0.007,1889099.0,-45413.0,0.0,6.0,0.743,113.592,93.182,6260692.0,0.0,10.25,3.833,3.461,0.0,14014104.0,1843686.0,1843686.0,0.0,,,,,101870.0,1310035.0,1.0,2645000.0,2388538.0,2388538.0,0.772,278471012.0,0.0,-58068.0,0.0,116.586,
82436,HCBB,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-16,679948.0,272193480.0,,,,,15.391,-217813.0,7728384.0,7728384.0,0.0,310182.0,,6.19,92743629.0,,,92743629.0,0.0,114718.0,139921008.0,0.0,0.0,460367.0,575085.0,0.308,575085.0,460367.0,460367.0,0.13,0.13,0.13,37855486.0,,37855486.0,26069093.0,80.0,30.193,591150.0,0.24,1.0,1866696.0,1.0,412500.0,0.0,356796225.0,,0.0,255475940.0,,,234337994.0,,,29425625.0,1639986.0,0.0,0.0,24093319.0,-158700.0,20360044.0,-19529021.0,-19327208.0,808963.0,0.0,310182.0,310182.0,310182.0,0.0,0.0,0.166,1406329.0,460367.0,0.0,0.0,0.777,80.143,69.531,6272709.0,0.0,11.125,4.257,3.959,0.0,14160145.0,1866696.0,1866696.0,0.0,,,,,116895.0,1133223.0,1.0,2645000.0,2459585.0,2459585.0,0.759,271780980.0,0.0,150185.0,0.0,110.499,
82437,HCBB,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-16,53907.0,250953770.0,,,,,15.235,-90813.0,6604398.0,6604398.0,0.0,-106420.0,,5.66,68650310.0,,,68650310.0,0.0,238765.0,141931330.0,0.0,0.0,-353481.0,-114716.0,-0.073,-114716.0,-353481.0,-353481.0,-0.04,-0.04,-0.04,37678924.0,,37678924.0,72653946.0,199.0,81.142,6642902.0,2.686,1.0,1574468.0,1.0,431250.0,0.0,312568432.0,,0.0,235005238.0,,,213274846.0,,,39675000.0,-3604431.0,0.0,0.0,27927375.0,-264500.0,29412264.0,-39750410.0,-40058160.0,6733715.0,0.0,-106420.0,-106420.0,-106420.0,0.0,0.0,-0.068,1777593.0,-203125.0,0.0,0.0,1.053,103.022,93.75,6062957.0,0.0,15.0,5.858,5.453,0.0,14008665.0,1574468.0,1574468.0,0.0,,,,,695271.0,1102858.0,1.0,2645000.0,2473241.0,2473241.0,0.637,250522520.0,0.0,-247061.0,0.0,101.293,
82438,HCBB,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-16,63683.0,221632911.0,,,,,15.422,244734.0,7426829.0,7426829.0,0.0,22256.0,,4.828,4070297.0,,,4070297.0,0.0,64015.0,140998609.0,0.0,0.0,2908.0,66923.0,0.037,66923.0,2908.0,2908.0,0.01,0.01,0.01,38028333.0,,38028333.0,34926750.0,68.0,38.416,650895.0,0.264,1.0,1788804.0,1.0,450000.0,0.0,217826379.0,,0.0,205888256.0,,,183604578.0,,,39013750.0,-7103142.0,0.0,0.0,24057997.0,-132250.0,16334316.0,-23843619.0,-23770603.0,406161.0,0.0,22256.0,22256.0,22256.0,0.0,0.0,0.012,1785896.0,2908.0,0.0,0.0,1.026,128.023,,3387354.0,0.0,14.75,5.94,5.537,0.0,14022093.0,1788804.0,1788804.0,0.0,,,,,-80906.0,1031307.0,1.0,2645000.0,2465803.0,2465803.0,0.725,221182911.0,0.0,-19348.0,0.0,89.7,
82439,HCBB,ARY,1998-12-31,1999-03-04,1998-06-30,2019-07-16,53907.0,250953770.0,,,,,14.272,-1074823.0,6604398.0,6604398.0,0.0,385113.0,,5.66,68650310.0,,,68650310.0,0.0,530983.0,141931330.0,0.006,0.06,364408.0,895391.0,0.13,895391.0,364408.0,364408.0,0.16,0.16,0.16,37678924.0,,37678924.0,86795912.0,238.0,96.936,1367142.0,0.518,1.0,6862453.0,1.0,431250.0,0.0,312568432.0,,0.0,235005238.0,,,213274846.0,,,24750000.0,-15509427.0,0.0,0.0,58041170.0,-529000.0,49067577.0,-67018969.0,-66015278.0,2441965.0,0.0,385113.0,385113.0,385113.0,0.0,0.0,0.056,6347689.0,514764.0,0.0,0.375,0.657,64.267,58.594,6062957.0,0.0,9.375,3.607,3.607,0.0,14008665.0,6862453.0,6862453.0,0.0,,,,0.053,695271.0,4363565.0,1.0,2640000.0,2640000.0,,2.599,250522520.0,0.0,-20705.0,0.0,94.895,
