None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
80876,HLIT,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-07,10000.0,62424000.0,59386500.0,50384000.0,12040000.0,1.412,1.87,-4384000.0,9178000.0,9178000.0,53302000.0,-21453000.0,2.789,0.436,577000.0,177000.0,400000.0,577000.0,0.0,4283000.0,0.0,0.0,0.0,-21453000.0,-17170000.0,-0.205,-17170000.0,-21453000.0,-21453000.0,-0.92,-0.92,-0.92,43474000.0,43683250.0,43474000.0,211433194.0,-10.0,-12.314,-6409000.0,-0.276,1.0,30555000.0,0.364,1314000.0,0.0,34443000.0,32444250.0,22385000.0,0.0,0.0,0.0,18950000.0,18066000.0,884000.0,219266194.0,-4492000.0,-280000.0,1614000.0,577000.0,0.0,2191000.0,-4664000.0,0.0,-2025000.0,6000.0,-21453000.0,-21453000.0,-21453000.0,0.0,0.0,-0.256,52498000.0,-21943000.0,7534000.0,0.0,5.044,-10.221,-10.19,10726000.0,0.0,9.375,2.615,2.599,17646000.0,-27472000.0,83857000.0,83857000.0,13524000.0,-0.361,-0.491,-0.661,-0.256,0.0,24670000.0,1.0,23388394.0,23244000.0,23244000.0,3.608,61110000.0,0.0,0.0,151000.0,2.629,32318000.0
80877,HLIT,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-07,10000.0,62424000.0,59386500.0,50384000.0,12040000.0,1.412,1.87,-4384000.0,9178000.0,9178000.0,53302000.0,-21453000.0,2.789,0.436,577000.0,177000.0,400000.0,577000.0,0.0,4283000.0,0.0,0.0,0.0,-21453000.0,-17170000.0,-0.205,-17170000.0,-21453000.0,-21453000.0,-0.92,-0.92,-0.92,43474000.0,43683250.0,43474000.0,211433194.0,-10.0,-12.314,-6409000.0,-0.276,1.0,30555000.0,0.364,1314000.0,0.0,34443000.0,32444250.0,22385000.0,0.0,0.0,0.0,18950000.0,18066000.0,884000.0,219266194.0,-4492000.0,-280000.0,1614000.0,577000.0,0.0,2191000.0,-4664000.0,0.0,-2025000.0,6000.0,-21453000.0,-21453000.0,-21453000.0,0.0,0.0,-0.256,52498000.0,-21943000.0,7534000.0,0.0,5.044,-10.221,-10.19,10726000.0,0.0,9.375,2.615,2.599,17646000.0,-27472000.0,83857000.0,83857000.0,13524000.0,-0.361,-0.491,-0.661,-0.256,0.0,24670000.0,1.0,23388394.0,23244000.0,23244000.0,3.608,61110000.0,0.0,0.0,151000.0,2.629,32318000.0
80878,HLIT,MRT,1998-09-30,1998-10-02,1998-10-02,2021-08-07,-4000.0,59563000.0,58502250.0,47773000.0,11790000.0,1.267,1.83,-3857000.0,8215000.0,8215000.0,45945000.0,-21501000.0,2.919,0.394,382000.0,382000.0,0.0,382000.0,0.0,4235000.0,0.0,0.0,0.0,-22010000.0,-17775000.0,-0.24,-17775000.0,-22010000.0,-22010000.0,-0.935,-0.945,-0.935,42733000.0,45297500.0,42733000.0,115235588.0,-5.0,-6.483,-1291000.0,-0.055,1.0,28165000.0,0.38,1390000.0,0.0,33972000.0,32953250.0,20658000.0,0.0,0.0,0.0,16830000.0,16368000.0,462000.0,128320588.0,-1723000.0,-272000.0,1535000.0,-418000.0,0.0,1117000.0,-5429000.0,0.0,2566000.0,23000.0,-21501000.0,-21501000.0,-21501000.0,0.0,0.0,-0.29,50788000.0,-22623000.0,6392000.0,0.0,3.003,-5.968,-5.882,10400000.0,0.0,5.5,1.731,1.733,17343000.0,-28100000.0,74110000.0,74110000.0,13330000.0,-0.368,-0.475,-0.668,-0.297,0.0,23458000.0,1.0,23331016.0,23348000.0,23348000.0,3.174,58173000.0,0.0,-509000.0,0.0,2.492,31405000.0
80879,HLIT,MRT,1998-06-30,1998-07-03,1998-07-03,2021-08-07,25000.0,58884000.0,,46729000.0,12155000.0,,1.858,-4492000.0,13237000.0,13237000.0,41643000.0,-20257000.0,3.042,0.367,152000.0,152000.0,0.0,152000.0,0.0,4039000.0,0.0,0.0,0.0,-20693000.0,-16654000.0,-0.24,-16654000.0,-20693000.0,-20693000.0,-0.875,-0.885,-0.875,43079000.0,,43079000.0,152387404.0,-7.0,-9.15,2883000.0,0.124,1.0,27630000.0,0.399,1502000.0,0.0,28934000.0,,18700000.0,0.0,0.0,0.0,15805000.0,15363000.0,442000.0,164255404.0,2273000.0,-272000.0,1549000.0,-648000.0,0.0,901000.0,-6064000.0,0.0,7375000.0,61000.0,-20257000.0,-20257000.0,-20257000.0,0.0,0.0,-0.292,48849000.0,-21219000.0,6941000.0,0.0,3.813,-8.109,-8.143,10653000.0,0.0,7.125,2.371,2.384,13425000.0,-27269000.0,69273000.0,69273000.0,12675000.0,,,,-0.299,0.0,22174000.0,1.0,23053390.0,23182000.0,23182000.0,2.988,57382000.0,0.0,-436000.0,0.0,2.475,31366000.0
80880,HLIT,MRT,1998-03-31,1998-04-03,1998-04-03,2021-08-07,3000.0,56675000.0,,45034000.0,11641000.0,,1.98,-4062000.0,12483000.0,12483000.0,40909000.0,-15534000.0,4.167,0.247,615000.0,615000.0,0.0,615000.0,0.0,3758000.0,0.0,0.0,0.0,-15645000.0,-11887000.0,-0.166,-11887000.0,-15645000.0,-15645000.0,-0.66,-0.68,-0.66,45447000.0,,45447000.0,167505589.0,-11.0,-14.091,-1656000.0,-0.072,1.0,30704000.0,0.429,1571000.0,0.0,32428000.0,,16269000.0,0.0,0.0,0.0,11228000.0,10808000.0,420000.0,181175589.0,-2065000.0,-272000.0,1336000.0,-185000.0,0.0,1151000.0,-5634000.0,0.0,2406000.0,12000.0,-15534000.0,-15534000.0,-15534000.0,0.0,0.0,-0.217,46978000.0,-16274000.0,4981000.0,0.0,3.987,-11.663,-11.932,10070000.0,0.0,7.875,2.53,2.524,14397000.0,-24384000.0,71613000.0,71613000.0,12308000.0,,,,-0.218,0.0,20670000.0,1.0,23006424.0,22950000.0,22950000.0,3.12,55104000.0,0.0,-111000.0,0.0,2.401,34226000.0
80881,HLIT,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-07,10000.0,62424000.0,,50384000.0,12040000.0,,1.847,-1133000.0,9178000.0,9178000.0,16728000.0,628000.0,2.789,0.436,577000.0,177000.0,400000.0,577000.0,0.0,993000.0,0.0,0.0,0.0,628000.0,1621000.0,0.06,1621000.0,628000.0,628000.0,0.03,0.03,0.03,43474000.0,,43474000.0,211433194.0,-10.0,-12.314,-148000.0,-0.006,1.0,10369000.0,0.383,1314000.0,0.0,34443000.0,,22385000.0,0.0,0.0,0.0,18950000.0,18066000.0,884000.0,219266194.0,963000.0,-8000.0,127000.0,995000.0,0.0,1122000.0,-1141000.0,0.0,985000.0,-3000.0,628000.0,628000.0,628000.0,0.0,0.0,0.023,9786000.0,583000.0,7534000.0,0.0,5.044,-10.221,-10.19,10726000.0,0.0,9.375,2.615,2.599,17646000.0,-27472000.0,27097000.0,27097000.0,3351000.0,,,,,0.0,6131000.0,1.0,23388394.0,23538000.0,23538000.0,1.151,61110000.0,0.0,0.0,151000.0,2.596,32318000.0
80882,HLIT,MRQ,1998-09-30,1998-10-02,1998-10-02,2021-08-07,-4000.0,59563000.0,,47773000.0,11790000.0,,1.83,-841000.0,8215000.0,8215000.0,13948000.0,-831000.0,2.919,0.394,382000.0,382000.0,0.0,382000.0,0.0,1091000.0,0.0,0.0,0.0,-831000.0,260000.0,0.012,260000.0,-831000.0,-831000.0,-0.04,-0.04,-0.04,42733000.0,,42733000.0,115235588.0,-5.0,-6.483,-5757000.0,-0.247,1.0,8434000.0,0.377,1390000.0,0.0,33972000.0,,20658000.0,0.0,0.0,0.0,16830000.0,16368000.0,462000.0,128320588.0,-5022000.0,0.0,514000.0,230000.0,0.0,744000.0,-841000.0,0.0,-4916000.0,-9000.0,-831000.0,-831000.0,-831000.0,0.0,0.0,-0.037,9478000.0,-1044000.0,6392000.0,0.0,3.003,-5.968,-5.882,10400000.0,0.0,5.5,1.731,1.733,17343000.0,-28100000.0,22382000.0,22382000.0,3507000.0,,,,,0.0,5971000.0,1.0,23331016.0,23348000.0,23348000.0,0.959,58173000.0,0.0,0.0,0.0,2.492,31405000.0
80883,HLIT,MRQ,1998-06-30,1998-07-03,1998-07-03,2021-08-07,25000.0,58884000.0,,46729000.0,12155000.0,,1.858,-1649000.0,13237000.0,13237000.0,11512000.0,-2885000.0,3.042,0.367,152000.0,152000.0,0.0,152000.0,0.0,1119000.0,0.0,0.0,0.0,-2885000.0,-1766000.0,-0.097,-1766000.0,-2885000.0,-2885000.0,-0.125,-0.125,-0.125,43079000.0,,43079000.0,152387404.0,-7.0,-9.15,693000.0,0.03,1.0,6662000.0,0.367,1502000.0,0.0,28934000.0,,18700000.0,0.0,0.0,0.0,15805000.0,15363000.0,442000.0,164255404.0,754000.0,0.0,495000.0,-463000.0,0.0,32000.0,-1649000.0,0.0,2342000.0,29000.0,-2885000.0,-2885000.0,-2885000.0,0.0,0.0,-0.159,9591000.0,-2929000.0,6941000.0,0.0,3.813,-8.109,-8.143,10653000.0,0.0,7.125,2.371,2.384,13425000.0,-27269000.0,18174000.0,18174000.0,3243000.0,,,,,0.0,6348000.0,1.0,23053390.0,23182000.0,23182000.0,0.784,57382000.0,0.0,0.0,0.0,2.475,31366000.0
80884,HLIT,MRQ,1998-03-31,1998-04-03,1998-04-03,2021-08-07,3000.0,56675000.0,,45034000.0,11641000.0,,1.98,-761000.0,12483000.0,12483000.0,11114000.0,-18365000.0,4.167,0.247,615000.0,615000.0,0.0,615000.0,0.0,1080000.0,0.0,0.0,0.0,-18365000.0,-17285000.0,-1.067,-17285000.0,-18365000.0,-18365000.0,-0.8,-0.8,-0.8,45447000.0,,45447000.0,167505589.0,-11.0,-14.091,-1197000.0,-0.052,1.0,5090000.0,0.314,1571000.0,0.0,32428000.0,,16269000.0,0.0,0.0,0.0,11228000.0,10808000.0,420000.0,181175589.0,-1187000.0,-272000.0,478000.0,-185000.0,0.0,293000.0,-1033000.0,0.0,-436000.0,-11000.0,-18365000.0,-18365000.0,-18365000.0,0.0,0.0,-1.133,23643000.0,-18553000.0,4981000.0,0.0,3.987,-11.663,-11.932,10070000.0,0.0,7.875,2.53,2.524,14397000.0,-24384000.0,16204000.0,16204000.0,3423000.0,,,,,0.0,6220000.0,1.0,23006424.0,22950000.0,22950000.0,0.706,55104000.0,0.0,0.0,0.0,2.401,34226000.0
80885,HLIT,ARY,1998-12-31,1999-04-07,1998-12-31,2021-08-07,10000.0,62424000.0,59386500.0,50384000.0,12040000.0,1.412,1.87,-4384000.0,9178000.0,9178000.0,53302000.0,-21453000.0,2.789,0.436,577000.0,177000.0,400000.0,577000.0,0.0,4283000.0,0.0,0.0,0.0,-21453000.0,-17170000.0,-0.205,-17170000.0,-21453000.0,-21453000.0,-0.925,-0.925,-0.925,43474000.0,43683250.0,43474000.0,411897231.0,-19.0,-23.989,-6409000.0,-0.276,1.0,30555000.0,0.364,1314000.0,0.0,34443000.0,32444250.0,22385000.0,0.0,0.0,0.0,18950000.0,18066000.0,884000.0,420498231.0,-4492000.0,-280000.0,1614000.0,577000.0,0.0,2191000.0,-4664000.0,0.0,-2025000.0,6000.0,-21453000.0,-21453000.0,-21453000.0,0.0,0.0,-0.256,52498000.0,-21943000.0,7534000.0,0.0,9.672,-19.601,-18.989,10726000.0,0.0,17.565,5.014,4.869,17646000.0,-27472000.0,83857000.0,83857000.0,13524000.0,-0.361,-0.491,-0.661,-0.256,0.0,24974000.0,1.0,23939552.0,23244000.0,23244000.0,3.608,61110000.0,0.0,0.0,0.0,2.629,32318000.0
