None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
80502,HMP,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-11,0.0,104637113.0,61614724.0,44735250.0,59901863.0,0.639,3.4,-1845561.0,6232215.0,6232215.0,19932953.0,2048288.0,2.801,1.526,49806854.0,2733138.0,47073716.0,49806854.0,0.0,2275638.0,0.0,0.0,0.0,6932159.0,9207797.0,0.234,9207797.0,6932159.0,3828937.0,0.17,0.17,0.17,41430806.0,30757174.0,41430806.0,77137885.0,11.0,8.377,-2578931.0,-0.212,1.0,19466408.0,0.494,55494414.0,3103222.0,76748899.0,41255137.0,19358423.0,0.0,0.0,0.0,63206307.0,15968439.0,47237868.0,58477466.0,3338291.0,-36120798.0,39910795.0,4212658.0,0.0,42158686.0,-38087025.0,0.0,-733370.0,0.0,2048288.0,2048288.0,2048288.0,0.0,0.0,0.052,13597097.0,5869311.0,9775420.0,0.0,1.411,28.549,25.735,4043200.0,0.0,4.375,1.484,1.353,16925487.0,-9983132.0,39399361.0,39399361.0,0.0,0.033,0.067,0.168,0.176,748506.0,13597097.0,1.0,13366278.0,12187070.0,12412394.0,3.233,49142699.0,699316.0,1780649.0,1343473.0,4.032,28766811.0
80503,HMP,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-11,0.0,104637113.0,61614724.0,44735250.0,59901863.0,0.639,3.4,-1845561.0,6232215.0,6232215.0,19932953.0,2048288.0,2.801,1.526,49806854.0,2733138.0,47073716.0,49806854.0,0.0,2275638.0,0.0,0.0,0.0,6932159.0,9207797.0,0.234,9207797.0,6932159.0,3828937.0,0.17,0.17,0.17,41430806.0,30757174.0,41430806.0,77137885.0,11.0,8.377,-2578931.0,-0.212,1.0,19466408.0,0.494,55494414.0,3103222.0,76748899.0,41255137.0,19358423.0,0.0,0.0,0.0,63206307.0,15968439.0,47237868.0,58477466.0,3338291.0,-36120798.0,39910795.0,4212658.0,0.0,42158686.0,-38087025.0,0.0,-733370.0,0.0,2048288.0,2048288.0,2048288.0,0.0,0.0,0.052,13597097.0,5869311.0,9775420.0,0.0,1.411,28.549,25.735,4043200.0,0.0,4.375,1.484,1.353,16925487.0,-9983132.0,39399361.0,39399361.0,0.0,0.033,0.067,0.168,0.176,748506.0,13597097.0,1.0,13366278.0,12187070.0,12412394.0,3.233,49142699.0,699316.0,1780649.0,1343473.0,4.032,28766811.0
80504,HMP,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-11,0.0,65967941.0,43349672.0,20504408.0,45463533.0,0.648,3.084,-2212595.0,787336.0,787336.0,10982791.0,-3041138.0,3.713,0.6,19447755.0,397825.0,19049930.0,19447755.0,0.0,1054301.0,0.0,0.0,0.0,2971705.0,4026006.0,0.143,4026006.0,2971705.0,-1254633.0,-0.36,-0.36,-0.36,41228100.0,17612034.0,41228100.0,76275580.0,26.0,18.946,-1524581.0,-0.114,1.0,17127997.0,0.609,40792725.0,4226338.0,38313577.0,30261232.0,10886171.0,0.0,0.0,0.0,24739841.0,5522058.0,19217783.0,78526883.0,-1745982.0,-28412561.0,39949673.0,-11806986.0,0.0,28837667.0,-31271663.0,0.0,688014.0,0.0,-3041138.0,-3041138.0,-3041138.0,0.0,0.0,-0.108,10853334.0,6274663.0,2819107.0,0.0,1.905,-25.822,-16.319,3929330.0,0.0,5.875,2.793,2.793,7917622.0,-10251744.0,28110788.0,28110788.0,0.0,-0.07,-0.173,0.098,0.106,840506.0,10853334.0,1.0,13366278.0,13366278.0,13366278.0,2.103,25175216.0,824381.0,1786505.0,1236041.0,1.883,14982350.0
80505,HMP,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-11,0.0,44474094.0,,16224960.0,28249134.0,,3.247,-1940552.0,2829539.0,2829539.0,9503325.0,-7851018.0,4.715,0.093,578236.0,415618.0,162618.0,578236.0,0.0,1893554.0,0.0,0.0,0.0,-776563.0,1116991.0,0.044,1116991.0,-776563.0,-6641114.0,-0.85,-0.85,-0.85,40698888.0,,40698888.0,151247499.0,-195.0,135.406,960710.0,0.077,1.0,15704508.0,0.623,24547981.0,5864551.0,14233774.0,,6622947.0,0.0,0.0,0.0,3775206.0,3441036.0,334170.0,126144249.0,2829160.0,-28912561.0,40160328.0,-8884788.0,0.0,30888943.0,-30961045.0,0.0,2901262.0,0.0,-7851018.0,-7851018.0,-7851018.0,0.0,0.0,-0.311,9567319.0,6137189.0,1439949.0,0.0,3.099,-16.067,-11.103,3337056.0,0.0,9.438,5.004,4.693,5645593.0,-10991611.0,25207833.0,25207833.0,0.0,,,,-0.031,931506.0,9567319.0,1.0,13366278.0,12534467.0,12663129.0,2.011,19926113.0,824381.0,1209904.0,709878.0,1.59,12783924.0
80506,HMP,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-11,0.0,31379748.0,,12727103.0,18652645.0,,-0.035,-1134614.0,1758365.0,1758365.0,7993195.0,-8847312.0,2.325,-96.35,26861615.0,2265973.0,24595642.0,26861615.0,0.0,1603885.0,0.0,,0.0,-2580228.0,-976343.0,-0.047,-976343.0,-2580228.0,-8318127.0,-0.93,-0.93,-0.93,-329099.0,,-329099.0,,,,694709.0,0.074,1.0,12572363.0,0.611,15284066.0,5737899.0,35724298.0,,5313264.0,0.0,0.0,0.0,31708847.0,5474634.0,26234213.0,,1522758.0,-19500000.0,0.0,20732966.0,0.0,20339631.0,-20646196.0,0.0,1829323.0,0.0,-8847312.0,-8847312.0,-8847312.0,0.0,0.0,-0.43,8322253.0,4250110.0,1420861.0,0.0,,,,2496615.0,0.0,,,,4675909.0,-11859270.0,20565558.0,20565558.0,0.0,,,,-0.125,1022506.0,8322253.0,1.0,13366278.0,9424990.0,10205002.0,2.182,16095682.0,824381.0,529185.0,108145.0,1.708,7252469.0
80507,HMP,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-11,0.0,104637113.0,,44735250.0,59901863.0,,3.4,-467692.0,6232215.0,6232215.0,11414783.0,268612.0,2.801,1.526,49806854.0,2733138.0,47073716.0,49806854.0,0.0,829162.0,0.0,0.0,0.0,1414904.0,2244066.0,0.126,2244066.0,1414904.0,582587.0,0.02,0.02,0.02,41430806.0,,41430806.0,77137885.0,11.0,8.377,-615108.0,-0.05,1.0,6353245.0,0.358,55494414.0,832317.0,76748899.0,,19358423.0,0.0,0.0,0.0,63206307.0,15968439.0,47237868.0,58477466.0,5444879.0,-7708237.0,-38878.0,15246028.0,0.0,13242383.0,-7650088.0,0.0,-147416.0,0.0,268612.0,268612.0,268612.0,0.0,0.0,0.015,4951565.0,1401680.0,9775420.0,0.0,1.411,28.549,25.735,4043200.0,0.0,4.375,1.484,1.353,16925487.0,-9983132.0,17768028.0,17768028.0,0.0,,,,,0.0,4951565.0,1.0,13366278.0,12187070.0,12412394.0,1.458,49142699.0,699316.0,313975.0,1343473.0,4.032,28766811.0
80508,HMP,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-11,0.0,65967941.0,,20504408.0,45463533.0,,3.084,-296361.0,787336.0,787336.0,3484947.0,739867.0,3.713,0.6,19447755.0,397825.0,19049930.0,19447755.0,0.0,508627.0,0.0,0.0,0.0,1346054.0,1854681.0,0.23,1854681.0,1346054.0,1316468.0,0.06,0.06,0.06,41228100.0,,41228100.0,76275580.0,26.0,18.946,-1162492.0,-0.087,1.0,4578827.0,0.568,40792725.0,29586.0,38313577.0,,10886171.0,0.0,0.0,0.0,24739841.0,5522058.0,19217783.0,78526883.0,-2042203.0,-19000000.0,-210655.0,18869519.0,0.0,18658864.0,-19834936.0,0.0,-866131.0,0.0,739867.0,739867.0,739867.0,0.0,0.0,0.092,3243535.0,1335292.0,2819107.0,0.0,1.905,-25.822,-16.319,3929330.0,0.0,5.875,2.793,2.793,7917622.0,-10251744.0,8063774.0,8063774.0,0.0,,,,,0.0,3243535.0,1.0,13366278.0,13366278.0,13366278.0,0.603,25175216.0,824381.0,576601.0,1236041.0,1.883,14982350.0
80509,HMP,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-11,0.0,44474094.0,,16224960.0,28249134.0,,3.247,-833503.0,2829539.0,2829539.0,2499667.0,867659.0,4.715,0.093,578236.0,415618.0,162618.0,578236.0,0.0,391028.0,0.0,0.0,0.0,1847625.0,2238653.0,0.326,2238653.0,1847625.0,1548378.0,0.07,0.07,0.07,40698888.0,,40698888.0,151247499.0,-195.0,135.406,128136.0,0.01,1.0,4359023.0,0.636,24547981.0,299247.0,14233774.0,,6622947.0,0.0,0.0,0.0,3775206.0,3441036.0,334170.0,126144249.0,1071174.0,-9412561.0,40160328.0,-29708379.0,0.0,10451949.0,-10342414.0,0.0,961639.0,0.0,867659.0,867659.0,867659.0,0.0,0.0,0.127,2439122.0,1919901.0,1439949.0,0.0,3.099,-16.067,-11.103,3337056.0,0.0,9.438,5.004,4.693,5645593.0,-10991611.0,6858690.0,6858690.0,0.0,,,,,0.0,2439122.0,1.0,13366278.0,12534467.0,12663129.0,0.547,19926113.0,824381.0,680719.0,709878.0,1.59,12783924.0
80510,HMP,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-11,0.0,31379748.0,,12727103.0,18652645.0,,-0.035,-248005.0,1758365.0,1758365.0,2533556.0,172150.0,2.325,-96.35,26861615.0,2265973.0,24595642.0,26861615.0,0.0,546821.0,0.0,,0.0,2323576.0,2870397.0,0.428,2870397.0,2323576.0,381504.0,0.02,0.02,0.02,-329099.0,,-329099.0,,,,-929467.0,-0.099,1.0,4175313.0,0.622,15284066.0,1942072.0,35724298.0,,5313264.0,0.0,0.0,0.0,31708847.0,5474634.0,26234213.0,,-1135559.0,0.0,0.0,-194510.0,0.0,-194510.0,-259587.0,0.0,-681462.0,0.0,172150.0,172150.0,172150.0,0.0,0.0,0.026,2962875.0,1212438.0,1420861.0,0.0,,,,2496615.0,0.0,,,,4675909.0,-11859270.0,6708869.0,6708869.0,0.0,,,,,748506.0,2962875.0,1.0,13366278.0,9424990.0,10205002.0,0.712,16095682.0,824381.0,209354.0,108145.0,1.708,7252469.0
80511,HMP,ARY,1998-12-31,1999-03-31,1998-12-31,2019-07-11,0.0,104637113.0,61614724.0,44735250.0,59901863.0,0.639,3.4,-1845561.0,6232215.0,6232215.0,19932953.0,2048288.0,2.801,1.526,49806854.0,2733138.0,47073716.0,49806854.0,0.0,2275638.0,0.0,0.0,0.0,6932159.0,9207797.0,0.234,9207797.0,6932159.0,3828937.0,0.17,0.17,0.17,41430806.0,30757174.0,41430806.0,125443092.0,18.0,13.624,-2551903.0,-0.209,1.0,19466408.0,0.494,55494414.0,3103222.0,76748899.0,41255137.0,19358423.0,0.0,0.0,0.0,63206307.0,15968439.0,47237868.0,81868453.0,3338291.0,-36120798.0,39910795.0,4212658.0,0.0,42131658.0,-38087025.0,0.0,-706342.0,0.0,2048288.0,2048288.0,2048288.0,0.0,0.0,0.052,13597097.0,5869311.0,9775420.0,0.0,1.976,39.969,36.029,4043200.0,0.0,6.125,2.078,1.895,16925487.0,-9983132.0,39399361.0,39399361.0,0.0,0.033,0.067,0.168,0.176,748506.0,13597097.0,1.0,13366278.0,12187070.0,12412394.0,3.233,49142699.0,699316.0,1780649.0,1343473.0,4.032,28766811.0
