None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
77614,IBIS,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-17,0.0,24307318.0,25619552.0,19086818.0,5220500.0,0.604,3.049,-1645607.0,12819366.0,12819366.0,12903814.0,-1165960.0,8.464,0.179,546888.0,507258.0,39630.0,546888.0,1541202.0,1671413.0,0.0,0.0,0.0,-1050463.0,620950.0,0.04,620950.0,-1050463.0,-1164704.0,-0.17,-0.17,-0.17,20608943.0,20680768.0,20608943.0,61774066.0,-59.0,99.483,-1145240.0,-0.169,1.0,2562255.0,0.166,144481.0,114241.0,9635316.0,10214162.0,3121084.0,0.0,0.0,0.0,3698375.0,2255043.0,1443332.0,72139414.0,-490457.0,0.0,1017903.0,-426336.0,0.0,591567.0,-1582391.0,0.0,500367.0,0.0,-1165960.0,-1165960.0,-1165960.0,0.0,0.0,-0.075,4265023.0,-1702768.0,411065.0,0.0,3.5,-61.871,-62.132,5076019.0,0.0,10.563,4.664,4.617,2852138.0,-16055989.0,15466069.0,15466069.0,1971734.0,-0.046,-0.056,-0.103,-0.068,0.0,2293289.0,1.0,6829767.0,6759870.0,6759870.0,2.288,24162837.0,0.0,1256.0,0.0,3.574,16831775.0
77615,IBIS,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-17,0.0,24307318.0,25619552.0,19086818.0,5220500.0,0.604,3.049,-1645607.0,12819366.0,12819366.0,12903814.0,-1165960.0,8.464,0.179,546888.0,507258.0,39630.0,546888.0,1541202.0,1671413.0,0.0,0.0,0.0,-1050463.0,620950.0,0.04,620950.0,-1050463.0,-1164704.0,-0.17,-0.17,-0.17,20608943.0,20680768.0,20608943.0,61774066.0,-59.0,99.483,-1145240.0,-0.169,1.0,2562255.0,0.166,144481.0,114241.0,9635316.0,10214162.0,3121084.0,0.0,0.0,0.0,3698375.0,2255043.0,1443332.0,72139414.0,-490457.0,0.0,1017903.0,-426336.0,0.0,591567.0,-1582391.0,0.0,500367.0,0.0,-1165960.0,-1165960.0,-1165960.0,0.0,0.0,-0.075,4265023.0,-1702768.0,411065.0,0.0,3.5,-61.871,-62.132,5076019.0,0.0,10.563,4.664,4.617,2852138.0,-16055989.0,15466069.0,15466069.0,1971734.0,-0.046,-0.056,-0.103,-0.068,0.0,2293289.0,1.0,6829767.0,6759870.0,6759870.0,2.288,24162837.0,0.0,1256.0,0.0,3.574,16831775.0
77616,IBIS,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-17,0.0,24898586.0,25772282.0,19412603.0,5485983.0,0.518,3.095,-39300.0,11039295.0,11039295.0,12473425.0,-2902606.0,8.235,0.185,673947.0,536498.0,137449.0,673947.0,0.0,1838603.0,0.0,0.0,0.0,-2771197.0,-932594.0,-0.07,-932594.0,-2771197.0,-2901350.0,-0.48,-0.48,-0.48,21007236.0,20717782.0,21007236.0,63929745.0,-23.0,-68.55,-3886216.0,-0.573,1.0,874962.0,0.066,155097.0,130153.0,12020817.0,10296742.0,3394239.0,0.0,0.0,0.0,3891350.0,2357324.0,1534026.0,76949145.0,-3115836.0,0.0,1096281.0,-427804.0,0.0,602986.0,128094.0,0.0,-3846916.0,0.0,-2902606.0,-2902606.0,-2902606.0,0.0,0.0,-0.217,4332270.0,-3457308.0,478283.0,0.0,3.663,-26.51,-23.698,5330886.0,0.0,11.375,5.765,5.783,4844449.0,-15618669.0,13348387.0,13348387.0,1846977.0,-0.113,-0.14,-0.269,-0.208,0.0,2485293.0,1.0,6764760.0,6786416.0,7061658.0,1.967,24743489.0,0.0,1256.0,0.0,3.646,17055279.0
77617,IBIS,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-17,0.0,28501183.0,,22866547.0,5634636.0,,3.073,-285207.0,13763817.0,13763817.0,10475919.0,-3416676.0,3.64,0.376,744417.0,509641.0,234776.0,744417.0,0.0,1973696.0,0.0,0.0,0.0,-3282340.0,-1308644.0,-0.123,-1308644.0,-3282340.0,-3415420.0,-0.56,-0.56,-0.56,20709238.0,,20709238.0,58157406.0,-18.0,-44.441,-1472682.0,-0.219,1.0,148233.0,0.014,168217.0,133080.0,9031628.0,,4965604.0,0.0,0.0,0.0,7791945.0,6281938.0,1510007.0,69853174.0,9205149.0,0.0,1019024.0,-494287.0,0.0,10561439.0,-168815.0,0.0,-1187475.0,0.0,-3416676.0,-3416676.0,-3416676.0,0.0,0.0,-0.322,4082611.0,-3934378.0,2811053.0,0.0,3.373,-20.445,-18.527,5466419.0,0.0,10.375,6.575,6.581,3983253.0,-15713242.0,10624152.0,10624152.0,1698369.0,,,,-0.309,0.0,2384242.0,1.0,6732836.0,6738536.0,7071017.0,1.577,28332966.0,0.0,1256.0,0.0,4.205,16584609.0
77618,IBIS,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-17,0.0,24771120.0,,14570963.0,10200157.0,,3.058,-423586.0,12556629.0,12556629.0,7760744.0,-4409167.0,5.343,0.214,860861.0,491777.0,369084.0,860861.0,0.0,2021141.0,0.0,0.0,0.0,-4255867.0,-2234726.0,-0.332,-2234726.0,-4255867.0,-4407911.0,-0.74,-0.74,-0.74,20397655.0,,20397655.0,58900562.0,-14.0,-26.357,-4626157.0,-0.694,1.0,-1028721.0,-0.153,179317.0,152044.0,10168886.0,,545850.0,0.0,0.0,0.0,4373465.0,2727149.0,1646316.0,71237161.0,5789521.0,0.0,840813.0,-549860.0,0.0,10327655.0,-335563.0,0.0,-4202571.0,0.0,-4409167.0,-4409167.0,-4409167.0,0.0,0.0,-0.655,3770378.0,-4799099.0,1235727.0,0.0,3.492,-16.157,-14.358,10020840.0,0.0,10.625,10.582,10.528,1392856.0,-15799103.0,6732023.0,6732023.0,1468804.0,,,,-0.632,0.0,2301574.0,1.0,6704674.0,6670718.0,6670718.0,1.009,24591803.0,0.0,1256.0,0.0,3.687,11843814.0
77619,IBIS,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-17,0.0,24307318.0,,19086818.0,5220500.0,,3.012,-65724.0,12819366.0,12819366.0,3002740.0,-437320.0,8.464,0.179,546888.0,507258.0,39630.0,546888.0,1541202.0,332729.0,0.0,0.0,0.0,-414571.0,-81842.0,-0.023,-81842.0,-414571.0,-437320.0,-0.06,-0.06,-0.06,20608943.0,,20608943.0,61774066.0,-59.0,99.483,1869625.0,0.273,1.0,574965.0,0.161,144481.0,22749.0,9635316.0,,3121084.0,0.0,0.0,0.0,3698375.0,2255043.0,1443332.0,72139414.0,1780071.0,0.0,39027.0,-127059.0,0.0,-88032.0,-67246.0,0.0,1935349.0,0.0,-437320.0,-437320.0,-437320.0,0.0,0.0,-0.122,1146501.0,-571536.0,411065.0,0.0,3.5,-61.871,-62.132,5076019.0,0.0,10.563,4.664,4.617,2852138.0,-16055989.0,3577705.0,3577705.0,548519.0,,,,,0.0,597982.0,1.0,6829767.0,6842538.0,6842538.0,0.523,24162837.0,0.0,0.0,0.0,3.531,16831775.0
77620,IBIS,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-17,0.0,24898586.0,,19412603.0,5485983.0,,3.095,-158135.0,11039295.0,11039295.0,3877501.0,94574.0,8.235,0.185,673947.0,536498.0,137449.0,673947.0,0.0,383481.0,0.0,0.0,0.0,121298.0,504779.0,0.103,504779.0,121298.0,94574.0,0.01,0.01,0.01,21007236.0,,21007236.0,63929745.0,-23.0,-68.55,-2858459.0,-0.421,1.0,1010100.0,0.207,155097.0,26724.0,12020817.0,,3394239.0,0.0,0.0,0.0,3891350.0,2357324.0,1534026.0,76949145.0,-2724522.0,0.0,203425.0,-70470.0,0.0,132955.0,-157153.0,0.0,-2700324.0,0.0,94574.0,94574.0,94574.0,0.0,0.0,0.019,1025531.0,-15431.0,478283.0,0.0,3.663,-26.51,-23.698,5330886.0,0.0,11.375,5.765,5.783,4844449.0,-15618669.0,4887601.0,4887601.0,495263.0,,,,,0.0,530268.0,1.0,6764760.0,6786416.0,7061658.0,0.72,24743489.0,0.0,0.0,0.0,3.646,17055279.0
77621,IBIS,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-17,0.0,28501183.0,,22866547.0,5634636.0,,3.073,-381564.0,13763817.0,13763817.0,4219924.0,85860.0,3.64,0.376,744417.0,509641.0,234776.0,744417.0,0.0,478392.0,0.0,0.0,0.0,115908.0,594300.0,0.112,594300.0,115908.0,85860.0,0.01,0.01,0.01,20709238.0,,20709238.0,58157406.0,-18.0,-44.441,1098948.0,0.163,1.0,1083938.0,0.204,168217.0,30048.0,9031628.0,,4965604.0,0.0,0.0,0.0,7791945.0,6281938.0,1510007.0,69853174.0,1207188.0,0.0,225722.0,-116444.0,0.0,109278.0,-382602.0,0.0,1480512.0,0.0,85860.0,85860.0,85860.0,0.0,0.0,0.016,1151951.0,-68013.0,2811053.0,0.0,3.373,-20.445,-18.527,5466419.0,0.0,10.375,6.575,6.581,3983253.0,-15713242.0,5303862.0,5303862.0,545997.0,,,,,0.0,605954.0,1.0,6732836.0,6738536.0,7071017.0,0.787,28332966.0,0.0,0.0,0.0,4.205,16584609.0
77622,IBIS,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-17,0.0,24771120.0,,14570963.0,10200157.0,,3.058,-1040184.0,12556629.0,12556629.0,1803649.0,-909074.0,5.343,0.214,860861.0,491777.0,369084.0,860861.0,0.0,476811.0,0.0,0.0,0.0,-873098.0,-396287.0,-0.234,-396287.0,-873098.0,-907818.0,-0.14,-0.14,-0.14,20397655.0,,20397655.0,58900562.0,-14.0,-26.357,-1255354.0,-0.188,1.0,-106748.0,-0.063,179317.0,34720.0,10168886.0,,545850.0,0.0,0.0,0.0,4373465.0,2727149.0,1646316.0,71237161.0,-753194.0,0.0,549729.0,-112363.0,0.0,437366.0,-975390.0,0.0,-215170.0,0.0,-909074.0,-909074.0,-909074.0,0.0,0.0,-0.536,941040.0,-1047788.0,1235727.0,0.0,3.492,-16.157,-14.358,10020840.0,0.0,10.625,10.582,10.528,1392856.0,-15799103.0,1696901.0,1696901.0,381955.0,,,,,0.0,559085.0,1.0,6704674.0,6670718.0,6670718.0,0.254,24591803.0,0.0,1256.0,0.0,3.687,11843814.0
77623,IBIS,ARY,1998-12-31,1999-03-31,1998-12-31,2019-07-17,0.0,24307318.0,25619552.0,19086818.0,5220500.0,0.604,3.049,-1645607.0,12819366.0,12819366.0,12903814.0,-1165960.0,8.464,0.179,546888.0,507258.0,39630.0,546888.0,1403702.0,1671413.0,0.0,0.0,0.0,-1050463.0,620950.0,0.04,620950.0,-1050463.0,-1164704.0,-0.17,-0.17,-0.17,20608943.0,20680768.0,20608943.0,119025654.0,-113.0,191.683,-1145240.0,-0.169,1.0,2562255.0,0.166,144481.0,114241.0,9635316.0,10214162.0,3121084.0,0.0,0.0,0.0,3698375.0,2255043.0,1443332.0,131298132.0,-490457.0,0.0,1017903.0,-426336.0,0.0,591567.0,-1582391.0,0.0,500367.0,0.0,-1165960.0,-1165960.0,-1165960.0,0.0,0.0,-0.075,4265023.0,-1702768.0,411065.0,0.0,6.371,-112.609,-111.765,5076019.0,0.0,19.0,8.489,8.304,2995262.0,-16055989.0,15466069.0,15466069.0,1971734.0,-0.046,-0.056,-0.103,-0.068,0.0,2293289.0,1.0,6910428.0,6759870.0,6759870.0,2.288,24162837.0,0.0,1256.0,0.0,3.574,16831775.0
