None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
76972,ICUB,MRY,1998-12-31,1998-12-31,1998-12-31,2019-10-13,12000.0,61042000.0,47115250.0,53937000.0,7105000.0,0.874,2.971,-1474000.0,36010000.0,36010000.0,16949000.0,6943000.0,3.633,0.381,2213000.0,216000.0,1997000.0,2213000.0,4859000.0,885000.0,0.0,0.0,0.0,11391000.0,12276000.0,0.298,12276000.0,11391000.0,11329000.0,0.47,0.37,0.47,44198000.0,34935750.0,44198000.0,241090270.0,21.0,19.639,5794000.0,0.389,1.0,24218000.0,0.588,0.0,62000.0,12398000.0,5872750.0,0.0,8302000.0,8302000.0,0.0,16844000.0,14847000.0,1997000.0,277275270.0,25235000.0,0.0,28348000.0,-617000.0,0.0,27731000.0,-9776000.0,-8302000.0,7268000.0,12000.0,6943000.0,6943000.0,6943000.0,0.0,0.0,0.169,14257000.0,9961000.0,2244000.0,0.0,6.273,39.936,36.17,6832000.0,0.0,17.0,6.735,6.143,8368000.0,13914000.0,41167000.0,41167000.0,0.0,0.147,0.199,1.94,0.277,342000.0,14257000.0,1.0,16310310.0,14877000.0,18607000.0,2.767,61042000.0,157000.0,4386000.0,545000.0,4.103,39090000.0
76973,ICUB,MRT,1998-12-31,1998-12-31,1998-12-31,2019-10-13,12000.0,61042000.0,47115250.0,53937000.0,7105000.0,0.874,2.971,-1474000.0,36010000.0,36010000.0,16949000.0,6943000.0,3.633,0.381,2213000.0,216000.0,1997000.0,2213000.0,4859000.0,885000.0,0.0,0.0,0.0,11391000.0,12276000.0,0.298,12276000.0,11391000.0,11329000.0,0.47,0.37,0.47,44198000.0,34935750.0,44198000.0,241090270.0,21.0,19.639,5794000.0,0.389,1.0,24218000.0,0.588,0.0,62000.0,12398000.0,5872750.0,0.0,8302000.0,8302000.0,0.0,16844000.0,14847000.0,1997000.0,277275270.0,25235000.0,0.0,28348000.0,-617000.0,0.0,27731000.0,-9776000.0,-8302000.0,7268000.0,12000.0,6943000.0,6943000.0,6943000.0,0.0,0.0,0.169,14257000.0,9961000.0,2244000.0,0.0,6.273,39.936,36.17,6832000.0,0.0,17.0,6.735,6.143,8368000.0,13914000.0,41167000.0,41167000.0,0.0,0.147,0.199,1.94,0.277,342000.0,14257000.0,1.0,16310310.0,14877000.0,18607000.0,2.767,61042000.0,157000.0,4386000.0,545000.0,4.103,39090000.0
76974,ICUB,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-13,10000.0,53123000.0,37132750.0,50091000.0,3032000.0,1.11,2.651,-1408000.0,36530000.0,36530000.0,18119000.0,5037000.0,5.015,0.239,345000.0,90000.0,255000.0,345000.0,3231000.0,1119000.0,0.0,0.0,0.0,8973000.0,10092000.0,0.245,10092000.0,8973000.0,8904000.0,0.34,0.29,0.34,42879000.0,26290250.0,42879000.0,211992125.0,24.0,21.006,2804000.0,0.173,1.0,23088000.0,0.56,0.0,69000.0,6949000.0,2874750.0,0.0,4467000.0,4467000.0,0.0,10244000.0,9989000.0,255000.0,252741125.0,25844000.0,0.0,28374000.0,-406000.0,0.0,27968000.0,-6357000.0,-4471000.0,4212000.0,21000.0,5037000.0,5037000.0,5037000.0,0.0,0.0,0.122,15151000.0,7937000.0,549000.0,0.0,5.894,50.177,45.956,2341000.0,0.0,15.625,6.133,6.134,7214000.0,13432000.0,41207000.0,41207000.0,0.0,0.136,0.192,3.121,0.218,590000.0,14365000.0,1.0,16175432.0,16177000.0,20173000.0,2.547,53123000.0,1361000.0,3867000.0,975000.0,3.284,40102000.0
76975,ICUB,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-13,2000.0,54778000.0,,51816000.0,2962000.0,,2.567,-1680000.0,41559000.0,41559000.0,16575000.0,4188000.0,4.113,0.316,810000.0,254000.0,556000.0,810000.0,6879000.0,1053000.0,0.0,0.0,0.0,7582000.0,8635000.0,0.23,8635000.0,7582000.0,7513000.0,0.31,0.26,0.31,41623000.0,,41623000.0,270074202.0,36.0,31.277,4784000.0,0.295,1.0,20904000.0,0.558,0.0,69000.0,1430000.0,,0.0,0.0,0.0,0.0,13155000.0,12599000.0,556000.0,279026202.0,34066000.0,0.0,29136000.0,527000.0,0.0,29663000.0,-2072000.0,-4000.0,6464000.0,11000.0,4188000.0,4188000.0,4188000.0,0.0,0.0,0.112,13901000.0,7003000.0,1027000.0,0.0,6.704,66.625,55.645,2380000.0,0.0,17.25,7.445,7.464,9004000.0,11464000.0,37479000.0,37479000.0,0.0,,,,0.202,590000.0,13115000.0,1.0,16175432.0,16216000.0,20025000.0,2.311,54778000.0,1126000.0,3325000.0,126000.0,3.378,39217000.0
76976,ICUB,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-13,0.0,19518000.0,,17026000.0,2492000.0,,0.834,-1411000.0,9833000.0,9833000.0,11997000.0,4768000.0,2.168,0.767,881000.0,258000.0,623000.0,881000.0,3567000.0,628000.0,0.0,,0.0,7880000.0,8508000.0,0.283,8508000.0,7880000.0,7811000.0,0.37,0.31,0.37,11043000.0,,11043000.0,,,,-467000.0,-0.035,1.0,18092000.0,0.601,0.0,69000.0,2714000.0,,0.0,0.0,0.0,0.0,8475000.0,7852000.0,623000.0,,-80000.0,0.0,120000.0,265000.0,0.0,385000.0,-1409000.0,0.0,944000.0,0.0,4768000.0,4768000.0,4768000.0,0.0,0.0,0.158,10750000.0,7342000.0,727000.0,0.0,,,,2302000.0,0.0,,,,5825000.0,9884000.0,30089000.0,30089000.0,0.0,,,,0.262,590000.0,10750000.0,1.0,,13244000.0,16031000.0,2.272,19518000.0,878000.0,3043000.0,938000.0,1.474,9174000.0
76977,ICUB,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-10-13,12000.0,61042000.0,,53937000.0,7105000.0,,2.708,-796000.0,36010000.0,36010000.0,4845000.0,2022000.0,3.633,0.381,2213000.0,216000.0,1997000.0,2213000.0,4859000.0,257000.0,0.0,0.0,0.0,3370000.0,3627000.0,0.312,3627000.0,3370000.0,3308000.0,0.13,0.1,0.13,44198000.0,,44198000.0,241090270.0,21.0,19.639,2819000.0,0.173,1.0,6772000.0,0.583,0.0,62000.0,12398000.0,,0.0,8302000.0,8302000.0,0.0,16844000.0,14847000.0,1997000.0,277275270.0,-473000.0,0.0,16000.0,-23000.0,0.0,-7000.0,-4083000.0,-3835000.0,3615000.0,2000.0,2022000.0,2022000.0,2022000.0,0.0,0.0,0.174,3964000.0,2808000.0,2244000.0,0.0,6.273,39.936,36.17,6832000.0,0.0,17.0,6.735,6.143,8368000.0,13914000.0,11617000.0,11617000.0,0.0,,,,,342000.0,3964000.0,1.0,16310310.0,16320000.0,20125000.0,0.712,61042000.0,157000.0,1286000.0,545000.0,3.74,39090000.0
76978,ICUB,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-13,10000.0,53123000.0,,50091000.0,3032000.0,,2.651,-170000.0,36530000.0,36530000.0,4458000.0,1968000.0,5.015,0.239,345000.0,90000.0,255000.0,345000.0,3231000.0,209000.0,0.0,0.0,0.0,3225000.0,3434000.0,0.317,3434000.0,3225000.0,3225000.0,0.12,0.1,0.12,42879000.0,,42879000.0,211992125.0,24.0,21.006,725000.0,0.045,1.0,6363000.0,0.588,0.0,0.0,6949000.0,,0.0,4467000.0,4467000.0,0.0,10244000.0,9989000.0,255000.0,252741125.0,-5029000.0,0.0,-722000.0,-465000.0,0.0,-1187000.0,-4747000.0,-4467000.0,895000.0,10000.0,1968000.0,1968000.0,1968000.0,0.0,0.0,0.182,3710000.0,2653000.0,549000.0,0.0,5.894,50.177,45.956,2341000.0,0.0,15.625,6.133,6.134,7214000.0,13432000.0,10821000.0,10821000.0,0.0,,,,,0.0,3710000.0,1.0,16175432.0,16177000.0,20173000.0,0.669,53123000.0,1361000.0,1257000.0,975000.0,3.284,40102000.0
76979,ICUB,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-13,2000.0,54778000.0,,51816000.0,2962000.0,,2.567,-804000.0,41559000.0,41559000.0,7052000.0,491000.0,4.113,0.316,810000.0,254000.0,556000.0,810000.0,6879000.0,530000.0,0.0,0.0,0.0,1457000.0,1987000.0,0.142,1987000.0,1457000.0,1457000.0,0.03,0.02,0.03,41623000.0,,41623000.0,270074202.0,36.0,31.277,2996000.0,0.185,1.0,6971000.0,0.497,0.0,0.0,1430000.0,,0.0,0.0,0.0,0.0,13155000.0,12599000.0,556000.0,279026202.0,31737000.0,0.0,29022000.0,150000.0,0.0,29172000.0,-1246000.0,-4000.0,3800000.0,11000.0,491000.0,491000.0,491000.0,0.0,0.0,0.035,5631000.0,1340000.0,1027000.0,0.0,6.704,66.625,55.645,2380000.0,0.0,17.25,7.445,7.464,9004000.0,11464000.0,14023000.0,14023000.0,0.0,,,,,0.0,4845000.0,1.0,16175432.0,16216000.0,20025000.0,0.865,54778000.0,1126000.0,966000.0,126000.0,3.378,39217000.0
76980,ICUB,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-13,0.0,19518000.0,,17026000.0,2492000.0,,0.834,-212000.0,9833000.0,9833000.0,3612000.0,1372000.0,2.168,0.767,881000.0,258000.0,623000.0,881000.0,3567000.0,200000.0,0.0,,0.0,2249000.0,2449000.0,0.277,2449000.0,2249000.0,2249000.0,0.1,0.09,0.1,11043000.0,,11043000.0,,,,-986000.0,-0.074,1.0,5216000.0,0.591,0.0,0.0,2714000.0,,0.0,0.0,0.0,0.0,8475000.0,7852000.0,623000.0,,-989000.0,0.0,55000.0,-58000.0,0.0,-3000.0,-212000.0,0.0,-774000.0,0.0,1372000.0,1372000.0,1372000.0,0.0,0.0,0.155,3097000.0,2119000.0,727000.0,0.0,,,,2302000.0,0.0,,,,5825000.0,9884000.0,8828000.0,8828000.0,0.0,,,,,0.0,3097000.0,1.0,,13244000.0,16031000.0,0.667,19518000.0,878000.0,877000.0,938000.0,1.474,9174000.0
76981,ICUB,ARY,1998-12-31,1999-03-31,1998-12-31,2019-10-13,12000.0,54139000.0,45389500.0,50986000.0,3153000.0,0.907,3.042,-1474000.0,36057000.0,36057000.0,16949000.0,6943000.0,5.896,0.196,323000.0,92000.0,231000.0,323000.0,2227000.0,885000.0,0.0,0.0,0.0,11391000.0,12276000.0,0.298,12276000.0,11391000.0,11329000.0,0.47,0.37,0.47,45261000.0,35201500.0,45261000.0,501002160.0,44.0,40.812,5794000.0,0.389,1.0,24218000.0,0.588,0.0,62000.0,9758000.0,5212750.0,0.0,8302000.0,8302000.0,0.0,8878000.0,8647000.0,231000.0,536736160.0,25235000.0,0.0,28348000.0,-617000.0,0.0,27731000.0,-9776000.0,-8302000.0,7268000.0,12000.0,6943000.0,6943000.0,6943000.0,0.0,0.0,0.169,14257000.0,9961000.0,1366000.0,0.0,11.859,77.306,68.085,2880000.0,0.0,32.0,13.038,11.564,5868000.0,15455000.0,41167000.0,41167000.0,0.0,0.153,0.197,2.185,0.277,342000.0,14257000.0,1.0,16773005.0,14877000.0,18607000.0,2.767,54139000.0,157000.0,4386000.0,75000.0,3.639,42339000.0
