None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
76856,IDCC,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,99523000.0,87648750.0,75418000.0,24105000.0,1.132,1.567,-1831000.0,20059000.0,20059000.0,28722000.0,36968000.0,3.649,0.313,3772000.0,723000.0,3049000.0,3772000.0,3936000.0,4629000.0,0.0,0.0,0.0,46596000.0,51225000.0,0.516,51225000.0,46596000.0,46229000.0,0.76,0.75,0.76,75808000.0,58870000.0,75808000.0,218073641.0,5.0,4.257,28290000.0,0.585,1.0,70499000.0,0.711,9948000.0,367000.0,52622000.0,47564250.0,5102000.0,32218000.0,32218000.0,0.0,23715000.0,20666000.0,3049000.0,221024641.0,2231000.0,0.0,537000.0,-688000.0,0.0,-353000.0,-27537000.0,-24242000.0,30121000.0,0.0,36968000.0,36713000.0,36713000.0,0.0,0.0,0.37,26464000.0,44035000.0,5973000.0,0.0,2.916,6.02,6.0,9697000.0,255000.0,4.56,2.228,2.223,14983000.0,-160039000.0,99221000.0,99221000.0,0.0,0.419,0.624,0.98,0.47,0.0,26464000.0,1.0,48470316.0,48380000.0,48771000.0,2.051,89575000.0,0.0,9261000.0,2249000.0,1.851,54752000.0
76857,IDCC,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,99523000.0,87648750.0,75418000.0,24105000.0,1.132,1.567,-1831000.0,20059000.0,20059000.0,28722000.0,36968000.0,3.649,0.313,3772000.0,723000.0,3049000.0,3772000.0,3936000.0,4629000.0,0.0,0.0,0.0,46596000.0,51225000.0,0.516,51225000.0,46596000.0,46229000.0,0.76,0.75,0.76,75808000.0,58870000.0,75808000.0,218073641.0,5.0,4.257,28290000.0,0.585,1.0,70499000.0,0.711,9948000.0,367000.0,52622000.0,47564250.0,5102000.0,32218000.0,32218000.0,0.0,23715000.0,20666000.0,3049000.0,221024641.0,2231000.0,0.0,537000.0,-688000.0,0.0,-353000.0,-27537000.0,-24242000.0,30121000.0,0.0,36968000.0,36713000.0,36713000.0,0.0,0.0,0.37,26464000.0,44035000.0,5973000.0,0.0,2.916,6.02,6.0,9697000.0,255000.0,4.56,2.228,2.223,14983000.0,-160039000.0,99221000.0,99221000.0,0.0,0.419,0.624,0.98,0.47,0.0,26464000.0,1.0,48470316.0,48380000.0,48771000.0,2.051,89575000.0,0.0,9261000.0,2249000.0,1.851,54752000.0
76858,IDCC,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-06,0.0,84528000.0,80108750.0,62651000.0,21877000.0,0.797,1.206,-2903000.0,6921000.0,6921000.0,24437000.0,7499000.0,2.819,0.448,3970000.0,766000.0,3204000.0,3970000.0,4523000.0,4731000.0,0.0,0.0,0.0,12794000.0,17525000.0,0.274,17525000.0,12794000.0,12419000.0,0.14,0.13,0.14,58387000.0,49544250.0,58387000.0,203298078.0,16.0,11.6,21050000.0,0.435,1.0,39433000.0,0.617,9767000.0,375000.0,49589000.0,40166750.0,11862000.0,35159000.0,35159000.0,0.0,26141000.0,22221000.0,3920000.0,202911078.0,1728000.0,0.0,872000.0,-436000.0,0.0,272000.0,-22497000.0,-18354000.0,23953000.0,0.0,7499000.0,7243000.0,7243000.0,0.0,0.0,0.113,28615000.0,10818000.0,4577000.0,0.0,3.475,28.015,29.929,9964000.0,256000.0,4.19,3.177,3.177,2799000.0,-177564000.0,63870000.0,63870000.0,-18171000.0,0.09,0.146,0.319,0.2,0.0,46786000.0,1.0,48427465.0,48427000.0,48427000.0,1.319,74761000.0,0.0,4920000.0,0.0,1.544,40430000.0
76859,IDCC,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-06,0.0,94988000.0,,73137000.0,21851000.0,,1.333,-3142000.0,3739000.0,3739000.0,23071000.0,5465000.0,2.839,0.473,4126000.0,803000.0,3323000.0,4126000.0,5963000.0,4672000.0,0.0,0.0,0.0,10752000.0,15424000.0,0.248,15424000.0,10752000.0,10371000.0,0.1,0.09,0.1,64475000.0,,64475000.0,255175940.0,24.0,16.544,19500000.0,0.403,1.0,39110000.0,0.629,9713000.0,381000.0,59901000.0,,12094000.0,47805000.0,47805000.0,0.0,30513000.0,25761000.0,4752000.0,260049940.0,-11581000.0,0.0,872000.0,-469000.0,0.0,239000.0,-34462000.0,-30488000.0,22642000.0,0.0,5465000.0,5209000.0,5209000.0,0.0,0.0,0.084,30428000.0,8682000.0,6539000.0,0.0,4.033,49.923,53.8,10301000.0,256000.0,5.38,4.182,4.186,2953000.0,-171476000.0,62181000.0,62181000.0,-12702000.0,,,,0.173,0.0,43130000.0,1.0,48336420.0,48382000.0,49584000.0,1.285,85275000.0,0.0,4906000.0,0.0,1.763,47376000.0
76860,IDCC,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-06,0.0,71556000.0,,49637000.0,21919000.0,,0.763,-3447000.0,9236000.0,9236000.0,29421000.0,-29569000.0,1.704,0.944,4362000.0,892000.0,3470000.0,4362000.0,7401000.0,4942000.0,0.0,0.0,0.0,-28637000.0,-23695000.0,-0.698,-23695000.0,-28637000.0,-29029000.0,-0.63,-0.63,-0.63,36810000.0,,36810000.0,264032436.0,-9.0,-11.143,-14184000.0,-0.294,1.0,4529000.0,0.133,9405000.0,392000.0,28145000.0,,13785000.0,13074000.0,13074000.0,0.0,34746000.0,29132000.0,5614000.0,277400436.0,-6080000.0,0.0,272000.0,-447000.0,0.0,-339000.0,4996000.0,9347000.0,-10737000.0,0.0,-29569000.0,-29824000.0,-29824000.0,0.0,0.0,-0.878,35253000.0,-30724000.0,8855000.0,0.0,7.536,-9.301,-9.127,10677000.0,255000.0,5.75,8.171,8.17,8104000.0,-198495000.0,33950000.0,33950000.0,-6251000.0,,,,-0.844,0.0,41504000.0,1.0,48243554.0,48237000.0,48237000.0,0.704,62151000.0,0.0,540000.0,0.0,1.288,20505000.0
76861,IDCC,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,99523000.0,,75418000.0,24105000.0,,1.564,-763000.0,20059000.0,20059000.0,9487000.0,17588000.0,3.649,0.313,3772000.0,723000.0,3049000.0,3772000.0,3936000.0,1207000.0,0.0,0.0,0.0,22022000.0,23229000.0,0.614,23229000.0,22022000.0,21929000.0,0.36,0.36,0.36,75808000.0,,75808000.0,218073641.0,5.0,4.257,10776000.0,0.222,1.0,28367000.0,0.749,9948000.0,93000.0,52622000.0,,5102000.0,32218000.0,32218000.0,0.0,23715000.0,20666000.0,3049000.0,221024641.0,13138000.0,0.0,-157000.0,-8000.0,0.0,-367000.0,1966000.0,2941000.0,11539000.0,0.0,17588000.0,17525000.0,17525000.0,0.0,0.0,0.463,7232000.0,21135000.0,5973000.0,0.0,2.916,6.02,6.0,9697000.0,63000.0,4.56,2.228,2.223,14983000.0,-160039000.0,37854000.0,37854000.0,0.0,,,,,0.0,7232000.0,1.0,48470316.0,48473000.0,48738000.0,0.781,89575000.0,0.0,4341000.0,2249000.0,1.848,54752000.0
76862,IDCC,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-06,0.0,84528000.0,,62651000.0,21877000.0,,1.206,-367000.0,6921000.0,6921000.0,4841000.0,-6024000.0,2.819,0.448,3970000.0,766000.0,3204000.0,3970000.0,4523000.0,1259000.0,0.0,0.0,0.0,-5935000.0,-4676000.0,-0.964,-4676000.0,-5935000.0,-6010000.0,-0.13,-0.13,-0.13,58387000.0,,58387000.0,203298078.0,16.0,11.6,-8391000.0,-0.173,1.0,8000.0,0.002,9767000.0,75000.0,49589000.0,,11862000.0,35159000.0,35159000.0,0.0,26141000.0,22221000.0,3920000.0,202911078.0,3182000.0,0.0,0.0,-346000.0,0.0,-346000.0,11552000.0,12646000.0,-8024000.0,0.0,-6024000.0,-6088000.0,-6088000.0,0.0,0.0,-1.256,6594000.0,-6586000.0,4577000.0,0.0,3.475,28.015,29.929,9964000.0,64000.0,4.19,3.177,3.177,2799000.0,-177564000.0,4849000.0,4849000.0,0.0,,,,,0.0,6594000.0,1.0,48427465.0,48427000.0,48427000.0,0.1,74761000.0,0.0,14000.0,0.0,1.544,40430000.0
76863,IDCC,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-06,0.0,94988000.0,,73137000.0,21851000.0,,1.333,-500000.0,3739000.0,3739000.0,9171000.0,27083000.0,2.839,0.473,4126000.0,803000.0,3323000.0,4126000.0,5963000.0,919000.0,0.0,0.0,0.0,31563000.0,32482000.0,0.699,32482000.0,31563000.0,31466000.0,0.56,0.55,0.56,64475000.0,,64475000.0,255175940.0,24.0,16.544,29176000.0,0.603,1.0,37270000.0,0.803,9713000.0,97000.0,59901000.0,,12094000.0,47805000.0,47805000.0,0.0,30513000.0,25761000.0,4752000.0,260049940.0,-5497000.0,0.0,646000.0,-236000.0,0.0,410000.0,-35583000.0,-34731000.0,29676000.0,0.0,27083000.0,27019000.0,27019000.0,0.0,0.0,0.582,6355000.0,30915000.0,6539000.0,0.0,4.033,49.923,53.8,10301000.0,64000.0,5.38,4.182,4.186,2953000.0,-171476000.0,46441000.0,46441000.0,0.0,,,,,0.0,6355000.0,1.0,48336420.0,48382000.0,49584000.0,0.96,85275000.0,0.0,4383000.0,0.0,1.763,47376000.0
76864,IDCC,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-06,0.0,71556000.0,,49637000.0,21919000.0,,0.763,-201000.0,9236000.0,9236000.0,5223000.0,-1679000.0,1.704,0.944,4362000.0,892000.0,3470000.0,4362000.0,7401000.0,1244000.0,0.0,0.0,0.0,-1054000.0,190000.0,0.019,190000.0,-1054000.0,-1156000.0,-0.04,-0.04,-0.04,36810000.0,,36810000.0,264032436.0,-9.0,-11.143,-3271000.0,-0.068,1.0,4854000.0,0.482,9405000.0,102000.0,28145000.0,,13785000.0,13074000.0,13074000.0,0.0,34746000.0,29132000.0,5614000.0,277400436.0,-8592000.0,0.0,48000.0,-98000.0,0.0,-50000.0,-5472000.0,-5098000.0,-3070000.0,0.0,-1679000.0,-1743000.0,-1743000.0,0.0,0.0,-0.173,6283000.0,-1429000.0,8855000.0,0.0,7.536,-9.301,-9.127,10677000.0,64000.0,5.75,8.171,8.17,8104000.0,-198495000.0,10077000.0,10077000.0,0.0,,,,,0.0,6283000.0,1.0,48243554.0,48237000.0,48237000.0,0.209,62151000.0,0.0,523000.0,0.0,1.288,20505000.0
76865,IDCC,ARY,1998-12-31,1999-03-31,1998-12-31,2021-08-06,0.0,99523000.0,87648750.0,75418000.0,24105000.0,1.132,1.566,-1831000.0,20059000.0,20059000.0,28722000.0,36968000.0,3.649,0.313,3772000.0,723000.0,3049000.0,3772000.0,3936000.0,4629000.0,0.0,0.0,0.0,46596000.0,51225000.0,0.516,51225000.0,46596000.0,46229000.0,0.76,0.75,0.76,75808000.0,58870000.0,75808000.0,192637582.0,4.0,3.761,28290000.0,0.584,1.0,70499000.0,0.711,9948000.0,367000.0,52622000.0,47564250.0,5102000.0,32218000.0,32218000.0,0.0,23715000.0,20666000.0,3049000.0,208924582.0,2231000.0,0.0,537000.0,-688000.0,0.0,-353000.0,-27537000.0,-24242000.0,30121000.0,0.0,36968000.0,36713000.0,36713000.0,0.0,0.0,0.37,26357000.0,44142000.0,5973000.0,0.0,2.756,5.691,5.671,9697000.0,255000.0,4.31,2.106,2.103,14983000.0,-160039000.0,99221000.0,99221000.0,17166000.0,0.419,0.624,0.98,0.47,0.0,9191000.0,1.0,48474381.0,48424000.0,,2.049,89575000.0,0.0,9261000.0,2249000.0,1.85,54752000.0
