None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
76420,IEP,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-07,0.0,1160666000.0,1077149500.0,,,0.161,20.964,-37102000.0,117744000.0,117744000.0,72689000.0,82249000.0,,0.199,179387000.0,,,179387000.0,2785000.0,7083000.0,0.0,0.0,0.0,98747000.0,105830000.0,0.611,105830000.0,98747000.0,82249000.0,1.42,1.28,1.42,967966000.0,875319000.0,967966000.0,611177969.0,6.0,5.775,-399000.0,-0.009,1.0,100552000.0,0.58,0.0,16498000.0,1222309000.0,1161546750.0,0.0,599045000.0,,,192700000.0,,,475188969.0,-116609000.0,7758000.0,0.0,5705000.0,0.0,-1182000.0,-152130000.0,-221880000.0,36703000.0,0.0,82249000.0,69232000.0,69232000.0,0.0,0.0,0.4,15347000.0,85205000.0,10528000.0,0.0,0.491,6.864,7.085,423148000.0,13017000.0,10.06,2.743,2.681,19107000.0,,173241000.0,173241000.0,0.0,0.064,0.079,0.085,0.57,0.0,5625000.0,1.0,47235484.0,46173284.0,54215339.0,3.752,1160666000.0,0.0,0.0,0.0,25.137,
76421,IEP,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-07,0.0,1160666000.0,1077149500.0,,,0.161,20.964,-37102000.0,117744000.0,117744000.0,72689000.0,82249000.0,,0.199,179387000.0,,,179387000.0,2785000.0,7083000.0,0.0,0.0,0.0,98747000.0,105830000.0,0.611,105830000.0,98747000.0,82249000.0,1.42,1.28,1.42,967966000.0,875319000.0,967966000.0,611177969.0,6.0,5.775,-399000.0,-0.009,1.0,100552000.0,0.58,0.0,16498000.0,1222309000.0,1161546750.0,0.0,599045000.0,,,192700000.0,,,475188969.0,-116609000.0,7758000.0,0.0,5705000.0,0.0,-1182000.0,-152130000.0,-221880000.0,36703000.0,0.0,82249000.0,69232000.0,69232000.0,0.0,0.0,0.4,15347000.0,85205000.0,10528000.0,0.0,0.491,6.864,7.085,423148000.0,13017000.0,10.06,2.743,2.681,19107000.0,,173241000.0,173241000.0,0.0,0.064,0.079,0.085,0.57,0.0,5625000.0,1.0,47235484.0,46173284.0,54215339.0,3.752,1160666000.0,0.0,0.0,0.0,25.137,
76422,IEP,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-07,0.0,1088123000.0,1034790500.0,,,0.089,18.663,-69088000.0,66844000.0,66844000.0,5344000.0,63157000.0,,0.262,202833000.0,,,202833000.0,2790000.0,4168000.0,0.0,0.0,0.0,77777000.0,81945000.0,0.893,81945000.0,77777000.0,63156000.0,0.8,0.79,0.8,862183000.0,835658750.0,862183000.0,482861178.0,6.0,5.893,-7921000.0,-0.171,1.0,86416000.0,0.942,0.0,14621000.0,1224112000.0,1113425500.0,0.0,570096000.0,,,225940000.0,,,395597178.0,-406393000.0,-27567000.0,0.0,61140000.0,962000.0,61061000.0,-528621000.0,-469609000.0,61167000.0,0.0,63156000.0,61899000.0,61899000.0,0.0,1000.0,0.675,10287000.0,76129000.0,20317000.0,0.0,0.459,6.391,10.469,428367000.0,1257000.0,8.375,4.311,4.217,21182000.0,,91760000.0,91760000.0,0.0,0.06,0.074,0.07,0.848,0.0,3285000.0,1.0,47235484.0,46198284.0,54574163.0,1.986,1088123000.0,0.0,0.0,0.0,23.553,
76423,IEP,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-07,0.0,1042124000.0,,,,,18.265,-32056000.0,98299000.0,98299000.0,3721000.0,53137000.0,,0.235,185563000.0,,,185563000.0,2790000.0,4611000.0,0.0,0.0,0.0,67005000.0,71616000.0,0.887,71616000.0,67005000.0,53137000.0,0.7,0.76,0.7,843802000.0,,843802000.0,536856711.0,8.0,7.496,20984000.0,0.454,1.0,77050000.0,0.954,0.0,13868000.0,1129388000.0,,0.0,555602000.0,,,198322000.0,,,484163711.0,-109789000.0,-14023000.0,272331000.0,33280000.0,918000.0,304970000.0,-467799000.0,-459363000.0,53040000.0,0.0,53137000.0,52080000.0,52080000.0,0.0,0.0,0.645,11374000.0,65676000.0,9969000.0,0.0,0.574,9.297,14.643,378629000.0,1057000.0,10.25,5.994,5.863,7654000.0,,80771000.0,80771000.0,0.0,,,,0.83,0.0,3366000.0,1.0,47235484.0,46198284.0,53862528.0,1.748,1042124000.0,0.0,0.0,0.0,22.558,
76424,IEP,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-07,0.0,1017685000.0,,,,,17.908,-65787000.0,124503000.0,124503000.0,3788000.0,52595000.0,,0.23,177196000.0,,,177196000.0,2791000.0,4949000.0,0.0,0.0,0.0,65802000.0,70751000.0,0.944,70751000.0,65802000.0,52595000.0,0.98,1.03,0.98,827325000.0,,827325000.0,532453656.0,8.0,7.526,-11901000.0,-0.258,1.0,71187000.0,0.949,0.0,13207000.0,1070378000.0,,0.0,495481000.0,,,190360000.0,,,493859656.0,-122060000.0,4082000.0,272331000.0,41421000.0,957000.0,313631000.0,-489577000.0,-465515000.0,53886000.0,0.0,52595000.0,51549000.0,51549000.0,0.0,0.0,0.688,12115000.0,59072000.0,10373000.0,0.0,0.597,9.58,10.908,389133000.0,1046000.0,10.69,6.587,6.587,7043000.0,,74975000.0,74975000.0,0.0,,,,0.878,0.0,3359000.0,1.0,46198284.0,46198284.0,53319088.0,1.623,1017685000.0,0.0,0.0,0.0,22.029,
76425,IEP,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-07,0.0,1160666000.0,,,,,20.998,-16013000.0,117744000.0,117744000.0,68261000.0,26838000.0,,0.199,179387000.0,,,179387000.0,2785000.0,3634000.0,0.0,0.0,0.0,32112000.0,35746000.0,0.345,35746000.0,32112000.0,26838000.0,0.31,0.27,0.31,967966000.0,,967966000.0,611177969.0,6.0,5.775,-22488000.0,-0.488,1.0,35262000.0,0.341,0.0,5274000.0,1222309000.0,,0.0,599045000.0,,,192700000.0,,,475188969.0,-54306000.0,36021000.0,0.0,-37888000.0,94000.0,-44321000.0,-3510000.0,-122612000.0,-6475000.0,0.0,26838000.0,14924000.0,14924000.0,0.0,0.0,0.144,6932000.0,28330000.0,10528000.0,0.0,0.491,6.864,7.085,423148000.0,11914000.0,10.06,2.743,2.681,19107000.0,,103523000.0,103523000.0,0.0,,,,,0.0,3312000.0,1.0,47235484.0,46098284.0,55105577.0,2.246,1160666000.0,0.0,0.0,0.0,25.178,
76426,IEP,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-07,0.0,1088123000.0,,,,,18.663,-42436000.0,66844000.0,66844000.0,2562000.0,20934000.0,,0.262,202833000.0,,,202833000.0,2790000.0,1041000.0,0.0,0.0,0.0,24974000.0,26015000.0,0.962,26015000.0,24974000.0,20934000.0,0.42,0.38,0.42,862183000.0,,862183000.0,482861178.0,6.0,5.893,-26504000.0,-0.574,1.0,24481000.0,0.905,0.0,4040000.0,1224112000.0,,0.0,570096000.0,,,225940000.0,,,395597178.0,-31455000.0,-7248000.0,0.0,25771000.0,0.0,26020000.0,-73407000.0,-23723000.0,15932000.0,0.0,20934000.0,20517000.0,20517000.0,0.0,0.0,0.759,2190000.0,22291000.0,20317000.0,0.0,0.459,6.391,10.469,428367000.0,417000.0,8.375,4.311,4.217,21182000.0,,27043000.0,27043000.0,0.0,,,,,0.0,663000.0,1.0,47235484.0,46198284.0,54574163.0,0.585,1088123000.0,0.0,0.0,0.0,23.553,
76427,IEP,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-07,0.0,1042124000.0,,,,,18.265,11728000.0,98299000.0,98299000.0,874000.0,16477000.0,,0.235,185563000.0,,,185563000.0,2790000.0,1086000.0,0.0,0.0,0.0,20326000.0,21412000.0,1.004,21412000.0,20326000.0,16477000.0,0.33,0.3,0.33,843802000.0,,843802000.0,536856711.0,8.0,7.496,24150000.0,0.523,1.0,20445000.0,0.959,0.0,3849000.0,1129388000.0,,0.0,555602000.0,,,198322000.0,,,484163711.0,-26204000.0,-23691000.0,0.0,8367000.0,-86000.0,7795000.0,-46421000.0,-34458000.0,12422000.0,0.0,16477000.0,16149000.0,16149000.0,0.0,0.0,0.757,2646000.0,17799000.0,9969000.0,0.0,0.574,9.297,14.643,378629000.0,328000.0,10.25,5.994,5.863,7654000.0,,21319000.0,21319000.0,0.0,,,,,0.0,761000.0,1.0,47235484.0,46198284.0,53862528.0,0.461,1042124000.0,0.0,0.0,0.0,22.558,
76428,IEP,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-07,0.0,1017685000.0,,,,,17.908,9619000.0,124503000.0,124503000.0,992000.0,18000000.0,,0.23,177196000.0,,,177196000.0,2791000.0,1322000.0,0.0,0.0,0.0,21335000.0,22657000.0,1.061,22657000.0,21335000.0,18000000.0,0.36,0.33,0.36,827325000.0,,827325000.0,532453656.0,8.0,7.526,24443000.0,0.529,1.0,20364000.0,0.954,0.0,3335000.0,1070378000.0,,0.0,495481000.0,,,190360000.0,,,493859656.0,-4644000.0,2676000.0,0.0,9455000.0,-8000.0,9324000.0,-28792000.0,-41087000.0,14824000.0,0.0,18000000.0,17642000.0,17642000.0,0.0,0.0,0.826,3579000.0,16785000.0,10373000.0,0.0,0.597,9.58,10.908,389133000.0,358000.0,10.69,6.587,6.587,7043000.0,,21356000.0,21356000.0,0.0,,,,,0.0,889000.0,1.0,46198284.0,46198284.0,53319088.0,0.462,1017685000.0,0.0,0.0,0.0,22.029,
76429,IEP,ARY,1998-12-31,1999-03-31,1998-12-31,2021-08-07,0.0,1135915000.0,1070961750.0,,,0.087,19.243,-42498000.0,16462000.0,16462000.0,0.0,70638000.0,,0.278,173559000.0,,,173559000.0,2788000.0,4923000.0,0.0,0.0,0.0,86548000.0,91471000.0,0.98,91471000.0,86548000.0,70638000.0,1.42,1.28,1.42,888499000.0,855452250.0,888499000.0,534549749.0,6.0,5.844,8513000.0,0.184,1.0,93306000.0,1.0,0.0,15910000.0,1293012000.0,1179222500.0,0.0,676810000.0,,,247416000.0,,,377452749.0,-112685000.0,21784000.0,0.0,14191000.0,0.0,13083000.0,-176779000.0,-221880000.0,51011000.0,0.0,70638000.0,69232000.0,69232000.0,0.0,0.0,0.742,19025000.0,74281000.0,71069000.0,0.0,0.425,5.452,5.766,422105000.0,1406000.0,8.188,4.045,4.052,18994000.0,,93306000.0,93306000.0,0.0,0.065,0.081,0.073,0.928,0.0,3808000.0,1.0,46098284.0,46173284.0,54215339.0,2.021,1135915000.0,0.0,0.0,0.0,24.601,
