None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
74935,IMIIQ,MRY,1998-12-31,1998-12-31,1998-12-31,2021-06-16,0.0,8745353.0,11535322.0,4843333.0,3902020.0,0.326,0.153,-180445.0,31923.0,31923.0,3731709.0,-15167333.0,1.471,4.008,4477582.0,1183055.0,3294527.0,4477582.0,730804.0,1431681.0,0.0,0.0,0.0,-14115622.0,-12683941.0,-3.372,-12683941.0,-14115622.0,-15167333.0,-1.33,-1.33,-1.33,1746410.0,7131300.0,1746410.0,7691904.0,-1.0,-0.606,-9950347.0,-0.871,1.0,30326.0,0.008,0.0,1051711.0,9899019.0,10531476.0,3157537.0,1035492.0,583684.0,451808.0,6998943.0,3291993.0,3706950.0,5791666.0,-821241.0,460583.0,86637.0,3005149.0,0.0,3091786.0,5856875.0,6199004.0,-9769902.0,0.0,-15167333.0,-15167333.0,-15167333.0,0.0,0.0,-4.032,14344073.0,-14313747.0,1159737.0,0.0,3.316,-0.382,-0.376,3100562.0,0.0,0.5,1.54,1.518,1002781.0,-42300613.0,3762035.0,3762035.0,5311333.0,-1.315,-2.127,-1.34,-3.752,0.0,9032740.0,1.0,11583333.0,11419666.0,11419666.0,0.329,8745353.0,0.0,0.0,0.0,0.766,1551340.0
74936,IMIIQ,MRT,1998-12-31,1998-12-31,1998-12-31,2021-06-16,0.0,8745353.0,11535322.0,4843333.0,3902020.0,0.326,0.153,-180445.0,31923.0,31923.0,3731709.0,-15167333.0,1.471,4.008,4477582.0,1183055.0,3294527.0,4477582.0,730804.0,1431681.0,0.0,0.0,0.0,-14115622.0,-12683941.0,-3.372,-12683941.0,-14115622.0,-15167333.0,-1.33,-1.33,-1.33,1746410.0,7131300.0,1746410.0,7691904.0,-1.0,-0.606,-9950347.0,-0.871,1.0,30326.0,0.008,0.0,1051711.0,9899019.0,10531476.0,3157537.0,1035492.0,583684.0,451808.0,6998943.0,3291993.0,3706950.0,5791666.0,-821241.0,460583.0,86637.0,3005149.0,0.0,3091786.0,5856875.0,6199004.0,-9769902.0,0.0,-15167333.0,-15167333.0,-15167333.0,0.0,0.0,-4.032,14344073.0,-14313747.0,1159737.0,0.0,3.316,-0.382,-0.376,3100562.0,0.0,0.5,1.54,1.518,1002781.0,-42300613.0,3762035.0,3762035.0,5311333.0,-1.315,-2.127,-1.34,-3.752,0.0,9032740.0,1.0,11583333.0,11419666.0,11419666.0,0.329,8745353.0,0.0,0.0,0.0,0.766,1551340.0
74937,IMIIQ,MRT,1998-09-30,1998-09-30,1998-09-30,2021-06-16,0.0,10080730.0,13700586.0,6189016.0,3891714.0,0.222,0.47,-267097.0,437726.0,437726.0,3446158.0,-16076220.0,3.314,0.853,2337964.0,0.0,2337964.0,2337964.0,539752.0,1964336.0,0.0,0.0,0.0,-15597906.0,-13633570.0,-4.484,-13633570.0,-15597906.0,-16076220.0,-1.43,-1.43,-1.43,5440875.0,10524034.0,5440875.0,6041487.0,0.0,-0.443,-13839772.0,-1.195,1.0,-405825.0,-0.133,0.0,478314.0,10113619.0,11727660.0,5092010.0,772366.0,337040.0,435326.0,4639855.0,1867349.0,2772506.0,7239583.0,272908.0,0.0,95393.0,2800000.0,0.0,2895393.0,10950190.0,11440519.0,-13572675.0,0.0,-16076220.0,-16076220.0,-16076220.0,0.0,0.0,-5.288,15487136.0,-15892961.0,1230904.0,0.0,1.331,-0.45,-0.437,3171655.0,0.0,0.625,2.381,2.381,209207.0,-38188086.0,3040333.0,3040333.0,6336457.0,-1.173,-1.528,-1.33,-5.13,0.0,9150679.0,1.0,11583333.0,11583334.0,11583334.0,0.262,10080730.0,0.0,0.0,0.0,0.87,4321667.0
74938,IMIIQ,MRT,1998-06-30,1998-06-30,1998-06-30,2021-06-16,0.0,13516851.0,,9327562.0,4189289.0,,0.822,-558133.0,3067446.0,3067446.0,3137405.0,-15388834.0,4.914,0.435,1869350.0,0.0,1869350.0,1869350.0,440766.0,1316701.0,0.0,0.0,0.0,-15388834.0,-14072133.0,-4.958,-14072133.0,-15388834.0,-15388834.0,-1.38,-1.38,-1.38,9419516.0,,9419516.0,39361462.0,-3.0,-2.797,-14714069.0,-1.284,1.0,-299364.0,-0.105,0.0,0.0,10420425.0,,5189302.0,881928.0,701633.0,180295.0,4097335.0,1898330.0,2199005.0,39844066.0,2788977.0,0.0,173537.0,0.0,0.0,2973537.0,13971376.0,15151776.0,-14155936.0,0.0,-15388834.0,-15388834.0,-15388834.0,0.0,0.0,-5.422,15554285.0,-15853649.0,1284906.0,0.0,4.23,-2.589,-2.536,3533385.0,0.0,3.5,14.039,14.137,228014.0,-34386132.0,2838041.0,2838041.0,5992621.0,,,,-5.422,0.0,9561664.0,1.0,11384019.0,11463386.0,11463386.0,0.248,13516851.0,0.0,0.0,0.0,1.179,7429232.0
74939,IMIIQ,MRT,1998-03-31,1998-03-31,1998-03-31,2021-06-16,0.0,13798356.0,,9826699.0,3971657.0,,1.081,-894387.0,482604.0,482604.0,3683443.0,-13678249.0,6.055,0.158,0.0,0.0,0.0,0.0,363590.0,1193855.0,0.0,0.0,0.0,-13678249.0,-12484394.0,-3.144,-12484394.0,-13678249.0,-13678249.0,-1.24,-1.24,-1.24,11918400.0,,11918400.0,36378358.0,-3.0,-2.914,-17749650.0,-1.61,1.0,287639.0,0.072,0.0,0.0,11692843.0,,5295831.0,3545244.0,3234707.0,310537.0,1879956.0,1622909.0,257047.0,37231522.0,-1050438.0,0.0,113576.0,0.0,0.0,113576.0,15691249.0,17207903.0,-16855263.0,0.0,-13678249.0,-13678249.0,-13678249.0,0.0,0.0,-3.444,14762398.0,-14474759.0,994474.0,0.0,3.124,-2.722,-2.722,3474707.0,0.0,3.375,9.376,9.371,776431.0,-30540624.0,3971082.0,3971082.0,5724476.0,,,,-3.444,0.0,9037922.0,1.0,11031562.0,11025640.0,11025640.0,0.36,13798356.0,0.0,0.0,0.0,1.251,8203790.0
74940,IMIIQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-06-16,0.0,8745353.0,,4843333.0,3902020.0,,0.151,312680.0,31923.0,31923.0,1966146.0,-4112527.0,1.471,4.008,4477582.0,1183055.0,3294527.0,4477582.0,730804.0,461547.0,0.0,0.0,0.0,-3539130.0,-3077583.0,-1.867,-3077583.0,-3539130.0,-4112527.0,-0.36,-0.36,-0.36,1746410.0,,1746410.0,7691904.0,-1.0,-0.606,-666785.0,-0.057,1.0,-317514.0,-0.193,0.0,573397.0,9899019.0,,3157537.0,1035492.0,583684.0,451808.0,6998943.0,3291993.0,3706950.0,5791666.0,-405803.0,61548.0,-5715.0,205149.0,0.0,199434.0,374228.0,0.0,-979465.0,0.0,-4112527.0,-4112527.0,-4112527.0,0.0,0.0,-2.495,3287694.0,-3605208.0,1159737.0,0.0,3.316,-0.382,-0.376,3100562.0,0.0,0.5,1.54,1.518,1002781.0,-42300613.0,1648632.0,1648632.0,1264077.0,,,,,0.0,2023617.0,1.0,11583333.0,11600167.0,11600167.0,0.142,8745353.0,0.0,0.0,0.0,0.754,1551340.0
74941,IMIIQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-06-16,0.0,10080730.0,,6189016.0,3891714.0,,0.47,-166803.0,437726.0,437726.0,661331.0,-3801954.0,3.314,0.853,2337964.0,0.0,2337964.0,2337964.0,539752.0,855178.0,0.0,0.0,0.0,-3323640.0,-2468462.0,-3.895,-2468462.0,-3323640.0,-3801954.0,-0.33,-0.33,-0.33,5440875.0,,5440875.0,6041487.0,0.0,-0.443,-3060417.0,-0.264,1.0,-27523.0,-0.043,0.0,478314.0,10113619.0,,5092010.0,772366.0,337040.0,435326.0,4639855.0,1867349.0,2772506.0,7239583.0,-2629720.0,0.0,0.0,2800000.0,0.0,0.0,263894.0,31662.0,-2893614.0,0.0,-3801954.0,-3801954.0,-3801954.0,0.0,0.0,-5.999,3333597.0,-3361120.0,1230904.0,0.0,1.331,-0.45,-0.437,3171655.0,0.0,0.625,2.381,2.381,209207.0,-38188086.0,633808.0,633808.0,1275259.0,,,,,0.0,2058338.0,1.0,11583333.0,11583334.0,11583334.0,0.055,10080730.0,0.0,0.0,0.0,0.87,4321667.0
74942,IMIIQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-06-16,0.0,13516851.0,,9327562.0,4189289.0,,0.822,-138634.0,3067446.0,3067446.0,342940.0,-3835266.0,4.914,0.435,1869350.0,0.0,1869350.0,1869350.0,440766.0,300568.0,0.0,0.0,0.0,-3835266.0,-3534698.0,-8.083,-3534698.0,-3835266.0,-3835266.0,-0.33,-0.33,-0.33,9419516.0,,9419516.0,39361462.0,-3.0,-2.797,-2798928.0,-0.244,1.0,94357.0,0.216,0.0,0.0,10420425.0,,5189302.0,881928.0,701633.0,180295.0,4097335.0,1898330.0,2199005.0,39844066.0,2584842.0,0.0,76261.0,0.0,0.0,2876261.0,2368875.0,2507509.0,-2660294.0,0.0,-3835266.0,-3835266.0,-3835266.0,0.0,0.0,-8.77,3956032.0,-3861675.0,1284906.0,0.0,4.23,-2.589,-2.536,3533385.0,0.0,3.5,14.039,14.137,228014.0,-34386132.0,437297.0,437297.0,1354972.0,,,,,0.0,2601060.0,1.0,11384019.0,11463386.0,11463386.0,0.038,13516851.0,0.0,0.0,0.0,1.179,7429232.0
74943,IMIIQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-06-16,0.0,13798356.0,,9826699.0,3971657.0,,1.081,-187688.0,482604.0,482604.0,761292.0,-3417586.0,6.055,0.158,0.0,0.0,0.0,0.0,363590.0,292702.0,0.0,0.0,0.0,-3417586.0,-3124884.0,-2.998,-3124884.0,-3417586.0,-3417586.0,-0.31,-0.31,-0.31,11918400.0,,11918400.0,36378358.0,-3.0,-2.914,-3424217.0,-0.311,1.0,281006.0,0.27,0.0,0.0,11692843.0,,5295831.0,3545244.0,3234707.0,310537.0,1879956.0,1622909.0,257047.0,37231522.0,-370560.0,0.0,16091.0,0.0,0.0,16091.0,2849878.0,3659833.0,-3236529.0,0.0,-3417586.0,-3417586.0,-3417586.0,0.0,0.0,-3.279,3766750.0,-3485744.0,994474.0,0.0,3.124,-2.722,-2.722,3474707.0,0.0,3.375,9.376,9.371,776431.0,-30540624.0,1042298.0,1042298.0,1417025.0,,,,,0.0,2349725.0,1.0,11031562.0,11025640.0,11025640.0,0.095,13798356.0,0.0,0.0,0.0,1.251,8203790.0
74944,IMIIQ,ARY,1998-12-31,1999-04-21,1998-12-31,2021-06-16,0.0,8745353.0,11485322.0,4843333.0,3902020.0,0.328,0.153,-180445.0,31923.0,31923.0,3731709.0,-15167333.0,1.471,4.008,1689582.0,1183055.0,506527.0,1689582.0,730804.0,1431681.0,0.0,0.0,0.0,-14115622.0,-12683941.0,-3.372,-12683941.0,-14115622.0,-15167333.0,-1.33,-1.33,-1.33,1746410.0,7131300.0,1746410.0,13170179.0,-1.0,-1.038,-9950347.0,-0.871,1.0,30326.0,0.008,0.0,1051711.0,7111019.0,10456476.0,3157537.0,1035492.0,583684.0,451808.0,6998943.0,3291993.0,3706950.0,11512520.0,-821241.0,460583.0,86637.0,3005149.0,0.0,3091786.0,5856875.0,6199004.0,-9769902.0,0.0,-15167333.0,-15167333.0,-15167333.0,0.0,0.0,-4.032,14344073.0,-14313747.0,1159737.0,0.0,6.592,-0.759,-0.705,3100562.0,0.0,0.938,3.06,2.846,1002781.0,-42300613.0,3762035.0,3762035.0,5311333.0,-1.321,-2.127,-1.35,-3.752,0.0,9032740.0,1.0,12280021.0,11419666.0,11419666.0,0.329,8745353.0,0.0,0.0,0.0,0.766,1551340.0
