None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
72360,ITCC1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-10-13,-10527.0,18646765.0,17985323.0,7382418.0,11264347.0,1.025,3.016,-1579033.0,267045.0,267045.0,11132801.0,-3793042.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,2756363.0,0.0,0.0,0.0,-3727842.0,-971479.0,-0.053,-971479.0,-3727842.0,-4025705.0,-0.99,-0.99,-0.99,11598124.0,12424723.0,11598124.0,15611721.0,-4.0,-16.07,-1641776.0,-0.427,1.0,7293350.0,0.396,9453332.0,297863.0,5741484.0,4895359.0,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,14843419.0,-4618627.0,-3304154.0,-210245.0,537548.0,0.0,327303.0,-4883187.0,0.0,-62743.0,0.0,-3793042.0,-3793042.0,-3793042.0,0.0,0.0,-0.206,11509268.0,-4215918.0,2287251.0,0.0,1.28,-3.913,-3.788,1048629.0,0.0,3.75,0.806,0.783,6109925.0,-4849625.0,18426151.0,18426151.0,0.0,-0.211,-0.305,-0.762,-0.202,215369.0,11509268.0,1.0,3958245.0,3845333.0,3845333.0,4.792,9193433.0,279747.0,-232663.0,10161.0,2.391,1798504.0
72361,ITCC1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-10-13,-10527.0,18646765.0,17985323.0,7382418.0,11264347.0,1.025,3.016,-1579033.0,267045.0,267045.0,11132801.0,-3793042.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,2756363.0,0.0,0.0,0.0,-3727842.0,-971479.0,-0.053,-971479.0,-3727842.0,-4025705.0,-0.99,-0.99,-0.99,11598124.0,12424723.0,11598124.0,15611721.0,-4.0,-16.07,-1641776.0,-0.427,1.0,7293350.0,0.396,9453332.0,297863.0,5741484.0,4895359.0,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,14843419.0,-4618627.0,-3304154.0,-210245.0,537548.0,0.0,327303.0,-4883187.0,0.0,-62743.0,0.0,-3793042.0,-3793042.0,-3793042.0,0.0,0.0,-0.206,11509268.0,-4215918.0,2287251.0,0.0,1.28,-3.913,-3.788,1048629.0,0.0,3.75,0.806,0.783,6109925.0,-4849625.0,18426151.0,18426151.0,0.0,-0.211,-0.305,-0.762,-0.202,215369.0,11509268.0,1.0,3958245.0,3845333.0,3845333.0,4.792,9193433.0,279747.0,-232663.0,10161.0,2.391,1798504.0
72362,ITCC1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-13,1581.0,17060871.0,18269821.0,5698903.0,11361968.0,1.106,2.819,-752662.0,1047758.0,1047758.0,13556210.0,-3900473.0,1.328,0.516,1816060.0,300000.0,1516060.0,1816060.0,290523.0,1856816.0,0.0,0.0,0.0,-3340513.0,-1483697.0,-0.073,-1483697.0,-3340513.0,-3406988.0,-1.0,-1.0,-1.0,11252288.0,13253930.0,11252288.0,16447846.0,-5.0,-11.086,-1026420.0,-0.257,1.0,6656019.0,0.329,9458417.0,66475.0,4078233.0,4827860.0,239256.0,791297.0,0.0,791297.0,5808583.0,4292523.0,1516060.0,18097038.0,-1358812.0,205.0,-710245.0,377648.0,0.0,-332597.0,-752457.0,0.0,-273758.0,0.0,-3900473.0,-3900473.0,-3900473.0,0.0,0.0,-0.193,11299787.0,-4643768.0,2075365.0,0.0,1.608,-4.64,-4.625,1099566.0,0.0,4.625,0.895,0.913,4055431.0,-4970819.0,20212229.0,20212229.0,0.0,-0.213,-0.294,-0.692,-0.165,4118.0,11299787.0,1.0,3912873.0,3991629.0,,5.064,7602454.0,153714.0,493485.0,104097.0,1.905,1406380.0
72363,ITCC1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-13,-15122.0,17974484.0,,8044783.0,9929701.0,,3.312,-1553577.0,2220881.0,2220881.0,15648793.0,-2247220.0,1.719,0.395,571689.0,163000.0,408689.0,571689.0,284089.0,2318371.0,0.0,0.0,0.0,-1761581.0,556790.0,0.024,556790.0,-1761581.0,-1801735.0,-0.58,-0.58,-0.58,12886306.0,,12886306.0,23024348.0,-13.0,41.352,-543564.0,-0.14,1.0,7598052.0,0.327,7078349.0,40154.0,4567454.0,,321183.0,1863551.0,0.0,1863551.0,5088178.0,4679489.0,408689.0,25138159.0,-551047.0,494055.0,-930533.0,428995.0,0.0,-501538.0,-1059522.0,0.0,1010013.0,0.0,-2247220.0,-2247220.0,-2247220.0,0.0,0.0,-0.097,10809946.0,-3211894.0,1766881.0,0.0,1.951,-11.186,-11.207,975111.0,0.0,6.5,1.081,1.088,4849859.0,-3074795.0,23246845.0,23246845.0,0.0,,,,-0.076,4118.0,10809946.0,1.0,3867409.0,3890339.0,,5.976,10896135.0,153714.0,445485.0,114120.0,2.801,3365294.0
72364,ITCC1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-13,25873.0,18259172.0,,7699164.0,10560008.0,,3.602,-2038263.0,2648118.0,2648118.0,15327069.0,-1730766.0,1.993,0.308,534307.0,100000.0,434307.0,534307.0,340386.0,2544291.0,0.0,0.0,0.0,-1462674.0,1081617.0,0.046,1081617.0,-1462674.0,-1484766.0,-0.44,,-0.44,13962173.0,,13962173.0,15842229.0,-11.0,14.647,-248877.0,-0.064,1.0,8366805.0,0.353,7088405.0,22092.0,5194264.0,,307021.0,1914573.0,0.0,1914573.0,4296999.0,3862692.0,434307.0,20167605.0,-162447.0,663338.0,-931544.0,354636.0,0.0,-576908.0,-1374925.0,0.0,1789386.0,0.0,-1730766.0,-1730766.0,-1730766.0,0.0,0.0,-0.073,11162455.0,-2795650.0,1026659.0,0.0,1.444,-11.652,-11.79,690665.0,0.0,5.188,0.851,0.849,5301880.0,-1809759.0,23693874.0,23693874.0,0.0,,,,-0.062,4118.0,11162455.0,1.0,3887731.0,3876171.0,,6.113,11170767.0,175206.0,246000.0,362067.0,2.882,3836472.0
72365,ITCC1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-10-13,-10527.0,18646765.0,,7382418.0,11264347.0,,3.175,-770426.0,267045.0,267045.0,4566744.0,121194.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,982133.0,0.0,0.0,0.0,346554.0,1328687.0,0.177,1328687.0,346554.0,111047.0,0.01,0.01,0.01,11598124.0,,11598124.0,15611721.0,-4.0,-16.07,-1275915.0,-0.349,1.0,2930497.0,0.391,9453332.0,235507.0,5741484.0,,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,14843419.0,-780713.0,-155683.0,25500.0,625385.0,0.0,650885.0,-926109.0,0.0,-505489.0,0.0,121194.0,121194.0,121194.0,0.0,0.0,0.016,2660925.0,269572.0,2287251.0,0.0,1.28,-3.913,-3.788,1048629.0,0.0,3.75,0.806,0.783,6109925.0,-4849625.0,7497241.0,7497241.0,0.0,,,,,211250.0,2660925.0,1.0,3958245.0,3652442.0,3652442.0,2.053,9193433.0,279747.0,-10147.0,10161.0,2.517,1798504.0
72366,ITCC1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-13,1581.0,17060871.0,,5698903.0,11361968.0,,2.819,-161480.0,1047758.0,1047758.0,2837768.0,-1896025.0,1.328,0.516,1816060.0,300000.0,1516060.0,1816060.0,290523.0,650808.0,0.0,0.0,0.0,-1869704.0,-1218896.0,-0.301,-1218896.0,-1869704.0,-1896025.0,-0.48,-0.48,-0.48,11252288.0,,11252288.0,16447846.0,-5.0,-11.086,-840524.0,-0.211,1.0,1216187.0,0.3,9458417.0,26321.0,4078233.0,,239256.0,791297.0,0.0,791297.0,5808583.0,4292523.0,1516060.0,18097038.0,-1173123.0,-493850.0,245303.0,-84052.0,0.0,161251.0,-655330.0,0.0,-679044.0,0.0,-1896025.0,-1896025.0,-1896025.0,0.0,0.0,-0.468,3153362.0,-1937175.0,2075365.0,0.0,1.608,-4.64,-4.625,1099566.0,0.0,4.625,0.895,0.913,4055431.0,-4970819.0,4053955.0,4053955.0,0.0,,,,,0.0,3153362.0,1.0,3912873.0,3991629.0,3991629.0,1.016,7602454.0,153714.0,0.0,104097.0,1.905,1406380.0
72367,ITCC1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-13,-15122.0,17974484.0,,8044783.0,9929701.0,,3.312,-427664.0,2220881.0,2220881.0,2403292.0,-1265036.0,1.719,0.395,571689.0,163000.0,408689.0,571689.0,284089.0,606837.0,0.0,0.0,0.0,-1469489.0,-862652.0,-0.214,-862652.0,-1469489.0,-1487551.0,-0.33,-0.33,-0.33,12886306.0,,12886306.0,23024348.0,-13.0,41.352,-328294.0,-0.084,1.0,1636965.0,0.405,7078349.0,18062.0,4567454.0,,321183.0,1863551.0,0.0,1863551.0,5088178.0,4679489.0,408689.0,25138159.0,-427237.0,-169283.0,28047.0,42293.0,0.0,70340.0,-596947.0,0.0,99370.0,0.0,-1265036.0,-1265036.0,-1265036.0,0.0,0.0,-0.313,3281565.0,-1644600.0,1766881.0,0.0,1.951,-11.186,-11.207,975111.0,0.0,6.5,1.081,1.088,4849859.0,-3074795.0,4040257.0,4040257.0,0.0,,,,,0.0,3281565.0,1.0,3867409.0,3890339.0,,1.039,10896135.0,153714.0,-222515.0,114120.0,2.801,3365294.0
72368,ITCC1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-13,25873.0,18259172.0,,7699164.0,10560008.0,,3.602,-219463.0,2648118.0,2648118.0,1324997.0,-753176.0,1.993,0.308,534307.0,100000.0,434307.0,534307.0,340386.0,516585.0,0.0,0.0,0.0,-735204.0,-218619.0,-0.077,-218619.0,-735204.0,-753176.0,-0.19,-0.19,-0.19,13962173.0,,13962173.0,15842229.0,-11.0,14.647,802957.0,0.207,1.0,1509701.0,0.533,7088405.0,17972.0,5194264.0,,307021.0,1914573.0,0.0,1914573.0,4296999.0,3862692.0,434307.0,20167605.0,-2237554.0,-2485338.0,-509095.0,-46078.0,0.0,-555173.0,-2704801.0,0.0,1022420.0,0.0,-753176.0,-753176.0,-753176.0,0.0,0.0,-0.266,2413416.0,-903715.0,1026659.0,0.0,1.444,-11.652,-11.79,690665.0,0.0,5.188,0.851,0.849,5301880.0,-1809759.0,2834698.0,2834698.0,0.0,,,,,4119.0,2413416.0,1.0,3887731.0,3876171.0,,0.731,11170767.0,175206.0,0.0,362067.0,2.882,3836472.0
72369,ITCC1,ARY,1998-12-31,1999-03-24,1998-12-31,2019-10-13,-10527.0,18646765.0,17985323.0,7382418.0,11264347.0,1.025,3.016,-1579033.0,267045.0,267045.0,11132801.0,-3793042.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,2756363.0,0.0,0.0,0.0,-3727842.0,-971479.0,-0.053,-971479.0,-3727842.0,-4025705.0,-0.99,-0.99,-0.99,11598124.0,12424723.0,11598124.0,20933629.0,-6.0,-21.548,-1641776.0,-0.427,1.0,7293350.0,0.396,9453332.0,297863.0,5741484.0,4895359.0,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,18801664.0,-4618627.0,-3304154.0,-210245.0,537548.0,0.0,327303.0,-4883187.0,0.0,-62743.0,0.0,-3793042.0,-3793042.0,-3793042.0,0.0,0.0,-0.206,11509268.0,-4215918.0,2287251.0,0.0,1.621,-4.957,-4.798,1048629.0,0.0,4.75,1.02,0.991,6109925.0,-4849625.0,18426151.0,18426151.0,0.0,-0.211,-0.305,-0.762,-0.202,215369.0,11509268.0,1.0,3958245.0,3845333.0,3845333.0,4.792,9193433.0,279747.0,-232663.0,10161.0,2.391,1798504.0
72370,ITCC1,ART,1998-12-31,1999-03-24,1998-12-31,2019-10-13,-10527.0,18646765.0,17985323.0,7382418.0,11264347.0,1.025,3.016,-1579033.0,267045.0,267045.0,11132801.0,-3793042.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,2756363.0,0.0,0.0,0.0,-3727842.0,-971479.0,-0.053,-971479.0,-3727842.0,-4025705.0,-0.99,-0.99,-0.99,11598124.0,12424723.0,11598124.0,20933629.0,-6.0,-21.548,-1641776.0,-0.427,1.0,7293350.0,0.396,9453332.0,297863.0,5741484.0,4895359.0,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,18801664.0,-4618627.0,-3304154.0,-210245.0,537548.0,0.0,327303.0,-4883187.0,0.0,-62743.0,0.0,-3793042.0,-3793042.0,-3793042.0,0.0,0.0,-0.206,11509268.0,-4215918.0,2287251.0,0.0,1.621,-4.957,-4.798,1048629.0,0.0,4.75,1.02,0.991,6109925.0,-4849625.0,18426151.0,18426151.0,0.0,-0.211,-0.305,-0.762,-0.202,215369.0,11509268.0,1.0,3958245.0,3845333.0,3845333.0,4.792,9193433.0,279747.0,-232663.0,10161.0,2.391,1798504.0
72371,ITCC1,ART,1998-09-30,1998-11-12,1998-09-30,2019-10-13,1581.0,17060871.0,18269821.0,5698903.0,11361968.0,,2.819,,1047758.0,1047758.0,,,1.328,0.516,1816060.0,300000.0,1516060.0,1816060.0,290523.0,,0.0,0.0,0.0,,,,,,,,,,11252288.0,13253930.0,11252288.0,13632598.0,,,,,1.0,,,9458417.0,,4078233.0,4827860.0,239256.0,791297.0,0.0,791297.0,5808583.0,4292523.0,1516060.0,12864296.0,,,,,,,,,,,,,,,,,,,2075365.0,,1.143,,,1099566.0,,3.25,,,4055431.0,-4970819.0,,,,,,,,,,1.0,3958245.0,3991629.0,,,7602454.0,153714.0,,104097.0,1.905,1406380.0
72372,ITCC1,ART,1998-06-30,1998-08-14,1998-06-30,2019-10-13,-15122.0,17974484.0,,8044783.0,9929701.0,,3.312,,2220881.0,2220881.0,,,1.719,0.395,571689.0,163000.0,408689.0,571689.0,284089.0,,0.0,0.0,0.0,,,,,,,,,,12886306.0,,12886306.0,20849828.0,,,,,1.0,,,7078349.0,,4567454.0,,321183.0,1863551.0,0.0,1863551.0,5088178.0,4679489.0,408689.0,22499020.0,,,,,,,,,,,,,,,,,,,1766881.0,,1.746,,,975111.0,,5.75,,,4849859.0,-3074795.0,,,,,,,,,,1.0,3912873.0,3890339.0,,,10896135.0,153714.0,,114120.0,2.801,3365294.0
72373,ITCC1,ART,1998-03-31,1998-05-01,1998-03-31,2019-10-13,25873.0,18259172.0,,7699164.0,10560008.0,,3.602,,2648118.0,2648118.0,,,1.993,0.308,534307.0,100000.0,434307.0,534307.0,340386.0,,0.0,0.0,0.0,,,,,,,,,,13962173.0,,13962173.0,20123791.0,,,,,1.0,,,7088405.0,,5194264.0,,307021.0,1914573.0,0.0,1914573.0,4296999.0,3862692.0,434307.0,22237602.0,,,,,,,,,,,,,,,,,,,1026659.0,,1.593,,,690665.0,,5.75,,,5301880.0,-1809759.0,,,,,,,,,,1.0,3867409.0,3876171.0,,,11170767.0,175206.0,,362067.0,2.882,3836472.0
72374,ITCC1,ARQ,1998-12-31,1999-03-24,1998-12-31,2019-10-13,-10527.0,18646765.0,,7382418.0,11264347.0,,3.175,-770426.0,267045.0,267045.0,4566744.0,121194.0,1.322,0.608,2399010.0,934283.0,1464727.0,2399010.0,420005.0,982133.0,0.0,0.0,0.0,408910.0,1391043.0,0.186,1391043.0,408910.0,111047.0,0.01,0.01,0.01,11598124.0,,11598124.0,20933629.0,-6.0,-21.548,-1275915.0,-0.349,1.0,2930497.0,0.391,9453332.0,297863.0,5741484.0,,588971.0,753420.0,0.0,753420.0,7048641.0,5583914.0,1464727.0,18801664.0,-780713.0,-155683.0,25500.0,625385.0,0.0,650885.0,-926109.0,0.0,-505489.0,0.0,121194.0,121194.0,121194.0,0.0,0.0,0.016,2660925.0,269572.0,2287251.0,0.0,1.621,-4.957,-4.798,1048629.0,0.0,4.75,1.02,0.991,6109925.0,-4849625.0,7497241.0,7497241.0,0.0,,,,,211250.0,2660925.0,1.0,3958245.0,3652442.0,3652442.0,2.053,9193433.0,279747.0,-10147.0,10161.0,2.517,1798504.0
72375,ITCC1,ARQ,1998-09-30,1998-11-12,1998-09-30,2019-10-13,1581.0,17060871.0,,5698903.0,11361968.0,,2.819,-161480.0,1047758.0,1047758.0,2837768.0,-1896025.0,1.328,0.516,1816060.0,300000.0,1516060.0,1816060.0,290523.0,650808.0,0.0,0.0,0.0,-1896025.0,-1245217.0,-0.307,-1245217.0,-1896025.0,-1896025.0,-0.48,-0.48,-0.48,11252288.0,,11252288.0,13632598.0,,,-840524.0,-0.211,1.0,1216187.0,0.3,9458417.0,0.0,4078233.0,,239256.0,791297.0,0.0,791297.0,5808583.0,4292523.0,1516060.0,12864296.0,-1173123.0,-493850.0,245303.0,-84052.0,0.0,161251.0,-655330.0,0.0,-679044.0,0.0,-1896025.0,-1896025.0,-1896025.0,0.0,0.0,-0.468,3153362.0,-1937175.0,2075365.0,0.0,1.143,,,1099566.0,0.0,3.25,,,4055431.0,-4970819.0,4053955.0,4053955.0,0.0,,,,,0.0,3153362.0,1.0,3958245.0,3991629.0,3991629.0,1.016,7602454.0,153714.0,0.0,104097.0,1.905,1406380.0
