None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
71141,JEFF,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-30,1950000.0,1637106000.0,1525242250.0,,,0.045,12.697,-7018000.0,54599000.0,54599000.0,0.0,11432000.0,,11.433,206117000.0,,,206117000.0,0.0,4174000.0,1276280000.0,0.022,0.43,15432000.0,19606000.0,0.284,19606000.0,15432000.0,15432000.0,1.11,1.04,1.11,131678000.0,118983250.0,131678000.0,340191324.0,22.0,17.351,4226000.0,0.407,1.0,69025000.0,1.0,4059000.0,0.0,1784565000.0,1646254750.0,0.0,1519575000.0,,,1505428000.0,,,204829324.0,-93238000.0,0.0,2404000.0,-128355000.0,-4660000.0,60042000.0,-164524000.0,-157506000.0,11244000.0,0.0,11432000.0,11432000.0,11432000.0,0.0,0.0,0.166,53593000.0,15432000.0,0.0,0.387,1.556,17.917,17.793,24085000.0,0.0,19.75,2.967,2.967,0.0,21933000.0,69025000.0,69025000.0,0.0,0.007,0.096,0.009,0.224,0.0,32821000.0,1.0,10371105.0,10371105.0,,6.656,1633047000.0,0.0,4000000.0,0.0,157.461,
71142,JEFF,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-30,1950000.0,1637106000.0,1525242250.0,,,0.045,12.697,-7018000.0,54599000.0,54599000.0,0.0,11432000.0,,11.433,206117000.0,,,206117000.0,0.0,4174000.0,1276280000.0,0.022,0.43,15432000.0,19606000.0,0.284,19606000.0,15432000.0,15432000.0,1.11,1.04,1.11,131678000.0,118983250.0,131678000.0,340191324.0,22.0,17.351,4226000.0,0.407,1.0,69025000.0,1.0,4059000.0,0.0,1784565000.0,1646254750.0,0.0,1519575000.0,,,1505428000.0,,,204829324.0,-93238000.0,0.0,2404000.0,-128355000.0,-4660000.0,60042000.0,-164524000.0,-157506000.0,11244000.0,0.0,11432000.0,11432000.0,11432000.0,0.0,0.0,0.166,53593000.0,15432000.0,0.0,0.387,1.556,17.917,17.793,24085000.0,0.0,19.75,2.967,2.967,0.0,21933000.0,69025000.0,69025000.0,0.0,0.007,0.096,0.009,0.224,0.0,32821000.0,1.0,10371105.0,10371105.0,,6.656,1633047000.0,0.0,4000000.0,0.0,157.461,
71143,JEFF,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-30,2968000.0,1713033000.0,1506218250.0,,,0.045,12.538,-7422000.0,152701000.0,152701000.0,0.0,11621000.0,,12.211,288063000.0,,,288063000.0,0.0,3851000.0,1275771000.0,0.015,0.38,15758000.0,19609000.0,0.289,19609000.0,15758000.0,15758000.0,1.14,1.04,1.14,129671000.0,116515250.0,129671000.0,250293428.0,16.0,12.764,11968000.0,1.157,1.0,67834000.0,1.0,4153000.0,0.0,1844242000.0,1635916000.0,0.0,1498561000.0,,,1583362000.0,,,210521428.0,-15527000.0,0.0,2031000.0,43350000.0,-4109000.0,229954000.0,-264871000.0,-257449000.0,19390000.0,0.0,11621000.0,11493000.0,11493000.0,0.0,0.0,0.169,52076000.0,15758000.0,0.0,0.333,1.624,18.317,21.82,23468000.0,128000.0,24.875,3.103,3.792,0.0,19376000.0,67834000.0,67834000.0,0.0,0.008,0.099,0.01,0.232,0.0,32126000.0,1.0,8463173.0,10342000.0,,6.559,1708880000.0,0.0,4137000.0,0.0,165.237,
71144,JEFF,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-30,1478000.0,1440534000.0,,,,,10.607,-6917000.0,160708000.0,160708000.0,0.0,11424000.0,,12.225,200480000.0,,,200480000.0,0.0,4434000.0,1119333000.0,0.012,0.348,15967000.0,20401000.0,0.309,20401000.0,15967000.0,15967000.0,1.12,1.03,1.12,108924000.0,,108924000.0,422662246.0,26.0,20.718,9409000.0,0.916,1.0,66064000.0,1.0,4247000.0,0.0,1476059000.0,,0.0,1229168000.0,,,1331610000.0,,,248464246.0,62139000.0,0.0,10506000.0,12185000.0,-3755000.0,305359000.0,-259546000.0,-252629000.0,16326000.0,0.0,11424000.0,11168000.0,11168000.0,0.0,0.0,0.169,50097000.0,15967000.0,0.0,0.311,2.281,22.248,26.317,21204000.0,256000.0,29.475,3.761,4.582,0.0,26684000.0,66064000.0,66064000.0,0.0,,,,0.242,0.0,31448000.0,1.0,8429626.0,10269000.0,,6.433,1436287000.0,0.0,4543000.0,0.0,139.866,
71145,JEFF,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-30,1324000.0,1310296000.0,,,,,10.364,-5987000.0,99402000.0,99402000.0,0.0,14041000.0,,11.401,273600000.0,,,273600000.0,0.0,4610000.0,918092000.0,0.011,0.348,19881000.0,24491000.0,0.386,24491000.0,19881000.0,19881000.0,1.44,1.34,1.44,105660000.0,,105660000.0,409127153.0,21.0,16.705,-705000.0,-0.069,1.0,63374000.0,1.0,4341000.0,0.0,1480153000.0,,0.0,1162075000.0,,,1204636000.0,,,272739153.0,10927000.0,0.0,10274000.0,86789000.0,-3622000.0,171083000.0,-165438000.0,-159451000.0,5282000.0,0.0,14041000.0,13785000.0,13785000.0,0.0,0.0,0.218,43493000.0,19881000.0,0.0,0.242,2.581,19.785,22.5,19983000.0,256000.0,32.4,4.304,5.212,0.0,27492000.0,63374000.0,63374000.0,0.0,,,,0.314,0.0,28228000.0,1.0,8417841.0,10195000.0,,6.216,1305955000.0,0.0,5840000.0,0.0,128.098,
71146,JEFF,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-30,1950000.0,1637106000.0,,,,,12.697,-1439000.0,54599000.0,54599000.0,0.0,4119000.0,,11.433,206117000.0,,,206117000.0,0.0,1279000.0,1276280000.0,0.022,0.14,5210000.0,6489000.0,0.362,6489000.0,5210000.0,5210000.0,0.4,0.38,0.4,131678000.0,,131678000.0,340191324.0,22.0,17.351,-2968000.0,-0.286,1.0,17909000.0,1.0,4059000.0,0.0,1784565000.0,,0.0,1519575000.0,,,1505428000.0,,,204829324.0,-98102000.0,0.0,468000.0,-81946000.0,-1562000.0,-82531000.0,-14042000.0,-12603000.0,-1529000.0,0.0,4119000.0,4119000.0,4119000.0,0.0,0.0,0.23,12699000.0,5210000.0,0.0,0.35,1.556,17.917,17.793,24085000.0,0.0,19.75,2.967,2.967,0.0,21933000.0,17909000.0,17909000.0,0.0,,,,,0.0,8032000.0,1.0,10371105.0,10371105.0,,1.727,1633047000.0,0.0,1091000.0,0.0,157.461,
71147,JEFF,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-30,2968000.0,1713033000.0,,,,,12.538,-1922000.0,152701000.0,152701000.0,0.0,3678000.0,,12.211,288063000.0,,,288063000.0,0.0,990000.0,1275771000.0,0.015,0.11,4788000.0,5778000.0,0.319,5778000.0,4788000.0,4788000.0,0.36,0.33,0.36,129671000.0,,129671000.0,250293428.0,16.0,12.764,8941000.0,0.865,1.0,18118000.0,1.0,4153000.0,0.0,1844242000.0,,0.0,1498561000.0,,,1583362000.0,,,210521428.0,-20012000.0,0.0,661000.0,23188000.0,-1201000.0,8428000.0,-39303000.0,-37381000.0,10863000.0,0.0,3678000.0,3678000.0,3678000.0,0.0,0.0,0.203,13330000.0,4788000.0,0.0,0.306,1.624,18.317,21.82,23468000.0,0.0,24.875,3.103,3.792,0.0,19376000.0,18118000.0,18118000.0,0.0,,,,,0.0,7917000.0,1.0,8463173.0,10342000.0,11077000.0,1.752,1708880000.0,0.0,1110000.0,0.0,165.237,
71148,JEFF,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-30,1478000.0,1440534000.0,,,,,10.607,-1645000.0,160708000.0,160708000.0,0.0,384000.0,,12.225,200480000.0,,,200480000.0,0.0,813000.0,1119333000.0,0.012,0.09,484000.0,1297000.0,0.081,1297000.0,484000.0,484000.0,0.04,0.03,0.04,108924000.0,,108924000.0,422662246.0,26.0,20.718,8268000.0,0.805,1.0,16087000.0,1.0,4247000.0,0.0,1476059000.0,,0.0,1229168000.0,,,1331610000.0,,,248464246.0,66250000.0,0.0,534000.0,-80287000.0,-946000.0,145873000.0,-89536000.0,-87891000.0,9913000.0,0.0,384000.0,384000.0,384000.0,0.0,0.0,0.024,15603000.0,484000.0,0.0,2.25,2.281,22.248,26.317,21204000.0,0.0,29.475,3.761,4.582,0.0,26684000.0,16087000.0,16087000.0,0.0,,,,,0.0,8934000.0,1.0,8429626.0,10269000.0,11157000.0,1.567,1436287000.0,0.0,100000.0,0.0,139.866,
71149,JEFF,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-30,1324000.0,1310296000.0,,,,,10.364,-2012000.0,99402000.0,99402000.0,0.0,3249000.0,,11.401,273600000.0,,,273600000.0,0.0,1092000.0,918092000.0,0.011,0.09,4947000.0,6039000.0,0.357,6039000.0,4947000.0,4947000.0,0.32,0.29,0.32,105660000.0,,105660000.0,409127153.0,21.0,16.705,-10015000.0,-0.982,1.0,16911000.0,1.0,4341000.0,0.0,1480153000.0,,0.0,1162075000.0,,,1204636000.0,,,272739153.0,-41374000.0,0.0,741000.0,10690000.0,-951000.0,-11728000.0,-21643000.0,-19631000.0,-8003000.0,0.0,3249000.0,3249000.0,3249000.0,0.0,0.0,0.192,11964000.0,4947000.0,0.0,0.281,2.581,19.785,22.5,19983000.0,0.0,32.4,4.304,5.212,0.0,27492000.0,16911000.0,16911000.0,0.0,,,,,0.0,7938000.0,1.0,8417841.0,10195000.0,11040000.0,1.659,1305955000.0,0.0,1698000.0,0.0,128.098,
71150,JEFF,ARY,1998-12-31,1999-03-31,1998-12-31,2019-09-30,1950000.0,1637106000.0,1525242250.0,,,0.045,12.562,-7018000.0,54599000.0,54599000.0,0.0,11432000.0,,11.433,206117000.0,,,206117000.0,0.0,4174000.0,1276280000.0,0.023,0.48,15432000.0,19606000.0,0.284,19606000.0,15432000.0,15432000.0,1.11,1.04,1.11,131678000.0,118983250.0,131678000.0,370449051.0,24.0,18.895,4226000.0,0.403,1.0,69025000.0,1.0,4059000.0,0.0,1784565000.0,1646254750.0,0.0,1519575000.0,,,1505428000.0,,,218931051.0,-93238000.0,0.0,2404000.0,-128355000.0,-4660000.0,60042000.0,-164524000.0,-157506000.0,11244000.0,0.0,11432000.0,11432000.0,11432000.0,0.0,0.0,0.166,53593000.0,15432000.0,0.0,0.432,1.663,19.151,18.806,24085000.0,0.0,20.875,3.172,3.17,0.0,21933000.0,69025000.0,69025000.0,0.0,0.007,0.096,0.009,0.224,0.0,32821000.0,1.0,10487715.0,10482000.0,,6.585,1633047000.0,0.0,4000000.0,0.0,155.795,
