None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
69877,KCP,MRY,1998-12-31,1998-12-31,1998-12-31,2018-10-22,74000.0,96680000.0,92477500.0,73660000.0,23020000.0,2.474,3.715,-5784000.0,13824000.0,13824000.0,130027000.0,16331000.0,4.329,0.312,760000.0,0.0,760000.0,760000.0,0.0,2791000.0,0.0,0.0,0.0,26994000.0,29785000.0,0.13,29785000.0,26994000.0,26994000.0,0.82,0.8,0.82,73689000.0,69289250.0,73689000.0,244277019.0,9.0,8.201,8539000.0,0.431,1.0,98735000.0,0.432,0.0,0.0,66600000.0,65589000.0,32957000.0,0.0,0.0,0.0,22991000.0,17016000.0,5975000.0,244593019.0,5021000.0,0.0,-3462000.0,-40000.0,0.0,-3502000.0,-5784000.0,0.0,14323000.0,-16000.0,16331000.0,16331000.0,16331000.0,0.0,0.0,0.071,72145000.0,26590000.0,10644000.0,0.0,3.319,14.977,15.244,16171000.0,0.0,12.5,1.069,1.084,24426000.0,56165000.0,228762000.0,228762000.0,0.0,0.177,0.236,0.412,0.118,0.0,72145000.0,1.0,19567442.0,19833000.0,20456000.0,11.534,96680000.0,1121000.0,10663000.0,1738000.0,4.875,56644000.0
69878,KCP,MRT,1998-12-31,1998-12-31,1998-12-31,2018-10-22,74000.0,96680000.0,92477500.0,73660000.0,23020000.0,2.474,3.715,-5784000.0,13824000.0,13824000.0,130027000.0,16331000.0,4.329,0.312,760000.0,0.0,760000.0,760000.0,0.0,2791000.0,0.0,0.0,0.0,26994000.0,29785000.0,0.13,29785000.0,26994000.0,26994000.0,0.82,0.8,0.82,73689000.0,69289250.0,73689000.0,244277019.0,9.0,8.201,8539000.0,0.431,1.0,98735000.0,0.432,0.0,0.0,66600000.0,65589000.0,32957000.0,0.0,0.0,0.0,22991000.0,17016000.0,5975000.0,244593019.0,5021000.0,0.0,-3462000.0,-40000.0,0.0,-3502000.0,-5784000.0,0.0,14323000.0,-16000.0,16331000.0,16331000.0,16331000.0,0.0,0.0,0.071,72145000.0,26590000.0,10644000.0,0.0,3.319,14.977,15.244,16171000.0,0.0,12.5,1.069,1.084,24426000.0,56165000.0,228762000.0,228762000.0,0.0,0.177,0.236,0.412,0.118,0.0,72145000.0,1.0,19567442.0,19833000.0,20456000.0,11.534,96680000.0,1121000.0,10663000.0,1738000.0,4.875,56644000.0
69879,KCP,MRT,1998-09-30,1998-09-30,1998-09-30,2018-10-22,76000.0,93271000.0,87689500.0,74324000.0,18947000.0,2.553,3.501,-6220000.0,1314000.0,1314000.0,124905000.0,15810000.0,3.891,0.339,998000.0,998000.0,0.0,998000.0,623000.0,2710000.0,0.0,0.0,0.0,26101000.0,28811000.0,0.129,28811000.0,26101000.0,26101000.0,0.797,0.77,0.797,69677000.0,65802000.0,69677000.0,227000467.0,9.0,7.879,2438000.0,0.123,1.0,98963000.0,0.442,0.0,0.0,73852000.0,62387750.0,36399000.0,0.0,0.0,0.0,23594000.0,19103000.0,4491000.0,240262467.0,-1138000.0,0.0,-3336000.0,-257000.0,0.0,-3593000.0,-6220000.0,0.0,8658000.0,17000.0,15810000.0,15810000.0,15810000.0,0.0,0.0,0.071,73226000.0,25737000.0,13276000.0,0.0,3.448,15.197,15.004,14202000.0,0.0,11.958,1.073,1.063,34477000.0,52159000.0,223868000.0,223868000.0,0.0,0.18,0.24,0.418,0.117,0.0,69232000.0,1.0,20091641.0,19902000.0,20449500.0,11.249,93271000.0,1135000.0,10291000.0,2880000.0,4.687,55221000.0
69880,KCP,MRT,1998-06-30,1998-06-30,1998-06-30,2018-10-22,64000.0,93021000.0,,74359000.0,18662000.0,,3.424,-5964000.0,13262000.0,13262000.0,117571000.0,14950000.0,3.77,0.357,0.0,0.0,0.0,0.0,386000.0,2508000.0,0.0,0.0,0.0,24747000.0,27255000.0,0.13,27255000.0,24747000.0,24747000.0,0.757,0.73,0.757,68533000.0,,68533000.0,337219767.0,14.0,12.373,14773000.0,0.738,1.0,92280000.0,0.44,0.0,0.0,60033000.0,,31698000.0,0.0,0.0,0.0,24488000.0,19726000.0,4762000.0,344274767.0,11856000.0,0.0,1519000.0,-4429000.0,0.0,-2910000.0,-5964000.0,0.0,20737000.0,-7000.0,14950000.0,14950000.0,14950000.0,0.0,0.0,0.071,67762000.0,24518000.0,17337000.0,0.0,5.023,23.028,22.787,13522000.0,0.0,17.25,1.641,1.645,26717000.0,46428000.0,209851000.0,209851000.0,0.0,,,,0.118,0.0,65494000.0,1.0,19957958.0,20017500.0,20811000.0,10.483,93021000.0,1135000.0,9797000.0,837000.0,4.647,54633000.0
69881,KCP,MRT,1998-03-31,1998-03-31,1998-03-31,2018-10-22,102000.0,86938000.0,,69730000.0,17208000.0,,3.289,-5588000.0,7055000.0,7055000.0,114989000.0,13243000.0,3.871,0.332,0.0,0.0,0.0,0.0,354000.0,2209000.0,0.0,0.0,0.0,21936000.0,24145000.0,0.121,24145000.0,21936000.0,21936000.0,0.67,0.65,0.67,65258000.0,,65258000.0,258957535.0,12.0,10.725,15538000.0,0.783,1.0,85092000.0,0.425,0.0,0.0,61871000.0,,27931000.0,0.0,0.0,0.0,21680000.0,18012000.0,3668000.0,267760535.0,6290000.0,0.0,1205000.0,-10510000.0,0.0,-9305000.0,-5588000.0,0.0,21126000.0,57000.0,13243000.0,13243000.0,13243000.0,0.0,0.0,0.066,63172000.0,21920000.0,13266000.0,0.0,4.103,20.219,20.025,13072000.0,0.0,13.417,1.338,1.331,31847000.0,43927000.0,200081000.0,200081000.0,0.0,,,,0.11,0.0,62116000.0,1.0,19957302.0,19843500.0,20544000.0,10.083,86938000.0,1135000.0,8693000.0,3199000.0,4.381,51718000.0
69882,KCP,MRQ,1998-12-31,1998-12-31,1998-12-31,2018-10-22,74000.0,96680000.0,,73660000.0,23020000.0,,3.766,-1622000.0,13824000.0,13824000.0,34458000.0,4006000.0,4.329,0.312,760000.0,0.0,760000.0,760000.0,0.0,620000.0,0.0,0.0,0.0,6622000.0,7242000.0,0.119,7242000.0,6622000.0,6622000.0,0.2,0.2,0.2,73689000.0,,73689000.0,244277019.0,9.0,8.201,13544000.0,0.692,1.0,26193000.0,0.432,0.0,0.0,66600000.0,,32957000.0,0.0,0.0,0.0,22991000.0,17016000.0,5975000.0,244593019.0,12510000.0,0.0,6000.0,-1038000.0,0.0,-1032000.0,-1622000.0,0.0,15166000.0,-2000.0,4006000.0,4006000.0,4006000.0,0.0,0.0,0.066,19647000.0,6546000.0,10644000.0,0.0,3.319,14.977,15.244,16171000.0,0.0,12.5,1.069,1.084,24426000.0,56165000.0,60651000.0,60651000.0,0.0,,,,,0.0,19647000.0,1.0,19567442.0,19567500.0,19985000.0,3.1,96680000.0,1121000.0,2616000.0,1738000.0,4.941,56644000.0
69883,KCP,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-10-22,76000.0,93271000.0,,74324000.0,18947000.0,,3.501,-1665000.0,1314000.0,1314000.0,36512000.0,5731000.0,3.891,0.339,998000.0,998000.0,0.0,998000.0,623000.0,720000.0,0.0,0.0,0.0,9473000.0,10193000.0,0.159,10193000.0,9473000.0,9473000.0,0.287,0.28,0.287,69677000.0,,69677000.0,227000467.0,9.0,7.879,-8232000.0,-0.414,1.0,27792000.0,0.432,0.0,0.0,73852000.0,,36399000.0,0.0,0.0,0.0,23594000.0,19103000.0,4491000.0,240262467.0,-11948000.0,0.0,-4726000.0,998000.0,0.0,-3728000.0,-1665000.0,0.0,-6567000.0,12000.0,5731000.0,5731000.0,5731000.0,0.0,0.0,0.089,18415000.0,9377000.0,13276000.0,0.0,3.448,15.197,15.004,14202000.0,0.0,11.958,1.073,1.063,34477000.0,52159000.0,64304000.0,64304000.0,0.0,,,,,0.0,18415000.0,1.0,20091641.0,19902000.0,20449500.0,3.231,93271000.0,1135000.0,3742000.0,2880000.0,4.687,55221000.0
69884,KCP,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-10-22,64000.0,93021000.0,,74359000.0,18662000.0,,3.424,-1224000.0,13262000.0,13262000.0,28957000.0,2501000.0,3.77,0.357,0.0,0.0,0.0,0.0,386000.0,774000.0,0.0,0.0,0.0,4134000.0,4908000.0,0.098,4908000.0,4134000.0,4134000.0,0.127,0.12,0.127,68533000.0,,68533000.0,337219767.0,14.0,12.373,5883000.0,0.294,1.0,21165000.0,0.422,0.0,0.0,60033000.0,,31698000.0,0.0,0.0,0.0,24488000.0,19726000.0,4762000.0,344274767.0,6207000.0,0.0,362000.0,0.0,0.0,362000.0,-1224000.0,0.0,7107000.0,-38000.0,2501000.0,2501000.0,2501000.0,0.0,0.0,0.05,17157000.0,4008000.0,17337000.0,0.0,5.023,23.028,22.787,13522000.0,0.0,17.25,1.641,1.645,26717000.0,46428000.0,50122000.0,50122000.0,0.0,,,,,0.0,17157000.0,1.0,19957958.0,20017500.0,20811000.0,2.504,93021000.0,1135000.0,1633000.0,837000.0,4.647,54633000.0
69885,KCP,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-10-22,102000.0,86938000.0,,69730000.0,17208000.0,,3.289,-1273000.0,7055000.0,7055000.0,30100000.0,4093000.0,3.871,0.332,0.0,0.0,0.0,0.0,354000.0,677000.0,0.0,0.0,0.0,6765000.0,7442000.0,0.139,7442000.0,6765000.0,6765000.0,0.207,0.2,0.207,65258000.0,,65258000.0,258957535.0,12.0,10.725,-2656000.0,-0.134,1.0,23585000.0,0.439,0.0,0.0,61871000.0,,27931000.0,0.0,0.0,0.0,21680000.0,18012000.0,3668000.0,267760535.0,-1748000.0,0.0,896000.0,0.0,0.0,896000.0,-1273000.0,0.0,-1383000.0,12000.0,4093000.0,4093000.0,4093000.0,0.0,0.0,0.076,16926000.0,6659000.0,13266000.0,0.0,4.103,20.219,20.025,13072000.0,0.0,13.417,1.338,1.331,31847000.0,43927000.0,53685000.0,53685000.0,0.0,,,,,0.0,16926000.0,1.0,19957302.0,19843500.0,20544000.0,2.705,86938000.0,1135000.0,2672000.0,3199000.0,4.381,51718000.0
69886,KCP,ARY,1998-12-31,1999-03-31,1998-12-31,2018-10-22,74000.0,96680000.0,92477500.0,73660000.0,23020000.0,2.467,3.715,-5784000.0,13824000.0,13824000.0,129403000.0,16331000.0,4.329,0.312,927000.0,167000.0,760000.0,927000.0,0.0,2791000.0,0.0,0.0,0.0,26994000.0,29785000.0,0.131,29785000.0,26994000.0,26994000.0,0.827,0.8,0.827,73689000.0,69289250.0,73689000.0,331902413.0,12.0,11.143,8539000.0,0.431,1.0,98735000.0,0.433,0.0,0.0,66767000.0,65630750.0,32957000.0,0.0,0.0,0.0,22991000.0,17016000.0,5975000.0,344799413.0,5021000.0,0.0,-3462000.0,-40000.0,0.0,-3502000.0,-5784000.0,0.0,14323000.0,-16000.0,16331000.0,16331000.0,16331000.0,0.0,0.0,0.072,72145000.0,26590000.0,10644000.0,0.0,4.679,21.113,21.262,16171000.0,0.0,17.583,1.511,1.529,24426000.0,56165000.0,228138000.0,228138000.0,0.0,0.177,0.236,0.411,0.118,0.0,72145000.0,1.0,19609449.0,19833000.0,20455500.0,11.503,96680000.0,718000.0,10663000.0,1738000.0,4.875,56644000.0
