None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
69096,KMAGQ,MRY,1998-12-31,1999-01-03,1999-01-03,2019-06-11,579000.0,694095000.0,809828750.0,219338000.0,474757000.0,0.406,6.012,-83584000.0,64467000.0,64467000.0,391635000.0,-366336000.0,0.703,1.158,260000000.0,260000000.0,0.0,260000000.0,0.0,116682000.0,0.0,0.0,0.0,-345809000.0,-229127000.0,-0.697,-229127000.0,-345809000.0,-365021000.0,-6.89,-6.89,-6.89,319668000.0,410460500.0,319668000.0,747816426.0,-2.0,-3.264,-59983000.0,-1.128,1.0,-62752000.0,-0.191,0.0,19212000.0,577446000.0,735938750.0,33640000.0,64749000.0,63350000.0,1399000.0,370288000.0,312182000.0,58106000.0,554484426.0,-38380000.0,0.0,5691000.0,15000000.0,0.0,20691000.0,-82672000.0,0.0,23601000.0,0.0,-366336000.0,-366336000.0,-366336000.0,0.0,0.0,-1.114,269167000.0,-331919000.0,29122000.0,0.0,1.735,-1.514,-1.506,470017000.0,0.0,10.375,1.686,1.677,43434000.0,-84860000.0,328883000.0,328883000.0,61637000.0,-0.452,-0.893,-0.47,-1.051,0.0,19762000.0,1.0,53444282.0,53169000.0,53169000.0,6.186,694095000.0,10099000.0,1315000.0,52698000.0,13.055,-92844000.0
69097,KMAGQ,MRT,1998-12-31,1999-01-03,1999-01-03,2019-06-11,579000.0,694095000.0,809828750.0,219338000.0,474757000.0,0.406,6.012,-83584000.0,64467000.0,64467000.0,391635000.0,-366336000.0,0.703,1.158,260000000.0,260000000.0,0.0,260000000.0,0.0,116682000.0,0.0,0.0,0.0,-345809000.0,-229127000.0,-0.697,-229127000.0,-345809000.0,-365021000.0,-6.89,-6.89,-6.89,319668000.0,410460500.0,319668000.0,747816426.0,-2.0,-3.264,-59983000.0,-1.128,1.0,-62752000.0,-0.191,0.0,19212000.0,577446000.0,735938750.0,33640000.0,64749000.0,63350000.0,1399000.0,370288000.0,312182000.0,58106000.0,554484426.0,-38380000.0,0.0,5691000.0,15000000.0,0.0,20691000.0,-82672000.0,0.0,23601000.0,0.0,-366336000.0,-366336000.0,-366336000.0,0.0,0.0,-1.114,269167000.0,-331919000.0,29122000.0,0.0,1.735,-1.514,-1.506,470017000.0,0.0,10.375,1.686,1.677,43434000.0,-84860000.0,328883000.0,328883000.0,61637000.0,-0.452,-0.893,-0.47,-1.051,0.0,19762000.0,1.0,53444282.0,53169000.0,53169000.0,6.186,694095000.0,10099000.0,1315000.0,52698000.0,13.055,-92844000.0
69098,KMAGQ,MRT,1998-09-30,1998-09-27,1998-09-27,2019-06-11,-249000.0,736415000.0,907471000.0,239359000.0,497056000.0,0.436,6.281,-116592000.0,66668000.0,66668000.0,446871000.0,-346322000.0,0.753,1.182,260000000.0,260000000.0,0.0,260000000.0,0.0,123636000.0,0.0,0.0,0.0,-334892000.0,-211256000.0,-0.535,-211256000.0,-334892000.0,-351567000.0,-6.53,-6.53,-6.53,335664000.0,501190750.0,335664000.0,344445114.0,-1.0,-1.63,-65030000.0,-1.217,1.0,-51667000.0,-0.131,0.0,16675000.0,611878000.0,871621500.0,30822000.0,63394000.0,59950000.0,3444000.0,396697000.0,317869000.0,78828000.0,163673114.0,21360000.0,0.0,6957000.0,115000000.0,0.0,121957000.0,-152159000.0,-35550000.0,51562000.0,0.0,-346322000.0,-346322000.0,-346322000.0,0.0,0.0,-0.876,270346000.0,-322013000.0,27269000.0,0.0,0.488,-0.473,-0.469,490091000.0,0.0,3.063,0.414,0.414,45351000.0,-66015000.0,395204000.0,395204000.0,62311000.0,-0.382,-0.691,-0.384,-0.847,0.0,20267000.0,1.0,53444282.0,53444000.0,53444000.0,7.395,736415000.0,31146000.0,-5245000.0,73489000.0,13.779,-78510000.0
69099,KMAGQ,MRT,1998-06-30,1998-06-28,1998-06-28,2019-06-11,-249000.0,782886000.0,,267052000.0,515834000.0,,6.861,-142838000.0,79228000.0,79228000.0,492246000.0,-371621000.0,0.792,1.145,260000000.0,260000000.0,0.0,260000000.0,0.0,137866000.0,0.0,0.0,0.0,-383080000.0,-245214000.0,-0.553,-245214000.0,-383080000.0,-397533000.0,-7.03,-7.03,-7.03,363075000.0,,363075000.0,453970829.0,-1.0,-1.851,-60835000.0,-1.15,1.0,-48662000.0,-0.11,0.0,14453000.0,626542000.0,,50505000.0,77375000.0,70600000.0,6775000.0,415719000.0,337116000.0,78603000.0,290921829.0,23435000.0,0.0,7933000.0,115000000.0,0.0,122933000.0,-181501000.0,-38415000.0,82003000.0,0.0,-371621000.0,-371621000.0,-371621000.0,0.0,0.0,-0.838,320368000.0,-369030000.0,36006000.0,0.0,0.801,-0.783,-0.782,505220000.0,0.0,5.5,0.656,0.656,33037000.0,-38566000.0,443584000.0,443584000.0,61117000.0,,,,-0.864,0.0,19326000.0,1.0,52894878.0,52916000.0,52916000.0,8.383,782886000.0,30992000.0,-25912000.0,73335000.0,14.795,-70064000.0
69100,KMAGQ,MRT,1998-03-31,1998-03-29,1998-03-29,2019-06-11,384000.0,1025919000.0,,320045000.0,705874000.0,,11.791,-167777000.0,96951000.0,96951000.0,517261000.0,-98060000.0,5.24,0.64,260000000.0,0.0,260000000.0,260000000.0,0.0,134601000.0,0.0,0.0,0.0,-109825000.0,24776000.0,0.046,24776000.0,-109825000.0,-122028000.0,-1.86,-1.86,-1.86,623435000.0,,623435000.0,880092399.0,-8.0,35.522,-61926000.0,-1.171,1.0,22636000.0,0.042,0.0,12203000.0,1127889000.0,,60562000.0,95475000.0,76700000.0,18775000.0,398984000.0,61079000.0,337905000.0,768989399.0,3177000.0,0.0,10647000.0,115000000.0,0.0,125647000.0,-228321000.0,-59965000.0,105851000.0,0.0,-98060000.0,-98060000.0,-98060000.0,0.0,0.0,-0.182,128504000.0,-105868000.0,29045000.0,0.0,1.233,-7.842,-7.829,683137000.0,0.0,14.563,1.424,1.426,49978000.0,223318000.0,539897000.0,539897000.0,54358000.0,,,,-0.203,0.0,21989000.0,1.0,52806139.0,52875000.0,52875000.0,10.211,1025919000.0,32064000.0,-23968000.0,73335000.0,19.403,258966000.0
69101,KMAGQ,MRQ,1998-12-31,1999-01-03,1999-01-03,2019-06-11,579000.0,694095000.0,,219338000.0,474757000.0,,5.957,-5075000.0,64467000.0,64467000.0,85421000.0,-18845000.0,0.703,1.158,260000000.0,260000000.0,0.0,260000000.0,0.0,25553000.0,0.0,0.0,0.0,-13349000.0,12204000.0,0.132,12204000.0,-13349000.0,-18489000.0,-0.33,-0.33,-0.33,319668000.0,,319668000.0,747816426.0,-2.0,-3.264,-1087000.0,-0.02,1.0,7283000.0,0.079,0.0,5140000.0,577446000.0,,33640000.0,64749000.0,63350000.0,1399000.0,370288000.0,312182000.0,58106000.0,554484426.0,28849000.0,0.0,2106000.0,0.0,0.0,2106000.0,22755000.0,27650000.0,3988000.0,0.0,-18845000.0,-18845000.0,-18845000.0,0.0,0.0,-0.203,19651000.0,-12368000.0,29122000.0,0.0,1.735,-1.514,-1.506,470017000.0,0.0,10.375,1.686,1.677,43434000.0,-84860000.0,92704000.0,92704000.0,14296000.0,,,,,0.0,5355000.0,1.0,53444282.0,53667000.0,53667000.0,1.727,694095000.0,10099000.0,356000.0,52698000.0,12.933,-92844000.0
69102,KMAGQ,MRQ,1998-09-30,1998-09-27,1998-09-27,2019-06-11,-249000.0,736415000.0,,239359000.0,497056000.0,,6.281,-9505000.0,66668000.0,66668000.0,84117000.0,-27449000.0,0.753,1.182,260000000.0,260000000.0,0.0,260000000.0,0.0,22633000.0,0.0,0.0,0.0,-22430000.0,203000.0,0.002,203000.0,-22430000.0,-27193000.0,-0.51,-0.51,-0.51,335664000.0,,335664000.0,344445114.0,-1.0,-1.63,-23528000.0,-0.44,1.0,-2803000.0,-0.034,0.0,4763000.0,611878000.0,,30822000.0,63394000.0,59950000.0,3444000.0,396697000.0,317869000.0,78828000.0,163673114.0,-12560000.0,0.0,0.0,0.0,0.0,0.0,1463000.0,10650000.0,-14023000.0,0.0,-27449000.0,-27449000.0,-27449000.0,0.0,0.0,-0.338,19166000.0,-21969000.0,27269000.0,0.0,0.488,-0.473,-0.469,490091000.0,0.0,3.063,0.414,0.414,45351000.0,-66015000.0,81314000.0,81314000.0,14312000.0,,,,,0.0,4854000.0,1.0,53444282.0,53444000.0,53444000.0,1.521,736415000.0,31146000.0,256000.0,73489000.0,13.779,-78510000.0
69103,KMAGQ,MRQ,1998-06-30,1998-06-28,1998-06-28,2019-06-11,-249000.0,782886000.0,,267052000.0,515834000.0,,6.861,-32556000.0,79228000.0,79228000.0,114445000.0,-261884000.0,0.792,1.145,260000000.0,260000000.0,0.0,260000000.0,0.0,33861000.0,0.0,0.0,0.0,-256426000.0,-222565000.0,-2.824,-222565000.0,-256426000.0,-261181000.0,-4.95,-4.95,-4.95,363075000.0,,363075000.0,453970829.0,-1.0,-1.851,-26695000.0,-0.504,1.0,-35637000.0,-0.452,0.0,4755000.0,626542000.0,,50505000.0,77375000.0,70600000.0,6775000.0,415719000.0,337116000.0,78603000.0,290921829.0,-17723000.0,0.0,2749000.0,0.0,0.0,2749000.0,-26333000.0,6100000.0,5861000.0,0.0,-261884000.0,-261884000.0,-261884000.0,0.0,0.0,-3.323,210795000.0,-246432000.0,36006000.0,0.0,0.801,-0.783,-0.782,505220000.0,0.0,5.5,0.656,0.656,33037000.0,-38566000.0,78808000.0,78808000.0,18085000.0,,,,,0.0,4942000.0,1.0,52894878.0,52916000.0,52916000.0,1.489,782886000.0,30992000.0,703000.0,73335000.0,14.795,-70064000.0
69104,KMAGQ,MRQ,1998-03-31,1998-03-29,1998-03-29,2019-06-11,384000.0,1025919000.0,,320045000.0,705874000.0,,11.791,-36448000.0,96951000.0,96951000.0,107652000.0,-58158000.0,5.24,0.64,260000000.0,0.0,260000000.0,260000000.0,0.0,34635000.0,0.0,0.0,0.0,-53604000.0,-18969000.0,-0.249,-18969000.0,-53604000.0,-58158000.0,-1.1,-1.1,-1.1,623435000.0,,623435000.0,880092399.0,-8.0,35.522,-8673000.0,-0.164,1.0,-31595000.0,-0.415,0.0,4554000.0,1127889000.0,,60562000.0,95475000.0,76700000.0,18775000.0,398984000.0,61079000.0,337905000.0,768989399.0,-36946000.0,0.0,836000.0,15000000.0,0.0,15836000.0,-80557000.0,-44400000.0,27775000.0,0.0,-58158000.0,-58158000.0,-58158000.0,0.0,0.0,-0.765,19555000.0,-51150000.0,29045000.0,0.0,1.233,-7.842,-7.829,683137000.0,0.0,14.563,1.424,1.426,49978000.0,223318000.0,76057000.0,76057000.0,14944000.0,,,,,0.0,4611000.0,1.0,52806139.0,52875000.0,52875000.0,1.438,1025919000.0,32064000.0,0.0,73335000.0,19.403,258966000.0
69105,KMAGQ,ARY,1998-12-31,1999-04-02,1999-01-03,2019-06-11,579000.0,694095000.0,809828750.0,219338000.0,474757000.0,0.406,6.012,-83584000.0,64467000.0,64467000.0,391635000.0,-366336000.0,0.703,1.158,260000000.0,260000000.0,0.0,260000000.0,0.0,116682000.0,0.0,0.0,0.0,-345809000.0,-229127000.0,-0.697,-229127000.0,-345809000.0,-365021000.0,-6.89,-6.89,-6.89,319668000.0,410460500.0,319668000.0,428065846.0,-1.0,-1.868,-59983000.0,-1.128,1.0,-62752000.0,-0.191,0.0,19212000.0,577446000.0,735938750.0,33640000.0,64749000.0,63350000.0,1399000.0,370288000.0,312182000.0,58106000.0,232532846.0,-69430000.0,0.0,5691000.0,15000000.0,0.0,20691000.0,-113722000.0,-31050000.0,23601000.0,0.0,-366336000.0,-366336000.0,-366336000.0,0.0,0.0,-1.114,269167000.0,-331919000.0,29122000.0,0.0,0.727,-0.635,-0.626,470017000.0,0.0,4.313,0.707,0.697,43434000.0,-84860000.0,328883000.0,328883000.0,61637000.0,-0.452,-0.893,-0.47,-1.051,0.0,19762000.0,1.0,53920660.0,53169000.0,53169000.0,6.186,694095000.0,10099000.0,1315000.0,52698000.0,13.055,-92844000.0
