None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
68173,KSW,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-08,0.0,21273000.0,22988500.0,16582000.0,4691000.0,1.724,1.799,-86000.0,2404000.0,2404000.0,36434000.0,-634000.0,1.456,1.165,0.0,0.0,0.0,0.0,3067000.0,398000.0,0.0,0.0,0.0,-1167000.0,-769000.0,-0.019,-769000.0,-1167000.0,-1200000.0,-0.12,-0.11,-0.12,9828000.0,9886500.0,9828000.0,2891330.0,-2.0,-3.76,370000.0,0.068,1.0,3197000.0,0.081,3973000.0,33000.0,3508000.0,3286000.0,0.0,0.0,0.0,0.0,11445000.0,11388000.0,57000.0,5523330.0,220000.0,0.0,-150000.0,0.0,0.0,-150000.0,-86000.0,0.0,456000.0,0.0,-634000.0,-634000.0,-634000.0,0.0,0.0,-0.016,4364000.0,-1167000.0,7706000.0,0.0,0.562,-8.712,-8.417,410000.0,0.0,1.01,0.139,0.139,13351000.0,48000.0,39631000.0,39631000.0,0.0,-0.028,-0.064,-0.355,-0.029,113000.0,4364000.0,1.0,5468644.0,5463505.0,5655195.0,7.254,17300000.0,900000.0,-566000.0,0.0,3.166,5194000.0
68174,KSW,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-08,0.0,21273000.0,22988500.0,16582000.0,4691000.0,1.724,1.799,-86000.0,2404000.0,2404000.0,36434000.0,-634000.0,1.456,1.165,0.0,0.0,0.0,0.0,3067000.0,398000.0,0.0,0.0,0.0,-1167000.0,-769000.0,-0.019,-769000.0,-1167000.0,-1200000.0,-0.12,-0.11,-0.12,9828000.0,9886500.0,9828000.0,2891330.0,-2.0,-3.76,370000.0,0.068,1.0,3197000.0,0.081,3973000.0,33000.0,3508000.0,3286000.0,0.0,0.0,0.0,0.0,11445000.0,11388000.0,57000.0,5523330.0,220000.0,0.0,-150000.0,0.0,0.0,-150000.0,-86000.0,0.0,456000.0,0.0,-634000.0,-634000.0,-634000.0,0.0,0.0,-0.016,4364000.0,-1167000.0,7706000.0,0.0,0.562,-8.712,-8.417,410000.0,0.0,1.01,0.139,0.139,13351000.0,48000.0,39631000.0,39631000.0,0.0,-0.028,-0.064,-0.355,-0.029,113000.0,4364000.0,1.0,5468644.0,5463505.0,5655195.0,7.254,17300000.0,900000.0,-566000.0,0.0,3.166,5194000.0
68175,KSW,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-08,0.0,22911000.0,24237500.0,18465000.0,4446000.0,2.368,1.796,-136000.0,2632000.0,2632000.0,52787000.0,216000.0,1.417,1.332,0.0,0.0,0.0,0.0,3506000.0,433000.0,0.0,0.0,0.0,456000.0,889000.0,0.015,889000.0,456000.0,414000.0,0.04,0.04,0.04,9823000.0,10054250.0,9823000.0,4542966.0,10.0,5.11,2317000.0,0.424,1.0,4608000.0,0.08,4011000.0,42000.0,3235000.0,3473750.0,0.0,0.0,0.0,0.0,13088000.0,13033000.0,55000.0,8202966.0,2062000.0,0.0,-85000.0,0.0,0.0,-85000.0,-306000.0,0.0,2453000.0,0.0,216000.0,216000.0,216000.0,0.0,0.0,0.004,4152000.0,456000.0,8631000.0,0.0,0.835,37.977,37.5,427000.0,0.0,1.5,0.143,0.143,14563000.0,43000.0,57395000.0,57395000.0,0.0,0.009,0.021,0.131,0.008,0.0,4152000.0,1.0,5468644.0,5468644.0,5468644.0,10.495,18900000.0,0.0,198000.0,0.0,3.456,5432000.0
68176,KSW,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-08,0.0,24201000.0,,19662000.0,4539000.0,,1.793,,3660000.0,3660000.0,50144000.0,-341000.0,1.372,1.468,0.0,0.0,0.0,0.0,4130000.0,,0.0,0.0,0.0,-573000.0,,,,-573000.0,-618000.0,-0.06,-0.06,-0.06,9806000.0,,9806000.0,10771864.0,-19.0,,,,1.0,3443000.0,0.064,4049000.0,45000.0,2163000.0,,0.0,0.0,0.0,0.0,14395000.0,14329000.0,66000.0,12613864.0,,,,,,,,,,,-341000.0,-341000.0,-341000.0,0.0,0.0,-0.006,4016000.0,-573000.0,8870000.0,0.0,1.286,-36.991,-38.542,482000.0,0.0,2.313,0.235,0.236,14581000.0,26000.0,53587000.0,53587000.0,0.0,,,,-0.011,,4016000.0,1.0,5454644.0,5468644.0,5468644.0,9.799,20152000.0,0.0,-277000.0,0.0,3.685,5333000.0
68177,KSW,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-08,0.0,23569000.0,,18932000.0,4637000.0,,1.849,,1842000.0,1842000.0,52863000.0,-672000.0,1.413,1.336,0.0,0.0,0.0,0.0,2839000.0,,0.0,0.0,0.0,-1185000.0,,,,-1185000.0,-1234000.0,-0.12,-0.12,-0.12,10089000.0,,10089000.0,13546019.0,-11.0,,,,1.0,2950000.0,0.053,4087000.0,49000.0,4238000.0,,0.0,0.0,0.0,0.0,13480000.0,13402000.0,78000.0,15730019.0,,,,,,,,,,,-672000.0,-672000.0,-672000.0,0.0,0.0,-0.012,4135000.0,-1185000.0,9103000.0,0.0,1.559,-23.408,-23.958,542000.0,0.0,2.875,0.282,0.281,16001000.0,351000.0,55813000.0,55813000.0,0.0,,,,-0.021,,4135000.0,1.0,5471311.0,5457422.0,5615142.0,10.227,19482000.0,0.0,-562000.0,0.0,3.57,5530000.0
68178,KSW,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-08,0.0,21273000.0,,16582000.0,4691000.0,,1.797,-30000.0,2404000.0,2404000.0,8025000.0,5000.0,1.456,1.165,0.0,0.0,0.0,0.0,3067000.0,85000.0,0.0,0.0,0.0,21000.0,106000.0,0.012,106000.0,21000.0,20000.0,0.0,0.0,0.0,9828000.0,,9828000.0,2891330.0,-2.0,-3.76,-73000.0,-0.013,1.0,1081000.0,0.119,3973000.0,1000.0,3508000.0,,0.0,0.0,0.0,0.0,11445000.0,11388000.0,57000.0,5523330.0,-228000.0,0.0,-113000.0,0.0,0.0,-113000.0,-72000.0,0.0,-43000.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.001,1060000.0,21000.0,7706000.0,,0.562,-8.712,-8.417,410000.0,0.0,1.01,0.139,0.139,13351000.0,48000.0,9106000.0,9106000.0,0.0,,,,,113000.0,1060000.0,1.0,5468644.0,5468644.0,5519403.0,1.665,17300000.0,900000.0,15000.0,0.0,3.163,5194000.0
68179,KSW,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-08,0.0,22911000.0,,18465000.0,4446000.0,,1.796,-11000.0,2632000.0,2632000.0,12320000.0,574000.0,1.417,1.332,0.0,0.0,0.0,0.0,3506000.0,104000.0,0.0,0.0,0.0,1073000.0,1177000.0,0.08,1177000.0,1073000.0,1066000.0,0.1,0.1,0.1,9823000.0,,9823000.0,4542966.0,10.0,5.11,-1017000.0,-0.186,1.0,2303000.0,0.157,4011000.0,7000.0,3235000.0,,0.0,0.0,0.0,0.0,13088000.0,13033000.0,55000.0,8202966.0,-1028000.0,0.0,0.0,0.0,0.0,0.0,-22000.0,0.0,-1006000.0,0.0,574000.0,574000.0,574000.0,0.0,0.0,0.039,1230000.0,1073000.0,8631000.0,0.0,0.835,37.977,37.5,427000.0,0.0,1.5,0.143,0.143,14563000.0,43000.0,14623000.0,14623000.0,0.0,,,,,0.0,1230000.0,1.0,5468644.0,5468644.0,5468644.0,2.674,18900000.0,0.0,492000.0,0.0,3.456,5432000.0
68180,KSW,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-08,0.0,24201000.0,,19662000.0,4539000.0,,1.793,-6000.0,3660000.0,3660000.0,6769000.0,6000.0,1.372,1.468,0.0,0.0,0.0,0.0,4130000.0,104000.0,0.0,0.0,0.0,20000.0,124000.0,0.016,124000.0,20000.0,14000.0,0.0,0.0,0.0,9806000.0,,9806000.0,10771864.0,-19.0,,1788000.0,0.327,1.0,967000.0,0.125,4049000.0,6000.0,2163000.0,,0.0,0.0,0.0,0.0,14395000.0,14329000.0,66000.0,12613864.0,1818000.0,0.0,42000.0,0.0,0.0,42000.0,-18000.0,0.0,1794000.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.001,947000.0,20000.0,8870000.0,,1.286,-36.991,-38.542,482000.0,0.0,2.313,0.235,0.236,14581000.0,26000.0,7736000.0,7736000.0,0.0,,,,,0.0,947000.0,1.0,5454644.0,5468644.0,5468644.0,1.415,20152000.0,0.0,8000.0,0.0,3.685,5333000.0
68181,KSW,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-08,0.0,23569000.0,,18932000.0,4637000.0,,1.849,-39000.0,1842000.0,1842000.0,9244000.0,-331000.0,1.413,1.336,0.0,0.0,0.0,0.0,2839000.0,105000.0,0.0,0.0,0.0,-639000.0,-534000.0,-0.055,-534000.0,-639000.0,-651000.0,-0.06,-0.06,-0.06,10089000.0,,10089000.0,13546019.0,-11.0,,-328000.0,-0.06,1.0,504000.0,0.052,4087000.0,12000.0,4238000.0,,0.0,0.0,0.0,0.0,13480000.0,13402000.0,78000.0,15730019.0,-342000.0,0.0,-79000.0,0.0,0.0,-79000.0,26000.0,0.0,-289000.0,0.0,-331000.0,-331000.0,-331000.0,0.0,0.0,-0.034,1143000.0,-639000.0,9103000.0,0.0,1.559,-23.408,-23.958,542000.0,0.0,2.875,0.282,0.281,16001000.0,351000.0,9748000.0,9748000.0,0.0,,,,,0.0,1143000.0,1.0,5471311.0,5457422.0,5615142.0,1.786,19482000.0,0.0,-320000.0,0.0,3.57,5530000.0
68182,KSW,ARY,1998-12-31,1999-03-30,1998-12-31,2019-07-08,0.0,21273000.0,22988500.0,16582000.0,4691000.0,1.724,1.799,-86000.0,2404000.0,2404000.0,36434000.0,-634000.0,1.456,1.165,0.0,0.0,0.0,0.0,3067000.0,398000.0,0.0,0.0,0.0,-1167000.0,-769000.0,-0.019,-769000.0,-1167000.0,-1200000.0,-0.12,-0.11,-0.12,9828000.0,9886500.0,9828000.0,3406434.0,-3.0,-4.43,370000.0,0.068,1.0,3197000.0,0.081,3973000.0,33000.0,3508000.0,3286000.0,0.0,0.0,0.0,0.0,11445000.0,11388000.0,57000.0,5810434.0,220000.0,0.0,-150000.0,0.0,0.0,-150000.0,-86000.0,0.0,456000.0,0.0,-634000.0,-634000.0,-634000.0,0.0,0.0,-0.016,4364000.0,-1167000.0,7706000.0,0.0,0.591,-9.165,-8.854,410000.0,0.0,1.063,0.147,0.146,13351000.0,48000.0,39631000.0,39631000.0,0.0,-0.028,-0.064,-0.355,-0.029,113000.0,4364000.0,1.0,5468644.0,5463505.0,5655195.0,7.254,17300000.0,900000.0,-566000.0,0.0,3.166,5194000.0
