None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
67523,LAKE,MRY,1998-12-31,1999-01-31,1999-01-31,2021-09-09,0.0,27160471.0,27173094.0,25318565.0,1841906.0,2.011,3.548,-388393.0,1436083.0,1436083.0,44281126.0,2080085.0,1.96,0.979,0.0,0.0,0.0,0.0,0.0,534673.0,0.0,0.0,0.0,3995799.0,4530472.0,0.083,4530472.0,3995799.0,3222085.0,0.54,0.526,0.54,13724508.0,13092266.0,13724508.0,15574642.0,4.0,3.438,-897797.0,-0.232,1.0,10374009.0,0.19,308798.0,773714.0,12500389.0,20334426.0,16110910.0,0.0,0.0,0.0,13435963.0,12915201.0,520762.0,16960687.0,1213383.0,0.0,126798.0,1911631.0,0.0,1970929.0,-248142.0,140251.0,-509404.0,0.0,2080085.0,2080085.0,2080085.0,0.0,0.0,0.038,6451354.0,3922655.0,1455190.0,0.0,1.236,8.154,8.063,1326261.0,0.0,4.354,0.31,0.308,6743341.0,7498247.0,54655135.0,54655135.0,0.0,0.077,0.159,0.197,0.073,0.0,6451354.0,1.0,3895238.0,3868401.0,3939776.0,14.129,26851673.0,567000.0,1142000.0,56000.0,6.941,12403364.0
67524,LAKE,MRT,1998-12-31,1999-01-31,1999-01-31,2021-09-09,0.0,27160471.0,27173094.0,25318565.0,1841906.0,2.011,3.548,-388393.0,1436083.0,1436083.0,44281126.0,2080085.0,1.96,0.979,0.0,0.0,0.0,0.0,0.0,534673.0,0.0,0.0,0.0,3995799.0,4530472.0,0.083,4530472.0,3995799.0,3222085.0,0.54,0.526,0.54,13724508.0,13092266.0,13724508.0,15574642.0,4.0,3.438,-897797.0,-0.232,1.0,10374009.0,0.19,308798.0,773714.0,12500389.0,20334426.0,16110910.0,0.0,0.0,0.0,13435963.0,12915201.0,520762.0,16960687.0,1213383.0,0.0,126798.0,1911631.0,0.0,1970929.0,-248142.0,140251.0,-509404.0,0.0,2080085.0,2080085.0,2080085.0,0.0,0.0,0.038,6451354.0,3922655.0,1455190.0,0.0,1.236,8.154,8.063,1326261.0,0.0,4.354,0.31,0.308,6743341.0,7498247.0,54655135.0,54655135.0,0.0,0.077,0.159,0.197,0.073,0.0,6451354.0,1.0,3895238.0,3868401.0,3939776.0,14.129,26851673.0,567000.0,1142000.0,56000.0,6.941,12403364.0
67525,LAKE,MRT,1998-09-30,1998-10-31,1998-10-31,2021-09-09,0.0,27588649.0,26835942.0,25709131.0,1879518.0,1.993,3.438,-323990.0,1386045.0,1386045.0,43190232.0,2010097.0,9.855,1.066,0.0,0.0,0.0,0.0,0.0,513558.0,0.0,0.0,0.0,3969413.0,4482971.0,0.084,4482971.0,3969413.0,3220755.0,0.526,0.512,0.526,13353185.0,12540545.0,13353185.0,17846605.0,4.0,3.981,-3338727.0,-0.86,1.0,10284149.0,0.192,313795.0,748658.0,23280196.0,22273198.0,17354108.0,0.0,0.0,0.0,14235464.0,2608613.0,11626851.0,19093484.0,713087.0,0.0,25927.0,3955414.0,0.0,4044710.0,-316886.0,0.0,-3014737.0,0.0,2010097.0,2010097.0,2010097.0,0.0,0.0,0.038,6372256.0,3911893.0,1764480.0,0.0,1.43,9.499,9.334,1207149.0,0.0,4.91,0.357,0.357,5901978.0,7126925.0,53474381.0,53474381.0,0.0,0.075,0.16,0.178,0.074,0.0,6372256.0,1.0,3889089.0,3883682.0,3935679.0,13.769,27274854.0,511000.0,1210658.0,71000.0,7.023,23100518.0
67526,LAKE,MRT,1998-06-30,1998-07-31,1998-07-31,2021-09-09,0.0,27591932.0,25906164.0,25846053.0,1745879.0,2.054,3.35,-556722.0,1246879.0,1246879.0,42830551.0,2012347.0,11.779,1.127,0.0,0.0,0.0,0.0,0.0,504616.0,0.0,0.0,0.0,3893285.0,4397901.0,0.083,4397901.0,3893285.0,3226004.0,0.533,0.512,0.533,12972093.0,12006322.0,12972093.0,25290805.0,6.0,5.751,-5679373.0,-1.467,1.0,10379207.0,0.195,318792.0,667281.0,23831961.0,21015055.0,16659745.0,0.0,0.0,0.0,14619839.0,2194300.0,12425539.0,25778411.0,973565.0,0.0,78362.0,6504103.0,0.0,6645834.0,-549618.0,0.0,-5122651.0,0.0,2012347.0,2012347.0,2012347.0,0.0,0.0,0.038,6528909.0,3850298.0,1471044.0,0.0,1.987,12.81,12.654,1268234.0,0.0,6.745,0.484,0.491,6963128.0,6771761.0,53209758.0,53209758.0,0.0,0.078,0.168,0.185,0.073,0.0,6528909.0,1.0,3821992.0,3872694.0,3950894.0,13.74,27273140.0,511000.0,1213657.0,71000.0,7.042,23651753.0
67527,LAKE,MRT,1998-03-31,1998-04-30,1998-04-30,2021-09-09,0.0,26351323.0,22530900.0,24561969.0,1789354.0,2.276,3.223,-718971.0,487606.0,487606.0,41222676.0,1930834.0,6.436,1.139,0.0,0.0,0.0,0.0,0.0,467389.0,0.0,0.0,0.0,3698873.0,4166262.0,0.081,4166262.0,3698873.0,3133834.0,0.512,0.499,0.512,12319277.0,11307492.0,12319277.0,25882020.0,7.0,6.212,-4212491.0,-1.102,1.0,10067911.0,0.196,322123.0,565039.0,21725159.0,18783786.0,14792919.0,0.0,0.0,0.0,14032046.0,3816435.0,10215611.0,26104720.0,-80976.0,0.0,78362.0,4069174.0,0.0,4124411.0,-711867.0,0.0,-3493520.0,0.0,1930834.0,1930834.0,1930834.0,0.0,0.0,0.038,6415456.0,3652455.0,2967854.0,0.0,2.119,13.52,13.34,1315316.0,0.0,6.83,0.509,0.509,8381746.0,6219814.0,51290587.0,51290587.0,0.0,0.086,0.171,0.197,0.072,0.0,6415456.0,1.0,3821992.0,3821992.0,3933928.0,13.42,26029200.0,511000.0,1203000.0,71000.0,6.81,20745534.0
67528,LAKE,MRQ,1998-12-31,1999-01-31,1999-01-31,2021-09-09,0.0,27160471.0,,25318565.0,1841906.0,,3.523,-232699.0,1436083.0,1436083.0,11291172.0,371322.0,1.96,0.979,0.0,0.0,0.0,0.0,0.0,180459.0,0.0,0.0,0.0,611543.0,792002.0,0.059,792002.0,611543.0,422322.0,0.096,0.096,0.096,13724508.0,,13724508.0,15574642.0,4.0,3.438,404837.0,0.104,1.0,2110797.0,0.157,308798.0,189221.0,12500389.0,,16110910.0,0.0,0.0,0.0,13435963.0,12915201.0,520762.0,16960687.0,50038.0,0.0,1.0,-427551.0,0.0,-495050.0,-92448.0,0.0,637536.0,0.0,371322.0,371322.0,371322.0,0.0,0.0,0.028,1527933.0,582864.0,1455190.0,0.0,1.236,8.154,8.063,1326261.0,0.0,4.354,0.31,0.308,6743341.0,7498247.0,13401969.0,13401969.0,0.0,,,,,0.0,1527933.0,1.0,3895238.0,3895238.0,3938884.0,3.441,26851673.0,567000.0,51000.0,56000.0,6.893,12403364.0
67529,LAKE,MRQ,1998-09-30,1998-10-31,1998-10-31,2021-09-09,0.0,27588649.0,,25709131.0,1879518.0,,3.438,-53092.0,1386045.0,1386045.0,9113923.0,355164.0,9.855,1.066,0.0,0.0,0.0,0.0,0.0,119173.0,0.0,0.0,0.0,786915.0,906088.0,0.08,906088.0,786915.0,578164.0,0.089,0.089,0.089,13353185.0,,13353185.0,17846605.0,4.0,3.981,911927.0,0.235,1.0,2243127.0,0.198,313795.0,208751.0,23280196.0,,17354108.0,0.0,0.0,0.0,14235464.0,2608613.0,11626851.0,19093484.0,139166.0,0.0,25928.0,-798689.0,0.0,-772761.0,-53092.0,0.0,965019.0,0.0,355164.0,355164.0,355164.0,0.0,0.0,0.031,1478798.0,764329.0,1764480.0,0.0,1.43,9.499,9.334,1207149.0,0.0,4.91,0.357,0.357,5901978.0,7126925.0,11357050.0,11357050.0,0.0,,,,,0.0,1478798.0,1.0,3889089.0,3883682.0,3935679.0,2.924,27274854.0,511000.0,223000.0,71000.0,7.023,23100518.0
67530,LAKE,MRQ,1998-06-30,1998-07-31,1998-07-31,2021-09-09,0.0,27591932.0,,25846053.0,1745879.0,,3.35,-66441.0,1246879.0,1246879.0,11013068.0,551947.0,11.779,1.127,0.0,0.0,0.0,0.0,0.0,116853.0,0.0,0.0,0.0,1114534.0,1231387.0,0.089,1231387.0,1114534.0,906947.0,0.143,0.137,0.143,12972093.0,,12972093.0,25290805.0,6.0,5.751,-1551525.0,-0.401,1.0,2841351.0,0.205,318792.0,207587.0,23831961.0,,16659745.0,0.0,0.0,0.0,14619839.0,2194300.0,12425539.0,25778411.0,759273.0,0.0,0.0,2209929.0,0.0,2310798.0,-66441.0,0.0,-1485084.0,0.0,551947.0,551947.0,551947.0,0.0,0.0,0.04,1735863.0,1105488.0,1471044.0,0.0,1.987,12.81,12.654,1268234.0,0.0,6.745,0.484,0.491,6963128.0,6771761.0,13854419.0,13854419.0,0.0,,,,,0.0,1735863.0,1.0,3821992.0,3872694.0,3950894.0,3.577,27273140.0,511000.0,355000.0,71000.0,7.042,23651753.0
67531,LAKE,MRQ,1998-03-31,1998-04-30,1998-04-30,2021-09-09,0.0,26351323.0,,24561969.0,1789354.0,,3.223,-36161.0,487606.0,487606.0,12862963.0,801652.0,6.436,1.139,0.0,0.0,0.0,0.0,0.0,118188.0,0.0,0.0,0.0,1482807.0,1600995.0,0.1,1600995.0,1482807.0,1314652.0,0.212,0.205,0.212,12319277.0,,12319277.0,25882020.0,7.0,6.212,-663036.0,-0.173,1.0,3178734.0,0.198,322123.0,168155.0,21725159.0,,14792919.0,0.0,0.0,0.0,14032046.0,3816435.0,10215611.0,26104720.0,264906.0,0.0,0.0,927942.0,0.0,927942.0,-36161.0,0.0,-626875.0,0.0,801652.0,801652.0,801652.0,0.0,0.0,0.05,1708760.0,1469974.0,2967854.0,0.0,2.119,13.52,13.34,1315316.0,0.0,6.83,0.509,0.509,8381746.0,6219814.0,16041697.0,16041697.0,0.0,,,,,0.0,1708760.0,1.0,3821992.0,3821992.0,3933928.0,4.197,26029200.0,511000.0,513000.0,71000.0,6.81,20745534.0
67532,LAKE,ARY,1998-12-31,1999-04-28,1999-01-31,2021-09-09,0.0,27160471.0,27173094.0,25318565.0,1841906.0,2.011,3.548,-388393.0,1436083.0,1436083.0,44281126.0,2080085.0,1.96,0.979,0.0,0.0,0.0,0.0,0.0,534673.0,0.0,0.0,0.0,3995799.0,4530472.0,0.083,4530472.0,3995799.0,3222085.0,0.54,0.526,0.54,13724508.0,13092266.0,13724508.0,12699154.0,3.0,2.803,-897797.0,-0.232,1.0,10374009.0,0.19,308798.0,773714.0,12500389.0,20334426.0,16110910.0,0.0,0.0,0.0,13435963.0,12915201.0,520762.0,14135236.0,1213383.0,0.0,126798.0,1911631.0,0.0,1970929.0,-248142.0,140251.0,-509404.0,0.0,2080085.0,2080085.0,2080085.0,0.0,0.0,0.038,6451354.0,3922655.0,1455190.0,0.0,1.03,6.796,6.72,1326261.0,0.0,3.629,0.259,0.257,6743341.0,7498247.0,54655135.0,54655135.0,0.0,0.077,0.159,0.197,0.073,0.0,6451354.0,1.0,3895238.0,3868401.0,3939776.0,14.129,26851673.0,567000.0,1142000.0,56000.0,6.941,12403364.0
67533,LAKE,ART,1998-12-31,1999-04-28,1999-01-31,2021-09-09,0.0,27160471.0,27173094.0,25318565.0,1841906.0,2.011,3.548,-388393.0,1436083.0,1436083.0,44281126.0,2080085.0,1.96,0.979,0.0,0.0,0.0,0.0,0.0,534673.0,0.0,0.0,0.0,3995799.0,4530472.0,0.083,4530472.0,3995799.0,3222085.0,0.54,0.526,0.54,13724508.0,13092266.0,13724508.0,12699154.0,3.0,2.803,-897797.0,-0.232,1.0,10374009.0,0.19,308798.0,773714.0,12500389.0,20334426.0,16110910.0,0.0,0.0,0.0,13435963.0,12915201.0,520762.0,14135236.0,1213383.0,0.0,126798.0,1911631.0,0.0,1970929.0,-248142.0,140251.0,-509404.0,0.0,2080085.0,2080085.0,2080085.0,0.0,0.0,0.038,6451354.0,3922655.0,1455190.0,0.0,1.03,6.796,6.72,1326261.0,0.0,3.629,0.259,0.257,6743341.0,7498247.0,54655135.0,54655135.0,0.0,0.077,0.159,0.197,0.073,0.0,6451354.0,1.0,3895238.0,3868401.0,3939776.0,14.129,26851673.0,567000.0,1142000.0,56000.0,6.941,12403364.0
67534,LAKE,ART,1998-09-30,1998-12-09,1998-10-31,2021-09-09,0.0,27588649.0,26835942.0,25709131.0,1879518.0,1.993,3.438,-323990.0,1386045.0,1386045.0,43190232.0,2010097.0,9.855,1.066,0.0,0.0,0.0,0.0,0.0,513558.0,0.0,0.0,0.0,3969413.0,4482971.0,0.084,4482971.0,3969413.0,3220755.0,0.54,,0.54,13353185.0,12540545.0,13353185.0,16572330.0,4.0,3.697,-3338727.0,-0.86,1.0,10284149.0,0.192,313795.0,748658.0,23280196.0,22273198.0,17354108.0,0.0,0.0,0.0,14235464.0,2608613.0,11626851.0,17958375.0,713087.0,0.0,25927.0,3955414.0,0.0,4044710.0,-316886.0,0.0,-3014737.0,0.0,2010097.0,2010097.0,2010097.0,0.0,0.0,0.038,6372256.0,3911893.0,1764480.0,0.0,1.345,8.934,8.538,1207149.0,0.0,4.61,0.336,0.335,5901978.0,7126925.0,53474381.0,53474381.0,0.0,0.075,0.16,0.178,0.074,0.0,6372256.0,1.0,3895238.0,3883682.0,,13.769,27274854.0,511000.0,1210658.0,71000.0,7.023,23100518.0
