None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
63481,LYRI,MRY,1998-12-31,1998-06-30,1998-06-30,2021-01-19,0.0,1296705000.0,1155504500.0,284757000.0,1011948000.0,0.0,141.065,-31115000.0,32760000.0,32760000.0,0.0,57915000.0,1.594,1.202,508382000.0,32074000.0,476308000.0,508382000.0,0.0,9995000.0,0.0,0.0,0.0,45644000.0,55639000.0,,55639000.0,45644000.0,25711000.0,14.099,14.099,14.099,580673000.0,544339500.0,580673000.0,1181823002.0,26.0,21.241,38063000.0,9.247,1.0,0.0,,692283000.0,19933000.0,901405000.0,755662500.0,38207000.0,14881000.0,0.0,14881000.0,697726000.0,178639000.0,519087000.0,726519002.0,6011000.0,-180558000.0,53466000.0,97341000.0,0.0,150807000.0,-213974000.0,0.0,69178000.0,0.0,57915000.0,57915000.0,57915000.0,-123464000.0,0.0,,78999000.0,-78999000.0,145584000.0,0.0,1.251,12.545,12.501,61443000.0,0.0,176.25,,,187906000.0,350255000.0,0.0,0.0,0.0,0.05,0.106,0.06,,0.0,78999000.0,1.0,4122094.0,4116339.0,4116339.0,0.0,604422000.0,4674000.0,-32204000.0,30152000.0,146.835,106118000.0
63482,LYRI,MRT,1998-12-31,1998-12-31,1998-12-31,2021-01-19,0.0,1365156000.0,1341255750.0,428461000.0,936695000.0,-0.563,136.121,-36569000.0,15238000.0,15238000.0,-590786000.0,14294000.0,2.538,1.359,581368000.0,30797000.0,550571000.0,581368000.0,0.0,-9779000.0,0.0,0.0,0.0,-37977000.0,-47756000.0,0.063,-47756000.0,-37977000.0,-59326000.0,3.45,3.75,3.45,569330000.0,573720500.0,569330000.0,737683996.0,-19.0,-15.447,-9132000.0,-2.183,1.0,-164730000.0,0.218,790541000.0,21349000.0,971920000.0,915901000.0,43021000.0,15510000.0,0.0,15510000.0,773894000.0,168825000.0,605069000.0,172324996.0,-27175000.0,-143783000.0,53018000.0,117299000.0,0.0,124608000.0,-179220000.0,0.0,27437000.0,0.0,14294000.0,14294000.0,14294000.0,-146980000.0,0.0,-0.019,-16593000.0,-148137000.0,137025000.0,0.0,0.303,12.056,11.957,83497000.0,0.0,41.25,-0.228,-0.228,327755000.0,337430000.0,-755516000.0,-755516000.0,0.0,0.011,0.025,-0.041,0.05,0.0,26120000.0,1.0,4177576.0,4182542.0,,-180.636,574615000.0,14580000.0,-73620000.0,42687000.0,137.384,259636000.0
63483,LYRI,MRT,1998-09-30,1998-09-30,1998-09-30,2021-01-19,0.0,1402255000.0,1302649000.0,449718000.0,952537000.0,-0.274,140.75,-34428000.0,11448000.0,11448000.0,-278301000.0,53364000.0,2.255,1.353,576807000.0,35155000.0,541652000.0,576807000.0,0.0,583000.0,0.0,0.0,0.0,25357000.0,25940000.0,-0.073,25940000.0,25357000.0,4371000.0,12.899,13.049,12.899,587105000.0,566796250.0,587105000.0,659330065.0,26.0,25.418,-3914000.0,-0.938,1.0,-78397000.0,0.22,814171000.0,20986000.0,953971000.0,856489000.0,40024000.0,15107000.0,0.0,15107000.0,794466000.0,199472000.0,594994000.0,183708065.0,-25169000.0,-205887000.0,53638000.0,132475000.0,0.0,186046000.0,-241729000.0,0.0,30514000.0,0.0,53364000.0,53364000.0,53364000.0,-146580000.0,0.0,-0.15,44023000.0,-122420000.0,158495000.0,0.0,0.313,3.443,3.416,81233000.0,0.0,44.063,-0.515,-0.515,346988000.0,355928000.0,-356698000.0,-356698000.0,0.0,0.041,0.094,0.03,-0.071,0.0,53600000.0,1.0,4169261.0,4171275.0,,-85.513,588084000.0,14580000.0,-48993000.0,47444000.0,140.984,250246000.0
63484,LYRI,MRT,1998-06-30,1998-06-30,1998-06-30,2021-01-19,0.0,1296705000.0,1155504500.0,284757000.0,1011948000.0,0.0,141.065,-31115000.0,32760000.0,32760000.0,0.0,57915000.0,1.594,1.202,508382000.0,32074000.0,476308000.0,508382000.0,0.0,9995000.0,0.0,0.0,0.0,45644000.0,55639000.0,,55639000.0,45644000.0,25711000.0,14.099,14.099,14.099,580673000.0,544339500.0,580673000.0,1181823002.0,26.0,21.241,38063000.0,9.247,1.0,0.0,,692283000.0,19933000.0,901405000.0,755662500.0,38207000.0,14881000.0,0.0,14881000.0,697726000.0,178639000.0,519087000.0,726519002.0,6011000.0,-180558000.0,53466000.0,97341000.0,0.0,150807000.0,-213974000.0,0.0,69178000.0,0.0,57915000.0,57915000.0,57915000.0,-123464000.0,0.0,,78999000.0,-78999000.0,145584000.0,0.0,1.251,12.545,12.501,61443000.0,0.0,176.25,,,187906000.0,350255000.0,0.0,0.0,0.0,0.05,0.106,0.06,,0.0,78999000.0,1.0,4122094.0,4116339.0,4116339.0,0.0,604422000.0,4674000.0,-32204000.0,30152000.0,146.835,106118000.0
63485,LYRI,MRT,1998-03-31,1998-03-31,1998-03-31,2021-01-19,0.0,1300907000.0,,457945000.0,842962000.0,,136.478,-28153000.0,41489000.0,41489000.0,,,2.187,1.302,496793000.0,25746000.0,471047000.0,496793000.0,0.0,38351000.0,0.0,0.0,0.0,,,,,,,,,,557774000.0,,557774000.0,1306870679.0,,,17053000.0,4.173,1.0,,,710525000.0,,836308000.0,,31716000.0,15097000.0,0.0,15097000.0,726442000.0,209378000.0,517064000.0,911890679.0,26790000.0,-166108000.0,5915000.0,126843000.0,0.0,178477000.0,-196893000.0,0.0,45206000.0,0.0,,,,,,,,,171333000.0,,1.635,,,77580000.0,,223.125,,,336059000.0,335781000.0,,,,,,,,0.0,,1.0,4086905.0,4086905.0,,,590382000.0,22667000.0,,45301000.0,144.457,248567000.0
63486,LYRI,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-01-19,0.0,1365156000.0,,428461000.0,936695000.0,,136.121,-9615000.0,15238000.0,15238000.0,0.0,-18498000.0,2.538,1.359,581368000.0,30797000.0,550571000.0,581368000.0,0.0,2093000.0,0.0,0.0,0.0,-21615000.0,-19522000.0,,-19522000.0,-21615000.0,-28673000.0,-4.35,-4.35,-4.35,569330000.0,,569330000.0,737683996.0,-19.0,-15.447,4336000.0,1.037,1.0,0.0,,790541000.0,7058000.0,971920000.0,,43021000.0,15510000.0,0.0,15510000.0,773894000.0,168825000.0,605069000.0,172324996.0,3790000.0,-6047000.0,578000.0,4866000.0,0.0,5511000.0,-15672000.0,0.0,13951000.0,0.0,-18498000.0,-18498000.0,-18498000.0,-400000.0,0.0,,22086000.0,-22086000.0,137025000.0,0.0,0.303,12.056,11.957,83497000.0,0.0,41.25,-0.228,-0.228,327755000.0,337430000.0,0.0,0.0,0.0,,,,,0.0,22086000.0,1.0,4177576.0,4182542.0,4182542.0,0.0,574615000.0,14580000.0,-10175000.0,42687000.0,137.384,259636000.0
63487,LYRI,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-01-19,0.0,1402255000.0,,449718000.0,952537000.0,,140.75,-9451000.0,11448000.0,11448000.0,0.0,5673000.0,2.255,1.353,576807000.0,35155000.0,541652000.0,576807000.0,0.0,2065000.0,0.0,0.0,0.0,3127000.0,5192000.0,,5192000.0,3127000.0,-3720000.0,1.35,1.35,1.35,587105000.0,,587105000.0,659330065.0,26.0,25.418,-41262000.0,-9.892,1.0,0.0,,814171000.0,6847000.0,953971000.0,,40024000.0,15107000.0,0.0,15107000.0,794466000.0,199472000.0,594994000.0,183708065.0,-21312000.0,-48268000.0,712000.0,67219000.0,0.0,67864000.0,-57365000.0,0.0,-31811000.0,0.0,5673000.0,5673000.0,5673000.0,-23116000.0,0.0,,20073000.0,-20073000.0,158495000.0,0.0,0.313,3.443,3.416,81233000.0,0.0,44.063,-0.515,-0.515,346988000.0,355928000.0,0.0,0.0,0.0,,,,,0.0,20073000.0,1.0,4169261.0,4171275.0,4171275.0,0.0,588084000.0,14580000.0,-9393000.0,47444000.0,140.984,250246000.0
63488,LYRI,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-01-19,0.0,1296705000.0,,284757000.0,1011948000.0,,141.065,-10297000.0,32760000.0,32760000.0,-948985000.0,14474000.0,1.594,1.202,508382000.0,32074000.0,476308000.0,508382000.0,0.0,-27170000.0,0.0,0.0,0.0,-48971000.0,-76141000.0,0.063,-76141000.0,-48971000.0,-48787000.0,3.45,3.75,3.45,580673000.0,,580673000.0,1181823002.0,26.0,21.241,27441000.0,6.666,1.0,-258298000.0,0.214,692283000.0,-184000.0,901405000.0,,38207000.0,14881000.0,0.0,14881000.0,697726000.0,178639000.0,519087000.0,726519002.0,-12762000.0,-35881000.0,48611000.0,-7410000.0,0.0,-4518000.0,-45982000.0,0.0,37738000.0,0.0,14474000.0,14474000.0,14474000.0,-123464000.0,0.0,-0.012,-122542000.0,-135756000.0,145584000.0,0.0,1.251,12.545,12.501,61443000.0,0.0,176.25,,,187906000.0,350255000.0,-1207283000.0,-1207283000.0,0.0,,,,,0.0,-68590000.0,1.0,4122094.0,4116339.0,,-293.29,604422000.0,4674000.0,-63261000.0,30152000.0,146.835,106118000.0
63489,LYRI,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-01-19,0.0,1300907000.0,,457945000.0,842962000.0,,136.478,-7206000.0,41489000.0,41489000.0,358199000.0,12645000.0,2.187,1.302,496793000.0,25746000.0,471047000.0,496793000.0,0.0,13233000.0,0.0,0.0,0.0,29482000.0,42715000.0,0.095,42715000.0,29482000.0,21854000.0,3.0,3.0,3.0,557774000.0,,557774000.0,1306870679.0,,,353000.0,0.086,1.0,93568000.0,0.207,710525000.0,7628000.0,836308000.0,,31716000.0,15097000.0,0.0,15097000.0,726442000.0,209378000.0,517064000.0,911890679.0,3109000.0,-53587000.0,3117000.0,52624000.0,0.0,55751000.0,-60201000.0,0.0,7559000.0,0.0,12645000.0,12645000.0,12645000.0,0.0,0.0,0.028,63790000.0,29778000.0,171333000.0,0.0,1.635,,,77580000.0,0.0,223.125,,,336059000.0,335781000.0,451767000.0,451767000.0,0.0,,,,,0.0,52551000.0,1.0,4086905.0,4086905.0,,110.54,590382000.0,22667000.0,9209000.0,45301000.0,144.457,248567000.0
63490,LYRI,ARY,1998-12-31,1998-09-16,1998-06-30,2021-01-19,0.0,1356042000.0,,451853000.0,904189000.0,,141.065,-29486000.0,32760000.0,32760000.0,1317266000.0,57915000.0,1.999,1.304,508382000.0,32074000.0,476308000.0,508382000.0,0.0,50407000.0,0.0,0.0,0.0,127831000.0,178238000.0,0.107,178238000.0,127831000.0,99546000.0,14.099,13.649,14.099,580673000.0,,580673000.0,913394411.0,7.0,5.125,43631000.0,10.599,1.0,354659000.0,0.212,767729000.0,28285000.0,837855000.0,,38207000.0,14881000.0,0.0,14881000.0,757063000.0,226080000.0,530983000.0,437772411.0,10044000.0,-180578000.0,7757000.0,97341000.0,0.0,150807000.0,-213880000.0,0.0,73117000.0,0.0,57915000.0,57915000.0,57915000.0,0.0,0.0,0.035,264969000.0,89690000.0,193025000.0,0.0,0.754,7.559,7.447,80857000.0,0.0,105.0,0.262,0.259,338328000.0,350255000.0,1671925000.0,1671925000.0,0.0,,,,0.076,0.0,199293000.0,1.0,4169261.0,4116339.0,4239145.0,406.168,588313000.0,17466000.0,41631000.0,42048000.0,142.921,225773000.0
