None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
62461,MAXIQ,MRY,1998-12-31,1998-12-31,1998-12-31,2018-10-11,34000.0,136254000.0,143575250.0,107493000.0,28761000.0,5.12,14.767,-745000.0,48507000.0,48507000.0,684362000.0,-27533000.0,1.299,1.573,0.0,0.0,0.0,0.0,7416000.0,756000.0,0.0,0.0,0.0,-27533000.0,-26777000.0,-0.036,-26777000.0,-27533000.0,-27533000.0,-7.68,-7.68,-7.68,52956000.0,62089750.0,52956000.0,57672923.0,-2.0,-2.154,-40312000.0,-11.241,1.0,50791000.0,0.069,474000.0,0.0,4540000.0,18555000.0,0.0,25094000.0,11345000.0,13749000.0,83298000.0,82733000.0,565000.0,96348923.0,-3374000.0,0.0,-184000.0,-305000.0,0.0,-489000.0,36682000.0,36918000.0,-39567000.0,0.0,-27533000.0,-27533000.0,-27533000.0,0.0,0.0,-0.037,78324000.0,-27533000.0,1591000.0,0.0,1.819,-3.499,-3.499,1453000.0,0.0,26.875,0.131,0.131,36587000.0,-196348000.0,735153000.0,735153000.0,0.0,-0.192,-0.443,-1.484,-0.037,58000.0,61068000.0,1.0,3585076.0,3586000.0,3586000.0,205.006,135780000.0,18167000.0,0.0,0.0,37.864,24760000.0
62462,MAXIQ,MRT,1998-12-31,1998-12-31,1998-12-31,2018-10-11,34000.0,136254000.0,143575250.0,107493000.0,28761000.0,5.12,14.767,-745000.0,48507000.0,48507000.0,684362000.0,-27533000.0,1.299,1.573,0.0,0.0,0.0,0.0,7416000.0,756000.0,0.0,0.0,0.0,-27533000.0,-26777000.0,-0.036,-26777000.0,-27533000.0,-27533000.0,-7.68,-7.68,-7.68,52956000.0,62089750.0,52956000.0,57672923.0,-2.0,-2.154,-40312000.0,-11.241,1.0,50791000.0,0.069,474000.0,0.0,4540000.0,18555000.0,0.0,25094000.0,11345000.0,13749000.0,83298000.0,82733000.0,565000.0,96348923.0,-3374000.0,0.0,-184000.0,-305000.0,0.0,-489000.0,36682000.0,36918000.0,-39567000.0,0.0,-27533000.0,-27533000.0,-27533000.0,0.0,0.0,-0.037,78324000.0,-27533000.0,1591000.0,0.0,1.819,-3.499,-3.499,1453000.0,0.0,26.875,0.131,0.131,36587000.0,-196348000.0,735153000.0,735153000.0,0.0,-0.192,-0.443,-1.484,-0.037,58000.0,61068000.0,1.0,3585076.0,3586000.0,3586000.0,205.006,135780000.0,18167000.0,0.0,0.0,37.864,24760000.0
62463,MAXIQ,MRT,1998-09-30,1998-09-30,1998-09-30,2018-10-11,98000.0,141993000.0,151367250.0,126252000.0,15741000.0,4.887,16.439,-576000.0,38676000.0,38676000.0,692546000.0,-33257000.0,1.525,1.409,0.0,0.0,0.0,0.0,2141000.0,743000.0,0.0,0.0,0.0,-33257000.0,-32514000.0,-0.044,-32514000.0,-33257000.0,-33257000.0,-9.25,-9.25,-9.25,58934000.0,69109750.0,58934000.0,15026816.0,0.0,-0.462,-38761000.0,-10.812,1.0,47191000.0,0.064,272000.0,0.0,20233000.0,24680750.0,0.0,35589000.0,21459000.0,14130000.0,83059000.0,82812000.0,247000.0,56016816.0,-1758000.0,0.0,-553000.0,-362000.0,0.0,-915000.0,37342000.0,37492000.0,-38185000.0,0.0,-33257000.0,-33257000.0,-33257000.0,0.0,0.0,-0.045,74748000.0,-27557000.0,748000.0,0.0,0.951,-1.684,-1.689,1339000.0,0.0,15.625,0.076,0.076,39813000.0,-190659000.0,739737000.0,739737000.0,0.0,-0.22,-0.481,-1.347,-0.045,-40000.0,61005000.0,1.0,3585076.0,3585000.0,3587400.0,206.342,141721000.0,18159000.0,0.0,0.0,39.532,43440000.0
62464,MAXIQ,MRT,1998-06-30,1998-06-30,1998-06-30,2018-10-11,27000.0,142811000.0,,127095000.0,15716000.0,,16.264,-408000.0,40990000.0,40990000.0,695839000.0,-51879000.0,1.507,1.449,0.0,0.0,0.0,0.0,1431000.0,735000.0,0.0,0.0,0.0,-51879000.0,-51144000.0,-0.071,-51144000.0,-51879000.0,-51879000.0,-14.45,-14.45,-14.45,58308000.0,,58308000.0,75269322.0,-1.0,-1.472,-35064000.0,-9.781,1.0,27001000.0,0.037,306000.0,0.0,17168000.0,,0.0,43132000.0,28930000.0,14202000.0,84503000.0,84347000.0,156000.0,120996322.0,47000.0,101000.0,-317000.0,-375000.0,0.0,-692000.0,35395000.0,35251000.0,-34656000.0,0.0,-51879000.0,-51879000.0,-51879000.0,0.0,0.0,-0.072,74982000.0,-47981000.0,476000.0,0.0,2.075,-2.332,-2.336,1208000.0,0.0,33.75,0.167,0.167,30896000.0,-191293000.0,722840000.0,722840000.0,0.0,,,,-0.072,135000.0,61247000.0,1.0,3585076.0,3585000.0,3585000.0,201.629,142505000.0,18129000.0,0.0,0.0,39.75,42748000.0
62465,MAXIQ,MRT,1998-03-31,1998-03-31,1998-03-31,2018-10-11,43000.0,153243000.0,,137062000.0,16181000.0,,21.786,-247000.0,45727000.0,45727000.0,662945000.0,-27889000.0,1.83,0.961,0.0,0.0,0.0,0.0,4581000.0,732000.0,0.0,0.0,0.0,-27889000.0,-27157000.0,-0.039,-27157000.0,-27889000.0,-27889000.0,-7.75,-7.8,-7.75,78161000.0,,78161000.0,145298191.0,-5.0,-5.35,-30766000.0,-8.576,1.0,35852000.0,0.051,327000.0,0.0,32279000.0,,0.0,50602000.0,36423000.0,14179000.0,75082000.0,74910000.0,172000.0,197179191.0,-991000.0,0.0,-63000.0,-374000.0,0.0,-437000.0,29965000.0,29736000.0,-30519000.0,0.0,-27889000.0,-27889000.0,-27889000.0,0.0,0.0,-0.04,61939000.0,-26087000.0,437000.0,0.0,2.523,-7.07,-7.097,1175000.0,0.0,55.0,0.282,0.282,28657000.0,-171532000.0,698797000.0,698797000.0,0.0,,,,-0.04,309000.0,58207000.0,1.0,3585076.0,3587600.0,3587600.0,194.781,152916000.0,18087000.0,0.0,0.0,42.623,62152000.0
62466,MAXIQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2018-10-11,34000.0,136254000.0,,107493000.0,28761000.0,,14.765,-272000.0,48507000.0,48507000.0,161935000.0,-5689000.0,1.299,1.573,0.0,0.0,0.0,0.0,7416000.0,199000.0,0.0,0.0,0.0,-5689000.0,-5490000.0,-0.031,-5490000.0,-5689000.0,-5689000.0,-1.58,-1.58,-1.58,52956000.0,,52956000.0,57672923.0,-2.0,-2.154,-566000.0,-0.158,1.0,15503000.0,0.087,474000.0,0.0,4540000.0,,0.0,25094000.0,11345000.0,13749000.0,83298000.0,82733000.0,565000.0,96348923.0,9831000.0,0.0,0.0,-34000.0,0.0,-34000.0,10159000.0,9922000.0,-294000.0,0.0,-5689000.0,-5689000.0,-5689000.0,0.0,0.0,-0.032,21192000.0,-5689000.0,1591000.0,0.0,1.819,-3.499,-3.499,1453000.0,0.0,26.875,0.131,0.131,36587000.0,-196348000.0,177438000.0,177438000.0,0.0,,,,,0.0,14493000.0,1.0,3585076.0,3586600.0,3586600.0,49.472,135780000.0,18167000.0,0.0,0.0,37.858,24760000.0
62467,MAXIQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-10-11,98000.0,141993000.0,,126252000.0,15741000.0,,16.439,-211000.0,38676000.0,38676000.0,173831000.0,634000.0,1.525,1.409,0.0,0.0,0.0,0.0,2141000.0,182000.0,0.0,0.0,0.0,634000.0,816000.0,0.004,816000.0,634000.0,634000.0,0.2,0.2,0.2,58934000.0,,58934000.0,15026816.0,0.0,-0.462,-9849000.0,-2.747,1.0,14782000.0,0.078,272000.0,0.0,20233000.0,,0.0,35589000.0,21459000.0,14130000.0,83059000.0,82812000.0,247000.0,56016816.0,-2314000.0,0.0,0.0,-79000.0,0.0,-79000.0,7403000.0,7614000.0,-9638000.0,0.0,634000.0,634000.0,634000.0,0.0,0.0,0.003,14148000.0,634000.0,748000.0,0.0,0.951,-1.684,-1.689,1339000.0,0.0,15.625,0.076,0.076,39813000.0,-190659000.0,188613000.0,188613000.0,0.0,,,,,0.0,13966000.0,1.0,3585076.0,3585000.0,3587400.0,52.612,141721000.0,18159000.0,0.0,0.0,39.532,43440000.0
62468,MAXIQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-10-11,27000.0,142811000.0,,127095000.0,15716000.0,,16.264,-180000.0,40990000.0,40990000.0,179491000.0,-19761000.0,1.507,1.449,0.0,0.0,0.0,0.0,1431000.0,187000.0,0.0,0.0,0.0,-19761000.0,-19574000.0,-0.105,-19574000.0,-19761000.0,-19761000.0,-5.5,-5.5,-5.5,58308000.0,,58308000.0,75269322.0,-1.0,-1.472,-12606000.0,-3.516,1.0,7622000.0,0.041,306000.0,0.0,17168000.0,,0.0,43132000.0,28930000.0,14202000.0,84503000.0,84347000.0,156000.0,120996322.0,-4737000.0,0.0,0.0,-85000.0,0.0,-85000.0,7774000.0,7954000.0,-12426000.0,0.0,-19761000.0,-19761000.0,-19761000.0,0.0,0.0,-0.106,27383000.0,-19761000.0,476000.0,0.0,2.075,-2.332,-2.336,1208000.0,0.0,33.75,0.167,0.167,30896000.0,-191293000.0,187113000.0,187113000.0,0.0,,,,,0.0,17196000.0,1.0,3585076.0,3585000.0,3585000.0,52.193,142505000.0,18129000.0,0.0,0.0,39.75,42748000.0
62469,MAXIQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-10-11,43000.0,153243000.0,,137062000.0,16181000.0,,21.786,-82000.0,45727000.0,45727000.0,169105000.0,-2717000.0,1.83,0.961,0.0,0.0,0.0,0.0,4581000.0,188000.0,0.0,0.0,0.0,-2717000.0,-2529000.0,-0.014,-2529000.0,-2717000.0,-2717000.0,-0.75,-0.75,-0.75,78161000.0,,78161000.0,145298191.0,-5.0,-5.35,-17291000.0,-4.82,1.0,12884000.0,0.071,327000.0,0.0,32279000.0,,0.0,50602000.0,36423000.0,14179000.0,75082000.0,74910000.0,172000.0,197179191.0,-6154000.0,0.0,-184000.0,-107000.0,0.0,-291000.0,11346000.0,11428000.0,-17209000.0,0.0,-2717000.0,-2717000.0,-2717000.0,0.0,0.0,-0.015,15601000.0,-2717000.0,437000.0,0.0,2.523,-7.07,-7.097,1175000.0,0.0,55.0,0.282,0.282,28657000.0,-171532000.0,181989000.0,181989000.0,0.0,,,,,58000.0,15413000.0,1.0,3585076.0,3587600.0,3587600.0,50.727,152916000.0,18087000.0,0.0,0.0,42.623,62152000.0
62470,MAXIQ,ARY,1998-12-31,1999-03-31,1998-12-31,2018-10-11,34000.0,136254000.0,143575250.0,107493000.0,28761000.0,5.12,14.769,-745000.0,48507000.0,48507000.0,684362000.0,-27533000.0,1.299,1.573,0.0,0.0,0.0,0.0,7416000.0,756000.0,0.0,0.0,0.0,-27533000.0,-26777000.0,-0.036,-26777000.0,-27533000.0,-27533000.0,-7.7,-7.7,-7.7,52956000.0,62089750.0,52956000.0,43360578.0,-2.0,-1.619,-40312000.0,-11.243,1.0,50791000.0,0.069,474000.0,0.0,4540000.0,18555000.0,0.0,25094000.0,11345000.0,13749000.0,83298000.0,82733000.0,565000.0,91867578.0,-3374000.0,0.0,-184000.0,-305000.0,0.0,-489000.0,36682000.0,37427000.0,-39567000.0,0.0,-27533000.0,-27533000.0,-27533000.0,0.0,0.0,-0.037,78324000.0,-27533000.0,1591000.0,0.0,1.735,-3.337,-3.328,1453000.0,0.0,25.625,0.125,0.125,36587000.0,-196348000.0,735153000.0,735153000.0,0.0,-0.192,-0.443,-1.484,-0.037,58000.0,61068000.0,1.0,3585076.0,3585600.0,3585600.0,205.029,135780000.0,18167000.0,0.0,0.0,37.868,24760000.0
62471,MAXIQ,ART,1998-12-31,1999-03-31,1998-12-31,2018-10-11,34000.0,136254000.0,143575250.0,107493000.0,28761000.0,5.12,14.769,-745000.0,48507000.0,48507000.0,684362000.0,-27533000.0,1.299,1.573,0.0,0.0,0.0,0.0,7416000.0,756000.0,0.0,0.0,0.0,-27533000.0,-26777000.0,-0.036,-26777000.0,-27533000.0,-27533000.0,-7.7,-7.7,-7.7,52956000.0,62089750.0,52956000.0,43360578.0,-2.0,-1.619,-40312000.0,-11.243,1.0,50791000.0,0.069,474000.0,0.0,4540000.0,18555000.0,0.0,25094000.0,11345000.0,13749000.0,83298000.0,82733000.0,565000.0,91867578.0,-3374000.0,0.0,-184000.0,-305000.0,0.0,-489000.0,36682000.0,37427000.0,-39567000.0,0.0,-27533000.0,-27533000.0,-27533000.0,0.0,0.0,-0.037,78324000.0,-27533000.0,1591000.0,0.0,1.735,-3.337,-3.328,1453000.0,0.0,25.625,0.125,0.125,36587000.0,-196348000.0,735153000.0,735153000.0,0.0,-0.192,-0.443,-1.484,-0.037,58000.0,61068000.0,1.0,3585076.0,3585600.0,3585600.0,205.029,135780000.0,18167000.0,0.0,0.0,37.868,24760000.0
62472,MAXIQ,ART,1998-09-30,1998-11-16,1998-09-30,2018-10-11,98000.0,141993000.0,151367250.0,126252000.0,15741000.0,,16.439,,38676000.0,38676000.0,,,1.525,1.409,0.0,0.0,0.0,0.0,2141000.0,,0.0,0.0,0.0,,,,,,,,,,58934000.0,69109750.0,58934000.0,47589896.0,,,,,1.0,,,272000.0,,20233000.0,24680750.0,0.0,35589000.0,21459000.0,14130000.0,83059000.0,82812000.0,247000.0,86265896.0,,,,,,,,,,,,,,,,,,,748000.0,,1.464,,,1339000.0,,24.063,,,39813000.0,-190659000.0,,,,,,,,,,1.0,3585076.0,3585000.0,,,141721000.0,18159000.0,,0.0,39.532,43440000.0
62473,MAXIQ,ART,1998-06-30,1998-08-14,1998-06-30,2018-10-11,27000.0,142811000.0,,127095000.0,15716000.0,,16.264,,40990000.0,40990000.0,,,1.507,1.449,0.0,0.0,0.0,0.0,1431000.0,,0.0,0.0,0.0,,,,,,,,,,58308000.0,,58308000.0,41914887.0,,,,,1.0,,,306000.0,,17168000.0,,0.0,43132000.0,28930000.0,14202000.0,84503000.0,84347000.0,156000.0,82904887.0,,,,,,,,,,,,,,,,,,,476000.0,,1.422,,,1208000.0,,23.125,,,30896000.0,-191293000.0,,,,,,,,,,1.0,3585076.0,3585000.0,,,142505000.0,18129000.0,,0.0,39.75,42748000.0
62474,MAXIQ,ART,1998-03-31,1998-06-24,1998-03-31,2018-10-11,43000.0,153243000.0,,137062000.0,16181000.0,,21.786,,45727000.0,45727000.0,,,1.83,0.961,0.0,0.0,0.0,0.0,4581000.0,,0.0,0.0,0.0,,,,,,,,,,78161000.0,,78161000.0,79190499.0,,,,,1.0,,,327000.0,,32279000.0,,0.0,50602000.0,36423000.0,14179000.0,75082000.0,74910000.0,172000.0,124917499.0,,,,,,,,,,,,,,,,,,,437000.0,,1.598,,,1175000.0,,34.844,,,28657000.0,-171532000.0,,,,,,,,,,1.0,3585076.0,3587600.0,,,152916000.0,18087000.0,,0.0,42.623,62152000.0
62475,MAXIQ,ART,1998-03-31,1998-05-15,1998-03-31,2018-10-11,43000.0,153243000.0,,137062000.0,16181000.0,,21.786,,45727000.0,45727000.0,,,1.83,0.961,0.0,0.0,0.0,0.0,4581000.0,,0.0,0.0,0.0,,,,,,,,,,78161000.0,,78161000.0,135767483.0,,,,,1.0,,,327000.0,,32279000.0,,0.0,50602000.0,36423000.0,14179000.0,75082000.0,74910000.0,172000.0,181494483.0,,,,,,,,,,,,,,,,,,,437000.0,,2.322,,,1175000.0,,50.625,,,28657000.0,-171532000.0,,,,,,,,,,1.0,3585076.0,3587600.0,,,152916000.0,18087000.0,,0.0,42.623,62152000.0
