None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
59465,MHR1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-11-17,-1308000.0,265724000.0,266798500.0,13086000.0,252638000.0,0.193,0.931,-70187000.0,5312000.0,5312000.0,26899000.0,-47080000.0,0.916,12.491,233020000.0,2013000.0,231007000.0,233020000.0,0.0,21757000.0,0.0,0.0,0.0,-42543000.0,-20786000.0,-0.404,-20786000.0,-42543000.0,-60750000.0,-2.27,-2.27,-2.27,19697000.0,55716750.0,19697000.0,255536614.0,-6.0,-12.294,-56499000.0,-2.671,1.0,24501000.0,0.477,0.0,18207000.0,479143000.0,445277000.0,0.0,4323000.0,57000.0,4266000.0,246027000.0,14289000.0,231738000.0,62737614.0,1823000.0,0.0,-1830000.0,66668000.0,-875000.0,62145000.0,-74010000.0,-304000.0,13688000.0,0.0,-47080000.0,-47955000.0,-47955000.0,0.0,0.0,-0.933,67515000.0,-43014000.0,11698000.0,0.0,3.185,-1.308,-1.312,228436000.0,875000.0,2.979,1.221,1.226,6140000.0,-55734000.0,51400000.0,51400000.0,0.0,-0.18,-0.861,-0.096,-0.828,0.0,2961000.0,1.0,21057413.0,21151442.0,21151442.0,2.43,265724000.0,13289000.0,-13670000.0,0.0,12.563,-1203000.0
59466,MHR1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-11-17,-1308000.0,265724000.0,266798500.0,13086000.0,252638000.0,0.193,0.931,-70187000.0,5312000.0,5312000.0,26899000.0,-47080000.0,0.916,12.491,233020000.0,2013000.0,231007000.0,233020000.0,0.0,21757000.0,0.0,0.0,0.0,-42543000.0,-20786000.0,-0.404,-20786000.0,-42543000.0,-60750000.0,-2.27,-2.27,-2.27,19697000.0,55716750.0,19697000.0,255536614.0,-6.0,-12.294,-56499000.0,-2.671,1.0,24501000.0,0.477,0.0,18207000.0,479143000.0,445277000.0,0.0,4323000.0,57000.0,4266000.0,246027000.0,14289000.0,231738000.0,62737614.0,1823000.0,0.0,-1830000.0,66668000.0,-875000.0,62145000.0,-74010000.0,-304000.0,13688000.0,0.0,-47080000.0,-47955000.0,-47955000.0,0.0,0.0,-0.933,67515000.0,-43014000.0,11698000.0,0.0,3.185,-1.308,-1.312,228436000.0,875000.0,2.979,1.221,1.226,6140000.0,-55734000.0,51400000.0,51400000.0,0.0,-0.18,-0.861,-0.096,-0.828,0.0,2961000.0,1.0,21057413.0,21151442.0,21151442.0,2.43,265724000.0,13289000.0,-13670000.0,0.0,12.563,-1203000.0
59467,MHR1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-11-17,-883000.0,271977000.0,263134750.0,11574000.0,260403000.0,0.211,3.049,-48167000.0,1563000.0,1563000.0,-26937000.0,-6815000.0,0.704,3.196,194362000.0,4352000.0,190010000.0,194362000.0,0.0,17377000.0,0.0,0.0,0.0,6914000.0,24291000.0,0.438,24291000.0,6914000.0,-10983000.0,-0.37,-0.37,-0.37,64811000.0,68827500.0,64811000.0,262498530.0,38.0,10.806,-36910000.0,-1.736,1.0,82389000.0,1.486,0.0,17897000.0,448341000.0,425226750.0,0.0,4936000.0,567000.0,4369000.0,207166000.0,16435000.0,190731000.0,77710530.0,-1518000.0,-2445000.0,41278000.0,1467000.0,-874000.0,48007000.0,-60782000.0,-402000.0,11257000.0,0.0,-6828000.0,-7703000.0,-7703000.0,0.0,13000.0,-0.139,-20503000.0,102892000.0,11409000.0,0.0,1.199,-10.088,-9.898,245678000.0,875000.0,3.662,1.401,1.404,8580000.0,-14569000.0,55452000.0,55452000.0,0.0,-0.029,-0.112,0.016,0.125,0.0,-3512000.0,1.0,21220036.0,21259867.0,21259867.0,2.608,271977000.0,2889000.0,-4155000.0,0.0,12.793,-4861000.0
59468,MHR1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-11-17,0.0,266755000.0,,13030000.0,253725000.0,,3.211,-44766000.0,3193000.0,3193000.0,-25415000.0,-5064000.0,0.905,2.915,187981000.0,4468000.0,183513000.0,187981000.0,0.0,16719000.0,0.0,0.0,0.0,9642000.0,26361000.0,0.478,26361000.0,9642000.0,-8139000.0,-0.3,-0.3,-0.3,68119000.0,,68119000.0,310380347.0,32.0,11.774,-30362000.0,-1.431,1.0,80613000.0,1.46,0.0,17781000.0,437149000.0,,0.0,4720000.0,370000.0,4350000.0,198575000.0,14394000.0,184181000.0,137628347.0,1622000.0,-2412000.0,41721000.0,-3936000.0,-875000.0,42991000.0,-55773000.0,-373000.0,14404000.0,0.0,-5065000.0,-5940000.0,-5940000.0,0.0,1000.0,-0.108,-19572000.0,100185000.0,8753000.0,0.0,2.02,-23.17,-21.104,240402000.0,875000.0,6.331,2.493,2.433,8262000.0,-12296000.0,55198000.0,55198000.0,0.0,,,,0.175,0.0,-3239000.0,1.0,21738320.0,21214239.0,21214239.0,2.602,266755000.0,956000.0,-3074000.0,0.0,12.574,-1364000.0
59469,MHR1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-11-17,0.0,262738000.0,,15989000.0,246749000.0,,3.313,-171974000.0,4485000.0,4485000.0,-23185000.0,-5507000.0,0.841,2.741,177237000.0,4723000.0,172514000.0,177237000.0,0.0,15157000.0,0.0,0.0,0.0,8944000.0,24101000.0,0.466,24101000.0,8944000.0,-8009000.0,-0.39,-0.39,-0.39,70240000.0,,70240000.0,,,,-158556000.0,-7.478,1.0,74939000.0,1.448,0.0,16953000.0,416475000.0,,0.0,4713000.0,370000.0,4343000.0,192498000.0,19015000.0,173483000.0,116039587.0,1376000.0,-2412000.0,41721000.0,119579000.0,-875000.0,158625000.0,-170667000.0,-467000.0,13418000.0,0.0,-5508000.0,-6383000.0,-6383000.0,0.0,1000.0,-0.123,-17689000.0,92628000.0,12248000.0,0.0,1.652,-18.179,-13.687,234664000.0,875000.0,5.338,2.242,2.187,12090000.0,-10381000.0,51754000.0,51754000.0,0.0,,,,0.173,0.0,-2918000.0,1.0,21738320.0,21204385.0,21204385.0,2.441,262738000.0,0.0,-2501000.0,218000.0,12.391,-3026000.0
59470,MHR1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-11-17,-1308000.0,265724000.0,,13086000.0,252638000.0,,0.941,-33650000.0,5312000.0,5312000.0,46733000.0,-41170000.0,0.916,12.491,233020000.0,2013000.0,231007000.0,233020000.0,0.0,8136000.0,0.0,0.0,0.0,-46426000.0,-38290000.0,-3.346,-38290000.0,-46426000.0,-51226000.0,-1.96,-1.96,-1.96,19697000.0,,19697000.0,255536614.0,-6.0,-12.294,-31464000.0,-1.504,1.0,-35288000.0,-3.083,0.0,4800000.0,479143000.0,,0.0,4323000.0,57000.0,4266000.0,246027000.0,14289000.0,231738000.0,62737614.0,3290000.0,83000.0,-1909000.0,38648000.0,-219000.0,34702000.0,-33598000.0,239000.0,2186000.0,0.0,-41145000.0,-41363000.0,-41363000.0,0.0,-25000.0,-3.614,83386000.0,-118674000.0,11698000.0,0.0,3.185,-1.308,-1.312,228436000.0,218000.0,2.979,1.221,1.226,6140000.0,-55734000.0,11445000.0,11445000.0,0.0,,,,,0.0,5211000.0,1.0,21057413.0,20926667.0,20926667.0,0.547,265724000.0,13289000.0,-10081000.0,0.0,12.698,-1203000.0
59471,MHR1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-11-17,-883000.0,271977000.0,,11574000.0,260403000.0,,3.049,-10163000.0,1563000.0,1563000.0,-6931000.0,-2260000.0,0.704,3.196,194362000.0,4352000.0,190010000.0,194362000.0,0.0,4805000.0,0.0,0.0,0.0,1003000.0,5808000.0,0.424,5808000.0,1003000.0,-3653000.0,-0.12,-0.12,-0.12,64811000.0,,64811000.0,262498530.0,38.0,10.806,-6215000.0,-0.292,1.0,20632000.0,1.506,0.0,4656000.0,448341000.0,,0.0,4936000.0,567000.0,4369000.0,207166000.0,16435000.0,190731000.0,77710530.0,-1630000.0,-33000.0,67000.0,6356000.0,-218000.0,6205000.0,-11783000.0,-531000.0,3948000.0,0.0,-2272000.0,-2491000.0,-2491000.0,0.0,12000.0,-0.182,-5555000.0,26187000.0,11409000.0,0.0,1.199,-10.088,-9.898,245678000.0,219000.0,3.662,1.401,1.404,8580000.0,-14569000.0,13701000.0,13701000.0,0.0,,,,,0.0,-750000.0,1.0,21220036.0,21259867.0,21259867.0,0.644,271977000.0,2889000.0,-1381000.0,0.0,12.793,-4861000.0
59472,MHR1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-11-17,0.0,266755000.0,,13030000.0,253725000.0,,3.211,-8999000.0,3193000.0,3193000.0,-6169000.0,-1915000.0,0.905,2.915,187981000.0,4468000.0,183513000.0,187981000.0,0.0,4941000.0,0.0,0.0,0.0,1434000.0,6375000.0,0.476,6375000.0,1434000.0,-3084000.0,-0.1,-0.1,-0.1,68119000.0,,68119000.0,310380347.0,32.0,11.774,-9954000.0,-0.469,1.0,19571000.0,1.46,0.0,4518000.0,437149000.0,,0.0,4720000.0,370000.0,4350000.0,198575000.0,14394000.0,184181000.0,137628347.0,-1292000.0,0.0,12000.0,10701000.0,-219000.0,10494000.0,-10831000.0,9000.0,-955000.0,0.0,-1915000.0,-2134000.0,-2134000.0,0.0,0.0,-0.159,-5691000.0,25262000.0,8753000.0,0.0,2.02,-23.17,-21.104,240402000.0,219000.0,6.331,2.493,2.433,8262000.0,-12296000.0,13402000.0,13402000.0,0.0,,,,,0.0,-750000.0,1.0,21738320.0,21214239.0,21214239.0,0.632,266755000.0,956000.0,-1169000.0,0.0,12.574,-1364000.0
59473,MHR1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-11-17,0.0,262738000.0,,15989000.0,246749000.0,,3.313,-17375000.0,4485000.0,4485000.0,-6734000.0,-1746000.0,0.841,2.741,177237000.0,4723000.0,172514000.0,177237000.0,0.0,3875000.0,0.0,0.0,0.0,1446000.0,5321000.0,0.414,5321000.0,1446000.0,-2787000.0,-0.09,-0.09,-0.09,70240000.0,,70240000.0,,,,-8866000.0,-0.418,1.0,19586000.0,1.524,0.0,4233000.0,416475000.0,,0.0,4713000.0,370000.0,4343000.0,192498000.0,19015000.0,173483000.0,116039587.0,1455000.0,-50000.0,0.0,10963000.0,-219000.0,10744000.0,-17798000.0,-21000.0,8509000.0,0.0,-1747000.0,-1966000.0,-1966000.0,0.0,1000.0,-0.153,-4625000.0,24211000.0,12248000.0,0.0,1.652,-18.179,-13.687,234664000.0,219000.0,5.338,2.242,2.187,12090000.0,-10381000.0,12852000.0,12852000.0,0.0,,,,,0.0,-750000.0,1.0,21738320.0,21204385.0,21204385.0,0.606,262738000.0,0.0,-1040000.0,218000.0,12.391,-3026000.0
59474,MHR1,ARY,1998-12-31,1999-04-14,1998-12-31,2019-11-17,-1429000.0,267142000.0,267153000.0,13689000.0,253453000.0,0.194,0.991,-70187000.0,5312000.0,5312000.0,-26432000.0,-47043000.0,0.95,11.726,233020000.0,2013000.0,231007000.0,233020000.0,0.0,21757000.0,0.0,0.0,0.0,-42543000.0,-20786000.0,-0.401,-20786000.0,-42543000.0,-60750000.0,-2.26,-2.26,-2.26,20992000.0,56040500.0,20992000.0,283800991.0,-7.0,-13.653,-56499000.0,-2.666,1.0,78299000.0,1.51,0.0,18207000.0,480438000.0,445600750.0,0.0,4323000.0,57000.0,4266000.0,246150000.0,14412000.0,231738000.0,56092991.0,1823000.0,0.0,-1830000.0,66668000.0,-875000.0,63504000.0,-75369000.0,-1663000.0,13688000.0,0.0,-47080000.0,-47955000.0,-47955000.0,0.0,37000.0,-0.925,-67463000.0,145762000.0,11821000.0,0.0,2.672,-1.17,-1.236,228436000.0,875000.0,2.793,1.081,1.141,7499000.0,-55714000.0,51867000.0,51867000.0,0.0,-0.18,-0.856,-0.095,-0.82,0.0,-2961000.0,1.0,20082341.0,21189516.0,21189516.0,2.448,267142000.0,13351000.0,-13670000.0,0.0,12.607,-723000.0
