None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
58106,MNIQQ,MRY,1998-12-31,1998-12-27,1998-12-27,2020-10-07,0.0,2248430000.0,2269566250.0,202244000.0,2046186000.0,0.427,186.811,-35111000.0,9650000.0,9650000.0,520538000.0,61051000.0,0.911,1.786,1004000000.0,0.0,1004000000.0,1004000000.0,33602000.0,96556000.0,4071000.0,0.012,4.0,184923000.0,281479000.0,0.291,281479000.0,184923000.0,122103000.0,14.1,14.1,14.1,807005000.0,784217000.0,807005000.0,2470551684.0,13.0,8.777,99367000.0,23.002,1.0,448113000.0,0.463,1510954000.0,62820000.0,1509731000.0,1539367000.0,16587000.0,0.0,0.0,0.0,1441425000.0,222095000.0,1219330000.0,1438508684.0,979000.0,-915228000.0,4546000.0,828630000.0,-16336000.0,816840000.0,-950339000.0,0.0,134478000.0,0.0,61051000.0,61051000.0,61051000.0,0.0,0.0,0.063,267255000.0,180858000.0,70063000.0,0.284,1.783,23.562,22.83,453402000.0,0.0,321.9,1.485,1.436,154152000.0,537035000.0,968651000.0,968651000.0,0.0,0.027,0.078,0.12,0.191,0.0,173469000.0,1.0,4468806.0,4319900.0,4334900.0,224.23,737476000.0,17441000.0,61052000.0,169278000.0,170.716,-19851000.0
58107,MNIQQ,MRT,1998-12-31,1998-12-27,1998-12-27,2020-10-07,0.0,2248430000.0,2269566250.0,202244000.0,2046186000.0,0.427,186.811,-35111000.0,9650000.0,9650000.0,520538000.0,61051000.0,0.911,1.786,1004000000.0,0.0,1004000000.0,1004000000.0,33602000.0,96556000.0,4071000.0,0.012,4.0,184923000.0,281479000.0,0.291,281479000.0,184923000.0,122103000.0,14.1,14.1,14.1,807005000.0,784217000.0,807005000.0,2470551684.0,13.0,8.777,99367000.0,23.002,1.0,448113000.0,0.463,1510954000.0,62820000.0,1509731000.0,1539367000.0,16587000.0,0.0,0.0,0.0,1441425000.0,222095000.0,1219330000.0,1438508684.0,979000.0,-915228000.0,4546000.0,828630000.0,-16336000.0,816840000.0,-950339000.0,0.0,134478000.0,0.0,61051000.0,61051000.0,61051000.0,0.0,0.0,0.063,267255000.0,180858000.0,70063000.0,0.284,1.783,23.562,22.83,453402000.0,0.0,321.9,1.485,1.436,154152000.0,537035000.0,968651000.0,968651000.0,0.0,0.027,0.078,0.12,0.191,0.0,173469000.0,1.0,4468806.0,4319900.0,4334900.0,224.23,737476000.0,17441000.0,61052000.0,169278000.0,170.716,-19851000.0
58108,MNIQQ,MRT,1998-09-30,1998-09-30,1998-09-30,2020-10-07,0.0,2237069000.0,1921908250.0,181434000.0,2055635000.0,0.449,176.853,-30315000.0,957000.0,957000.0,471056000.0,60497000.0,0.841,1.836,1033000000.0,6429000.0,1026571000.0,1033000000.0,33075000.0,82582000.0,4179000.0,0.013,4.0,161619000.0,244201000.0,0.283,244201000.0,161619000.0,115391000.0,14.6,14.5,14.6,788729000.0,724229500.0,788729000.0,2384582210.0,15.0,9.765,86912000.0,19.488,1.0,392492000.0,0.455,1530365000.0,46228000.0,1522998000.0,1274801500.0,15678000.0,0.0,0.0,0.0,1448340000.0,215749000.0,1232591000.0,1338168210.0,-6430000.0,-915675000.0,3731000.0,832630000.0,-15711000.0,820650000.0,-944307000.0,0.0,117227000.0,0.0,60497000.0,60497000.0,60497000.0,0.0,0.0,0.07,234572000.0,157920000.0,37968000.0,0.274,1.697,22.12,20.548,444371000.0,0.0,300.0,1.55,1.549,137594000.0,520182000.0,863548000.0,863548000.0,0.0,0.031,0.084,0.127,0.187,0.0,153917000.0,1.0,4460561.0,4459800.0,4475700.0,193.629,706704000.0,21908000.0,54894000.0,173893000.0,158.461,-34315000.0
58109,MNIQQ,MRT,1998-06-30,1998-06-30,1998-06-30,2020-10-07,0.0,2258515000.0,,180677000.0,2077838000.0,,174.597,-22482000.0,4586000.0,4586000.0,416434000.0,62060000.0,0.793,1.905,1051000000.0,6995000.0,1044005000.0,1051000000.0,32949000.0,68831000.0,4310000.0,0.012,4.0,140998000.0,209829000.0,0.276,209829000.0,140998000.0,113086000.0,15.6,15.5,15.6,777446000.0,,777446000.0,2605624740.0,18.0,12.418,98555000.0,22.133,1.0,343585000.0,0.452,1543859000.0,27912000.0,1533292000.0,,18658000.0,0.0,0.0,0.0,1481069000.0,227778000.0,1253291000.0,1541089740.0,-3669000.0,-917592000.0,4783000.0,826630000.0,-15091000.0,816322000.0,-941028000.0,0.0,121037000.0,0.0,62060000.0,62060000.0,62060000.0,0.0,0.0,0.082,207494000.0,136091000.0,42747000.0,0.256,1.982,24.832,22.192,449899000.0,0.0,346.2,2.028,2.028,129804000.0,510394000.0,760019000.0,760019000.0,0.0,,,,0.186,0.0,138799000.0,1.0,4451444.0,4452800.0,4466000.0,170.683,714656000.0,22510000.0,51026000.0,185654000.0,160.496,-47101000.0
58110,MNIQQ,MRT,1998-03-31,1998-03-31,1998-03-31,2020-10-07,0.0,2334251000.0,,231327000.0,2102924000.0,,195.873,-21212000.0,60465000.0,60465000.0,360893000.0,63046000.0,0.942,2.057,1125000000.0,21675000.0,1103325000.0,1125000000.0,35102000.0,54630000.0,4351000.0,0.013,4.0,119775000.0,174405000.0,0.266,174405000.0,119775000.0,109708000.0,16.6,16.4,16.6,763688000.0,,763688000.0,1411584426.0,12.0,8.094,91906000.0,23.572,1.0,294399000.0,0.449,1561673000.0,10067000.0,1591447000.0,,16046000.0,0.0,0.0,0.0,1570563000.0,245666000.0,1324897000.0,1326255426.0,53142000.0,-917592000.0,5744000.0,888630000.0,-14464000.0,879910000.0,-939886000.0,0.0,113118000.0,0.0,63046000.0,63046000.0,63046000.0,0.0,0.0,0.096,178163000.0,116236000.0,48490000.0,0.241,1.737,21.036,17.958,455591000.0,0.0,298.1,2.024,1.774,125863000.0,497943000.0,655292000.0,655292000.0,0.0,,,,0.183,0.0,123671000.0,1.0,4449029.0,3898900.0,3910200.0,168.071,772578000.0,22928000.0,46662000.0,170929000.0,198.153,-14339000.0
58111,MNIQQ,MRQ,1998-12-31,1998-12-27,1998-12-27,2020-10-07,0.0,2248430000.0,,202244000.0,2046186000.0,,180.87,-11478000.0,9650000.0,9650000.0,140238000.0,21098000.0,0.911,1.786,1004000000.0,0.0,1004000000.0,1004000000.0,33602000.0,27111000.0,4071000.0,0.012,1.0,58851000.0,85962000.0,0.313,85962000.0,58851000.0,40566000.0,4.7,4.8,4.7,807005000.0,,807005000.0,2470551684.0,13.0,8.777,39998000.0,8.965,1.0,134314000.0,0.489,1510954000.0,18285000.0,1509731000.0,,16587000.0,0.0,0.0,0.0,1441425000.0,222095000.0,1219330000.0,1438508684.0,8693000.0,3387000.0,1323000.0,-29000000.0,-4245000.0,-31922000.0,-10861000.0,0.0,51476000.0,0.0,21098000.0,21098000.0,21098000.0,0.0,0.0,0.077,77509000.0,56805000.0,70063000.0,0.213,1.783,23.562,22.83,453402000.0,0.0,321.9,1.485,1.436,154152000.0,537035000.0,274552000.0,274552000.0,0.0,,,,,0.0,51276000.0,1.0,4468806.0,4461800.0,4474400.0,61.534,737476000.0,17441000.0,19468000.0,169278000.0,165.287,-19851000.0
58112,MNIQQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2020-10-07,0.0,2237069000.0,,181434000.0,2055635000.0,,176.853,-11687000.0,957000.0,957000.0,142832000.0,14026000.0,0.841,1.836,1033000000.0,6429000.0,1026571000.0,1033000000.0,33075000.0,27311000.0,4179000.0,0.013,1.0,48944000.0,76255000.0,0.29,76255000.0,48944000.0,28624000.0,3.1,3.1,3.1,788729000.0,,788729000.0,2384582210.0,15.0,9.765,12942000.0,2.902,1.0,120297000.0,0.457,1530365000.0,20320000.0,1522998000.0,,15678000.0,0.0,0.0,0.0,1448340000.0,215749000.0,1232591000.0,1338168210.0,-3629000.0,1917000.0,1113000.0,-18000000.0,-4238000.0,-21125000.0,-7133000.0,0.0,24629000.0,0.0,14026000.0,14026000.0,14026000.0,0.0,0.0,0.053,71434000.0,48863000.0,37968000.0,0.323,1.697,22.12,20.548,444371000.0,0.0,300.0,1.55,1.549,137594000.0,520182000.0,263129000.0,263129000.0,0.0,,,,,0.0,45948000.0,1.0,4460561.0,4459800.0,4475700.0,59.0,706704000.0,21908000.0,14598000.0,173893000.0,158.461,-34315000.0
58113,MNIQQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2020-10-07,0.0,2258515000.0,,180677000.0,2077838000.0,,174.597,-7039000.0,4586000.0,4586000.0,142007000.0,16682000.0,0.793,1.905,1051000000.0,6995000.0,1044005000.0,1051000000.0,32949000.0,27628000.0,4310000.0,0.012,1.0,53830000.0,81458000.0,0.305,81458000.0,53830000.0,33652000.0,3.7,3.7,3.7,777446000.0,,777446000.0,2605624740.0,18.0,12.418,21686000.0,4.87,1.0,125000000.0,0.468,1543859000.0,20178000.0,1533292000.0,,18658000.0,0.0,0.0,0.0,1481069000.0,227778000.0,1253291000.0,1541089740.0,-55879000.0,0.0,533000.0,-74000000.0,-4231000.0,-77698000.0,-6906000.0,0.0,28725000.0,0.0,16682000.0,16682000.0,16682000.0,0.0,0.0,0.062,72475000.0,52525000.0,42747000.0,0.27,1.982,24.832,22.192,449899000.0,0.0,346.2,2.028,2.028,129804000.0,510394000.0,267007000.0,267007000.0,0.0,,,,,0.0,44881000.0,1.0,4451444.0,4452800.0,4466000.0,59.964,714656000.0,22510000.0,16970000.0,185654000.0,160.496,-47101000.0
58114,MNIQQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2020-10-07,0.0,2334251000.0,,231327000.0,2102924000.0,,195.873,-4907000.0,60465000.0,60465000.0,95461000.0,9245000.0,0.942,2.057,1125000000.0,21675000.0,1103325000.0,1125000000.0,35102000.0,14506000.0,4351000.0,0.013,1.0,23298000.0,37804000.0,0.231,37804000.0,23298000.0,19261000.0,2.4,2.4,2.4,763688000.0,,763688000.0,1411584426.0,12.0,8.094,24741000.0,6.346,1.0,68502000.0,0.418,1561673000.0,4037000.0,1591447000.0,,16046000.0,0.0,0.0,0.0,1570563000.0,245666000.0,1324897000.0,1326255426.0,51794000.0,-920532000.0,1577000.0,949630000.0,-3622000.0,947585000.0,-925439000.0,0.0,29648000.0,0.0,9245000.0,9245000.0,9245000.0,0.0,0.0,0.056,45837000.0,22665000.0,48490000.0,0.417,1.737,21.036,17.958,455591000.0,0.0,298.1,2.024,1.774,125863000.0,497943000.0,163963000.0,163963000.0,0.0,,,,,0.0,31364000.0,1.0,4449029.0,3898900.0,3910200.0,42.054,772578000.0,22928000.0,10016000.0,170929000.0,198.153,-14339000.0
58115,MNIQQ,ARY,1998-12-31,1999-03-29,1998-12-27,2020-10-07,0.0,2246725000.0,2269140000.0,200539000.0,2046186000.0,0.427,186.811,-35111000.0,9650000.0,9650000.0,520538000.0,61051000.0,0.91,1.784,1004000000.0,0.0,1004000000.0,1004000000.0,33602000.0,96556000.0,4071000.0,0.012,4.0,184923000.0,281479000.0,0.291,281479000.0,184923000.0,122103000.0,14.1,14.1,14.1,807005000.0,784217000.0,807005000.0,2481839756.0,13.0,8.817,99367000.0,23.002,1.0,448113000.0,0.463,1510954000.0,62820000.0,1509731000.0,1539367000.0,16587000.0,0.0,0.0,0.0,1439720000.0,220390000.0,1219330000.0,1487489756.0,979000.0,-915228000.0,4546000.0,828630000.0,-16336000.0,816840000.0,-950339000.0,0.0,134478000.0,0.0,61051000.0,61051000.0,61051000.0,0.0,0.0,0.063,267255000.0,180858000.0,68358000.0,0.284,1.843,24.365,23.582,453402000.0,0.0,332.5,1.536,1.483,152447000.0,537035000.0,968651000.0,968651000.0,0.0,0.027,0.078,0.12,0.191,0.0,173469000.0,1.0,4473653.0,4319900.0,4334900.0,224.23,735771000.0,17441000.0,61052000.0,169278000.0,170.321,-19851000.0
