None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
57923,MNY,MRY,1998-12-31,1998-12-31,1998-12-31,2019-05-19,152400000.0,24958200000.0,24284750000.0,,,0.076,37.628,-30900000.0,329100000.0,329100000.0,988300000.0,164000000.0,,13.04,375400000.0,,,375400000.0,0.0,41400000.0,1991700000.0,0.0,0.0,267000000.0,308400000.0,0.166,308400000.0,267000000.0,267000000.0,0.19,0.18,0.19,1777600000.0,1549100000.0,1777600000.0,1464836443.0,5.0,4.75,45800000.0,0.969,1.0,867900000.0,0.468,0.0,0.0,25004500000.0,24363000000.0,0.0,4679300000.0,,,23180600000.0,,,1479236443.0,15700000.0,-46000000.0,282500000.0,-61300000.0,0.0,85700000.0,-146700000.0,-617400000.0,76700000.0,0.0,164000000.0,164000000.0,164000000.0,0.0,0.0,0.088,600900000.0,267000000.0,622300000.0,0.0,0.832,9.02,164.803,0.0,0.0,31.313,0.797,0.797,478100000.0,8800000.0,1856200000.0,1856200000.0,0.0,0.007,0.106,0.011,0.144,0.0,122000000.0,1.0,47241084.0,47241084.0,47884815.0,39.292,24958200000.0,0.0,103000000.0,79100000.0,528.316,
57924,MNY,MRT,1998-12-31,1998-12-31,1998-12-31,2019-05-19,152400000.0,24958200000.0,24284750000.0,,,0.076,37.628,-30900000.0,329100000.0,329100000.0,988300000.0,164000000.0,,13.04,375400000.0,,,375400000.0,0.0,41400000.0,1991700000.0,0.0,0.0,267000000.0,308400000.0,0.166,308400000.0,267000000.0,267000000.0,0.19,0.18,0.19,1777600000.0,1549100000.0,1777600000.0,1464836443.0,5.0,4.75,45800000.0,0.969,1.0,867900000.0,0.468,0.0,0.0,25004500000.0,24363000000.0,0.0,4679300000.0,,,23180600000.0,,,1479236443.0,15700000.0,-46000000.0,282500000.0,-61300000.0,0.0,85700000.0,-146700000.0,-617400000.0,76700000.0,0.0,164000000.0,164000000.0,164000000.0,0.0,0.0,0.088,600900000.0,267000000.0,622300000.0,0.0,0.832,9.02,164.803,0.0,0.0,31.313,0.797,0.797,478100000.0,8800000.0,1856200000.0,1856200000.0,0.0,0.007,0.106,0.011,0.144,0.0,122000000.0,1.0,47241084.0,47241084.0,47884815.0,39.292,24958200000.0,0.0,103000000.0,79100000.0,528.316,
57925,MNY,MRT,1998-09-30,1998-09-30,1998-09-30,2019-05-19,172200000.0,23905700000.0,,,,,32.355,-59000000.0,388100000.0,388100000.0,,,,14.64,373700000.0,,,373700000.0,0.0,55000000.0,0.0,,0.0,,,,,,,,,,1528500000.0,,1528500000.0,,,,32500000.0,0.688,1.0,,,0.0,,23891300000.0,,0.0,9649600000.0,,,22377200000.0,,,,165400000.0,0.0,0.0,63400000.0,0.0,-95600000.0,169500000.0,-3360200000.0,91500000.0,0.0,,,,,,,,,617900000.0,,,,,0.0,,,,,608200000.0,1356300000.0,,,,,,,,0.0,,1.0,47241084.0,47241084.0,,,23905700000.0,0.0,,183900000.0,506.036,
57926,MNY,MRT,1998-06-30,1998-06-30,1998-06-30,2019-05-19,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
57927,MNY,MRT,1998-03-31,1998-03-31,1998-03-31,2019-05-19,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
57928,MNY,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-05-19,152400000.0,24958200000.0,,,,,37.628,-17900000.0,329100000.0,329100000.0,174300000.0,10200000.0,,13.04,375400000.0,,,375400000.0,0.0,41400000.0,1991700000.0,0.0,0.0,21900000.0,63300000.0,0.181,63300000.0,21900000.0,21900000.0,,,,1777600000.0,,1777600000.0,1464836443.0,5.0,4.75,-67400000.0,-1.427,1.0,174700000.0,0.501,0.0,0.0,25004500000.0,,0.0,4679300000.0,,,23180600000.0,,,1479236443.0,-59000000.0,-46000000.0,282500000.0,-10500000.0,0.0,254900000.0,-264400000.0,-250800000.0,-49500000.0,0.0,10200000.0,10200000.0,10200000.0,0.0,0.0,0.029,168300000.0,6400000.0,622300000.0,,0.832,9.02,164.803,0.0,0.0,31.313,0.797,0.797,478100000.0,8800000.0,349000000.0,349000000.0,0.0,,,,,0.0,19100000.0,1.0,47241084.0,47241084.0,,7.388,24958200000.0,0.0,11700000.0,79100000.0,528.316,
57929,MNY,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-05-19,172200000.0,23905700000.0,,,,,32.355,-9000000.0,388100000.0,388100000.0,267200000.0,35400000.0,,14.64,373700000.0,,,373700000.0,0.0,0.0,0.0,,0.0,54900000.0,54900000.0,0.119,54900000.0,54900000.0,54900000.0,,,,1528500000.0,,1528500000.0,,,,25600000.0,0.542,1.0,195500000.0,0.423,0.0,0.0,23891300000.0,,0.0,9649600000.0,,,22377200000.0,,,,-104300000.0,0.0,0.0,-49000000.0,0.0,-74700000.0,-64200000.0,-89700000.0,34600000.0,0.0,35400000.0,35400000.0,35400000.0,0.0,0.0,0.077,134800000.0,60700000.0,617900000.0,,,,,0.0,0.0,,,,608200000.0,1356300000.0,462700000.0,462700000.0,0.0,,,,,0.0,32100000.0,1.0,47241084.0,47241084.0,,9.794,23905700000.0,0.0,19500000.0,183900000.0,506.036,
57930,MNY,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-05-19,,,,,,,,-1400000.0,,,275400000.0,70100000.0,,,,,,,,0.0,,,0.0,111600000.0,111600000.0,0.204,111600000.0,111600000.0,111600000.0,,,,,,,,,,-3500000.0,,1.0,271700000.0,0.497,,0.0,,,,,,,,,,,244300000.0,0.0,0.0,-900000.0,0.0,-53700000.0,300100000.0,-107000000.0,-2100000.0,0.0,70100000.0,70100000.0,70100000.0,0.0,0.0,0.128,155500000.0,116200000.0,,,,,,,0.0,,,,,,547100000.0,547100000.0,0.0,,,,,0.0,37900000.0,1.0,,,,,,,41500000.0,,,
57931,MNY,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-05-19,,,,,,,,-2600000.0,,,271400000.0,48300000.0,,,,,,,,0.0,,,0.0,78600000.0,78600000.0,0.158,78600000.0,78600000.0,78600000.0,,,,,,,,,,91100000.0,,1.0,226000000.0,0.454,,0.0,,,,,,,,,,,-65300000.0,0.0,0.0,-900000.0,0.0,-40800000.0,-118200000.0,-169900000.0,93700000.0,0.0,48300000.0,48300000.0,48300000.0,0.0,0.0,0.097,142300000.0,83700000.0,,,,,,,0.0,,,,,,497400000.0,497400000.0,0.0,,,,,0.0,32900000.0,1.0,,,,,,,30300000.0,,,
57932,MNY,ARY,1998-12-31,1999-03-30,1998-12-31,2019-05-19,152400000.0,24956000000.0,24283650000.0,,,0.076,37.631,-30900000.0,329100000.0,329100000.0,988300000.0,164000000.0,,13.039,375400000.0,,,375400000.0,0.0,41400000.0,1991700000.0,0.004,0.1,267000000.0,308400000.0,0.166,308400000.0,267000000.0,267000000.0,,,,1777600000.0,1549100000.0,1777600000.0,1227253900.0,5.0,3.979,45800000.0,0.97,1.0,867900000.0,0.468,0.0,0.0,25002300000.0,24361900000.0,0.0,4679300000.0,,,23178400000.0,,,1180953900.0,15700000.0,-46000000.0,282500000.0,-61300000.0,0.0,85700000.0,-146700000.0,-617400000.0,76700000.0,0.0,164000000.0,164000000.0,164000000.0,0.0,0.0,0.088,573700000.0,294200000.0,620100000.0,,0.664,7.201,,0.0,0.0,25.0,0.636,0.636,485000000.0,8800000.0,1856200000.0,1856200000.0,0.0,0.007,0.106,0.011,0.144,0.0,122000000.0,1.0,47238156.0,47238156.0,,39.295,24956000000.0,0.0,103000000.0,79100000.0,528.302,
