None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
56350,MSEX,MRY,1998-12-31,1998-12-31,1998-12-31,2021-09-07,0.0,203501256.0,192588392.0,27784323.0,175716933.0,0.224,7.663,-26275281.0,19164894.0,19164894.0,27624548.0,6521226.0,2.105,2.05,79103243.0,1071730.0,78031513.0,79103243.0,0.0,3796607.0,0.0,0.047,0.575,13944115.0,17740722.0,0.412,17740722.0,13944115.0,9520514.0,0.71,0.705,0.71,66729466.0,58977508.0,66729466.0,97319113.0,7.0,5.486,-15858080.0,-1.821,1.0,15433418.0,0.358,0.0,4423601.0,250239544.0,218351245.0,906866.0,0.0,0.0,0.0,136771790.0,13200061.0,123571729.0,105945752.0,6875528.0,0.0,14288456.0,25577589.0,-4987013.0,25069830.0,-28611503.0,-1619065.0,10417201.0,0.0,6521226.0,6202440.0,6202440.0,0.0,0.0,0.144,3284669.0,12148749.0,3851659.0,0.81,1.588,17.081,17.077,159116392.0,318786.0,12.125,2.461,2.452,7184215.0,21222294.0,43057966.0,43057966.0,0.0,0.032,0.105,0.064,0.324,0.0,0.0,1.0,8737794.0,8707758.0,9160610.0,4.945,203501256.0,5788752.0,2999288.0,19456527.0,23.37,14584262.0
56351,MSEX,MRT,1998-12-31,1998-12-31,1998-12-31,2021-09-07,0.0,203501256.0,192588392.0,27784323.0,175716933.0,0.224,7.663,-26275281.0,19164894.0,19164894.0,27624548.0,6521226.0,2.105,2.05,79103243.0,1071730.0,78031513.0,79103243.0,0.0,3796607.0,0.0,0.047,0.575,13944115.0,17740722.0,0.412,17740722.0,13944115.0,9520514.0,0.71,0.705,0.71,66729466.0,58977508.0,66729466.0,97319113.0,7.0,5.486,-15858080.0,-1.821,1.0,15433418.0,0.358,0.0,4423601.0,250239544.0,218351245.0,906866.0,0.0,0.0,0.0,136771790.0,13200061.0,123571729.0,105945752.0,6875528.0,0.0,14288456.0,25577589.0,-4987013.0,25069830.0,-28611503.0,-1619065.0,10417201.0,0.0,6521226.0,6202440.0,6202440.0,0.0,0.0,0.144,3284669.0,12148749.0,3851659.0,0.81,1.588,17.081,17.077,159116392.0,318786.0,12.125,2.461,2.452,7184215.0,21222294.0,43057966.0,43057966.0,0.0,0.032,0.105,0.064,0.324,0.0,0.0,1.0,8737794.0,8707758.0,9160610.0,4.945,203501256.0,5788752.0,2999288.0,19456527.0,23.37,14584262.0
56352,MSEX,MRT,1998-09-30,1998-09-30,1998-09-30,2021-09-07,0.0,191414500.0,181653271.0,22655590.0,168758910.0,0.234,,-21740080.0,13171980.0,13171980.0,26778548.0,6558949.0,1.277,,4545341.0,4545341.0,0.0,4545341.0,0.0,3251842.0,406451.0,0.053,0.57,13825848.0,17077690.0,0.402,17077690.0,13825848.0,9726392.0,0.72,0.72,0.72,,,,154348629.0,11.0,9.038,-9131014.0,-1.048,1.0,15708811.0,0.37,0.0,4099456.0,165051595.0,205535544.0,1151314.0,0.0,0.0,0.0,,17736266.0,,93162053.0,-1339160.0,0.0,2159163.0,26890803.0,-4911122.0,12667674.0,-26615900.0,-1638345.0,12609066.0,0.0,6558949.0,6239693.0,6239693.0,0.0,0.0,0.147,3251842.0,12456969.0,4365465.0,0.792,,14.931,14.889,152044732.0,319256.0,10.72,2.193,2.199,7760756.0,,42487359.0,42487359.0,0.0,0.034,,0.067,0.325,0.0,0.0,1.0,8690490.0,8715142.0,9167994.0,4.875,191414500.0,0.0,3167443.0,20112764.0,21.963,4919324.0
56353,MSEX,MRT,1998-06-30,1998-06-30,1998-06-30,2021-09-07,0.0,189175326.0,172976071.0,28291237.0,160884089.0,0.239,6.117,-17902865.0,19230433.0,19230433.0,25950555.0,6105320.0,1.631,2.571,80417009.0,4521268.0,75895741.0,80417009.0,0.0,3179455.0,397387.0,0.056,0.568,13112150.0,16291605.0,0.394,16291605.0,13112150.0,9404100.0,0.675,0.68,0.675,52974788.0,,52974788.0,141665942.0,11.0,8.696,-6164425.0,-0.712,1.0,15430850.0,0.373,0.0,3708050.0,233017831.0,200134268.0,1100183.0,0.0,0.0,0.0,136200538.0,17344071.0,118856467.0,87167117.0,-1970514.0,158436.0,2153663.0,26868662.0,-4856883.0,7149146.0,-20858100.0,-1658261.0,11738440.0,0.0,6105320.0,5799363.0,5799363.0,0.0,0.0,0.14,3179455.0,12251395.0,2937186.0,0.841,1.645,15.03,15.0,144094145.0,305957.0,10.125,2.106,2.119,7424743.0,20309429.0,41381405.0,41381405.0,0.0,0.034,,0.066,0.317,0.0,0.0,1.0,8609098.0,8660050.0,9112902.0,4.778,189175326.0,0.0,3298780.0,20189517.0,21.845,10947166.0
56354,MSEX,MRT,1998-03-31,1998-03-31,1998-03-31,2021-09-07,0.0,186262485.0,163493346.0,32166710.0,154095775.0,0.249,6.05,-15000040.0,24515421.0,24515421.0,25674435.0,5842132.0,2.053,2.588,79014246.0,3106967.0,75907279.0,79014246.0,0.0,3256534.0,394603.0,0.057,0.565,12384973.0,15641507.0,0.384,15641507.0,12384973.0,9008767.0,0.655,0.66,0.655,51914322.0,,51914322.0,137103340.0,11.0,8.765,-2416048.0,-0.282,1.0,15052803.0,0.37,0.0,3376206.0,225096011.0,175920256.0,1041575.0,0.0,0.0,0.0,134348163.0,15665299.0,118682864.0,86090980.0,-2525740.0,158436.0,1613512.0,25456248.0,-4805227.0,246576.0,-15356308.0,-9149.0,12583992.0,0.0,5842132.0,5576140.0,5576140.0,0.0,0.0,0.137,3123444.0,11929359.0,3017716.0,0.863,1.658,15.439,15.267,139164031.0,265992.0,10.0,2.114,2.107,6293326.0,20048683.0,40727238.0,40727238.0,0.0,0.034,,0.07,0.304,0.0,0.0,1.0,8609098.0,8581362.0,9034214.0,4.746,186262485.0,0.0,3166635.0,21033464.0,21.705,16501411.0
56355,MSEX,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-09-07,0.0,203501256.0,,27784323.0,175716933.0,,7.52,-7511234.0,19164894.0,19164894.0,7252967.0,1336395.0,2.105,2.05,79103243.0,1071730.0,78031513.0,79103243.0,0.0,1349736.0,0.0,0.047,0.147,3112165.0,4461901.0,0.42,4461901.0,3112165.0,1913236.0,0.14,0.14,0.14,66729466.0,,66729466.0,97319113.0,7.0,5.486,-3696312.0,-0.417,1.0,3370559.0,0.317,0.0,1198929.0,250239544.0,,906866.0,0.0,0.0,0.0,136771790.0,13200061.0,123571729.0,105945752.0,7713417.0,0.0,12432514.0,-1326039.0,-1289486.0,11638657.0,-7740162.0,25243.0,3814922.0,0.0,1336395.0,1256699.0,1256699.0,0.0,0.0,0.118,837798.0,2532761.0,3851659.0,1.05,1.588,17.081,17.077,159116392.0,79696.0,12.125,2.461,2.452,7184215.0,21222294.0,10623526.0,10623526.0,0.0,,,,,0.0,0.0,1.0,8737794.0,8873010.0,9325862.0,1.197,203501256.0,5788752.0,576841.0,19456527.0,22.935,14584262.0
56356,MSEX,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-09-07,0.0,191414500.0,,22655590.0,168758910.0,,,-10471413.0,13171980.0,13171980.0,7369571.0,2347572.0,1.277,,4545341.0,4545341.0,0.0,4545341.0,0.0,836401.0,406451.0,0.053,0.142,4460917.0,5297318.0,0.439,5297318.0,4460917.0,3251330.0,0.26,0.255,0.26,,,,154348629.0,11.0,9.038,-7463415.0,-0.856,1.0,4704414.0,0.39,0.0,1209587.0,165051595.0,,1151314.0,0.0,0.0,0.0,,17736266.0,,93162053.0,-594411.0,0.0,329067.0,12273.0,-1241990.0,4891320.0,-8493729.0,19916.0,3007998.0,0.0,2347572.0,2267875.0,2267875.0,0.0,0.0,0.188,823148.0,3881266.0,4365465.0,0.546,,14.931,14.889,152044732.0,79697.0,10.72,2.193,2.199,7760756.0,,12073985.0,12073985.0,0.0,,,,,0.0,0.0,1.0,8690490.0,8715142.0,9167994.0,1.385,191414500.0,0.0,903758.0,20112764.0,21.963,4919324.0
56357,MSEX,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-09-07,0.0,189175326.0,,28291237.0,160884089.0,,6.117,-3526279.0,19230433.0,19230433.0,6671067.0,1574008.0,1.631,2.571,80417009.0,4521268.0,75895741.0,80417009.0,0.0,707603.0,397387.0,0.056,0.142,3568011.0,4275614.0,0.404,4275614.0,3568011.0,2410447.0,0.17,0.17,0.17,52974788.0,,52974788.0,141665942.0,11.0,8.696,-1522522.0,-0.176,1.0,3920249.0,0.37,0.0,1157564.0,233017831.0,,1100183.0,0.0,0.0,0.0,136200538.0,17344071.0,118856467.0,87167117.0,849334.0,0.0,799720.0,1402763.0,-1233566.0,6538499.0,-7692922.0,-1649112.0,2003757.0,0.0,1574008.0,1494312.0,1494312.0,0.0,0.0,0.141,815639.0,3104610.0,2937186.0,0.835,1.645,15.03,15.0,144094145.0,79696.0,10.125,2.106,2.119,7424743.0,20309429.0,10591316.0,10591316.0,0.0,,,,,0.0,0.0,1.0,8609098.0,8660050.0,9112902.0,1.223,189175326.0,0.0,836439.0,20189517.0,21.845,10947166.0
56358,MSEX,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-09-07,0.0,186262485.0,,32166710.0,154095775.0,,6.05,-4766355.0,24515421.0,24515421.0,6330943.0,1263251.0,2.053,2.588,79014246.0,3106967.0,75907279.0,79014246.0,0.0,883724.0,394603.0,0.057,0.142,2803022.0,3686746.0,0.377,3686746.0,2803022.0,1945501.0,0.14,0.14,0.14,51914322.0,,51914322.0,137103340.0,11.0,8.765,-3074201.0,-0.358,1.0,3438196.0,0.352,0.0,857521.0,225096011.0,,1041575.0,0.0,0.0,0.0,134348163.0,15665299.0,118682864.0,86090980.0,-1092812.0,0.0,727155.0,25488592.0,-1221971.0,2001354.0,-4786320.0,-15112.0,1692154.0,0.0,1263251.0,1183554.0,1183554.0,0.0,0.0,0.121,808084.0,2630112.0,3017716.0,1.014,1.658,15.439,15.267,139164031.0,79697.0,10.0,2.114,2.107,6293326.0,20048683.0,9769139.0,9769139.0,0.0,,,,,0.0,0.0,1.0,8609098.0,8581362.0,9034214.0,1.138,186262485.0,0.0,682250.0,21033464.0,21.705,16501411.0
56359,MSEX,ARY,1998-12-31,1999-03-26,1998-12-31,2021-09-07,0.0,203501256.0,192588392.0,27784323.0,175716933.0,0.224,7.663,-26275281.0,19164894.0,19164894.0,27624548.0,6521226.0,2.105,2.05,79103243.0,1071730.0,78031513.0,79103243.0,11275660.0,3796607.0,0.0,0.05,0.58,13944115.0,17740722.0,0.412,17740722.0,13944115.0,9520514.0,0.71,0.705,0.71,66729466.0,58977508.0,66729466.0,173475794.0,12.0,9.778,-15858080.0,-1.821,1.0,15433418.0,0.358,0.0,4423601.0,250239544.0,218351245.0,906866.0,0.0,0.0,0.0,136771790.0,13200061.0,123571729.0,113537445.0,6875528.0,0.0,14288456.0,25577589.0,-4987013.0,25069830.0,-28611503.0,-1619065.0,10417201.0,0.0,6521226.0,6202440.0,6202440.0,0.0,0.0,0.144,3284669.0,12148749.0,3373595.0,0.817,1.701,18.305,16.289,159116392.0,318786.0,11.565,2.637,2.339,7184215.0,21222294.0,43057966.0,43057966.0,0.0,0.032,0.105,0.064,0.324,0.0,0.0,1.0,9817332.0,8707758.0,9160610.0,4.945,203501256.0,5788752.0,2999288.0,19456527.0,23.37,14584262.0
