None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
54555,MZIAQ,MRY,1998-12-31,1998-12-28,1998-12-28,2019-04-29,-14400000.0,1557100000.0,1533350000.0,730500000.0,826600000.0,0.988,123.936,-79000000.0,48900000.0,48900000.0,1092300000.0,41500000.0,1.326,2.267,520900000.0,185200000.0,335700000.0,520900000.0,31700000.0,57400000.0,0.0,0.006,1.2,100300000.0,157700000.0,0.104,157700000.0,100300000.0,69600000.0,10.6,10.5,10.6,476600000.0,480300000.0,476600000.0,1347339350.0,13.0,8.544,4500000.0,1.17,1.0,422400000.0,0.279,397600000.0,30700000.0,1080600000.0,1131975000.0,401000000.0,0.0,0.0,0.0,1080500000.0,550900000.0,529600000.0,721039350.0,23200000.0,-54300000.0,-34600000.0,125200000.0,-19000000.0,71600000.0,-133300000.0,0.0,83500000.0,1400000.0,41500000.0,41500000.0,41500000.0,-33900000.0,0.0,0.027,271600000.0,150800000.0,155200000.0,0.113,1.513,17.374,17.689,350900000.0,0.0,187.5,0.476,0.476,226100000.0,106000000.0,1514700000.0,1514700000.0,0.0,0.027,0.086,0.089,0.066,0.0,271600000.0,1.0,3845543.0,3845543.0,,393.885,1159500000.0,0.0,28100000.0,0.0,301.518,179600000.0
54556,MZIAQ,MRT,1998-12-31,1998-12-28,1998-12-28,2019-04-29,-14400000.0,1557100000.0,1533350000.0,730500000.0,826600000.0,0.988,123.936,-79000000.0,48900000.0,48900000.0,1092300000.0,41500000.0,1.326,2.267,520900000.0,185200000.0,335700000.0,520900000.0,31700000.0,57400000.0,0.0,0.006,1.2,100300000.0,157700000.0,0.104,157700000.0,100300000.0,69600000.0,10.6,10.5,10.6,476600000.0,480300000.0,476600000.0,1347339350.0,13.0,8.544,4500000.0,1.17,1.0,422400000.0,0.279,397600000.0,30700000.0,1080600000.0,1131975000.0,401000000.0,0.0,0.0,0.0,1080500000.0,550900000.0,529600000.0,721039350.0,23200000.0,-54300000.0,-34600000.0,125200000.0,-19000000.0,71600000.0,-133300000.0,0.0,83500000.0,1400000.0,41500000.0,41500000.0,41500000.0,-33900000.0,0.0,0.027,271600000.0,150800000.0,155200000.0,0.113,1.513,17.374,17.689,350900000.0,0.0,187.5,0.476,0.476,226100000.0,106000000.0,1514700000.0,1514700000.0,0.0,0.027,0.086,0.089,0.066,0.0,271600000.0,1.0,3845543.0,3845543.0,,393.885,1159500000.0,0.0,28100000.0,0.0,301.518,179600000.0
54557,MZIAQ,MRT,1998-09-30,1998-09-30,1998-09-30,2019-04-29,-15500000.0,1690400000.0,1492200000.0,898000000.0,792400000.0,0.973,122.532,-86300000.0,41800000.0,41800000.0,1049900000.0,44700000.0,1.322,2.524,668100000.0,333300000.0,334800000.0,668100000.0,31400000.0,57500000.0,0.0,0.0,0.0,98600000.0,156100000.0,0.108,156100000.0,98600000.0,69000000.0,23.3,12.5,23.3,479700000.0,479125000.0,479700000.0,983542931.0,10.0,6.301,-7700000.0,-1.967,1.0,402100000.0,0.277,394400000.0,29600000.0,1242900000.0,1132325000.0,376200000.0,0.0,0.0,0.0,1210700000.0,679400000.0,531300000.0,605542931.0,6700000.0,-215400000.0,-21100000.0,272600000.0,-19300000.0,232200000.0,-301700000.0,0.0,78600000.0,-2400000.0,44700000.0,44700000.0,44700000.0,28600000.0,0.0,0.031,259000000.0,143100000.0,124100000.0,0.0,1.262,13.547,6.626,328100000.0,0.0,154.375,0.417,0.416,235100000.0,87000000.0,1452000000.0,1452000000.0,0.0,0.03,0.093,0.087,0.068,0.0,259000000.0,1.0,3922545.0,3914900.0,,370.891,1296000000.0,0.0,24300000.0,0.0,331.043,218600000.0
54558,MZIAQ,MRT,1998-06-30,1998-06-30,1998-06-30,2019-04-29,-41100000.0,1464600000.0,,795400000.0,669200000.0,,122.6,-86000000.0,30300000.0,30300000.0,1114000000.0,87900000.0,1.674,2.006,408300000.0,98100000.0,310200000.0,408300000.0,38300000.0,59000000.0,0.0,0.0,0.0,139700000.0,198700000.0,0.13,198700000.0,139700000.0,109500000.0,29.2,22.9,29.2,487200000.0,,487200000.0,1310419713.0,9.0,6.595,22500000.0,5.662,1.0,417100000.0,0.272,242800000.0,30200000.0,1124600000.0,,434400000.0,0.0,0.0,0.0,977400000.0,475200000.0,502200000.0,960919713.0,-3300000.0,-46400000.0,-13700000.0,56000000.0,-19300000.0,23000000.0,-132400000.0,0.0,108500000.0,-2400000.0,87900000.0,87900000.0,87900000.0,-12800000.0,0.0,0.057,274300000.0,142800000.0,148600000.0,0.0,1.972,10.932,8.326,349200000.0,0.0,243.125,0.628,0.631,268100000.0,112400000.0,1531100000.0,1531100000.0,0.0,,,,0.091,0.0,274300000.0,1.0,3952369.0,3973900.0,,385.289,1221800000.0,0.0,21600000.0,0.0,307.456,320200000.0
54559,MZIAQ,MRT,1998-03-31,1998-03-31,1998-03-31,2019-04-29,-37300000.0,1421300000.0,,770500000.0,650800000.0,,120.303,-78300000.0,43000000.0,43000000.0,1189000000.0,85200000.0,1.694,1.975,392500000.0,88900000.0,303600000.0,392500000.0,34100000.0,57200000.0,0.0,0.0,0.0,133300000.0,190500000.0,0.118,190500000.0,133300000.0,104300000.0,28.5,22.3,28.5,477700000.0,,477700000.0,1606883646.0,12.0,8.435,55200000.0,13.901,1.0,423700000.0,0.263,236200000.0,29000000.0,1079800000.0,,408500000.0,0.0,0.0,0.0,943600000.0,454800000.0,488800000.0,1260883646.0,13000000.0,-38400000.0,-10600000.0,27300000.0,-18100000.0,-1400000.0,-116700000.0,0.0,133500000.0,-2400000.0,85200000.0,85200000.0,85200000.0,-10200000.0,0.0,0.053,287100000.0,136600000.0,152800000.0,0.0,2.639,14.799,11.184,341500000.0,0.0,318.75,0.782,0.785,253600000.0,96300000.0,1612700000.0,1612700000.0,0.0,,,,0.083,0.0,287100000.0,1.0,3955713.0,3970800.0,,406.14,1185100000.0,0.0,19100000.0,0.0,298.454,315700000.0
54560,MZIAQ,MRQ,1998-12-31,1998-12-28,1998-12-28,2019-04-29,-14400000.0,1557100000.0,,730500000.0,826600000.0,,123.936,-28800000.0,48900000.0,48900000.0,313400000.0,23600000.0,1.326,2.267,520900000.0,185200000.0,335700000.0,520900000.0,31700000.0,13600000.0,0.0,0.006,1.2,40400000.0,54000000.0,0.124,54000000.0,40400000.0,32200000.0,6.1,6.0,6.1,476600000.0,,476600000.0,1347339350.0,13.0,8.544,32000000.0,8.321,1.0,122200000.0,0.281,397600000.0,8200000.0,1080600000.0,,401000000.0,0.0,0.0,0.0,1080500000.0,550900000.0,529600000.0,721039350.0,7100000.0,158900000.0,-19400000.0,-161200000.0,-4600000.0,-185200000.0,130100000.0,0.0,60800000.0,1400000.0,23600000.0,23600000.0,23600000.0,-37800000.0,0.0,0.054,77200000.0,45000000.0,155200000.0,0.197,1.513,17.374,17.689,350900000.0,0.0,187.5,0.476,0.476,226100000.0,106000000.0,435600000.0,435600000.0,0.0,,,,,0.0,77200000.0,1.0,3845543.0,3845543.0,,113.274,1159500000.0,0.0,8600000.0,0.0,301.518,179600000.0
54561,MZIAQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-04-29,-15500000.0,1690400000.0,,898000000.0,792400000.0,,122.532,-22300000.0,41800000.0,41800000.0,252200000.0,-20600000.0,1.322,2.524,668100000.0,333300000.0,334800000.0,668100000.0,31400000.0,14600000.0,0.0,0.0,0.0,-6400000.0,8200000.0,0.023,8200000.0,-6400000.0,-14000000.0,-5.3,-5.3,-5.3,479700000.0,,479700000.0,983542931.0,10.0,6.301,-35800000.0,-9.145,1.0,99900000.0,0.284,394400000.0,7600000.0,1242900000.0,,376200000.0,0.0,0.0,0.0,1210700000.0,679400000.0,531300000.0,605542931.0,11500000.0,-192700000.0,-7700000.0,252500000.0,-4800000.0,240000000.0,-215000000.0,0.0,-13500000.0,0.0,-20600000.0,-20600000.0,-20600000.0,39100000.0,0.0,-0.059,64500000.0,35400000.0,124100000.0,0.0,1.262,13.547,6.626,328100000.0,0.0,154.375,0.417,0.416,235100000.0,87000000.0,352100000.0,352100000.0,0.0,,,,,0.0,64500000.0,1.0,3922545.0,3914900.0,3914900.0,89.938,1296000000.0,0.0,6600000.0,0.0,331.043,218600000.0
54562,MZIAQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-04-29,-41100000.0,1464600000.0,,795400000.0,669200000.0,,122.6,-17000000.0,30300000.0,30300000.0,266800000.0,20900000.0,1.674,2.006,408300000.0,98100000.0,310200000.0,408300000.0,38300000.0,14800000.0,0.0,0.0,0.0,35500000.0,50300000.0,0.136,50300000.0,35500000.0,28000000.0,5.3,5.2,5.3,487200000.0,,487200000.0,1310419713.0,9.0,6.595,-8500000.0,-2.139,1.0,103700000.0,0.28,242800000.0,7500000.0,1124600000.0,,434400000.0,0.0,0.0,0.0,977400000.0,475200000.0,502200000.0,960919713.0,-12700000.0,-8000000.0,-2800000.0,11400000.0,-4800000.0,3800000.0,-25000000.0,0.0,8500000.0,0.0,20900000.0,20900000.0,20900000.0,-2600000.0,0.0,0.056,65800000.0,37900000.0,148600000.0,0.0,1.972,10.932,8.326,349200000.0,0.0,243.125,0.628,0.631,268100000.0,112400000.0,370500000.0,370500000.0,0.0,,,,,0.0,65800000.0,1.0,3952369.0,3973900.0,3973900.0,93.233,1221800000.0,0.0,7100000.0,0.0,307.456,320200000.0
54563,MZIAQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-04-29,-37300000.0,1421300000.0,,770500000.0,650800000.0,,120.303,-10900000.0,43000000.0,43000000.0,259900000.0,17600000.0,1.694,1.975,392500000.0,88900000.0,303600000.0,392500000.0,34100000.0,14400000.0,0.0,0.0,0.0,30800000.0,45200000.0,0.127,45200000.0,30800000.0,23400000.0,4.5,4.4,4.5,477700000.0,,477700000.0,1606883646.0,12.0,8.435,16800000.0,4.231,1.0,96600000.0,0.271,236200000.0,7400000.0,1079800000.0,,408500000.0,0.0,0.0,0.0,943600000.0,454800000.0,488800000.0,1260883646.0,17300000.0,-12500000.0,-4700000.0,22500000.0,-4800000.0,13000000.0,-23400000.0,0.0,27700000.0,0.0,17600000.0,17600000.0,17600000.0,-2600000.0,0.0,0.049,64100000.0,32500000.0,152800000.0,0.0,2.639,14.799,11.184,341500000.0,0.0,318.75,0.782,0.785,253600000.0,96300000.0,356500000.0,356500000.0,0.0,,,,,0.0,64100000.0,1.0,3955713.0,3970800.0,3970800.0,89.78,1185100000.0,0.0,5800000.0,0.0,298.454,315700000.0
54564,MZIAQ,ARY,1998-12-31,1999-03-29,1998-12-28,2019-04-29,-14400000.0,1557100000.0,1533350000.0,730500000.0,826600000.0,0.988,127.802,-79000000.0,48900000.0,48900000.0,1092300000.0,41500000.0,1.326,2.267,520900000.0,185200000.0,335700000.0,520900000.0,31700000.0,57400000.0,0.0,0.015,2.4,100300000.0,157700000.0,0.104,157700000.0,100300000.0,69600000.0,10.6,10.5,10.6,476600000.0,480300000.0,476600000.0,1064011024.0,11.0,6.747,5900000.0,1.582,1.0,422400000.0,0.279,397600000.0,30700000.0,1080600000.0,1131975000.0,401000000.0,0.0,0.0,0.0,1080500000.0,550900000.0,529600000.0,592011024.0,23200000.0,-54300000.0,-34600000.0,125200000.0,-19000000.0,71600000.0,-133300000.0,0.0,84900000.0,0.0,41500000.0,41500000.0,41500000.0,33900000.0,0.0,0.027,271600000.0,150800000.0,155200000.0,0.226,1.242,14.265,14.976,350900000.0,0.0,158.75,0.391,0.391,226100000.0,106000000.0,1514700000.0,1514700000.0,0.0,0.027,0.086,0.089,0.066,0.0,271600000.0,1.0,3729203.0,3729203.0,,406.173,1159500000.0,0.0,28100000.0,0.0,310.924,179600000.0
