None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
51710,NORC,MRY,1998-12-31,1998-11-30,1998-11-30,2018-08-22,0.0,20002916.0,19499255.0,7045786.0,12957130.0,1.474,1.751,-3786851.0,172321.0,172321.0,22390783.0,827339.0,1.014,1.316,6560905.0,3156410.0,3404495.0,6560905.0,0.0,2912624.0,0.0,0.0,0.0,1802055.0,4714679.0,0.164,4714679.0,1802055.0,1317968.0,0.17,0.17,0.17,8635464.0,8668908.0,8635464.0,16453097.0,9.0,3.49,-1605220.0,-0.326,1.0,6348846.0,0.221,1221807.0,484087.0,18221595.0,16602693.0,0.0,25000.0,0.0,25000.0,11367452.0,6948098.0,4419354.0,12335801.0,-104776.0,0.0,6496.0,1471571.0,0.0,1478067.0,-3764474.0,0.0,2181631.0,0.0,827339.0,827339.0,827339.0,0.0,0.0,0.029,4769294.0,1579552.0,1890752.0,0.0,1.429,14.91,14.706,11581332.0,0.0,2.5,0.429,0.429,6520788.0,-1922955.0,28739629.0,28739629.0,0.0,0.042,0.095,0.109,0.063,0.0,1848565.0,1.0,4934320.0,4931373.0,5011361.0,5.828,18781109.0,0.0,490629.0,1014859.0,3.808,97688.0
51711,NORC,MRT,1998-12-31,1998-11-30,1998-11-30,2018-08-22,0.0,20002916.0,19499255.0,7045786.0,12957130.0,1.474,1.751,-3786851.0,172321.0,172321.0,22390783.0,827339.0,1.014,1.316,6560905.0,3156410.0,3404495.0,6560905.0,0.0,2912624.0,0.0,0.0,0.0,1802055.0,4714679.0,0.164,4714679.0,1802055.0,1317968.0,0.17,0.17,0.17,8635464.0,8668908.0,8635464.0,16453097.0,9.0,3.49,-1605220.0,-0.326,1.0,6348846.0,0.221,1221807.0,484087.0,18221595.0,16602693.0,0.0,25000.0,0.0,25000.0,11367452.0,6948098.0,4419354.0,12335801.0,-104776.0,0.0,6496.0,1471571.0,0.0,1478067.0,-3764474.0,0.0,2181631.0,0.0,827339.0,827339.0,827339.0,0.0,0.0,0.029,4769294.0,1579552.0,1890752.0,0.0,1.429,14.91,14.706,11581332.0,0.0,2.5,0.429,0.429,6520788.0,-1922955.0,28739629.0,28739629.0,0.0,0.042,0.095,0.109,0.063,0.0,1848565.0,1.0,4934320.0,4931373.0,5011361.0,5.828,18781109.0,0.0,490629.0,1014859.0,3.808,97688.0
51712,NORC,MRT,1998-09-30,1998-08-31,1998-08-31,2018-08-22,0.0,19765150.0,19439298.0,6869178.0,12895972.0,1.703,1.795,-4418076.0,1251951.0,1251951.0,25027756.0,1443983.0,1.136,1.232,5369247.0,1796653.0,3572594.0,5369247.0,0.0,2793374.0,0.0,0.0,0.0,3932702.0,6726076.0,0.203,6726076.0,3932702.0,3449499.0,0.28,0.24,0.28,8856005.0,8460449.0,8856005.0,17033248.0,4.0,2.532,735166.0,0.149,1.0,8077782.0,0.244,1245622.0,483203.0,16590039.0,15752625.0,0.0,50623.0,0.0,50623.0,10909145.0,6046785.0,4862360.0,13877776.0,1251951.0,-44923.0,17171.0,414160.0,0.0,431328.0,-4332622.0,145377.0,5153242.0,0.0,1443983.0,1443983.0,1443983.0,-253074.0,0.0,0.044,4473992.0,3603790.0,2317397.0,0.0,1.567,9.611,10.045,11415555.0,0.0,2.813,0.419,0.419,4833952.0,-1702414.0,33105538.0,33105538.0,0.0,0.074,0.171,0.25,0.119,0.0,1674760.0,1.0,4934320.0,4934320.0,4984793.0,6.709,18519528.0,0.0,2005516.0,1289766.0,3.753,822393.0
51713,NORC,MRT,1998-06-30,1998-05-31,1998-05-31,2018-08-22,0.0,18370945.0,,6145157.0,12225788.0,,1.736,-3305546.0,1226723.0,1226723.0,27444494.0,3463998.0,1.252,1.147,4382195.0,648351.0,3733844.0,4382195.0,0.0,2636894.0,0.0,0.0,0.0,5873682.0,8510576.0,0.23,8510576.0,5873682.0,5355194.0,0.73,0.64,0.73,8556918.0,,8556918.0,34799521.0,6.0,4.089,2167596.0,0.44,1.0,9480737.0,0.257,1269437.0,518488.0,15350243.0,,0.0,68387.0,0.0,68387.0,9814027.0,4906737.0,4907290.0,30690699.0,1053718.0,0.0,22856.0,-1129111.0,0.0,-1106258.0,-3313169.0,7377.0,5473142.0,0.0,3463998.0,3463998.0,3463998.0,-253074.0,0.0,0.094,4184018.0,5296719.0,2872912.0,0.0,3.587,8.86,8.134,10743973.0,0.0,5.938,0.831,0.793,4539487.0,-2001501.0,36925231.0,36925231.0,0.0,,,,0.159,0.0,1540460.0,1.0,5168960.0,4929536.0,4929536.0,7.491,17101508.0,0.0,1891196.0,1173446.0,3.469,1238420.0
51714,NORC,MRT,1998-03-31,1998-02-28,1998-02-28,2018-08-22,0.0,19858010.0,,8044122.0,11813888.0,,1.751,-2753309.0,261488.0,261488.0,29242840.0,3331495.0,1.252,1.302,4370310.0,816274.0,3554036.0,4370310.0,0.0,2455826.0,0.0,0.0,0.0,5888640.0,8344466.0,0.217,8344466.0,5888640.0,5320791.0,0.7,0.61,0.7,8627244.0,,8627244.0,33836090.0,6.0,4.055,650171.0,0.132,1.0,9147983.0,0.238,1293252.0,567849.0,16248896.0,,0.0,70488.0,0.0,70488.0,11230766.0,6424684.0,4806082.0,29075399.0,16203.0,0.0,17578.0,-641822.0,0.0,-624247.0,-2763033.0,5276.0,3403480.0,0.0,3331495.0,3331495.0,3331495.0,-253074.0,0.0,0.087,3927769.0,5220214.0,4055857.0,0.0,3.37,8.727,8.036,10306157.0,0.0,5.625,0.757,0.722,7458709.0,-1925897.0,38390823.0,38390823.0,0.0,,,,0.153,0.0,1464580.0,1.0,5168960.0,4927563.0,5035296.0,7.791,18564758.0,0.0,1989296.0,1252046.0,3.768,1619438.0
51715,NORC,MRQ,1998-12-31,1998-11-30,1998-11-30,2018-08-22,0.0,20002916.0,,7045786.0,12957130.0,,1.75,-804761.0,172321.0,172321.0,4849472.0,-220541.0,1.014,1.316,6560905.0,3156410.0,3404495.0,6560905.0,0.0,682816.0,0.0,0.0,0.0,-104919.0,577897.0,0.094,577897.0,-104919.0,-246032.0,-0.03,-0.03,-0.03,8635464.0,,8635464.0,16453097.0,9.0,3.49,-2279665.0,-0.462,1.0,1272548.0,0.208,1221807.0,141113.0,18221595.0,,0.0,25000.0,0.0,25000.0,11367452.0,6948098.0,4419354.0,12335801.0,-1079630.0,44923.0,0.0,1140112.0,0.0,1140112.0,-744838.0,-7377.0,-1474904.0,0.0,-220541.0,-220541.0,-220541.0,0.0,0.0,-0.036,1366080.0,-93532.0,1890752.0,0.0,1.429,14.91,14.706,11581332.0,0.0,2.5,0.429,0.429,6520788.0,-1922955.0,6122020.0,6122020.0,0.0,,,,,0.0,679993.0,1.0,4934320.0,4934538.0,4988955.0,1.241,18781109.0,0.0,-25491.0,1014859.0,3.806,97688.0
51716,NORC,MRQ,1998-09-30,1998-08-31,1998-08-31,2018-08-22,0.0,19765150.0,,6869178.0,12895972.0,,1.795,-1388728.0,1251951.0,1251951.0,4861244.0,299087.0,1.136,1.232,5369247.0,1796653.0,3572594.0,5369247.0,0.0,717930.0,0.0,0.0,0.0,534821.0,1252751.0,0.192,1252751.0,534821.0,413407.0,0.05,0.05,0.05,8856005.0,,8856005.0,17033248.0,4.0,2.532,-968447.0,-0.196,1.0,1658649.0,0.254,1245622.0,121414.0,16590039.0,,0.0,50623.0,0.0,50623.0,10909145.0,6046785.0,4862360.0,13877776.0,25228.0,-44923.0,0.0,1038598.0,0.0,1038598.0,-1433651.0,0.0,420281.0,0.0,299087.0,299087.0,299087.0,0.0,0.0,0.046,1137360.0,521289.0,2317397.0,0.0,1.567,9.611,10.045,11415555.0,0.0,2.813,0.419,0.419,4833952.0,-1702414.0,6519893.0,6519893.0,0.0,,,,,0.0,418673.0,1.0,4934320.0,4934320.0,4984793.0,1.321,18519528.0,0.0,114320.0,1289766.0,3.753,822393.0
51717,NORC,MRQ,1998-06-30,1998-05-31,1998-05-31,2018-08-22,0.0,18370945.0,,6145157.0,12225788.0,,1.736,-1175848.0,1226723.0,1226723.0,5613583.0,-75604.0,1.252,1.147,4382195.0,648351.0,3733844.0,4382195.0,0.0,761849.0,0.0,0.0,0.0,-75476.0,686373.0,0.104,686373.0,-75476.0,-173704.0,-0.02,-0.02,-0.02,8556918.0,,8556918.0,34799521.0,6.0,4.089,945972.0,0.192,1.0,974124.0,0.148,1269437.0,98228.0,15350243.0,,0.0,68387.0,0.0,68387.0,9814027.0,4906737.0,4907290.0,30690699.0,965235.0,0.0,5278.0,11884.0,0.0,17162.0,-1173747.0,2101.0,2121820.0,0.0,-75604.0,-75604.0,-75604.0,0.0,0.0,-0.011,1058102.0,-83978.0,2872912.0,0.0,3.587,8.86,8.134,10743973.0,0.0,5.938,0.831,0.793,4539487.0,-2001501.0,6587707.0,6587707.0,0.0,,,,,0.0,295019.0,1.0,5168960.0,4929536.0,4929536.0,1.336,17101508.0,0.0,-98100.0,1173446.0,3.469,1238420.0
51718,NORC,MRQ,1998-03-31,1998-02-28,1998-02-28,2018-08-22,0.0,19858010.0,,8044122.0,11813888.0,,1.751,-417514.0,261488.0,261488.0,7066484.0,824397.0,1.252,1.302,4370310.0,816274.0,3554036.0,4370310.0,0.0,750029.0,0.0,0.0,0.0,1447629.0,2197658.0,0.231,2197658.0,1447629.0,1324297.0,0.17,0.16,0.17,8627244.0,,8627244.0,33836090.0,6.0,4.055,696920.0,0.141,1.0,2443525.0,0.257,1293252.0,123332.0,16248896.0,,0.0,70488.0,0.0,70488.0,11230766.0,6424684.0,4806082.0,29075399.0,-15609.0,0.0,1218.0,-719023.0,0.0,-717808.0,-412238.0,5276.0,1114434.0,0.0,824397.0,824397.0,824397.0,0.0,0.0,0.087,1207752.0,1235773.0,4055857.0,0.0,3.37,8.727,8.036,10306157.0,0.0,5.625,0.757,0.722,7458709.0,-1925897.0,9510009.0,9510009.0,0.0,,,,,0.0,454880.0,1.0,5168960.0,4927563.0,5035296.0,1.93,18564758.0,0.0,499900.0,1252046.0,3.768,1619438.0
51719,NORC,ARY,1998-12-31,1999-02-26,1998-11-30,2018-08-22,0.0,20002916.0,19499255.0,7045786.0,12957130.0,1.474,1.751,-3786851.0,172321.0,172321.0,22390783.0,827339.0,1.014,1.316,6560905.0,3156410.0,3404495.0,6560905.0,0.0,2912624.0,0.0,0.0,0.0,1802055.0,4714679.0,0.164,4714679.0,1802055.0,1317968.0,0.17,0.17,0.17,8635464.0,8668908.0,8635464.0,10089325.0,6.0,2.14,-1605220.0,-0.326,1.0,6348846.0,0.221,1221807.0,484087.0,18221595.0,16602693.0,0.0,25000.0,0.0,25000.0,11367452.0,6948098.0,4419354.0,3700741.0,-104776.0,0.0,6496.0,1471571.0,0.0,1478067.0,-3764474.0,0.0,2181631.0,0.0,827339.0,827339.0,827339.0,0.0,0.0,0.029,4769294.0,1579552.0,1890752.0,0.0,0.429,4.473,4.412,11581332.0,0.0,0.75,0.129,0.129,6520788.0,-1922955.0,28739629.0,28739629.0,0.0,0.042,0.095,0.109,0.063,0.0,1848565.0,1.0,4934321.0,4931373.0,5011361.0,5.828,18781109.0,0.0,490629.0,1014859.0,3.808,97688.0
