None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
50088,NVAL,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-02,2685000.0,272722000.0,328578500.0,91451000.0,181271000.0,0.311,-21.437,92473000.0,16444000.0,16444000.0,0.0,-15589000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,6495000.0,0.0,,0.0,-1644000.0,4851000.0,0.048,4851000.0,-1644000.0,-15583000.0,-10.08,-10.08,-10.08,-205312000.0,-178338750.0,-205312000.0,,,,78516000.0,8.198,1.0,102087000.0,1.0,0.0,13939000.0,247966000.0,352280500.0,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,4838000.0,-442000.0,0.0,-84927000.0,0.0,-85418000.0,104213000.0,15764000.0,-13957000.0,0.0,-15589000.0,-96553000.0,-96553000.0,-7740000.0,0.0,-0.946,110375000.0,-8288000.0,32047000.0,0.0,,,,93319000.0,80964000.0,,,,22561000.0,-758016000.0,102087000.0,102087000.0,0.0,-0.294,0.541,-0.005,-0.016,3151000.0,110375000.0,1.0,9577624.0,9577624.0,9577624.0,10.659,272722000.0,0.0,6000.0,18702000.0,28.475,7870000.0
50089,NVAL,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-02,2685000.0,272722000.0,328578500.0,91451000.0,181271000.0,0.311,-21.437,92473000.0,16444000.0,16444000.0,0.0,-15589000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,6495000.0,0.0,,0.0,-1644000.0,4851000.0,0.048,4851000.0,-1644000.0,-15583000.0,-10.08,-10.08,-10.08,-205312000.0,-178338750.0,-205312000.0,,,,78516000.0,8.198,1.0,102087000.0,1.0,0.0,13939000.0,247966000.0,352280500.0,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,4838000.0,-442000.0,0.0,-84927000.0,0.0,-85418000.0,104213000.0,15764000.0,-13957000.0,0.0,-15589000.0,-96553000.0,-96553000.0,-7740000.0,0.0,-0.946,110375000.0,-8288000.0,32047000.0,0.0,,,,93319000.0,80964000.0,,,,22561000.0,-758016000.0,102087000.0,102087000.0,0.0,-0.294,0.541,-0.005,-0.016,3151000.0,110375000.0,1.0,9577624.0,9577624.0,9577624.0,10.659,272722000.0,0.0,6000.0,18702000.0,28.475,7870000.0
50090,NVAL,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-02,-7171000.0,250881000.0,370745750.0,73864000.0,177017000.0,0.314,-20.122,105293000.0,25463000.0,25463000.0,0.0,-6347000.0,1.099,-2.302,59761000.0,4678000.0,55083000.0,59761000.0,0.0,8251000.0,0.0,,0.0,9772000.0,18023000.0,0.155,18023000.0,9772000.0,-6249000.0,-8.76,-8.76,-8.76,-192722000.0,-159610500.0,-192722000.0,,,,112320000.0,11.727,1.0,116468000.0,1.0,0.0,16021000.0,217941000.0,420252250.0,0.0,115525000.0,42123000.0,73402000.0,443603000.0,67238000.0,376365000.0,,8756000.0,-487000.0,0.0,-100612000.0,0.0,-101175000.0,102904000.0,19277000.0,7027000.0,0.0,-6347000.0,-83858000.0,-83858000.0,-11427000.0,0.0,-0.72,119581000.0,-3113000.0,31466000.0,0.0,,,,91324000.0,77511000.0,,,,1854000.0,-750145000.0,116468000.0,116468000.0,0.0,-0.226,0.525,0.023,0.084,2936000.0,119581000.0,1.0,9577624.0,9577624.0,9577624.0,12.16,250881000.0,0.0,98000.0,18715000.0,26.194,6626000.0
50091,NVAL,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-02,-100000.0,387472000.0,,90522000.0,296950000.0,,-17.729,-4495000.0,5606000.0,5606000.0,0.0,-11042000.0,0.888,-3.282,189425000.0,35868000.0,153557000.0,189425000.0,0.0,9353000.0,0.0,,0.0,5765000.0,15118000.0,0.122,15118000.0,5765000.0,-10930000.0,-8.92,-8.92,-8.92,-169804000.0,,-169804000.0,,,,-9443000.0,-0.986,1.0,123732000.0,1.0,0.0,16695000.0,469356000.0,,0.0,159964000.0,76557000.0,83407000.0,557276000.0,101935000.0,455341000.0,,-15913000.0,-487000.0,0.0,10020000.0,0.0,10020000.0,-20985000.0,13539000.0,-4948000.0,0.0,-11042000.0,-85377000.0,-85377000.0,-4567000.0,0.0,-0.69,124025000.0,-293000.0,34929000.0,0.0,,,,197191000.0,74335000.0,,,,1609000.0,-748266000.0,123732000.0,123732000.0,0.0,,,,0.047,2769000.0,124025000.0,1.0,9577624.0,9577624.0,9577624.0,12.919,387472000.0,0.0,112000.0,18736000.0,40.456,-11413000.0
50092,NVAL,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-02,4779000.0,403239000.0,,114991000.0,288248000.0,,-15.193,-5734000.0,9899000.0,9899000.0,0.0,-10075000.0,1.011,-3.771,194229000.0,40202000.0,154027000.0,194229000.0,0.0,9749000.0,0.0,,0.0,7353000.0,17102000.0,0.136,17102000.0,7353000.0,-9933000.0,-8.5,-8.5,-8.5,-145517000.0,,-145517000.0,,,,-7183000.0,-0.75,1.0,125555000.0,1.0,0.0,17286000.0,473859000.0,,0.0,183620000.0,97988000.0,85632000.0,548756000.0,113710000.0,435046000.0,,-44583000.0,-487000.0,0.0,-32546000.0,0.0,-27129000.0,-16005000.0,-8332000.0,-1449000.0,0.0,-10075000.0,-81402000.0,-81402000.0,-3687000.0,0.0,-0.648,123359000.0,2196000.0,42310000.0,0.0,,,,182579000.0,71327000.0,,,,1402000.0,-742270000.0,125555000.0,125555000.0,0.0,,,,0.059,2915000.0,123359000.0,1.0,9577624.0,9577624.0,9577624.0,13.109,403239000.0,0.0,142000.0,18746000.0,42.102,1281000.0
50093,NVAL,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-02,2685000.0,272722000.0,,91451000.0,181271000.0,,-21.437,-18357000.0,16444000.0,16444000.0,0.0,-7871000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,1023000.0,0.0,,0.0,-5124000.0,-4101000.0,-0.174,-4101000.0,-5124000.0,-7896000.0,-3.08,-3.08,-3.08,-205312000.0,,-205312000.0,,,,-29446000.0,-3.074,1.0,23535000.0,1.0,0.0,2772000.0,247966000.0,,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,-9019000.0,45000.0,0.0,11687000.0,0.0,11759000.0,-9689000.0,-9475000.0,-11089000.0,0.0,-7871000.0,-29502000.0,-29502000.0,0.0,0.0,-1.254,25909000.0,-2374000.0,32047000.0,0.0,,,,93319000.0,21631000.0,,,,22561000.0,-758016000.0,23535000.0,23535000.0,0.0,,,,,936000.0,25909000.0,1.0,9577624.0,9577624.0,9577624.0,2.457,272722000.0,0.0,-25000.0,18702000.0,28.475,7870000.0
50094,NVAL,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-02,-7171000.0,250881000.0,,73864000.0,177017000.0,,-20.122,110930000.0,25463000.0,25463000.0,0.0,-1879000.0,1.099,-2.302,59761000.0,4678000.0,55083000.0,59761000.0,0.0,1588000.0,0.0,,0.0,1686000.0,3274000.0,0.168,3274000.0,1686000.0,-1869000.0,-2.36,-2.36,-2.36,-192722000.0,,-192722000.0,,,,113529000.0,11.854,1.0,19440000.0,1.0,0.0,3555000.0,217941000.0,,0.0,115525000.0,42123000.0,73402000.0,443603000.0,67238000.0,376365000.0,,19857000.0,0.0,0.0,-104766000.0,0.0,-105329000.0,122587000.0,11102000.0,2599000.0,0.0,-1879000.0,-22622000.0,-22622000.0,-6860000.0,0.0,-1.164,25109000.0,-5669000.0,31466000.0,0.0,,,,91324000.0,20743000.0,,,,1854000.0,-750145000.0,19440000.0,19440000.0,0.0,,,,,779000.0,25109000.0,1.0,9577624.0,9577624.0,9577624.0,2.03,250881000.0,0.0,10000.0,18715000.0,26.194,6626000.0
50095,NVAL,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-02,-100000.0,387472000.0,,90522000.0,296950000.0,,-17.729,97000.0,5606000.0,5606000.0,0.0,-5996000.0,0.888,-3.282,189425000.0,35868000.0,153557000.0,189425000.0,0.0,1540000.0,0.0,,0.0,-2529000.0,-989000.0,-0.039,-989000.0,-2529000.0,-5981000.0,-2.69,-2.69,-2.69,-169804000.0,,-169804000.0,,,,-2648000.0,-0.276,1.0,25272000.0,1.0,0.0,3452000.0,469356000.0,,0.0,159964000.0,76557000.0,83407000.0,557276000.0,101935000.0,455341000.0,,-4293000.0,0.0,0.0,11285000.0,0.0,11285000.0,-12833000.0,6971000.0,-2745000.0,0.0,-5996000.0,-25754000.0,-25754000.0,-880000.0,0.0,-1.019,29257000.0,-3985000.0,34929000.0,0.0,,,,197191000.0,19758000.0,,,,1609000.0,-748266000.0,25272000.0,25272000.0,0.0,,,,,608000.0,29257000.0,1.0,9577624.0,9577624.0,9577624.0,2.639,387472000.0,0.0,15000.0,18736000.0,40.456,-11413000.0
50096,NVAL,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-02,4779000.0,403239000.0,,114991000.0,288248000.0,,-15.193,-197000.0,9899000.0,9899000.0,0.0,157000.0,1.011,-3.771,194229000.0,40202000.0,154027000.0,194229000.0,0.0,2344000.0,0.0,,0.0,4323000.0,6667000.0,0.197,6667000.0,4323000.0,163000.0,-1.95,-1.95,-1.95,-145517000.0,,-145517000.0,,,,-2919000.0,-0.305,1.0,33840000.0,1.0,0.0,4160000.0,473859000.0,,0.0,183620000.0,97988000.0,85632000.0,548756000.0,113710000.0,435046000.0,,-1707000.0,-487000.0,0.0,-3133000.0,0.0,-3133000.0,4148000.0,7166000.0,-2722000.0,0.0,157000.0,-18675000.0,-18675000.0,0.0,0.0,-0.552,30100000.0,3740000.0,42310000.0,0.0,,,,182579000.0,18832000.0,,,,1402000.0,-742270000.0,33840000.0,33840000.0,0.0,,,,,828000.0,30100000.0,1.0,9577624.0,9577624.0,9577624.0,3.533,403239000.0,0.0,6000.0,18746000.0,42.102,1281000.0
50097,NVAL,ARY,1998-12-31,1999-04-07,1998-12-31,2019-07-02,2685000.0,272722000.0,328578500.0,91451000.0,181271000.0,0.311,-21.437,92473000.0,16444000.0,16444000.0,0.0,-15589000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,6495000.0,0.0,,0.0,-1644000.0,4851000.0,0.048,4851000.0,-1644000.0,-15583000.0,-10.08,-10.08,-10.08,-205312000.0,-178338750.0,-205312000.0,,,,78516000.0,8.198,1.0,102087000.0,1.0,0.0,13939000.0,247966000.0,352280500.0,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,4838000.0,-442000.0,0.0,-84927000.0,0.0,-85418000.0,104213000.0,15764000.0,-13957000.0,0.0,-15589000.0,-96553000.0,-96553000.0,-7740000.0,0.0,-0.946,110375000.0,-8288000.0,32047000.0,0.0,,,,93319000.0,80964000.0,,,,22561000.0,-758016000.0,102087000.0,102087000.0,0.0,-0.294,0.541,-0.005,-0.016,3151000.0,110375000.0,1.0,9577624.0,9577624.0,9577624.0,10.659,272722000.0,0.0,6000.0,18702000.0,28.475,7870000.0
50098,NVAL,ART,1998-12-31,1999-04-07,1998-12-31,2019-07-02,2685000.0,272722000.0,328578500.0,91451000.0,181271000.0,0.311,-21.437,92473000.0,16444000.0,16444000.0,0.0,-15589000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,6495000.0,0.0,,0.0,-1644000.0,4851000.0,0.048,4851000.0,-1644000.0,-15583000.0,-10.08,-10.08,-10.08,-205312000.0,-178338750.0,-205312000.0,,,,78516000.0,8.198,1.0,102087000.0,1.0,0.0,13939000.0,247966000.0,352280500.0,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,4838000.0,-442000.0,0.0,-84927000.0,0.0,-85418000.0,104213000.0,15764000.0,-13957000.0,0.0,-15589000.0,-96553000.0,-96553000.0,-7740000.0,0.0,-0.946,110375000.0,-8288000.0,32047000.0,0.0,,,,93319000.0,80964000.0,,,,22561000.0,-758016000.0,102087000.0,102087000.0,0.0,-0.294,0.541,-0.005,-0.016,3151000.0,110375000.0,1.0,9577624.0,9577624.0,9577624.0,10.659,272722000.0,0.0,6000.0,18702000.0,28.475,7870000.0
50099,NVAL,ART,1998-09-30,1998-11-16,1998-09-30,2019-07-02,-7171000.0,250881000.0,370745750.0,73864000.0,177017000.0,,-20.122,,25463000.0,25463000.0,,,1.099,-2.302,59761000.0,4678000.0,55083000.0,59761000.0,0.0,,0.0,,0.0,,,,,,,,,,-192722000.0,-159610500.0,-192722000.0,,,,,,1.0,,,0.0,,217941000.0,419002250.0,0.0,115525000.0,42123000.0,73402000.0,443603000.0,67238000.0,376365000.0,,,,,,,,,,,,,,,,,,,,31466000.0,,,,,91324000.0,,,,,1854000.0,-750145000.0,,,,,,,,,,1.0,9577624.0,9577624.0,,,250881000.0,0.0,,18715000.0,26.194,6626000.0
50100,NVAL,ART,1998-06-30,1998-08-14,1998-06-30,2019-07-02,-100000.0,387472000.0,,90522000.0,296950000.0,,-17.729,,5606000.0,5606000.0,,,0.888,-3.282,189425000.0,35868000.0,153557000.0,189425000.0,0.0,,0.0,,0.0,,,,,,,,,,-169804000.0,,-169804000.0,,,,,,1.0,,,0.0,,469356000.0,,0.0,159964000.0,76557000.0,83407000.0,557276000.0,101935000.0,455341000.0,,,,,,,,,,,,,,,,,,,,34929000.0,,,,,197191000.0,,,,,1609000.0,-748266000.0,,,,,,,,,,1.0,9577624.0,9578000.0,,,387472000.0,0.0,,18736000.0,40.454,-11413000.0
50101,NVAL,ART,1998-03-31,1998-05-20,1998-03-31,2019-07-02,4779000.0,403239000.0,,114991000.0,288248000.0,,-15.193,,9899000.0,9899000.0,,,1.011,-3.771,194229000.0,40202000.0,154027000.0,194229000.0,0.0,,0.0,,0.0,,,,,,,,,,-145517000.0,,-145517000.0,,,,,,1.0,,,0.0,,473859000.0,,0.0,183620000.0,97988000.0,85632000.0,548756000.0,113710000.0,435046000.0,,,,,,,,,,,,,,,,,,,,42310000.0,,,,,182579000.0,,,,,1402000.0,-742270000.0,,,,,,,,,,1.0,9577624.0,9578000.0,,,403239000.0,0.0,,18746000.0,42.101,1281000.0
50102,NVAL,ARQ,1998-12-31,1999-04-07,1998-12-31,2019-07-02,2685000.0,272722000.0,,91451000.0,181271000.0,,-21.437,-18819000.0,16444000.0,16444000.0,0.0,-7871000.0,1.094,-2.328,75269000.0,20468000.0,54801000.0,75269000.0,0.0,1023000.0,0.0,,0.0,-5124000.0,-4101000.0,-0.174,-4101000.0,-5124000.0,-7896000.0,-3.08,-3.08,-3.08,-205312000.0,,-205312000.0,,,,-29908000.0,-3.123,1.0,23535000.0,1.0,0.0,2772000.0,247966000.0,,0.0,120970000.0,46551000.0,74419000.0,478034000.0,83581000.0,394453000.0,,-9019000.0,45000.0,0.0,12250000.0,0.0,11759000.0,-9689000.0,-9475000.0,-11089000.0,0.0,-7871000.0,-29502000.0,-29502000.0,0.0,0.0,-1.254,25909000.0,-2374000.0,32047000.0,0.0,,,,93319000.0,21631000.0,,,,22561000.0,-758016000.0,23535000.0,23535000.0,0.0,,,,,936000.0,25909000.0,1.0,9577624.0,9577624.0,9577624.0,2.457,272722000.0,0.0,-25000.0,18702000.0,28.475,7870000.0
