None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
50056,NVDA,MRY,1998-12-31,1999-01-31,1999-01-31,2021-08-20,0.0,113332000.0,,101112000.0,12220000.0,,0.092,-7899000.0,50257000.0,50257000.0,109746000.0,4130000.0,2.145,0.765,8381000.0,6386000.0,1995000.0,8381000.0,0.0,4006000.0,0.0,0.0,0.0,4779000.0,8785000.0,0.056,8785000.0,4779000.0,4487000.0,0.006,0.003,0.006,64209000.0,,64209000.0,539737544.0,113.0,61.439,-9766000.0,-0.014,1.0,48491000.0,0.306,0.0,292000.0,24328000.0,,28623000.0,0.0,0.0,0.0,49123000.0,47128000.0,1995000.0,543323544.0,42273000.0,0.0,37539000.0,3152000.0,0.0,52039000.0,-7899000.0,0.0,-1867000.0,0.0,4130000.0,4130000.0,4130000.0,0.0,0.0,0.026,43975000.0,4516000.0,35730000.0,0.0,8.462,131.555,65.972,11650000.0,0.0,0.396,3.434,1.749,20633000.0,-9412000.0,158237000.0,158237000.0,25073000.0,,,,0.03,2582000.0,18902000.0,1.0,1372606848.0,699120000.0,1314864000.0,0.226,113332000.0,0.0,357000.0,0.0,0.162,53984000.0
50057,NVDA,MRT,1998-12-31,1999-01-31,1999-01-31,2021-08-20,0.0,113332000.0,,101112000.0,12220000.0,,0.092,-7899000.0,50257000.0,50257000.0,109746000.0,4130000.0,2.145,0.765,8381000.0,6386000.0,1995000.0,8381000.0,0.0,4006000.0,0.0,0.0,0.0,4779000.0,8785000.0,0.056,8785000.0,4779000.0,4487000.0,0.006,0.003,0.006,64209000.0,,64209000.0,539737544.0,113.0,61.439,-9766000.0,-0.014,1.0,48491000.0,0.306,0.0,292000.0,24328000.0,,28623000.0,0.0,0.0,0.0,49123000.0,47128000.0,1995000.0,543323544.0,42273000.0,0.0,37539000.0,3152000.0,0.0,52039000.0,-7899000.0,0.0,-1867000.0,0.0,4130000.0,4130000.0,4130000.0,0.0,0.0,0.026,43975000.0,4516000.0,35730000.0,0.0,8.462,131.555,65.972,11650000.0,0.0,0.396,3.434,1.749,20633000.0,-9412000.0,158237000.0,158237000.0,25073000.0,,,,0.03,2582000.0,18902000.0,1.0,1372606848.0,699120000.0,1314864000.0,0.226,113332000.0,0.0,357000.0,0.0,0.162,53984000.0
50058,NVDA,MRT,1998-09-30,1998-10-25,1998-10-25,2021-08-20,0.0,76502000.0,,66735000.0,9767000.0,,0.027,-5316000.0,12461000.0,12461000.0,83738000.0,-2108000.0,1.188,3.182,8875000.0,6843000.0,2032000.0,8875000.0,0.0,3561000.0,0.0,,0.0,-2388000.0,1173000.0,0.01,1173000.0,-2388000.0,-2416000.0,-0.002,-0.007,-0.002,18294000.0,,18294000.0,,,,-8265000.0,-0.012,1.0,32496000.0,0.28,0.0,28000.0,16740000.0,,17193000.0,0.0,0.0,0.0,58208000.0,56176000.0,2032000.0,,5558000.0,0.0,-719000.0,2712000.0,0.0,13823000.0,-5316000.0,0.0,-2949000.0,0.0,-2108000.0,-2108000.0,-2108000.0,0.0,0.0,-0.018,34944000.0,-2448000.0,46370000.0,0.0,,,,9218000.0,0.0,,,,35918000.0,-17074000.0,116234000.0,116234000.0,20241000.0,,,,-0.021,2993000.0,14703000.0,1.0,1372606848.0,679920000.0,1333152000.0,0.171,76502000.0,0.0,-308000.0,0.0,0.113,10559000.0
50059,NVDA,MRT,1998-06-30,1998-07-26,1998-07-26,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,679104000.0,,,,,,,,
50060,NVDA,MRT,1998-03-31,1998-04-02,1998-04-02,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,678768000.0,,,,,,,,
50061,NVDA,MRQ,1998-12-31,1999-01-31,1999-01-31,2021-08-20,0.0,113332000.0,,101112000.0,12220000.0,,0.085,-3594000.0,50257000.0,50257000.0,42346000.0,7662000.0,2.145,0.765,8381000.0,6386000.0,1995000.0,8381000.0,0.0,1210000.0,0.0,0.0,0.0,8619000.0,9829000.0,0.15,9829000.0,8619000.0,8327000.0,0.011,0.009,0.011,64209000.0,,64209000.0,539737544.0,113.0,61.439,476000.0,0.001,1.0,23191000.0,0.354,0.0,292000.0,24328000.0,,28623000.0,0.0,0.0,0.0,49123000.0,47128000.0,1995000.0,543323544.0,37796000.0,0.0,37514000.0,-542000.0,0.0,37320000.0,-3594000.0,0.0,4070000.0,0.0,7662000.0,7662000.0,7662000.0,0.0,0.0,0.117,14775000.0,8416000.0,35730000.0,0.0,8.462,131.555,65.972,11650000.0,0.0,0.396,3.434,1.749,20633000.0,-9412000.0,65537000.0,65537000.0,8417000.0,,,,,391000.0,6358000.0,1.0,1372606848.0,758592000.0,1314864000.0,0.086,113332000.0,0.0,665000.0,0.0,0.149,53984000.0
50062,NVDA,MRQ,1998-09-30,1998-10-25,1998-10-25,2021-08-20,0.0,76502000.0,,66735000.0,9767000.0,,0.027,-1062000.0,12461000.0,12461000.0,33566000.0,7141000.0,1.188,3.182,8875000.0,6843000.0,2032000.0,8875000.0,0.0,1059000.0,0.0,,0.0,7761000.0,8820000.0,0.169,8820000.0,7761000.0,7761000.0,0.01,0.005,0.01,18294000.0,,18294000.0,,,,-7367000.0,-0.011,1.0,18737000.0,0.358,0.0,0.0,16740000.0,,17193000.0,0.0,0.0,0.0,58208000.0,56176000.0,2032000.0,,2053000.0,0.0,-1000.0,4421000.0,0.0,20018000.0,-1062000.0,0.0,-6305000.0,0.0,7141000.0,7141000.0,7141000.0,0.0,0.0,0.137,10987000.0,7750000.0,46370000.0,0.0,,,,9218000.0,0.0,,,,35918000.0,-17074000.0,52303000.0,52303000.0,6290000.0,,,,,526000.0,4697000.0,1.0,1372606848.0,679920000.0,1333152000.0,0.077,76502000.0,0.0,620000.0,0.0,0.113,10559000.0
50063,NVDA,MRQ,1998-06-30,1998-07-26,1998-07-26,2021-08-20,,,,,,,,-1117000.0,,,12961000.0,-9652000.0,,,,,,,,994000.0,,,0.0,-10491000.0,-9497000.0,-0.783,-9497000.0,-10491000.0,-10491000.0,-0.014,-0.014,-0.014,,,,,,,-2159000.0,-0.003,1.0,-827000.0,-0.068,,0.0,,,,,,,,,,,3410000.0,0.0,26000.0,-457000.0,0.0,-5029000.0,-1117000.0,0.0,-1042000.0,0.0,-9652000.0,-9652000.0,-9652000.0,0.0,0.0,-0.795,9686000.0,-10513000.0,,0.0,,,,,0.0,,,,,,12134000.0,12134000.0,5724000.0,,,,,722000.0,3962000.0,1.0,,679104000.0,679104000.0,0.018,,,-839000.0,,,
50064,NVDA,MRQ,1998-03-31,1998-04-02,1998-04-02,2021-08-20,,,,,,,,-2126000.0,,,20873000.0,-1021000.0,,,,,,,,743000.0,,,0.0,-1110000.0,-367000.0,-0.013,-367000.0,-1110000.0,-1110000.0,-0.001,-0.001,-0.001,,,,,,,-716000.0,-0.001,1.0,7390000.0,0.261,,0.0,,,,,,,,,,,-986000.0,0.0,0.0,-270000.0,0.0,-270000.0,-2126000.0,0.0,1410000.0,0.0,-1021000.0,-1021000.0,-1021000.0,0.0,0.0,-0.036,8527000.0,-1137000.0,,0.0,,,,,0.0,,,,,,28263000.0,28263000.0,4642000.0,,,,,943000.0,3885000.0,1.0,,678768000.0,678768000.0,0.042,,,-89000.0,,,
50065,NVDA,ARY,1998-12-31,1999-04-29,1999-01-31,2021-08-20,0.0,113332000.0,,101112000.0,12220000.0,,0.092,-7899000.0,50257000.0,50257000.0,109746000.0,4130000.0,2.145,0.765,8381000.0,6386000.0,1995000.0,8381000.0,0.0,4006000.0,0.0,0.0,0.0,4516000.0,8522000.0,0.054,8522000.0,4516000.0,4487000.0,0.006,0.003,0.006,64209000.0,,64209000.0,485685712.0,108.0,56.992,-9811000.0,-0.014,1.0,48491000.0,0.306,0.0,29000.0,24328000.0,,28623000.0,0.0,0.0,0.0,49123000.0,47128000.0,1995000.0,527561712.0,42273000.0,0.0,37887000.0,3152000.0,0.0,52084000.0,-7899000.0,0.0,-1912000.0,0.0,4130000.0,4130000.0,4130000.0,0.0,0.0,0.026,43975000.0,4516000.0,35730000.0,0.0,8.216,127.739,62.5,11650000.0,0.0,0.375,3.334,1.657,20633000.0,-9412000.0,158237000.0,158237000.0,25073000.0,,,,0.029,2537000.0,18902000.0,1.0,1406831232.0,699120000.0,1314864000.0,0.226,113332000.0,0.0,357000.0,0.0,0.162,53984000.0
