None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
49605,NWST,MRY,1998-12-31,1998-12-31,1998-12-31,2019-10-11,0.0,19077000.0,22836500.0,6822000.0,12255000.0,0.692,0.728,4080000.0,453000.0,453000.0,12383000.0,-4936000.0,0.558,2.059,7470000.0,7450000.0,20000.0,7470000.0,260000.0,974000.0,0.0,0.0,0.0,-4134000.0,-3160000.0,-0.2,-3160000.0,-4134000.0,-4932000.0,-0.61,-0.61,-0.61,6236000.0,4093250.0,6236000.0,14985520.0,-4.0,-4.742,-6579000.0,-0.768,1.0,3417000.0,0.216,5748000.0,798000.0,8125000.0,14079500.0,2760000.0,0.0,0.0,0.0,12841000.0,12221000.0,620000.0,8857520.0,151000.0,0.0,6340000.0,390000.0,0.0,6730000.0,4080000.0,0.0,-10659000.0,0.0,-4936000.0,-5246000.0,-5246000.0,0.0,0.0,-0.332,7551000.0,-4134000.0,4511000.0,0.0,1.42,-1.688,-1.281,952000.0,310000.0,0.781,0.561,0.423,2556000.0,-30528000.0,15800000.0,15800000.0,0.0,-0.23,-1.282,-0.294,-0.262,0.0,9285000.0,1.0,11337625.0,8563000.0,8563000.0,1.845,13329000.0,0.0,4000.0,0.0,1.557,-5399000.0
49606,NWST,MRT,1998-12-31,1998-12-31,1998-12-31,2019-10-11,0.0,19077000.0,22836500.0,6822000.0,12255000.0,0.692,0.728,4080000.0,453000.0,453000.0,12383000.0,-4936000.0,0.558,2.059,7470000.0,7450000.0,20000.0,7470000.0,260000.0,974000.0,0.0,0.0,0.0,-4134000.0,-3160000.0,-0.2,-3160000.0,-4134000.0,-4932000.0,-0.61,-0.61,-0.61,6236000.0,4093250.0,6236000.0,14985520.0,-4.0,-4.742,-6579000.0,-0.768,1.0,3417000.0,0.216,5748000.0,798000.0,8125000.0,14079500.0,2760000.0,0.0,0.0,0.0,12841000.0,12221000.0,620000.0,8857520.0,151000.0,0.0,6340000.0,390000.0,0.0,6730000.0,4080000.0,0.0,-10659000.0,0.0,-4936000.0,-5246000.0,-5246000.0,0.0,0.0,-0.332,7551000.0,-4134000.0,4511000.0,0.0,1.42,-1.688,-1.281,952000.0,310000.0,0.781,0.561,0.423,2556000.0,-30528000.0,15800000.0,15800000.0,0.0,-0.23,-1.282,-0.294,-0.262,0.0,9285000.0,1.0,11337625.0,8563000.0,8563000.0,1.845,13329000.0,0.0,4000.0,0.0,1.557,-5399000.0
49607,NWST,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-11,0.0,20960000.0,22835000.0,7591000.0,13369000.0,0.791,0.934,4085000.0,210000.0,210000.0,17751000.0,-8554000.0,1.273,1.612,6338000.0,16000.0,6322000.0,6338000.0,195000.0,641000.0,0.0,0.0,0.0,-8206000.0,-7565000.0,-0.419,-7565000.0,-8206000.0,-8899000.0,-1.46,-1.47,-1.46,8026000.0,3237250.0,8026000.0,19604157.0,-2.0,-2.591,-8830000.0,-1.027,1.0,312000.0,0.017,5931000.0,693000.0,15194000.0,14897750.0,2291000.0,0.0,0.0,0.0,12934000.0,5963000.0,6971000.0,7135157.0,180000.0,0.0,5500000.0,3276000.0,0.0,9010000.0,4085000.0,0.0,-12915000.0,0.0,-9109000.0,-9109000.0,-9109000.0,0.0,555000.0,-0.504,13047000.0,-12735000.0,5645000.0,0.0,0.889,-0.783,-0.728,1098000.0,0.0,1.063,0.395,0.506,4202000.0,-27358000.0,18063000.0,18063000.0,0.0,-0.399,-2.814,-0.551,-0.454,125000.0,9699000.0,1.0,6715442.0,8596000.0,11814000.0,2.101,15029000.0,0.0,210000.0,0.0,1.748,1628000.0
49608,NWST,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-11,0.0,25190000.0,,10780000.0,14410000.0,,0.129,-230000.0,364000.0,364000.0,20645000.0,-10519000.0,0.802,27.987,12833000.0,2659000.0,10174000.0,12833000.0,2246000.0,755000.0,0.0,0.0,0.0,-11418000.0,-10663000.0,-0.519,-10663000.0,-11418000.0,-11885000.0,-1.93,-1.93,-1.93,869000.0,,869000.0,19465012.0,-2.0,-1.825,-9920000.0,-1.468,1.0,-80000.0,-0.004,5918000.0,467000.0,18304000.0,,2752000.0,0.0,0.0,0.0,24321000.0,13437000.0,10884000.0,9249012.0,156000.0,0.0,0.0,9842000.0,0.0,10076000.0,-230000.0,0.0,-9690000.0,0.0,-12093000.0,-12093000.0,-12093000.0,0.0,1574000.0,-0.588,11378000.0,-11458000.0,7943000.0,0.0,10.643,-0.765,-0.712,3765000.0,0.0,1.375,0.45,0.452,4088000.0,-27756000.0,20565000.0,20565000.0,0.0,,,,-0.555,0.0,9764000.0,1.0,6726554.0,6759000.0,6759000.0,3.043,19272000.0,0.0,208000.0,0.0,2.851,-2657000.0
49609,NWST,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-11,0.0,26119000.0,,14174000.0,11945000.0,,0.189,-216000.0,1555000.0,1555000.0,19520000.0,-14909000.0,0.905,20.03,11771000.0,3319000.0,8452000.0,11771000.0,4860000.0,760000.0,0.0,0.0,0.0,-16817000.0,-16057000.0,-0.961,-16057000.0,-16817000.0,-17186000.0,-2.91,-2.91,-2.91,1242000.0,,1242000.0,,,,-10269000.0,-1.561,1.0,-2816000.0,-0.169,5981000.0,369000.0,14695000.0,,2867000.0,0.0,0.0,0.0,24877000.0,15659000.0,9218000.0,15143159.0,308000.0,0.0,3000.0,8705000.0,0.0,10577000.0,-216000.0,0.0,-10053000.0,0.0,-17406000.0,-17406000.0,-17406000.0,0.0,2497000.0,-1.042,13118000.0,-15934000.0,6998000.0,0.0,12.193,-0.87,-0.795,3883000.0,0.0,2.313,0.907,0.911,3023000.0,-27151000.0,16704000.0,16704000.0,0.0,,,,-1.007,0.0,9890000.0,1.0,6548393.0,6579000.0,6579000.0,2.539,20138000.0,0.0,220000.0,0.0,3.061,-1485000.0
49610,NWST,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-10-11,0.0,19077000.0,,6822000.0,12255000.0,,0.728,-86000.0,453000.0,453000.0,2335000.0,-3179000.0,0.558,2.059,7470000.0,7450000.0,20000.0,7470000.0,260000.0,380000.0,0.0,0.0,0.0,-2679000.0,-2299000.0,-1.292,-2299000.0,-2679000.0,-2857000.0,-0.32,-0.32,-0.32,6236000.0,,6236000.0,14985520.0,-4.0,-4.742,-1729000.0,-0.202,1.0,-555000.0,-0.312,5748000.0,178000.0,8125000.0,,2760000.0,0.0,0.0,0.0,12841000.0,12221000.0,620000.0,8857520.0,243000.0,0.0,840000.0,1132000.0,0.0,1972000.0,-86000.0,0.0,-1643000.0,0.0,-2859000.0,-3169000.0,-3169000.0,0.0,-320000.0,-1.78,710000.0,-1265000.0,4511000.0,0.0,1.42,-1.688,-1.281,952000.0,310000.0,0.781,0.561,0.423,2556000.0,-30528000.0,1780000.0,1780000.0,0.0,,,,,-125000.0,2444000.0,1.0,11337625.0,8563000.0,8563000.0,0.208,13329000.0,0.0,2000.0,0.0,1.557,-5399000.0
49611,NWST,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-11,0.0,20960000.0,,7591000.0,13369000.0,,0.934,4265000.0,210000.0,210000.0,2690000.0,505000.0,1.273,1.612,6338000.0,16000.0,6322000.0,6338000.0,195000.0,206000.0,0.0,0.0,0.0,718000.0,924000.0,0.249,924000.0,718000.0,400000.0,0.05,0.04,0.05,8026000.0,,8026000.0,19604157.0,-2.0,-2.591,841000.0,0.098,1.0,1017000.0,0.274,5931000.0,318000.0,15194000.0,,2291000.0,0.0,0.0,0.0,12934000.0,5963000.0,6971000.0,7135157.0,-154000.0,0.0,5500000.0,-6495000.0,0.0,-995000.0,4265000.0,0.0,-3424000.0,0.0,398000.0,398000.0,398000.0,0.0,107000.0,0.107,3662000.0,-2645000.0,5645000.0,0.0,0.889,-0.783,-0.728,1098000.0,0.0,1.063,0.395,0.506,4202000.0,-27358000.0,3707000.0,3707000.0,0.0,,,,,125000.0,1928000.0,1.0,6715442.0,8596000.0,11814000.0,0.431,15029000.0,0.0,2000.0,0.0,1.748,1628000.0
49612,NWST,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-11,0.0,25190000.0,,10780000.0,14410000.0,,0.129,-17000.0,364000.0,364000.0,5228000.0,-499000.0,0.802,27.987,12833000.0,2659000.0,10174000.0,12833000.0,2246000.0,191000.0,0.0,0.0,0.0,-448000.0,-257000.0,-0.034,-257000.0,-448000.0,-603000.0,-0.09,-0.09,-0.09,869000.0,,869000.0,19465012.0,-2.0,-1.825,-2253000.0,-0.333,1.0,2392000.0,0.314,5918000.0,155000.0,18304000.0,,2752000.0,0.0,0.0,0.0,24321000.0,13437000.0,10884000.0,9249012.0,-1191000.0,0.0,0.0,1062000.0,0.0,1062000.0,-17000.0,0.0,-2236000.0,0.0,-605000.0,-605000.0,-605000.0,0.0,106000.0,-0.079,2734000.0,-342000.0,7943000.0,0.0,10.643,-0.765,-0.712,3765000.0,0.0,1.375,0.45,0.452,4088000.0,-27756000.0,7620000.0,7620000.0,0.0,,,,,0.0,2734000.0,1.0,6726554.0,6759000.0,6759000.0,1.127,19272000.0,0.0,2000.0,0.0,2.851,-2657000.0
49613,NWST,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-11,0.0,26119000.0,,14174000.0,11945000.0,,0.189,-82000.0,1555000.0,1555000.0,2130000.0,-1763000.0,0.905,20.03,11771000.0,3319000.0,8452000.0,11771000.0,4860000.0,197000.0,0.0,0.0,0.0,-1723000.0,-1526000.0,-0.567,-1526000.0,-1723000.0,-1870000.0,-0.28,-0.28,-0.28,1242000.0,,1242000.0,,,,-3438000.0,-0.523,1.0,563000.0,0.209,5981000.0,147000.0,14695000.0,,2867000.0,0.0,0.0,0.0,24877000.0,15659000.0,9218000.0,15143159.0,1253000.0,0.0,0.0,4691000.0,0.0,4691000.0,-82000.0,0.0,-3356000.0,0.0,-1870000.0,-1870000.0,-1870000.0,0.0,107000.0,-0.694,2179000.0,-1616000.0,6998000.0,0.0,12.193,-0.87,-0.795,3883000.0,0.0,2.313,0.907,0.911,3023000.0,-27151000.0,2693000.0,2693000.0,0.0,,,,,0.0,2179000.0,1.0,6548393.0,6579000.0,6579000.0,0.409,20138000.0,0.0,0.0,0.0,3.061,-1485000.0
49614,NWST,ARY,1998-12-31,1999-04-15,1998-12-31,2019-10-11,0.0,19077000.0,22836500.0,6822000.0,12255000.0,0.692,0.728,4080000.0,453000.0,453000.0,12383000.0,-4936000.0,0.558,2.059,7470000.0,7450000.0,20000.0,7470000.0,260000.0,974000.0,0.0,0.0,0.0,-4444000.0,-3470000.0,-0.22,-3470000.0,-4444000.0,-5242000.0,-0.61,-0.61,-0.61,6236000.0,4093250.0,6236000.0,38408211.0,-9.0,-11.069,-6579000.0,-0.768,1.0,3417000.0,0.216,5748000.0,798000.0,8125000.0,14079500.0,2760000.0,0.0,0.0,0.0,12841000.0,12221000.0,620000.0,31391211.0,151000.0,0.0,6340000.0,390000.0,0.0,6730000.0,4080000.0,0.0,-10659000.0,0.0,-5246000.0,-5246000.0,-5246000.0,0.0,310000.0,-0.332,7551000.0,-4134000.0,4511000.0,0.0,5.034,-5.984,-2.971,952000.0,0.0,1.813,1.987,0.982,2556000.0,-30528000.0,15800000.0,15800000.0,0.0,-0.23,-1.282,-0.316,-0.281,0.0,9285000.0,1.0,17319289.0,8563000.0,8563000.0,1.845,13329000.0,0.0,4000.0,0.0,1.557,-5399000.0
49615,NWST,ART,1998-12-31,1999-04-15,1998-12-31,2019-10-11,0.0,19077000.0,22836500.0,6822000.0,12255000.0,0.692,0.728,4080000.0,453000.0,453000.0,12383000.0,-4936000.0,0.558,2.059,7470000.0,7450000.0,20000.0,7470000.0,260000.0,974000.0,0.0,0.0,0.0,-4444000.0,-3470000.0,-0.22,-3470000.0,-4444000.0,-5242000.0,-0.61,-0.61,-0.61,6236000.0,4093250.0,6236000.0,38408211.0,-9.0,-11.069,-6579000.0,-0.768,1.0,3417000.0,0.216,5748000.0,798000.0,8125000.0,14079500.0,2760000.0,0.0,0.0,0.0,12841000.0,12221000.0,620000.0,31391211.0,151000.0,0.0,6340000.0,390000.0,0.0,6730000.0,4080000.0,0.0,-10659000.0,0.0,-5246000.0,-5246000.0,-5246000.0,0.0,310000.0,-0.332,7551000.0,-4134000.0,4511000.0,0.0,5.034,-5.984,-2.971,952000.0,0.0,1.813,1.987,0.982,2556000.0,-30528000.0,15800000.0,15800000.0,0.0,-0.23,-1.282,-0.316,-0.281,0.0,9285000.0,1.0,17319289.0,8563000.0,8563000.0,1.845,13329000.0,0.0,4000.0,0.0,1.557,-5399000.0
