None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
48325,OJ,MRY,1998-12-31,1998-09-30,1998-09-30,2019-09-23,0.0,208362000.0,210137750.0,63356000.0,145006000.0,0.566,10.445,-10511000.0,841000.0,841000.0,111602000.0,-1413000.0,2.997,0.935,58654000.0,3753000.0,54901000.0,58654000.0,0.0,7583000.0,0.0,0.0,0.0,1236000.0,8819000.0,0.074,8819000.0,1236000.0,-2038000.0,-0.14,-0.14,-0.14,107690000.0,106744250.0,107690000.0,126212730.0,102.0,14.311,-4206000.0,-0.408,1.0,7278000.0,0.061,10647000.0,3274000.0,234388000.0,235877000.0,50482000.0,1196000.0,0.0,1196000.0,100672000.0,21140000.0,79532000.0,59926730.0,-168000.0,0.0,3000.0,4614000.0,0.0,4617000.0,-11090000.0,262000.0,6305000.0,0.0,-1413000.0,-1413000.0,-1413000.0,0.0,0.0,-0.012,5806000.0,1472000.0,5697000.0,0.0,0.556,-42.411,-41.518,126992000.0,0.0,5.813,0.504,0.504,8621000.0,31472000.0,118880000.0,118880000.0,0.0,-0.007,-0.013,0.005,0.01,0.0,5806000.0,1.0,10309975.0,10310000.0,10310000.0,11.531,197715000.0,2476000.0,-625000.0,23129000.0,19.177,42216000.0
48326,OJ,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-23,0.0,217561000.0,215083000.0,72315000.0,145246000.0,0.589,10.598,-10278000.0,479000.0,479000.0,110308000.0,3859000.0,3.142,0.991,63962000.0,3730000.0,60232000.0,63962000.0,0.0,7768000.0,0.0,0.0,0.0,9797000.0,17565000.0,0.139,17565000.0,9797000.0,6228000.0,0.36,0.36,0.36,109265000.0,107274750.0,109265000.0,126116584.0,13.0,7.18,-10543000.0,-1.023,1.0,16402000.0,0.129,10553000.0,3569000.0,247475000.0,244523250.0,57012000.0,1276000.0,0.0,1276000.0,108296000.0,23016000.0,85280000.0,68303584.0,-875000.0,0.0,0.0,10950000.0,0.0,10950000.0,-11560000.0,167000.0,-265000.0,0.0,3859000.0,3859000.0,3859000.0,0.0,0.0,0.03,6369000.0,10033000.0,8192000.0,0.0,0.625,17.7,18.403,126641000.0,0.0,6.625,0.539,0.539,10958000.0,33047000.0,126710000.0,126710000.0,0.0,0.018,0.036,0.04,0.077,0.0,6427000.0,1.0,10309975.0,10310000.0,10310000.0,12.29,207008000.0,2451000.0,2369000.0,23425000.0,20.078,49299000.0
48327,OJ,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-23,0.0,208362000.0,210137750.0,63356000.0,145006000.0,0.566,10.445,-10511000.0,841000.0,841000.0,111602000.0,-1413000.0,2.997,0.935,58654000.0,3753000.0,54901000.0,58654000.0,0.0,7583000.0,0.0,0.0,0.0,1236000.0,8819000.0,0.074,8819000.0,1236000.0,-2038000.0,-0.14,-0.14,-0.14,107690000.0,106744250.0,107690000.0,126212730.0,102.0,14.311,-4206000.0,-0.408,1.0,7278000.0,0.061,10647000.0,3274000.0,234388000.0,235877000.0,50482000.0,1196000.0,0.0,1196000.0,100672000.0,21140000.0,79532000.0,59926730.0,-168000.0,0.0,3000.0,4614000.0,0.0,4617000.0,-11090000.0,262000.0,6305000.0,0.0,-1413000.0,-1413000.0,-1413000.0,0.0,0.0,-0.012,5806000.0,1472000.0,5697000.0,0.0,0.556,-42.411,-41.518,126992000.0,0.0,5.813,0.504,0.504,8621000.0,31472000.0,118880000.0,118880000.0,0.0,-0.007,-0.013,0.005,0.01,0.0,5806000.0,1.0,10309975.0,10310000.0,10310000.0,11.531,197715000.0,2476000.0,-625000.0,23129000.0,19.177,42216000.0
48328,OJ,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-23,0.0,214533000.0,208329500.0,72266000.0,142267000.0,0.551,10.369,-6799000.0,432000.0,432000.0,107506000.0,-747000.0,3.625,1.007,66718000.0,3413000.0,63305000.0,66718000.0,0.0,7216000.0,0.0,0.0,0.0,2294000.0,9510000.0,0.083,9510000.0,2294000.0,-996000.0,-0.08,-0.08,-0.08,106900000.0,107096750.0,106900000.0,129725477.0,57.0,13.641,565000.0,0.055,1.0,7371000.0,0.064,10742000.0,3290000.0,250144000.0,232928250.0,55696000.0,1458000.0,0.0,1458000.0,107633000.0,19933000.0,87700000.0,61215477.0,-844000.0,0.0,6000.0,-1187000.0,0.0,-1181000.0,-7027000.0,408000.0,7364000.0,0.0,-747000.0,-747000.0,-747000.0,0.0,0.0,-0.007,5529000.0,1842000.0,5455000.0,0.0,0.573,-81.948,-74.219,123946000.0,0.0,5.938,0.533,0.533,13052000.0,30682000.0,114877000.0,114877000.0,0.0,-0.004,-0.007,0.01,0.02,0.0,5594000.0,1.0,10309975.0,10310000.0,10310000.0,11.142,203791000.0,2882000.0,-249000.0,23005000.0,19.766,52333000.0
48329,OJ,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-23,0.0,219876000.0,208049250.0,78588000.0,141288000.0,0.528,10.208,-6264000.0,2255000.0,2255000.0,106311000.0,-2858000.0,2.498,1.089,70765000.0,11858000.0,58907000.0,70765000.0,0.0,6964000.0,0.0,0.0,0.0,-979000.0,5985000.0,0.054,5985000.0,-979000.0,-4287000.0,-0.28,-0.28,-0.28,105244000.0,107716250.0,105244000.0,120605958.0,-123.0,20.151,-2456000.0,-0.238,1.0,3508000.0,0.032,10836000.0,3308000.0,246086000.0,232119750.0,57881000.0,1435000.0,0.0,1435000.0,114632000.0,31464000.0,83168000.0,68947958.0,1215000.0,0.0,6000.0,2881000.0,0.0,2887000.0,-5480000.0,957000.0,3808000.0,0.0,-2858000.0,-2858000.0,-2858000.0,0.0,0.0,-0.026,4939000.0,-1431000.0,9241000.0,0.0,0.655,-24.125,-23.884,123800000.0,0.0,6.688,0.628,0.628,14122000.0,29026000.0,109819000.0,109819000.0,0.0,-0.014,-0.027,-0.004,-0.009,0.0,5051000.0,1.0,10309975.0,10310000.0,10310000.0,10.652,209040000.0,3763000.0,-1429000.0,22952000.0,20.275,47124000.0
48330,OJ,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-23,0.0,217561000.0,,72315000.0,145246000.0,,10.598,-1418000.0,479000.0,479000.0,27983000.0,1575000.0,3.142,0.991,63962000.0,3730000.0,60232000.0,63962000.0,0.0,1927000.0,0.0,0.0,0.0,3410000.0,5337000.0,0.162,5337000.0,3410000.0,2564000.0,0.15,0.15,0.15,109265000.0,,109265000.0,126116584.0,13.0,7.18,-4962000.0,-0.481,1.0,5013000.0,0.152,10553000.0,846000.0,247475000.0,,57012000.0,1276000.0,0.0,1276000.0,108296000.0,23016000.0,85280000.0,68303584.0,-362000.0,0.0,0.0,5308000.0,0.0,5308000.0,-2126000.0,-80000.0,-3544000.0,0.0,1575000.0,1575000.0,1575000.0,0.0,0.0,0.048,1603000.0,3410000.0,8192000.0,0.0,0.625,17.7,18.403,126641000.0,0.0,6.625,0.539,0.539,10958000.0,33047000.0,32996000.0,32996000.0,0.0,,,,,0.0,1575000.0,1.0,10309975.0,10310000.0,10310000.0,3.2,207008000.0,2451000.0,989000.0,23425000.0,20.078,49299000.0
48331,OJ,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-23,0.0,208362000.0,,63356000.0,145006000.0,,10.445,-5107000.0,841000.0,841000.0,26004000.0,790000.0,2.997,0.935,58654000.0,3753000.0,54901000.0,58654000.0,0.0,2354000.0,0.0,0.0,0.0,2204000.0,4558000.0,0.152,4558000.0,2204000.0,1319000.0,0.07,0.07,0.07,107690000.0,,107690000.0,126212730.0,102.0,14.311,8450000.0,0.82,1.0,3942000.0,0.132,10647000.0,885000.0,234388000.0,,50482000.0,1196000.0,0.0,1196000.0,100672000.0,21140000.0,79532000.0,59926730.0,409000.0,0.0,0.0,-8064000.0,0.0,-8064000.0,-5084000.0,262000.0,13557000.0,0.0,790000.0,790000.0,790000.0,0.0,0.0,0.026,1502000.0,2440000.0,5697000.0,0.0,0.556,-42.411,-41.518,126992000.0,0.0,5.813,0.504,0.504,8621000.0,31472000.0,29946000.0,29946000.0,0.0,,,,,0.0,1644000.0,1.0,10309975.0,10310000.0,10310000.0,2.905,197715000.0,2476000.0,529000.0,23129000.0,19.177,42216000.0
48332,OJ,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-23,0.0,214533000.0,,72266000.0,142267000.0,,10.369,-1798000.0,432000.0,432000.0,26557000.0,1656000.0,3.625,1.007,66718000.0,3413000.0,63305000.0,66718000.0,0.0,1747000.0,0.0,0.0,0.0,3390000.0,5137000.0,0.164,5137000.0,3390000.0,2591000.0,0.16,0.16,0.16,106900000.0,,106900000.0,129725477.0,57.0,13.641,2913000.0,0.283,1.0,4861000.0,0.155,10742000.0,799000.0,250144000.0,,55696000.0,1458000.0,0.0,1458000.0,107633000.0,19933000.0,87700000.0,61215477.0,-1823000.0,0.0,0.0,-4046000.0,0.0,-4046000.0,-2488000.0,-23000.0,4711000.0,0.0,1656000.0,1656000.0,1656000.0,0.0,0.0,0.053,1471000.0,3390000.0,5455000.0,0.0,0.573,-81.948,-74.219,123946000.0,0.0,5.938,0.533,0.533,13052000.0,30682000.0,31418000.0,31418000.0,0.0,,,,,0.0,1471000.0,1.0,10309975.0,10310000.0,10310000.0,3.047,203791000.0,2882000.0,935000.0,23005000.0,19.766,52333000.0
48333,OJ,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-23,0.0,219876000.0,,78588000.0,141288000.0,,10.208,-1955000.0,2255000.0,2255000.0,29764000.0,-162000.0,2.498,1.089,70765000.0,11858000.0,58907000.0,70765000.0,0.0,1740000.0,0.0,0.0,0.0,793000.0,2533000.0,0.078,2533000.0,793000.0,-246000.0,-0.02,-0.02,-0.02,105244000.0,,105244000.0,120605958.0,-123.0,20.151,-16944000.0,-1.643,1.0,2586000.0,0.08,10836000.0,1039000.0,246086000.0,,57881000.0,1435000.0,0.0,1435000.0,114632000.0,31464000.0,83168000.0,68947958.0,901000.0,0.0,0.0,17752000.0,0.0,17752000.0,-1862000.0,8000.0,-14989000.0,0.0,-162000.0,-162000.0,-162000.0,0.0,0.0,-0.005,1793000.0,793000.0,9241000.0,0.0,0.655,-24.125,-23.884,123800000.0,0.0,6.688,0.628,0.628,14122000.0,29026000.0,32350000.0,32350000.0,0.0,,,,,0.0,1737000.0,1.0,10309975.0,10310000.0,10310000.0,3.138,209040000.0,3763000.0,-84000.0,22952000.0,20.275,47124000.0
48334,OJ,ARY,1998-12-31,1998-12-28,1998-09-30,2019-09-23,0.0,208362000.0,210137750.0,63356000.0,145006000.0,0.566,10.445,-10511000.0,841000.0,841000.0,111602000.0,-1413000.0,2.997,0.935,58654000.0,3753000.0,54901000.0,58654000.0,0.0,7583000.0,0.0,0.0,0.0,1236000.0,8819000.0,0.074,8819000.0,1236000.0,-2038000.0,-0.14,-0.14,-0.14,107690000.0,106744250.0,107690000.0,125472211.0,102.0,14.227,-4206000.0,-0.408,1.0,7278000.0,0.061,10647000.0,3274000.0,234388000.0,235877000.0,50482000.0,1196000.0,0.0,1196000.0,100672000.0,21140000.0,79532000.0,67659211.0,-168000.0,0.0,3000.0,4614000.0,0.0,4617000.0,-11090000.0,262000.0,6305000.0,0.0,-1413000.0,-1413000.0,-1413000.0,0.0,0.0,-0.012,5806000.0,1472000.0,5697000.0,0.0,0.628,-47.883,-46.875,126992000.0,0.0,6.563,0.569,0.569,8621000.0,31472000.0,118880000.0,118880000.0,0.0,-0.007,-0.013,0.005,0.01,0.0,5806000.0,1.0,10309975.0,10310000.0,10310000.0,11.531,197715000.0,2476000.0,-625000.0,23129000.0,19.177,42216000.0
