None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
48101,OMC,MRY,1998-12-31,1998-12-31,1998-12-31,2021-09-07,-94781000.0,7121968000.0,6438550000.0,4112521000.0,3009447000.0,0.666,3.099,-114522000.0,648781000.0,648781000.0,0.0,278845000.0,0.823,5.812,857304000.0,139894000.0,717410000.0,857304000.0,0.0,142458000.0,270312000.0,0.009,0.263,538347000.0,680805000.0,0.159,680805000.0,538347000.0,497937000.0,0.805,0.785,0.805,1045510000.0,1004083500.0,1045510000.0,10662385200.0,20.0,15.661,391149000.0,1.159,1.0,4290946000.0,1.0,2073037000.0,40410000.0,261772000.0,840923500.0,0.0,331002000.0,68610000.0,262392000.0,6076458000.0,4995682000.0,1080776000.0,9784362200.0,83643000.0,-505691000.0,42047000.0,289785000.0,-88623000.0,196778000.0,-583485000.0,36728000.0,505671000.0,-35321000.0,278845000.0,278845000.0,278845000.0,0.0,0.0,0.065,3728739000.0,562207000.0,3365844000.0,0.327,9.358,35.089,36.025,376541000.0,0.0,29.0,2.28,2.28,2946634000.0,628742000.0,4290946000.0,4290946000.0,0.0,0.043,0.278,0.64,0.125,52175000.0,3728739000.0,1.0,337391800.0,337391800.0,,12.718,5048931000.0,98154000.0,219092000.0,189978000.0,14.965,-883161000.0
48102,OMC,MRT,1998-12-31,1998-12-31,1998-12-31,2021-09-07,-94781000.0,7121968000.0,6438550000.0,4112521000.0,3009447000.0,0.666,3.099,-114522000.0,648781000.0,648781000.0,0.0,278845000.0,0.823,5.812,857304000.0,139894000.0,717410000.0,857304000.0,0.0,142458000.0,270312000.0,0.009,0.263,538347000.0,680805000.0,0.159,680805000.0,538347000.0,497937000.0,0.805,0.785,0.805,1045510000.0,1004083500.0,1045510000.0,10662385200.0,20.0,15.661,391149000.0,1.159,1.0,4290946000.0,1.0,2073037000.0,40410000.0,261772000.0,840923500.0,0.0,331002000.0,68610000.0,262392000.0,6076458000.0,4995682000.0,1080776000.0,9784362200.0,83643000.0,-505691000.0,42047000.0,289785000.0,-88623000.0,196778000.0,-583485000.0,36728000.0,505671000.0,-35321000.0,278845000.0,278845000.0,278845000.0,0.0,0.0,0.065,3728739000.0,562207000.0,3365844000.0,0.327,9.358,35.089,36.025,376541000.0,0.0,29.0,2.28,2.28,2946634000.0,628742000.0,4290946000.0,4290946000.0,0.0,0.043,0.278,0.64,0.125,52175000.0,3728739000.0,1.0,337391800.0,337391800.0,,12.718,5048931000.0,98154000.0,219092000.0,189978000.0,14.965,-883161000.0
48103,OMC,MRT,1998-09-30,1998-09-30,1998-09-30,2021-09-07,-55959000.0,6429911000.0,5899493750.0,3509695000.0,2920216000.0,0.695,2.951,-145843000.0,313234000.0,313234000.0,0.0,262902000.0,0.872,5.419,1257995000.0,189892000.0,1068103000.0,1257995000.0,0.0,139973000.0,0.0,0.011,0.25,562864000.0,702837000.0,0.171,702837000.0,562864000.0,480306000.0,0.745,0.73,0.745,1001660000.0,959390750.0,1001660000.0,8234115500.0,15.0,11.716,247905000.0,0.73,1.0,4099411000.0,1.0,1971616000.0,82558000.0,1376800000.0,764260500.0,0.0,302398000.0,34271000.0,268127000.0,5428251000.0,4026256000.0,1401995000.0,7637314500.0,56124000.0,-537903000.0,73358000.0,367841000.0,-90862000.0,310956000.0,-645669000.0,38077000.0,393748000.0,-2911000.0,262902000.0,262902000.0,262902000.0,0.0,0.0,0.064,3566337000.0,533074000.0,2497319000.0,0.336,7.625,29.05,30.201,346695000.0,0.0,22.5,1.863,1.863,2717860000.0,567460000.0,4099411000.0,4099411000.0,0.0,0.045,0.274,0.736,0.137,19833000.0,3566337000.0,1.0,339436200.0,339436200.0,,12.077,4458295000.0,90941000.0,217404000.0,67177000.0,13.134,-516561000.0
48104,OMC,MRT,1998-06-30,1998-06-30,1998-06-30,2021-09-07,-40785000.0,6305148000.0,5389035750.0,3569368000.0,2735780000.0,0.708,2.971,-148340000.0,337918000.0,337918000.0,0.0,248413000.0,0.862,5.234,977311000.0,139387000.0,837924000.0,977311000.0,0.0,126310000.0,0.0,0.01,0.25,519364000.0,645674000.0,0.169,645674000.0,519364000.0,449592000.0,0.715,0.7,0.715,1011453000.0,913924750.0,1011453000.0,9194311308.0,18.0,14.24,290238000.0,0.852,1.0,3813265000.0,1.0,1888983000.0,69772000.0,916617000.0,649543250.0,0.0,269974000.0,36620000.0,233354000.0,5293695000.0,4138941000.0,1154754000.0,8491235308.0,25033000.0,-526555000.0,76060000.0,266929000.0,-85836000.0,205816000.0,-616260000.0,58635000.0,438578000.0,-3101000.0,248413000.0,248413000.0,248413000.0,0.0,0.0,0.065,3319002000.0,494263000.0,2735819000.0,0.35,8.395,34.182,34.881,345480000.0,0.0,24.94,2.227,2.227,2754584000.0,532322000.0,3813265000.0,3813265000.0,0.0,0.046,0.272,0.8,0.136,18754000.0,3319002000.0,1.0,340466532.0,340466532.0,,11.2,4416165000.0,81037000.0,201179000.0,79523000.0,12.971,-569573000.0
48105,OMC,MRT,1998-03-31,1998-03-31,1998-03-31,2021-09-07,-48984000.0,5897173000.0,4898121500.0,3313107000.0,2584066000.0,0.716,2.828,-122567000.0,283221000.0,283221000.0,0.0,228556000.0,0.829,5.158,990406000.0,338427000.0,651979000.0,990406000.0,0.0,118032000.0,0.0,0.01,0.237,460858000.0,578890000.0,0.165,578890000.0,460858000.0,406210000.0,0.67,0.66,0.67,957711000.0,871442750.0,957711000.0,7771848783.0,17.0,13.425,321552000.0,0.949,1.0,3505446000.0,1.0,1796995000.0,54648000.0,808505000.0,603753750.0,0.0,300890000.0,74657000.0,226233000.0,4939462000.0,3998858000.0,940604000.0,7968947783.0,36404000.0,-534871000.0,105535000.0,280740000.0,-76815000.0,267191000.0,-650485000.0,6953000.0,444119000.0,-24421000.0,228556000.0,228556000.0,228556000.0,0.0,0.0,0.065,3066105000.0,439341000.0,2403590000.0,0.354,8.321,34.867,35.119,331727000.0,0.0,23.53,2.273,2.273,2591166000.0,468458000.0,3505446000.0,3505446000.0,0.0,0.047,0.262,0.763,0.131,17893000.0,3066105000.0,1.0,338671814.0,338671814.0,,10.351,4100178000.0,82828000.0,177654000.0,69382000.0,12.107,-685751000.0
48106,OMC,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-09-07,-94781000.0,7121968000.0,,4112521000.0,3009447000.0,,3.099,-36242000.0,648781000.0,648781000.0,0.0,85285000.0,0.823,5.812,857304000.0,139894000.0,717410000.0,857304000.0,0.0,40828000.0,270312000.0,0.009,0.075,133823000.0,174651000.0,0.139,174651000.0,133823000.0,147322000.0,0.245,0.24,0.245,1045510000.0,,1045510000.0,10662385200.0,20.0,15.661,910107000.0,2.697,1.0,1258002000.0,1.0,2073037000.0,-13499000.0,261772000.0,,0.0,331002000.0,68610000.0,262392000.0,6076458000.0,4995682000.0,1080776000.0,9784362200.0,335547000.0,-32750000.0,-47551000.0,-409722000.0,-22810000.0,-498260000.0,-86110000.0,-17118000.0,946349000.0,-26432000.0,85285000.0,85285000.0,85285000.0,0.0,0.0,0.068,1093933000.0,164069000.0,3365844000.0,0.306,9.358,35.089,36.025,376541000.0,0.0,29.0,2.28,2.28,2946634000.0,628742000.0,1258002000.0,1258002000.0,0.0,,,,,36729000.0,1093933000.0,1.0,337391800.0,337391800.0,,3.729,5048931000.0,98154000.0,62037000.0,189978000.0,14.965,-883161000.0
48107,OMC,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-09-07,-55959000.0,6429911000.0,,3509695000.0,2920216000.0,,2.951,-13252000.0,313234000.0,313234000.0,0.0,55980000.0,0.872,5.419,1257995000.0,189892000.0,1068103000.0,1257995000.0,0.0,39087000.0,0.0,0.011,0.062,121694000.0,160781000.0,0.156,160781000.0,121694000.0,102084000.0,0.16,0.16,0.16,1001660000.0,,1001660000.0,8234115500.0,15.0,11.716,-60761000.0,-0.179,1.0,1032985000.0,1.0,1971616000.0,19610000.0,1376800000.0,,0.0,302398000.0,34271000.0,268127000.0,5428251000.0,4026256000.0,1401995000.0,7637314500.0,-24684000.0,-130553000.0,-38606000.0,251358000.0,-20987000.0,182176000.0,-140751000.0,3054000.0,-47509000.0,-18600000.0,55980000.0,55980000.0,55980000.0,0.0,0.0,0.054,914290000.0,118695000.0,2497319000.0,0.388,7.625,29.05,30.201,346695000.0,0.0,22.5,1.863,1.863,2717860000.0,567460000.0,1032985000.0,1032985000.0,0.0,,,,,5478000.0,914290000.0,1.0,339436200.0,339436200.0,,3.043,4458295000.0,90941000.0,46104000.0,67177000.0,13.134,-516561000.0
48108,OMC,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-09-07,-40785000.0,6305148000.0,,3569368000.0,2735780000.0,,2.971,-39733000.0,337918000.0,337918000.0,0.0,86256000.0,0.862,5.234,977311000.0,139387000.0,837924000.0,977311000.0,0.0,33084000.0,0.0,0.01,0.062,177911000.0,210995000.0,0.193,210995000.0,177911000.0,157826000.0,0.25,0.24,0.25,1011453000.0,,1011453000.0,9194311308.0,18.0,14.24,194394000.0,0.571,1.0,1094160000.0,1.0,1888983000.0,20085000.0,916617000.0,,0.0,269974000.0,36620000.0,233354000.0,5293695000.0,4138941000.0,1154754000.0,8491235308.0,54697000.0,-103434000.0,-23735000.0,-23896000.0,-24918000.0,-82788000.0,-105024000.0,38143000.0,234127000.0,8382000.0,86256000.0,86256000.0,86256000.0,0.0,0.0,0.079,916364000.0,177796000.0,2735819000.0,0.248,8.395,34.182,34.881,345480000.0,0.0,24.94,2.227,2.227,2754584000.0,532322000.0,1094160000.0,1094160000.0,0.0,,,,,5486000.0,916364000.0,1.0,340466532.0,340466532.0,,3.214,4416165000.0,81037000.0,71570000.0,79523000.0,12.971,-569573000.0
48109,OMC,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-09-07,-48984000.0,5897173000.0,,3313107000.0,2584066000.0,,2.828,-25295000.0,283221000.0,283221000.0,0.0,51324000.0,0.829,5.158,990406000.0,338427000.0,651979000.0,990406000.0,0.0,29459000.0,0.0,0.01,0.062,104919000.0,134378000.0,0.148,134378000.0,104919000.0,90705000.0,0.15,0.145,0.15,957711000.0,,957711000.0,7771848783.0,17.0,13.425,-652591000.0,-1.927,1.0,905799000.0,1.0,1796995000.0,14214000.0,808505000.0,,0.0,300890000.0,74657000.0,226233000.0,4939462000.0,3998858000.0,940604000.0,7968947783.0,-281917000.0,-238954000.0,151939000.0,472045000.0,-19908000.0,595650000.0,-251600000.0,12649000.0,-627296000.0,1329000.0,51324000.0,51324000.0,51324000.0,0.0,0.0,0.057,804152000.0,101647000.0,2403590000.0,0.413,8.321,34.867,35.119,331727000.0,0.0,23.53,2.273,2.273,2591166000.0,468458000.0,905799000.0,905799000.0,0.0,,,,,4482000.0,804152000.0,1.0,338671814.0,338671814.0,,2.675,4100178000.0,82828000.0,39381000.0,69382000.0,12.107,-685751000.0
48110,OMC,ARY,1998-12-31,1999-03-30,1998-12-31,2021-09-07,-94064000.0,6910060000.0,6257222250.0,3981269000.0,2928791000.0,0.654,3.05,-89739000.0,648016000.0,648016000.0,0.0,285068000.0,0.83,5.36,816281000.0,100417000.0,715864000.0,816281000.0,0.0,132935000.0,265334000.0,0.007,0.275,570478000.0,703413000.0,0.172,703413000.0,570478000.0,500876000.0,0.86,0.84,0.86,1086468000.0,1063985250.0,1086468000.0,14308075245.0,25.0,20.341,381626000.0,1.071,1.0,4092042000.0,1.0,2031058000.0,69602000.0,250914000.0,879325000.0,0.0,349257000.0,80750000.0,268507000.0,5823592000.0,4796353000.0,1027239000.0,14139810245.0,91580000.0,-486320000.0,72704000.0,261957000.0,-82361000.0,205870000.0,-551472000.0,24587000.0,471365000.0,-34183000.0,285068000.0,285068000.0,285068000.0,0.0,0.0,0.07,3531868000.0,560174000.0,3272015000.0,0.32,13.014,49.602,46.151,326550000.0,0.0,39.69,3.455,3.455,2820770000.0,750226000.0,4092042000.0,4092042000.0,0.0,0.046,0.268,0.649,0.139,21489000.0,3531868000.0,1.0,356256242.0,356256242.0,,11.486,4879002000.0,106036000.0,215808000.0,180067000.0,13.695,-815084000.0
