None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
46588,OSH1,MRY,1998-12-31,1999-01-30,1999-01-30,2019-09-16,0.0,126004000.0,142695000.0,90489000.0,35515000.0,2.166,6.863,1221000.0,356000.0,356000.0,203277000.0,-1351000.0,1.795,2.15,28679000.0,0.0,28679000.0,28679000.0,0.0,7181000.0,0.0,0.0,0.0,1146000.0,8327000.0,0.027,8327000.0,1146000.0,-2095000.0,-0.23,-0.23,-0.23,39995000.0,41362500.0,39995000.0,61982153.0,54.0,7.444,7314000.0,1.255,1.0,105780000.0,0.342,0.0,3241000.0,103908000.0,124041000.0,86184000.0,0.0,0.0,0.0,86009000.0,50419000.0,35590000.0,18210153.0,-7000.0,0.0,0.0,-7840000.0,0.0,-7840000.0,1740000.0,73000.0,6093000.0,0.0,-1351000.0,-1351000.0,-1351000.0,0.0,0.0,-0.004,104634000.0,1146000.0,33478000.0,0.0,0.455,-13.479,-13.587,35248000.0,0.0,3.125,0.059,0.059,1496000.0,29976000.0,309057000.0,309057000.0,0.0,-0.009,-0.033,0.009,0.004,33000.0,106396000.0,1.0,5827249.0,5827249.0,,53.037,126004000.0,0.0,-744000.0,0.0,21.623,40070000.0
46589,OSH1,MRT,1998-12-31,1999-01-30,1999-01-30,2019-09-16,0.0,126004000.0,142695000.0,90489000.0,35515000.0,2.166,6.863,1221000.0,356000.0,356000.0,203277000.0,-1351000.0,1.795,2.15,28679000.0,0.0,28679000.0,28679000.0,0.0,7181000.0,0.0,0.0,0.0,1146000.0,8327000.0,0.027,8327000.0,1146000.0,-2095000.0,-0.23,-0.23,-0.23,39995000.0,41362500.0,39995000.0,61982153.0,54.0,7.444,7314000.0,1.255,1.0,105780000.0,0.342,0.0,3241000.0,103908000.0,124041000.0,86184000.0,0.0,0.0,0.0,86009000.0,50419000.0,35590000.0,18210153.0,-7000.0,0.0,0.0,-7840000.0,0.0,-7840000.0,1740000.0,73000.0,6093000.0,0.0,-1351000.0,-1351000.0,-1351000.0,0.0,0.0,-0.004,104634000.0,1146000.0,33478000.0,0.0,0.455,-13.479,-13.587,35248000.0,0.0,3.125,0.059,0.059,1496000.0,29976000.0,309057000.0,309057000.0,0.0,-0.009,-0.033,0.009,0.004,33000.0,106396000.0,1.0,5827249.0,5827249.0,,53.037,126004000.0,0.0,-744000.0,0.0,21.623,40070000.0
46590,OSH1,MRT,1998-09-30,1998-10-31,1998-10-31,2019-09-16,0.0,154430000.0,148281500.0,115188000.0,39242000.0,2.139,7.14,3898000.0,352000.0,352000.0,206813000.0,5871000.0,1.86,2.71,44124000.0,0.0,44124000.0,44124000.0,0.0,7707000.0,0.0,0.0,0.0,8992000.0,16699000.0,0.053,16699000.0,8992000.0,5311000.0,1.01,0.97,1.01,41628000.0,41692000.0,41628000.0,61265417.0,7.0,3.669,12309000.0,2.111,1.0,110327000.0,0.348,0.0,3681000.0,136268000.0,128190750.0,109921000.0,0.0,0.0,0.0,112802000.0,61934000.0,50868000.0,25858417.0,-139000.0,0.0,0.0,-13951000.0,0.0,-13951000.0,5401000.0,44000.0,8411000.0,0.0,5871000.0,5871000.0,5871000.0,0.0,0.0,0.019,99500000.0,10827000.0,44392000.0,0.0,0.621,4.404,4.394,38934000.0,0.0,4.438,0.082,0.082,1123000.0,31608000.0,317140000.0,317140000.0,0.0,0.04,0.141,0.07,0.028,58000.0,108725000.0,1.0,5827249.0,5830000.0,,54.398,154430000.0,0.0,-560000.0,0.0,26.489,53254000.0
46591,OSH1,MRT,1998-06-30,1998-08-01,1998-08-01,2019-09-16,0.0,143411000.0,151427500.0,102867000.0,40544000.0,2.129,7.484,1360000.0,4870000.0,4870000.0,210551000.0,9084000.0,1.954,2.287,40277000.0,0.0,40277000.0,40277000.0,0.0,7519000.0,0.0,0.0,0.0,8191000.0,15710000.0,0.049,15710000.0,8191000.0,4839000.0,1.57,1.52,1.57,43630000.0,40209500.0,43630000.0,82687149.0,10.0,5.263,9987000.0,1.713,1.0,111885000.0,0.347,0.0,3352000.0,126167000.0,133170250.0,92689000.0,0.0,0.0,0.0,99781000.0,52651000.0,47130000.0,41519149.0,4381000.0,0.0,0.0,-9161000.0,0.0,-9161000.0,4915000.0,45000.0,8627000.0,0.0,9084000.0,9084000.0,9084000.0,0.0,0.0,0.028,99786000.0,12099000.0,33034000.0,0.0,0.952,4.571,4.538,40229000.0,0.0,7.125,0.129,0.129,1696000.0,33623000.0,322436000.0,322436000.0,0.0,0.06,0.226,0.062,0.025,73000.0,109896000.0,1.0,5827249.0,5830000.0,,55.306,143411000.0,0.0,-4245000.0,0.0,24.599,50216000.0
46592,OSH1,MRT,1998-03-31,1998-05-02,1998-05-02,2019-09-16,0.0,146935000.0,154058750.0,104558000.0,42377000.0,2.118,6.895,-2995000.0,345000.0,345000.0,212910000.0,4328000.0,1.794,2.655,41513000.0,27000.0,41486000.0,41513000.0,0.0,7364000.0,0.0,0.0,0.0,3961000.0,11325000.0,0.035,11325000.0,3961000.0,307000.0,0.75,0.72,0.75,40197000.0,37920250.0,40197000.0,69298479.0,17.0,6.119,5329000.0,0.914,1.0,113407000.0,0.348,0.0,3654000.0,129821000.0,136029750.0,99892000.0,0.0,0.0,0.0,106738000.0,58282000.0,48456000.0,33142479.0,-122000.0,0.0,0.0,-9354000.0,0.0,-9354000.0,908000.0,46000.0,8324000.0,0.0,4328000.0,4328000.0,4328000.0,0.0,0.0,0.013,108335000.0,5072000.0,40014000.0,0.0,0.825,7.658,7.583,42045000.0,0.0,5.688,0.102,0.102,1638000.0,30203000.0,326317000.0,326317000.0,0.0,0.028,0.114,0.029,0.012,88000.0,113117000.0,1.0,5827249.0,5830000.0,,55.972,146935000.0,0.0,-4021000.0,0.0,25.203,46276000.0
46593,OSH1,MRQ,1998-12-31,1999-01-30,1999-01-30,2019-09-16,0.0,126004000.0,,90489000.0,35515000.0,,6.863,-919000.0,356000.0,356000.0,64099000.0,-1632000.0,1.795,2.15,28679000.0,0.0,28679000.0,28679000.0,0.0,1482000.0,0.0,0.0,0.0,-1095000.0,387000.0,0.004,387000.0,-1095000.0,-1787000.0,-0.28,-0.28,-0.28,39995000.0,,39995000.0,61982153.0,54.0,7.444,15066000.0,2.585,1.0,29474000.0,0.315,0.0,692000.0,103908000.0,,86184000.0,0.0,0.0,0.0,86009000.0,50419000.0,35590000.0,18210153.0,4000.0,0.0,0.0,-15445000.0,0.0,-15445000.0,-536000.0,41000.0,15985000.0,0.0,-1632000.0,-1632000.0,-1632000.0,0.0,0.0,-0.017,30569000.0,-1095000.0,33478000.0,0.0,0.455,-13.479,-13.587,35248000.0,0.0,3.125,0.059,0.059,1496000.0,29976000.0,93573000.0,93573000.0,0.0,,,,,-1000.0,27682000.0,1.0,5827249.0,5827249.0,,16.058,126004000.0,0.0,-155000.0,0.0,21.623,40070000.0
46594,OSH1,MRQ,1998-09-30,1998-10-31,1998-10-31,2019-09-16,0.0,154430000.0,,115188000.0,39242000.0,,7.14,-544000.0,352000.0,352000.0,40233000.0,-2016000.0,1.86,2.71,44124000.0,0.0,44124000.0,44124000.0,0.0,1866000.0,0.0,0.0,0.0,-1704000.0,162000.0,0.003,162000.0,-1704000.0,-2439000.0,-0.35,-0.35,-0.35,41628000.0,,41628000.0,61265417.0,7.0,3.669,-8371000.0,-1.436,1.0,24079000.0,0.374,0.0,735000.0,136268000.0,,109921000.0,0.0,0.0,0.0,112802000.0,61934000.0,50868000.0,25858417.0,-4518000.0,0.0,0.0,3847000.0,0.0,3847000.0,-538000.0,7000.0,-7827000.0,0.0,-2016000.0,-2016000.0,-2016000.0,0.0,0.0,-0.031,25783000.0,-1704000.0,44392000.0,0.0,0.621,4.404,4.394,38934000.0,0.0,4.438,0.082,0.082,1123000.0,31608000.0,64312000.0,64312000.0,0.0,,,,,13000.0,26095000.0,1.0,5827249.0,5830000.0,5830000.0,11.031,154430000.0,0.0,-423000.0,0.0,26.489,53254000.0
46595,OSH1,MRQ,1998-06-30,1998-08-01,1998-08-01,2019-09-16,0.0,143411000.0,,102867000.0,40544000.0,,7.484,3424000.0,4870000.0,4870000.0,52186000.0,3420000.0,1.954,2.287,40277000.0,0.0,40277000.0,40277000.0,0.0,1912000.0,0.0,0.0,0.0,4094000.0,6006000.0,0.076,6006000.0,4094000.0,3252000.0,0.59,0.57,0.59,43630000.0,,43630000.0,82687149.0,10.0,5.263,5748000.0,0.986,1.0,26846000.0,0.34,0.0,842000.0,126167000.0,,92689000.0,0.0,0.0,0.0,99781000.0,52651000.0,47130000.0,41519149.0,4525000.0,0.0,0.0,-1236000.0,0.0,-1236000.0,3437000.0,13000.0,2324000.0,0.0,3420000.0,3420000.0,3420000.0,0.0,0.0,0.043,22752000.0,4094000.0,33034000.0,0.0,0.952,4.571,4.538,40229000.0,0.0,7.125,0.129,0.129,1696000.0,33623000.0,79032000.0,79032000.0,0.0,,,,,13000.0,26744000.0,1.0,5827249.0,5830000.0,5965000.0,13.556,143411000.0,0.0,-168000.0,0.0,24.599,50216000.0
46596,OSH1,MRQ,1998-03-31,1998-05-02,1998-05-02,2019-09-16,0.0,146935000.0,,104558000.0,42377000.0,,6.895,-740000.0,345000.0,345000.0,46760000.0,-1124000.0,1.794,2.655,41513000.0,27000.0,41486000.0,41513000.0,0.0,1921000.0,0.0,0.0,0.0,-149000.0,1772000.0,0.025,1772000.0,-149000.0,-1121000.0,-0.19,-0.19,-0.19,40197000.0,,40197000.0,69298479.0,17.0,6.119,-5129000.0,-0.88,1.0,25380000.0,0.352,0.0,972000.0,129821000.0,,99892000.0,0.0,0.0,0.0,106738000.0,58282000.0,48456000.0,33142479.0,-18000.0,0.0,0.0,4994000.0,0.0,4994000.0,-623000.0,12000.0,-4389000.0,0.0,-1124000.0,-1124000.0,-1124000.0,0.0,0.0,-0.016,25529000.0,-149000.0,40014000.0,0.0,0.825,7.658,7.583,42045000.0,0.0,5.688,0.102,0.102,1638000.0,30203000.0,72140000.0,72140000.0,0.0,,,,,8000.0,25874000.0,1.0,5827249.0,5830000.0,5830000.0,12.374,146935000.0,0.0,3000.0,0.0,25.203,46276000.0
46597,OSH1,ARY,1998-12-31,1999-04-28,1999-01-30,2019-09-16,0.0,126004000.0,142695000.0,90489000.0,35515000.0,2.166,6.863,1221000.0,356000.0,356000.0,203277000.0,-1351000.0,1.795,2.15,28679000.0,0.0,28679000.0,28679000.0,0.0,7181000.0,0.0,0.0,0.0,1146000.0,8327000.0,0.027,8327000.0,1146000.0,-2095000.0,-0.23,-0.23,-0.23,39995000.0,41362500.0,39995000.0,45804747.0,40.0,5.501,7314000.0,1.255,1.0,105780000.0,0.342,0.0,3241000.0,103908000.0,124041000.0,86184000.0,0.0,0.0,0.0,86009000.0,50419000.0,35590000.0,17481747.0,-7000.0,0.0,0.0,-7840000.0,0.0,-7840000.0,1740000.0,73000.0,6093000.0,0.0,-1351000.0,-1351000.0,-1351000.0,0.0,0.0,-0.004,104634000.0,1146000.0,33478000.0,0.0,0.437,-12.94,-13.043,35248000.0,0.0,3.0,0.057,0.057,1496000.0,29976000.0,309057000.0,309057000.0,0.0,-0.009,-0.033,0.009,0.004,33000.0,106396000.0,1.0,5827249.0,5827249.0,,53.037,126004000.0,0.0,-744000.0,0.0,21.623,40070000.0
