None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
45731,PAG,MRY,1998-12-31,1998-12-31,1998-12-31,2021-07-29,0.0,1184194000.0,1169048250.0,590713000.0,593481000.0,2.86,8.383,-12085000.0,38538000.0,38538000.0,2887530000.0,-797000.0,1.169,2.466,710255000.0,421990000.0,288265000.0,710255000.0,0.0,16464000.0,0.0,0.0,0.0,70937000.0,87401000.0,0.026,87401000.0,70937000.0,10757000.0,-0.02,-0.02,-0.02,341650000.0,344268750.0,341650000.0,825876871.0,12.0,9.449,42963000.0,1.054,1.0,455617000.0,0.136,482049000.0,60180000.0,868333000.0,872138500.0,410295000.0,0.0,0.0,0.0,842544000.0,505529000.0,337015000.0,196149871.0,-55897000.0,-138139000.0,2020000.0,50444000.0,0.0,50622000.0,-150224000.0,0.0,55048000.0,0.0,-797000.0,-797000.0,-797000.0,12940000.0,0.0,0.0,375043000.0,80574000.0,38435000.0,0.0,0.574,-246.11,-229.75,51483000.0,0.0,4.595,0.059,0.056,125460000.0,-10943000.0,3343147000.0,3343147000.0,0.0,-0.001,-0.002,0.081,0.021,0.0,375043000.0,1.0,42687676.0,40754000.0,41864000.0,82.032,702145000.0,0.0,11554000.0,0.0,17.229,85184000.0
45732,PAG,MRT,1998-12-31,1998-12-31,1998-12-31,2021-07-29,0.0,1184194000.0,1169048250.0,590713000.0,593481000.0,2.86,8.383,-12085000.0,38538000.0,38538000.0,2887530000.0,-797000.0,1.169,2.466,710255000.0,421990000.0,288265000.0,710255000.0,0.0,16464000.0,0.0,0.0,0.0,70937000.0,87401000.0,0.026,87401000.0,70937000.0,10757000.0,-0.02,-0.02,-0.02,341650000.0,344268750.0,341650000.0,825876871.0,12.0,9.449,42963000.0,1.054,1.0,455617000.0,0.136,482049000.0,60180000.0,868333000.0,872138500.0,410295000.0,0.0,0.0,0.0,842544000.0,505529000.0,337015000.0,196149871.0,-55897000.0,-138139000.0,2020000.0,50444000.0,0.0,50622000.0,-150224000.0,0.0,55048000.0,0.0,-797000.0,-797000.0,-797000.0,12940000.0,0.0,0.0,375043000.0,80574000.0,38435000.0,0.0,0.574,-246.11,-229.75,51483000.0,0.0,4.595,0.059,0.056,125460000.0,-10943000.0,3343147000.0,3343147000.0,0.0,-0.001,-0.002,0.081,0.021,0.0,375043000.0,1.0,42687676.0,40754000.0,41864000.0,82.032,702145000.0,0.0,11554000.0,0.0,17.229,85184000.0
45733,PAG,MRT,1998-09-30,1998-09-30,1998-09-30,2021-07-29,0.0,1146979000.0,1115765750.0,534098000.0,612881000.0,2.737,8.697,-11594000.0,32409000.0,32409000.0,2653294000.0,-9442000.0,1.172,2.187,662136000.0,355257000.0,306879000.0,662136000.0,0.0,14822000.0,0.0,0.0,0.0,44516000.0,59338000.0,0.019,59338000.0,44516000.0,-11825000.0,-0.32,-0.31,-0.32,359942000.0,333995500.0,359942000.0,949992669.0,21.0,16.01,16903000.0,0.408,1.0,400828000.0,0.131,470317000.0,56341000.0,850830000.0,834572750.0,359558000.0,46469000.0,0.0,46469000.0,787037000.0,455559000.0,331478000.0,294277669.0,-147306000.0,-171115000.0,2155000.0,46636000.0,0.0,46524000.0,-182709000.0,0.0,28497000.0,0.0,-9442000.0,-9442000.0,-9442000.0,1863000.0,0.0,-0.003,363944000.0,36884000.0,45981000.0,0.0,0.818,-31.167,-22.172,52199000.0,0.0,7.095,0.096,0.096,124377000.0,7913000.0,3054122000.0,3054122000.0,0.0,-0.008,-0.028,0.053,0.015,0.0,367382000.0,1.0,41476768.0,41386000.0,,73.796,676662000.0,0.0,-2383000.0,0.0,16.35,78539000.0
45734,PAG,MRT,1998-06-30,1998-06-30,1998-06-30,2021-07-29,0.0,1172354000.0,,580905000.0,591449000.0,,8.449,-11626000.0,47647000.0,47647000.0,2423680000.0,-11799000.0,1.179,2.426,703362000.0,398546000.0,304816000.0,703362000.0,0.0,12775000.0,0.0,0.0,0.0,32176000.0,44951000.0,0.016,44951000.0,32176000.0,-15906000.0,-0.365,-0.355,-0.365,342219000.0,,342219000.0,1139306504.0,35.0,25.346,18013000.0,0.445,1.0,359798000.0,0.129,457340000.0,48082000.0,877931000.0,,399443000.0,40191000.0,0.0,40191000.0,830135000.0,492798000.0,337337000.0,442621504.0,-6890000.0,-173089000.0,1421000.0,194549000.0,0.0,186304000.0,-184715000.0,0.0,29639000.0,0.0,-11799000.0,-11799000.0,-11799000.0,2030000.0,0.0,-0.004,328326000.0,31472000.0,45504000.0,0.0,1.293,-37.513,-29.973,44843000.0,0.0,10.94,0.159,0.159,123396000.0,-361000.0,2783478000.0,2783478000.0,0.0,,,,0.012,0.0,330350000.0,1.0,40459004.0,40502000.0,,68.724,715014000.0,0.0,-4107000.0,0.0,17.654,88107000.0
45735,PAG,MRT,1998-03-31,1998-03-31,1998-03-31,2021-07-29,0.0,1172666000.0,,610822000.0,561844000.0,,8.424,-12986000.0,33410000.0,33410000.0,2098131000.0,-12393000.0,1.134,2.519,730095000.0,455913000.0,274182000.0,730095000.0,0.0,10897000.0,0.0,0.0,0.0,23327000.0,34224000.0,0.014,34224000.0,23327000.0,-16991000.0,-0.355,-0.345,-0.355,333264000.0,,333264000.0,,,,13581000.0,0.343,1.0,316986000.0,0.131,439461000.0,40318000.0,891460000.0,,453264000.0,37363000.0,0.0,37363000.0,839402000.0,538430000.0,300972000.0,263320169.0,-15559000.0,-208381000.0,4937000.0,218719000.0,0.0,213399000.0,-218807000.0,0.0,26567000.0,0.0,-12393000.0,-12393000.0,-12393000.0,2196000.0,0.0,-0.005,290914000.0,26072000.0,46819000.0,0.0,0.79,-21.247,-18.746,43441000.0,0.0,6.655,0.109,0.109,115529000.0,-8709000.0,2415117000.0,2415117000.0,0.0,,,,0.01,0.0,291851000.0,1.0,39567268.0,39562000.0,,61.046,733205000.0,0.0,-4598000.0,0.0,18.533,72392000.0
45736,PAG,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-07-29,0.0,1184194000.0,,590713000.0,593481000.0,,8.235,-4077000.0,38538000.0,38538000.0,706240000.0,-18281000.0,1.169,2.466,710255000.0,421990000.0,288265000.0,710255000.0,0.0,4325000.0,0.0,0.0,0.0,17169000.0,21494000.0,0.026,21494000.0,17169000.0,-19630000.0,-0.45,-0.45,-0.45,341650000.0,,341650000.0,825876871.0,12.0,9.449,17788000.0,0.429,1.0,131773000.0,0.157,482049000.0,36799000.0,868333000.0,,410295000.0,0.0,0.0,0.0,842544000.0,505529000.0,337015000.0,196149871.0,13206000.0,-12712000.0,3000.0,3162000.0,0.0,1323000.0,-16789000.0,0.0,21865000.0,0.0,-18281000.0,-18281000.0,-18281000.0,13281000.0,0.0,-0.022,102360000.0,29413000.0,38435000.0,0.0,0.574,-246.11,-229.75,51483000.0,0.0,4.595,0.059,0.056,125460000.0,-10943000.0,838013000.0,838013000.0,0.0,,,,,0.0,102360000.0,1.0,42687676.0,41486000.0,45362000.0,20.2,702145000.0,0.0,-1349000.0,0.0,16.925,85184000.0
45737,PAG,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-07-29,0.0,1146979000.0,,534098000.0,612881000.0,,8.697,-2523000.0,32409000.0,32409000.0,774948000.0,8227000.0,1.172,2.187,662136000.0,355257000.0,306879000.0,662136000.0,0.0,4587000.0,0.0,0.0,0.0,22286000.0,26873000.0,0.03,26873000.0,22286000.0,13879000.0,0.2,0.2,0.2,359942000.0,,359942000.0,949992669.0,21.0,16.01,5223000.0,0.126,1.0,122058000.0,0.136,470317000.0,8407000.0,850830000.0,,359558000.0,46469000.0,0.0,46469000.0,787037000.0,455559000.0,331478000.0,294277669.0,-11096000.0,-14339000.0,1044000.0,-1524000.0,0.0,-480000.0,-16862000.0,0.0,7746000.0,0.0,8227000.0,8227000.0,8227000.0,-167000.0,0.0,0.009,101676000.0,20382000.0,45981000.0,0.0,0.818,-31.167,-22.172,52199000.0,0.0,7.095,0.096,0.096,124377000.0,7913000.0,897006000.0,897006000.0,0.0,,,,,0.0,101676000.0,1.0,41476768.0,41386000.0,41452000.0,21.674,676662000.0,0.0,5652000.0,0.0,16.35,78539000.0
45738,PAG,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-07-29,0.0,1172354000.0,,580905000.0,591449000.0,,8.449,-1849000.0,47647000.0,47647000.0,783857000.0,8193000.0,1.179,2.426,703362000.0,398546000.0,304816000.0,703362000.0,0.0,4113000.0,0.0,0.0,0.0,21707000.0,25820000.0,0.029,25820000.0,21707000.0,13827000.0,0.2,0.2,0.2,342219000.0,,342219000.0,1139306504.0,35.0,25.346,17951000.0,0.443,1.0,112562000.0,0.126,457340000.0,7880000.0,877931000.0,,399443000.0,40191000.0,0.0,40191000.0,830135000.0,492798000.0,337337000.0,442621504.0,15904000.0,-29417000.0,607000.0,28163000.0,0.0,28770000.0,-31266000.0,0.0,19800000.0,0.0,8193000.0,8193000.0,8193000.0,-166000.0,0.0,0.009,92466000.0,20096000.0,45504000.0,0.0,1.293,-37.513,-29.973,44843000.0,0.0,10.94,0.159,0.159,123396000.0,-361000.0,896419000.0,896419000.0,0.0,,,,,0.0,92466000.0,1.0,40459004.0,40502000.0,40812000.0,22.133,715014000.0,0.0,5634000.0,0.0,17.654,88107000.0
45739,PAG,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-07-29,0.0,1172666000.0,,610822000.0,561844000.0,,8.424,-3636000.0,33410000.0,33410000.0,622485000.0,1064000.0,1.134,2.519,730095000.0,455913000.0,274182000.0,730095000.0,0.0,3439000.0,0.0,0.0,0.0,9775000.0,13214000.0,0.019,13214000.0,9775000.0,2681000.0,0.025,0.025,0.025,333264000.0,,333264000.0,,,,2001000.0,0.051,1.0,89224000.0,0.125,439461000.0,7094000.0,891460000.0,,453264000.0,37363000.0,0.0,37363000.0,839402000.0,538430000.0,300972000.0,263320169.0,-73911000.0,-81671000.0,366000.0,20643000.0,0.0,21009000.0,-85307000.0,0.0,5637000.0,0.0,1064000.0,1064000.0,1064000.0,-8000.0,0.0,0.001,78541000.0,10683000.0,46819000.0,0.0,0.79,-21.247,-18.746,43441000.0,0.0,6.655,0.109,0.109,115529000.0,-8709000.0,711709000.0,711709000.0,0.0,,,,,0.0,78541000.0,1.0,39567268.0,39562000.0,39848000.0,17.99,733205000.0,0.0,1617000.0,0.0,18.533,72392000.0
45740,PAG,ARY,1998-12-31,1999-03-31,1998-12-31,2021-07-29,0.0,1184194000.0,1169048250.0,590713000.0,593481000.0,2.86,8.383,-12085000.0,38538000.0,38538000.0,2916248000.0,-797000.0,1.169,2.466,710255000.0,421990000.0,288265000.0,710255000.0,0.0,16464000.0,0.0,0.0,0.0,42219000.0,58683000.0,0.018,58683000.0,42219000.0,10757000.0,-0.02,-0.02,-0.02,341650000.0,344268750.0,341650000.0,841403816.0,20.0,14.338,42963000.0,1.054,1.0,426899000.0,0.128,482049000.0,31462000.0,868333000.0,872138500.0,410295000.0,0.0,0.0,0.0,842544000.0,505529000.0,337015000.0,169686816.0,-55897000.0,-138139000.0,2020000.0,50444000.0,0.0,50622000.0,-150224000.0,0.0,55048000.0,0.0,-797000.0,-797000.0,-797000.0,12940000.0,0.0,0.0,375043000.0,51856000.0,38435000.0,0.0,0.497,-212.907,-193.75,51483000.0,0.0,3.875,0.051,0.047,125460000.0,-10943000.0,3343147000.0,3343147000.0,0.0,-0.001,-0.002,0.048,0.013,0.0,375043000.0,1.0,43790146.0,40754000.0,41864000.0,82.032,702145000.0,0.0,11554000.0,0.0,17.229,85184000.0
